lamore|true|2402
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.037212519847344e-08,0.779988169670105|6.620624048991886e-10,1,5.229109945048549e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,2.505179175216199e-09,0.779988169670105|-4.102736553268649e-11,1,-3.244733592921989e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,4.530921060563742e-08,0.779988169670105|-7.42914008089457e-10,1,-5.86856643280953e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.804009610230423e-08,0.779988169670105|-1.4436019046826232e-09,1,-1.140318488523917e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,6.317503675745684e-08,0.779988169670105|-1.0359015867322796e-09,1,-8.18259735524407e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.806624680029017e-09,0.779988169670105|1.2797393700303417e-10,1,1.0111320669636825e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.866700713066166e-08,0.779988169670105|1.2898565548979946e-09,1,1.018915369854767e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.015596992232531e-08,0.779988169670105|1.1503233920961975e-09,1,9.086783592238135e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-1.7808726937573738e-08,0.779988169670105|2.920393371574903e-10,1,2.306635416005065e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,4.749957227545565e-08,0.779988169670105|-7.787548383930698e-10,1,-6.152261278202786e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.302054510522794e-08,0.779988169670105|-1.3611659577250634e-09,1,-1.0753028334420378e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,1.6590563589602425e-08,0.779988169670105|-2.720391967248048e-10,1,-2.1488535395519648e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.972592293484013e-08,0.779988169670105|8.152245545289816e-10,1,6.440621547199044e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-5.1398568956528834e-08,0.779988169670105|8.426817577067425e-10,1,6.657269580045977e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,9.170533221691812e-10,0.779988169670105|-1.4976216447526447e-11,1,-1.1877427930073736e-09|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,4.26891091365178e-08,0.779988169670105|-6.997842860734238e-10,1,-5.529190261199801e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,8.438979648417444e-08,0.779988169670105|-1.3834224876774215e-09,1,-1.0930362748240441e-07|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,2.6958572263424685e-08,0.779988169670105|-4.419643262476569e-10,1,-3.491738809202616e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-4.077076454223061e-08,0.779988169670105|6.683205655555469e-10,1,5.280720571931852e-08|Running
577.7064208984375,23.494110107421875,-576.447998046875|-0.6257942318916321,-7.910521304665963e-08,0.779988169670105|1.296744378542769e-09,1,1.0245886983284436e-07|Running
