lamore|true|2402
248.535888671875,116.31658935546875,160.03695678710938|-0.30855080485343933,-1.0677425166250032e-07,0.9512078762054443|-3.5725765457073067e-08,1,1.0066258226970604e-07|Running
247.96632385253906,115.86335754394531,161.82318115234375|-0.3039185702800751,-2.1803554517418888e-08,0.9526979923248291|-7.0832117948782525e-09,1,2.0626510277566013e-08|Running
247.61105346679688,115.8510513305664,162.99038696289062|-0.29364198446273804,-8.30141004826146e-08,0.9559154510498047|-2.6338550895843582e-08,1,7.87517322464737e-08|Running
247.32394409179688,115.42582702636719,164.06044006347656|-0.2800859212875366,-1.2166175622496667e-07,0.9599749445915222|-3.838746565065776e-08,1,1.1553423462373758e-07|Running
247.04818725585938,115.71907806396484,165.11021423339844|-0.2690790295600891,-1.1630120155814438e-07,0.9631180763244629|-3.455502550764322e-08,1,1.11100774802253e-07|Running
246.5373992919922,116.50643920898438,166.84249877929688|-0.27564841508865356,-1.1136577882098209e-07,0.9612585306167603|-3.157397543418483e-08,1,1.0680005146923577e-07|Running
245.83131408691406,116.73418426513672,168.68817138671875|-0.3219570219516754,-3.563417294571991e-07,0.9467542767524719|-1.195997185732267e-07,1,3.35710950594148e-07|Freefall
245.28260803222656,116.38493347167969,169.9489288330078|-0.35164904594421387,-2.722001397614804e-07,0.9361318945884705|-9.982041859757373e-08,1,2.532745497774158e-07|Freefall
244.7768096923828,115.78297424316406,171.0445556640625|-0.37519320845603943,-1.5549119325442007e-07,0.9269466400146484|-6.372482630467857e-08,1,1.4195215669587924e-07|Landed
244.40985107421875,115.34379577636719,171.83758544921875|-0.37836754322052,-3.8151451775547685e-08,0.9256554245948792|-1.4809546478034008e-08,1,3.516210966836297e-08|Running
243.89353942871094,114.48826599121094,172.8485565185547|-0.4075143039226532,-3.673297328532499e-07,0.9131988286972046|-1.5477368719984952e-07,1,3.331774394155218e-07|Freefall
243.3975067138672,113.55858612060547,173.71607971191406|-0.4322817921638489,-4.011602925402258e-07,0.9017385840415955|-1.780521898808729e-07,1,3.5951833865510707e-07|Freefall
242.65086364746094,111.75531768798828,175.01707458496094|-0.459737628698349,-2.0863031124918052e-07,0.8880547881126404|-9.924340105271767e-08,1,1.835521743487334e-07|Freefall
242.2195587158203,112.98602294921875,175.77635192871094|-0.4691137671470642,-1.1464694438245715e-07,0.8831377625465393|-5.86171218230902e-08,1,9.868092121223526e-08|Landed
241.7713165283203,114.39486694335938,176.5664825439453|-0.4707113206386566,-1.0367051572757191e-07,0.8822872638702393|-5.795168434019615e-08,1,8.658404482275728e-08|Running
241.2399139404297,115.71924591064453,177.5287322998047|-0.47370466589927673,-1.1318972070739619e-07,0.8806837797164917|-6.804467034271511e-08,1,9.192476113639714e-08|Running
240.687744140625,116.86717987060547,178.54127502441406|-0.4756309390068054,-4.212822091176349e-08,0.8796449303627014|-2.5440007433985556e-08,1,3.4136689919250784e-08|Running
240.2648468017578,117.54027557373047,179.32752990722656|-0.4753343462944031,5.018689464009185e-08,0.8798052072525024|3.0789937710551385e-08,1,-4.040823853301845e-08|Running
239.93603515625,117.81681823730469,179.9485321044922|-0.4737434685230255,1.0686181184382804e-07,0.8806629180908203|6.579783473625866e-08,1,-8.594721379040493e-08|Running
239.65737915039062,117.44007110595703,180.4755859375|-0.4724102318286896,5.157209059802881e-08,0.8813787698745728|3.2906932290188706e-08,1,-4.0875182349964234e-08|Running
239.2965087890625,117.39646911621094,181.15814208984375|-0.4711778461933136,-2.1275582184898667e-08,0.8820382356643677|-9.619935070759311e-09,1,1.8982037275350194e-08|Running
238.89697265625,117.39642333984375,181.91384887695312|-0.47023805975914,-9.960705682487969e-08,0.8825396299362183|-5.486637988383336e-08,1,8.363001313682616e-08|Running
238.43507385253906,117.39642333984375,182.78744506835938|-0.46943533420562744,-6.479776004653104e-08,0.8829668760299683|-3.6821024451683115e-08,1,5.381025047768162e-08|Running
238.0308074951172,117.51760864257812,183.55210876464844|-0.4687711000442505,-2.068628646156867e-08,0.8833196759223938|-1.3251866270991286e-08,1,1.6386133339096887e-08|Running
237.56878662109375,117.66907501220703,184.42601013183594|-0.46801233291625977,2.7105084399181578e-08,0.8837219476699829|1.238211400078626e-08,1,-2.4114035213074203e-08|Running
237.1328887939453,117.783935546875,185.32485961914062|-0.46040934324264526,-4.156517974251983e-08,0.8877067565917969|-1.9176090049199956e-08,1,3.6877416675906716e-08|Running
236.73040771484375,117.83301544189453,186.23973083496094|-0.44573312997817993,-1.1881213168862814e-07,0.8951658606529236|-5.684517390136534e-08,1,1.0442126097132132e-07|Running
236.36029052734375,117.82051086425781,187.16856384277344|-0.4260287582874298,-1.8359511955168273e-07,0.9047096371650696|-8.460716571789817e-08,1,1.6309104466927238e-07|Running
236.05751037597656,117.83391571044922,187.98919677734375|-0.40735554695129395,-2.0778750808858604e-07,0.9132696390151978|-9.205308515447541e-08,1,1.864610084112428e-07|Running
235.76498413085938,117.847900390625,188.81381225585938|-0.3899422287940979,-1.7677194819043507e-07,0.9208393096923828|-7.512714716995106e-08,1,1.601546557594702e-07|Running
235.473876953125,117.87760162353516,189.6368865966797|-0.3760665953159332,-1.514072636155106e-07,0.9265926480293274|-6.180830780522228e-08,1,1.3831669321007212e-07|Running
235.18283081054688,117.93682098388672,190.4597930908203|-0.3629019856452942,-1.4645783608102647e-07,0.9318273067474365|-5.7996633273660336e-08,1,1.3458581804570713e-07|Running
234.76702880859375,118.02387237548828,191.63536071777344|-0.3439962863922119,-1.4003536819018336e-07,0.9389709830284119|-5.2926633742345075e-08,1,1.2974713570201857e-07|Running
234.38548278808594,118.02908325195312,192.6690673828125|-0.34215420484542847,-4.25767439082847e-08,0.9396438002586365|-1.4557445027207905e-08,1,4.001075026849321e-08|Running
234.04598999023438,119.70549011230469,193.58642578125|-0.3428618609905243,5.4844775831952575e-08,0.9393858313560486|2.353482564387832e-08,1,-4.9793790424246254e-08|Jumping
233.54638671875,121.96469116210938,195.12985229492188|-0.3284660577774048,-9.281814783435038e-08,0.9445157647132874|-2.8731493628697535e-08,1,8.827891662122056e-08|Freefall
233.04083251953125,123.75389862060547,196.8052978515625|-0.3099520206451416,-1.711369037593613e-07,0.9507521986961365|-6.021810605716382e-08,1,1.603700496843885e-07|Freefall
232.50465393066406,124.98120880126953,198.7320556640625|-0.287542462348938,-1.8188841011124168e-07,0.957767903804779|-5.838556305093334e-08,1,1.7238005511899246e-07|Freefall
232.14923095703125,125.31915283203125,200.060302734375|-0.27620235085487366,-1.6288908000205993e-07,0.9610995054244995|-5.01466494995384e-08,1,1.5507079353938025e-07|Freefall
231.76214599609375,125.21775817871094,201.5094451904297|-0.26848146319389343,-1.3523577990781632e-07,0.9632848501205444|-4.006269804790463e-08,1,1.2922417624849913e-07|Freefall
231.32855224609375,124.62586212158203,202.94537353515625|-0.27552106976509094,-1.517075247647881e-07,0.9612950086593628|-4.3934193172390223e-08,1,1.4522360913815646e-07|Freefall
230.78109741210938,123.4311294555664,204.47523498535156|-0.30176016688346863,-1.8152243796976109e-07,0.9533838629722595|-5.793848245616573e-08,1,1.7205967139943823e-07|Freefall
230.24227905273438,121.9705810546875,205.74002075195312|-0.3358675539493561,-3.6898421740261256e-07,0.9419091939926147|-1.290828919309206e-07,1,3.4571215223877516e-07|Freefall
229.6946563720703,120.28514862060547,206.86361694335938|-0.371101438999176,-4.77144681099162e-07,0.928592324256897|-1.8251216715725604e-07,1,4.4089765083299426e-07|Freefall
229.17337036132812,118.47702026367188,207.860595703125|-0.3999994695186615,-4.1069478129429626e-07,0.9165153503417969|-1.69140449202132e-07,1,3.742858041277941e-07|Freefall
228.65115356445312,118.34832763671875,208.85682678222656|-0.42080968618392944,-1.3257238151709316e-07,0.9071489572525024|-6.644786765264143e-08,1,1.1531785304441655e-07|Landed
228.03053283691406,117.61687469482422,210.08351135253906|-0.433439701795578,-1.1840729285950147e-07,0.9011825919151306|-5.159480664929106e-08,1,1.0657557680815444e-07|Running
227.65451049804688,116.91786193847656,210.8734588623047|-0.43377307057380676,-7.80280160483926e-08,0.9010221362113953|-3.295428285809976e-08,1,7.073447960692647e-08|Running
227.33364868164062,116.86234283447266,211.55123901367188|-0.4327062964439392,-2.3565494000621356e-09,0.9015349745750427|2.462582637807742e-10,1,2.73212585888416e-09|Running
226.9593048095703,116.87556457519531,212.34197998046875|-0.4314197897911072,7.899012643974856e-08,0.9021512866020203|3.578451313046571e-08,1,-7.044491923124951e-08|Running
226.612060546875,116.78357696533203,213.1334991455078|-0.42517974972724915,8.18541607827683e-08,0.9051089286804199|3.554422889351372e-08,1,-7.373860455572867e-08|Running
225.8238983154297,119.91838836669922,214.94277954101562|-0.4084261655807495,-7.763804887872539e-07,0.91279137134552|-3.522315807913401e-07,1,6.929512323949893e-07|Jumping
225.15765380859375,121.8233413696289,216.42384338378906|-0.4078637957572937,7.061755979975715e-08,0.9130427837371826|3.2281604944728315e-08,1,-6.292263776686013e-08|Freefall
224.7874755859375,122.61064910888672,217.21669006347656|-0.4110308289527893,1.100091111538859e-07,0.9116214513778687|4.9937494139840055e-08,1,-9.815835966264785e-08|Freefall
224.4653778076172,123.15264129638672,217.89398193359375|-0.4146890640258789,7.658948675270949e-08,0.9099631905555725|3.542255910815584e-08,1,-6.802488172752419e-08|Freefall
224.13995361328125,123.5719985961914,218.56971740722656|-0.41857102513313293,-2.050801484188014e-08,0.9081840515136719|-7.2329262579273745e-09,1,1.9247773153097114e-08|Freefall
223.75991821289062,123.90628051757812,219.3578338623047|-0.42240282893180847,-1.3153064060134056e-07,0.9064081907272339|-5.6948618265550977e-08,1,1.185728280006515e-07|Freefall
223.48849487304688,124.04285430908203,219.92079162597656|-0.4245435893535614,-1.31377831280588e-07,0.9054074883460999|-5.793472013237988e-08,1,1.1793807175308757e-07|Freefall
223.1627960205078,124.09435272216797,220.59632873535156|-0.4265859127044678,-1.3095849737965182e-07,0.904447078704834|-5.920404788639644e-08,1,1.1687016865380428e-07|Freefall
222.5113983154297,123.82945251464844,221.9474334716797|-0.42973411083221436,-1.7120358108968503e-07,0.9029554724693298|-8.035937071326771e-08,1,1.5135898934204306e-07|Freefall
221.75149536132812,122.90047454833984,223.5237274169922|-0.4319663643836975,-2.7698732196768105e-08,0.9018897414207458|-1.4060661079895453e-08,1,2.3977431595767484e-08|Freefall
221.1459197998047,121.57282257080078,224.89601135253906|-0.4216465950012207,-8.841234233614159e-08,0.9067602753639221|-4.0520141908473306e-08,1,7.866154305702366e-08|Freefall
220.77520751953125,120.41522979736328,225.82472229003906|-0.40852320194244385,-1.6817828907278454e-07,0.9127479195594788|-7.470176655033356e-08,1,1.5082027005064447e-07|Freefall
220.2994384765625,118.46758270263672,227.11483764648438|-0.3859463930130005,-1.7648680739057454e-07,0.9225212335586548|-7.464072382390441e-08,1,1.600824930392264e-07|Freefall
219.8371124267578,116.10777282714844,228.40975952148438|-0.36715319752693176,-1.807078717774857e-07,0.9301604628562927|-7.2628232317129e-08,1,1.6560818494326668e-07|Freefall
219.54490661621094,115.45164489746094,229.22853088378906|-0.3590821623802185,-7.66897514381526e-08,0.9333059787750244|-2.8165260346213472e-08,1,7.133363766342882e-08|Landed
219.1322784423828,115.42362976074219,230.3990478515625|-0.3499397039413452,-1.0643160663903473e-07,0.9367722272872925|-3.8444849081997745e-08,1,9.925383182007863e-08|Running
218.6541290283203,115.24799346923828,231.80950927734375|-0.3383191227912903,-1.190646230497805e-07,0.9410314559936523|-4.540025955179772e-08,1,1.1020338774869742e-07|Running
218.2327423095703,114.49150848388672,233.11778259277344|-0.3265685439109802,-1.1179642456227157e-07,0.9451735019683838|-3.991570451944426e-08,1,1.0449003440271554e-07|Running
217.8412628173828,114.9933090209961,234.43580627441406|-0.311344712972641,-1.2637465829357097e-07,0.9502970576286316|-4.343199933032338e-08,1,1.1875480510070702e-07|Running
217.53857421875,115.1522445678711,235.5192413330078|-0.29842478036880493,-1.2948993344252813e-07,0.9544331431388855|-4.2923140597395104e-08,1,1.2225120826769853e-07|Running
217.31610107421875,115.18021392822266,236.36538696289062|-0.2879764139652252,-1.2963614892669284e-07,0.9576374888420105|-4.153996968625506e-08,1,1.2287907225072559e-07|Running
217.01345825195312,115.16653442382812,237.5780029296875|-0.27259740233421326,-1.2498543355832226e-07,0.9621281623840332|-3.824903060944962e-08,1,1.1906816865803194e-07|Running
216.77871704101562,115.1495132446289,238.5498809814453|-0.26203465461730957,-1.2539437932446162e-07,0.965058445930481|-3.687176786115742e-08,1,1.1992298709628813e-07|Running
216.4566192626953,114.90355682373047,239.88638305664062|-0.2479800432920456,-1.1769942886985518e-07,0.968765139579773|-3.302648110548034e-08,1,1.1304032199177527e-07|Running
216.13453674316406,114.24544525146484,241.22286987304688|-0.2338782101869583,-1.246121996700822e-07,0.972265899181366|-3.32066250052776e-08,1,1.2017895301141834e-07|Running
215.64804077148438,112.68379211425781,243.0336456298828|-0.24410487711429596,-1.6085746779026522e-07,0.969748854637146|-4.215083393432906e-08,1,1.552651980318842e-07|Freefall
215.18994140625,110.7104263305664,244.59274291992188|-0.2602888345718384,-1.7351034387047548e-07,0.9655308127403259|-4.8981384281887586e-08,1,1.6650017187203048e-07|Freefall
214.67347717285156,107.94147491455078,246.26473999023438|-0.2768945097923279,-1.780391016836802e-07,0.9609003067016602|-5.353320986500876e-08,1,1.698574294550781e-07|Freefall
214.65948486328125,107.3608627319336,247.2240753173828|-0.15980064868927002,-0.000008764510312175844,0.9871492981910706|-0.0000021329594801500207,1,0.000008533321306458674|Landed
215.13546752929688,107.5644760131836,248.3619384765625|0.032210737466812134,-0.00000898666894499911,0.9994810819625854|-5.684444204234751e-07,1,0.000009009653695102315|Running
215.83889770507812,107.45467376708984,249.6740264892578|0.22129681706428528,-0.000005577745923801558,0.9752064943313599|8.239049407166021e-07,1,0.000005532590876100585|Running
216.9542694091797,107.35944366455078,251.31787109375|0.41517743468284607,-0.0000037240984056552406,0.9097404479980469|0.0000013111789485265035,1,0.00000349520178133389|Running
218.216796875,107.40809631347656,252.86599731445312|0.5411942005157471,-0.0000017419863524992252,0.8408976197242737|8.633270454083686e-07,1,0.0000015159500890149502|Running
219.2621612548828,107.55572509765625,253.94049072265625|0.610017716884613,-0.0000010838813295777072,0.7923877835273743|6.192027512952336e-07,1,8.911756026463991e-07|Running
220.57130432128906,107.52001190185547,255.0971221923828|0.6795632243156433,-9.974085060093785e-07,0.7336169481277466|6.413663413695758e-07,1,7.654669502699107e-07|Running
221.91421508789062,107.46752166748047,256.2178039550781|0.7246545553207397,-4.253379302099347e-07,0.6891123056411743|2.9636268550348177e-07,1,3.055776858218451e-07|Running
223.3953399658203,107.50541687011719,257.367431640625|0.7595666646957397,-2.697644276850042e-07,0.6504294276237488|1.9798426365014166e-07,1,1.8354363362504955e-07|Running
224.6886749267578,107.4166488647461,258.3468017578125|0.777570903301239,-1.4818986926457e-07,0.6287952661514282|1.1218241979804588e-07,1,9.694743141608342e-08|Running
226.2886962890625,107.42243194580078,259.5464172363281|0.7904300689697266,-1.1882341510727201e-07,0.6125523447990417|9.15469300366567e-08,1,7.584980465935587e-08|Running
227.89744567871094,107.4342041015625,260.7345275878906|0.7984160780906677,-1.0360115254570701e-07,0.6021060943603516|8.084305136435432e-08,1,6.486358472557185e-08|Running
229.12945556640625,107.44746398925781,261.5899963378906|0.8076473474502563,-1.1235096764039554e-07,0.5896658301353455|8.840045495617233e-08,1,6.945386843426604e-08|Running
230.8229217529297,107.48269653320312,262.65362548828125|0.8287591934204102,-1.3546099353334284e-07,0.5596054196357727|1.0946350670337779e-07,1,7.995294026841293e-08|Running
232.4390869140625,107.5014419555664,263.6041259765625|0.8462942242622375,-1.453130948902981e-07,0.5327157378196716|1.2019361861348443e-07,1,8.183337030231996e-08|Running
234.1736602783203,107.62344360351562,264.5890197753906|0.8595051169395447,-1.275414120982532e-07,0.5111271142959595|1.073917204053032e-07,1,6.894111237443212e-08|Running
235.92543029785156,107.69304656982422,265.5519714355469|0.8689864277839661,-1.1801964205915283e-07,0.49483591318130493|1.0066944611253348e-07,1,6.171593014414611e-08|Running
237.67820739746094,107.71285247802734,266.5146484375|0.8734725713729858,-1.0748718892727993e-07,0.4868733584880829|9.265872336072789e-08,1,5.453643936448316e-08|Running
238.79409790039062,107.7568130493164,267.0755920410156|0.880027711391449,-1.2277807570626464e-07,0.4749223589897156|1.059576320017186e-07,1,6.218368042709699e-08|Running
239.70333862304688,107.80638122558594,267.48876953125|0.8883381485939026,-1.258200654774555e-07,0.4591898024082184|1.0962821050952698e-07,1,6.192022539153186e-08|Running
240.62338256835938,107.85342407226562,267.87841796875|0.8975830674171448,-1.598352383780366e-07,0.4408453106880188|1.4080617916079063e-07,1,7.587694028643455e-08|Running
241.6665496826172,107.89356231689453,268.29876708984375|0.9072864651679993,-1.4854713015211019e-07,0.4205131530761719|1.3244235219644906e-07,1,6.749842640374482e-08|Running
242.71156311035156,107.92198181152344,268.7149658203125|0.9144970774650574,-1.3628172723656462e-07,0.40459251403808594|1.2275023664187756e-07,1,5.938566260965672e-08|Running
244.2222442626953,107.93464660644531,269.313720703125|0.9215508699417114,-1.2360473533590266e-07,0.3882577121257782|1.1233325380999304e-07,1,5.1728338945622454e-08|Running
245.9663848876953,107.91670227050781,270.00164794921875|0.9262539148330688,-1.0183113374750974e-07,0.3769000470638275|9.322371852249489e-08,1,4.107799611574592e-08|Running
247.8310546875,107.91020202636719,270.7244873046875|0.9297125339508057,-8.998105727187067e-08,0.36828598380088806|8.271591411812551e-08,1,3.5513256335661936e-08|Running
249.23190307617188,107.90858459472656,271.260498046875|0.9315382242202759,-6.108802352855491e-08,0.3636433780193329|5.624230681178233e-08,1,2.3913996116675662e-08|Running
250.18228149414062,107.88992309570312,271.57073974609375|0.9365071654319763,-1.2988293462967704e-07,0.3506483733654022|1.1998336901797302e-07,1,4.995788671635637e-08|Running
251.13499450683594,107.90118408203125,271.8741760253906|0.9412648677825928,-1.3352997996207705e-07,0.33766916394233704|1.2407977578732243e-07,1,4.956939037015218e-08|Running
252.20098876953125,107.9198226928711,272.2332763671875|0.943596601486206,-1.0162392527490738e-07,0.3310973346233368|9.513414767070572e-08,1,3.580719720730485e-08|Running
253.0232391357422,107.93394470214844,272.5321044921875|0.9430559277534485,-1.218516416656712e-07,0.33263421058654785|1.1463151139423644e-07,1,4.132983022486769e-08|Running
253.8381805419922,107.94705963134766,272.85040283203125|0.9406396746635437,-1.1002865818454666e-07,0.3394068479537964|1.0315555698525714e-07,1,3.829164185731315e-08|Running
254.7666473388672,107.96044921875,273.2215576171875|0.9374767541885376,-1.189070246709889e-07,0.34804782271385193|1.1026967428051648e-07,1,4.4625387829455576e-08|Running
255.81240844726562,108.01529693603516,273.62811279296875|0.9356205463409424,-9.493183483755274e-08,0.35300737619400024|8.749008628683441e-08,1,3.7036944178225895e-08|Running
257.09515380859375,108.1461181640625,274.09808349609375|0.9365764856338501,1.38922123804619e-10,0.35046324133872986|-6.014613251892342e-10,1,1.2109470093335517e-09|Running
258.8504638671875,108.34038543701172,274.7241516113281|0.9392290711402893,-5.114036749631623e-09,0.3432910144329071|4.289730792805813e-09,1,3.1605740247186986e-09|Running
260.1034851074219,108.56190490722656,275.2312927246094|0.9354088306427002,-1.1667506072399192e-07,0.3535679280757904|1.080546354614853e-07,1,4.4121076570036166e-08|Running
260.9951477050781,108.75951385498047,275.6429748535156|0.9288343191146851,-1.4058865360766504e-07,0.37049537897109985|1.295219789199109e-07,1,5.474885256262496e-08|Running
261.86505126953125,108.98558044433594,276.0724182128906|0.9207518696784973,-1.707354044810927e-07,0.39014872908592224|1.5581703394218493e-07,1,6.988764766902023e-08|Running
262.5128479003906,109.17040252685547,276.4056396484375|0.9146349430084229,-1.6046008965986402e-07,0.40428072214126587|1.4540439963184326e-07,1,6.794324036718535e-08|Running
263.4899597167969,109.41734313964844,276.91943359375|0.9059938192367554,-1.2500458979047835e-07,0.423290878534317|1.120667505460915e-07,1,5.5453135416883015e-08|Running
264.3546142578125,109.64855194091797,277.3687438964844|0.9006926417350769,-1.2789647030331253e-07,0.4344569146633148|1.1376950226349436e-07,1,5.85216319848314e-08|Running
265.32855224609375,109.90473175048828,277.8739929199219|0.8965959548950195,-1.0938645544911196e-07,0.4428495466709137|9.671748557593673e-08,1,5.1191086924973206e-08|Running
266.6347351074219,110.18411254882812,278.5517272949219|0.8928633332252502,-8.996983780207302e-08,0.45032772421836853|7.908375465603967e-08,1,4.29883648678242e-08|Running
268.3387145996094,110.68818664550781,279.4349670410156|0.8900114893913269,-8.489533342981304e-08,0.45593807101249695|7.43160128990894e-08,1,4.113108786896191e-08|Running
269.5283203125,111.00536346435547,280.0557861328125|0.8886474967002869,6.45824327349942e-09,0.45859095454216003|-5.7349862636613125e-09,1,-2.9696665126976995e-09|Running
271.289794921875,111.24955749511719,280.98040771484375|0.886890172958374,8.984077481954955e-08,0.46198028326034546|-7.882194807962151e-08,1,-4.3149810835529934e-08|Running
272.59423828125,111.36023712158203,281.7062683105469|0.8819817304611206,-4.998685909640699e-08,0.47128355503082275|4.274177101137866e-08,1,2.6076440562405878e-08|Running
274.30206298828125,111.43689727783203,282.7439270019531|0.8679887652397156,-1.237193743008902e-07,0.49658384919166565|1.0601411304378416e-07,1,6.383678652355229e-08|Running
275.31195068359375,111.53839111328125,283.466064453125|0.8511590957641602,-2.9036200999144057e-07,0.5249077677726746|2.4444349833174783e-07,1,1.5679268017265713e-07|Running
276.28424072265625,111.70751953125,284.2292175292969|0.8306114077568054,-3.531949062107742e-07,0.5568524599075317|2.9004760904172144e-07,1,2.0162981684279657e-07|Running
277.051025390625,111.75971984863281,284.8696594238281|0.8141033053398132,-3.1234796438184276e-07,0.5807201266288757|2.5102627887463314e-07,1,1.8595301298773848e-07|Running
277.90374755859375,111.70471954345703,285.6007080078125|0.7976638078689575,-2.1763197821655922e-07,0.6031023263931274|1.709278762973554e-07,1,1.347847273791558e-07|Running
278.56341552734375,111.69775390625,286.1754150390625|0.7871493101119995,-1.4447344653945038e-07,0.6167625188827515|1.1175693970244538e-07,1,9.16139484274936e-08|Running
279.3160095214844,111.71117401123047,286.83197021484375|0.7778856158256531,-1.31482167375907e-07,0.6284058690071106|1.0021530982839977e-07,1,8.517763205873052e-08|Running
279.87945556640625,111.75218200683594,287.3236389160156|0.7726739645004272,-1.192963594576213e-07,0.634803056716919|9.023010250075458e-08,1,7.809967428329401e-08|Running
280.6417541503906,111.78225708007812,287.97015380859375|0.7695016264915466,-8.77179360259106e-08,0.6386448740959167|6.560527765486768e-08,1,5.830245441984516e-08|Running
282.1931457519531,111.6560287475586,289.2247619628906|0.7732712626457214,-1.1855844661567971e-07,0.634075403213501|8.710422605417989e-08,1,8.075262769580149e-08|Running
282.998291015625,111.46237182617188,289.808837890625|0.7824434041976929,-1.3218594574482267e-07,0.6227217316627502|1.0021885543665121e-07,1,8.634734172119352e-08|Running
283.8154296875,111.47985076904297,290.383056640625|0.7924491763114929,-1.3162599543647957e-07,0.6099379062652588|1.0151181584205915e-07,1,8.391514683125934e-08|Running
284.7450256347656,111.49341583251953,291.01422119140625|0.803403913974762,-1.4128484338016278e-07,0.5954344272613525|1.104962450426683e-07,1,8.81906103700203e-08|Running
285.5738525390625,111.35358428955078,291.5620422363281|0.8121554851531982,-1.3595831660495605e-07,0.5834410190582275|1.0763545787995099e-07,1,8.3198777645066e-08|Running
286.508544921875,111.4081802368164,292.18133544921875|0.8191508650779724,-1.2146215055963694e-07,0.5735781192779541|9.728025673894081e-08,1,7.283217939857423e-08|Running
287.2363586425781,111.43897247314453,292.6661071777344|0.822608470916748,-1.2186981734885194e-07,0.5686082243919373|9.826415947600253e-08,1,7.217075648213722e-08|Running
288.0595397949219,111.40068054199219,293.2320861816406|0.8233858346939087,-5.322440443933374e-08,0.5674819946289062|4.326717828462279e-08,1,3.101212797673725e-08|Running
288.97357177734375,111.28211975097656,293.8762512207031|0.8218197822570801,1.0086186108537731e-08,0.5697475075721741|-7.384262978860079e-09,1,-7.051636607968703e-09|Running
289.7757873535156,111.04670715332031,294.4508972167969|0.819523274898529,2.2425599155440068e-08,0.5730459094047546|-1.7026478005277568e-08,1,-1.4784163226977398e-08|Running
290.3843688964844,111.01350402832031,294.8872985839844|0.8180561065673828,-4.708410550335884e-09,0.5751384496688843|4.963276900582514e-09,1,1.1269837285610151e-09|Running
291.9933776855469,111.21090698242188,296.0411682128906|0.8151081800460815,-8.491410596889182e-08,0.579308807849884|6.895467663525778e-08,1,4.955662546990425e-08|Running
293.69927978515625,111.45392608642578,297.0675048828125|0.8366305828094482,-1.6865720908754156e-07,0.5477675199508667|1.375649105739285e-07,1,9.779002141385718e-08|Running
295.45916748046875,111.51608276367188,298.0170593261719|0.8608351945877075,-1.9922630656310503e-07,0.5088837742805481|1.6758266951910628e-07,1,1.0801137051430487e-07|Running
297.23162841796875,111.66610717773438,298.9312744140625|0.876880407333374,-1.3561516709614807e-07,0.48070859909057617|1.166354479664733e-07,1,6.935559326848306e-08|Running
299.0123596191406,111.84557342529297,299.82659912109375|0.8864312767982483,-1.1927386367460713e-07,0.46286019682884216|1.0398387217946947e-07,1,5.854749929312675e-08|Running
300.7941589355469,111.95616149902344,300.728515625|0.8900122046470642,-1.2573923413583543e-07,0.4559366703033447|1.1058043014600116e-07,1,5.992345109007147e-08|Running
302.5773620605469,111.89888000488281,301.63128662109375|0.8913354277610779,4.251003105082418e-08,0.453344464302063|-3.71478172667139e-08,1,-2.073228699828178e-08|Running
304.3770751953125,111.91936492919922,302.5037841796875|0.8957434892654419,3.509911650212416e-08,0.44457122683525085|-3.044096530402385e-08,1,-1.7616569536471616e-08|Running
306.1893310546875,111.86235046386719,303.3477783203125|0.9015768766403198,-1.1722885773224334e-07,0.4326188862323761|1.0368655978254537e-07,1,5.4892314693688604e-08|Running
307.993896484375,111.93585205078125,304.2027893066406|0.9030583500862122,-5.177583872750802e-08,0.42951783537864685|4.601252712177484e-08,1,2.3803064408411956e-08|Running
309.80950927734375,112.05770874023438,305.03271484375|0.9064074754714966,-1.0518760973354802e-07,0.42240434885025024|9.428759284446642e-08,1,4.669608344443077e-08|Running
311.6519775390625,112.19111633300781,305.8031005859375|0.9149945378303528,-1.1955637546634534e-07,0.40346625447273254|1.0766506619575011e-07,1,5.215660081603346e-08|Running
313.5029296875,112.28510284423828,306.5548400878906|0.9215037822723389,-1.105331648432184e-07,0.3883693814277649|1.0055934041020009e-07,1,4.6006075393734136e-08|Running
315.3607177734375,112.30091857910156,307.2953186035156|0.9257277250289917,-1.0007546791257482e-07,0.37819066643714905|9.148933344249599e-08,1,4.0670638412620974e-08|Running
317.1997375488281,112.08350372314453,308.06439208984375|0.9244210124015808,-4.6510567841551165e-08,0.3813735842704773|4.28378577055355e-08,1,1.8119635569746606e-08|Running
318.8558349609375,112.15858459472656,308.9360046386719|0.9066225290298462,-2.541725905302883e-07,0.4219425916671753|2.284713644939984e-07,1,1.1147320577720166e-07|Running
320.58709716796875,112.29248046875,309.923828125|0.8865183591842651,-1.8646846910996828e-07,0.46269339323043823|1.6352161935628828e-07,1,8.969988130047568e-08|Running
322.3532409667969,112.4925537109375,310.8434143066406|0.8852584958076477,8.897860226397825e-08,0.46509936451911926|-7.939492974173845e-08,1,-4.019262078713837e-08|Running
324.1711120605469,112.66575622558594,311.66754150390625|0.8985385298728943,-1.2322163911449024e-07,0.4388946294784546|1.0880299328164256e-07,1,5.8004697933711213e-08|Running
326.0148010253906,112.768310546875,312.43402099609375|0.9124240279197693,-1.2713302055544773e-07,0.4092461168766022|1.1411150069307041e-07,1,5.623741117233294e-08|Running
327.86962890625,112.96334075927734,313.1661071777344|0.9225461483001709,-1.28758884443414e-07,0.3858867883682251|1.1710334035797132e-07,1,5.3709147351810316e-08|Running
