pargoy|true|979
-822.78759765625,120.96450805664062,-536.768310546875|0.19497068226337433,4.207206316664269e-08,0.9808090925216675|-7.422598535811176e-09,1,-4.141975651350549e-08|Running
-822.6906127929688,120.93167877197266,-536.2789306640625|0.19490879774093628,5.000323710646626e-08,0.9808213710784912|-8.846405386009337e-09,1,-4.92230221027512e-08|Running
-822.5694580078125,120.8818359375,-535.6678466796875|0.19483913481235504,5.988773921217216e-08,0.9808351993560791|-1.0620449408804689e-08,1,-5.8948188552676584e-08|Running
-822.4483032226562,120.82364654541016,-535.0574340820312|0.19478057324886322,6.97447859465683e-08,0.9808468222618103|-1.238921942814386e-08,1,-6.864640766934826e-08|Running
-822.3516235351562,120.76573944091797,-534.5702514648438|0.19474150240421295,7.761423859165006e-08,0.9808545708656311|-1.3801180642758482e-08,1,-7.638907817408835e-08|Running
-822.2549438476562,120.70675659179688,-534.0831909179688|0.19470833241939545,8.547165464278805e-08,0.9808611869812012|-1.5210888548722323e-08,1,-8.41199252477054e-08|Running
-822.1582641601562,120.64857482910156,-533.5961303710938|0.1946798712015152,9.331849071259057e-08,0.9808668494224548|-1.6618644238519664e-08,1,-9.184036997567091e-08|Running
-822.0374145507812,120.57691192626953,-532.9869995117188|0.1946496069431305,1.0311369180726615e-07,0.9808728694915771|-1.8375898136469004e-08,1,-1.0147780926672567e-07|Running
-821.9409790039062,120.51342010498047,-532.5005493164062|0.1946292519569397,1.109399931920052e-07,0.9808768630027771|-1.9779891502480496e-08,1,-1.091780745809956e-07|Running
-821.8220825195312,120.4239273071289,-531.8934936523438|0.1942966729402542,1.2052879583279719e-07,0.9809427857398987|-2.1496372681895082e-08,1,-1.1861254023415313e-07|Running
-821.6809692382812,120.30423736572266,-531.1666870117188|0.19358591735363007,1.3071689863863867e-07,0.981083333492279|-2.329402803979974e-08,1,-1.2864096277098724e-07|Running
-821.5638427734375,120.19585418701172,-530.5624389648438|0.19303172826766968,1.3761700756731443e-07,0.9811925292015076|-2.447618818735009e-08,1,-1.3543960619699646e-07|Running
-821.4461059570312,120.10553741455078,-529.9553833007812|0.19257232546806335,7.39489678380778e-08,0.9812827706336975|-1.3114146213411004e-08,1,-7.278589464476681e-08|Running
-821.3514404296875,120.06777954101562,-529.466064453125|0.19221888482570648,8.583247890214807e-09,0.9813520908355713|-1.4550490812226258e-09,1,-8.461346290289384e-09|Running
-821.2564697265625,120.05458068847656,-528.9754028320312|0.19189748167991638,-5.71984664077263e-08,0.9814149737358093|1.0283990548032307e-08,1,5.627078891734527e-08|Running
-821.1614990234375,120.0385971069336,-528.4849243164062|0.1916184425354004,-8.75982308912171e-08,0.9814695119857788|1.5693220944967834e-08,1,8.618823699180211e-08|Running
-821.0665283203125,120.02714538574219,-527.994384765625|0.19137828052043915,-8.25673680537875e-08,0.9815163612365723|1.4764357736396505e-08,1,8.124347061766457e-08|Running
-820.9478149414062,120.02623748779297,-527.3807373046875|0.19112257659435272,-7.656478828721447e-08,0.9815661907196045|1.3659303021995584e-08,1,7.534304558021176e-08|Running
-820.80615234375,119.99827575683594,-526.6448974609375|0.1907101720571518,-6.984754463701393e-08,0.9816463589668274|1.2428084339433099e-08,1,6.87389913878178e-08|Running
-820.6670532226562,119.99824523925781,-525.907958984375|0.18974310159683228,-6.519126571902234e-08,0.9818337559700012|1.1599432525599696e-08,1,6.415582731733593e-08|Running
-820.5513916015625,120.00264739990234,-525.2936401367188|0.18893522024154663,-6.451909229099329e-08,0.9819895625114441|1.1532880428433145e-08,1,6.348349046447765e-08|Running
-820.4126586914062,120.00534057617188,-524.5564575195312|0.1881319135427475,-6.66242740976486e-08,0.982143759727478|1.2016156070160378e-08,1,6.553383968821436e-08|Running
-820.3201293945312,120.00161743164062,-524.0650024414062|0.18769468367099762,-6.927288609404059e-08,0.9822274446487427|1.257791826247967e-08,1,6.812279451651193e-08|Running
-820.2276000976562,119.9977035522461,-523.5735473632812|0.18732817471027374,-7.257295919771423e-08,0.9822973608970642|1.3264275899871336e-08,1,7.13512875449851e-08|Running
-820.1119384765625,119.98579406738281,-522.9595336914062|0.18693998456001282,-7.734087148492108e-08,0.9823713302612305|1.4245485679964531e-08,1,7.601791196520935e-08|Running
-819.9962768554688,119.97321319580078,-522.3455200195312|0.1866168975830078,-8.262060191555065e-08,0.9824327826499939|1.5324260971283366e-08,1,8.118706773529993e-08|Running
-819.8583984375,119.95681762695312,-521.6083984375|0.18610380589962006,-8.969240639089548e-08,0.9825301170349121|1.6758916032699744e-08,1,8.811282725673664e-08|Running
-819.7666015625,119.94538116455078,-521.116943359375|0.18578317761421204,-9.50020933032647e-08,0.9825907349586487|1.782847114384367e-08,1,9.33143979864326e-08|Running
-819.65185546875,119.9328384399414,-520.5026245117188|0.18544405698776245,-1.0212661294417558e-07,0.9826548099517822|1.9257949901430038e-08,1,1.0029497587993319e-07|Running
-819.56005859375,119.9161376953125,-520.0114135742188|0.1852159947156906,-1.0811095307872165e-07,0.9826978445053101|2.0455393823226586e-08,1,1.0615907086730658e-07|Running
-819.4453125,119.88493347167969,-519.3978881835938|0.18497592210769653,-1.1583252756963702e-07,0.9827430248260498|2.1997301757892274e-08,1,1.137261236294762e-07|Running
-819.330810546875,119.83477020263672,-518.7855224609375|0.18477636575698853,-1.2374306379570044e-07,0.9827805757522583|2.3574317609131867e-08,1,1.2147887673563673e-07|Running
-819.1708374023438,119.7448959350586,-517.9299926757812|0.18454931676387787,-1.3502145179700165e-07,0.9828232526779175|2.581964508863166e-08,1,1.3253293218440376e-07|Running
-819.0795288085938,119.6926498413086,-517.4412231445312|0.18444591760635376,-1.0657589655238553e-07,0.9828426837921143|2.0413748913483687e-08,1,1.0460541233214826e-07|Running
-818.965087890625,119.63316345214844,-516.8297119140625|0.18434016406536102,-2.742211613337986e-08,0.9828625321388245|5.29939647719857e-09,1,2.6906331385134763e-08|Running
-818.8734741210938,119.59524536132812,-516.3396606445312|0.1842695027589798,3.58119152110703e-08,0.9828757643699646|-6.7746097620613455e-09,1,-3.5165747647170065e-08|Running
-818.7821655273438,119.53953552246094,-515.8513793945312|0.18420951068401337,9.897452457607869e-08,0.9828870296478271|-1.8834557025115828e-08,1,-9.716784887814356e-08|Running
-818.6683349609375,119.4562759399414,-515.2424926757812|0.1841457635164261,8.485048397233186e-08,0.9828989505767822|-1.6176210593243923e-08,1,-8.329615752700192e-08|Running
-818.556396484375,119.34663391113281,-514.6358642578125|0.18378093838691711,7.050932993024617e-08,0.98296719789505|-1.3477560401042865e-08,1,-6.921126782799547e-08|Running
-818.4450073242188,119.19127655029297,-514.0322265625|0.18336115777492523,5.548040249436781e-08,0.9830456376075745|-1.0650193615902026e-08,1,-5.445075146326417e-08|Running
-818.3336181640625,119.07052612304688,-513.4279174804688|0.1830010861158371,3.984152385783091e-08,0.9831126928329468|-7.709443750059108e-09,1,-3.9090824799359325e-08|Running
-818.221923828125,118.96783447265625,-512.8216552734375|0.18270286917686462,2.3778031987831127e-08,0.9831681847572327|-4.690453359046387e-09,1,-2.3313480923548013e-08|Running
-818.087890625,118.8596420288086,-512.0916748046875|0.18225470185279846,3.932856706967414e-09,0.9832513332366943|-9.629500530294877e-10,1,-3.821357008604309e-09|Running
-817.9990234375,118.77490234375,-511.60699462890625|0.1819779872894287,-9.733561512348388e-09,0.9833025932312012|1.60272850546761e-09,1,9.602232786676268e-09|Running
-817.888671875,118.64864349365234,-511.00494384765625|0.18168573081493378,-2.7166784377641306e-08,0.9833566546440125|4.874010084421343e-09,1,2.672605781128823e-08|Running
-817.7787475585938,118.5132827758789,-510.4048156738281|0.18144263327121735,-4.487351290549668e-08,0.9834015369415283|8.195199185934143e-09,1,4.4118859676700595e-08|Running
-817.6685791015625,118.37898254394531,-509.8044128417969|0.1812421977519989,-6.276129482785109e-08,0.9834384918212891|1.1549123435372621e-08,1,6.168978217147014e-08|Running
-817.536376953125,118.2229995727539,-509.0828857421875|0.18104572594165802,-8.437682907924682e-08,0.9834746718406677|1.5600980063368297e-08,1,8.292266073794963e-08|Running
-817.4480590820312,118.12090301513672,-508.6014709472656|0.18093901872634888,-9.884594476261555e-08,0.9834943413734436|1.8312698912836822e-08,1,9.713575366276928e-08|Running
-817.3375854492188,117.99452209472656,-507.9993896484375|0.1808282732963562,-1.1696827328933068e-07,0.983514666557312|2.1708599362568748e-08,1,1.149375279396736e-07|Running
-817.2492065429688,117.8948974609375,-507.5174865722656|0.18075405061244965,-1.3148296318377106e-07,0.9835283160209656|2.4428153722055868e-08,1,1.29195541376248e-07|Running
-817.1608276367188,117.79456329345703,-507.0356750488281|0.18069101870059967,-7.606112717439828e-08,0.9835399389266968|1.4144802662485745e-08,1,7.473543917058123e-08|Running
-817.0724487304688,117.6931381225586,-506.5540771484375|0.18063700199127197,-2.07005932395532e-08,0.9835498332977295|3.873132925491518e-09,1,2.033548440749655e-08|Running
-816.9843139648438,117.58990478515625,-506.0728454589844|0.1805906444787979,3.460232989027645e-08,0.9835583567619324|-6.387534945417883e-09,1,-3.400795023367209e-08|Running
-816.8961791992188,117.48312377929688,-505.5924072265625|0.18055081367492676,8.985038846276439e-08,0.9835656881332397|-1.663776139082529e-08,1,-8.829753994632483e-08|Running
-816.7639770507812,117.32213592529297,-504.87188720703125|0.18050026893615723,8.092149528238224e-08,0.9835749268531799|-1.500073132376656e-08,1,-7.951997815780487e-08|Running
-816.6525268554688,117.18814849853516,-504.2716979980469|0.18077726662158966,5.808632863590901e-08,0.9835240840911865|-1.0783220538712612e-08,1,-5.7077368609270707e-08|Running
-816.5389404296875,117.05397033691406,-503.6719665527344|0.18159036338329315,3.3890767525690535e-08,0.9833742380142212|-6.310482358884428e-09,1,-3.3298455548447237e-08|Running
-816.4228515625,116.92316436767578,-503.0718994140625|0.18291640281677246,4.853649926417347e-09,0.9831284880638123|-9.291382108145285e-10,1,-4.764072691898491e-09|Running
-816.3297729492188,116.8184814453125,-502.5919189453125|0.18395745754241943,-2.3712296126632282e-08,0.9829341769218445|4.382405993652583e-09,1,2.3303817542341676e-08|Running
-816.2113037109375,116.69010162353516,-501.9918212890625|0.18554122745990753,-6.689361953249318e-08,0.9826364517211914|1.2443706509657204e-08,1,6.57260343928101e-08|Running
-816.1162719726562,116.5876693725586,-501.51171875|0.18674489855766296,-1.0874607170308082e-07,0.9824084639549255|2.0291610169920204e-08,1,1.0683613282935767e-07|Running
-815.9729614257812,116.43416595458984,-500.791748046875|0.1884770691394806,-7.468588592018932e-08,0.9820775985717773|1.401470139938965e-08,1,7.335921026196957e-08|Running
-815.8514404296875,116.321044921875,-500.189208984375|0.19000966846942902,-5.6104735079998136e-08,0.9817821979522705|1.0673437245145578e-08,1,5.5080118244177356e-08|Running
-815.7535400390625,116.2474136352539,-499.7044982910156|0.19111856818199158,-4.773227857413076e-08,0.9815669655799866|9.26173626680793e-09,1,4.6825320509924495e-08|Running
-815.6552124023438,116.19266510009766,-499.2173767089844|0.19207119941711426,-4.369992367969644e-08,0.9813809990882874|8.699217346475052e-09,1,4.282643928377183e-08|Running
-815.531982421875,116.14580535888672,-498.60699462890625|0.19308499991893768,-4.3068713040383955e-08,0.9811820387840271|8.863316303120428e-09,1,4.215052840095268e-08|Running
-815.407470703125,116.0863037109375,-497.9974365234375|0.1942351907491684,-4.7048644091773895e-08,0.9809550046920776|9.94067672621668e-09,1,4.599376879355077e-08|Running
-815.2821655273438,116.0221176147461,-497.38848876953125|0.19546039402484894,-5.6872977438615635e-08,0.9807115793228149|1.2181814668110746e-08,1,5.556364968128946e-08|Running
-815.155517578125,115.96110534667969,-496.779541015625|0.19681856036186218,-7.343950159111046e-08,0.9804399013519287|1.5775999173683886e-08,1,7.17376877901188e-08|Running
-815.026611328125,115.9045639038086,-496.1705627441406|0.19848588109016418,-9.927947530741221e-08,0.9801037311553955|2.124625453348017e-08,1,9.699218139758159e-08|Running
-814.92333984375,115.8572998046875,-495.68359375|0.19973783195018768,-1.1021878520978134e-07,0.9798493981361389|2.348267358343037e-08,1,1.0769859670745063e-07|Running
-814.8190307617188,115.80987548828125,-495.1968688964844|0.20104695856571198,-7.440434046657174e-08,0.9795815944671631|1.573048891145845e-08,1,7.272673485658743e-08|Running
-814.6865234375,115.74735260009766,-494.5893249511719|0.203006774187088,-4.169808676124376e-08,0.9791773557662964|8.521611860601297e-09,1,4.081808313571855e-08|Running
-814.5511474609375,115.68456268310547,-493.9823913574219|0.20542708039283752,-2.8697886733652922e-08,0.978672444820404|5.41280531507482e-09,1,2.8187113088051774e-08|Running
-814.4133911132812,115.62611389160156,-493.3755798339844|0.20811210572719574,-4.2760802898555994e-08,0.9781050086021423|8.001114437661272e-09,1,4.2015606993572874e-08|Running
-814.3014526367188,115.5864486694336,-492.889892578125|0.21035371720790863,-7.624574749343083e-08,0.9776253700256348|1.4809105053359417e-08,1,7.480431918338581e-08|Running
-814.1591186523438,115.54265594482422,-492.2829284667969|0.2133631408214569,-9.521311028493074e-08,0.9769729375839233|1.9191052302858225e-08,1,9.326608818582827e-08|Running
-814.0157470703125,115.47837829589844,-491.6780090332031|0.2163165956735611,-1.1512979369854293e-07,0.9763232469558716|2.4404709364489463e-08,1,1.1251462694872316e-07|Running
-813.8722534179688,115.39859008789062,-491.0749816894531|0.2189406007528305,-9.287379754141512e-08,0.9757381677627563|2.045680602691391e-08,1,9.059292693791576e-08|Running
-813.66943359375,115.2480697631836,-490.2373046875|0.22275392711162567,-8.442784604767439e-08,0.97487473487854|2.0144707235658643e-08,1,8.20008310142839e-08|Running
-813.5230712890625,115.14795684814453,-489.6379699707031|0.22527962923049927,-1.1368751984264236e-07,0.974294126033783|2.794156017671412e-08,1,1.102263169627804e-07|Running
-813.3745727539062,115.05267333984375,-489.0384826660156|0.22785551846027374,-9.394099009796264e-08,0.9736949801445007|2.3144364647009752e-08,1,9.106283016535599e-08|Running
-813.25537109375,114.9793701171875,-488.5584411621094|0.22970746457576752,-8.154856345754524e-08,0.9732597470283508|1.9864151212800607e-08,1,7.91007934708432e-08|Running
-813.106689453125,114.87993621826172,-487.9595642089844|0.2316766381263733,-8.297748621544088e-08,0.9727928638458252|1.9732448564013794e-08,1,8.059880229893679e-08|Running
-812.9884033203125,114.78659057617188,-487.4828796386719|0.233001708984375,-9.411124324287812e-08,0.9724763035774231|2.19892282160572e-08,1,9.15063083084533e-08|Running
-812.8704223632812,114.68537139892578,-487.00762939453125|0.2341274470090866,-1.1145584011273968e-07,0.9722059369087219|2.5724519403524937e-08,1,1.0844721742842012e-07|Running
-812.7234497070312,114.5497817993164,-486.4154968261719|0.2353227436542511,-1.0362050772982911e-07,0.9719172716140747|2.372367369218864e-08,1,1.0087050839047151e-07|Running
-812.546875,114.38639068603516,-485.7050476074219|0.2365071177482605,-3.6409652182101127e-08,0.9716297388076782|8.191290312709043e-09,1,3.5478898041674256e-08|Running
-812.3997802734375,114.25076293945312,-485.1129150390625|0.23730237782001495,1.5822177346080935e-08,0.9714358448982239|-3.848319440891146e-09,1,-1.534734650476821e-08|Running
-812.2820434570312,114.14230346679688,-484.63916015625|0.23782582581043243,5.5973472967707494e-08,0.9713078141212463|-1.3088029326979722e-08,1,-5.442229422669698e-08|Running
-812.1643676757812,114.03324127197266,-484.1655578613281|0.23826903104782104,9.512064735872627e-08,0.9711992144584656|-2.20865530309311e-08,1,-9.252283916794113e-08|Running
-812.0469360351562,113.9218521118164,-483.6924743652344|0.23864859342575073,9.772558229315109e-08,0.9711059927940369|-2.2625746609605812e-08,1,-9.507301967914827e-08|Running
-811.9296875,113.80786895751953,-483.219970703125|0.23897439241409302,6.402138552630277e-08,0.9710258841514587|-1.475895228253421e-08,1,-6.229944204960702e-08|Running
-811.7835083007812,113.65254974365234,-482.6313171386719|0.23932109773159027,2.140568788888686e-08,0.9709404706954956|-4.804301401151179e-09,1,-2.086215999952401e-08|Running
-811.6238403320312,113.50230407714844,-482.04608154296875|0.24272221326828003,-4.11691480906029e-08,0.9700958132743835|1.0064788114050316e-08,1,3.991997488128618e-08|Running
-811.4464111328125,113.35423278808594,-481.4653625488281|0.2503761947154999,-1.0732242827771188e-07,0.9681486487388611|2.65032920054864e-08,1,1.0399914884828831e-07|Running
-811.2975463867188,113.23780822753906,-481.00250244140625|0.25783973932266235,-1.2321170572704432e-07,0.9661877155303955|3.133676784727868e-08,1,1.1916094422304013e-07|Running
-811.07275390625,113.06547546386719,-480.30810546875|0.2682393193244934,-1.2394659165693156e-07,0.9633523225784302|3.3086127615433725e-08,1,1.1944912614580971e-07|Running
-810.8927001953125,112.91415405273438,-479.72906494140625|0.2738068103790283,-1.1879871664177699e-07,0.9617847204208374|3.291328098953272e-08,1,1.1414908129836476e-07|Running
-810.7173461914062,112.75237274169922,-479.1498718261719|0.2769387662410736,-1.0014998252927398e-07,0.9608875513076782|2.8502920912387708e-08,1,9.601166794936944e-08|Running
-810.5147705078125,112.50617218017578,-478.45806884765625|0.27812692523002625,-8.130001560857636e-08,0.9605443477630615|2.411679567160263e-08,1,7.765647325186364e-08|Running
-810.3529663085938,112.3158187866211,-477.883544921875|0.27726688981056213,-6.849407441222866e-08,0.9607929587364197|2.1280055051420277e-08,1,6.514807893154284e-08|Running
-810.1956176757812,112.12316131591797,-477.3101501464844|0.27530133724212646,-6.566016708120515e-08,0.9613580107688904|2.1247874570917702e-08,1,6.221470272294027e-08|Running
-810.0393676757812,111.92280578613281,-476.7391357421875|0.2733374238014221,-8.030978904116637e-08,0.9619182348251343|2.6102899397528745e-08,1,7.607184215885354e-08|Running
-809.89599609375,111.7177505493164,-476.1664733886719|0.268775075674057,-1.0437040742772297e-07,0.963202953338623|3.235273382529158e-08,1,9.932984568195025e-08|Running
-809.7576293945312,111.51715087890625,-475.5909118652344|0.2630029618740082,-1.0670383687738649e-07,0.9647949934005737|2.987086844541409e-08,1,1.0245462078728451e-07|Running
-809.6519775390625,111.36564636230469,-475.1263122558594|0.2575872838497162,-1.1808828048742726e-07,0.9662550091743469|3.082573485357898e-08,1,1.1399470878359352e-07|Running
-809.5023803710938,111.14738464355469,-474.424560546875|0.2479114532470703,-1.3494735640051658e-07,0.9687827229499817|3.4351774758079046e-08,1,1.305051853250916e-07|Running
-809.3922729492188,111.00657653808594,-473.83258056640625|0.2373860627412796,-1.2714868091734388e-07,0.9714154005050659|3.167859574659815e-08,1,1.231487800623654e-07|Running
-809.2906494140625,110.85917663574219,-473.2362060546875|0.2258075624704361,-1.4018736749221716e-07,0.9741719365119934|3.335617648758671e-08,1,1.3617236049867643e-07|Running
-809.2146606445312,110.73764038085938,-472.7572326660156|0.21643449366092682,-1.4778598256270925e-07,0.97629714012146|3.3797828535853114e-08,1,1.438813654885962e-07|Running
-809.1265258789062,110.58165740966797,-472.15850830078125|0.20454448461532593,-1.5097745631464932e-07,0.9788572788238525|3.27385443199546e-08,1,1.4739735831881262e-07|Running
-809.032470703125,110.38768768310547,-471.4400939941406|0.18953673541545868,-1.6477777364798385e-07,0.981873631477356|3.331224007752098e-08,1,1.6138928060627222e-07|Running
-808.959716796875,110.21821594238281,-470.84295654296875|0.17769402265548706,-1.5493621674522728e-07,0.9840857982635498|2.9487848607345768e-08,1,1.5211722370622738e-07|Running
-808.8921508789062,110.045654296875,-470.2461242675781|0.166535422205925,-1.3405019672063645e-07,0.9860354661941528|2.3905318613515192e-08,1,1.3191119307975896e-07|Running
-808.8168334960938,109.83908081054688,-469.52911376953125|0.15385504066944122,-1.4264821857068455e-07,0.9880934357643127|2.345891836341707e-08,1,1.4071437703933043e-07|Running
-808.7545166015625,109.66817474365234,-468.9311218261719|0.14496764540672302,-1.431681937447138e-07,0.9894363880157471|2.2224758922106957e-08,1,1.4144045223929425e-07|Running
-808.6918334960938,109.4974594116211,-468.3331298828125|0.13776420056819916,-1.2345826405635307e-07,0.9904650449752808|1.817750217014691e-08,1,1.221184504629491e-07|Running
-808.6304931640625,109.30644989013672,-467.7412414550781|0.13169002532958984,-1.1420610945833687e-07,0.9912909269332886|1.5823896859501474e-08,1,1.1310731906633009e-07|Running
-808.5586547851562,109.05519104003906,-467.03704833984375|0.12541700899600983,-1.1387439968757462e-07,0.9921041131019592|1.4956926364106948e-08,1,1.1288990720004222e-07|Running
-808.5118408203125,108.84892272949219,-466.5750732421875|0.12188311666250229,-1.166479819403321e-07,0.9925444722175598|1.489140721844251e-08,1,1.1569554203560983e-07|Running
-808.4536743164062,108.578125,-466.00091552734375|0.11816611886024475,-1.0277040729533837e-07,0.9929938316345215|1.2761130818716993e-08,1,1.0197693711688771e-07|Running
-808.395751953125,108.36760711669922,-465.42535400390625|0.11498607695102692,-1.1728456428272693e-07,0.993367075920105|1.4100545620010507e-08,1,1.164355012406304e-07|Running
-808.3378295898438,108.13384246826172,-464.8487854003906|0.11232936382293701,-9.181370330679783e-08,0.9936710000038147|1.0792848392782162e-08,1,9.117841415218209e-08|Running
-808.29150390625,107.9483642578125,-464.38677978515625|0.1105569377541542,-7.391687262270352e-08,0.9938697814941406|8.434902554199653e-09,1,7.343450647567806e-08|Running
-808.2332763671875,107.72061157226562,-463.8077087402344|0.108693428337574,-6.621478121360269e-08,0.9940752983093262|7.1809309609705e-09,1,6.582425271517423e-08|Running
-808.1740112304688,107.52278137207031,-463.2179260253906|0.10714446753263474,-7.013780134457193e-08,0.9942434430122375|7.248344591204159e-09,1,6.976276978321039e-08|Running
-808.1145629882812,107.3468246459961,-462.6212158203125|0.10577815771102905,-8.241016047350058e-08,0.9943897724151611|8.248143501532468e-09,1,8.199771883710127e-08|Running
-808.0662841796875,107.23226165771484,-462.13702392578125|0.10484147071838379,-9.692445246400894e-08,0.9944889545440674|9.566443637254451e-09,1,9.645304999139626e-08|Running
-808.0180053710938,107.12039947509766,-461.6521301269531|0.10404310375452042,-1.1441066050110749e-07,0.9945728182792664|1.1208453720712441e-08,1,1.1386244835875914e-07|Running
-807.9575805664062,106.97854614257812,-461.0464782714844|0.10319460183382034,-1.0371683600851611e-07,0.9946612119674683|1.0120479565500773e-08,1,1.0322354881964202e-07|Running
-807.8214721679688,106.6579360961914,-459.7163391113281|0.10255347192287445,3.261693493072926e-08,0.9947274923324585|-3.209925436564731e-09,1,-3.245888535730046e-08|Running
-807.7322998046875,106.47342681884766,-458.86566162109375|0.1028812825679779,1.0062634459018227e-07,0.9946936368942261|-9.851802929006226e-09,1,-1.0014418450055018e-07|Running
-807.6814575195312,106.35533142089844,-458.38250732421875|0.10312267392873764,7.730563567065474e-08,0.9946686625480652|-7.55930251727932e-09,1,-7.693627424032456e-08|Running
-807.6306762695312,106.23491668701172,-457.89984130859375|0.10333269834518433,5.380198331295105e-08,0.9946468472480774|-5.24608312346686e-09,1,-5.354653254130426e-08|Running
-807.5575561523438,106.05354309082031,-457.17584228515625|0.1028725653886795,1.8126863565726126e-08,0.9946945309638977|-1.7307105748542995e-09,1,-1.8044556071572515e-08|Running
-807.51123046875,105.93782043457031,-456.691650390625|0.1019679456949234,-7.481138375453611e-09,0.9947876930236816|8.068304913066981e-10,1,7.437634952367489e-09|Running
-807.4613037109375,105.78824615478516,-456.0868225097656|0.09899542480707169,-5.709152262056705e-08,0.9950878620147705|5.828802773777397e-09,1,5.679347481191144e-08|Running
-807.4163818359375,105.6398696899414,-455.48138427734375|0.09492693841457367,-1.0227773827864439e-07,0.9954842329025269|1.0431426389345688e-08,1,1.0174698417131367e-07|Running
-807.384521484375,105.50792694091797,-455.00018310546875|0.0911015197634697,-1.0833912966745629e-07,0.9958416223526001|1.093439916388661e-08,1,1.0779123016391168e-07|Running
-807.3499755859375,105.32740020751953,-454.40283203125|0.08562150597572327,-1.1760659646142813e-07,0.9963277578353882|1.1346344308549305e-08,1,1.170649994719497e-07|Running
-807.320068359375,105.13795471191406,-453.8060607910156|0.07966096699237823,-1.1039512770594229e-07,0.9968219995498657|9.922476174040185e-09,1,1.0995412935699278e-07|Running
-807.30322265625,104.95108795166016,-453.2098693847656|0.07140257954597473,-1.3163084133793745e-07,0.9974475502967834|1.0730679456116832e-08,1,1.3119951347562164e-07|Running
-807.294189453125,104.76708221435547,-452.61260986328125|0.06200601905584335,-1.3090760830891668e-07,0.9980757832527161|9.614848472949689e-09,1,1.3056265402155987e-07|Running
-807.2931518554688,104.61507415771484,-452.1363220214844|0.05395035818219185,-1.3144891397587344e-07,0.9985436201095581|8.647882410173224e-09,1,1.311733939246551e-07|Running
-807.300048828125,104.40333557128906,-451.547607421875|0.04300648346543312,-1.3896803352508869e-07,0.9990748167037964|7.662061207724946e-09,1,1.3876689308744972e-07|Running
-807.3181762695312,104.10005187988281,-450.85943603515625|0.029037678614258766,-1.3649469110532664e-07,0.9995782971382141|5.6072306797716465e-09,1,1.36389388671887e-07|Running
-807.350341796875,103.81928253173828,-450.19970703125|0.013443308882415295,-1.6911589284518413e-07,0.9999096393585205|4.463232894380553e-09,1,1.690711712853954e-07|Running
-807.377197265625,103.55224609375,-449.76318359375|0.0031181173399090767,-1.7578489064362657e-07,0.9999951124191284|2.9120408306937406e-09,1,1.7577666255874647e-07|Running
-807.4235229492188,103.11007690429688,-449.1103515625|-0.011952875182032585,-1.6248016265763e-07,0.9999285340309143|1.4843555551369292e-10,1,1.62493535071917e-07|Running
-807.4708251953125,102.8458480834961,-448.5718994140625|-0.024797258898615837,-1.655951109569287e-07,0.9996924996376038|-1.9996604372352067e-09,1,1.6559644677727192e-07|Running
-807.5133666992188,102.56259155273438,-448.1359558105469|-0.034793607890605927,-1.6425886428805825e-07,0.9993945360183716|-3.600603815101522e-09,1,1.64233028954186e-07|Running
-807.5838623046875,102.24598693847656,-447.4785461425781|-0.04942148178815842,-1.526439064036822e-07,0.9987779855728149|-5.633517652370301e-09,1,1.5255190533025598e-07|Running
-807.6473999023438,102.12968444824219,-446.9313049316406|-0.06086243316531181,-1.3820233846217889e-07,0.9981461763381958|-6.737831625969193e-09,1,1.3804817911022838e-07|Running
-807.7208862304688,101.91355895996094,-446.3816223144531|-0.07291001826524734,-1.4324454866709857e-07,0.9973385334014893|-8.72184990896585e-09,1,1.4298920802957582e-07|Running
-807.8001098632812,101.59760284423828,-445.8324890136719|-0.08486291021108627,-1.489809875465653e-07,0.9963926076889038|-1.0783041126671833e-08,1,1.4860196984045615e-07|Running
-807.9861450195312,100.81826782226562,-444.626953125|-0.11006350070238113,-1.3365139750476374e-07,0.9939245581626892|-1.3126619791137273e-08,1,1.330147654243774e-07|Running
-808.0994873046875,100.5777359008789,-443.9996337890625|-0.12411344051361084,-1.4092640299168124e-07,0.9922680258750916|-1.578451858108565e-08,1,1.4005019011165132e-07|Running
-808.1739501953125,100.3375244140625,-443.6020202636719|-0.13260431587696075,-1.2903947776976565e-07,0.9911690354347229|-1.556403717017929e-08,1,1.2810693306164467e-07|Running
-808.2666625976562,99.9474105834961,-443.1229248046875|-0.14245030283927917,-1.397177697981533e-07,0.9898019433021545|-1.840988339552041e-08,1,1.3850778657342744e-07|Running
-808.3590698242188,99.45746612548828,-442.646728515625|-0.15093111991882324,-1.3446597790789383e-07,0.9885442852973938|-1.898817991730084e-08,1,1.3312511271124094e-07|Running
-808.4329223632812,98.99363708496094,-442.27166748046875|-0.15688887238502502,-1.2789782033451047e-07,0.987616240978241|-1.8909938503952617e-08,1,1.2649756797600276e-07|Running
-808.52392578125,98.42903137207031,-441.8103332519531|-0.16331325471401215,-1.1619035689136581e-07,0.9865742921829224|-1.806015248462245e-08,1,1.147819261859695e-07|Running
-808.5955200195312,98.1471176147461,-441.4527282714844|-0.1679261028766632,-1.156147391156992e-07,0.9857996106147766|-1.8580644578491956e-08,1,1.1411504630132185e-07|Running
-808.6852416992188,97.70488739013672,-441.0054626464844|-0.17294299602508545,-1.1996145588000218e-07,0.9849318265914917|-1.9927538730257766e-08,1,1.1829764900994633e-07|Running
