pargoy|true|979
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.598674614911033e-08,-0.9995894432067871|9.976540837897119e-08,1,1.8852995609108802e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,9.439124148968858e-09,-0.9995894432067871|5.8904937816350866e-08,1,1.1131455757151798e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,-3.7181960288457105e-10,-0.9995894432067871|-2.3203086119139016e-09,1,-4.384817786640127e-10|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.9956001295895476e-08,-0.9995894432067871|-1.2453551789803896e-07,1,-2.3533893056537636e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.4057605746131685e-08,-0.9995894432067871|-8.772657622557745e-08,1,-1.6577981654108953e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-8.164251497078112e-09,-0.9995894432067871|-5.094908672731435e-08,1,-9.628013053486484e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,3.6073539710912428e-09,-0.9995894432067871|2.251163522259958e-08,1,4.254110397283739e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,9.485613183812802e-09,-0.9995894432067871|5.91949209649556e-08,1,1.1186275905572529e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.5557899857299162e-08,-0.9995894432067871|9.708906389960248e-08,1,1.8347257935147354e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.009004080287923e-08,-0.9995894432067871|6.296690457929799e-08,1,1.1899072838161828e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,4.62685401103613e-09,-0.9995894432067871|2.887390948558277e-08,1,5.456398000092122e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-3.5591740665807947e-09,-0.9995894432067871|-2.2210963734892175e-08,1,-4.197292735597102e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.1734711868882641e-08,-0.9995894432067871|-7.323036754769419e-08,1,-1.3838612034078324e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.98997724965011e-08,-0.9995894432067871|-1.2418438188888103e-07,1,-2.3467574550295467e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.0151116391909909e-08,-0.9995894432067871|-6.334798285934085e-08,1,-1.197109700257215e-08|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-3.6589553609189807e-09,-0.9995894432067871|-2.283370292843756e-08,1,-4.314965273977123e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,6.0688853942281185e-09,-0.9995894432067871|3.787280888900568e-08,1,7.156966574939361e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.5784259232987097e-08,-0.9995894432067871|9.850152338231055e-08,1,1.8614196406474548e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,1.6283147274975818e-08,-0.9995894432067871|1.0161484453874436e-07,1,1.920253112075443e-08|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,8.0797573076552e-09,-0.9995894432067871|5.042168638169642e-08,1,9.528366540223487e-09|Running
-743.527099609375,39.708526611328125,-761.106689453125|0.02865230105817318,-1.1311940967262402e-10,-0.9995894432067871|-7.058659767800179e-10,1,-1.333988614016235e-10|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-8.29549584580036e-09,-0.9995894432067871|-5.176789485972222e-08,1,-9.78278169583291e-09|Running
-743.5271606445312,39.708526611328125,-761.106689453125|0.02865230105817318,-1.6467385677287893e-08,-0.9995894432067871|-1.0276448847434949e-07,1,-1.9419797325781474e-08|Running
