mount prambanan|true|43504
1077.12158203125,182.339111328125,1005.8424682617188|-0.22155515849590302,0,-0.9751479029655457|4.2090093188562605e-08,1.0000001192092896,-9.562936220675056e-09|Running
1077.0108642578125,182.44155883789062,1005.3549194335938|-0.22168441116809845,0,-0.9751184582710266|3.348359101096321e-08,1,-7.612193542172463e-09|Freefall
1076.927734375,182.4826202392578,1004.9891967773438|-0.22327226400375366,0,-0.9747561812400818|2.7116206169353063e-08,1.0000001192092896,-6.211088088292627e-09|Freefall
1076.7880859375,182.4829559326172,1004.3799438476562|-0.22338823974132538,0,-0.974729597568512|1.683051387146861e-08,1.0000001192092896,-3.857212327318393e-09|Freefall
1076.7042236328125,182.44227600097656,1004.0144653320312|-0.22338823974132538,0,-0.974729597568512|1.068474464460678e-08,1.0000001192092896,-2.448726554860059e-09|Freefall
1076.5924072265625,182.34034729003906,1003.527099609375|-0.22497539222240448,0,-0.9743643999099731|2.6395265972922743e-09,1,-6.09452210920125e-10|Freefall
1076.4801025390625,182.18392944335938,1003.0399169921875|-0.22509129345417023,0,-0.9743376970291138|-2.726671111119572e-09,1,6.299150090427474e-10|Freefall
1076.339111328125,181.91175842285156,1002.4310913085938|-0.2251046895980835,0,-0.9743346571922302|-9.400165090767132e-09,1.0000001192092896,2.171760105085241e-09|Freefall
1076.226318359375,181.63270568847656,1001.9440307617188|-0.2251046895980835,0,-0.9743346571922302|-1.4737957521049339e-08,1.0000001192092896,3.4049731922891624e-09|Freefall
1076.123291015625,181.5886688232422,1001.4981079101562|-0.2251046895980835,0,-0.9743346571922302|-2.007167587692038e-08,1.0000001192092896,4.637244810368202e-09|Landed
1076.02392578125,181.58779907226562,1001.0684204101562|-0.22680704295635223,0,-0.9739397168159485|-2.531494658342126e-08,1,5.895239851838596e-09|Landed
1075.9493408203125,181.58778381347656,1000.7476196289062|-0.22680704295635223,0,-0.9739397168159485|-2.9250546873527128e-08,1,6.811745834056637e-09|Running
1075.8248291015625,181.58778381347656,1000.2129516601562|-0.22680704295635223,0,-0.9739397168159485|-1.8767773113381736e-08,1,4.370560802158252e-09|Running
1075.7252197265625,181.58778381347656,999.7847900390625|-0.2285221964120865,0,-0.9735386967658997|-7.023785109083747e-09,1.0000001192092896,1.648718050972775e-09|Running
1075.6221923828125,181.58778381347656,999.3449096679688|-0.2285221964120865,0,-0.9735386967658997|4.7011115000827886e-09,1.0000001192092896,-1.1035086178168285e-09|Running
1075.5177001953125,181.58778381347656,998.8995361328125|-0.23022304475307465,0,-0.9731379151344299|1.6365307331511758e-08,1,-3.871672316080321e-09|Running
1075.411865234375,181.58778381347656,998.4510498046875|-0.23193682730197906,0,-0.9727308750152588|2.796567244445214e-08,1.0000001192092896,-6.668102514595375e-09|Running
1075.304931640625,181.58778381347656,998.0023193359375|-0.23363608121871948,0,-0.9723240733146667|3.9502516813172406e-08,1.0000001192092896,-9.491910368808476e-09|Running
1075.197265625,181.58778381347656,997.5537719726562|-0.23706014454364777,0,-0.9714949727058411|5.0908113280456746e-08,1,-1.2422385786692303e-08|Running
1075.0880126953125,181.58778381347656,997.1046142578125|-0.2403663843870163,0,-0.9706822633743286|6.220806625378827e-08,1.0000001192092896,-1.5404348019387726e-08|Running
1074.976806640625,181.74781799316406,996.6548461914062|-0.24377049505710602,0,-0.9698330163955688|3.8497926624359025e-08,1.0000001192092896,-9.676571544048329e-09|Running
1074.86376953125,181.9326629638672,996.2044677734375|-0.25061264634132385,0,-0.9680874943733215|1.506227320646758e-08,1.0000001192092896,-3.899230271997567e-09|Running
1074.74755859375,182.1155242919922,995.7537841796875|-0.2573283314704895,0,-0.9663240313529968|-8.036583842851996e-09,1,2.1401109773222515e-09|Running
1074.6280517578125,182.2958984375,995.3031005859375|-0.2657451331615448,0,-0.9640432596206665|-3.0731321487564855e-08,1,8.471299217660544e-09|Running
1074.504638671875,182.47616577148438,994.8533325195312|-0.27246320247650146,0,-0.9621662497520447|-5.3093295093731285e-08,1.0000001192092896,1.503479118980522e-08|Running
1074.3780517578125,182.6566925048828,994.404541015625|-0.280890554189682,0,-0.9597399234771729|-5.486851506475432e-08,1.0000001192092896,1.6058566032484123e-08|Running
1074.2471923828125,182.8336639404297,993.95556640625|-0.28589168190956116,0,-0.958262026309967|-3.669594050847991e-08,1.0000001192092896,1.0948012274525354e-08|Running
1074.11328125,183.00628662109375,993.5057983398438|-0.28929588198661804,0,-0.9572398066520691|-1.8673361523724452e-08,1.0000001192092896,5.643441269853611e-09|Running
1073.9774169921875,183.17445373535156,993.054931640625|-0.2909017503261566,0,-0.9567530155181885|-7.455721040550145e-10,1.0000001192092896,2.266919707505366e-10|Running
1073.8411865234375,183.34979248046875,992.60693359375|-0.2926015257835388,0,-0.9562345147132874|1.7112913752725945e-08,1.0000001192092896,-5.236439726274966e-09|Running
1073.70654296875,183.5439910888672,992.1664428710938|-0.29430028796195984,0,-0.9557130336761475|3.489843436454976e-08,1.0000001192092896,-1.0746551204476873e-08|Running
1073.57275390625,183.75088500976562,991.7313842773438|-0.29590386152267456,0,-0.955217719078064|5.261811963919172e-08,1,-1.629984858197986e-08|Running
1073.4384765625,183.96035766601562,991.2977294921875|-0.29590386152267456,0,-0.955217719078064|7.033829518832135e-08,1,-2.1789139381667155e-08|Running
1073.3028564453125,184.15953063964844,990.8597412109375|-0.29760071635246277,0,-0.9546903967857361|6.504578919930282e-08,1.0000001192092896,-2.0276388568163384e-08|Running
1073.1646728515625,184.34437561035156,990.4161987304688|-0.29760071635246277,0,-0.9546903967857361|3.6899574951121394e-08,1.0000001192092896,-1.1502514496442018e-08|Running
1073.024658203125,184.5141143798828,989.9672241210938|-0.2993139326572418,0,-0.9541547298431396|8.823436203897472e-09,1.0000001192092896,-2.7678712655188065e-09|Running
1072.8826904296875,184.66104125976562,989.5140991210938|-0.3008976876735687,0,-0.9536564946174622|-1.9145591778624294e-08,1.0000001192092896,6.040817179808755e-09|Running
1072.7396240234375,184.80984497070312,989.0599975585938|-0.3008976876735687,0,-0.9536564946174622|-4.7087201693329916e-08,1.0000001192092896,1.4856953889363922e-08|Running
1072.5960693359375,184.96197509765625,988.6058959960938|-0.30260905623435974,0,-0.9531147480010986|-7.490707076840408e-08,1.0000001192092896,2.37826114357631e-08|Running
1072.4517822265625,185.111572265625,988.151123046875|-0.30431947112083435,0,-0.9525700211524963|-5.4670149296498494e-08,1,1.7465582757836273e-08|Running
1072.306396484375,185.25857543945312,987.6958618164062|-0.30431947112083435,0,-0.9525700211524963|-3.449706653668727e-08,1,1.1020847345832863e-08|Running
1072.160888671875,185.40304565429688,987.2398681640625|-0.30591830611228943,0,-0.9520577788352966|-1.4369390122226378e-08,1,4.617219051539223e-09|Running
1072.014404296875,185.54217529296875,986.7835693359375|-0.30591830611228943,0,-0.9520577788352966|5.72501113182966e-09,1,-1.8395792666936472e-09|Running
1071.867431640625,185.68040466308594,986.3265991210938|-0.30760905146598816,0,-0.9515129327774048|2.5752049381821962e-08,1,-8.325229394756661e-09|Running
1071.719970703125,185.82054138183594,985.8698120117188|-0.30760905146598816,0,-0.9515129327774048|4.5765336409431256e-08,1,-1.479520772562637e-08|Running
1071.572509765625,185.96090698242188,985.4132690429688|-0.30920615792274475,0,-0.950995147228241|6.569513999465926e-08,1.0000001192092896,-2.1360088808819455e-08|Running
1071.424072265625,186.0997314453125,984.9564819335938|-0.30920615792274475,0,-0.950995147228241|7.375272303988822e-08,1.0000001192092896,-2.3979927377126842e-08|Running
1071.2752685546875,186.2366943359375,984.4992065429688|-0.30920615792274475,0,-0.950995147228241|4.618679838586104e-08,1.0000001192092896,-1.5017155519103653e-08|Running
1071.16357421875,186.336669921875,984.155517578125|-0.31091275811195374,0,-0.9504384398460388|2.554602751558832e-08,1,-8.356759728656016e-09|Running
1070.975830078125,186.48757934570312,983.58154296875|-0.31261834502220154,0,-0.9498788118362427|-8.714758692462965e-09,1,2.86814838545979e-09|Running
1070.8245849609375,186.6063232421875,983.1210327148438|-0.31261834502220154,0,-0.9498788118362427|-3.6084006893588594e-08,1,1.1875749272860503e-08|Running
1070.6727294921875,186.72601318359375,982.659912109375|-0.31261834502220154,0,-0.9498788118362427|-6.342985869878248e-08,1,2.0875649653362416e-08|Running
1070.5208740234375,186.84539794921875,982.19873046875|-0.3142128884792328,0,-0.9493525624275208|-6.626094517514503e-08,1,2.1930780746970413e-08|Running
1070.3681640625,186.9601287841797,981.7366333007812|-0.3142128884792328,0,-0.9493525624275208|-4.472984826975335e-08,1,1.480450428914537e-08|Running
1070.21484375,187.06936645507812,981.2734375|-0.3159164488315582,0,-0.9487869739532471|-2.323739778375966e-08,1,7.737328111545594e-09|Running
1070.0601806640625,187.15750122070312,980.808349609375|-0.3159164488315582,0,-0.9487869739532471|-1.7919584704984004e-09,1,5.966662164347269e-10|Running
1069.9049072265625,187.2488555908203,980.3422241210938|-0.3175092339515686,0,-0.948255181312561|1.959026363351768e-08,1,-6.559510268289159e-09|Running
1069.74853515625,187.33389282226562,979.875|-0.3175092339515686,0,-0.948255181312561|4.09533669198936e-08,1,-1.3712630142492799e-08|Running
1069.591796875,187.41436767578125,979.4070434570312|-0.31921079754829407,0,-0.9476836919784546|6.22229094915383e-08,1,-2.0958706770102253e-08|Running
1069.433837890625,187.4773712158203,978.9379272460938|-0.31921079754829407,0,-0.9476836919784546|8.350062330464425e-08,1,-2.8125736406536817e-08|Running
1069.2752685546875,187.5360107421875,978.4674072265625|-0.31921079754829407,0,-0.9476836919784546|5.532256253104606e-08,1,-1.863444509808687e-08|Running
1069.1165771484375,187.5775604248047,977.99609375|-0.3208017349243164,0,-0.9471463561058044|2.720066127892551e-08,1.0000001192092896,-9.212957507997999e-09|Running
1068.95703125,187.6219024658203,977.5244140625|-0.32250118255615234,0,-0.9465690851211548|-8.230466863601293e-10,1.0000001192092896,2.8041644006826516e-10|Running
1068.79638671875,187.64932250976562,977.052490234375|-0.32250118255615234,0,-0.9465690851211548|-2.8804972629359327e-08,1.0000001192092896,9.814009160891146e-09|Running
1068.6357421875,187.68556213378906,976.58056640625|-0.324218213558197,0,-0.9459823369979858|-5.6678501891838096e-08,1,1.94255243002317e-08|Running
1068.47412109375,187.71963500976562,976.108642578125|-0.324218213558197,0,-0.9459823369979858|-7.221660780487582e-08,1,2.475092664155909e-08|Running
1068.3529052734375,187.7367706298828,975.7545166015625|-0.3258063495159149,0,-0.9454365968704224|-5.612253062281525e-08,1.0000001192092896,1.9340353318852976e-08|Running
1068.149658203125,187.75808715820312,975.1640014648438|-0.3291076719760895,0,-0.9442924857139587|-2.9436137083393987e-08,1.0000001192092896,1.0259171290272207e-08|Running
1067.9853515625,187.76109313964844,974.6918334960938|-0.33080166578292847,0,-0.9437002539634705|-8.191463507500885e-09,1,2.871409554572324e-09|Running
1067.820068359375,187.76419067382812,974.2199096679688|-0.33240506052970886,0,-0.9431368112564087|1.2972890317541896e-08,1,-4.572247025436127e-09|Running
1067.654052734375,187.76943969726562,973.7483520507812|-0.3373878300189972,0,-0.9413657188415527|3.394343650597875e-08,1,-1.2165411789055725e-08|Running
1067.52783203125,187.7736053466797,973.395263671875|-0.3406941294670105,0,-0.9401742219924927|4.9561545978349386e-08,1.0000001192092896,-1.7959786546839496e-08|Running
1067.3577880859375,187.7782745361328,972.9251098632812|-0.34386903047561646,0,-0.9390175938606262|7.02787446016373e-08,1.0000001192092896,-2.5736133224540936e-08|Running
1067.14306640625,187.7826690673828,972.3381958007812|-0.34886834025382996,0,-0.9371716976165771|6.013004849592107e-08,1,-2.2383806808079498e-08|Running
1066.9691162109375,187.78411865234375,971.8694458007812|-0.35375070571899414,0,-0.9353398084640503|3.314439211976605e-08,1.0000001192092896,-1.2535393167922848e-08|Running
1066.7926025390625,187.75123596191406,971.401611328125|-0.36023029685020447,0,-0.9328634142875671|6.465695978619124e-09,1,-2.4967636846895402e-09|Running
1066.6129150390625,187.69969177246094,970.9349975585938|-0.3684002161026001,0,-0.9296673536300659|-1.98033944798226e-08,1.0000001192092896,7.847511085401493e-09|Running
1066.4293212890625,187.70388793945312,970.469970703125|-0.3764785826206207,0,-0.9264253973960876|-4.563648658972852e-08,1.0000001192092896,1.8545648572398932e-08|Running
1066.2418212890625,187.71298217773438,970.0065307617188|-0.38622263073921204,0,-0.9224056005477905|-7.092155129839739e-08,1,2.9695728542833422e-08|Running
1066.0494384765625,187.71900939941406,969.5450439453125|-0.39904746413230896,0,-0.9169302582740784|-5.078710429984312e-08,1,2.210251537348995e-08|Running
1065.900634765625,187.72177124023438,969.2008666992188|-0.41345342993736267,0,-0.9105252623558044|-3.599459219572054e-08,1,1.634450796927922e-08|Running
1065.643310546875,187.724365234375,968.6312255859375|-0.43395692110061646,0,-0.9009336233139038|-1.2404074212213345e-08,1,5.9747287117772885e-09|Running
1065.427978515625,187.72540283203125,968.1800537109375|-0.4543527364730835,0,-0.8908219337463379|5.617594389661917e-09,1.0000001192092896,-2.8651847561178556e-09|Running
1065.202392578125,187.7259521484375,967.73388671875|-0.4636169672012329,0,-0.8860357403755188|2.314434510708452e-08,1,-1.211024613922973e-08|Running
1064.9713134765625,187.72625732421875,967.29052734375|-0.4652130603790283,0,-0.8851987719535828|4.060860092636176e-08,1,-2.1341705291888502e-08|Running
1064.7388916015625,187.7264404296875,966.8478393554688|-0.4652130603790283,0,-0.8851987719535828|5.808142233831859e-08,1,-3.052448604989877e-08|Running
1064.5064697265625,187.72653198242188,966.4052124023438|-0.4652130603790283,0,-0.8851987719535828|5.566488781028056e-08,1,-2.925448328028324e-08|Running
1064.2740478515625,187.72659301757812,965.9625854492188|-0.4652130603790283,0,-0.8851987719535828|3.3384534248170894e-08,1,-1.7545122688034098e-08|Running
1064.0416259765625,187.72659301757812,965.5199584960938|-0.4652130603790283,0,-0.8851987719535828|1.1123237442234313e-08,1,-5.845778083823916e-09|Running
1063.8673095703125,187.72659301757812,965.18798828125|-0.4652130603790283,0,-0.8851987719535828|-5.560235827317683e-09,1,2.9221622899200383e-09|Running
1063.6348876953125,187.72659301757812,964.745361328125|-0.4652130603790283,0,-0.8851987719535828|-2.7788212619839214e-08,1,1.4603995346362808e-08|Running
1063.4024658203125,187.72659301757812,964.302734375|-0.4652130603790283,0,-0.8851987719535828|-4.999716907150287e-08,1,2.6275834841271717e-08|Running
1063.1119384765625,187.72659301757812,963.7494506835938|-0.4652130603790283,0,-0.8851987719535828|-4.8528757901067365e-08,1,2.550411615231951e-08|Running
1062.9376220703125,187.72659301757812,963.41748046875|-0.4652130603790283,0,-0.8851987719535828|-3.597104836217113e-08,1,1.8904456666746228e-08|Running
1062.6470947265625,187.72659301757812,962.8641967773438|-0.4652130603790283,0,-0.8851987719535828|-1.505943458823822e-08,1,7.914431776612219e-09|Running
1062.4146728515625,187.72659301757812,962.4215698242188|-0.4652130603790283,0,-0.8851987719535828|1.6537643476866037e-09,1,-8.691299346885728e-10|Running
1062.1822509765625,187.72659301757812,961.9789428710938|-0.4652130603790283,0,-0.8851987719535828|1.8352670494437007e-08,1,-9.645180654160868e-09|Running
1061.9498291015625,187.72659301757812,961.5363159179688|-0.4652130603790283,0,-0.8851987719535828|3.503729928411303e-08,1,-1.8413727431720872e-08|Running
1061.7174072265625,187.72659301757812,961.0936889648438|-0.46825501322746277,0,-0.8835933208465576|5.154500470894163e-08,1,-2.7315968154084658e-08|Running
1061.483642578125,187.72659301757812,960.6517333984375|-0.4805873930454254,0,-0.8769468665122986|6.729572277208717e-08,1,-3.687962646381493e-08|Running
1061.244384765625,187.72659301757812,960.2127685546875|-0.49584972858428955,0,-0.8684083819389343|4.3358586054864645e-08,1,-2.4757181193990618e-08|Running
1060.9976806640625,187.72659301757812,959.7779541015625|-0.5124298930168152,0,-0.8587290048599243|2.042541069613435e-08,1,-1.21884671244743e-08|Running
1060.7427978515625,187.72659301757812,959.3478393554688|-0.5228368639945984,0,-0.8524328470230103|-1.6394925417273498e-09,1.0000001192092896,1.005577399126878e-09|Running
1060.5474853515625,187.72659301757812,959.0277099609375|-0.5362277030944824,0,-0.844073474407196|-1.754654199714878e-08,1,1.1147064604699608e-08|Running
1060.2803955078125,187.72659301757812,958.6050415039062|-0.5538266897201538,0,-0.8326320648193359|-3.763183187288632e-08,1,2.503087870309173e-08|Running
1059.8663330078125,187.72659301757812,957.9796752929688|-0.5725157260894775,0,-0.8198937773704529|-4.123158348079414e-08,1.0000001192092896,2.8791204087497135e-08|Running
1059.6529541015625,187.72659301757812,957.6713256835938|-0.5980352759361267,0,-0.8014698624610901|-3.065093068244096e-08,1.0000001192092896,2.287090161701144e-08|Running
1059.3558349609375,187.72659301757812,957.2692260742188|-0.6174333095550537,0,-0.7866232395172119|-1.79276682388263e-08,1,1.407171712486388e-08|Running
1059.048583984375,187.72659301757812,956.874755859375|-0.6418699026107788,0,-0.7668135762214661|-6.228410676101248e-09,1,5.213561138361911e-09|Running
1058.7293701171875,187.72659301757812,956.4898681640625|-0.6734440922737122,0,-0.7392382621765137|4.0511052290526095e-09,1.0000001192092896,-3.6905460909508747e-09|Running
1058.39501953125,187.72659301757812,956.1182250976562|-0.7173761129379272,0,-0.6966860890388489|1.2187570952448823e-08,1,-1.254951431661766e-08|Running
1058.0396728515625,187.72659301757812,955.7666625976562|-0.7540192604064941,0,-0.6568524241447449|1.8435821758089332e-08,1.0000001192092896,-2.116299491206064e-08|Running
1057.6654052734375,187.72659301757812,955.4351806640625|-0.7884443402290344,0,-0.6151062250137329|2.286438594012452e-08,1,-2.93076141133497e-08|Running
1057.2738037109375,187.72659301757812,955.1245727539062|-0.8304599523544312,0,-0.5570783615112305|1.83317236945868e-08,1,-2.732786619219496e-08|Running
1056.9654541015625,187.72659301757812,954.9114990234375|-0.873323917388916,0,-0.4871399402618408|1.1505743913176047e-08,1,-2.0627011210194723e-08|Running
1056.634033203125,187.72659301757812,954.4266967773438|-0.8976504802703857,0,-0.44070807099342346|4.755509319664952e-09,1.0000001192092896,-9.686197621761039e-09|Running
1056.471923828125,187.72659301757812,953.95556640625|-0.9307737946510315,0,-0.3655957579612732|1.4281037463703683e-09,1.0000001192092896,-3.6358231980671007e-09|Running
1056.2777099609375,187.72659301757812,953.4949951171875|-0.9545407891273499,0,-0.2980803847312927|-1.6414411605110424e-13,1,5.256375846737771e-13|Running
1056.0504150390625,187.72659301757812,953.0498657226562|-0.9730218648910522,0,-0.23071275651454926|-2.273698312960093e-10,1.0000001192092896,9.589231630968698e-10|Running
1055.79248046875,187.72659301757812,952.6217041015625|-0.9853008389472961,0,-0.17082861065864563|7.002198126881964e-11,1.0000001192092896,-4.038709922049577e-10|Running
1055.50830078125,187.72659301757812,952.2103881835938|-0.992257297039032,0,-0.1242000013589859|4.871388709082325e-11,1.0000001192092896,-3.8918446243485505e-10|Running
1055.2042236328125,187.72659301757812,951.8135375976562|-0.9951716661453247,0,-0.09814990311861038|-3.9993244826952434e-11,1,4.0550365842939584e-10|Running
1054.8887939453125,187.72659301757812,951.42578125|-0.9953395128250122,0,-0.09643343091011047|-1.214206929445183e-10,1.0000001192092896,1.2532459514602579e-09|Running
1054.571044921875,187.72659301757812,951.0397338867188|-0.9953395128250122,0,-0.09643343091011047|-2.0343260409561026e-10,1.0000001192092896,2.099733498184264e-09|Running
1054.253173828125,187.72659301757812,950.6537475585938|-0.9953395128250122,0,-0.09643343091011047|-2.853745018072118e-10,1.0000001192092896,2.9454985117638444e-09|Running
1054.0147705078125,187.72659301757812,950.3642578125|-0.9953395128250122,0,-0.09643343091011047|-3.467849618576935e-10,1.0000001192092896,3.5793477071166535e-09|Running
1053.617431640625,187.72659301757812,949.8817749023438|-0.9953395128250122,0,-0.09643343091011047|-3.884408072973855e-10,1.0000001192092896,4.0092991149265345e-09|Running
1053.3790283203125,187.72659301757812,949.59228515625|-0.9953395128250122,0,-0.09643343091011047|-2.680016208955749e-10,1.0000001192092896,2.766183948565981e-09|Running
1052.981689453125,187.72659301757812,949.1098022460938|-0.9953395128250122,0,-0.09643343091011047|-6.744090702559546e-11,1.0000001192092896,6.960925724719402e-10|Running
1052.663818359375,187.72659301757812,948.7238159179688|-0.9953395128250122,0,-0.09643343091011047|9.285364144240305e-11,1.0000001192092896,-9.58390589111957e-10|Running
1052.345947265625,187.72659301757812,948.3378295898438|-0.9953395128250122,0,-0.09643343091011047|2.5301161166169095e-10,1.0000001192092896,-2.611464156032639e-09|Running
1052.028076171875,187.72659301757812,947.9518432617188|-0.9953395128250122,0,-0.09643343091011047|4.130329134266475e-10,1.0000001192092896,-4.263127184600535e-09|Running
1051.710205078125,187.7237091064453,947.5658569335938|-0.9953395128250122,0,-0.09643343091011047|4.1979672515957134e-10,1.0000001192092896,-4.332939784745804e-09|Running
1051.392333984375,187.71961975097656,947.1798706054688|-0.9953395128250122,0,-0.09643343091011047|2.734991122466113e-10,1.0000001192092896,-2.8229263371315483e-09|Running
1051.074462890625,187.71572875976562,946.7938842773438|-0.9951716661453247,0,-0.09814990311861038|1.3512943541904576e-10,1,-1.3701183521064308e-09|Running
1050.757080078125,187.7116241455078,946.407470703125|-0.9951716661453247,0,-0.09814990311861038|-8.121421070372836e-12,1,8.234555398667354e-11|Running
1050.4400634765625,187.7074737548828,946.02099609375|-0.9951716661453247,0,-0.09814990311861038|-1.5124930474730292e-10,1,1.5335626102341848e-09|Running
1050.1231689453125,187.7040252685547,945.634521484375|-0.9951716661453247,0,-0.09814990311861038|-2.9425464842525173e-10,1,2.9835371950781564e-09|Running
1049.8057861328125,187.7021026611328,945.248046875|-0.9953395128250122,0,-0.09643343091011047|-4.346634996377219e-10,1.0000001192092896,4.4863877057821355e-09|Running
1049.488037109375,187.70187377929688,944.8619995117188|-0.9953395128250122,0,-0.09643343091011047|-4.9896103915259e-10,1.0000001192092896,5.150035953249699e-09|Running
1049.170166015625,187.70211791992188,944.4760131835938|-0.9953395128250122,0,-0.09643343091011047|-3.1955485479961965e-10,1.0000001192092896,3.2982914177637213e-09|Running
1048.852294921875,187.7023162841797,944.0900268554688|-0.9953395128250122,0,-0.09643343091011047|-1.4029093164946715e-10,1.0000001192092896,1.4480155963170205e-09|Running
1048.46240234375,187.70248413085938,943.8392944335938|-0.9953395128250122,0,-0.09643343091011047|3.880853971516274e-11,1.0000001192092896,-4.0056308270308705e-10|Running
1047.978759765625,187.70335388183594,943.7647094726562|-0.9955089092254639,0,-0.0946679562330246|2.2016873046926122e-10,1,-2.3152493255906847e-09|Running
1047.4813232421875,187.7026824951172,943.7167358398438|-0.9955089092254639,0,-0.0946679562330246|4.0206532547770735e-10,1,-4.228037031595022e-09|Running
1046.9837646484375,187.7013397216797,943.6693725585938|-0.9955089092254639,0,-0.0946679562330246|4.994483715492493e-10,1,-5.25209742363586e-09|Running
1046.4862060546875,187.699462890625,943.6220092773438|-0.9955089092254639,0,-0.0946679562330246|3.437819751095361e-10,1,-3.6151410753859636e-09|Running
1045.9886474609375,187.697509765625,943.5746459960938|-0.9955089092254639,0,-0.0946679562330246|1.8824837522135596e-10,1,-1.979581387701046e-09|Running
1045.4910888671875,187.695556640625,943.5272827148438|-0.9955089092254639,0,-0.0946679562330246|3.284762392641305e-11,1,-3.4541891569261907e-10|Running
1044.9935302734375,187.693603515625,943.4799194335938|-0.9955089092254639,0,-0.0946679562330246|-1.2242033775589078e-10,1,1.2873472288177368e-09|Running
1044.4959716796875,187.6923828125,943.4325561523438|-0.9955089092254639,0,-0.0946679562330246|-2.7755564513398667e-10,1,2.918718378097651e-09|Running
1043.9984130859375,187.68984985351562,943.3851928710938|-0.9955089092254639,0,-0.0946679562330246|-4.325583502495789e-10,1,4.548695198280939e-09|Running
1043.5008544921875,187.6820068359375,943.3378295898438|-0.9955089092254639,0,-0.0946679562330246|-5.874288833140895e-10,1,6.1772822412820005e-09|Running
1043.0032958984375,187.6710968017578,943.2904663085938|-0.9955089092254639,0,-0.0946679562330246|-3.9221470515826695e-10,1,4.124449670683816e-09|Running
1042.5057373046875,187.6569061279297,943.2431030273438|-0.9955089092254639,0,-0.0946679562330246|-1.971672408673797e-10,1,2.073370586330725e-09|Running
1042.0081787109375,187.6422119140625,943.1957397460938|-0.9955089092254639,0,-0.0946679562330246|-2.2866084026240685e-12,1,2.4045506905046032e-11|Running
1041.635009765625,187.6311798095703,943.1602172851562|-0.9955089092254639,0,-0.0946679562330246|1.4376462520448996e-10,1,-1.5117994633939702e-09|Running
1041.0130615234375,187.61141967773438,943.1010131835938|-0.9955089092254639,0,-0.0946679562330246|3.869753406604559e-10,1,-4.069353742863768e-09|Running
1040.639892578125,187.5986785888672,943.0654907226562|-0.9955089092254639,0,-0.0946679562330246|5.327773222596477e-10,1,-5.6025775130308375e-09|Running
1040.0179443359375,187.57745361328125,943.0062866210938|-0.9955089092254639,0,-0.0946679562330246|3.507882873066137e-10,1,-3.688817917790743e-09|Running
1039.5203857421875,187.5596466064453,942.9589233398438|-0.9955089092254639,0,-0.0946679562330246|2.0533712230541568e-10,1,-2.1592831966898984e-09|Running
1039.0228271484375,187.5443572998047,942.9115600585938|-0.9955089092254639,0,-0.0946679562330246|6.001023983293052e-11,1,-6.310554856447936e-10|Running
1038.5252685546875,187.53082275390625,942.8641967773438|-0.9955089092254639,0,-0.0946679562330246|-8.51924641942503e-11,1,8.95866603123352e-10|Running
1038.0277099609375,187.51751708984375,942.8168334960938|-0.9955089092254639,0,-0.0946679562330246|-2.3027105222617195e-10,1,2.421483458192597e-09|Running
1037.5301513671875,187.5031280517578,942.7694702148438|-0.9955089092254639,0,-0.0946679562330246|-3.7522576712412103e-10,1,3.9457974665424445e-09|Running
1037.0325927734375,187.48745727539062,942.7221069335938|-0.9955089092254639,0,-0.0946679562330246|-5.200566643992488e-10,1,5.4688094053290115e-09|Running
1036.659423828125,187.47479248046875,942.6865844726562|-0.9955089092254639,0,-0.0946679562330246|-5.415269899167185e-10,1,5.694587468241252e-09|Running
1036.0374755859375,187.45606994628906,942.6273803710938|-0.9955089092254639,0,-0.0946679562330246|-2.8719787659170493e-10,1,3.020114158758247e-09|Running
1035.5399169921875,187.44342041015625,942.5800170898438|-0.9955089092254639,0,-0.0946679562330246|-8.393001571516123e-11,1,8.825908892617917e-10|Running
1035.0423583984375,187.43740844726562,942.5326538085938|-0.9955089092254639,0,-0.0946679562330246|1.1916410913581643e-10,1,-1.2531055082476428e-09|Running
1034.5447998046875,187.4356231689453,942.4852905273438|-0.9955089092254639,0,-0.0946679562330246|3.22084720005833e-10,1,-3.3869773652384083e-09|Running
1034.0472412109375,187.43438720703125,942.4379272460938|-0.9955089092254639,0,-0.0946679562330246|5.24832066695069e-10,1,-5.5190270131788566e-09|Running
1033.5496826171875,187.4334259033203,942.3905639648438|-0.9955089092254639,0,-0.0946679562330246|4.543251608257748e-10,1,-4.777590767446327e-09|Running
1033.176513671875,187.43313598632812,942.3550415039062|-0.9955089092254639,0,-0.0946679562330246|3.332360776209242e-10,1,-3.5042424517683912e-09|Running
1032.5545654296875,187.43316650390625,942.2958374023438|-0.9955089092254639,0,-0.0946679562330246|1.315931114076463e-10,1,-1.3838064027993369e-09|Running
1032.0570068359375,187.4332275390625,942.2484741210938|-0.9956706762313843,0,-0.09295123815536499|-3.4346220312286846e-11,1,3.679082039020898e-10|Running
1031.5589599609375,187.43310546875,942.2018432617188|-0.9959887862205505,0,-0.08947907388210297|-2.0055225535831056e-10,1.0000001192092896,2.232340978736147e-09|Running
1031.0609130859375,187.43251037597656,942.1568603515625|-0.9961459040641785,0,-0.0877121090888977|-3.6582550877461983e-10,1.0000001192092896,4.15467793501989e-09|Running
1030.5628662109375,187.43165588378906,942.1128540039062|-0.9962956309318542,0,-0.08599488437175751|-5.290612947739248e-10,1.0000001192092896,6.12945116884589e-09|Running
