wasabi|true|3418
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.2757801925999956e-08,-0.9988024234771729|2.6582332779412354e-08,1,1.147099393250528e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.9726433819755584e-08,-0.9988024234771729|4.110049545147376e-08,1,1.7736827118142173e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.6692086763091538e-08,-0.9988024234771729|5.5612449756381466e-08,1,2.3999978893129992e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.365476075600782e-08,-0.9988024234771729|7.01181974704923e-08,1,3.0260455474717673e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.06144593512181e-08,-0.9988024234771729|8.461774569923364e-08,1,3.65182515338347e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.06144593512181e-08,-0.9988024234771729|8.461774569923364e-08,1,3.65182515338347e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.757117721965187e-08,-0.9988024234771729|9.911109088989178e-08,1,4.277337595226527e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,5.4524925019450166e-08,-0.9988024234771729|1.135982401478941e-07,1,4.902582162458202e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,4.5325716513389125e-08,-0.9988024234771729|9.443220250204831e-08,1,4.075441140116709e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,3.6130444414084195e-08,-0.9988024234771729|7.527435741394584e-08,1,3.2486536127862564e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,2.693910161610802e-08,-0.9988024234771729|5.6124704883586674e-08,1,2.4222197581025284e-08|Running
297.23101806640625,301.19195556640625,-798.586669921875|-0.04892517253756523,1.7751688119460596e-08,-0.9988024234771729|3.6983241358257146e-08,1,1.596139220794157e-08|Running
