mulu|true|2508
-303.447265625,554.2310791015625,587.9391479492188|-0.9999813437461853,9.513112786407874e-08,-0.006106474902480841|9.513742327271757e-08,1,-7.404176161074361e-10|Climbing
-303.7165832519531,554.4302368164062,587.939697265625|-0.999981701374054,8.062647083306729e-08,-0.006049687974154949|8.063619105769249e-08,1,-1.362335577681506e-09|Climbing
-303.9609069824219,554.6336669921875,587.940185546875|-0.9999818205833435,6.615631065187699e-08,-0.0060303788632154465|6.616947700877063e-08,1,-1.9841139842213806e-09|Climbing
-304.1752014160156,554.8377075195312,587.9406127929688|-0.9999818801879883,5.169559358364495e-08,-0.006023813504725695|5.1712227389089094e-08,1,-2.6056421464915047e-09|Climbing
-304.4045104980469,555.1998291015625,587.9411010742188|-0.9999836087226868,3.789434188661289e-08,-0.005730342119932175|3.791348746062795e-08,1,-3.232474288239473e-09|Running
-304.80474853515625,555.7661743164062,587.9419555664062|-0.9999873042106628,2.2825066281484396e-08,-0.00503955315798521|2.284662059537368e-08,1,-4.21960288932155e-09|Running
-304.94873046875,555.9258422851562,587.9422607421875|-0.9999884963035583,1.988620823567544e-08,-0.004797877743840218|1.9908354076392243e-08,1,-4.567789702036862e-09|Running
-305.3851623535156,556.3030395507812,587.9431762695312|-0.9999915957450867,1.723062581504564e-08,-0.004095512442290783|1.7253992012911112e-08,1,-5.670286462589047e-09|Running
-305.53094482421875,556.3984985351562,587.9434814453125|-0.9999924898147583,1.8285293279518555e-08,-0.0038742602337151766|1.8308895732843666e-08,1,-6.056773749207878e-09|Running
-305.9684143066406,556.6148071289062,587.9444580078125|-0.999994695186615,2.6394292973463962e-08,-0.003252604277804494|2.6418074838829853e-08,1,-7.26860127642226e-09|Running
-306.2601013183594,556.7140502929688,587.945068359375|-0.9999958872795105,3.5451030555577745e-08,-0.002873122924938798|3.547449622942622e-08,1,-8.11672151712628e-09|Running
-306.5517883300781,556.78759765625,587.9456787109375|-0.9999968409538269,4.6941870834871224e-08,-0.0025225800927728415|4.6964707678398554e-08,1,-8.993408684432325e-09|Running
-306.8434753417969,556.8453979492188,587.9462890625|-0.9999975562095642,6.051658374417457e-08,-0.0021975284907966852|6.053846846043598e-08,1,-9.894349339845121e-09|Running
-307.127685546875,557.0109252929688,587.9468994140625|-0.9999979138374329,7.530402257316382e-08,-0.0020496123470366|7.532633361506669e-08,1,-1.0809547923429363e-08|Climbing
-307.2660827636719,557.1090698242188,587.9472045898438|-0.9999979734420776,8.27848936069131e-08,-0.002017842372879386|8.280780150471401e-08,1,-1.1268249444640333e-08|Climbing
-307.6663513183594,557.4130249023438,587.9480590820312|-0.9999980330467224,1.0526428440016389e-07,-0.0019822148606181145|1.0528955840527487e-07,1,-1.2644965075025993e-08|Climbing
-307.789794921875,557.5150146484375,587.9483032226562|-0.9999980330467224,1.127569646541815e-07,-0.001978541724383831|1.1278311262685747e-07,1,-1.3103749196829995e-08|Climbing
-308.1150817871094,557.8211669921875,587.948974609375|-0.9999980330467224,9.976003667588884e-08,-0.0019744227174669504|9.978155901535501e-08,1,-1.0801251448810945e-08|Climbing
-308.2235107421875,557.9376220703125,587.94921875|-0.999998152256012,8.954945940331527e-08,-0.0019174913177266717|8.956769192991487e-08,1,-9.421492919159391e-09|Running
-308.462890625,558.1687622070312,587.94970703125|-0.9999985098838806,6.951713515945812e-08,-0.0017210157820954919|6.952870990062365e-08,1,-6.668139373999793e-09|Running
-308.7322998046875,558.3671264648438,587.9502563476562|-0.999998927116394,5.0382567451379145e-08,-0.0014848485589027405|5.038845429794492e-08,1,-3.92721100084259e-09|Running
-308.9866943359375,558.567138671875,587.9507446289062|-0.9999990463256836,3.1926212784583186e-08,-0.0013736472465097904|3.192788256001222e-08,1,-1.195245347140883e-09|Climbing
-309.3119812011719,558.872802734375,587.951416015625|-0.9999991059303284,4.424458133200915e-09,-0.0013277143007144332|4.420613652911243e-09,1,2.8986835154398705e-09|Climbing
-309.4053955078125,558.974853515625,587.9515991210938|-0.9999991059303284,-4.7341832676295326e-09,-0.0013229786418378353|-4.739826753308307e-09,1,4.26269819442382e-09|Climbing
-309.5697021484375,559.178955078125,587.9519653320312|-0.9999991059303284,-2.304494373106536e-08,-0.0013186068972572684|-2.305418078663024e-08,1,6.989882894714583e-09|Climbing
-309.44915771484375,559.3377685546875,587.9521484375|-0.9999998211860657,0.00025449279928579926,-0.000552863406483084|0.00025448761880397797,0.9999999403953552,0.000009483826033829246|Climbing
-309.4085693359375,559.5355834960938,587.9522705078125|-0.9999998211860657,0.00016831152606755495,-0.0005700286710634828|0.00016830896493047476,1,0.000004554355200525606|Climbing
-309.3961486816406,559.7388916015625,587.9522705078125|-0.9999998211860657,0.00007672927313251421,-0.000575865269638598|0.00007672859646845609,1,0.0000011929083711947897|Climbing
-309.3941650390625,560.0449829101562,587.9522705078125|-0.9999998211860657,4.2414666268086876e-07,-0.0005782759399153292|4.245478066877695e-07,1,-6.935454166523414e-07|Climbing
-309.39410400390625,560.1470336914062,587.9522705078125|-0.9999998211860657,-0.000009408304322278127,-0.0005785244866274297|-0.000009407851393916644,1,-7.853887495912204e-07|Climbing
-309.3940734863281,560.453369140625,587.9522705078125|-0.9999998211860657,-0.000013722857147513423,-0.0005788032431155443|-0.000013722577932639979,1,-4.853766313317465e-07|Climbing
-309.3940734863281,560.6575927734375,587.9522705078125|-0.9999998211860657,-0.00000855146390676964,-0.0005788487615063787|-0.000008551339305995498,1,-2.1801039906677033e-07|Climbing
-309.39404296875,560.7597045898438,587.9522705078125|-0.9999998211860657,-0.000005894520199944964,-0.0005788585403934121|-0.000005894452442589682,1,-1.1874507777065446e-07|Climbing
-309.39404296875,560.9639282226562,587.9522705078125|-0.9999998211860657,-0.0000018666968344405177,-0.0005788675625808537|-0.000001866697971308895,1,1.3798345799287404e-09|Climbing
-309.39404296875,561.1681518554688,587.9522705078125|-0.9999998211860657,1.9358712677330914e-07,-0.0005788706475868821|1.9356301095285744e-07,1,4.1715153997756715e-08|Climbing
-309.39404296875,561.3723754882812,587.9522705078125|-0.9999998211860657,8.225117085203237e-07,-0.0005788716953247786|8.224886869356851e-07,1,3.999499043061405e-08|Climbing
-309.39404296875,561.5765991210938,587.9522705078125|-0.9999998211860657,7.320206236727245e-07,-0.000578872044570744|7.32006526504847e-07,1,2.4611260585061245e-08|Climbing
-309.39404296875,561.7808227539062,587.9522705078125|-0.9999998211860657,4.41041919430063e-07,-0.0005788721609860659|4.4103674667894666e-07,1,9.086646102218765e-09|Climbing
-309.39404296875,561.9850463867188,587.9522705078125|-0.9999998211860657,1.7486522096987756e-07,-0.0005788722191937268|1.7486719627868297e-07,1,-3.359321043561181e-09|Climbing
-309.39404296875,562.1892700195312,587.9522705078125|-0.9999998211860657,1.9654468275120962e-08,-0.0005788722191937268|1.965814533377852e-08,1,-6.348297443281581e-09|Climbing
-309.39404296875,562.49560546875,587.9522705078125|-0.9999998211860657,-6.098809279819761e-08,-0.0005788722191937268|-6.09857480071696e-08,1,-4.0671466194908135e-09|Climbing
-309.39404296875,562.5977172851562,587.9522705078125|-0.9999998211860657,-8.157770281513876e-08,-0.0005788722191937268|-8.157591224744465e-08,1,-3.1188396310000144e-09|Climbing
-309.39404296875,562.904052734375,587.9522705078125|-0.9999998211860657,-8.78531096759616e-08,-0.0005788722191937268|-8.785293914570502e-08,1,-3.2343130951240084e-10|Climbing
-309.39404296875,563.0061645507812,587.9522705078125|-0.9999998211860657,-8.99440166790555e-08,-0.0005788722191937268|-8.994438616127809e-08,1,6.079730052732657e-10|Climbing
-309.39404296875,563.2103881835938,587.9522705078125|-0.9999998211860657,-9.412448775947269e-08,-0.0005788722191937268|-9.412593726665364e-08,1,2.470184501390804e-09|Climbing
-309.39404296875,563.4146118164062,587.9522705078125|-0.9999998211860657,-9.830317537762312e-08,-0.0005788722191937268|-9.830569780433507e-08,1,4.331599967599686e-09|Climbing
-309.39404296875,563.720947265625,587.9522705078125|-0.9999998211860657,-1.0456784593770863e-07,-0.0005788722191937268|-1.0457198840185811e-07,1,7.122231249212518e-09|Climbing
-309.39404296875,563.8230590820312,587.9522705078125|-0.9999998211860657,-1.0665517891084164e-07,-0.0005788722191937268|-1.066598613874703e-07,1,8.052044364603717e-09|Climbing
-309.39404296875,564.0272827148438,587.9522705078125|-0.9999998211860657,-1.1082850903676444e-07,-0.0005788722191937268|-1.108342644329241e-07,1,9.911073739488074e-09|Climbing
-309.39404296875,564.2315063476562,587.9522705078125|-0.9999998211860657,-1.1500004859499313e-07,-0.0005788722191937268|-1.1500688401611114e-07,1,1.176930908286522e-08|Climbing
-309.39404296875,564.4357299804688,587.9522705078125|-0.9999998211860657,-1.1916981179638242e-07,-0.0005788722191937268|-1.1917772013703143e-07,1,1.3626749506556735e-08|Climbing
-309.39404296875,564.6399536132812,587.9522705078125|-0.9999998211860657,-1.233377844300776e-07,-0.0005788722191937268|-1.233467656902576e-07,1,1.5483395898741037e-08|Climbing
-309.39404296875,564.9462890625,587.9522705078125|-0.9999998211860657,-1.2958639672433492e-07,-0.0005788722191937268|-1.2959699802195246e-07,1,1.8266877788164493e-08|Climbing
-309.39404296875,565.1505126953125,587.9522705078125|-0.9999998211860657,-1.3374992136050423e-07,-0.0005788722191937268|-1.337615884722254e-07,1,2.0121541766116025e-08|Climbing
-309.39404296875,565.2526245117188,587.9522705078125|-0.9999998211860657,-1.3583101576841727e-07,-0.0005788722191937268|-1.3584322289261763e-07,1,2.104857621532119e-08|Climbing
-309.39404296875,565.4568481445312,587.9522705078125|-0.9999998211860657,-1.0524686189228305e-07,-0.0005788722191937268|-1.052567242254554e-07,1,1.701417851052156e-08|Climbing
-309.39404296875,565.76318359375,587.9522705078125|-0.9999998211860657,-5.939513769703808e-08,-0.0005788722191937268|-5.9401497054523134e-08,1,1.0965814922769823e-08|Climbing
-309.39404296875,565.8652954101562,587.9522705078125|-0.9999998211860657,-4.4117765440887524e-08,-0.0005788722191937268|-4.412295595557225e-08,1,8.950555852038633e-09|Climbing
-309.39404296875,566.0695190429688,587.9522705078125|-0.9999998211860657,-1.3572819312912543e-08,-0.0005788722191937268|-1.357567036563978e-08,1,4.921330454266126e-09|Climbing
-309.39404296875,566.3758544921875,587.9522705078125|-0.9999998211860657,3.2220114576375636e-08,-0.0005788722191937268|3.2220768275692535e-08,1,-1.1192785587255116e-09|Climbing
-309.39404296875,566.4779663085938,587.9522705078125|-0.9999998211860657,4.7477900722014965e-08,-0.0005788722191937268|4.747971971141851e-08,1,-3.1319540294560966e-09|Climbing
-309.39404296875,566.7843017578125,587.9522705078125|-0.9999998211860657,9.323168370656276e-08,-0.0005788722191937268|9.32370056716536e-08,1,-9.16739839595948e-09|Climbing
-309.39404296875,566.8864135742188,587.9522705078125|-0.9999998211860657,9.079285234747658e-08,-0.0005788722191937268|9.079820983970421e-08,1,-9.226182484667333e-09|Climbing
-309.39404296875,567.0906372070312,587.9522705078125|-0.9999998211860657,8.59167528233229e-08,-0.0005788722191937268|8.592217426439674e-08,1,-9.343713358589412e-09|Climbing
-309.39404296875,567.2948608398438,587.9522705078125|-0.9999998211860657,8.104273518938498e-08,-0.0005788722191937268|8.104822768473241e-08,1,-9.461193606341567e-09|Climbing
-309.39404296875,567.4990844726562,587.9522705078125|-0.9999998211860657,7.617080655109021e-08,-0.0005788722191937268|7.617636299528385e-08,1,-9.578624116102219e-09|Climbing
-309.39404296875,567.805419921875,587.9522705078125|-0.9999998211860657,6.886681092055369e-08,-0.0005788722191937268|6.887246684073034e-08,1,-9.754675289741499e-09|Climbing
-309.39404296875,568.0096435546875,587.9522705078125|-0.9999998211860657,6.400008345508468e-08,-0.0005788722191937268|6.40058104295349e-08,1,-9.871980566344973e-09|Climbing
-309.39404296875,568.1117553710938,587.9522705078125|-0.9999998211860657,6.156749776664583e-08,-0.0005788722191937268|6.157326026823284e-08,1,-9.930613664721477e-09|Climbing
-309.39404296875,568.3159790039062,587.9522705078125|-0.9999998211860657,5.670389313650048e-08,-0.0005788722191937268|5.6709719586933716e-08,1,-1.0047843446159277e-08|Climbing
-309.39404296875,568.5202026367188,587.9522705078125|-0.9999998211860657,5.1842366843857235e-08,-0.0005788722191937268|5.1848260795850365e-08,1,-1.0165022601427154e-08|Climbing
-309.39404296875,568.8265380859375,587.9522705078125|-0.9999998211860657,4.455397473179801e-08,-0.0005788722191937268|4.4559968159774144e-08,1,-1.03406980755949e-08|Climbing
-309.39404296875,568.9286499023438,587.9522705078125|-0.9999998211860657,4.2125549271077034e-08,-0.0005788722191937268|4.213157467347628e-08,1,-1.0399231697988398e-08|Climbing
-309.39404296875,569.1328735351562,587.9522705078125|-0.9999998211860657,3.72702544382264e-08,-0.0005788722191937268|3.7276350894899224e-08,1,-1.0516260751103346e-08|Climbing
-309.39404296875,569.3370971679688,587.9522705078125|-0.9999998211860657,3.241703794287787e-08,-0.0005788722191937268|3.242319834839691e-08,1,-1.063323917804837e-08|Climbing
-309.39404296875,569.6434326171875,587.9522705078125|-0.9999998211860657,2.5141101644976516e-08,-0.0005788722191937268|2.5147361526478562e-08,1,-1.0808613559731839e-08|Climbing
-309.39404296875,569.84765625,587.9522705078125|-0.9999998211860657,2.0293068558885352e-08,-0.0005788722191937268|2.0299397718304135e-08,1,-1.0925467641698106e-08|Climbing
-309.39404296875,569.9497680664062,587.9522705078125|-0.9999998211860657,1.7869830060135428e-08,-0.0005788722191937268|1.787619119397732e-08,1,-1.0983876030934425e-08|Climbing
-309.39404296875,570.1539916992188,587.9522705078125|-0.9999998211860657,1.3024905598513214e-08,-0.0005788722191937268|1.3031334233915004e-08,1,-1.1100655505913437e-08|Climbing
-309.39404296875,570.3582153320312,587.9522705078125|-0.9999998211860657,8.182053257144162e-09,-0.0005788722191937268|8.188548505927429e-09,1,-1.1217384354722526e-08|Climbing
-309.39404296875,570.5624389648438,587.9522705078125|-0.9999998211860657,3.34127170376064e-09,-0.0005788722191937268|3.3478333438807795e-09,1,-1.1334064353718531e-08|Climbing
-309.39404296875,570.7666625976562,587.9522705078125|-0.9999998211860657,-1.4974400608380734e-09,-0.0005788722191937268|-1.4908118073364562e-09,1,-1.1450693726544614e-08|Climbing
-309.39404296875,571.072998046875,587.9522705078125|-0.9999998211860657,-8.751628755021557e-09,-0.0005788722191937268|-8.744900803492328e-09,1,-1.162554408296046e-08|Climbing
-309.39404296875,571.1751098632812,587.9522705078125|-0.9999998211860657,-1.1168657998439357e-08,-0.0005788722191937268|-1.116189629613018e-08,1,-1.168380237004385e-08|Climbing
-309.39404296875,571.4814453125,587.9522705078125|-0.9999998211860657,-1.8416645986008007e-08,-0.0005788722191937268|-1.8409783919537404e-08,1,-1.1858503512485186e-08|Climbing
-309.39404296875,571.5835571289062,587.9522705078125|-0.9999998211860657,-2.0831608438243165e-08,-0.0005788722191937268|-2.0824714397349453e-08,1,-1.1916712061577073e-08|Climbing
-309.39404296875,571.7877807617188,587.9522705078125|-0.9999998211860657,-2.5659986135906365e-08,-0.0005788722191937268|-2.5653024593452756e-08,1,-1.203309274444564e-08|Climbing
-309.39404296875,571.9920043945312,587.9522705078125|-0.9999998211860657,-3.048629793056534e-08,-0.0005788722191937268|-3.0479270662908675e-08,1,-1.2149423689322703e-08|Climbing
-309.39404296875,572.1962280273438,587.9522705078125|-0.9999998211860657,-3.531054559857694e-08,-0.0005788722191937268|-3.530345082936037e-08,1,-1.2265704008029843e-08|Climbing
-309.39404296875,572.4004516601562,587.9522705078125|-0.9999998211860657,-4.0132732692654827e-08,-0.0005788722191937268|-4.0125570421878365e-08,1,-1.23819354769239e-08|Climbing
-309.39404296875,572.6046752929688,587.9522705078125|-0.9999998211860657,-4.495285921279901e-08,-0.0005788722191937268|-4.494562944046265e-08,1,-1.2498116319648034e-08|Climbing
-309.39404296875,572.9110107421875,587.9522705078125|-0.9999998211860657,-5.2179181864175916e-08,-0.0005788722191937268|-5.217185261585655e-08,1,-1.2672295213178586e-08|Climbing
-309.39404296875,573.0131225585938,587.9522705078125|-0.9999998211860657,-5.458692697857259e-08,-0.0005788722191937268|-5.457956575583012e-08,1,-1.2730330567478632e-08|Climbing
-309.39404296875,573.3194580078125,587.9522705078125|-0.9999998211860657,-6.180707146086206e-08,-0.0005788722191937268|-6.179961076213658e-08,1,-1.2904361135213094e-08|Climbing
-309.39404296875,573.4215698242188,587.9522705078125|-0.9999998211860657,-6.421275600132503e-08,-0.0005788722191937268|-6.420526688089012e-08,1,-1.2962345863343216e-08|Climbing
-309.39404296875,573.7279052734375,587.9522705078125|-0.9999998211860657,-7.14267329726681e-08,-0.0005788722191937268|-7.141914437625019e-08,1,-1.3136227217103169e-08|Climbing
-309.39404296875,573.93212890625,587.9522705078125|-0.9999998211860657,-7.623348352581161e-08,-0.0005788722191937268|-7.622582387512011e-08,1,-1.3252086539239372e-08|Climbing
-309.39404296875,574.1363525390625,587.9522705078125|-0.9999998211860657,-8.10381735050214e-08,-0.0005788722191937268|-8.103044990548369e-08,1,-1.3367896123384071e-08|Climbing
-309.39404296875,574.2384643554688,587.9522705078125|-0.9999998211860657,-8.343975110847168e-08,-0.0005788722191937268|-8.343199198179718e-08,1,-1.3425782263709607e-08|Climbing
-309.39404296875,574.2910766601562,587.9522705078125|-0.9999998211860657,-8.824135733220828e-08,-0.0005788722191937268|-8.823353425668756e-08,1,-1.3541517240867051e-08|Climbing
-309.39404296875,574.2991943359375,587.9522705078125|-0.9999998211860657,-9.543992263161272e-08,-0.0005788722191937268|-9.543200008010899e-08,1,-1.371502644786915e-08|Climbing
-309.39404296875,574.2994995117188,587.9522705078125|-0.9999998211860657,-9.78384164795898e-08,-0.0005788722191937268|-9.783046550637664e-08,1,-1.377283886938585e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.0263386940323471e-07,-0.0005788722191937268|-1.0262584737574798e-07,1,-1.3888425520747205e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.0742726885837328e-07,-0.0005788722191937268|-1.0741918288204033e-07,1,-1.4003963322295476e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.1221862195043286e-07,-0.0005788722191937268|-1.122104720252537e-07,1,-1.4119451385852244e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.194018182104628e-07,-0.0005788722191937268|-1.1939356170387327e-07,1,-1.4292591110631747e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.2418804828939756e-07,-0.0005788722191937268|-1.2417973493938916e-07,1,-1.4407955717388177e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.2658040304813767e-07,-0.0005788722191937268|-1.2657204706556513e-07,1,-1.4465619813108788e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.3136356358245393e-07,-0.0005788722191937268|-1.3135515075646254e-07,1,-1.4580910701056382e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.3614469196454593e-07,-0.0005788722191937268|-1.3613620808428095e-07,1,-1.4696151851012473e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-1.0584487597498082e-07,-0.0005788722191937268|-1.0583841714151276e-07,1,-1.1191737314675265e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-6.04194454467688e-08,-0.0005788722191937268|-6.041602063078244e-08,1,-5.9379248185109645e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,-3.015200888967229e-08,-0.0005788722191937268|-3.015060201505548e-08,1,-2.437255064435817e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,1.024903772961494e-10,-0.0005788722191937268|1.0187568150188397e-10,1,1.0619183310467406e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,1.5224888016973637e-08,-0.0005788722191937268|1.5223264426822425e-08,1,2.810943922071374e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,4.545998422145203e-08,-0.0005788722191937268|4.545634268993126e-08,1,6.307873778865769e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,7.568215920628063e-08,-0.0005788722191937268|7.567649618067662e-08,1,9.803308387290599e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,8.856383004740565e-08,-0.0005788722191937268|8.855737831936494e-08,1,1.1165563584825122e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,8.189297773242288e-08,-0.0005788722191937268|8.188719391455379e-08,1,1.0011354412142737e-08|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,7.967030768440964e-08,-0.0005788722191937268|7.966475124021599e-08,1,9.62678203819678e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,7.300516102759502e-08,-0.0005788722191937268|7.300026538814564e-08,1,8.47355963173868e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,7.078439523411362e-08,-0.0005788722191937268|7.077971986291232e-08,1,8.089315883808013e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,6.634428473262233e-08,-0.0005788722191937268|6.634005700334455e-08,1,7.321075745636563e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,6.190607138023552e-08,-0.0005788722191937268|6.190229129288127e-08,1,6.553163789391192e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,5.525231472347514e-08,-0.0005788722191937268|5.524919544086515e-08,1,5.401911806757198e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,5.0818847796563205e-08,-0.0005788722191937268|5.081617260316307e-08,1,4.63482052737163e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,4.638727446604207e-08,-0.0005788722191937268|4.6385043361851785e-08,1,3.868056985822932e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,4.195759828462542e-08,-0.0005788722191937268|4.1955807716931304e-08,1,3.1016216262003127e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,3.9743468960296013e-08,-0.0005788722191937268|3.974190221356366e-08,1,2.7185267370555266e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,3.310391960553716e-08,-0.0005788722191937268|3.310301721626274e-08,1,1.56973356535417e-09|Climbing
-309.39404296875,574.2996826171875,587.9522705078125|-0.9999998211860657,2.8679920660579228e-08,-0.0005788722191937268|2.8679460584157823e-08,1,8.042806975971928e-10|Climbing
-309.39404296875,574.3634643554688,587.9522705078125|-0.9999998211860657,2.6468629954479184e-08,-0.0005788722191937268|2.6468391922662704e-08,1,4.216770266296521e-10|Climbing
-309.39404296875,574.5478515625,587.9522705078125|-0.9999998211860657,2.2047467851393776e-08,-0.0005788722191937268|2.2047670356073468e-08,1,-3.4328498377256267e-10|Climbing
-309.39404296875,574.7492065429688,587.9522705078125|-0.9999998211860657,1.762819579198549e-08,-0.0005788722191937268|1.7628840609518193e-08,1,-1.1079198669605717e-09|Climbing
-309.39404296875,574.9530029296875,587.9522705078125|-0.9999998211860657,1.3210814664432746e-08,-0.0005788722191937268|1.321190001846162e-08,1,-1.8722279282457066e-09|Climbing
-309.39404296875,575.1571044921875,587.9522705078125|-0.9999998211860657,8.795320916021865e-09,-0.0005788722191937268|8.79684769472533e-09,1,-2.6362092508946944e-09|Climbing
-309.39404296875,575.3612060546875,587.9522705078125|-0.9999998211860657,4.381714990842056e-09,-0.0005788722191937268|4.383683638309321e-09,1,-3.3998637238852325e-09|Climbing
-309.39404296875,575.6675415039062,587.9522705078125|-0.9999998211860657,-2.2351556161481767e-09,-0.0005788722191937268|-2.2325252757582348e-09,1,-4.544733478439866e-09|Climbing
-309.4014892578125,575.8615112304688,587.9522705078125|-0.9999998211860657,-6.61059962325794e-09,-0.000645778956823051|-6.607173030914737e-09,1,-5.3078692552332996e-09|Running
-309.4188537597656,576.0418090820312,587.9522705078125|-0.9999997019767761,-1.0840459196970187e-08,-0.0007481360225938261|-1.08359197170671e-08,1,-6.072065961149065e-09|Freefall
-309.4312744140625,576.1268310546875,587.9522705078125|-0.9999997019767761,-1.2877205968209182e-08,-0.0008028688607737422|-1.287202788802233e-08,1,-6.455003642713564e-09|Freefall
-309.4833984375,576.361572265625,587.9520874023438|-0.9999995231628418,-1.86565198845301e-08,-0.0009669475839473307|-1.864917287264234e-08,1,-7.606680618721384e-09|Freefall
-309.53057861328125,576.5009765625,587.9519653320312|-0.9999994039535522,-2.2244128317083778e-08,-0.0010704082669690251|-2.22351754786132e-08,1,-8.376515481245406e-09|Freefall
-309.5876770019531,576.6268310546875,587.9518432617188|-0.9999993443489075,-2.5647429069408645e-08,-0.001166817150078714|-2.5636770928372243e-08,1,-9.148289237259633e-09|Freefall
-309.65472412109375,576.739013671875,587.9517211914062|-0.9999992251396179,-2.8890784875557074e-08,-0.0012565342476591468|-2.8878339719540236e-08,1,-9.921805599333311e-09|Freefall
-309.716796875,576.8375854492188,587.9515991210938|-0.9999991655349731,-3.203937382068034e-08,-0.0012973827542737126|-3.2025525342760375e-08,1,-1.0696011187860677e-08|Freefall
-309.7689514160156,576.9225463867188,587.9514770507812|-0.9999991655349731,-3.517171620615045e-08,-0.0013112722663208842|-3.515670599085752e-08,1,-1.1470019600778869e-08|Freefall
-309.8111572265625,576.9938354492188,587.9513549804688|-0.9999991059303284,-3.8300935756296894e-08,-0.0013159951195120811|-3.8284856174186643e-08,1,-1.2243694946789674e-08|Freefall
-309.8434143066406,577.0515747070312,587.9512329101562|-0.9999991059303284,-4.142858855971099e-08,-0.0013176010688766837|-4.141147158520653e-08,1,-1.3017037225893091e-08|Freefall
-309.8558349609375,577.0753173828125,587.9512329101562|-0.9999991059303284,-4.299189626522093e-08,-0.001317946007475257|-4.297426769994672e-08,1,-1.3403585796822881e-08|Freefall
-309.8731994628906,577.112548828125,587.9512329101562|-0.9999991059303284,-4.6117499152842356e-08,-0.0013182645197957754|-4.609885095874233e-08,1,-1.4176436025081784e-08|Freefall
-309.8806457519531,577.13623046875,587.9512329101562|-0.9999991059303284,-4.9241762667406874e-08,-0.0013183729024603963|-4.9222094844481035e-08,1,-1.494895585096856e-08|Freefall
-309.8819274902344,577.146240234375,587.9512329101562|-0.9999991059303284,-5.2364686808914485e-08,-0.0013184098061174154|-5.234400290987651e-08,1,-1.5721145274483206e-08|Freefall
-309.8821105957031,577.142578125,587.9512329101562|-0.9999991059303284,-5.548627157736519e-08,-0.0013184223789721727|-5.546457515492875e-08,1,-1.6493004295625724e-08|Freefall
-309.88214111328125,577.0023803710938,587.9512329101562|-0.9999991059303284,-6.016614406689769e-08,-0.001318427617661655|-6.014292353029305e-08,1,-1.765017287880255e-08|Landed
-309.88214111328125,576.9398193359375,587.9512329101562|-0.9999991059303284,-6.172543010052323e-08,-0.001318428199738264|-6.17017050785762e-08,1,-1.8035731130794375e-08|Landed
-309.88214111328125,576.7316284179688,587.9512329101562|-0.9999991059303284,-6.640129868173972e-08,-0.001318428898230195|-6.637605309833816e-08,1,-1.9191912059568494e-08|Landed
-309.88214111328125,576.6554565429688,587.9512329101562|-0.9999991059303284,-6.795925600044939e-08,-0.0013184290146455169|-6.793349882627808e-08,1,-1.957713990918819e-08|Landed
-309.88214111328125,576.4928588867188,587.9512329101562|-0.9999991059303284,-7.107416166718394e-08,-0.0013184291310608387|-7.104739552232786e-08,1,-2.0347348694826906e-08|Landed
