yareu|true|1270
-814.83837890625,40.0072021484375,-188.0039520263672|0.03910697624087334,-1.3500132922672492e-07,0.9992350339889526|6.7016747706816204e-09,1,1.348423950275901e-07|Running
-814.8403930664062,40.0072021484375,-187.12893676757812|0.028599612414836884,-1.294131664053566e-07,0.9995909333229065|4.844909806678288e-09,1,1.2932751758398808e-07|Running
-814.8294067382812,40.0072021484375,-186.50405883789062|0.025760816410183907,-1.0688662399616078e-07,0.9996681213378906|3.2475935274334233e-09,1,1.0683842077696681e-07|Running
-814.7872924804688,40.0072021484375,-185.1297149658203|0.026974894106388092,3.1631124386422016e-08,0.9996361136436462|-2.624236161707927e-09,1,-3.157182604240916e-08|Running
-814.697998046875,40.0072021484375,-183.3820037841797|0.037642426788806915,-3.0340387979777006e-09,0.9992913007736206|-2.618960381894908e-09,1,3.1348446061230106e-09|Running
-814.6201782226562,40.0072021484375,-181.884033203125|0.043794311583042145,-8.945607987698168e-08,0.9990405440330505|3.7184790802058387e-09,1,8.93789859901517e-08|Running
-814.5697631835938,40.0072021484375,-180.76014709472656|0.04457883536815643,-5.6867055064913075e-08,0.9990058541297913|6.014271747289968e-09,1,5.665526714437874e-08|Running
-814.5429077148438,40.0072021484375,-179.88558959960938|0.04175341874361038,-4.5002821025263984e-08,0.9991279244422913|8.446052746080568e-09,1,4.468914127642165e-08|Running
-814.5208740234375,40.0072021484375,-179.01089477539062|0.03791187331080437,-8.172970922259992e-08,0.999281108379364|1.3109494823027035e-08,1,8.129114092980672e-08|Running
-814.49658203125,40.0072021484375,-178.01113891601562|0.03408770263195038,-9.19517830766381e-08,0.9994188547134399|9.49180911646863e-09,1,9.168150683080967e-08|Running
-814.4743041992188,40.0072021484375,-176.88641357421875|0.029751747846603394,-1.0670136418866605e-07,0.9995573163032532|1.8691548309135442e-10,1,1.0674305883640045e-07|Running
-814.4673461914062,40.0072021484375,-175.76141357421875|0.022887781262397766,-1.1452043224835506e-07,0.9997380375862122|-1.5206349512908446e-09,1,1.1458525506213846e-07|Running
-814.4630126953125,40.0072021484375,-174.51141357421875|0.01617593504488468,-1.128469406808108e-07,0.999869167804718|3.5578275880965293e-09,1,1.1280415179726333e-07|Running
-814.4622802734375,40.0072021484375,-173.76141357421875|0.01289465930312872,-8.431722875457126e-08,0.9999168515205383|4.1054279975583086e-09,1,8.427129927213173e-08|Running
-814.4605102539062,40.0072021484375,-171.76141357421875|0.006206509191542864,-1.0575116959898878e-07,0.9999807476997375|5.799321023403081e-09,1,1.057172127616468e-07|Running
-814.4130859375,40.0072021484375,-169.76190185546875|0.01459387969225645,-9.248436327879972e-08,0.9998934864997864|-1.1726060122896342e-09,1,9.251132837562182e-08|Running
-814.3678588867188,40.0072021484375,-169.01332092285156|0.023104025050997734,-1.328570533587481e-07,0.9997330904006958|6.925858775375104e-10,1,1.3287652222970792e-07|Running
-814.3123168945312,40.0072021484375,-168.26539611816406|0.033341825008392334,-1.279659898045793e-07,0.9994440078735352|4.3313832520652795e-09,1,1.2789267600510357e-07|Running
-814.2609252929688,40.0072021484375,-167.64251708984375|0.04174980893731117,-1.2235517488079495e-07,0.9991281032562256|5.420093707186879e-09,1,1.2223546264067409e-07|Running
-814.1969604492188,40.0072021484375,-167.0208282470703|0.051719214767217636,-1.4222999311641615e-07,0.9986616373062134|7.234061349947751e-09,1,1.4204594833699957e-07|Running
-814.0961303710938,40.0072021484375,-166.15164184570312|0.06669662892818451,-1.4466343145613791e-07,0.997773289680481|9.396034172937107e-09,1,1.443581965077101e-07|Running
-813.8193359375,40.0072021484375,-164.17083740234375|0.10503443330526352,-1.510444747054862e-07,0.9944685697555542|1.543321204167114e-08,1,1.5025457855699642e-07|Running
-813.2984008789062,40.0072021484375,-162.24078369140625|0.1879505068063736,-7.900263767623983e-07,0.9821785092353821|1.3770095108611713e-07,1,7.78010701196763e-07|Running
-813.0473022460938,40.0072021484375,-161.40260314941406|0.2144407480955124,-3.9116611105782795e-07,0.9767370223999023|8.134956885896827e-08,1,3.826223746727919e-07|Running
-812.9030151367188,40.0072021484375,-160.9239044189453|0.22558605670928955,-2.3683766414706042e-07,0.974223256111145|5.326073448941315e-08,1,2.3077132027538028e-07|Running
-812.6896362304688,40.0072021484375,-160.20492553710938|0.23821398615837097,-1.5616588200373371e-07,0.9712126851081848|3.7704626976164946e-08,1,1.515467431545403e-07|Running
-812.1397705078125,40.0072021484375,-158.2819061279297|0.2586609721183777,-1.25446803167506e-07,0.9659681916236877|3.2532771143678474e-08,1,1.2115496872411313e-07|Running
-811.6824951171875,40.0072021484375,-156.3349609375|0.2449624389410019,-1.1313466075080214e-07,0.9695325493812561|2.912128849175133e-08,1,1.0933210603525367e-07|Running
-811.379150390625,40.0072021484375,-154.35842895507812|0.19700777530670166,-2.7602015961747384e-07,0.9804019331932068|5.8631414390220016e-08,1,2.697560148590128e-07|Running
-810.9586791992188,40.0072021484375,-153.18569946289062|0.24302583932876587,-8.105980100481247e-07,0.9700198173522949|1.8637291532286326e-07,1,7.889576636443962e-07|Running
-810.7076416015625,40.0072021484375,-152.47901916503906|0.2645624876022339,-4.571540728193213e-07,0.9643685221672058|1.1585437675876165e-07,1,4.4226180762052536e-07|Running
-810.2589721679688,40.0072021484375,-151.1793212890625|0.2886263132095337,-1.497277111184303e-07,0.9574418067932129|4.490071248142158e-08,1,1.4284751159721054e-07|Running
-810.0367431640625,40.0072021484375,-150.46304321289062|0.2920863628387451,-1.0533135252899228e-07,0.9563919305801392|2.988979730389474e-08,1,1.0100561098624894e-07|Running
-809.8170166015625,40.0072021484375,-149.74600219726562|0.2925480902194977,-7.701132176407555e-08,0.956250786781311|1.962535911559371e-08,1,7.453061812157102e-08|Running
-809.631103515625,40.0072021484375,-149.14927673339844|0.29327425360679626,-5.464120178544363e-08,0.9560283422470093|1.143953820559318e-08,1,5.3645145214886725e-08|Running
-809.3665771484375,40.0072021484375,-148.31520080566406|0.2952722907066345,-3.3121338560704316e-08,0.9554131627082825|2.9091531406066906e-09,1,3.37679502138144e-08|Running
-809.09765625,40.0072021484375,-147.48260498046875|0.29806169867515564,-3.6943227144092816e-08,0.9545466303825378|1.9962373976056824e-09,1,3.807904747077373e-08|Running
-808.7821655273438,40.0072021484375,-146.53363037109375|0.30260878801345825,-1.035300485341395e-07,0.9531148672103882|1.9872420153888015e-08,1,1.0231346436739841e-07|Running
-808.292724609375,40.0072021484375,-145.1156768798828|0.31197378039360046,-1.202769652763891e-07,0.9500907063484192|4.061624991891222e-08,1,1.1325840887366212e-07|Running
-807.787109375,40.0072021484375,-143.7034149169922|0.3221499025821686,-1.1989840231763083e-07,0.9466886520385742|4.156612831707207e-08,1,1.1250570253196202e-07|Running
-807.4337158203125,40.0072021484375,-142.7679901123047|0.3305578827857971,-1.2484373712595698e-07,0.9437857270240784|4.0301948445176095e-08,1,1.1816412381904229e-07|Running
-807.1619873046875,40.0072021484375,-142.06893920898438|0.3370920419692993,-1.1466773486290549e-07,0.9414716958999634|3.769749667981159e-08,1,1.0829874952378304e-07|Running
-806.793212890625,40.0072021484375,-141.139404296875|0.34569528698921204,-1.2464317933336133e-07,0.938346803188324|4.340568793281818e-08,1,1.1684169720638238e-07|Running
