Replay 1|true|381
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.8012084960938,4.911018371582031,845.2537841796875|-0,-0,-1|0,1,0|Running
980.748291015625,4.911018371582031,845.3635864257812|-0.24542909860610962,0.000019784534742939286,-0.9694145321846008|0.0000029470536446751794,1,0.000019662633349071257|Running
980.6127319335938,4.911018371582031,845.6500244140625|-0.5414137840270996,0.000051585120672825724,-0.8407562971115112|0.00001821957812353503,1,0.000049622929509496316|Running
980.4207763671875,4.911018371582031,846.06298828125|-0.7640044093132019,0.00005448591764434241,-0.6452110409736633|0.00003166299211443402,1,0.00004695402458310127|Running
980.2261962890625,4.911018371582031,846.4868774414062|-0.9038035869598389,0.00004266507312422618,-0.4279474914073944|0.000033814783819252625,1,0.000028281856430112384|Running
