Replay 1|true|381
980.033447265625,4.911018371582031,846.9118041992188|-0.9762111902236938,0.00003127937452518381,-0.21682193875312805|0.000029204427846707404,1,0.000012774017704941798|Running
979.841064453125,4.911018371582031,847.3367919921875|-0.9996581673622131,0.00002300435517099686,-0.02614375576376915|0.000022906688172952272,1,0.000004035199708596338|Running
979.648681640625,4.911018371582031,847.761962890625|-0.9903318285942078,0.00001697404877631925,0.13871878385543823|0.00001710875949356705,1,-2.2130790000574052e-07|Running
979.4561157226562,4.911018371582031,848.1871948242188|-0.9607324600219727,0.0000125192682389752,0.27747631072998047|0.000012418310689099599,1,-0.00000212123995879665|Running
979.2153930664062,4.911018371582031,848.7186279296875|-0.9080039858818054,0.000008640763553557917,0.4189615547657013|0.000008188847459678072,1,-0.0000028767724415956764|Running
979.0709838867188,4.911018371582031,849.0374755859375|-0.8729113936424255,0.000007002177426329581,0.4878787696361542|0.000006399719040928176,1,-0.000002901929292420391|Running
978.87841796875,4.911018371582031,849.462646484375|-0.8259421586990356,0.0000050206886044179555,0.5637548565864563|0.000004350485596660292,1,-0.000002532021426304709|Running
978.685791015625,4.911018371582031,849.8877563476562|-0.7800922989845276,0.000003662040626295493,0.625664472579956|0.000002994059741467936,1,-0.000002119982582371449|Running
978.4932250976562,4.911018371582031,850.3128662109375|-0.736961305141449,0.000002716434664762346,0.675934910774231|0.00000209574159271142,1,-0.0000017338271618427825|Running
978.3023681640625,4.911018371582031,850.7386474609375|-0.6970199346542358,0.000002029120196311851,0.7170517444610596|0.0000014792277625019778,1,-0.0000013919064940637327|Running
978.1116943359375,4.911018371582031,851.1647338867188|-0.6607394218444824,0.0000015169691778282868,0.7506153583526611|0.0000010464871138538001,1,-0.0000010997828212566674|Running
977.9227905273438,4.911018371582031,851.5914306640625|-0.627936601638794,0.0000011356938784956583,0.7782645225524902|7.427144055327517e-07,1,-8.600114256296365e-07|Running
977.7340698242188,4.911018371582031,852.0182495117188|-0.5986847877502441,8.514864475728245e-07,0.8009847402572632|5.288491706778586e-07,1,-6.677686883449496e-07|Running
977.54541015625,4.911018371582031,852.4450073242188|-0.5728768110275269,6.319619387795683e-07,0.8196414709091187|3.743312220194639e-07,1,-5.093888830742799e-07|Running
977.356689453125,4.911018371582031,852.8717651367188|-0.550240695476532,4.659455896671716e-07,0.8350061178207397|2.6424672228131385e-07,1,-3.8388495227081876e-07|Running
977.2899169921875,4.911018371582031,853.301513671875|-0.46784889698028564,0.0000031206054700305685,0.8838084936141968|0.0000015773222230563988,1,-0.0000026958973649016116|Running
977.4466552734375,4.911018371582031,853.8442993164062|-0.33712202310562134,0.000007320255008380627,0.9414609670639038|0.0000030772350783081492,1,-0.000006673511961707845|Running
977.572509765625,4.911018371582031,854.170654296875|-0.264044851064682,0.000007159214419516502,0.9645103812217712|0.000002569355729065137,1,-0.00000671925272399676|Running
977.7376098632812,4.911018371582031,854.6071166992188|-0.17793773114681244,0.000005238570793153485,0.9840417504310608|0.0000013900896647101035,1,-0.000005072164640296251|Running
977.8987426757812,4.911018371582031,855.0450439453125|-0.10350915789604187,0.0000035808807297144085,0.9946284890174866|5.962216391708353e-07,1,-0.000003538171540640178|Running
978.05078125,4.911018371582031,855.4862060546875|-0.04152918979525566,0.000002454689138176036,0.999137282371521|2.1057068977370363e-07,1,-0.000002448056193316006|Running
978.1927490234375,4.911018371582031,855.9307861328125|0.008768756873905659,0.0000016374308415834093,0.9999615550041199|4.338932413361363e-08,1,-0.0000016378742202505236|Running
978.32470703125,4.911018371582031,856.3784790039062|0.04878043010830879,0.00000104762330010999,0.9988095164299011|-2.1229650926102295e-08,1,-0.0000010478350986886653|Running
978.4393310546875,4.911018371582031,856.830810546875|0.0782342180609703,6.092284365877276e-07,0.9969350099563599|-3.5269589915287725e-08,1,-6.083336643314396e-07|Running
978.531982421875,4.911018371582031,857.2880859375|0.09706145524978638,2.966703789297753e-07,0.9952784180641174|-2.7117110334984318e-08,1,-2.9543326718339813e-07|Running
978.6088256835938,4.911018371582031,857.7483520507812|0.10796321928501129,1.501192912201077e-07,0.9941548705101013|-2.306576440957997e-08,1,-1.4849702267838438e-07|Running
978.6781005859375,4.911018371582031,858.2098388671875|0.1143951341509819,1.1003482569549305e-07,0.9934353232383728|-2.994586623117357e-08,1,-1.0731363886407053e-07|Running
978.7446899414062,4.911018371582031,858.6717529296875|0.11867140233516693,1.1004696176541984e-07,0.9929335713386536|-4.13421297196237e-08,1,-1.0588909304942717e-07|Running
978.8055419921875,4.911018371582031,859.1343994140625|0.12077765166759491,1.0939666594822484e-07,0.9926795959472656|-4.6998852809565506e-08,1,-1.0448513165783879e-07|Running
978.8493041992188,4.911018371582031,859.5989990234375|0.11824777722358704,6.481620573595137e-08,0.9929841160774231|-3.0496924097178635e-08,1,-6.164248844697795e-08|Running
978.8773193359375,4.911018371582031,860.181640625|0.10775410383939743,8.60530491308964e-08,0.9941775798797607|-1.8852343686148743e-08,1,-8.451370803186364e-08|Running
978.8781127929688,4.911018371582031,860.5315551757812|0.0978747233748436,1.0451250176402027e-07,0.9951987266540527|-1.3515263574959135e-08,1,-1.0368753322609336e-07|Running
978.8639526367188,4.911018371582031,860.9979248046875|0.08133314549922943,1.3851115454599494e-07,0.9966869950294495|-1.2340091615214988e-08,1,-1.3796457665193884e-07|Running
978.8424682617188,4.911018371582031,861.4640502929688|0.06410802900791168,1.6754299281274143e-07,0.9979429841041565|-1.2787399583658043e-08,1,-1.670668723363633e-07|Running
978.8051147460938,4.911018371582031,862.046142578125|0.04244298115372658,1.7324398982054845e-07,0.9990988969802856|-1.0063794242398671e-08,1,-1.7297271881488996e-07|Running
978.7767944335938,4.911018371582031,862.39501953125|0.02963479422032833,1.701163796496985e-07,0.9995607733726501|-7.687527947553008e-09,1,-1.6996321505757805e-07|Running
978.7302856445312,4.911018371582031,862.859375|0.012204110622406006,1.6969433147551172e-07,0.9999255537986755|-4.626749650071815e-09,1,-1.6965049098871532e-07|Running
978.678955078125,4.911018371582031,863.3232421875|-0.004630107432603836,1.6595126339780109e-07,0.9999892711639404|-1.6959410542582987e-09,1,-1.65960898357298e-07|Running
978.6251831054688,4.911018371582031,863.786865234375|-0.020046330988407135,1.4580385254703288e-07,0.9997990727424622|8.387263106257592e-10,1,-1.4581634388832754e-07|Running
978.5709838867188,4.911018371582031,864.25048828125|-0.03355860710144043,1.389684314290207e-07,0.9994367361068726|3.1051112792113145e-09,1,-1.3894248240831075e-07|Running
978.511474609375,4.911018371582031,864.71337890625|-0.04645669832825661,1.3609901827749127e-07,0.9989203214645386|4.840986722598473e-09,1,-1.360209864742501e-07|Running
978.4439086914062,4.911018371582031,865.1751098632812|-0.059761013835668564,1.310848745106341e-07,0.9982126951217651|6.225268300852349e-09,1,-1.309468871113495e-07|Running
978.3697509765625,4.911018371582031,865.6358642578125|-0.07326412945985794,1.295266400802575e-07,0.9973125457763672|7.84879450321796e-09,1,-1.2929909587455768e-07|Running
978.289306640625,4.911018371582031,866.0955200195312|-0.08679284900426865,1.3129549358836812e-07,0.9962263703346252|9.738780448742546e-09,1,-1.309443717900649e-07|Running
978.2044067382812,4.911018371582031,866.5543823242188|-0.09990030527114868,1.2898375700842735e-07,0.9949974417686462|1.1274370770308906e-08,1,-1.2850027530930674e-07|Running
978.1153564453125,4.911018371582031,867.012451171875|-0.11245433241128922,1.3567846224304958e-07,0.9936568737030029|1.3773215457035803e-08,1,-1.3498583939508535e-07|Running
978.016845703125,4.911018371582031,867.468505859375|-0.12574291229248047,1.431372567139988e-07,0.9920628666877747|1.6383653544949084e-08,1,-1.422058346634003e-07|Running
977.90625,4.911018371582031,867.921875|-0.14061468839645386,1.3253422537218285e-07,0.9900643825531006|1.6853164197527803e-08,1,-1.314706565835877e-07|Running
977.7903442382812,4.911018371582031,868.3739624023438|-0.15545374155044556,1.2854420106123143e-07,0.9878431558609009|1.827343076854504e-08,1,-1.272505016913783e-07|Running
977.6738891601562,4.911018371582031,868.8258666992188|-0.16874568164348602,1.3767136408660008e-07,0.9856595993041992|2.168498447474576e-08,1,-1.3596185510778014e-07|Running
977.5557250976562,4.911018371582031,869.27734375|-0.18064314126968384,1.3185871239329572e-07,0.9835487008094788|2.234822815694315e-08,1,-1.2995967324513913e-07|Running
977.4370727539062,4.911018371582031,869.728759765625|-0.19103901088237762,1.240084230857974e-07,0.9815824627876282|2.2487087747435908e-08,1,-1.2195870624509553e-07|Running
977.318359375,4.911018371582031,870.18017578125|-0.19998367130756378,1.218982816908465e-07,0.979799211025238|2.352526351501183e-08,1,-1.1960982249092922e-07|Running
977.19970703125,4.911018371582031,870.631591796875|-0.20765843987464905,1.282172661376535e-07,0.9782013893127441|2.602499016290949e-08,1,-1.2554977502077236e-07|Running
977.0810546875,4.911018371582031,871.0830078125|-0.2142411172389984,1.2647701908008457e-07,0.9767808318138123|2.6592548607595745e-08,1,-1.2365087798116292e-07|Running
976.9327392578125,4.911018371582031,871.6472778320312|-0.22123675048351288,1.0781737813658765e-07,0.9752201437950134|2.3505837276616148e-08,1,-1.0522447269067925e-07|Running
976.84375,4.911018371582031,871.98583984375|-0.22481302917003632,1.0954246221217545e-07,0.9744018912315369|2.4360520711752542e-08,1,-1.0679976725214146e-07|Running
976.6954345703125,4.911018371582031,872.5501098632812|-0.22992558777332306,8.893203329307653e-08,0.9732081890106201|2.0372029396753533e-08,1,-8.656727601419334e-08|Running
976.5750732421875,4.911018371582031,873.0010375976562|-0.23378577828407288,9.838429093633749e-08,0.9722881317138672|2.3094985479588104e-08,1,-9.563524372424581e-08|Running
976.484619140625,4.911018371582031,873.3392333984375|-0.2364097535610199,1.1886031359154003e-07,0.9716534614562988|2.8268212659554592e-08,1,-1.1545004241497736e-07|Running
976.364013671875,4.911018371582031,873.7901611328125|-0.239499032497406,8.811924345764055e-08,0.9708966016769409|2.115233144195372e-08,1,-8.554287234119329e-08|Running
976.243408203125,4.911018371582031,874.2410888671875|-0.24217768013477325,6.975172084366932e-08,0.9702318906784058|1.6944998293411118e-08,1,-6.766219939891016e-08|Running
976.12109375,4.911018371582031,874.69140625|-0.24488644301891327,6.190521162352525e-08,0.9695517420768738|1.5255663399216246e-08,1,-5.99960756630935e-08|Running
975.99853515625,4.911018371582031,875.1416015625|-0.24739234149456024,6.435546140437509e-08,0.9689154028892517|1.6070874409024327e-08,1,-6.231674376522278e-08|Running
975.8759155273438,4.911018371582031,875.591796875|-0.24957312643527985,7.499623677631462e-08,0.9683559536933899|1.890972534113189e-08,1,-7.257339262878304e-08|Running
975.7533569335938,4.911018371582031,876.0419921875|-0.2514501214027405,9.17600146976838e-08,0.9678702354431152|2.3284517425281592e-08,1,-8.875685608700223e-08|Running
975.6307983398438,4.911018371582031,876.4921875|-0.25306233763694763,1.1304563685143876e-07,0.967449963092804|2.8808717189576782e-08,1,-1.0931339033959375e-07|Running
975.5082397460938,4.911018371582031,876.9423828125|-0.2544466555118561,1.0214800028052196e-07,0.9670867919921875|2.609826310617791e-08,1,-9.875781614709922e-08|Running
975.3856811523438,4.911018371582031,877.392578125|-0.25563526153564453,5.82316772579361e-08,0.966773271560669|1.4909488754710765e-08,1,-5.629063792866873e-08|Running
975.2631225585938,4.911018371582031,877.8427734375|-0.25665587186813354,1.617535616560417e-08,0.966502845287323|4.168460243647587e-09,1,-1.5629025185148748e-08|Running
975.1405639648438,4.911018371582031,878.29296875|-0.2575322687625885,-2.450032887679754e-08,0.9662696719169617|-6.240468142237887e-09,1,2.3692358297466853e-08|Running
975.0180053710938,4.911018371582031,878.7431640625|-0.2582848370075226,-6.414931164044901e-08,0.9660688042640686|-1.6403941316411874e-08,1,6.201672420047544e-08|Running
974.8954467773438,4.911018371582031,879.193359375|-0.25893113017082214,-1.030325051942782e-07,0.9658957719802856|-2.6385482243540537e-08,1,9.959716606999791e-08|Running
974.7728881835938,4.911018371582031,879.6435546875|-0.2594861686229706,-8.82703972138188e-08,0.9657468199729919|-2.2621556183821667e-08,1,8.532300199703968e-08|Running
974.6503295898438,4.911018371582031,880.09375|-0.2599627673625946,-5.543963510490357e-08,0.9656186699867249|-1.4216562149726997e-08,1,5.35862270112375e-08|Running
974.5277709960938,4.911018371582031,880.5439453125|-0.2603720426559448,-2.234319218530345e-08,0.9655083417892456|-5.7344413662008265e-09,1,2.159494982834076e-08|Running
974.4052124023438,4.911018371582031,880.994140625|-0.2607235610485077,1.0941631600758228e-08,0.965413510799408|2.8036097887707e-09,1,-1.0576466813461138e-08|Running
974.2520141601562,4.911018371582031,881.556884765625|-0.2610976994037628,5.272778480502893e-08,0.9653123617172241|1.3531378684206175e-08,1,-5.096254085401597e-08|Running
974.1600952148438,4.911018371582031,881.89453125|-0.26128917932510376,7.786702127532408e-08,0.9652605652809143|1.9989476740533973e-08,1,-7.525841994038274e-08|Running
974.0375366210938,4.911018371582031,882.3447265625|-0.26151013374328613,1.1143391276391412e-07,0.9652007222175598|2.8616613079179842e-08,1,-1.0769819169809125e-07|Running
973.8843383789062,4.911018371582031,882.907470703125|-0.26174649596214294,8.121159567053837e-08,0.9651366472244263|2.0860721150484096e-08,1,-7.848771588214731e-08|Running
973.7924194335938,4.911018371582031,883.2451171875|-0.26186755299568176,5.2298606334488795e-08,0.965103805065155|1.3435673018591388e-08,1,-5.054403473536695e-08|Running
973.6698608398438,4.911018371582031,883.6953125|-0.26200729608535767,1.3806066512245252e-08,0.9650658965110779|3.547935500947119e-09,1,-1.3342592808385234e-08|Running
973.54541015625,4.911018371582031,884.1450805664062|-0.26253095269203186,-2.4467547987683247e-08,0.9649235606193542|-6.289014198301857e-09,1,2.364590123704602e-08|Running
973.420654296875,4.911018371582031,884.5947875976562|-0.2631601393222809,-6.215752534899366e-08,0.9647521376609802|-1.598574606020975e-08,1,6.006798258795243e-08|Running
973.29248046875,4.911018371582031,885.04345703125|-0.2645357847213745,-9.828298885850018e-08,0.9643758535385132|-2.5291038596719773e-08,1,9.497604480657174e-08|Running
973.1585083007812,4.911018371582031,885.490478515625|-0.2672879099845886,-1.1011147904582685e-07,0.9636167287826538|-2.833183820882823e-08,1,1.0641027614610721e-07|Running
973.0184326171875,4.896109580993652,885.9356079101562|-0.27145299315452576,-5.082683074419947e-08,0.962451696395874|-1.2832996887368608e-08,1,4.9190287398914734e-08|Running
972.8741455078125,4.897005081176758,886.37939453125|-0.27646350860595703,4.080070326040186e-08,0.9610244035720825|1.1614133654802572e-08,1,-3.911432244763091e-08|Running
972.7240600585938,4.891826152801514,886.8212890625|-0.2824245095252991,9.53286658500474e-08,0.95928955078125|2.6250933871097004e-08,1,-9.164570258235472e-08|Running
972.569580078125,4.885529518127441,887.2616577148438|-0.2889454662799835,1.131245284113902e-07,0.9573455452919006|3.1302011649358974e-08,1,-1.0871723077343631e-07|Running
972.4094848632812,4.887094020843506,887.699951171875|-0.2961883246898651,1.0825132079617106e-07,0.9551295638084412|3.060379683006431e-08,1,-1.0384647453065554e-07|Running
972.2435302734375,4.888735771179199,888.135986328125|-0.3041960299015045,1.1819685852287876e-07,0.9526094794273376|3.466267273211088e-08,1,-1.1300812730041798e-07|Running
972.0731201171875,4.889753818511963,888.5704956054688|-0.31248000264167786,1.3069974613699742e-07,0.9499243497848511|3.9743731861108245e-08,1,-1.245158358642584e-07|Running
971.9022216796875,4.893096923828125,889.0047607421875|-0.32003191113471985,1.2022474038531072e-07,0.9474067687988281|3.761326183848723e-08,1,-1.1419307810456303e-07|Running
971.7264404296875,4.902843475341797,889.4365844726562|-0.3277612030506134,1.2187956599518657e-07,0.9447606205940247|3.9207812108088547e-08,1,-1.1540358713091337e-07|Running
971.544921875,4.918407917022705,889.8657836914062|-0.33610081672668457,1.2365229906663444e-07,0.9418260455131531|4.069345038715255e-08,1,-1.167680565572482e-07|Running
971.3557739257812,4.93635892868042,890.2920532226562|-0.34542328119277954,1.24821980307388e-07,0.9384469985961914|4.1979614451292946e-08,1,-1.1755724926842959e-07|Running
971.1572875976562,4.953817367553711,890.714111328125|-0.3561515808105469,1.272960332698858e-07,0.9344282150268555|4.399044684078035e-08,1,-1.194621006561647e-07|Running
970.9524536132812,4.969832420349121,891.1332397460938|-0.3674900531768799,1.360847505793572e-07,0.930027425289154|4.852767787610901e-08,1,-1.2714818353742885e-07|Running
970.7451782226562,4.983969688415527,891.5512084960938|-0.3782516419887543,1.2332331777997751e-07,0.9257028102874756|4.535335662581019e-08,1,-1.1468944194348296e-07|Running
970.5359497070312,4.996641635894775,891.96826171875|-0.3881221115589142,1.2651673841901356e-07,0.9216079711914062|4.7984613615881244e-08,1,-1.170702290664849e-07|Running
970.3216552734375,5.008399486541748,892.3826293945312|-0.3979315459728241,1.2516825620423333e-07,0.9174150824546814|4.871388625815598e-08,1,-1.1530599408615672e-07|Running
970.0985717773438,5.019541263580322,892.7923583984375|-0.40877294540405273,1.3505713525319152e-07,0.9126361012458801|5.391562751810852e-08,1,-1.2383674174998305e-07|Running
969.8678588867188,5.030076026916504,893.1978759765625|-0.42048880457878113,1.3067509030406654e-07,0.9072977304458618|5.349623677375348e-08,1,-1.1923376064260083e-07|Running
969.6312255859375,5.040051460266113,893.6000366210938|-0.4324500560760498,1.2944207128384733e-07,0.9016578793525696|5.446934636665901e-08,1,-1.1743567540634103e-07|Running
969.3922729492188,5.047644138336182,894.0008544921875|-0.4436725080013275,1.3585884062194964e-07,0.8961889743804932|5.8910540445822335e-08,1,-1.224316008574533e-07|Running
969.1515502929688,5.038351058959961,894.400390625|-0.45389828085899353,1.2219950917824463e-07,0.8910534977912903|5.432087846202194e-08,1,-1.0946970263603362e-07|Running
968.913330078125,4.992738723754883,894.7952880859375|-0.4628428518772125,1.1911559738564392e-07,0.8864403367042542|5.419615334290029e-08,1,-1.0607740819068567e-07|Running
968.6728515625,4.902198791503906,895.1939697265625|-0.47052231431007385,1.2297336127176095e-07,0.8823881149291992|5.7093192395996084e-08,1,-1.0892003388107696e-07|Running
968.4287719726562,4.859225749969482,895.5916748046875|-0.4778296649456024,1.2597584486684354e-07,0.8784525394439697|5.9460081303086554e-08,1,-1.1106354236289917e-07|Running
968.1825561523438,4.867719650268555,895.9880981445312|-0.48477140069007874,1.272090770498835e-07,0.8746408820152283|6.094907689657703e-08,1,-1.1166035562837351e-07|Running
967.9362182617188,4.877387046813965,896.3843383789062|-0.4909249544143677,1.270145446596871e-07,0.8712018728256226|6.166920485384253e-08,1,-1.1104153685437268e-07|Running
967.689697265625,4.883448123931885,896.7805786132812|-0.49622616171836853,1.1157879242773561e-07,0.8681932687759399|5.483173026732402e-08,1,-9.717865623315447e-08|Running
967.4417114257812,4.886874198913574,897.1759033203125|-0.501132071018219,1.0736514610698578e-07,0.8653708100318909|5.3381128850560344e-08,1,-9.315562010669964e-08|Running
967.1934204101562,4.888759613037109,897.5711669921875|-0.5054943561553955,1.0715249487702749e-07,0.8628299236297607|5.391276758359709e-08,1,-9.260214284267931e-08|Running
966.9436645507812,4.889789581298828,897.9653930664062|-0.5096168518066406,1.0423833174399988e-07,0.860401451587677|5.2912803027993505e-08,1,-8.981049148815146e-08|Running
966.6936645507812,4.890350818634033,898.3594360351562|-0.5133122205734253,9.447716564636721e-08,0.8582019209861755|4.835917621903718e-08,1,-8.116249716749735e-08|Running
966.4436645507812,4.890657424926758,898.7534790039062|-0.5165055990219116,1.0725165111580282e-07,0.8562838435173035|5.5346305316561484e-08,1,-9.186787508497218e-08|Running
966.1936645507812,4.890823841094971,899.1475219726562|-0.5192471146583557,1.0137853934111263e-07,0.8546241521835327|5.258377910877243e-08,1,-8.667501560921664e-08|Running
965.942138671875,4.890913963317871,899.54052734375|-0.5219546556472778,7.400058876783078e-08,0.852973222732544|3.858161434777685e-08,1,-6.314704137366789e-08|Running
965.687255859375,4.890963554382324,899.931396484375|-0.5251455307006836,6.309439726237542e-08,0.8510124087333679|3.3133577659327784e-08,1,-5.369421529621832e-08|Running
965.430419921875,4.890990257263184,900.3209838867188|-0.5285767316818237,7.364047149849284e-08,0.8488855361938477|3.893080702255247e-08,1,-6.2508490827895e-08|Running
965.1051025390625,4.891007423400879,900.8052368164062|-0.5334368944168091,1.047603035431166e-07,0.8458398580551147|5.564537630675659e-08,1,-8.876030932469803e-08|Running
964.8428955078125,4.891014099121094,901.1912841796875|-0.5373599529266357,1.0403542205494887e-07,0.8433529734611511|5.5409984156540304e-08,1,-8.805365325770254e-08|Running
964.6439208984375,4.891017436981201,901.4791870117188|-0.540509045124054,1.2427041440332687e-07,0.8413382172584534|6.639265848207287e-08,1,-1.0505238634550551e-07|Running
964.3780517578125,4.891019821166992,901.8627319335938|-0.5445588231086731,1.0378504811114908e-07,0.8387226462364197|5.571157757344736e-08,1,-8.756985181435084e-08|Running
964.1106567382812,4.891021251678467,902.2451171875|-0.5484864115715027,1.146560180131928e-07,0.8361594676971436|6.206059310898127e-08,1,-9.641298248652674e-08|Running
963.8400268554688,4.891021251678467,902.6253051757812|-0.5527197122573853,1.029806711017045e-07,0.8333672285079956|5.6176951090947114e-08,1,-8.631317172103081e-08|Running
963.5674438476562,4.891021251678467,903.0040893554688|-0.5570286512374878,1.0989787568860265e-07,0.8304932713508606|6.063840629622064e-08,1,-9.165702863356273e-08|Running
963.2916870117188,4.891021251678467,903.3805541992188|-0.5616183280944824,1.0246654369439057e-07,0.8273963928222656|5.7059988733954015e-08,1,-8.511108262609923e-08|Running
963.0125122070312,4.891021251678467,903.7545166015625|-0.5665761828422546,1.235088689099939e-07,0.824009358882904|6.950720887743955e-08,1,-1.0209561907004172e-07|Running
962.7314453125,4.891021251678467,904.1270141601562|-0.5715221762657166,1.1598687166269883e-07,0.820586621761322|6.57605241372039e-08,1,-9.554538848988159e-08|Running
962.4501953125,4.891021251678467,904.4993286132812|-0.5759649872779846,1.0134069583500604e-07,0.817474365234375|5.787042312022095e-08,1,-8.319448596694201e-08|Running
962.1674194335938,4.891021251678467,904.8705444335938|-0.5801424980163574,1.0726899546398272e-07,0.8145149946212769|6.18372482108498e-08,1,-8.765287873302441e-08|Running
961.811767578125,4.891021251678467,905.3328857421875|-0.5852246880531311,1.0659141480573453e-07,0.8108711838722229|6.198720825523196e-08,1,-8.671534601489839e-08|Running
961.59716796875,4.891021251678467,905.609375|-0.5881615877151489,1.0848604148350205e-07,0.808743417263031|6.343830705191067e-08,1,-8.800574136103023e-08|Running
961.310791015625,4.891021251678467,905.977783203125|-0.5917370319366455,1.021006497126109e-07,0.8061310648918152|6.006436592542741e-08,1,-8.256515826587929e-08|Running
961.0244140625,4.891021251678467,906.34619140625|-0.5948567986488342,8.488789404736963e-08,0.8038316965103149|5.0285837716046444e-08,1,-6.839120914037267e-08|Running
960.7379760742188,4.891021251678467,906.714599609375|-0.5975387692451477,8.588200017811687e-08,0.8018400073051453|5.130232594297013e-08,1,-6.887517400855359e-08|Running
960.4515991210938,4.891021251678467,907.0830078125|-0.5998385548591614,1.0034670339109653e-07,0.8001210689544678|6.036198385572789e-08,1,-8.016193930870941e-08|Running
960.1652221679688,4.894180774688721,907.451416015625|-0.6018101572990417,1.2474416166696756e-07,0.798639178276062|7.539005508760965e-08,1,-9.938614198290452e-08|Running
959.8788452148438,4.887482166290283,907.81982421875|-0.6035007238388062,8.397245210289839e-08,0.7973624467849731|5.088345389481219e-08,1,-6.680055264496332e-08|Running
959.5924682617188,4.881961822509766,908.188232421875|-0.6049506664276123,4.8648654882299525e-08,0.7962629795074463|2.9626528785797746e-08,1,-3.858783870214211e-08|Running
959.3060913085938,4.876897811889648,908.556640625|-0.6061944365501404,1.734924737206711e-08,0.7953165173530579|1.07753210798478e-08,1,-1.36012614504466e-08|Running
959.0197143554688,4.837775707244873,908.925048828125|-0.6072615385055542,-1.0976743070045814e-08,0.7945020198822021|-6.295532095634826e-09,1,9.004015311120384e-09|Running
958.7333374023438,4.827640056610107,909.29345703125|-0.6081771850585938,-3.71046979807943e-08,0.7938013076782227|-2.204834537167244e-08,1,2.985053981774399e-08|Running
958.4469604492188,4.835061073303223,909.661865234375|-0.6089630722999573,-6.160662024967678e-08,0.7931985855102539|-3.682574600816224e-08,1,4.939633058143045e-08|Running
958.1605834960938,4.8411478996276855,910.0302734375|-0.6096376180648804,-8.490456337995056e-08,0.7926802635192871|-5.088084620297195e-08,1,6.797909435363181e-08|Running
957.7263793945312,4.845951557159424,910.5794067382812|-0.6116071343421936,-1.1524723220190936e-07,0.7911615967750549|-6.91818016207435e-08,1,9.218742746952557e-08|Running
957.580322265625,4.846817493438721,910.7613525390625|-0.6125374436378479,-1.2279099337320076e-07,0.7904415726661682|-7.372113941528369e-08,1,9.821602731108214e-08|Running
957.140869140625,4.8482818603515625,911.3062744140625|-0.6155987977981567,-1.320016309591665e-07,0.7880597114562988|-7.913843802498377e-08,1,1.0568248853815021e-07|Running
956.994384765625,4.84853982925415,911.4879150390625|-0.6165202856063843,-1.3055041847565008e-07,0.7873390316963196|-7.816989011644182e-08,1,1.0460181698590532e-07|Running
956.554931640625,4.84897518157959,912.0328369140625|-0.6189053058624268,-1.1678304900897274e-07,0.7854655981063843|-6.945688113546566e-08,1,9.395168376613583e-08|Running
956.408447265625,4.849051475524902,912.2144775390625|-0.6195870041847229,-1.0958801510696503e-07,0.7849279642105103|-6.493912962923787e-08,1,8.83553283870242e-08|Running
