funny|true|1279
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.0504716147229374e-08,0.998917818069458|-1.261722282208666e-08,1,1.9939472295504856e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.111890123363992e-08,0.998917818069458|1.9148396646073707e-08,1,-3.026106298875675e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.265427453579832e-08,0.998917818069458|5.085971110929677e-08,1,-8.037579135589112e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.954322794352265e-08,0.998917818069458|5.509869893671748e-08,1,-8.707483800662885e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.5644052981685945e-09,0.998917818069458|-2.8086055703369084e-09,1,4.438581502341776e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.093245019656024e-08,0.998917818069458|-3.749358512550316e-08,1,5.925276269636015e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-5.950102988094841e-08,0.998917818069458|-3.661278924482758e-08,1,5.786079881886508e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.618795372366094e-09,0.998917818069458|-4.68807614950606e-09,1,7.408772262351704e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.710930750524312e-08,0.998917818069458|3.514108826152551e-08,1,-5.553500770361097e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.0879221434834108e-07,0.998917818069458|6.694315857203037e-08,1,-1.0579320530723635e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.317747854225672e-08,0.998917818069458|2.0415109602822668e-08,1,-3.226289280178207e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.230800243476551e-08,0.998917818069458|-2.6033394107116692e-08,1,4.114172114100256e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-9.883741824978642e-08,0.998917818069458|-6.081764780674348e-08,1,9.61128279186596e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-3.3673639876496964e-08,0.998917818069458|-2.072040672373987e-08,1,3.274537618835893e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.357796428739903e-09,0.998917818069458|3.2968154872747846e-09,1,-5.210101239327969e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.623661867408373e-08,0.998917818069458|5.92173101665594e-08,1,-9.35837221049951e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.021089653060699e-08,0.998917818069458|5.5509499219397185e-08,1,-8.7724103536857e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.226281984960224e-08,0.998917818069458|3.2158897766976224e-08,1,-5.082211984586138e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-9.920527332951679e-08,0.998917818069458|-6.104399119521986e-08,1,9.647054355355067e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-5.994471052872541e-08,0.998917818069458|-3.688577976390661e-08,1,5.8292254578873326e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.0734496786189993e-08,0.998917818069458|-1.2758545331337245e-08,1,2.0162921998689853e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.8425444281433556e-08,0.998917818069458|1.1337754735052386e-08,1,-1.7917519912202806e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.753517484663462e-08,0.998917818069458|3.540315773875591e-08,1,-5.594913332629403e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.0960347651689517e-07,0.998917818069458|6.744236458189334e-08,1,-1.0658210669589607e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.245731315994817e-08,0.998917818069458|3.227858869081501e-08,1,-5.1011252111266003e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.61556970421384e-09,0.998917818069458|-2.8400892748692286e-09,1,4.488335481056538e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-8.059890888034715e-08,0.998917818069458|-4.959494503964379e-08,1,7.837709148361682e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.329771278818953e-08,0.998917818069458|-4.5102300560984077e-08,1,7.127715662136325e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-3.3924735021173547e-08,0.998917818069458|-2.08749231234151e-08,1,3.298955064678921e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.70413510764456e-09,0.998917818069458|-4.7405985803550266e-09,1,7.491759212996385e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.158473305120424e-08,0.998917818069458|1.9435026032965652e-08,1,-3.0714055299085885e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.082322639462291e-08,0.998917818069458|4.3579653663528006e-08,1,-6.88708823304296e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.100114062069224e-07,0.998917818069458|6.769332117073645e-08,1,-1.0697878138898886e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.176398497676928e-08,0.998917818069458|4.4158543488492796e-08,1,-6.978571320814808e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.4454173857814112e-08,0.998917818069458|8.894105896217752e-09,1,-1.405572369606034e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.278214760233823e-08,0.998917818069458|-2.6325103874569322e-08,1,4.160279942766465e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-9.994507621513549e-08,0.998917818069458|-6.149914355546571e-08,1,9.71899467572257e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.039173428007416e-08,0.998917818069458|-3.716081664606463e-08,1,5.872695041375664e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.0889107332777712e-08,0.998917818069458|-1.2853698549974979e-08,1,2.0313269288863012e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.417830628573483e-09,0.998917818069458|3.333730624888176e-09,1,-5.268481650944068e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.4836067303322125e-08,0.998917818069458|2.758892847509742e-08,1,-4.360010308346318e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.420376218509773e-08,0.998917818069458|5.181302498158402e-08,1,-8.188256828134399e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.122185673504646e-08,0.998917818069458|5.613146925043111e-08,1,-8.870720336062732e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.284850956854825e-08,0.998917818069458|3.2519235304562244e-08,1,-5.1391669586564603e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.649995055672207e-09,0.998917818069458|-2.8612612279488303e-09,1,4.521812257962665e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.207476843655968e-08,0.998917818069458|-3.8196382945443474e-08,1,6.03635896823107e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-8.707785781325583e-08,0.998917818069458|-5.358150900747205e-08,1,8.467743839446484e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.06164931582498e-08,0.998917818069458|-3.7299066946161474e-08,1,5.8945516911990126e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.0966856695281422e-08,0.998917818069458|-1.2901504753415338e-08,1,2.0388876365018405e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.8631936882229638e-08,0.998917818069458|1.146477490721054e-08,1,-1.811832106568545e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.500291694853331e-08,0.998917818069458|2.7691601900414753e-08,1,-4.376235196446032e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.451711863699529e-08,0.998917818069458|5.2005834305646204e-08,1,-8.218729163900207e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.1083177042792158e-07,0.998917818069458|6.819799835966478e-08,1,-1.0777653614013616e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.304518069237929e-08,0.998917818069458|3.264023717974851e-08,1,-5.158291926932179e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.667304764893743e-09,0.998917818069458|-2.8719195910298367e-09,1,4.538644571283612e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.3101174185267155e-08,0.998917818069458|-2.6521385976252532e-08,1,4.1913033044238546e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-1.0069036449067426e-07,0.998917818069458|-6.195767099370642e-08,1,9.7914700347701e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.411916413957442e-08,0.998917818069458|-4.560764210737034e-08,1,7.207597008118682e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-3.4304953544506134e-08,0.998917818069458|-2.1108808923031575e-08,1,3.3359292217483016e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.458201890462533e-09,0.998917818069458|3.35861272127147e-09,1,-5.307737804827184e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.193864017703163e-08,0.998917818069458|1.9652794946978247e-08,1,-3.105821022586497e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.161685289247544e-08,0.998917818069458|4.4067949289683384e-08,1,-6.964263832287543e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.804072220731541e-08,0.998917818069458|6.032732358107751e-08,1,-9.533809475215094e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.256817724510256e-08,0.998917818069458|4.465331571168463e-08,1,-7.056773654312565e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.392523595380226e-08,0.998917818069458|2.087518957694101e-08,1,-3.2990040921276886e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.3977227314730953e-08,0.998917818069458|-1.4753879007400883e-08,1,2.3316262698358514e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-8.180544597280459e-08,0.998917818069458|-5.0337256141119724e-08,1,7.955036807061333e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-8.77271375543387e-08,0.998917818069458|-5.3981047187789954e-08,1,8.530881956403391e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.7747665377073645e-08,0.998917818069458|-2.9380528232536562e-08,1,4.643143469706956e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.1123165439007607e-08,0.998917818069458|-1.2997709575301997e-08,1,2.0540875667052205e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,5.478569597983096e-09,0.998917818069458|3.371102730298503e-09,1,-5.327545959943336e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.533853115162856e-08,0.998917818069458|2.789808206671296e-08,1,-4.408871490113597e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.188344142150527e-08,0.998917818069458|4.42319283422421e-08,1,-6.99018798400175e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.84056569564018e-08,0.998917818069458|6.055181245301355e-08,1,-9.569297532152632e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.28382829606744e-08,0.998917818069458|4.481949034129684e-08,1,-7.083039577082673e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.405149584523315e-08,0.998917818069458|2.09528838723827e-08,1,-3.311281915330255e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.702125355748876e-09,0.998917818069458|-2.893308703733055e-09,1,4.572506817623889e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.342260595535663e-08,0.998917818069458|-2.6719110479689334e-08,1,4.222560789912677e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-1.0144126605382553e-07,0.998917818069458|-6.241961614250613e-08,1,9.864490380095958e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.46718953337222e-08,0.998917818069458|-4.5947697202564086e-08,1,7.261346723907991e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.792541119513771e-08,0.998917818069458|-2.948985766693113e-08,1,4.660428487568424e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.1201801203574178e-08,0.998917818069458|-1.3046090430179902e-08,1,2.0617344276274707e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.8840777826767408e-08,0.998917818069458|1.1593203730342339e-08,1,-1.832141016677724e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.5507302814939976e-08,0.998917818069458|2.8001844398772846e-08,1,-4.425283606224184e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.215102471036516e-08,0.998917818069458|4.439645806542103e-08,1,-7.01620876952802e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,9.877197015839556e-08,0.998917818069458|6.07770545002495e-08,1,-9.604919171124493e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.310942606864046e-08,0.998917818069458|4.498621208881559e-08,1,-7.109407107463994e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.417826022200643e-08,0.998917818069458|2.1030826857781904e-08,1,-3.323609476524325e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-2.4156081579462807e-08,0.998917818069458|-1.4863842601187116e-08,1,2.349019112557471e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.300408017523296e-08,0.998917818069458|-3.8768042998071905e-08,1,6.126729346078719e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-1.0181886267446316e-07,0.998917818069458|-6.265180729769781e-08,1,9.901209807594569e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.152397702408052e-08,0.998917818069458|-3.7857308399225076e-08,1,5.982799677894945e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-3.46894317715396e-08,0.998917818069458|-2.1345309519915645e-08,1,3.37331762523263e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.877827279401117e-09,0.998917818069458|-4.847427792498138e-09,1,7.660665879427597e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.229660094916653e-08,0.998917818069458|1.9872951284582996e-08,1,-3.140630511211384e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,4.567662870158529e-08,0.998917818069458|2.810603128011735e-08,1,-4.441749368311321e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,8.578238919199066e-08,0.998917818069458|5.278415926568414e-08,1,-8.341768875652633e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,1.1249098719190442e-07,0.998917818069458|6.921865747244738e-08,1,-1.0939002947907284e-07|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,7.338150709301772e-08,0.998917818069458|4.515356266665549e-08,1,-7.135865587315493e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,3.430547579341692e-08,0.998917818069458|2.1109045178491215e-08,1,-3.3359803808252764e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-4.737144010391603e-09,0.998917818069458|-2.914909424944767e-09,1,4.606557801878353e-09|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-6.323848111833286e-08,0.998917818069458|-3.891232580599535e-08,1,6.149523557041903e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-1.0219769563946102e-07,0.998917818069458|-6.288495058015542e-08,1,9.938048606272787e-08|Running
868.42724609375,368.0071716308594,-771.1134033203125|-0.04650955647230148,-7.522873346488268e-08,0.998917818069458|-4.6290232091905636e-08,1,7.315495764714797e-08|Running
872.7360229492188,365.15948486328125,-770.4356079101562|0.023277761414647102,1.949340777684938e-08,0.9997291564941406|6.335591962169929e-08,1,-2.0973873304797053e-08|Running
872.7509765625,365.15948486328125,-769.85205078125|0.021291466429829597,8.21037460241314e-09,0.9997733235359192|2.6619344950518098e-08,1,-8.779129423430732e-09|Freefall
872.7619018554688,365.15948486328125,-769.1607055664062|0.016585344448685646,-4.427326505407336e-09,0.9998626708984375|-1.6938880520456223e-08,1,4.708911038875385e-09|Landed
872.7720336914062,365.15948486328125,-768.51904296875|0.012217368930578232,-1.634047919196746e-08,0.9999253749847412|-5.742063535763009e-08,1,1.7043280564621455e-08|Landed
872.7885131835938,365.15948486328125,-767.18603515625|0.012217368930578232,-2.5569956818571882e-08,0.9999253749847412|-8.847241872445011e-08,1,2.6652845264152347e-08|Running
872.796875,365.15948486328125,-766.511474609375|0.012217369861900806,-1.221651491079001e-08,0.9999253749847412|-4.184995816558512e-08,1,1.2728761156211021e-08|Running
872.8016967773438,365.15948486328125,-766.11962890625|0.012217368930578232,-4.4593075898546886e-09,0.9999253749847412|-1.476630018260039e-08,1,4.640059003691022e-09|Running
872.8109741210938,365.15948486328125,-765.369384765625|0.01221737265586853,1.0365149627489245e-08,0.9999256134033203|3.6992105378885753e-08,1,-1.0817903906001902e-08|Running
872.8165283203125,365.15948486328125,-764.919921875|0.012217368930578232,1.924707326850239e-08,0.9999253749847412|6.800262752904018e-08,1,-2.0079385265603378e-08|Running
872.8245239257812,365.15948486328125,-764.27099609375|0.012217370793223381,2.1160159846544957e-08,0.9999256134033203|7.447095384804925e-08,1,-2.2071647620691692e-08|Running
872.8313598632812,365.15948486328125,-763.72021484375|0.012217368930578232,2.278388322451974e-08,0.9999253749847412|7.996089834705344e-08,1,-2.376256702518731e-08|Running
872.84130859375,365.15948486328125,-762.9146728515625|0.012217369861900806,8.281028307521865e-09,0.9999253749847412|2.8736652168959154e-08,1,-8.63275939622099e-09|Running
872.8478393554688,365.15948486328125,-762.38720703125|0.012217368930578232,-1.214476408328835e-09,0.9999253749847412|-4.801583575186896e-09,1,1.2732340737287018e-09|Running
872.85693359375,365.15948486328125,-761.6527099609375|0.01221737265586853,-1.4410941773235209e-08,0.9999256134033203|-5.141167491728993e-08,1,1.504018065645596e-08|Running
872.8626708984375,365.15948486328125,-761.1875|0.012217368930578232,-2.276919452981474e-08,0.9999253749847412|-8.093314107782135e-08,1,2.3759758605024217e-08|Running
