KBG|false|14298
-562.6503295898438,12.118433952331543,70.72630310058594|0.9988232851028442,1.872255808166301e-07,0.048497285693883896|-1.8703175896916946e-07,1,-8.534294160256195e-09|Freefall
-561.9848022460938,12.323139190673828,70.76578521728516|0.9987155199050903,1.588860385481894e-07,0.05066879093647003|-1.586874986969633e-07,1,-7.941182822435167e-09|Freefall
-561.4523315429688,12.425591468811035,70.79682159423828|0.9986572265625,1.7012570197039167e-07,0.05180489644408226|-1.6987891626740748e-07,1,-9.16692854957546e-09|Freefall
-560.9197998046875,12.473543167114258,70.82582092285156|0.998630940914154,1.4045609475488163e-07,0.052309270948171616|-1.4023289907072467e-07,1,-7.937298818205818e-09|Freefall
-560.5204467773438,12.47374153137207,70.8473129272461|0.9986211061477661,1.0644343007015777e-07,0.05249599367380142|-1.0625824131693662e-07,1,-6.318745970901318e-09|Freefall
-559.9879760742188,12.426318168640137,70.87596130371094|0.998611569404602,6.170498778601541e-08,0.05267780274152756|-6.156977860882762e-08,1,-4.189487423644778e-09|Freefall
-559.42822265625,12.416213989257812,70.90608215332031|0.9986017942428589,6.3965317487202356e-09,0.052862923592329025|-6.323090939730491e-09,1,-1.5565218003388281e-09|Landed
-559.1325073242188,12.416142463684082,70.92198944091797|0.9985967874526978,-2.654313213668047e-08,0.0529569648206234|2.6579792589132012e-08,1,1.2002898674978724e-11|Landed
-558.7701416015625,12.416138648986816,70.94149780273438|0.9985910654067993,-7.025334980426123e-08,0.05306534096598625|7.024117820719766e-08,1,2.0943087264413407e-09|Running
-558.440185546875,12.463478088378906,70.95923614501953|0.9985860586166382,-1.1377279207636093e-07,0.05315886437892914|1.1371199093446194e-07,1,4.168253742165007e-09|Running
-558.0311279296875,12.686565399169922,70.98123931884766|0.9985807538032532,-7.624354481094997e-08,0.0532585047185421|7.618443476076209e-08,1,3.1400424482797007e-09|Running
-557.6456298828125,12.968052864074707,71.00198364257812|0.9985771775245667,-4.615640136762522e-08,0.0533255934715271|4.609870885019518e-08,1,2.3119024472606498e-09|Running
-557.3092041015625,13.207286834716797,71.02008056640625|0.9985748529434204,-2.356910044909455e-08,0.05336886644363403|2.3512502167477578e-08,1,1.6883670017620034e-09|Running
-556.6817016601562,13.577193260192871,71.05892181396484|0.9985111951828003,2.2567565594044936e-08,0.05454719439148903|-2.2611086336610242e-08,1,1.8071610874415e-10|Running
-556.3012084960938,14.231391906738281,71.08283233642578|0.9984626770019531,6.415910291934779e-08,0.05542786419391632|-6.417467091068829e-08,1,-1.4991030639066594e-09|Jumping
-555.6429443359375,15.253597259521484,71.13375091552734|0.998261034488678,1.4189339481163188e-07,0.058948270976543427|-1.417886323906714e-07,1,-5.960055116105423e-09|Freefall
-555.2664794921875,16.02043342590332,71.1656265258789|0.9988687634468079,0.04665875434875488,0.009173225611448288|-0.046607114374637604,0.9988966584205627,-0.005764748901128769|Freefall
-555.0143432617188,16.55998420715332,71.1854476928711|0.999001681804657,0.04443752020597458,-0.004580068867653608|-0.04446164518594742,0.9989969730377197,-0.005306724458932877|Freefall
-554.6710815429688,17.23740577697754,71.21920013427734|0.999999463558197,-0.00009389650222146884,0.0010228714672848582|0.00009538159793009982,0.999998927116394,-0.0014519330579787493|Freefall
-554.4235229492188,17.863540649414062,71.25481414794922|0.9996968507766724,-0.021917477250099182,0.01121487095952034|0.021913664415478706,0.9997597336769104,0.00046275719068944454|Freefall
-554.0798950195312,18.568437576293945,71.3070068359375|0.9993537664413452,-0.007645260542631149,0.03512228652834892|0.0076400707475841045,0.9999707937240601,0.00028197793290019035|Freefall
-553.8428344726562,18.9505558013916,71.34383392333984|0.9987842440605164,-0.0023160306736826897,0.04924051836133003|0.002314535900950432,0.9999973177909851,0.00008737704047234729|Freefall
-553.4904174804688,19.412504196166992,71.40048217773438|0.997749388217926,0.0001037565671140328,0.06705353409051895|-0.00010314862447557971,1,-0.000012528693332569674|Freefall
-553.0982055664062,19.82002067565918,71.46633911132812|0.9965202808380127,0.0003179972118232399,0.08334972709417343|-0.0003175947640556842,0.9999999403953552,-0.00001808709384931717|Freefall
-552.6673583984375,20.173053741455078,71.54206848144531|0.9951836466789246,0.00013885836233384907,0.09802813082933426|-0.00013885092630516738,1,-0.000006898018455103738|Freefall
-552.1980590820312,20.471582412719727,71.62796783447266|0.9938371181488037,0.000029577433451777324,0.11085005104541779|-0.000029654253012267873,1,-9.556665645504836e-07|Freefall
-551.8130493164062,20.830913543701172,71.69963836669922|0.9934021830558777,-0.000004572556917992188,0.11468257755041122|0.0000045522788241214585,1,4.387191552268632e-07|Climbing
-551.539306640625,21.244131088256836,71.75328063964844|0.9920334219932556,-0.000003031049345736392,0.12597478926181793|0.000003042279786313884,1,1.0324361454649988e-07|Running
-551.2689819335938,21.51339340209961,71.8095932006836|0.9905935525894165,5.373864837565634e-07,0.13683737814426422|-5.273009833217657e-07,1,-1.0995179167139213e-07|Running
-550.95751953125,21.638946533203125,71.91793823242188|0.9934264421463013,-0.029130849987268448,0.11070369184017181|0.03001576103270054,0.9995293617248535,-0.006335024256259203|Running
-550.7667846679688,22.089599609375,72.06509399414062|0.9956308007240295,-0.03421955555677414,0.08688125759363174|0.0349828377366066,0.9993613958358765,-0.007277622353285551|Running
-550.6033325195312,22.417226791381836,72.15769958496094|0.9854743480682373,0.013767777010798454,0.1692652851343155|-0.013532244600355625,0.9999051690101624,-0.002545068273320794|Running
-550.55029296875,22.806922912597656,72.26604461669922|0.9901172518730164,0.04797471687197685,0.13178111612796783|-0.04808174446225166,0.9988405704498291,-0.0023715889547020197|Running
-550.4578857421875,23.131799697875977,72.39166259765625|0.994097113609314,0.0064812456257641315,0.10830038785934448|-0.006308746989816427,0.999978244304657,-0.0019353358075022697|Running
-550.41650390625,23.35504722595215,72.45903778076172|0.9923644661903381,-0.015721125528216362,0.1223340556025505|0.016378959640860558,0.9998562932014465,-0.004373525269329548|Running
-550.29931640625,23.511232376098633,72.55269622802734|0.9937877058982849,-0.01937253400683403,0.109593465924263|0.01993601582944393,0.9997930526733398,-0.004048082046210766|Running
-550.118896484375,23.80770492553711,72.64010620117188|0.9862238764762878,-0.031246433034539223,0.16243793070316315|0.03109773062169552,0.9995103478431702,0.0034586137626320124|Running
-549.7401123046875,24.12246322631836,72.75080108642578|0.9784273505210876,-0.005253683775663376,0.2065243273973465|0.005080188158899546,0.9999861717224121,0.0013703751610592008|Running
-549.4008178710938,24.386558532714844,72.8271484375|0.9746410250663757,0.0011565526947379112,0.22377124428749084|-0.001191300805658102,0.9999992847442627,0.00002028289054578636|Running
-548.8961181640625,24.81108856201172,72.94271087646484|0.9745514392852783,0.00140025420114398,0.22415964305400848|-0.0013777300482615829,0.9999990463256836,-0.00025688839377835393|Running
-548.3778686523438,25.175342559814453,73.0619888305664|0.9745301008224487,0.00023155847156886011,0.22425656020641327|-0.00022165346308611333,1,-0.00006934237171662971|Running
-548.0170288085938,25.456159591674805,73.21795654296875|0.9997033476829529,0.02128153294324875,0.011843692511320114|-0.021275591105222702,0.9997734427452087,-0.0006273920298554003|Running
-547.989990234375,25.54583168029785,73.31414031982422|0.9928959012031555,0.01520096231251955,0.1180114671587944|-0.014800758101046085,0.999881386756897,-0.004266932141035795|Running
-547.7470703125,25.626686096191406,73.4734878540039|0.9801757335662842,-0.0004279414133634418,0.1981295794248581|0.0007264252635650337,0.9999986886978149,-0.001433827099390328|Running
-547.514892578125,25.68861198425293,73.59866333007812|0.9939959645271301,0.021010011434555054,0.10738079249858856|-0.022407567128539085,0.9996789693832397,0.011824872344732285|Running
-547.4982299804688,25.817745208740234,73.72055053710938|0.9785231351852417,0.03704584017395973,0.2027808278799057|-0.0389697439968586,0.9992252588272095,0.005501790437847376|Running
-547.4439697265625,25.903135299682617,73.82201385498047|0.9777231216430664,0.018162542954087257,0.20911142230033875|-0.0184421818703413,0.9998297691345215,-0.0006126048974692822|Running
-547.308349609375,25.989688873291016,73.92349243164062|0.9819434285163879,-0.005958650726824999,0.18908102810382843|0.00632256455719471,0.9999791383743286,-0.001321517862379551|Running
-547.195068359375,26.877927780151367,74.02702331542969|0.9972385168075562,-0.04896681755781174,0.05583580955862999|0.04917754977941513,0.9987871646881104,-0.002405530773103237|Jumping
-547.1023559570312,27.542255401611328,74.10354614257812|0.9906563758850098,-0.0818520188331604,0.10908802598714828|0.08192270249128342,0.9966312646865845,0.00384126347489655|Jumping
-546.977783203125,28.42801284790039,74.20408630371094|0.9897048473358154,-0.12704625725746155,0.06590566039085388|0.1267753392457962,0.9918968081474304,0.008293830789625645|Jumping
-546.8521118164062,29.313743591308594,74.30277252197266|0.9825057983398438,-0.17428840696811676,0.06561914086341858|0.17323808372020721,0.9846471548080444,0.021413682028651237|Jumping
-546.6937866210938,30.420862197875977,74.42317962646484|0.9715080857276917,-0.23631764948368073,0.01805541291832924|0.2355738878250122,0.9711931943893433,0.03589850664138794|Jumping
-546.5982055664062,31.085084915161133,74.49365997314453|0.9547135233879089,-0.27644556760787964,0.10999954491853714|0.2689419090747833,0.959966242313385,0.07832686603069305|Jumping
-546.5364990234375,31.952939987182617,74.56241607666016|0.9672788381576538,-0.15533533692359924,0.200605571269989|0.14694850146770477,0.9875499606132507,0.056136202067136765|Freefall
-546.4332275390625,32.75849914550781,74.64027404785156|0.9676082134246826,-0.041391126811504364,0.24904029071331024|0.03827253356575966,0.9991166591644287,0.017353592440485954|Freefall
-546.2554931640625,33.506649017333984,74.73697662353516|0.9682011604309082,-0.0014860338997095823,0.25016850233078003|0.0013254204532131553,0.9999988079071045,0.0008104875450953841|Freefall
-546.0220947265625,34.20100021362305,74.84443664550781|0.9700815677642822,0.004079966340214014,0.2427450567483902|-0.003795824944972992,0.9999914765357971,-0.0016382286557927728|Freefall
-545.6702270507812,34.992618560791016,74.98506164550781|0.9721070528030396,0.001578258234076202,0.2345321923494339|-0.001469090930186212,0.9999986886978149,-0.000640178972389549|Freefall
-545.4296264648438,35.42669677734375,75.07112884521484|0.9752725958824158,0.0005144200986251235,0.2210046499967575|-0.0004826376971323043,0.9999998807907104,-0.00019780898583121598|Freefall
-544.9794921875,36.082000732421875,75.21539306640625|0.9771363735198975,-0.00003634969107224606,0.21261362731456757|0.00003327336526126601,1,0.000018047185221803375|Freefall
-544.6798095703125,36.434295654296875,75.3017578125|0.9783064126968384,-0.00005908450475544669,0.2071630209684372|0.00005523361323866993,1,0.000024372626285185106|Freefall
-544.2455444335938,36.85633087158203,75.41559600830078|0.9808714389801025,-0.00002790858161461074,0.1946565955877304|0.00002635723831190262,1,0.000010559718248259742|Freefall
-543.771728515625,37.22386169433594,75.5253677368164|0.9848395586013794,-0.00000631586772215087,0.1734677106142044|0.0000060768070397898555,1,0.0000019092187812930206|Freefall
-543.2613525390625,37.536903381347656,75.62321472167969|0.9878339171409607,2.8090872206121276e-07,0.15551242232322693|-2.336423108317831e-07,1,-3.222179998374486e-07|Freefall
-542.603271484375,37.851558685302734,75.72673034667969|0.9914945960044861,8.130744504342147e-07,0.1301480233669281|-7.802350978636241e-07,1,-3.0331281664075505e-07|Freefall
-542.074462890625,38.04196548461914,75.79595947265625|0.994296133518219,3.9746572610965814e-07,0.1066548302769661|-3.935610095595621e-07,1,-5.76582017686178e-08|Freefall
-541.544189453125,38.17788314819336,75.8529052734375|0.9953585863113403,1.1280126699375614e-07,0.09623536467552185|-1.1878898220629708e-07,1,5.64903537281225e-08|Freefall
-541.0133056640625,38.25929641723633,75.90399932861328|0.9958699941635132,-2.9229260789520595e-08,0.0907910168170929|2.355558947897407e-08,1,6.35630854617375e-08|Freefall
-540.6149291992188,38.28458786010742,75.94032287597656|0.9959298968315125,-8.984297039660305e-08,0.09013114124536514|8.555206676419402e-08,1,5.147062154264859e-08|Freefall
-540.0836791992188,38.27062225341797,75.9883041381836|0.9959437251091003,-1.223511958414747e-07,0.08997847884893417|1.2059739162850747e-07,1,2.4927972575028434e-08|Freefall
-539.4196166992188,38.17653274536133,76.04827117919922|0.9959471225738525,-1.4611444498768833e-07,0.08994097262620926|1.4718824559167842e-07,1,-5.306276307237567e-09|Freefall
-538.8883666992188,38.03994369506836,76.09619903564453|0.9969830513000488,-1.0201972600043518e-07,0.07761963456869125|1.0411413597921637e-07,1,-2.293621115256883e-08|Freefall
-538.4896240234375,37.9017333984375,76.127685546875|0.9990814924240112,-9.245861853912629e-09,0.04285028576850891|1.1034009261834399e-08,1,-4.1493613878174074e-08|Freefall
-537.82373046875,37.603267669677734,76.15814971923828|0.9999067783355713,1.2856068565270107e-07,0.013655316084623337|-1.2827736384224409e-07,1,-2.1624611434845065e-08|Freefall
-537.423828125,37.3833122253418,76.16415405273438|0.9999722242355347,1.4671691417333932e-07,-0.00745276128873229|-1.4676255943868455e-07,1,-5.577663664269039e-09|Freefall
-536.890625,37.0423469543457,76.16045379638672|0.9998528361320496,1.5058760993724718e-07,-0.017155464738607407|-1.5047855583816272e-07,1,7.647314781422665e-09|Freefall
-536.357421875,36.64688491821289,76.15107727050781|0.9993910193443298,1.5112659923488536e-07,-0.034893881529569626|-1.506534488271427e-07,1,1.6189030560553874e-08|Freefall
-535.6912231445312,36.07592010498047,76.12773895263672|0.9981929063796997,1.7590014067536686e-07,-0.06009089946746826|-1.7506154392776807e-07,1,1.9219879021648012e-08|Freefall
-535.2919921875,35.69246292114258,76.10403442382812|0.9960633516311646,1.7720678613386553e-07,-0.08864391595125198|-1.761532217869899e-07,1,1.9708268794715877e-08|Freefall
-534.6279907226562,34.9852409362793,76.04524993896484|0.993030309677124,1.853332634027538e-07,-0.11785906553268433|-1.840548407017195e-07,1,2.173125501769846e-08|Freefall
-534.2308349609375,34.52003860473633,75.99866485595703|0.9878445863723755,1.7991541767514718e-07,-0.1554449498653412|-1.7776515903733525e-07,1,2.7733751295500042e-08|Freefall
-533.5720825195312,33.676570892333984,75.89663696289062|0.980505108833313,2.3414173710989417e-07,-0.19649353623390198|-2.2947401134842949e-07,1,4.6522092844725194e-08|Freefall
-533.1795043945312,33.12961196899414,75.82044982910156|0.9645559787750244,3.392661938050878e-07,-0.2638782858848572|-3.2738893196437857e-07,1,8.898509662458309e-08|Freefall
-532.6625366210938,32.3526496887207,75.69063568115234|0.9466763734817505,5.183746338843775e-07,-0.3221859633922577|-4.915788736070681e-07,1,1.6452777629183402e-07|Freefall
-532.0316162109375,31.4152774810791,75.47584533691406|0.9221208095550537,1.1490786278045562e-07,-0.3869021236896515|-1.0868519240148089e-07,1,3.796046499360273e-08|Landed
-531.6614379882812,31.381439208984375,75.32459259033203|0.8904441595077515,-1.6738248120873322e-07,-0.45509248971939087|1.5564765476483444e-07,1,-6.325513624005907e-08|Landed
-531.0653076171875,31.518938064575195,75.02658081054688|0.8665661811828613,-1.3156943623471307e-07,-0.4990622103214264|1.2154968942468258e-07,1,-5.257578905570881e-08|Running
-530.5902099609375,32.39460754394531,74.7840576171875|0.8405704498291016,-7.996465001269826e-08,-0.5417022705078125|7.286581649168511e-08,1,-3.4549980654219326e-08|Jumping
-530.2415161132812,33.01814651489258,74.58914947509766|0.806835412979126,3.2605150579456676e-08,-0.590776264667511|-2.3548295757791493e-08,1,2.302995660841134e-08|Freefall
-529.6865844726562,33.989253997802734,74.22213745117188|0.7766063809394836,3.2655358950250957e-07,-0.6299861669540405|-2.547029964716785e-07,1,2.0436894487829704e-07|Freefall
-529.37060546875,34.53104782104492,73.97749328613281|0.741682231426239,4.0195268979914545e-07,-0.6707513928413391|-3.004383586358017e-07,1,2.670481080713216e-07|Freefall
-528.9698486328125,35.205753326416016,73.6261215209961|0.7054621577262878,4.273038882729452e-07,-0.7087476253509521|-3.025801902367675e-07,1,3.0172236620273907e-07|Freefall
-528.58984375,35.82595443725586,73.25213623046875|0.6628626585006714,4.6361623162738397e-07,-0.7487410306930542|-3.0699968078806705e-07,1,3.4740665455501585e-07|Freefall
-528.2317504882812,36.39165115356445,72.85724639892578|0.6046661734580994,6.081813239688927e-07,-0.7964790463447571|-3.668245653898339e-07,1,4.851037260777957e-07|Freefall
-527.8992309570312,36.902854919433594,72.44092559814453|0.5455174446105957,7.609452836732089e-07,-0.838099479675293|-4.163192386386072e-07,1,6.369600100697426e-07|Freefall
-527.5972290039062,37.35955810546875,72.00193786621094|0.479596346616745,8.357094998245884e-07,-0.8774892091751099|-4.01070963107486e-07,1,7.331797746701341e-07|Freefall
-527.2648315429688,37.853790283203125,71.42491149902344|0.4274699091911316,7.29933162801899e-07,-0.9040295481681824|-3.1022054258755816e-07,1,6.60734144730668e-07|Freefall
-527.0321044921875,38.187870025634766,70.94537353515625|0.3747574985027313,5.738345407735324e-07,-0.9271228909492493|-2.105616943026689e-07,1,5.338288815437409e-07|Freefall
-526.8275146484375,38.46744918823242,70.45309448242188|0.32353994250297546,4.808985636373109e-07,-0.946214497089386|-1.5070183678744797e-07,1,4.5670458348467946e-07|Freefall
-526.6502685546875,38.69252395629883,69.95030212402344|0.2556399405002594,5.475715170177864e-07,-0.9667720794677734|-1.3560942591084313e-07,1,5.305328727445158e-07|Freefall
-526.503173828125,38.86309814453125,69.43805694580078|0.19357724487781525,6.411369781744725e-07,-0.9810850620269775|-1.2358989920358e-07,1,6.291124350354949e-07|Freefall
-526.416259765625,38.95526885986328,69.04792785644531|0.14539796113967896,5.877996613889991e-07,-0.9893732666969299|-8.555586106240298e-08,1,5.815398935737903e-07|Freefall
-526.3316040039062,39.03047180175781,68.52165985107422|0.11361171305179596,3.813054831880436e-07,-0.9935252070426941|-4.1823916774319514e-08,1,3.79007758510852e-07|Freefall
-526.2703857421875,39.051170349121094,67.99190521240234|0.08957695960998535,2.5939669967556256e-07,-0.995979905128479|-1.838467689196932e-08,1,2.587902372397366e-07|Freefall
-526.2147216796875,39.017372131347656,67.48646545410156|0.0644737109541893,1.97468949636459e-07,-0.9979193806648254|-4.98541430360433e-09,1,1.9755856328629307e-07|Freefall
-526.1511840820312,38.89848709106445,66.91018676757812|0.0590759702026844,1.2625055489934311e-07,-0.9982534646987915|4.00202582184761e-09,1,1.2670828652971977e-07|Freefall
-526.117431640625,38.786277770996094,66.56459045410156|0.058962754905223846,8.359637604371528e-08,-0.9982602000236511|8.748851421103154e-09,1,8.425882924711914e-08|Freefall
