aneh pro|false|14975
-86.53118896484375,525.8714599609375,937.55517578125|-0.08715541660785675,-3.1216650597798434e-08,-0.9961947202682495|9.826105440424726e-08,1,-3.99325905675596e-08|Running
-86.61210632324219,525.8714599609375,936.6304321289062|-0.08715542405843735,-2.157978329364596e-08,-0.9961947202682495|6.784591732866829e-08,1,-2.7597941709700535e-08|Running
-86.6837158203125,525.8714599609375,935.81201171875|-0.08715541660785675,-1.3050668101755036e-08,-0.9961947202682495|4.0927012889824255e-08,1,-1.6681156012055e-08|Running
-86.7326431274414,525.8714599609375,935.2528076171875|-0.08715543895959854,-7.235678722850025e-09,-0.9961947202682495|2.2574207392267454e-08,1,-9.238297238312043e-09|Running
-86.785400390625,525.8714599609375,934.64990234375|-0.08715541660785675,-9.658506217036233e-10,-0.9961947202682495|2.7858795270674364e-09,1,-1.2132719273694192e-09|Running
-86.85594177246094,525.8714599609375,933.84375|-0.08715543895959854,7.3995769511725484e-09,-0.9961947202682495|-2.3616417266225653e-08,1,9.49400291716529e-09|Running
-86.93792724609375,525.8714599609375,932.90673828125|-0.08715541660785675,1.712270147891104e-08,-0.9961947202682495|-5.4303768592944834e-08,1,2.19390532407715e-08|Running
-87.08804321289062,525.8714599609375,931.191162109375|-0.08715542405843735,3.487965116732994e-08,-0.9961947202682495|-1.1034684632704739e-07,1,4.4666943921356506e-08|Running
-87.0904541015625,525.8714599609375,931.16357421875|-0.08715541660785675,3.5164951839306013e-08,-0.9961947202682495|-1.1124728871436673e-07,1,4.503211670225937e-08|Running
-87.15963745117188,525.8714599609375,930.3729248046875|-0.08715535700321198,1.9475329793294804e-08,-0.9961947202682495|-6.15843944729022e-08,1,2.4937634179877932e-08|Running
-87.2270736694336,525.8714599609375,929.6022338867188|-0.0871552899479866,4.180932933195436e-09,-0.9961947202682495|-1.3172519963688956e-08,1,5.349343190630407e-09|Running
-87.24298095703125,525.8714599609375,929.42041015625|-0.08715526759624481,5.728418850381445e-10,-0.9961947202682495|-1.7517097772312695e-09,1,7.282839331601565e-10|Running
-87.31705474853516,525.8714599609375,928.5225830078125|-0.07819996029138565,-1.4303743967047922e-08,-0.9969376921653748|4.4037026469823104e-08,1,-1.7801951912588265e-08|Running
-87.38493347167969,525.8714599609375,927.6998291015625|-0.0699884369969368,-2.8306651245202374e-08,-0.9975478053092957|8.613903190735073e-08,1,-3.441979146145968e-08|Running
-87.38684844970703,525.8714599609375,927.6765747070312|-0.06975625455379486,-2.8707562549357135e-08,-0.9975640773773193|8.733094603030622e-08,1,-3.488441890908689e-08|Running
-87.43890380859375,525.8714599609375,926.9321899414062|-0.06975620985031128,-1.9226884973022607e-08,-0.9975640773773193|5.738175090641562e-08,1,-2.3286343520112496e-08|Running
-87.46824645996094,525.8714599609375,926.5125732421875|-0.06975618749856949,-1.3882388572028503e-08,-0.9975640773773193|4.049862312172081e-08,1,-1.6748215259099197e-08|Running
-87.53424835205078,525.8714599609375,925.4893188476562|-0.06465479731559753,-5.961973137402765e-10,-0.9979076981544495|-4.372059103641135e-10,1,-5.691206395042059e-10|Running
-87.58090209960938,525.8714599609375,924.7660522460938|-0.06104804202914238,8.923952243833355e-09,-0.9981348514556885|-2.942066501532281e-08,1,1.0740057732050445e-08|Running
-87.64491271972656,525.8714599609375,923.7195434570312|-0.06104826554656029,2.2556630341341588e-08,-0.9981347918510437|-7.121489886685595e-08,1,2.6954452891914116e-08|Running
-87.687744140625,525.8714599609375,923.0192260742188|-0.06104842200875282,3.167982498553101e-08,-0.9981347918510437|-9.918424836996564e-08,1,3.780538193609573e-08|Running
-87.73833465576172,525.8714599609375,922.1920776367188|-0.061048299074172974,1.9736829059979755e-08,-0.9981347918510437|-6.150300890794824e-08,1,2.3535379867212214e-08|Running
-87.79458618164062,525.8714599609375,921.2723999023438|-0.06104816496372223,6.457956835959067e-09,-0.9981347918510437|-1.96069684932354e-08,1,7.669231472107185e-09|Running
-87.86581420898438,525.8714599609375,920.1078491210938|-0.06104816496372223,-2.0960367663747093e-08,-0.9981347918510437|6.645009165140436e-08,1,-2.5063773279043744e-08|Running
-87.9072494506836,525.8714599609375,919.430419921875|-0.06104834005236626,-2.3770667212374974e-08,-0.9981347918510437|7.508345589712917e-08,1,-2.8407374230710047e-08|Running
-87.93704223632812,525.8714599609375,918.9432983398438|-0.0610484704375267,-2.579136371139157e-08,-0.9981347918510437|8.129110540266993e-08,1,-3.0811531104291134e-08|Running
-87.9891357421875,525.8714599609375,918.0916137695312|-0.06529487669467926,-1.287860307286337e-08,-0.9978660345077515|4.014048116118829e-08,1,-1.5532718222743824e-08|Running
-88.04388427734375,525.8714599609375,917.1964721679688|-0.06975636631250381,4.995820979125654e-10,-0.9975640773773193|-3.03638048038124e-09,1,7.131261137161005e-10|Running
-88.12203979492188,525.8714599609375,916.0719604492188|-0.08010228723287582,1.6871851471478294e-08,-0.9967866539955139|-5.737251029813706e-08,1,2.1536724403858898e-08|Running
-88.17535400390625,525.8714599609375,915.3048706054688|-0.08715509623289108,2.7707804051146923e-08,-0.9961947798728943|-9.431387582026218e-08,1,3.606497500641126e-08|Running
-88.24461364746094,525.8714599609375,914.4993286132812|-0.0940394401550293,2.308069113610145e-08,-0.9955684542655945|-7.956393943686635e-08,1,3.069888165896373e-08|Running
-88.2627944946289,525.8714599609375,914.2879028320312|-0.09584567695856094,2.1883380441067857e-08,-0.9953961968421936|-7.569862958689555e-08,1,2.9273536483742646e-08|Running
-88.42154693603516,525.8714599609375,912.8003540039062|-0.11068600416183472,-6.769401927897434e-09,-0.9938554167747498|2.6230937422155876e-08,1,-9.732601391476692e-09|Running
-88.44849395751953,525.8714599609375,912.5478515625|-0.11320284008979797,-1.1477175654306393e-08,-0.9935718774795532|4.34755342837434e-08,1,-1.6504824174035093e-08|Running
-88.60902404785156,525.8714599609375,911.1389770507812|-0.113203264772892,-1.8539006774176414e-08,-0.9935718774795532|6.748619796326238e-08,1,-2.634803131229546e-08|Running
-88.64661407470703,525.8714599609375,910.80908203125|-0.11320333182811737,-2.01926937393182e-08,-0.9935718178749084|7.310885763445185e-08,1,-2.865304793431278e-08|Running
-88.79830169677734,525.8714599609375,909.4778442382812|-0.11320313066244125,-6.004871599962769e-10,-0.9935718774795532|3.6057329344529876e-10,1,-6.454543011180647e-10|Running
-88.84473419189453,525.8714599609375,909.0703125|-0.11320304125547409,5.397348790125989e-09,-0.9935718774795532|-2.191011638785767e-08,1,7.928606216012213e-09|Running
-88.92552947998047,525.8714599609375,908.3612060546875|-0.1132030338048935,1.581102537784318e-08,-0.9935718774795532|-6.057747725662921e-08,1,2.2815239475448834e-08|Running
-88.97681427001953,525.8714599609375,907.9111328125|-0.11320304125547409,2.2420929113309285e-08,-0.9935718774795532|-8.512092364298951e-08,1,3.2264274807403126e-08|Running
-89.13602447509766,525.8714599609375,906.5138549804688|-0.11320305615663528,1.3070195592490563e-08,-0.9935718774795532|-4.894127059174025e-08,1,1.8730901274466305e-08|Running
-89.17493438720703,525.8714599609375,906.17236328125|-0.11320304125547409,1.078488409689271e-08,-0.9935718774795532|-4.009898901813358e-08,1,1.542335503756931e-08|Running
-89.31340026855469,525.8714599609375,904.9570922851562|-0.1132030338048935,-1.0281071993745172e-08,-0.9935718774795532|4.002147235837583e-08,1,-1.4907451273415973e-08|Running
-89.37305450439453,525.8714599609375,904.43359375|-0.11320304125547409,-1.93559763772555e-08,-0.9935718774795532|7.453618877661938e-08,1,-2.797351683625493e-08|Running
-89.45539855957031,525.8714599609375,903.7109375|-0.1132030338048935,-2.035000079558813e-08,-0.9935718774795532|7.803830470720641e-08,1,-2.937298404503963e-08|Running
-89.50513458251953,525.8714599609375,903.2744140625|-0.11320304125547409,-2.0950400525521218e-08,-0.9935718774795532|8.015361885327366e-08,1,-3.021828121063663e-08|Running
-89.70325469970703,525.8714599609375,901.53564453125|-0.11320307105779648,4.312422863250731e-09,-0.9935718774795532|-1.7266925667058786e-08,1,6.3076384115845485e-09|Running
-89.84417724609375,525.8714599609375,900.2988891601562|-0.09468249976634979,2.262507692307736e-08,-0.995507538318634|-8.634233950033376e-08,1,3.093917655405676e-08|Running
-89.90137481689453,525.8714599609375,899.796875|-0.087155282497406,3.043491858534253e-08,-0.9961947202682495|-1.1450876513663388e-07,1,4.0569339887497335e-08|Running
-89.95001220703125,525.8714599609375,899.2035522460938|-0.07383795082569122,2.1281154616303866e-08,-0.9972702264785767|-7.695770420923509e-08,1,2.7037357241965765e-08|Running
-89.9966812133789,525.8714599609375,898.63427734375|-0.06104801967740059,1.2011093453168087e-08,-0.9981348514556885|-4.0761953812307183e-08,1,1.452662434786589e-08|Running
-90.03268432617188,525.8714599609375,897.6862182617188|-0.02322600595653057,-5.2657878057971175e-09,-0.9997302293777466|1.81359425255323e-08,1,-5.6885474108980816e-09|Running
-90.06307220458984,525.8714599609375,896.8859252929688|0.00872699823230505,-2.160294876318858e-08,-0.9999619126319885|6.841670341373174e-08,1,-2.1006675510193418e-08|Running
-90.037109375,525.8714599609375,895.7198486328125|0.09584640711545944,-3.092536715598726e-08,-0.9953961372375488|8.658265926442255e-08,1,-2.2731384774488106e-08|Running
-89.90349578857422,525.8714599609375,894.6289672851562|0.1448303908109665,-9.451485816214245e-09,-0.9894564747810364|2.3531548265509628e-08,1,-6.10779959941965e-09|Running
-89.82444763183594,525.8714599609375,893.983642578125|0.1736486405134201,4.6733652503405665e-09,-0.9848076701164246|-1.4126355196708573e-08,1,2.254595621309363e-09|Running
-89.64077758789062,525.8714599609375,893.0895385742188|0.22717508673667908,2.236419760492936e-08,-0.9738539457321167|-5.4702905316617034e-08,1,1.0203848432865925e-08|Running
