Mt Forever|true|20028
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|6.386632112054258e-09,1,7.239358446042843e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.8980939042734235e-09,1,-2.1515225157031637e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.0175743803131354e-08,1,-1.1534382338140858e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.8446321803367027e-08,1,-2.090922635034076e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.6650158585207464e-08,1,-1.8873244300721126e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.1503735741769106e-08,1,-1.3039684887417025e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-6.361707161062213e-09,1,-7.211105490512182e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.2240725100198802e-09,1,-1.3875074422742273e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|3.9091743175845295e-09,1,4.4311172509026164e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.0319563870098136e-08,1,1.1697405710719977e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.4162515604709824e-08,1,1.6053457230214008e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|2.0561969904520083e-08,1,2.3307348939738404e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|2.1055825527582783e-08,1,2.386714292867964e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.2804190596682474e-08,1,1.451377240613283e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|4.559605581988535e-09,1,5.168392380738851e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-3.677936621926392e-09,1,-4.169004697018863e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.1908442232311245e-08,1,-1.349842548847846e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-2.01319192427718e-08,1,-2.2819879319513348e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.5140901865606793e-08,1,-1.716247588490205e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-1.0154145968499506e-08,1,-1.1509901476358664e-08|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|-5.17165332780678e-09,1,-5.862158758418445e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|1.0504813685585646e-09,1,1.190738840861627e-09|Running
7.249056816101074,80.00591278076172,-95.19989013671875|-0.7498911619186401,0,0.6615612506866455|6.023404885979744e-09,1,6.827634013717443e-09|Running
