Mt Forever|true|20028
-385.35882568359375,345.00885009765625,-143.81785583496094|0.3762841522693634,0,-0.926504373550415|1.7300131105457695e-08,1.0000001192092896,7.026156989553556e-09|Running
-385.1340637207031,345.09686279296875,-144.3712615966797|0.3762841522693634,0,-0.926504373550415|4.494484784345332e-08,1.0000001192092896,1.8253594191719458e-08|Running
-384.90863037109375,345.14996337890625,-144.9264373779297|0.3762841522693634,0,-0.926504373550415|7.256596745719435e-08,1.0000001192092896,2.9471445728290746e-08|Running
-384.6839294433594,345.1586608886719,-145.47967529296875|0.3762841522693634,0,-0.926504373550415|1.0016352547381757e-07,1.0000001192092896,4.0679729806925025e-08|Running
-384.45941162109375,345.1153564453125,-146.0325927734375|0.3762841522693634,0,-0.926504373550415|6.757085202480084e-08,1.0000001192092896,2.7442764505281048e-08|Running
-384.23492431640625,345.0491638183594,-146.58551025390625|0.3762841522693634,0,-0.926504373550415|3.500600698203016e-08,1.0000001192092896,1.4217100385849335e-08|Running
-384.0107421875,344.97869873046875,-147.1375732421875|0.3762841522693634,0,-0.926504373550415|2.4689568167701736e-09,1.0000001192092896,1.002725236176616e-09|Running
-383.7869567871094,344.87310791015625,-147.68853759765625|0.3762841522693634,0,-0.926504373550415|-3.0040325782465516e-08,1.0000001192092896,-1.220037315619038e-08|Running
-383.5650329589844,344.7486877441406,-148.23495483398438|0.3762841522693634,0,-0.926504373550415|-6.252187034760937e-08,1.0000001192092896,-2.5392205671437296e-08|Running
-383.3433532714844,344.6344299316406,-148.78073120117188|0.3762841522693634,0,-0.926504373550415|-9.497570374605857e-08,1.0000001192092896,-3.857278230157135e-08|Running
-383.17742919921875,344.5450134277344,-149.18934631347656|0.3762841522693634,0,-0.926504373550415|-7.454229944414692e-08,1.0000001192092896,-3.0274101447957946e-08|Running
-382.9002685546875,344.40423583984375,-149.87185668945312|0.3762841522693634,0,-0.926504373550415|-4.05157187799432e-08,1.0000001192092896,-1.645477709644183e-08|Running
-382.6779479980469,344.3002014160156,-150.41932678222656|0.3762841522693634,0,-0.926504373550415|-1.3320588188037163e-08,1.0000001192092896,-5.4099325019763e-09|Running
-382.45404052734375,344.2243347167969,-150.97067260742188|0.3795161843299866,0,-0.9251851439476013|1.3880404381438893e-08,1,5.693820526175841e-09|Running
-382.22991943359375,345.1000061035156,-151.52255249023438|0.3843661844730377,0,-0.9231807589530945|4.1022854446737256e-08,1.0000001192092896,1.7079859304658385e-08|Running
-382.0002746582031,345.9245910644531,-152.07620239257812|0.3901979327201843,0,-0.9207310080528259|6.803168872693277e-08,1,2.8831248499727735e-08|Running
-381.7663879394531,346.6946716308594,-152.6287078857422|0.396394819021225,0,-0.9180801510810852|9.478931417561398e-08,1,4.092670025102052e-08|Running
-381.52862548828125,347.4102478027344,-153.17959594726562|0.3998740613460541,0,-0.9165700674057007|1.2144050742790569e-07,1,5.298112171203684e-08|Running
-381.2886657714844,348.0713195800781,-153.72952270507812|0.40026888251304626,0,-0.9163978695869446|1.331119818814841e-07,1.0000001192092896,5.8141324643656844e-08|Running
-381.0484313964844,348.67791748046875,-154.27932739257812|0.4004193842411041,0,-0.9163320064544678|9.960132274500211e-08,1,4.3523854742488766e-08|Running
-380.8081970214844,349.22998046875,-154.82913208007812|0.4004193842411041,0,-0.9163320064544678|6.612782499360037e-08,1,2.8896581127924037e-08|Running
-380.5679626464844,349.7275695800781,-155.37893676757812|0.4004193842411041,0,-0.9163320064544678|3.268362291919402e-08,1,1.4282112381636125e-08|Running
-380.3277282714844,350.170654296875,-155.92874145507812|0.4004193842411041,0,-0.9163320064544678|-7.319457817622776e-10,1,-3.198461773212813e-10|Running
-380.0874938964844,350.5592346191406,-156.47854614257812|0.4004193842411041,0,-0.9163320064544678|-3.4118976088848285e-08,1,-1.4909332435308897e-08|Running
-379.8472595214844,350.893310546875,-157.02835083007812|0.4004193842411041,0,-0.9163320064544678|-6.747749381474932e-08,1,-2.948636179667119e-08|Running
-379.6070251464844,351.17291259765625,-157.57815551757812|0.4004193842411041,0,-0.9163320064544678|-1.0080752588237374e-07,1,-4.4050942449302966e-08|Running
-379.3667907714844,351.3979797363281,-158.12796020507812|0.4004193842411041,0,-0.9163320064544678|-1.1972159086326428e-07,1,-5.2316018184228597e-08|Running
-379.1265563964844,351.5685729980469,-158.67776489257812|0.4004193842411041,0,-0.9163320064544678|-9.547541424126393e-08,1,-4.172090939391637e-08|Running
-378.8863220214844,351.6846618652344,-159.22756958007812|0.4004193842411041,0,-0.9163320064544678|-7.124994283458363e-08,1,-3.113484936534405e-08|Running
-378.6460876464844,351.7462463378906,-159.77737426757812|0.40188395977020264,0,-0.9156906008720398|-4.698691213889106e-08,1,-2.0621905960638287e-08|Running
-378.4049987792969,351.7533264160156,-160.32681274414062|0.40487805008888245,0,-0.9143707156181335|-2.272980381690104e-08,1,-1.006462557739951e-08|Running
-378.1621398925781,351.7059020996094,-160.87545776367188|0.4050905108451843,0,-0.9142765402793884|1.4150154381553648e-09,1,6.269539887249209e-10|Running
-377.9797668457031,351.63458251953125,-161.28684997558594|0.4052095413208008,0,-0.9142239093780518|1.9506661175228146e-08,1.0000001192092896,8.645896443226775e-09|Freefall
-377.6758117675781,351.44757080078125,-161.97250366210938|0.40521520376205444,0,-0.9142214059829712|4.9633655407888e-08,1.0000001192092896,2.199938897717857e-08|Freefall
-377.4934387207031,351.29449462890625,-162.38389587402344|0.40521520376205444,0,-0.9142214059829712|6.769440830112217e-08,1.0000001192092896,3.0004553508433673e-08|Freefall
-377.2277526855469,351.2620849609375,-162.98330688476562|0.40521520376205444,0,-0.9142214059829712|9.777012621725589e-08,1.0000001192092896,4.333517011900767e-08|Landed
-377.04412841796875,351.2618408203125,-163.39764404296875|0.40521520376205444,0,-0.9142214059829712|6.589306167370523e-08,1.0000001192092896,2.9206132623471603e-08|Landed
-376.8542785644531,351.2618408203125,-163.825927734375|0.40521520376205444,0,-0.9142214059829712|3.404323223321626e-08,1.0000001192092896,1.5089161919945582e-08|Running
-376.6629943847656,352.1272888183594,-164.25738525390625|0.40521520376205444,0,-0.9142214059829712|2.2206032568306e-09,1.0000001192092896,9.842497927792238e-10|Running
-376.4616394042969,352.9382629394531,-164.71156311035156|0.40521520376205444,0,-0.9142214059829712|-2.9574843907198556e-08,1.0000001192092896,-1.3108614638213112e-08|Running
-376.2442321777344,353.6947021484375,-165.20205688476562|0.40667638182640076,0,-0.9135722517967224|-6.132972885097843e-08,1.0000001192092896,-2.7300909977157062e-08|Running
-376.0102233886719,354.39666748046875,-165.7286376953125|0.4111018180847168,0,-0.911589503288269|-9.297971814703487e-08,1.0000001192092896,-4.193130109797494e-08|Running
-375.7642517089844,355.04412841796875,-166.27447509765625|0.41430526971817017,0,-0.910137951374054|-1.1121198184582681e-07,1.0000001192092896,-5.062497621111106e-08|Running
-375.5157165527344,355.6370849609375,-166.82054138183594|0.4146408438682556,0,-0.9099851250648499|-8.927384698154128e-08,1.0000001192092896,-4.067823056175257e-08|Running
-375.2668151855469,356.175537109375,-167.3665008544922|0.41476500034332275,0,-0.9099286794662476|-6.737822388913628e-08,1.0000001192092896,-3.071243881436203e-08|Running
-375.0179138183594,356.65948486328125,-167.91246032714844|0.41476500034332275,0,-0.9099286794662476|-4.550690846372163e-08,1.0000001192092896,-2.0743025075375954e-08|Running
-374.7690124511719,357.0889587402344,-168.4584197998047|0.41476500034332275,0,-0.9099286794662476|-2.365495710421328e-08,1.0000001192092896,-1.0782436277168017e-08|Running
-374.5201110839844,357.4638977050781,-169.00437927246094|0.41476500034332275,0,-0.9099286794662476|-1.8217459762936983e-09,1.0000001192092896,-8.30390867179176e-10|Running
-374.2712097167969,357.78436279296875,-169.5503387451172|0.41476500034332275,0,-0.9099286794662476|1.9992810962321528e-08,1.0000001192092896,9.113152010797876e-09|Running
-374.0223083496094,358.0503234863281,-170.09629821777344|0.4162306785583496,0,-0.9092591404914856|4.1776434756002345e-08,1.0000001192092896,1.9123957528677238e-08|Running
-373.77264404296875,358.26177978515625,-170.64187622070312|0.4163179099559784,0,-0.9092192053794861|6.355061543672491e-08,1,2.9098877973865456e-08|Running
-373.5227966308594,358.4187316894531,-171.18740844726562|0.4163546860218048,0,-0.9092023372650146|8.530748374369068e-08,1.0000001192092896,3.906519907559414e-08|Running
-373.2729187011719,358.5212097167969,-171.73294067382812|0.4163798987865448,0,-0.9091907143592834|1.0704789588089625e-07,1.0000001192092896,4.90244680406704e-08|Running
-373.0230407714844,358.56915283203125,-172.27847290039062|0.4163798987865448,0,-0.9091907143592834|1.2876971311470697e-07,1.0000001192092896,5.8972357663833463e-08|Running
-372.7731628417969,358.5626220703125,-172.82400512695312|0.4163798987865448,0,-0.9091907143592834|1.087503136432133e-07,1.0000001192092896,4.980411816291053e-08|Running
-372.6037292480469,358.55877685546875,-173.19393920898438|0.4163798987865448,0,-0.9091907143592834|8.331959833185465e-08,1.0000001192092896,3.815767612991294e-08|Running
-372.3950500488281,358.5585632324219,-173.64967346191406|0.4163798987865448,0,-0.9091907143592834|4.9437332449997484e-08,1.0000001192092896,2.2640696428766205e-08|Running
-372.1383056640625,358.5585632324219,-174.2104034423828|0.4163798987865448,0,-0.9091907143592834|7.125170675692516e-09,1.0000001192092896,3.263097347883104e-09|Running
-371.9844970703125,359.2127685546875,-174.54635620117188|0.4163798987865448,0,-0.9091907143592834|-1.824043849296686e-08,1.0000001192092896,-8.353529423743566e-09|Running
-371.71258544921875,360.2349853515625,-175.14015197753906|0.4163798987865448,0,-0.9091907143592834|-6.04803460646508e-08,1.0000001192092896,-2.76980376412439e-08|Running
-371.4764404296875,360.9914245605469,-175.6558074951172|0.4163798987865448,0,-0.9091907143592834|-9.423980174005919e-08,1.0000001192092896,-4.3158777884855226e-08|Jumping
-371.2279357910156,361.6933898925781,-176.19845581054688|0.4163798987865448,0,-0.9091907143592834|-1.1408040734295355e-07,1.0000001192092896,-5.224513088819549e-08|Freefall
-370.9781494140625,362.3408508300781,-176.74391174316406|0.4163798987865448,0,-0.9091907143592834|-9.225189501194109e-08,1.0000001192092896,-4.224838079380788e-08|Freefall
-370.728271484375,362.9338073730469,-177.28944396972656|0.4163798987865448,0,-0.9091907143592834|-7.044196337346875e-08,1.0000001192092896,-3.2260135895967323e-08|Freefall
-370.4783935546875,363.4722595214844,-177.83497619628906|0.4163798987865448,0,-0.9091907143592834|-4.8650697692664835e-08,1.0000001192092896,-2.2280444156308477e-08|Freefall
-370.228515625,363.9562072753906,-178.38050842285156|0.4163798987865448,0,-0.9091907143592834|-2.6878019809828402e-08,1.0000001192092896,-1.2309262942267196e-08|Freefall
-369.9786376953125,364.38568115234375,-178.92604064941406|0.4163798987865448,0,-0.9091907143592834|-5.123955926222834e-09,1.0000001192092896,-2.346605798564383e-09|Freefall
-369.728759765625,364.7606201171875,-179.47157287597656|0.4163798987865448,0,-0.9091907143592834|1.6611538811162063e-08,1.0000001192092896,7.607546592680592e-09|Freefall
-369.4788818359375,365.0810852050781,-180.01710510253906|0.4163798987865448,0,-0.9091907143592834|3.83284692873076e-08,1.0000001192092896,1.7553198006226012e-08|Freefall
-369.22900390625,365.3470458984375,-180.56263732910156|0.4163798987865448,0,-0.9091907143592834|6.002684926897928e-08,1.0000001192092896,2.749035310500858e-08|Freefall
-369.0415954589844,365.5107421875,-180.97178649902344|0.4163798987865448,0,-0.9091907143592834|7.62884866389868e-08,1.0000001192092896,3.4937656323563715e-08|Freefall
-368.729248046875,365.7154541015625,-181.65370178222656|0.4163798987865448,0,-0.9091907143592834|1.0336805900124091e-07,1.0000001192092896,4.733922054356299e-08|Freefall
-368.4793701171875,365.81793212890625,-182.19923400878906|0.4163798987865448,0,-0.9091907143592834|1.2501092783168133e-07,1.0000001192092896,5.725095775233058e-08|Freefall
-368.2294921875,365.8658752441406,-182.74476623535156|0.4163798987865448,0,-0.9091907143592834|1.0592098220740809e-07,1.0000001192092896,4.8508379535405766e-08|Freefall
-367.9796142578125,365.8593444824219,-183.29029846191406|0.4163798987865448,0,-0.9091907143592834|7.328173978748964e-08,1.0000001192092896,3.356066358151111e-08|Freefall
-367.74676513671875,365.8553771972656,-183.79873657226562|0.4163798987865448,0,-0.9091907143592834|4.067032932653092e-08,1.0000001192092896,1.8625694764295986e-08|Freefall
-367.5265808105469,365.85528564453125,-184.2794952392578|0.4163798987865448,0,-0.9091907143592834|8.086800562523422e-09,1.0000001192092896,3.7034926236856336e-09|Freefall
-367.3108215332031,365.85528564453125,-184.75059509277344|0.4163798987865448,0,-0.9091907143592834|-2.4468917558806424e-08,1.0000001192092896,-1.120597126202938e-08|Landed
-367.10626220703125,365.85528564453125,-185.19732666015625|0.4163798987865448,0,-0.9091907143592834|-5.69968285901723e-08,1.0000001192092896,-2.610270222191957e-08|Landed
-366.90179443359375,365.85528564453125,-185.64381408691406|0.4163798987865448,0,-0.9091907143592834|-8.949696450599731e-08,1.0000001192092896,-4.098671269048282e-08|Running
-366.70263671875,365.85528564453125,-186.07867431640625|0.4163798987865448,0,-0.9091907143592834|-6.494475002227773e-08,1.0000001192092896,-2.974259061261364e-08|Running
-366.5168151855469,365.85528564453125,-186.48440551757812|0.4163798987865448,0,-0.9091907143592834|-4.041350720740411e-08,1.0000001192092896,-1.8508076848888777e-08|Running
-366.38238525390625,365.85528564453125,-186.77796936035156|0.4163798987865448,0,-0.9091907143592834|-2.202882498636427e-08,1.0000001192092896,-1.0088488267001594e-08|Running
-366.1659240722656,365.85528564453125,-187.25062561035156|0.4163798987865448,0,-0.9091907143592834|8.586159339074584e-09,1.0000001192092896,3.932182579546861e-09|Running
-365.9913635253906,365.85528564453125,-187.6317901611328|0.4163798987865448,0,-0.9091907143592834|3.3054615045102764e-08,1.0000001192092896,1.5137942455112352e-08|Running
-365.8152160644531,365.9060363769531,-188.01646423339844|0.41476500034332275,0,-0.9099286794662476|5.7522452578950833e-08,1.0000001192092896,2.621996664231574e-08|Running
-365.63824462890625,366.0504150390625,-188.40444946289062|0.41476500034332275,0,-0.9099286794662476|8.194314204956754e-08,1.0000001192092896,3.735144105121435e-08|Running
-365.46044921875,366.2431945800781,-188.79446411132812|0.41317975521087646,0,-0.9106495380401611|7.842478311204104e-08,1.0000001192092896,3.558287886562539e-08|Running
-365.26678466796875,366.512451171875,-189.220947265625|0.4100055694580078,0,-0.912083089351654|4.701853484334606e-08,1.0000001192092896,2.1136079553230047e-08|Running
-365.0576477050781,366.8095397949219,-189.68560791015625|0.4068264365196228,0,-0.9135055541992188|1.560553286594768e-08,1.0000001192092896,6.949867792371833e-09|Running
-364.8271789550781,367.0794982910156,-190.20208740234375|0.403622567653656,0,-0.9149255752563477|-1.5812370079970606e-08,1,-6.975681365872788e-09|Running
-364.58770751953125,367.2884826660156,-190.74411010742188|0.4004193842411041,0,-0.9163320064544678|-4.7233196909246544e-08,1,-2.06399946023339e-08|Running
-364.3520812988281,367.4488525390625,-191.2825469970703|0.39721688628196716,0,-0.9177248477935791|-7.865523343753011e-08,1.0000001192092896,-3.404417725505482e-08|Running
-364.1227111816406,367.6011657714844,-191.81173706054688|0.3940150737762451,0,-0.9191040396690369|-6.87266066279335e-08,1.0000001192092896,-2.9462736250707167e-08|Running
-363.8939514160156,367.7571716308594,-192.34466552734375|0.39080849289894104,0,-0.9204720854759216|-4.5029146633623895e-08,1.0000001192092896,-1.911820390887442e-08|Running
-363.66461181640625,367.90838623046875,-192.88404846191406|0.3859563171863556,0,-0.9225170612335205|-2.137419841119481e-08,1,-8.94238993964791e-09|Running
-363.43341064453125,368.0217590332031,-193.43548583984375|0.3795161843299866,0,-0.9251851439476013|2.2614312644719803e-09,1,9.276518442291604e-10|Running
-363.20513916015625,368.08807373046875,-193.99029541015625|0.3714275062084198,0,-0.9284619092941284|2.589736070035542e-08,1,1.0360136748488458e-08|Running
-362.981689453125,368.11846923828125,-194.54678344726562|0.36004531383514404,0,-0.9329348206520081|4.9552873804259434e-08,1,1.9123822525557443e-08|Running
-362.76495361328125,368.110595703125,-195.1053009033203|0.3420419991016388,0,-0.9396846890449524|7.328289086672157e-08,1,2.667472109862956e-08|Running
-362.5585632324219,368.0732727050781,-195.6673583984375|0.3239443600177765,0,-0.9460762143135071|8.347812752163009e-08,1.0000001192092896,2.8583604816390107e-08|Running
-362.3629455566406,368.036376953125,-196.23336791992188|0.3023696839809418,0,-0.953190803527832|5.357243892945007e-08,1.0000001192092896,1.6994164298012038e-08|Running
-362.1800231933594,367.9944152832031,-196.80323791503906|0.28064098954200745,0,-0.9598129391670227|2.372714114073915e-08,1.0000001192092896,6.937610486090762e-09|Running
-361.96826171875,367.9332580566406,-197.5200958251953|0.2604670226573944,0,-0.965482771396637|-1.3492164718797994e-08,1,-3.639903267682598e-09|Running
-361.8498840332031,367.8878173828125,-197.95184326171875|0.24188214540481567,0,-0.9703056812286377|-3.572912632421321e-08,1.0000001192092896,-8.906717141599074e-09|Running
-361.66802978515625,367.7990417480469,-198.6739959716797|0.23168860375881195,0,-0.972790002822876|-7.251703237898255e-08,1,-1.72713221502363e-08|Running
-361.56396484375,367.7244873046875,-199.10690307617188|0.22149710357189178,0,-0.9751610159873962|-8.091423353562277e-08,1.0000001192092896,-1.837877938726251e-08|Running
-361.43194580078125,367.6141662597656,-199.6838836669922|0.2163681834936142,0,-0.9763118624687195|-5.568352534623955e-08,1,-1.2340466426508101e-08|Running
-361.3028869628906,367.53216552734375,-200.2640380859375|0.20953431725502014,0,-0.9778013825416565|-3.0583404253547997e-08,1.0000001192092896,-6.553756648486342e-09|Running
-361.17730712890625,367.4659729003906,-200.84698486328125|0.20611505210399628,0,-0.9785277247428894|-5.503232092252119e-09,1,-1.159189411126249e-09|Running
-361.0536193847656,367.42791748046875,-201.43275451660156|0.20440758764743805,0,-0.9788859486579895|1.954574990747915e-08,1.0000001192092896,4.0814760460250454e-09|Running
-360.9310302734375,367.3941955566406,-202.0191192626953|0.20782500505447388,0,-0.9781660437583923|4.462154734596879e-08,1,9.480468854405899e-09|Running
-360.8067932128906,367.36077880859375,-202.60516357421875|0.20782500505447388,0,-0.9781660437583923|6.969030152959022e-08,1,1.4806674997203118e-08|Running
-360.6822814941406,368.2364501953125,-203.191162109375|0.20782500505447388,0,-0.9781660437583923|9.473762929701479e-08,1,2.0128329225599373e-08|Running
-360.5576171875,369.06103515625,-203.77792358398438|0.20782500505447388,0,-0.9781660437583923|1.1976355551723827e-07,1,2.5445434204129924e-08|Running
-360.432861328125,369.83111572265625,-204.36483764648438|0.20782500505447388,0,-0.9781660437583923|9.277607659896603e-08,1,1.9711569265723483e-08|Running
-360.33929443359375,370.3728942871094,-204.80502319335938|0.20782500505447388,0,-0.9781660437583923|7.25505913123925e-08,1,1.5414384435530337e-08|Running
-360.183349609375,371.207763671875,-205.53866577148438|0.20782500505447388,0,-0.9781660437583923|3.8870261676038353e-08,1,8.258528971794021e-09|Running
-360.05859375,371.8143615722656,-206.12557983398438|0.20782500505447388,0,-0.9781660437583923|1.1951899026030333e-08,1,2.5393473990220627e-09|Running
-359.933837890625,372.3664245605469,-206.71249389648438|0.20782500505447388,0,-0.9781660437583923|-1.494347046104849e-08,1,-3.1749483042631255e-09|Running
-359.80908203125,372.864013671875,-207.29940795898438|0.20782500505447388,0,-0.9781660437583923|-4.181586277240967e-08,1,-8.884362578953642e-09|Running
-359.684326171875,373.3070983886719,-207.88632202148438|0.20782500505447388,0,-0.9781660437583923|-6.866530100069212e-08,1,-1.4588898977763165e-08|Running
-359.5595703125,373.6956787109375,-208.47323608398438|0.20782500505447388,0,-0.9781660437583923|-9.54917922513232e-08,1,-2.0288561941583794e-08|Running
-359.434814453125,374.0297546386719,-209.06015014648438|0.20782500505447388,0,-0.9781660437583923|-1.0946919815069123e-07,1,-2.325825754212474e-08|Running
-359.31005859375,374.3093566894531,-209.64706420898438|0.20782500505447388,0,-0.9781660437583923|-8.497258363604487e-08,1,-1.8053610162382938e-08|Running
-359.185302734375,374.534423828125,-210.23397827148438|0.20782500505447388,0,-0.9781660437583923|-6.049689460496666e-08,1,-1.2853408115631737e-08|Running
-359.060546875,374.70501708984375,-210.82089233398438|0.20782500505447388,0,-0.9781660437583923|-3.6042120399315536e-08,1,-7.657650513692715e-09|Running
-358.935791015625,374.82110595703125,-211.40780639648438|0.20782500505447388,0,-0.9781660437583923|-1.1608240590987862e-08,1,-2.4663324715845647e-09|Running
-358.81103515625,374.8826904296875,-211.99472045898438|0.20627039670944214,0,-0.9784950017929077|1.2767986667938658e-08,1.0000001192092896,2.6915392137283334e-09|Running
-358.68719482421875,374.8897705078125,-212.58180236816406|0.19998213648796082,0,-0.9797995686531067|3.698852424349752e-08,1,7.549548541874174e-09|Freefall
-358.5670471191406,374.84234619140625,-213.1696319580078|0.1964418590068817,0,-0.9805155992507935|6.104154692820885e-08,1.0000001192092896,1.2229397938767761e-08|Freefall
-358.44921875,374.7404479980469,-213.75794982910156|0.19445793330669403,0,-0.9809108972549438|8.498923165234373e-08,1.0000001192092896,1.6848451522832875e-08|Freefall
-358.33258056640625,374.5840148925781,-214.34649658203125|0.19421428442001343,0,-0.9809591174125671|1.0886904533435882e-07,1,2.155433698192155e-08|Freefall
-358.21612548828125,374.37310791015625,-214.93505859375|0.19415265321731567,0,-0.9809713363647461|1.0678233053340591e-07,1,2.1134228589403392e-08|Freefall
-358.09967041015625,374.1076965332031,-215.52362060546875|0.19415265321731567,0,-0.9809713363647461|7.87680036751226e-08,1,1.5589666446658157e-08|Freefall
-357.98321533203125,373.78778076171875,-216.1121826171875|0.19259655475616455,0,-0.9812780618667603|5.084397258769968e-08,1.0000001192092896,9.979204129706432e-09|Freefall
-357.86761474609375,373.4133605957031,-216.70091247558594|0.18939179182052612,0,-0.9819015264511108|2.3010009897461714e-08,0.9999999403953552,4.438232004133624e-09|Freefall
-357.7539367675781,372.98443603515625,-217.2900390625|0.18759027123451233,0,-0.9822473526000977|-4.8236130645307185e-09,1.0000001192092896,-9.212169360672817e-10|Freefall
-357.6413879394531,372.5010070800781,-217.87937927246094|0.18582040071487427,0,-0.98258376121521|-3.262436720774531e-08,1.0000001192092896,-6.1697265074656116e-09|Freefall
-357.5299072265625,371.9631042480469,-218.4689178466797|0.18563805520534515,0,-0.9826182723045349|-6.040288269559824e-08,1.0000001192092896,-1.1411423805895993e-08|Freefall
-357.4185791015625,371.37066650390625,-219.0585174560547|0.18557633459568024,0,-0.9826298952102661|-8.815477059442856e-08,1.0000001192092896,-1.66486273656119e-08|Freefall
-357.3072509765625,370.7237548828125,-219.6481170654297|0.18557633459568024,0,-0.9826298952102661|-1.0353674184671036e-07,1.0000001192092896,-1.9553617391920852e-08|Freefall
-357.1961364746094,370.6256408691406,-220.23655700683594|0.18557633459568024,0,-0.9826298952102661|-3.2487690759808174e-08,1.0000001192092896,-6.13552098016612e-09|Landed
-357.08660888671875,370.6236877441406,-220.81658935546875|0.18557633459568024,0,-0.9826298952102661|3.850076168987471e-08,1.0000001192092896,7.271130364472356e-09|Landed
-356.9830017089844,370.6236572265625,-221.36526489257812|0.18383802473545074,0,-0.9829566478729248|6.110461470143491e-08,1.0000001192092896,1.1428125112900034e-08|Running
-356.8802185058594,371.4891052246094,-221.90945434570312|0.17697297036647797,0,-0.9842157363891602|8.36245774848976e-08,1,1.5036631495490838e-08|Running
-356.77557373046875,372.3000793457031,-222.4783935546875|0.17385844886302948,0,-0.984770655632019|1.0605292999343874e-07,1,1.8723342876114657e-08|Running
-356.6711730957031,373.0565185546875,-223.06825256347656|0.17367565631866455,0,-0.9848029613494873|9.234027231741493e-08,1.0000001192092896,1.628473711434708e-08|Running
-356.5670471191406,373.75848388671875,-223.65911865234375|0.1735546737909317,0,-0.9848242998123169|6.661598916934963e-08,1.0000001192092896,1.1739674121713506e-08|Running
-356.4629211425781,374.40594482421875,-224.25|0.1735520362854004,0,-0.9848246574401855|4.0912205179211014e-08,1,7.20980741775179e-09|Running
-356.3587951660156,374.9989013671875,-224.84088134765625|0.1735520362854004,0,-0.9848246574401855|1.522958292810017e-08,1,2.6838535838180633e-09|Running
-356.2546691894531,375.537353515625,-225.4317626953125|0.1735520362854004,0,-0.9848246574401855|-1.0431177699388172e-08,1,-1.8382482203094241e-09|Running
-356.1505432128906,376.02130126953125,-226.02264404296875|0.1735520362854004,0,-0.9848246574401855|-3.6070026965262514e-08,1,-6.356488224668055e-09|Running
-356.0464172363281,376.4507751464844,-226.613525390625|0.1735520362854004,0,-0.9848246574401855|-6.168699684394596e-08,1,-1.0870872202417559e-08|Running
-355.9422912597656,376.8257141113281,-227.20440673828125|0.1735520362854004,0,-0.9848246574401855|-8.728207490094064e-08,1,-1.5381399265379514e-08|Running
-355.8381652832031,377.14617919921875,-227.7952880859375|0.1735520362854004,0,-0.9848246574401855|-1.009500465443125e-07,1,-1.7790055650834802e-08|Running
-355.7340393066406,377.4121398925781,-228.38616943359375|0.1735520362854004,0,-0.9848246574401855|-7.890578501701384e-08,1,-1.3905276929904176e-08|Running
-355.6299133300781,377.62359619140625,-228.97705078125|0.1735520362854004,0,-0.9848246574401855|-5.688037063578122e-08,1,-1.0023819108084808e-08|Running
-355.5257873535156,377.7805480957031,-229.56793212890625|0.1735520362854004,0,-0.9848246574401855|-3.4873739451768415e-08,1,-6.145671083146453e-09|Running
-355.4216613769531,377.8830261230469,-230.1588134765625|0.1735520362854004,0,-0.9848246574401855|-1.2885909228543824e-08,1,-2.27083640780279e-09|Running
-355.3175354003906,377.93096923828125,-230.74969482421875|0.1735520362854004,0,-0.9848246574401855|9.083158225564603e-09,1,1.6006915792843301e-09|Freefall
-355.2134094238281,377.9244384765625,-231.340576171875|0.1735520362854004,0,-0.9848246574401855|3.10334691278058e-08,1,5.468914210382536e-09|Freefall
-355.1092834472656,377.8634033203125,-231.93145751953125|0.1735520362854004,0,-0.9848246574401855|5.296503147178555e-08,1,9.333833261848667e-09|Freefall
-355.0051574707031,377.74786376953125,-232.5223388671875|0.1735520362854004,0,-0.9848246574401855|7.487788167281906e-08,1,1.3195454506842452e-08|Freefall
-354.9138488769531,377.72784423828125,-233.0403594970703|0.175261452794075,0,-0.9845219254493713|7.21502146916464e-08,1,1.284395079181877e-08|Landed
-354.83831787109375,377.72747802734375,-233.4657745361328|0.175261452794075,0,-0.9845219254493713|4.4828748713143796e-08,1,7.98027066650775e-09|Landed
-354.76153564453125,377.72747802734375,-233.8970489501953|0.17697297036647797,0,-0.9842157363891602|1.7475301206104632e-08,1,3.142254012544754e-09|Running
-354.68426513671875,378.6031494140625,-234.33082580566406|0.17871087789535522,0,-0.9839016199111938|-9.88718529271182e-09,1,-1.7958580178500938e-09|Running
-354.60235595703125,379.427734375,-234.7890167236328|0.1802683174610138,0,-0.9836174249649048|-3.725590502767773e-08,1,-6.827918230811747e-09|Running
-354.51275634765625,380.19781494140625,-235.2861785888672|0.18191660940647125,0,-0.983314037322998|-6.463405100021191e-08,1.0000001192092896,-1.1957530077211231e-08|Running
-354.4150390625,380.91339111328125,-235.8222198486328|0.1836233288049698,0,-0.9829966425895691|-9.20250826652591e-08,1,-1.7190243895015556e-08|Running
-354.30859375,381.574462890625,-236.3961181640625|0.185332253575325,0,-0.9826760292053223|-9.535992973042084e-08,1.0000001192092896,-1.7984840283702397e-08|Running
-354.1975402832031,382.1810607910156,-236.9851531982422|0.18707284331321716,0,-0.9823460578918457|-7.461316187118427e-08,1,-1.420893980252913e-08|Running
-354.1134338378906,382.6002197265625,-237.42721557617188|0.18722569942474365,0,-0.9823169112205505|-5.90986601878285e-08,1,-1.1263970201014217e-08|Running
-353.97296142578125,383.230712890625,-238.16390991210938|0.18728458881378174,0,-0.9823057055473328|-3.327512843043223e-08,1,-6.344174519057333e-09|Running
