Replay 1|true|1226
144,147.79537963867188,-135|-1.726377951515086e-16,-5.874723996157627e-08,-1|1.0771922243080212e-09,1,-5.874723996157627e-08|Running
144,147.79537963867188,-135|-1.7975296455267334e-16,-6.332469126846263e-08,-1|1.1611245298581707e-09,1,-6.332469126846263e-08|Running
144,147.79537963867188,-135|-1.8788182063346465e-16,-6.789822748487495e-08,-1|1.2449851150009295e-09,1,-6.789822748487495e-08|Running
144,147.79537963867188,-135|-1.9566074622792153e-16,-7.246785571624059e-08,-1|1.3287742017809023e-09,1,-7.246785571624059e-08|Running
144,147.79537963867188,-135|-2.0396113971542164e-16,-7.703358306798691e-08,-1|1.4124915681534844e-09,1,-7.703358306798691e-08|Running
144,147.79537963867188,-135|-2.1246384172841752e-16,-8.159540243468655e-08,-1|1.4961374361632807e-09,1,-8.159540243468655e-08|Running
144,147.79537963867188,-135|-2.2150663312440642e-16,-8.615332802719422e-08,-1|1.5797119168325935e-09,1,-8.615332802719422e-08|Running
144,147.79537963867188,-135|-2.3126098513564814e-16,-9.070735984550993e-08,-1|1.663215010161423e-09,1,-9.070735984550993e-08|Running
144,147.79537963867188,-135|-2.410626651128177e-16,-9.525749788963367e-08,-1|1.746646716149769e-09,1,-9.525749788963367e-08|Running
143.99217224121094,147.79537963867188,-135.23219299316406|-0.003084781812503934,-3.017596839072212e-08,-0.999995231628418|2.9041982152477885e-09,1,-3.0185070443167206e-08|Running
143.9745330810547,147.79537963867188,-135.75857543945312|-0.007107005454599857,1.205058168807227e-07,-0.9999747276306152|3.958484651178651e-09,1,1.2048072051129566e-07|Running
143.95556640625,147.79537963867188,-136.32412719726562|-0.010787665843963623,1.271352374487833e-07,-0.9999418258666992|2.723409942007038e-09,1,1.271132674673936e-07|Running
143.94520568847656,147.79537963867188,-136.8906707763672|-0.012347540818154812,1.0839732311751504e-07,-0.9999237656593323|2.116322672662818e-09,1,1.0837945296771068e-07|Running
143.9563751220703,147.79537963867188,-137.4571533203125|-0.009140808135271072,1.3365507811613497e-07,-0.9999582171440125|2.790728981238999e-09,1,1.3363515449782426e-07|Running
143.9853057861328,147.79537963867188,-138.0230255126953|-0.0018346634460613132,2.9275909696480085e-07,-0.9999983310699463|5.805037783801481e-09,1,2.927489504145342e-07|Running
144.02528381347656,147.79537963867188,-138.58827209472656|0.007594582624733448,5.684640314029821e-07,-0.9999711513519287|7.483015096454437e-09,1,5.685373025698937e-07|Running
144.06675720214844,147.79537963867188,-139.15341186523438|0.016671549528837204,6.632761824221234e-07,-0.9998610019683838|3.582497409837515e-09,1,6.634281248807383e-07|Running
144.10824584960938,147.79537963867188,-139.71853637695312|0.02462790347635746,5.466756647365401e-07,-0.999696671962738|-1.7216987835411146e-09,1,5.467991286423057e-07|Running
144.1497344970703,147.79537963867188,-140.28366088867188|0.03148701414465904,3.9514978311672166e-07,-0.9995041489601135|-4.712562784447982e-09,1,3.9519733263659873e-07|Running
144.1969451904297,147.79537963867188,-140.84837341308594|0.038473278284072876,3.4268245485691295e-07,-0.9992596507072449|-6.8687540100143e-09,1,3.4267188198100484e-07|Running
144.25656127929688,147.79537963867188,-141.411865234375|0.04714140668511391,4.6810447429379565e-07,-0.9988882541656494|-1.2927039882981717e-08,1,4.6801540065644076e-07|Running
144.32666015625,147.79537963867188,-141.9741668701172|0.05727073550224304,6.892576038808329e-07,-0.9983586668968201|-2.4687386357413743e-08,1,6.889745804983249e-07|Running
144.4010772705078,147.79537963867188,-142.53591918945312|0.06741182506084442,7.907171379883948e-07,-0.997725248336792|-3.5504726270119136e-08,1,7.901210210548015e-07|Running
144.47601318359375,147.79537963867188,-143.09762573242188|0.07650715857744217,6.97348809808318e-07,-0.9970690608024597|-3.7950609765857735e-08,1,6.964866656744562e-07|Running
144.5509490966797,147.79537963867188,-143.65933227539062|0.08437845855951309,5.256391091279511e-07,-0.9964337944984436|-3.358180933332733e-08,1,5.246766363597999e-07|Running
144.62588500976562,147.79537963867188,-144.22103881835938|0.09114561229944229,3.795447867105395e-07,-0.9958375692367554|-2.746607030701398e-08,1,3.7861732948840654e-07|Running
144.70079040527344,147.79537963867188,-144.78274536132812|0.09695639461278915,2.768521198959206e-07,-0.995288610458374|-2.19405364987324e-08,1,2.7602530394688074e-07|Running
144.7757568359375,147.79537963867188,-145.34445190429688|0.10194501280784607,2.0441325432329904e-07,-0.9947900176048279|-1.732179732982786e-08,1,2.0370870856822876e-07|Running
144.8507080078125,147.79537963867188,-145.90615844726562|0.10622779279947281,1.5121618446301e-07,-0.9943417906761169|-1.3512445384833427e-08,1,1.5063308467233583e-07|Running
144.9256591796875,147.79537963867188,-146.46786499023438|0.10990476608276367,1.3675720822448056e-07,-0.993942141532898|-1.2830234652483341e-08,1,1.3617201943816326e-07|Running
