Replay 1|true|1226
145.00057983398438,147.79537963867188,-147.02957153320312|0.13334926962852478,1.0266245453749434e-07,-0.9910690784454346|-1.22817658265717e-08,1,1.0193505772804201e-07|Running
145.07553100585938,147.79537963867188,-147.59127807617188|0.13238143920898438,5.696611182770539e-08,-0.9911988377571106|-7.1505250609504856e-09,1,5.651692802643993e-08|Running
145.15048217773438,147.79537963867188,-148.15298461914062|0.13226953148841858,1.1408046063365873e-08,-0.9912137985229492|-2.140349009138731e-09,1,1.1223555418382603e-08|Running
145.22543334960938,147.79537963867188,-148.71469116210938|0.13225659728050232,-3.410978521856123e-08,-0.9912155270576477|2.8583846400920265e-09,1,-3.4030684048502735e-08|Running
145.30038452148438,147.79537963867188,-149.27639770507812|0.13225509226322174,-7.958870185120759e-08,-0.991215705871582|7.852624328563707e-09,1,-7.924627709599008e-08|Running
145.37533569335938,147.79537963867188,-149.83810424804688|0.13225491344928741,-1.0648155779335866e-07,-0.9912157654762268|1.0913717929383893e-08,1,-1.0596902200177283e-07|Running
145.45028686523438,147.79537963867188,-150.39981079101562|0.13225489854812622,-7.773365240382191e-08,-0.9912157654762268|8.187929445568898e-09,1,-7.73300428136281e-08|Running
145.52523803710938,147.79537963867188,-150.96151733398438|0.13225489854812622,-4.9010292713091985e-08,-0.9912157654762268|5.464471541927196e-09,1,-4.871552050644823e-08|Running
145.61892700195312,147.79537963867188,-151.6636505126953|0.13225489854812622,-1.3140589061322316e-08,-0.9912157654762268|2.0634196573610097e-09,1,-1.2981726804639493e-08|Running
145.67514038085938,147.79537963867188,-152.08493041992188|0.13225489854812622,8.362853520793578e-09,-0.9912157654762268|2.453162152582511e-11,1,8.44023961832363e-09|Running
145.75009155273438,147.79537963867188,-152.64663696289062|0.13225489854812622,3.7012686249227045e-08,-0.9912157654762268|-2.6919537710057284e-09,1,3.698151829212293e-08|Running
145.82504272460938,147.79537963867188,-153.20834350585938|0.13225489854812622,6.563805499126829e-08,-0.9912157654762268|-5.406119552020527e-09,1,6.549841913283672e-08|Running
145.89999389648438,147.79537963867188,-153.77005004882812|0.13225486874580383,9.423897040505835e-08,-0.9912157654762268|-8.11796496691386e-09,1,9.3990969673996e-08|Running
145.97494506835938,147.79537963867188,-154.33175659179688|0.13225486874580383,1.2281546446502034e-07,-0.9912157654762268|-1.0827494456577824e-08,1,1.224591841264555e-07|Running
146.04989624023438,147.79537963867188,-154.89346313476562|0.13225486874580383,7.978545824016692e-08,-0.9912157654762268|-7.144782987467124e-09,1,7.953921965508925e-08|Running
146.12484741210938,147.79537963867188,-155.45516967773438|0.13225486874580383,3.679221194374804e-08,-0.9912157654762268|-3.465217890408212e-09,1,3.665591563617454e-08|Running
146.19979858398438,147.79537963867188,-156.01687622070312|0.13225486874580383,-6.164304178213342e-09,-0.9912157654762268|2.1120395710116924e-10,1,-6.1907527992843825e-09|Running
146.27474975585938,147.79537963867188,-156.57858276367188|0.13225486874580383,-4.908412165605114e-08,-0.9912157654762268|3.884484733873705e-09,1,-4.9000814072996945e-08|Running
146.34970092773438,147.79537963867188,-157.14028930664062|0.13225486874580383,-9.196727290827766e-08,-0.9912157654762268|7.554628034256439e-09,1,-9.177430371209994e-08|Running
146.42465209960938,147.79537963867188,-157.70199584960938|0.13225486874580383,-9.832906044948686e-08,-0.9912157654762268|8.17598611035919e-09,1,-9.810956669298321e-08|Running
146.49960327148438,147.79537963867188,-158.26370239257812|0.13225486874580383,-6.821625930797381e-08,-0.9912157654762268|5.75246739131785e-09,1,-6.80532679098178e-08|Running
146.57455444335938,147.79537963867188,-158.82540893554688|0.13225486874580383,-3.8129176260781605e-08,-0.9912157654762268|3.3310190161728315e-09,1,-3.802263393026806e-08|Running
146.64950561523438,147.79537963867188,-159.38711547851562|0.13225486874580383,-8.067788215271321e-09,-0.9912157654762268|9.116402632791676e-10,1,-8.01764876712241e-09|Running
146.72445678710938,147.79537963867188,-159.94882202148438|0.11458875983953476,2.199109161438173e-08,-0.9934130311012268|-1.6485415255118596e-09,1,2.194675019495662e-08|Running
146.79086303710938,147.79537963867188,-160.51156616210938|0.061395492404699326,5.2036632780527725e-08,-0.9981135129928589|-2.8898869963711604e-09,1,5.1957222524379176e-08|Running
146.83010864257812,147.79537963867188,-161.07676696777344|0.002093367278575897,8.19697945075859e-08,-0.9999977946281433|-2.2166122271016775e-09,1,8.196533229920533e-08|Running
146.83633422851562,147.79537963867188,-161.6432647705078|-0.06314034014940262,1.1166048352606595e-07,-0.998004674911499|7.235341215050539e-10,1,1.1183795578517675e-07|Running
146.80609130859375,147.79537963867188,-162.20896911621094|-0.12221720814704895,8.846649279803387e-08,-0.9925034046173096|3.2374838365711867e-09,1,8.873603718484446e-08|Running
146.7418670654297,147.79537963867188,-162.7718505859375|-0.18086335062980652,4.787112573012564e-08,-0.9835082292556763|3.81116604941667e-09,1,4.797298558401053e-08|Running
146.6443634033203,147.79537963867188,-163.32994079589844|-0.21575967967510223,7.432306770027708e-09,-0.9764465093612671|8.373089999125227e-10,1,7.4265709137932845e-09|Running
146.52508544921875,147.79537963867188,-163.8838653564453|-0.22154957056045532,-3.294670491982288e-08,-0.9751490950584412|-3.793829694842543e-09,1,-3.2924383219778974e-08|Running
146.40008544921875,147.79537963867188,-164.4365692138672|-0.22154958546161652,-7.329120421672997e-08,-0.9751490950584412|-8.465021572590103e-09,1,-7.323575346163125e-08|Running
146.27455139160156,147.79537963867188,-164.9891815185547|-0.22154958546161652,-1.136012244273843e-07,-0.9751490950584412|-1.3132216203359803e-08,1,-1.1351267659165387e-07|Running
146.1490020751953,147.79537963867188,-165.5417938232422|-0.22154958546161652,-8.188660416408311e-08,-0.9751490950584412|-9.470333850458701e-09,1,-8.182180266658179e-08|Running
146.02345275878906,147.79537963867188,-166.0944061279297|-0.22154958546161652,-5.019909821157853e-08,-0.9751490950584412|-5.811584546933091e-09,1,-5.015801463059688e-08|Running
145.8351287841797,147.79537963867188,-166.92332458496094|-0.22154958546161652,-2.718608005380929e-09,-0.9751490950584412|-3.2932856441902914e-10,1,-2.7130675483988398e-09|Running
145.77235412597656,147.79537963867188,-167.1996307373047|-0.22154958546161652,1.3094694217841152e-08,-0.9751490950584412|1.4965266803557142e-09,1,1.3088397921023898e-08|Running
145.6468048095703,147.79537963867188,-167.7522430419922|-0.22154958546161652,4.470102510367724e-08,-0.9751490950584412|5.145894377278637e-09,1,4.467106862193759e-08|Running
145.52125549316406,147.79537963867188,-168.3048553466797|-0.22154958546161652,7.628033671380763e-08,-0.9751490950584412|8.792139460922499e-09,1,7.62267475806766e-08|Running
145.3957061767578,147.79537963867188,-168.8574676513672|-0.22154958546161652,1.0783266191083385e-07,-0.9751490950584412|1.2435266150134794e-08,1,1.077554472317388e-07|Running
145.27015686035156,147.79537963867188,-169.4100799560547|-0.21575936675071716,8.733778855685159e-08,-0.9764465689659119|9.666651479278698e-09,1,8.730853551242035e-08|Running
145.1474151611328,147.79537963867188,-169.96328735351562|-0.21575936675071716,4.952114451839407e-08,-0.9764465689659119|5.617292853088429e-09,1,4.947445475522727e-08|Running
145.025146484375,147.79537963867188,-170.51663208007812|-0.21575936675071716,1.1736784877314221e-08,-0.9764465689659119|1.5713988998911077e-09,1,1.1672672606266588e-08|Running
144.87232971191406,147.79537963867188,-171.20831298828125|-0.19834305346012115,-3.553429905878147e-08,-0.9801326394081116|-3.6891432131369584e-09,1,-3.55080338465541e-08|Running
144.78663635253906,147.79537963867188,-171.62457275390625|-0.12221680581569672,-6.399222485242717e-08,-0.9925034046173096|-3.9705669863110415e-09,1,-6.39866399865241e-08|Running
144.71096801757812,147.79537963867188,-172.18594360351562|-0.05129189044237137,-1.0185455323608039e-07,-0.9986836910247803|-3.443474616560138e-09,1,-1.0181194909364422e-07|Running
144.6758575439453,147.79537963867188,-172.7513427734375|-0.03350558131933212,-8.726062361574805e-08,-0.9994385242462158|-3.4405556181837937e-09,1,-8.71943015567922e-08|Running
144.6552734375,147.79537963867188,-173.317626953125|-0.027573902159929276,-5.521425094912047e-08,-0.9996197819709778|-3.991182939699911e-09,1,-5.512515954819719e-08|Running
144.63131713867188,147.79537963867188,-174.16729736328125|-0.027573904022574425,-7.1959980196822926e-09,-0.9996197819709778|-5.5916782315534874e-09,1,-7.044492100760635e-09|Running
144.62350463867188,147.79537963867188,-174.45053100585938|-0.027573904022574425,8.796416040013355e-09,-0.9996197819709778|-6.1247216187609865e-09,1,8.968708442580464e-09|Running
144.60787963867188,147.79537963867188,-175.01699829101562|-0.027573904022574425,4.076075299508375e-08,-0.9996197819709778|-7.190125383971235e-09,1,4.097459438412443e-08|Running
144.59225463867188,147.79537963867188,-175.58346557617188|-0.027573904022574425,7.269779445095992e-08,-0.9996197819709778|-8.25462098674734e-09,1,7.295314929933738e-08|Running
144.57662963867188,147.78103637695312,-176.1497039794922|-0.027573904022574425,1.0460755817121026e-07,-0.9996197819709778|-9.318208427089303e-09,1,1.0490438739907404e-07|Running
144.56106567382812,147.7384796142578,-176.71417236328125|-0.02164154313504696,1.0055745747195033e-07,-0.9997658133506775|-8.236837878428105e-09,1,1.0075931555775242e-07|Running
144.54840087890625,147.6737518310547,-177.27694702148438|-0.01570907048881054,6.055166323903904e-08,-0.9998766183853149|-4.3670587146493745e-09,1,6.062774104975688e-08|Running
144.53689575195312,147.5411834716797,-177.97769165039062|-0.009775415062904358,1.055558040974347e-08,-0.9999521970748901|8.522406669264626e-10,1,1.0547752893330653e-08|Running
144.52955627441406,147.42987060546875,-178.6781463623047|-0.009775341488420963,-3.938708914574818e-08,-0.9999521970748901|6.42527808736304e-09,1,-3.9451784061839135e-08|Running
144.5268096923828,147.38780212402344,-178.9583282470703|-0.009775341488420963,-5.9349215320025905e-08,-0.9999521970748901|8.652827787614115e-09,1,-5.943664049823383e-08|Running
144.51856994628906,147.26173400878906,-179.7988739013672|-0.009775341488420963,-1.0175759967978593e-07,-0.9999521970748901|1.313841480055089e-08,1,-1.0189089749701452e-07|Running
144.5158233642578,147.21971130371094,-180.0790557861328|-0.009775341488420963,-8.684316554763427e-08,-0.9999521970748901|1.0980856224307445e-08,1,-8.695465680830239e-08|Running
144.5103302001953,147.1356658935547,-180.63941955566406|-0.009775341488420963,-5.7033417988350266e-08,-0.9999521970748901|6.6685021948842405e-09,1,-5.7101335215747895e-08|Running
144.5048370361328,147.05162048339844,-181.1997833251953|-0.009775341488420963,-2.7249157596997975e-08,-0.9999521970748901|2.3598318854567424e-09,1,-2.7273529212834546e-08|Running
144.4993438720703,146.9675750732422,-181.76014709472656|-0.009775341488420963,2.509639163150723e-09,-0.9999521970748901|-1.9451582566887282e-09,1,2.5287747451585574e-09|Running
144.4938507080078,146.88352966308594,-182.3205108642578|-0.009775341488420963,3.224299405246711e-08,-0.9999521970748901|-6.24647134017664e-09,1,3.2305599972914933e-08|Running
144.4883575439453,146.7994842529297,-182.88087463378906|-0.009775341488420963,6.195092794314405e-08,-0.9999521970748901|-1.0544109585453043e-08,1,6.205696934102889e-08|Running
144.4828643798828,146.71543884277344,-183.4412384033203|-0.009775341488420963,9.163346703644493e-08,-0.9999521970748901|-1.4838077433410035e-08,1,9.178290127920263e-08|Running
144.4773712158203,146.6456298828125,-184.00352478027344|-0.009775341488420963,1.2129062554322445e-07,-0.9999521970748901|-1.9128377104493666e-08,1,1.214834242091456e-07|Running
144.47183227539062,146.60691833496094,-184.56871032714844|-0.009775341488420963,7.963139125877206e-08,-0.9999521970748901|-1.2332996845998423e-08,1,7.975575755381215e-08|Running
144.4621124267578,146.57481384277344,-185.55978393554688|-0.009775341488420963,6.813414277218044e-09,-0.9999521970748901|-4.5504811030383507e-10,1,6.818188236223932e-09|Running
144.46072387695312,146.5736083984375,-185.701416015625|-0.009775341488420963,-3.580258756130661e-09,-0.9999521970748901|1.2403517102299588e-09,1,-3.5925553643068042e-09|Running
144.45516967773438,146.5791473388672,-186.26805114746094|-0.009775341488420963,-4.513273310635668e-08,-0.9999521970748901|8.0183291117919e-09,1,-4.521327312545509e-08|Running
144.44683837890625,146.58827209472656,-187.11802673339844|-0.009775341488420963,-1.0739483968791319e-07,-0.9999521970748901|1.8174437954598943e-08,1,-1.0757764101754219e-07|Running
144.44406127929688,146.59010314941406,-187.40135192871094|-0.009775341488420963,-9.33890405008242e-08,-0.9999521970748901|1.5730321933915548e-08,1,-9.354727836807797e-08|Running
144.43850708007812,146.56634521484375,-187.96717834472656|-0.009775341488420963,-6.539539754157886e-08,-0.9999521970748901|1.08452207214782e-08,1,-6.550454401121897e-08|Running
144.42889404296875,146.4824676513672,-188.95518493652344|-0.009775341488420963,-1.6464097640778164e-08,-0.9999521970748901|2.3063297938108462e-09,1,-1.6487430087863686e-08|Running
144.4248046875,146.4249267578125,-189.37449645996094|0.008027485571801662,4.549451926294523e-09,-0.9999677538871765|-1.0561425067834307e-09,1,4.541119924539316e-09|Running
144.42677307128906,146.3367462158203,-189.79441833496094|0.01396084576845169,2.5569836026306803e-08,-0.9999025464057922|-4.736347314349132e-09,1,2.550619804253529e-08|Running
144.4320831298828,146.2207489013672,-190.2145538330078|0.013960807584226131,4.657674423924618e-08,-0.9999025464057922|-8.387286420941109e-09,1,4.6464180059047067e-08|Running
144.43988037109375,146.124267578125,-190.7747344970703|0.01396135427057743,7.456502260083653e-08,-0.9999025464057922|-1.3251596264751697e-08,1,7.438725901920407e-08|Running
144.44769287109375,146.0388641357422,-191.3349151611328|0.019894633442163467,1.025554254852068e-07,-0.9998020529747009|-1.8552915648228918e-08,1,1.0220654900194859e-07|Running
144.4583282470703,145.94732666015625,-191.89402770996094|0.019894633442163467,1.1259639620675443e-07,-0.9998020529747009|-2.0205771278369866e-08,1,1.1221661821991802e-07|Running
144.46937561035156,145.84017944335938,-192.45033264160156|0.01989438571035862,6.887527348453659e-08,-0.9998021125793457|-1.2251927472561874e-08,1,6.864511448156918e-08|Running
144.48031616210938,145.7047882080078,-192.9995880126953|0.025826800614595413,2.5150249882699427e-08,-0.9996664524078369|-4.712021883790385e-09,1,2.5036905881847815e-08|Running
144.493896484375,145.52841186523438,-193.54368591308594|0.02582634799182415,-1.8537404500307275e-08,-0.9996664524078369|3.2282285733487015e-09,1,-1.8460189821212225e-08|Running
144.50787353515625,145.35458374023438,-194.0845489501953|0.025826288387179375,-6.218773052069082e-08,-0.9996664524078369|1.1161685797844711e-08,1,-6.19201188101215e-08|Running
144.5218505859375,145.1846466064453,-194.62496948242188|0.02582683227956295,-1.058007725873722e-07,-0.9996664524078369|1.9088401970179802e-08,1,-1.053429130593031e-07|Running
144.53932189941406,144.97232055664062,-195.30047607421875|0.02582618035376072,-7.330532270088952e-08,-0.9996664524078369|1.326790943778633e-08,1,-7.298700666069635e-08|Running
144.54954528808594,144.82447814941406,-195.69625854492188|0.025826560333371162,-5.382471002235434e-08,-0.9996664524078369|9.7786649888576e-09,1,-5.359003552030117e-08|Running
144.56298828125,144.5796661376953,-196.21705627441406|0.02582661062479019,-2.7869981877870487e-08,-0.9996664524078369|5.1297806002992274e-09,1,-2.7746752451207612e-08|Running
144.57571411132812,144.28036499023438,-196.70941162109375|0.02582605369389057,-1.9374366555524603e-09,-0.9996664524078369|4.84848827753126e-10,1,-1.925557269188971e-09|Running
144.5886688232422,143.9789581298828,-197.21070861816406|0.025826163589954376,2.3972951623818517e-08,-0.9996664524078369|-4.15610079684825e-09,1,2.3873578669508788e-08|Running
144.60614013671875,143.8022918701172,-197.88670349121094|0.025827141478657722,5.632983146597326e-08,-0.9996664524078369|-9.951741652969304e-09,1,5.6091518985113e-08|Running
144.61697387695312,143.77719116210938,-198.30612182617188|0.01989474892616272,7.570939430934231e-08,-0.9998020529747009|-1.3093125694751961e-08,1,7.54638520561457e-08|Running
144.62872314453125,143.77455139160156,-198.8719482421875|0.01989404298365116,1.0152949414532486e-07,-0.9998021125793457|-1.772214197615085e-08,1,1.0119695303956178e-07|Running
144.6400146484375,143.78231811523438,-199.4384765625|0.013961032964289188,1.0993024091021653e-07,-0.9999025464057922|-1.8762408515726747e-08,1,1.096789858934244e-07|Running
144.64842224121094,143.78799438476562,-200.00506591796875|0.013960612937808037,6.622873627293302e-08,-0.9999025464057922|-1.1453671788785869e-08,1,6.607527325286355e-08|Running
144.65635681152344,143.79132080078125,-200.5716552734375|0.00802711583673954,2.2605060934210996e-08,-0.9999677538871765|-3.758938937892253e-09,1,2.257561426688426e-08|Running
144.66139221191406,143.7931671142578,-201.1383056640625|0.002092801034450531,-2.0939324940627557e-08,-0.9999977946281433|3.671314363629108e-09,1,-2.0931688382574976e-08|Running
144.6630859375,143.794189453125,-201.7049560546875|-0.003840617835521698,-6.440303224053423e-08,-0.9999926090240479|1.0837035269162243e-08,1,-6.444512479220066e-08|Running
144.66139221191406,143.79473876953125,-202.2716064453125|-0.003840662771835923,-1.0782961368249744e-07,-0.9999926090240479|1.812078309626486e-08,1,-1.0790000715132919e-07|Running
144.65921020507812,143.79502868652344,-202.8382568359375|-0.003841034136712551,-8.073589441437434e-08,-0.9999926090240479|1.3559447786803958e-08,1,-8.07885740528036e-08|Running
144.65701293945312,143.79519653320312,-203.4049072265625|-0.009774928912520409,-5.369346212091841e-08,-0.9999521970748901|8.522409444822188e-09,1,-5.37793347632487e-08|Running
144.65196228027344,143.78085327148438,-203.97132873535156|-0.01570863090455532,-2.6703199651478826e-08,-0.9998766183853149|3.6496168309696486e-09,1,-2.6763832039478075e-08|Running
144.64356994628906,143.74966430664062,-204.53704833984375|-0.021642426028847694,2.340113935961341e-10,-0.9997657537460327|-1.058903520423371e-09,1,2.569888468695325e-10|Running
144.6318817138672,143.69029235839844,-205.10000610351562|-0.027574582025408745,2.711728264159774e-08,-0.999619722366333|-5.6030899919790045e-09,1,2.7282160530717192e-08|Running
144.61692810058594,143.6052703857422,-205.66055297851562|-0.03350609913468361,5.394576163553211e-08,-0.9994385242462158|-9.98293980813969e-09,1,5.431074256989632e-08|Running
144.5986328125,143.52110290527344,-206.22067260742188|-0.039434775710105896,8.071858559333123e-08,-0.9992221593856812|-1.4198530351450245e-08,1,8.134177420515698e-08|Running
144.57704162597656,143.43711853027344,-206.78067016601562|-0.04536478593945503,1.0743487166564591e-07,-0.9989705085754395|-1.8249583177976092e-08,1,1.0837432995458585e-07|Running
144.55210876464844,143.35313415527344,-207.34051513671875|-0.04536478966474533,9.921298982362714e-08,-0.9989705085754395|-1.685021011610388e-08,1,1.0008043460629779e-07|Running
144.526611328125,143.28338623046875,-207.90225219726562|-0.04536360502243042,5.6097658074349965e-08,-0.9989705681800842|-9.525087385497955e-09,1,5.658800716901169e-08|Running
144.50103759765625,143.23036193847656,-208.4658203125|-0.04536360502243042,1.301911556339519e-08,-0.9989705681800842|-2.206099525281502e-09,1,1.3132711806917996e-08|Running
144.47535705566406,143.20852661132812,-209.03135681152344|-0.04536360502243042,-3.0022672348195556e-08,-0.9989705681800842|5.1066395556631505e-09,1,-3.0285505658866896e-08|Running
144.4496612548828,143.18128967285156,-209.59739685058594|-0.04536360502243042,-7.302773497031012e-08,-0.9989705681800842|1.2413136296629546e-08,1,-7.366667631458768e-08|Running
144.42396545410156,143.18328857421875,-210.1634979248047|-0.04536395147442818,-9.872898942830943e-08,-0.9989705085754395|1.677901018126704e-08,1,-9.959268254533526e-08|Running
144.3982696533203,143.18809509277344,-210.72959899902344|-0.03943613916635513,-7.25962081560283e-08,-0.9992220997810364|1.2932457771341888e-08,1,-7.316312888860921e-08|Running
144.37542724609375,143.19131469726562,-211.29580688476562|-0.03350456804037094,-4.645374573897243e-08,-0.9994385838508606|8.933123574195179e-09,1,-4.677930931507035e-08|Running
144.35594177246094,143.1931610107422,-211.8621368408203|-0.02757379040122032,-2.0302575620689822e-08,-0.9996197819709778|4.780952078675682e-09,1,-2.044217772834145e-08|Running
144.33981323242188,143.19418334960938,-212.42857360839844|-0.01570756733417511,5.8855094131615715e-09,-0.9998766183853149|5.974423178400912e-10,1,5.876849673569495e-09|Running
144.3299102783203,143.19473266601562,-212.99514770507812|-0.0157095268368721,3.2051207909944424e-08,-0.9998766183853149|-3.8245637767886365e-09,1,3.211525267943216e-08|Running
144.32098388671875,143.1950225830078,-213.56173706054688|-0.009775016456842422,5.822276349931599e-08,-0.9999521970748901|-8.43334202471624e-09,1,5.8307985995043055e-08|Running
144.31494140625,143.1951904296875,-214.12838745117188|-0.0038415109738707542,8.43992040699959e-08,-0.9999926090240479|-1.3193639958331005e-08,1,8.445051236094514e-08|Running
144.31224060058594,143.19528198242188,-214.69503784179688|-0.0038415200542658567,1.1055328741349513e-07,-0.9999926090240479|-1.7604337543275506e-08,1,1.106217339952309e-07|Running
144.31004333496094,143.19534301757812,-215.26168823242188|-0.0038415109738707542,1.0119713067524572e-07,-0.9999926090240479|-1.6279161130228204e-08,1,1.0126041161129251e-07|Running
144.30784606933594,143.19534301757812,-215.82833862304688|-0.0038415200542658567,5.637621214305e-08,-0.9999926090240479|-9.22545417836318e-09,1,5.641206612949645e-08|Running
144.30564880371094,143.18106079101562,-216.39479064941406|-0.0038415109738707542,1.1593574100743353e-08,-0.9999926090240479|-2.1777739611650304e-09,1,1.16020251184068e-08|Running
144.30345153808594,143.13856506347656,-216.95950317382812|-0.003840555902570486,-3.3150815426097324e-08,-0.9999926090240479|4.863874192295725e-09,1,-3.3169740731864295e-08|Running
144.30125427246094,144.01422119140625,-217.52395629882812|0.002092132344841957,-7.789894596044178e-08,-0.9999977946281433|1.2096217361090567e-08,1,-7.787381406387794e-08|Jumping
144.3019561767578,144.8387908935547,-218.09030151367188|0.002092221286147833,-1.226088386374613e-07,-0.9999977946281433|1.9125852901424878e-08,1,-1.2256909087682288e-07|Freefall
144.30311584472656,145.60887145996094,-218.65695190429688|0.0020922566764056683,-1.3281177757562546e-07,-0.9999977946281433|2.0756356633455653e-08,1,-1.3276864763156482e-07|Freefall
144.3042755126953,146.32444763183594,-219.22360229492188|0.0020922606345266104,-1.0855197984938059e-07,-0.9999977946281433|1.6994647467072355e-08,1,-1.0851666587541331e-07|Freefall
144.30543518066406,146.9855194091797,-219.79025268554688|0.002093035029247403,-8.431290865473784e-08,-0.9999977946281433|1.323624410076718e-08,1,-8.428538933458185e-08|Freefall
144.3065948486328,147.59210205078125,-220.35690307617188|0.0020924280397593975,-6.009455688626986e-08,-0.9999977946281433|9.480915608151008e-09,1,-6.007484643077987e-08|Freefall
144.30776977539062,148.14418029785156,-220.92355346679688|-0.003294497262686491,-3.3739244287289694e-08,-0.9999945759773254|5.407864378526028e-09,1,-3.37572423347865e-08|Freefall
144.3060760498047,148.64175415039062,-221.49020385742188|-0.0036238012835383415,-2.9052298344822702e-09,-0.9999934434890747|1.7483011705010654e-09,1,-2.9115843069860148e-09|Freefall
144.3039093017578,149.0848388671875,-222.05685424804688|-0.009202522225677967,3.059593112197945e-08,-0.9999576807022095|-1.849998154668242e-09,1,3.061425246642102e-08|Freefall
