Mt YNTKTS|true|13374
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-2.0952217738567924e-08,-0.07727475464344025|2.1006236750054086e-08,1,-1.137922742144859e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.997009813785553,-5.47207257284299e-08,-0.07727475464344025|5.486604592874755e-08,1,-2.425077083589855e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9967337250709534,-8.845146481917254e-08,-0.08075785636901855|8.869572099001743e-08,1,-5.628136845459153e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9964455366134644,-1.1372362962447369e-07,-0.08423949778079987|1.1404737421116806e-07,1,-9.690539481965743e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9962968826293945,-6.919218265011295e-08,-0.08597945421934128|6.940170038660654e-08,1,-5.52275614129627e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959904551506042,-3.361050815442468e-08,-0.08945953845977783|3.371864565338001e-08,1,-3.0245533855222106e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711893081665,1.915830383225625e-09,-0.09815438836812973|-1.935489102322663e-09,1,-1.0506578246305409e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,3.741180165661717e-08,-0.09815486520528793|-3.755522470783035e-08,1,3.8636557841975616e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,7.287742675998743e-08,-0.09815486520528793|-7.314451266893229e-08,1,8.77374395358288e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,1.083127330048228e-07,-0.09815486520528793|-1.0870337519008899e-07,1,1.3679636312602383e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,8.994456379696203e-08,-0.09815486520528793|-9.026642544540664e-08,1,1.1616266837322087e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,5.3675357492011244e-08,-0.09815486520528793|-5.386445778299276e-08,1,7.233973975395713e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,1.7437164601119548e-08,-0.09815486520528793|-1.749361189240517e-08,1,2.855435610182866e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-1.8770048626493008e-08,-0.09815486520528793|1.8846140648065557e-08,1,-1.519342290867698e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-5.4946308836179014e-08,-0.09815486520528793|5.515482826012885e-08,1,-5.890365972760492e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-8.205820734019653e-08,-0.09815486520528793|8.236597182076366e-08,1,-9.166170600316548e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-1.1818036682598176e-07,-0.09815486520528793|1.1862035620424649e-07,1,-1.3530628839575343e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-7.270980262319426e-08,-0.09815486520528793|7.297885673551718e-08,1,-8.49128878321892e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-3.636833412201668e-08,-0.09815486520528793|3.650077928796236e-08,1,-4.4637116225487716e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,-9.13262887536348e-09,-0.09815486520528793|9.162687497621391e-09,1,-1.4452981866863723e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711297035217,2.715448133017162e-08,-0.09815486520528793|-2.7260831814146513e-08,1,2.576232005502277e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9948221445083618,7.245561306490345e-08,-0.10163094103336334|-7.274537239254641e-08,1,8.550646857230504e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946432113647461,1.0865583988106664e-07,-0.10336792469024658|-1.0909724323937553e-07,1,1.3834665635314991e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,9.061481875960453e-08,-0.10510600358247757|-9.09885216060502e-08,1,1.2394886228506152e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,5.452879747736006e-08,-0.10510600358247757|-5.476275433125011e-08,1,6.60023369292162e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,1.8473610197133894e-08,-0.10510600358247757|-1.8567936521662887e-08,1,8.105525972634808e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-1.755077327914023e-08,-0.10510600358247757|1.7595954915350376e-08,1,-4.974157197246143e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-5.354437604410123e-08,-0.10510600358247757|5.372894662514227e-08,1,-1.0753902213167521e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9942759871482849,-8.950154040121561e-08,-0.10684235394001007|8.982910060240101e-08,1,-1.7466866841786555e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9942759871482849,-1.0753423396181461e-07,-0.10684235394001007|1.0793852567303475e-07,1,-1.998705867478634e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9942759871482849,-7.189316875155782e-08,-0.10684235394001007|7.21699393579911e-08,1,-1.2760441592263305e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-3.6277203463441765e-08,-0.10510601103305817|3.643402735065138e-08,1,-4.2798031785196144e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-6.916665018508183e-10,-0.10510613024234772|7.265326673611128e-10,1,2.9343599772246876e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,3.4863465003809324e-08,-0.10510613024234772|-3.4950453198234754e-08,1,1.0142372497412566e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,7.03882108155085e-08,-0.10510613024234772|-7.05969540604201e-08,1,1.7344197189572697e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,1.0588260579424968e-07,-0.10510613024234772|-1.0621298685009606e-07,1,2.453983460881659e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,8.843544208048115e-08,-0.10510613024234772|-8.871787571251843e-08,1,1.9882109292268524e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,6.213628012119443e-08,-0.10510613024234772|-6.234041904917831e-08,1,1.3430585532603345e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,1.8341799190579877e-08,-0.10510613024234772|-1.8415557079265454e-08,1,2.687269573531381e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-1.6660107959864945e-08,-0.10510613024234772|1.6690552939735426e-08,1,-5.899087329730435e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9944609999656677,-4.289191224415845e-08,-0.10510613024234772|4.300045119975948e-08,1,-1.2334021581850152e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,-8.658032868424925e-08,-0.10336887836456299|8.681489305217838e-08,1,-2.2298578539192704e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,-1.0415584483780549e-07,-0.10336887836456299|1.0444161091527349e-07,1,-2.648027797036434e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,-6.971371391273351e-08,-0.10336887836456299|6.990713785626212e-08,1,-1.7516235129022562e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,-3.5301017220490394e-08,-0.10336887836456299|3.540218074249424e-08,1,-8.559870035007577e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,-9.177230086976351e-10,-0.10336887836456299|9.26706489323692e-10,1,3.888215097114234e-11|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,3.343619425777433e-08,-0.10336887836456299|-3.351930999428987e-08,1,9.329849115502498e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,6.776075167636009e-08,-0.10336887836456299|-6.79358933552976e-08,1,1.8263219825342958e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,1.0205597789081366e-07,-0.10336887836456299|-1.0232306379975853e-07,1,2.7188935547428628e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9946430921554565,1.0021584273545159e-07,-0.10336887836456299|-1.0047958198811102e-07,1,2.6557458454590233e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9948222637176514,6.228160032151209e-08,-0.10163024067878723|-6.245635120194493e-08,1,1.4624780275696025e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9948222637176514,3.385218150242508e-08,-0.10163024067878723|-3.3956876421825655e-08,1,6.998182033868261e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-1.3495863093737626e-08,-0.09989295154809952|1.3500508266872657e-08,1,-6.294895715797111e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-5.133792768674539e-08,-0.09989283233880997|5.143089865100592e-08,1,-1.6445194095382476e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-8.914768301337972e-08,-0.09989283233880997|8.932889983270798e-08,1,-2.658681719225342e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-1.0871286804103875e-07,-0.09989283233880997|1.089430199385788e-07,1,-3.150965044440568e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-7.364782561580796e-08,-0.09989283233880997|7.380918276567172e-08,1,-2.080461580789006e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-3.8612725461462105e-08,-0.09989283233880997|3.8705341154354755e-08,1,-1.0108739401104572e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,-1.2356032641491765e-08,-0.09989283233880997|1.2397133986041808e-08,1,-2.092837847467166e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,3.1367765274126214e-08,-0.09989283233880997|-3.141244775406449e-08,1,1.1255573140189767e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,5.7579644163752164e-08,-0.09989283233880997|-5.7675755726904754e-08,1,1.925776649258637e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,9.250270238680969e-08,-0.09989283233880997|-9.26673351386853e-08,1,2.9919369204378654e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,1.0933926120060278e-07,-0.09989283233880997|-1.0953897344734287e-07,1,3.4855263120192603e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9949982166290283,6.26882936671791e-08,-0.09989283233880997|-6.280671271952087e-08,1,1.959348683300277e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9951711893081665,3.4718365071739754e-08,-0.09815440326929092|-3.479463472899624e-08,1,9.346983187441538e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9953411221504211,-1.1863605209327943e-08,-0.09641604125499725|1.1856205794913421e-08,1,-6.496437277014877e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9953411221504211,-4.9093348053474983e-08,-0.09641604125499725|4.914225470997735e-08,1,-1.867324739279752e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9955080151557922,-8.629537262550002e-08,-0.09467750042676926|8.639962345569074e-08,1,-2.9981326310490886e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9955080151557922,-1.0571856279284475e-07,-0.09467713534832001|1.0585208087832143e-07,1,-3.6119278679080935e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.995671808719635,-7.190331530182448e-08,-0.09293901920318604|7.200717533351053e-08,1,-2.235880147694047e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959904551506042,-3.8110339772856605e-08,-0.08945944160223007|3.8192439433260006e-08,1,-7.940401114403528e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-4.346253579257109e-09,-0.08946027606725693|4.399241415597999e-09,1,3.9513253780043556e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,2.9388965927523714e-08,-0.08946027606725693|-2.9365065046249583e-08,1,1.583319586551113e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,6.309534228421398e-08,-0.08946027606725693|-6.31005008244756e-08,1,2.7704902816338972e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,9.677290080389866e-08,-0.08946027606725693|-9.680709212034344e-08,1,3.956645233671452e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,1.120890900097038e-07,-0.08946027606725693|-1.1214247308544145e-07,1,4.429471900380122e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,7.241798272161759e-08,-0.08946027606725693|-7.24610842439688e-08,1,2.7658693113608024e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,3.2780793191022894e-08,-0.08946027606725693|-3.281362381812869e-08,1,1.1036899172367498e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.6718045614538823e-08,-0.08946027606725693|1.669803850745666e-08,1,-9.720350080399953e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-3.650276525490881e-08,-0.08946027606725693|3.648788649002199e-08,1,-1.8017034530970477e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-7.604683105455479e-08,-0.08946027606725693|7.604219831591763e-08,1,-3.459975639330537e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.0727165289381446e-07,-0.08946027606725693|1.0727806909471838e-07,1,-4.736451231224237e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-7.414759295443218e-08,-0.08946027606725693|7.415725633563852e-08,1,-3.2157512208641492e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.6248629108872592e-08,-0.08946027606725693|1.6263953739326098e-08,1,-5.576542561058773e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,8.538696860682649e-09,-0.08946027606725693|-8.520947503143361e-09,1,5.803120761704861e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,2.505474938629959e-08,-0.08946027606725693|-2.503538532039329e-08,1,1.3385506036911465e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,5.8065676711294145e-08,-0.08946027606725693|-5.8043081452296974e-08,1,2.8540547702959884e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,9.104837772611063e-08,-0.08946027606725693|-9.102255660309311e-08,1,4.368263084586488e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,1.065015950985071e-07,-0.08946027606725693|-1.0647631398796875e-07,1,5.054821894390216e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,6.946017805375959e-08,-0.08946027606725693|-6.944674169062637e-08,1,3.2627924806405417e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,3.2450429898744915e-08,-0.08946027606725693|-3.24488240721621e-08,1,1.4722955077317579e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,4.713884393936496e-09,-0.08946027606725693|-4.721146140695964e-09,1,1.3042802948781684e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-3.224051070560563e-08,-0.08946027606725693|3.222143618586415e-08,1,-1.6573898919958197e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-7.83890783395691e-08,-0.08946027606725693|7.835524939991956e-08,1,-3.890012312268709e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.1527242804731941e-07,-0.08946027606725693|1.1522681120368361e-07,1,-5.674392067334111e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-8.074879076502839e-08,-0.08946027606725693|8.07184719064935e-08,1,-3.956730942888953e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-4.62546765334082e-08,-0.08946027606725693|4.623963789640584e-08,1,-2.2405384214607693e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.179004449625154e-08,-0.08946027606725693|1.179027986353276e-08,1,-5.25813836915745e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,2.264511955729631e-08,-0.08946027606725693|-2.2629626172943063e-08,1,1.1874441430137495e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,5.705084404894478e-08,-0.08946027606725693|-5.70201059701958e-08,1,2.8992368505953436e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,9.142715384768962e-08,-0.08946027606725693|-9.138118173268595e-08,1,4.609565618096667e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,1.0795479710168365e-07,-0.08946027606725693|-1.079021672012459e-07,1,5.424480864490988e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,7.103334809244188e-08,-0.08946027606725693|-7.099972521018572e-08,1,3.557994343594828e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,3.41434578388089e-08,-0.08946027606725693|-3.4128838422020635e-08,1,1.693104323408079e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-2.7148876480254103e-09,-0.08946027606725693|2.7105306887875713e-09,1,-1.701909724260986e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-3.954172100861797e-08,-0.08946027606725693|3.951840099603032e-08,1,-2.031892654130729e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-7.633707355125807e-08,-0.08946027606725693|7.629481046933506e-08,1,-3.892002276018047e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.1310097391969975e-07,-0.08946027606725693|1.1303977487386874e-07,1,-5.7505209483110775e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-7.956295178246364e-08,-0.08946027606725693|7.952046132686519e-08,1,-4.039069079198043e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-4.6053614255470166e-08,-0.08946027606725693|4.602981817924956e-08,1,-2.32908070607607e-09|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,-1.2572921370690437e-08,-0.08946027606725693|1.2567798357565607e-08,1,-6.20554774233284e-10|Running
-664.4813842773438,61.47896957397461,-443.92547607421875|0.9959903955459595,1.2518813541362306e-08,-0.08946027606725693|-1.2509940638949502e-08,1,6.598805946111952e-10|Running
