serenity|true|5826
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
-801.751708984375,372.30633544921875,-1.5301513671875|0.7515252828598022,-0,0.6597048044204712|0,1,0|Seated
