Mount Jirlah|true|19997
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.9851837158203|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.93983459472656|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.7130889892578|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,197.29739379882812|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,196.73129272460938|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,196.26473999023438|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,195.56472778320312|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,195.2147216796875|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,194.748046875|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,194.16470336914062|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,193.814697265625|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,193.23135375976562|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,192.76467895507812|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,192.4146728515625|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,191.947998046875|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,191.4813232421875|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,191.0146484375|0,0,-1|0,1,0|Running
11.20134162902832,22.768781661987305,190.5479736328125|0,0,-1|0,1,0|Running
11.20134162902832,22.77321434020996,190.081298828125|0,0,-1|0,1,0|Running
11.20134162902832,22.783906936645508,189.49795532226562|0,0,-1|0,1,0|Running
11.20134162902832,22.79505729675293,189.14794921875|0,0,-1|0,1,0|Running
11.20134162902832,22.816539764404297,188.56460571289062|0,0,-1|0,1,0|Running
11.20134162902832,22.807252883911133,188.214599609375|0,0,-1|0,1,0|Running
11.20134162902832,22.78841209411621,187.63125610351562|0,0,-1|0,1,0|Running
11.20134162902832,22.77327537536621,187.16458129882812|0,0,-1|0,1,0|Running
11.20134162902832,22.76414680480957,186.69790649414062|0,0,-1|0,1,0|Running
11.20134162902832,22.769569396972656,186.23123168945312|0,0,-1|0,1,0|Running
11.20134162902832,22.777233123779297,185.8812255859375|0,0,-1|0,1,0|Running
11.20134162902832,22.790369033813477,185.41455078125|0,0,-1|0,1,0|Running
11.20134162902832,22.807289123535156,184.83120727539062|0,0,-1|0,1,0|Running
11.20134162902832,22.818777084350586,184.13119506835938|0,0,-1|0,1,0|Running
11.201644897460938,22.811182022094727,183.89785766601562|0.0000629425048828125,0,-1|-3.2680466405948794e-13,1,-2.0569903956495065e-17|Running
11.202736854553223,22.783700942993164,183.5478515625|0.0003204345703125,0,-1|-7.65326517437881e-12,1.0000001192092896,-2.4523706582303554e-15|Running
11.207465171813965,22.768007278442383,182.96450805664062|0.001485822955146432,0,-0.999998927116394|-1.5981427292643957e-10,1.0000001192092896,-2.374559696007722e-13|Running
11.213001251220703,22.768850326538086,182.6145477294922|0.0027866256423294544,0,-0.9999961853027344|-5.225422317067796e-10,1.0000001192092896,-1.4561351256714428e-12|Running
11.226694107055664,22.763317108154297,182.14810180664062|0.006017667707055807,0,-0.9999818801879883|-2.3399815418656544e-09,1,-1.4081486844619295e-11|Running
11.247610092163086,22.764936447143555,181.68191528320312|0.010918633081018925,0,-0.9999403953552246|-6.6754033412053104e-09,1,-7.289062409210345e-11|Running
11.285858154296875,22.76685333251953,181.099853515625|0.019677255302667618,0,-0.9998064041137695|-9.961270031055847e-09,1.0000001192092896,-1.960484136143137e-10|Running
11.325248718261719,22.767717361450195,180.6348876953125|0.028211556375026703,0,-0.9996019601821899|-1.021440976245458e-08,1,-2.8827912279538737e-10|Running
11.362174034118652,22.768104553222656,180.28684997558594|0.03580664470791817,0,-0.9993587732315063|-1.1512336861585482e-08,1.0000001192092896,-4.1248265914006765e-10|Running
11.436861038208008,22.77411651611328,179.7083282470703|0.05093378946185112,0,-0.9987020492553711|-1.3485775163246672e-08,1,-6.877743374822387e-10|Running
11.504009246826172,22.795808792114258,179.2465362548828|0.06360655277967453,0,-0.9979751110076904|-1.543813255011628e-08,1.0000001192092896,-9.839588033244695e-10|Running
11.577024459838867,22.81515884399414,178.78562927246094|0.07628729939460754,0,-0.9970859289169312|-1.5973936839941416e-08,1.0000001192092896,-1.22216992082258e-09|Running
11.634360313415527,22.824542999267578,178.4403533935547|0.0854259505867958,0,-0.9963445663452148|-1.5394222785403144e-08,1.0000001192092896,-1.3198908632716666e-09|Running
11.732451438903809,22.833463668823242,177.8653106689453|0.09963591396808624,0,-0.9950239658355713|-1.2982487973545176e-08,1,-1.2999907816890754e-09|Running
11.811126708984375,22.837074279785156,177.4053192138672|0.10946870595216751,0,-0.9939903020858765|-1.157486728686763e-08,1.0000001192092896,-1.274746641577451e-09|Running
11.870137214660645,22.838659286499023,177.06031799316406|0.11583209037780762,0,-0.9932688474655151|-1.11370779265485e-08,1.0000001192092896,-1.298773200097969e-09|Running
11.968057632446289,22.789813995361328,176.4878692626953|0.12502813339233398,0,-0.9921532273292542|-1.0218334622891234e-08,1,-1.2876835153718957e-09|Running
12.045294761657715,22.68942642211914,176.0363311767578|0.1312561333179474,0,-0.9913485050201416|-1.0338268019438601e-08,1,-1.3688032929337624e-09|Running
12.101821899414062,22.578369140625,175.70587158203125|0.13527406752109528,0,-0.9908081889152527|-9.72464064830092e-09,1,-1.3276957311347815e-09|Running
12.174355506896973,22.382606506347656,175.2818603515625|0.1399545520544052,0,-0.990157961845398|-8.726610545295443e-09,1,-1.2334686605441902e-09|Running
12.24645709991455,22.132343292236328,174.86038208007812|0.14400090277194977,0,-0.9895775318145752|-8.98459440179522e-09,1,-1.3074162863446759e-09|Running
12.321005821228027,21.827579498291016,174.42457580566406|0.14747990667819977,0,-0.9890651106834412|-8.06323008362142e-09,1.0000001192092896,-1.2023115836257148e-09|Running
12.397078514099121,21.558277130126953,173.975830078125|0.15030871331691742,0,-0.9886391758918762|-7.753492070605716e-09,1.0000001192092896,-1.1788097165066347e-09|Running
12.47233772277832,21.53850746154785,173.51876831054688|0.15218739211559296,0,-0.9883516430854797|-8.617250912834606e-09,1.0000001192092896,-1.3268930398879775e-09|Running
12.545693397521973,21.55611801147461,173.05828857421875|0.15310461819171906,0,-0.9882100224494934|-7.37273886386447e-09,1.0000001192092896,-1.1422677248518198e-09|Running
12.61600399017334,21.57115936279297,172.59695434570312|0.153005450963974,0,-0.9882254004478455|-3.6038456663334273e-09,1.0000001192092896,-5.57977997139858e-10|Running
12.69797134399414,21.581771850585938,172.01939392089844|0.15121179819107056,0,-0.9885014891624451|7.905779364492105e-10,1.0000001192092896,1.2093528956036437e-10|Running
12.75952434539795,21.586137771606445,171.5568084716797|0.1487836390733719,0,-0.9888697266578674|3.217052624293615e-09,1,4.84032203207363e-10|Running
12.816349983215332,21.58852767944336,171.09361267089844|0.14535050094127655,0,-0.9893802404403687|3.6137191017360237e-09,1,5.308938288983711e-10|Running
12.866691589355469,21.40821075439453,170.63198852539062|0.14063385128974915,0,-0.9900617003440857|4.561433453176278e-10,1,6.479312919527302e-11|Running
12.908472061157227,21.14398956298828,170.169921875|0.1341826617717743,0,-0.9909566044807434|-6.047001122055917e-09,1,-8.188074662740519e-10|Running
12.94206428527832,20.82526969909668,169.70721435546875|0.12615379691123962,0,-0.992010772228241|-8.138909990407228e-09,1.0000001192092896,-1.0350235113421036e-09|Running
12.960960388183594,20.55046272277832,169.35977172851562|0.11909689754247665,0,-0.9928826689720154|-9.227749231399685e-09,1.0000001192092896,-1.1068743699382821e-09|Running
12.97696304321289,20.136367797851562,168.89450073242188|0.10805275291204453,0,-0.9941452741622925|-9.313159132773308e-09,1.0000001192092896,-1.0122388482969313e-09|Running
12.986343383789062,19.928123474121094,168.31138610839844|0.09277300536632538,0,-0.9956873655319214|-1.0942234673905205e-08,1.0000001192092896,-1.0195408961521935e-09|Running
12.985917091369629,19.949676513671875,167.84474182128906|0.08008230477571487,0,-0.9967882633209229|-1.1949970790681164e-08,1,-9.600646944107893e-10|Running
12.979759216308594,19.96809196472168,167.49481201171875|0.07019177079200745,0,-0.9975335597991943|-1.255413639711378e-08,1.0000001192092896,-8.83375872451353e-10|Running
12.96041488647461,19.987699508666992,166.91180419921875|0.052922382950782776,0,-0.9985986948013306|-1.3925573583151163e-08,1.0000001192092896,-7.380087096997556e-10|Running
12.939263343811035,19.99594497680664,166.44561767578125|0.03940112143754959,0,-0.9992234706878662|-1.3966993783753878e-08,1,-5.507428957329807e-10|Running
12.919316291809082,19.999589920043945,166.09620666503906|0.02946261502802372,0,-0.9995659589767456|-1.3468352655365834e-08,1.0000001192092896,-3.9698519471720317e-10|Running
12.88819408416748,20.002471923828125,165.6305694580078|0.01639561727643013,0,-0.9998656511306763|-1.2925151615661434e-08,1.0000001192092896,-2.1194430932514052e-10|Running
12.852977752685547,20.004043579101562,165.16525268554688|0.00378319900482893,0,-0.999992847442627|-1.2290912287937772e-08,1,-4.6499300937474786e-11|Running
12.815086364746094,20.004898071289062,164.70013427734375|-0.007987012155354023,0,-0.9999681711196899|-1.1098800101194684e-08,1.0000001192092896,8.864907419248169e-11|Running
12.776142120361328,20.0053653717041,164.235107421875|-0.018545076251029968,0,-0.9998281002044678|-9.341930784501074e-09,1.0000001192092896,1.7327660140065149e-10|Running
12.73637866973877,20.005617141723633,163.7701416015625|-0.027893278747797012,0,-0.9996109008789062|-9.199397688064437e-09,1,2.5670124359500335e-10|Running
12.696497917175293,20.005754470825195,163.30517578125|-0.036011017858982086,0,-0.9993515014648438|-9.490870311879007e-09,1.0000001192092896,3.419976801755098e-10|Running
12.656612396240234,20.005830764770508,162.8402099609375|-0.04299571365118027,0,-0.9990752935409546|-8.936647866164549e-09,1,3.8459319062766895e-10|Running
12.616727828979492,20.00587272644043,162.37525939941406|-0.04899714142084122,0,-0.9987989664077759|-8.619999825043578e-09,1.0000001192092896,4.2286321666473725e-10|Running
12.5768404006958,20.005895614624023,161.91029357910156|-0.054149504750967026,0,-0.9985328912734985|-8.862355294070312e-09,1.0000001192092896,4.805972841914752e-10|Running
12.536953926086426,20.00590705871582,161.44532775878906|-0.0585751011967659,0,-0.9982830286026001|-8.105232929267459e-09,1,4.7558135207737e-10|Running
12.486196517944336,20.00591468811035,160.86419677734375|-0.06349729746580124,0,-0.9979820251464844|-8.969545994830241e-09,1,5.706935479743436e-10|Running
12.455673217773438,20.00591468811035,160.51551818847656|-0.06606370955705643,0,-0.9978153705596924|-7.528653256372309e-09,1,4.984597179458206e-10|Running
12.414276123046875,20.00591468811035,160.05068969726562|-0.0691937655210495,0,-0.9976032972335815|-7.657178002773435e-09,1.0000001192092896,5.311018846931859e-10|Running
12.320870399475098,20.00591468811035,159.00479125976562|-0.07528023421764374,0,-0.9971624612808228|-6.866939905592062e-09,1.0000001192092896,5.184158657911553e-10|Running
12.289734840393066,20.00591468811035,158.65615844726562|-0.07687670737504959,0,-0.9970406293869019|-6.306049460391705e-09,1,4.862272806605006e-10|Running
12.2683744430542,20.00591468811035,158.42379760742188|-0.07789406925439835,0,-0.9969617128372192|-6.223711768171825e-09,1.0000001192092896,4.862676372674457e-10|Running
12.236051559448242,20.00591468811035,158.07530212402344|-0.07937838137149811,0,-0.9968446493148804|-6.503727334461473e-09,1.0000001192092896,5.178895090551805e-10|Running
12.192914962768555,20.00591468811035,157.61065673828125|-0.08118777722120285,0,-0.9966988563537598|-7.53176099266284e-09,1.0000001192092896,6.135121854988768e-10|Running
12.149776458740234,20.00591468811035,157.14599609375|-0.08277145028114319,0,-0.9965685606002808|-9.144793366999693e-09,1,7.595341022792468e-10|Running
12.106637954711914,20.00591468811035,156.68133544921875|-0.08413458615541458,0,-0.9964543581008911|-7.059763440508959e-09,1,5.960837934360086e-10|Running
12.063499450683594,20.00591468811035,156.2166748046875|-0.08530820906162262,0,-0.9963546991348267|-4.039391487964394e-09,1.0000001192092896,3.4585401209596967e-10|Running
12.031145095825195,20.00591468811035,155.86817932128906|-0.0860716924071312,0,-0.9962888956069946|-2.0029933267551314e-09,1,1.7304320476529966e-10|Running
11.988004684448242,20.00591468811035,155.4035186767578|-0.08696328103542328,0,-0.9962115287780762|4.853688562178604e-10,1,-4.236978476401809e-11|Running
11.934080123901367,20.00591468811035,154.82269287109375|-0.08792142570018768,0,-0.9961274862289429|3.3194271775727202e-09,1.0000001192092896,-2.929833597953291e-10|Running
11.89094066619873,20.00591468811035,154.3580322265625|-0.08856645971536636,0,-0.996070384979248|5.422315041414549e-09,1.0000001192092896,-4.821298360546677e-10|Running
11.858586311340332,20.00591468811035,154.00953674316406|-0.08898262679576874,0,-0.9960331916809082|6.930443774422201e-09,1,-6.191451240589174e-10|Running
