molti|true|5442
-505.5257568359375,984.7493286132812,-243.30810546875|-0.33380749821662903,-1.1857535042736345e-07,-0.9426412582397461|-6.835824706286076e-08,1,-1.0158355934208885e-07|Running
-505.6167297363281,984.6752319335938,-243.56597900390625|-0.33380746841430664,-1.2648614244881173e-07,-0.9426412582397461|-7.331849616321051e-08,1,-1.0821919005365999e-07|Running
-505.7522888183594,984.5504150390625,-243.9488983154297|-0.33380746841430664,-8.72984387001452e-08,-0.9426412582397461|-5.09307618301591e-08,1,-7.457489203943624e-08|Running
-505.7969970703125,984.504638671875,-244.0751190185547|-0.33380746841430664,-7.42414556498261e-08,-0.9426412582397461|-4.3471374056025525e-08,1,-6.336491509273401e-08|Running
-505.885986328125,984.4029541015625,-244.32643127441406|-0.33380746841430664,-4.813586329532882e-08,-0.9426412582397461|-2.855738578944056e-08,1,-4.0952158997242805e-08|Running
-505.9736328125,984.28759765625,-244.5739288330078|-0.33380746841430664,-2.2041431790853494e-08,-0.9426412582397461|-1.364977464390904e-08,1,-1.8548981017829647e-08|Running
-506.06024169921875,984.1586303710938,-244.8184814453125|-0.33380746841430664,4.041842860402767e-09,-0.9426412582397461|1.2514613789704754e-09,1,3.8446184014162554e-09|Running
-506.1439208984375,984.0160522460938,-245.05477905273438|-0.33380746841430664,3.011396643159969e-08,-0.9426412582397461|1.6146325165777853e-08,1,2.622864236911937e-08|Running
-506.2247619628906,983.8598022460938,-245.2830810546875|-0.33380746841430664,5.617494025500491e-08,-0.9426412582397461|3.1034822711717425e-08,1,4.8603098434796266e-08|Running
-506.30120849609375,983.68994140625,-245.49893188476562|-0.33380746841430664,8.222477276831341e-08,-0.9426412582397461|4.5916952018387747e-08,1,7.096798526617931e-08|Running
-506.37701416015625,984.1329345703125,-245.71298217773438|-0.33380618691444397,1.082634639715252e-07,-0.9426417350769043|6.079262959701737e-08,1,9.33233792466126e-08|Jumping
-506.45281982421875,984.565673828125,-245.92703247070312|-0.33808204531669617,1.3432052980988374e-07,-0.9411166310310364|7.60850724645934e-08,1,1.1539220423628649e-07|Jumping
-506.5312805175781,984.9847412109375,-246.14804077148438|-0.3380820155143738,1.2619460676432936e-07,-0.9411166310310364|7.154606151971166e-08,1,1.083884484387454e-07|Freefall
-506.61328125,985.3902587890625,-246.37832641601562|-0.3380819857120514,1.1807217248360757e-07,-0.9411166310310364|6.700899035649854e-08,1,1.0138768402612186e-07|Freefall
-506.6987609863281,985.7821044921875,-246.617919921875|-0.33808040618896484,1.0995321986229101e-07,-0.9411172270774841|6.247369555012483e-08,1,9.439003889610831e-08|Freefall
-506.78778076171875,986.1603393554688,-246.86679077148438|-0.34219619631767273,1.0202528955005619e-07,-0.939628541469574|5.8439130867782296e-08,1,8.729794842565752e-08|Freefall
-506.8808898925781,986.5249633789062,-247.1247100830078|-0.3422625660896301,9.451603233401329e-08,-0.9396043419837952|5.413919623720176e-08,1,8.087043568139052e-08|Freefall
-506.9771728515625,986.8759155273438,-247.3893585205078|-0.34231969714164734,8.708607879270858e-08,-0.9395835399627686|4.986053880884356e-08,1,7.452007366737234e-08|Freefall
-507.0740661621094,987.2132568359375,-247.6553497314453|-0.34233689308166504,7.966841764073251e-08,-0.9395772814750671|4.5581376895142967e-08,1,6.818410014375331e-08|Freefall
-507.1710510253906,987.5369873046875,-247.92153930664062|-0.3423435389995575,7.225506237773516e-08,-0.9395748376846313|4.130293262960549e-08,1,6.1852730937062e-08|Freefall
-507.2680358886719,987.8470458984375,-248.187744140625|-0.34645482897758484,6.50376819066878e-08,-0.9380666613578796|3.7379091821776456e-08,1,5.552645276907242e-08|Freefall
-507.3659362792969,988.1435546875,-248.45362854003906|-0.34652212262153625,5.824211868343809e-08,-0.9380418062210083|3.333555298468127e-08,1,4.977455603238923e-08|Freefall
-507.464111328125,988.4263916015625,-248.7194061279297|-0.3465794026851654,5.152564952481953e-08,-0.938020646572113|2.931608200640312e-08,1,4.409849552189371e-08|Freefall
-507.56231689453125,988.6956176757812,-248.9851837158203|-0.34659886360168457,4.4821025113606083e-08,-0.9380134344100952|2.5298206196566753e-08,1,3.8435160831795656e-08|Freefall
-507.6605224609375,988.9512329101562,-249.25096130371094|-0.35070520639419556,3.832129280567642e-08,-0.9364858865737915|2.15315623108836e-08,1,3.2856938503300626e-08|Freefall
-507.7596130371094,989.1931762695312,-249.5164031982422|-0.35077348351478577,3.225101607995384e-08,-0.9364603161811829|1.7751840886148784e-08,1,2.7789901935193484e-08|Freefall
-507.8589782714844,989.4215698242188,-249.78173828125|-0.35083118081092834,2.6260376984055256e-08,-0.9364387392997742|1.3998564973860539e-08,1,2.27983356637651e-08|Freefall
-507.9584045410156,989.6362915039062,-250.04705810546875|-0.35085079073905945,2.0281301971181165e-08,-0.936431348323822|1.0248236925747278e-08,1,1.7818390318780075e-08|Freefall
-508.0578308105469,989.83740234375,-250.3123779296875|-0.3508574962615967,1.4305843620832093e-08,-0.9364288449287415|6.499370375223634e-09,1,1.2841862684354055e-08|Freefall
-508.1572570800781,990.02490234375,-250.57769775390625|-0.35086071491241455,8.333064904775256e-09,-0.936427652835846|2.7520228318422824e-09,1,7.867653195603452e-09|Freefall
-508.2566833496094,990.19873046875,-250.843017578125|-0.3549548089504242,2.5566488925932163e-09,-0.9348834753036499|-8.843219490017873e-10,1,3.070482534894836e-09|Freefall
-508.35699462890625,990.3589477539062,-251.10800170898438|-0.3550211191177368,-2.8025364251504925e-09,-0.9348582625389099|-4.40154668268633e-09,1,-1.3262912990086306e-09|Freefall
-508.4575500488281,990.5055541992188,-251.3728790283203|-0.3550780415534973,-8.08482170100433e-09,-0.9348366856575012|-7.89064635853265e-09,1,-5.651282553031933e-09|Freefall
-508.5581359863281,990.6384887695312,-251.6377410888672|-0.3550974130630493,-1.3356277861475974e-08,-0.9348292946815491|-1.1375167474625414e-08,1,-9.966510283732077e-09|Freefall
-508.6587219238281,990.7578735351562,-251.90260314941406|-0.3551040291786194,-1.862453125056618e-08,-0.9348267912864685|-1.4857795882505798e-08,1,-1.4279081916868108e-08|Freefall
-508.7593078613281,990.8635864257812,-252.16746520996094|-0.35510462522506714,-2.3890438072271536e-08,-0.9348265528678894|-1.8338822016517042e-08,1,-1.8589798145285386e-08|Freefall
-508.8598937988281,990.9556884765625,-252.4323272705078|-0.3551054000854492,-2.9154087144434015e-08,-0.9348262548446655|-2.1818351569891092e-08,1,-2.2898664298054427e-08|Freefall
-508.9604797363281,991.0341796875,-252.6971893310547|-0.3551056683063507,-3.4415489125194654e-08,-0.9348261952400208|-2.529638010173585e-08,1,-2.7205702579635727e-08|Freefall
-509.0610656738281,991.0989990234375,-252.96205139160156|-0.35510578751564026,-3.967464223819661e-08,-0.934826135635376|-2.877291471747867e-08,1,-3.151090055553141e-08|Freefall
-509.1616516113281,991.1502685546875,-253.22691345214844|-0.35510581731796265,-4.493154648343989e-08,-0.934826135635376|-3.2247960746190074e-08,1,-3.581426000209831e-08|Freefall
-509.3125305175781,991.2015380859375,-253.62420654296875|-0.35510703921318054,-5.2812687556524907e-08,-0.9348256587982178|-3.745779508790292e-08,1,-4.226581040711608e-08|Freefall
-509.3628234863281,991.2118530273438,-253.7566375732422|-0.35510754585266113,-5.543861192336408e-08,-0.9348254799842834|-3.919367230764692e-08,1,-4.4415397582042715e-08|Freefall
-509.4634094238281,991.2222290039062,-254.02149963378906|-0.35510751605033875,-6.068877667075867e-08,-0.9348254799842834|-4.266426856247563e-08,1,-4.871323966426644e-08|Freefall
-509.5639953613281,991.2189331054688,-254.28636169433594|-0.35510650277137756,-6.593669610310826e-08,-0.9348258376121521|-4.613332649228141e-08,1,-5.300928762608237e-08|Freefall
-509.7651672363281,991.1715087890625,-254.8160858154297|-0.35510653257369995,-7.642579902267244e-08,-0.9348258376121521|-5.306710448849117e-08,1,-6.159577736752908e-08|Freefall
-509.8657531738281,991.1273193359375,-255.08094787597656|-0.3591921925544739,-8.146992058755131e-08,-0.9332635998725891|-5.6736251252687e-08,1,-6.545921849010483e-08|Freefall
-509.9672546386719,991.069580078125,-255.34547424316406|-0.35925817489624023,-8.610101787098756e-08,-0.9332382082939148|-5.99818150703868e-08,1,-6.91699710841931e-08|Freefall
-510.01812744140625,991.0355834960938,-255.47769165039062|-0.3593256175518036,-8.838184584192277e-08,-0.9332122206687927|-6.159223175927764e-08,1,-7.099154686329712e-08|Freefall
-510.06903076171875,990.9981689453125,-255.60989379882812|-0.35933351516723633,-9.065765738114351e-08,-0.9332091808319092|-6.319556433709295e-08,1,-7.281258262992196e-08|Freefall
-510.17083740234375,990.9131469726562,-255.87429809570312|-0.35933440923690796,-9.520444876898182e-08,-0.9332088828086853|-6.639784544404392e-08,1,-7.645171251624561e-08|Freefall
-510.27264404296875,990.8145141601562,-256.1387023925781|-0.359342485666275,-9.974855430527896e-08,-0.9332057237625122|-6.959851361898473e-08,1,-8.008828444872051e-08|Freefall
-510.37445068359375,990.7022094726562,-256.4031066894531|-0.3593451678752899,-1.0429068453277068e-07,-0.933204710483551|-7.279716385255597e-08,1,-8.372372661824556e-08|Freefall
-510.47625732421875,990.5763549804688,-256.6675109863281|-0.3552582859992981,-1.0863077903877638e-07,-0.9347681999206543|-7.553990855058146e-08,1,-8.750254920641964e-08|Freefall
-510.5771789550781,990.4368286132812,-256.9322814941406|-0.3551933467388153,-1.1255498577611434e-07,-0.9347928762435913|-7.849645555779716e-08,1,-9.058003058726172e-08|Freefall
-510.6778564453125,990.2836303710938,-257.1971130371094|-0.3510424792766571,-1.1611062689098617e-07,-0.9363595247268677|-8.091258507647581e-08,1,-9.366794273546475e-08|Freefall
-510.82733154296875,990.0283813476562,-257.594970703125|-0.3509765863418579,-1.2059382470397395e-07,-0.9363842010498047|-8.48399537289879e-08,1,-9.698688785420018e-08|Freefall
-510.9267883300781,989.8411254882812,-257.86029052734375|-0.34677854180336,-1.2324771603289264e-07,-0.9379470348358154|-8.689607255973897e-08,1,-9.927428834544116e-08|Freefall
-510.9761047363281,989.742431640625,-257.99310302734375|-0.34246572852134705,-1.2424339956851327e-07,-0.9395303130149841|-8.756271085985645e-08,1,-1.0032264441406369e-07|Freefall
-511.0735168457031,989.5347900390625,-258.2591552734375|-0.3424566686153412,-1.257748181160423e-07,-0.9395336508750916|-8.965945141881093e-08,1,-1.0118886706322883e-07|Freefall
-511.17059326171875,989.3134765625,-258.52532958984375|-0.33827123045921326,-1.2687165451552573e-07,-0.9410486221313477|-9.114400256748922e-08,1,-1.0205664580098528e-07|Freefall
-511.2666931152344,989.07861328125,-258.7918701171875|-0.3381793797016144,-1.2739802457417682e-07,-0.9410816431045532|-9.288003610663509e-08,1,-1.0199742916938703e-07|Freefall
-511.3625183105469,988.830078125,-259.0585021972656|-0.333995521068573,-1.2752127531712176e-07,-0.942574679851532|-9.402137379765918e-08,1,-1.0197447863902198e-07|Freefall
-511.4573974609375,988.5679321289062,-259.3254699707031|-0.33390653133392334,-1.270897058702758e-07,-0.9426062107086182|-9.542433332399014e-08,1,-1.010251082789182e-07|Freefall
-511.5993347167969,988.149169921875,-259.72607421875|-0.33384618163108826,-1.2628804313408182e-07,-0.9426275491714478|-9.749499696454222e-08,1,-9.944512413539996e-08|Freefall
-511.6939392089844,987.8529663085938,-259.9931640625|-0.3296874761581421,-1.2552622763450927e-07,-0.9440901279449463|-9.834673875275257e-08,1,-9.861616234729809e-08|Freefall
-511.7408447265625,987.6997680664062,-260.1268310546875|-0.3295835256576538,-1.2494679424435162e-07,-0.9441264271736145|-9.891585506238698e-08,1,-9.781080478887816e-08|Freefall
-511.8343505859375,987.3831176757812,-260.3942565917969|-0.3254428505897522,-1.2332780841006752e-07,-0.9455617070198059|-9.948023205197387e-08,1,-9.618904073249723e-08|Freefall
-511.9244689941406,987.3005981445312,-260.65521240234375|-0.3253416419029236,-8.939568374444207e-08,-0.9455965161323547|-7.418287850669003e-08,1,-6.90155914639945e-08|Landed
-512.0134887695312,987.2890014648438,-260.9137878417969|-0.32097843289375305,-5.543487446857398e-08,-0.94708651304245|-4.855874280451644e-08,1,-4.2074894679444697e-08|Landed
-512.101318359375,987.2874145507812,-261.17193603515625|-0.31665417551994324,-2.154444445068293e-08,-0.9485410451889038|-2.3069684829124526e-08,1,-1.5011824672228613e-08|Landed
-512.231201171875,987.2871704101562,-261.559814453125|-0.312339186668396,2.9161618897433073e-08,-0.9499706625938416|1.4923495328389436e-08,1,2.5790718893858866e-08|Landed
-512.3167724609375,987.2871704101562,-261.81890869140625|-0.2993753254413605,6.273371866427624e-08,-0.9541354179382324|3.9840553966996595e-08,1,5.324866592104627e-08|Landed
-512.3583374023438,987.2871704101562,-261.9490051269531|-0.2907026410102844,7.944133528781094e-08,-0.9568134546279907|5.198635477654534e-08,1,6.723229972749323e-08|Landed
-512.4388427734375,987.207763671875,-262.2103576660156|-0.27765002846717834,7.948695213144674e-08,-0.9606822729110718|5.338456787740142e-08,1,6.731124813086353e-08|Running
-512.5542602539062,987.1803588867188,-262.6053466796875|-0.2645464837551117,7.950634284270564e-08,-0.9643729329109192|5.593892637989484e-08,1,6.709841926522131e-08|Running
-512.5913696289062,987.1477661132812,-262.73779296875|-0.24699975550174713,7.949104485760472e-08,-0.9690155386924744|5.586993268025253e-08,1,6.779167449622037e-08|Running
-512.6610717773438,987.0411987304688,-263.0045166015625|-0.23378489911556244,7.942782076497679e-08,-0.9722883701324463|5.725719987026423e-08,1,6.792424755985849e-08|Running
-512.7268676757812,986.9127807617188,-263.2730407714844|-0.21610000729560852,7.932115408948448e-08,-0.9763712286949158|5.832934846239368e-08,1,6.83307561644142e-08|Running
-512.7879638671875,986.7708129882812,-263.5425109863281|-0.20278720557689667,7.918196587297643e-08,-0.97922283411026|5.97070268781863e-08,1,6.849732869795844e-08|Running
-512.8450317382812,986.6151733398438,-263.81231689453125|-0.18943922221660614,7.901031295887151e-08,-0.981892466545105|6.108149364081328e-08,1,6.868275903570975e-08|Running
-512.8984985351562,986.4459228515625,-264.0835876464844|-0.17605504393577576,7.880625219058857e-08,-0.984380304813385|6.245224426493223e-08,1,6.888721770792472e-08|Running
-512.97265625,986.16650390625,-264.4912109375|-0.1671139895915985,7.84678917398196e-08,-0.9859375953674316|6.528971852048926e-08,1,6.852063449969137e-08|Running
-512.9962158203125,986.1511840820312,-264.62701416015625|-0.15367481112480164,7.833895665498858e-08,-0.9881214499473572|6.550533271365566e-08,1,6.909316851988478e-08|Running
-513.0399780273438,986.145751953125,-264.90045166015625|-0.14470061659812927,7.805962098927921e-08,-0.9894754886627197|6.718400413774361e-08,1,6.906493155156568e-08|Running
-513.0808715820312,986.1607055664062,-265.17425537109375|-0.13571584224700928,7.77588908817961e-08,-0.9907478094100952|6.886197212452316e-08,1,6.905211336061257e-08|Running
-513.119384765625,986.1880493164062,-265.4497985839844|-0.12671872973442078,7.74367947542487e-08,-0.9919387102127075|7.053890982433586e-08,1,6.905486316099996e-08|Running
-513.1555786132812,986.2222900390625,-265.727294921875|-0.1177101582288742,7.709337523920112e-08,-0.9930480122566223|7.221469644491663e-08,1,6.907316674187314e-08|Running
-513.1893310546875,986.259765625,-266.0057678222656|-0.1086936965584755,7.672868918007225e-08,-0.9940752983093262|7.388939593511168e-08,1,6.910681804583874e-08|Running
-513.220703125,986.29736328125,-266.28570556640625|-0.1041814386844635,7.635347287759942e-08,-0.9945583343505859|7.587853190216265e-08,1,6.882284964149221e-08|Running
-513.2653198242188,986.3491821289062,-266.70703125|-0.09966665506362915,7.577491345500675e-08,-0.995020866394043|7.901882526084592e-08,1,6.823914588949265e-08|Running
-513.2796630859375,986.3646240234375,-266.8476867675781|-0.09063192456960678,7.557148506975864e-08,-0.9958844780921936|7.954689351663546e-08,1,6.864450341481643e-08|Running
-513.30615234375,986.3925170898438,-267.1294860839844|-0.08611175417900085,7.51541051613458e-08,-0.9962854981422424|8.153512709441202e-08,1,6.838699562194961e-08|Running
-513.3309936523438,986.417236328125,-267.41156005859375|-0.08159152418375015,7.472628027471728e-08,-0.9966658353805542|8.352364488928288e-08,1,6.813863961951938e-08|Running
-513.3544921875,986.4392700195312,-267.6937561035156|-0.07254144549369812,7.42774020068282e-08,-0.997365415096283|8.520030547742863e-08,1,6.827673360021436e-08|Running
-513.375732421875,986.4591064453125,-267.975830078125|-0.06348812580108643,7.380753430652476e-08,-0.9979826211929321|8.687484864822181e-08,1,6.843006161716403e-08|Running
-513.3944702148438,986.476806640625,-268.2583312988281|-0.05442657694220543,7.331671980637111e-08,-0.9985177516937256|8.854674149461061e-08,1,6.859910683942871e-08|Running
-513.41064453125,986.4927978515625,-268.54107666015625|-0.04082946851849556,7.279450642272423e-08,-0.9991661310195923|8.990039646050718e-08,1,6.918160977420484e-08|Running
-513.42333984375,986.5072631835938,-268.8239440917969|-0.027223730459809303,7.224100784242182e-08,-0.9996293783187866|9.12449422685313e-08,1,6.978284972092297e-08|Running
-513.4321899414062,986.5205688476562,-269.1069641113281|-0.02268729917705059,7.167727744672447e-08,-0.9997426271438599|9.322103267095372e-08,1,6.958025267067569e-08|Running
-513.4390869140625,986.532958984375,-269.3900451660156|-0.013612810522317886,7.109287736284386e-08,-0.9999073147773743|9.487839491839622e-08,1,6.980778266552079e-08|Running
-513.4456787109375,986.5504760742188,-269.8147277832031|-0.00453812163323164,7.018547876214143e-08,-0.9999896883964539|9.767821040895797e-08,1,6.974292432460061e-08|Running
-513.4468383789062,986.5560913085938,-269.956298828125|-0.004538086708635092,6.98831428280755e-08,-0.9999896883964539|9.88234631904561e-08,1,6.943538721770892e-08|Running
-513.4484252929688,986.567138671875,-270.23944091796875|-0.004538086708635092,6.927866280648232e-08,-0.9999896883964539|1.0111322978900716e-07,1,6.882051195589156e-08|Running
-513.4497680664062,986.5779418945312,-270.5225830078125|-0.004538101609796286,6.867444568570136e-08,-0.9999896883964539|1.0340201583858288e-07,1,6.820589959488643e-08|Running
-513.4511108398438,986.5885009765625,-270.80572509765625|-0.004538101609796286,6.807048436030527e-08,-0.9999896883964539|1.0568982844461061e-07,1,6.759155013469353e-08|Running
-513.4524536132812,986.5988159179688,-271.0888977050781|-0.004538101609796286,6.746678593572142e-08,-0.9999896883964539|1.0797666760709035e-07,1,6.697746357531287e-08|Running
-513.4537963867188,986.60888671875,-271.3721008300781|-0.004538101609796286,6.686334330652244e-08,-0.9999896883964539|1.1026252622059474e-07,1,6.636364702217179e-08|Running
-513.4551391601562,986.6185913085938,-271.6553039550781|-0.009076203219592571,6.62705517129325e-08,-0.9999588131904602|1.1284744516615319e-07,1,6.524901152715756e-08|Running
-513.4573974609375,986.6279296875,-271.9385070800781|-0.009076202288269997,6.567800170387272e-08,-0.9999588131904602|1.1513134268170688e-07,1,6.463571367021359e-08|Running
-513.4599609375,986.6369018554688,-272.2217102050781|-0.009076202288269997,6.508570749019782e-08,-0.9999588131904602|1.1741426675371258e-07,1,6.402267160865449e-08|Running
-513.4625244140625,986.6454467773438,-272.5049743652344|-0.009076202288269997,6.449366907190779e-08,-0.9999588131904602|1.1969621027674293e-07,1,6.340989955333498e-08|Running
-513.465087890625,986.6536254882812,-272.7882385253906|-0.009076202288269997,6.390188644900263e-08,-0.9999588131904602|1.219771803562253e-07,1,6.279738329340034e-08|Running
-513.4676513671875,986.6614990234375,-273.0715026855469|-0.009076343849301338,6.331035251605499e-08,-0.9999588131904602|1.2425718409758701e-07,1,6.218511572342322e-08|Running
-513.47021484375,986.6690063476562,-273.3547668457031|-0.01361271645873785,5.5191815562238844e-08,-0.9999073147773743|1.1106887143341737e-07,1,5.368484323753364e-08|Running
-513.4737548828125,986.6761474609375,-273.6380310058594|-0.013612715527415276,3.954073690692894e-08,-0.9999073147773743|8.186067645965522e-08,1,3.8429952553542535e-08|Running
-513.4775390625,986.6829223632812,-273.9212951660156|-0.013612715527415276,2.3896360445974096e-08,-0.9999073147773743|5.266496572176038e-08,1,2.3181593533649902e-08|Running
-513.4814453125,986.6893920898438,-274.2045593261719|-0.013612715527415276,8.258676409411692e-09,-0.9999073147773743|2.3481735667019166e-08,1,7.939762625142066e-09|Running
-513.4853515625,986.6954345703125,-274.4878234863281|-0.013612715527415276,-7.372313426401433e-09,-0.9999073147773743|-5.689020809995782e-09,1,-7.295546389229912e-09|Running
-513.4892578125,986.701171875,-274.7710266113281|-0.013612715527415276,-2.2996614390535797e-08,-0.9999073147773743|-3.484731081471182e-08,1,-2.2524334397644452e-08|Running
-513.4931640625,986.7070922851562,-275.0542297363281|-0.013612715527415276,-3.861422825934824e-08,-0.9999073147773743|-6.399313434712894e-08,1,-3.7746602288279973e-08|Running
-513.4970703125,986.7136840820312,-275.33734130859375|-0.013612715527415276,-4.533114861260401e-08,-0.9999073147773743|-7.750901431791135e-08,1,-4.428014577229078e-08|Running
-513.5009765625,986.721435546875,-275.6203308105469|-0.013612715527415276,-4.3153093542969145e-08,-0.9999073147773743|-7.540495516877854e-08,1,-4.213053017565471e-08|Running
-513.5048828125,986.7305297851562,-275.9032897949219|-0.013612715527415276,-4.0975969284318126e-08,-0.9999073147773743|-7.330180551434751e-08,1,-3.998183828457513e-08|Running
-513.5087890625,986.7412719726562,-276.18609619140625|-0.013612715527415276,-3.879977938936463e-08,-0.9999073147773743|-7.119955114376353e-08,1,-3.7834062993624684e-08|Running
-513.5126953125,986.7537841796875,-276.46875|-0.013612715527415276,-3.66245167526813e-08,-0.9999073147773743|-6.909819205702661e-08,1,-3.5687211408230723e-08|Running
-513.5166015625,986.7679443359375,-276.7513427734375|-0.013612715527415276,-3.44501884796955e-08,-0.9999073147773743|-6.69977353595641e-08,1,-3.354127642296589e-08|Running
-513.5205078125,986.783447265625,-277.03399658203125|-0.013612715527415276,-3.227679101769354e-08,-0.9999073147773743|-6.489817394594866e-08,1,-3.1396258037830194e-08|Running
-513.5244140625,986.7998046875,-277.3166809082031|-0.013612715527415276,-3.010432081396175e-08,-0.9999073147773743|-6.279950781618027e-08,1,-2.9252159805537303e-08|Running
-513.5283203125,986.8167724609375,-277.59942626953125|-0.013612715527415276,-2.7932783197570643e-08,-0.9999073147773743|-6.070173697025893e-08,1,-2.7108979949730383e-08|Running
-513.5322265625,986.8340454101562,-277.8822021484375|-0.013612715527415276,-2.5762174615806543e-08,-0.9999073147773743|-5.860486496089834e-08,1,-2.4966716694052593e-08|Running
-513.5361328125,986.8514404296875,-278.16497802734375|-0.013612715527415276,-2.359249506866945e-08,-0.9999073147773743|-5.65088882353848e-08,1,-2.2825370038503934e-08|Running
-513.5400390625,986.868896484375,-278.44775390625|-0.013613115064799786,-2.1423742779802524e-08,-0.9999073147773743|-5.441381745185936e-08,1,-2.0684918666802332e-08|Running
-513.5439453125,986.8864135742188,-278.73052978515625|-0.013613115064799786,-1.9255919525562604e-08,-0.9999073147773743|-5.2319634846753615e-08,1,-1.8545405211511934e-08|Running
-513.5478515625,986.9039916992188,-279.0133056640625|-0.013613115064799786,-1.708902530594969e-08,-0.9999073147773743|-5.022634397278125e-08,1,-1.6406808356350666e-08|Running
-513.5517578125,986.9215087890625,-279.29608154296875|-0.013613115064799786,-1.4923058344606943e-08,-0.9999073147773743|-4.8133948382655944e-08,1,-1.426912632496169e-08|Running
-513.5556640625,986.938720703125,-279.5789489746094|-0.013613115064799786,-1.2758016865177524e-08,-0.9999073147773743|-4.6042448076377696e-08,1,-1.2132360005523424e-08|Running
-513.5595703125,986.9554443359375,-279.8619079589844|-0.013613115064799786,-1.0593901755839852e-08,-0.9999073147773743|-4.3951839501232826e-08,1,-9.99650673350061e-09|Running
-513.5634765625,986.9716186523438,-280.1448669433594|-0.013613115064799786,-8.430713016593927e-09,-0.9999073147773743|-4.1862126209935013e-08,1,-7.861567397071667e-09|Running
-513.5673828125,986.9869995117188,-280.4278869628906|-0.013613115064799786,-6.26844975926133e-09,-0.9999073147773743|-3.977330464977058e-08,1,-5.727541552147386e-09|Running
-513.5712890625,987.0015258789062,-280.7109680175781|-0.013613115064799786,-4.10711153975285e-09,-0.9999073147773743|-3.7685374820739526e-08,1,-3.5944291987277666e-09|Running
-513.5771484375,987.0216064453125,-281.13568115234375|-0.013613654300570488,-8.668364359643022e-10,-0.9999073147773743|-3.455515340533566e-08,1,-3.964512051979341e-10|Running
-513.5791015625,987.0278930664062,-281.2772521972656|-0.013613654300570488,2.1279306094967865e-10,-0.9999073147773743|-3.351219390879123e-08,1,6.690784593033072e-10|Running
-513.5830078125,987.0399169921875,-281.5603942871094|-0.013613654300570488,2.3713591090768205e-09,-0.9999073147773743|-3.1426939273160315e-08,1,2.7994540019449232e-09|Running
-513.5869140625,987.0513916015625,-281.8435363769531|-0.009075176902115345,4.519651763956745e-09,-0.9999588131904602|-2.9354955799476556e-08,1,4.786250507038403e-09|Running
-513.58984375,987.0623779296875,-282.1266784667969|-0.009075651876628399,6.6670269305291185e-09,-0.9999588131904602|-2.727147929704188e-08,1,6.914818051484417e-09|Running
-513.5924682617188,987.0734252929688,-282.40966796875|-0.009075651876628399,8.813484164704732e-09,-0.9999588131904602|-2.518889630209742e-08,1,9.042461890373943e-09|Running
-513.5950317382812,987.0850830078125,-282.69256591796875|-0.009075651876628399,1.0959023022394376e-08,-0.9999588131904602|-2.31072032619295e-08,1,1.1169196234561696e-08|Running
-513.5975952148438,987.0982055664062,-282.9752502441406|-0.009075651876628399,1.310364527995489e-08,-0.9999588131904602|-2.1026400176538118e-08,1,1.3295021084047676e-08|Running
-513.6001586914062,987.113525390625,-283.2575378417969|-0.009075651876628399,1.5247350049207853e-08,-0.9999588131904602|-1.8946485269566438e-08,1,1.5419937327010302e-08|Running
-513.6027221679688,987.1312866210938,-283.5393371582031|-0.009076232090592384,1.7390139106510105e-08,-0.9999588131904602|-1.68674514355871e-08,1,1.7543955621590612e-08|Running
-513.6052856445312,987.1517333984375,-283.8210144042969|-0.009076232090592384,1.9532013340040066e-08,-0.9999588131904602|-1.4789314661811659e-08,1,1.9667055539684952e-08|Running
-513.6078491210938,987.1751708984375,-284.1022033691406|-0.004537242464721203,2.166360779654042e-08,-0.9999896883964539|-1.280118411273179e-08,1,2.1721913157080053e-08|Running
-513.6094360351562,987.2014770507812,-284.38323974609375|-0.004537582863122225,2.379428920562532e-08,-0.9999896883964539|-1.0724816590368391e-08,1,2.3843199414841365e-08|Running
-513.6107788085938,987.230224609375,-284.66424560546875|-0.004537582863122225,2.5924059343651606e-08,-0.9999896883964539|-8.649343463673631e-09,1,2.5963574401544065e-08|Running
-513.612060546875,987.2608642578125,-284.94525146484375|4.6566109301870995e-10,2.8043526612009373e-08,-1|-6.692480347680885e-09,1,2.8043526612009373e-08|Running
-513.6123657226562,987.2929077148438,-285.22625732421875|0.004537214525043964,3.015265548356183e-08,-0.9999896883964539|-4.745952519868979e-09,1,3.0131435124758355e-08|Running
-513.6114501953125,987.3259887695312,-285.50726318359375|0.0045383768156170845,3.226088196583987e-08,-0.9999896883964539|-2.6731761249010333e-09,1,3.2249079850998896e-08|Running
-513.6102294921875,987.3597412109375,-285.7883605957031|0.00907469168305397,3.4358741629603173e-08,-0.9999588131904602|-7.475178254168213e-10,1,3.435336992652083e-08|Running
-513.6080322265625,987.3939208984375,-286.0694885253906|0.00907592661678791,3.645569890409206e-08,-0.9999588131904602|1.3234806583994896e-09,1,3.646921342692622e-08|Running
-513.6055297851562,987.4283447265625,-286.3506774902344|0.013612053357064724,3.8542260938356776e-08,-0.999907374382019|3.2281839423831116e-09,1,3.858977848381073e-08|Running
-513.60205078125,987.4625244140625,-286.63201904296875|0.013612126000225544,4.0627927688774435e-08,-0.999907374382019|5.2974526987270565e-09,1,4.0703810100239934e-08|Running
-513.5982666015625,987.4961547851562,-286.91363525390625|0.018151840195059776,4.2703163671831135e-08,-0.9998352527618408|7.1809789226051635e-09,1,4.28405719787861e-08|Running
