yahayuk zepetto|false|12018
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.688185199583586e-09,-0.9706012010574341|1.7595894519217836e-08,1,-3.557559136169175e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.681618008348323e-09,-0.9706012010574341|1.7580859434929152e-08,1,-3.5545220100630104e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.59197965499925e-09,-0.9706012010574341|2.195306691987753e-08,1,-4.4385095598897806e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-7.666864476618684e-09,-0.9706012010574341|1.754706957513008e-08,1,-3.5477003557105036e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.660319489843914e-09,-0.9706012010574341|1.7532073570691864e-08,1,-3.5446749979684e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.566197611832195e-09,-0.9706012010574341|2.1894026147606382e-08,1,-4.4265884291405655e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-7.645607702500001e-09,-0.9706012010574341|1.749838141051896e-08,1,-3.5378735496749414e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-3.8203546992576776e-09,-0.9706012010574341|8.743584523074333e-09,1,-1.7678039032631432e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-9.543753343166372e-09,-0.9706012010574341|2.184261838067414e-08,1,-4.416212284752419e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-9.533564160335573e-09,-0.9706012010574341|2.1819291262659135e-08,1,-4.4115000541467e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069331586360931,-1.1426847912332505e-08,-0.9706012010574341|2.6152386922717596e-08,1,-5.287591697822336e-09|Running
-953.4302368164062,172.20907592773438,881.5316772460938|0.24069328606128693,-5.7079327930864565e-09,-0.9706012010574341|1.3063623072184782e-08,1,-2.6412558806754305e-09|Running
