yahayuk zepetto|false|12018
-343.0119323730469,389.79449462890625,574.9025268554688|-0.0540316216647625,-9.858417371333417e-08,-0.9985392093658447|-5.80693582108438e-09,1,-9.841417636380356e-08|Running
-343.03436279296875,389.79449462890625,574.6033325195312|-0.05623079091310501,-1.0856017951255126e-07,-0.9984177947044373|-6.777472805197249e-09,1,-1.0835050545665581e-07|Running
-343.0721435546875,389.79449462890625,574.1046752929688|-0.059561945497989655,-9.14506372851065e-08,-0.9982246160507202|-6.049268197472202e-09,1,-9.125233901841057e-08|Running
-343.1111755371094,389.79449462890625,573.6062622070312|-0.06272134929895401,-9.577178161634947e-08,-0.9980310797691345|-6.713814837411292e-09,1,-9.553879465329373e-08|Running
-343.14501953125,389.79449462890625,573.2077026367188|-0.0656130313873291,-1.1038388691986256e-07,-0.9978451728820801|-7.943792290632246e-09,1,-1.1009991851551604e-07|Running
-343.2095031738281,389.79449462890625,572.5107421875|-0.0717264711856842,-1.1475916039671574e-07,-0.9974243640899658|-8.521984007359151e-09,1,-1.1444267755678084e-07|Running
-343.2435302734375,389.79449462890625,572.212646484375|-0.0756530836224556,-1.244844298753378e-07,-0.9971342086791992|-9.501459174998672e-09,1,-1.2412131411565497e-07|Running
-343.3076171875,389.79449462890625,571.7167358398438|-0.08417343348264694,-1.3297862722083664e-07,-0.9964511394500732|-1.1033756130984784e-08,1,-1.3252018504772423e-07|Running
-343.3778076171875,389.79449462890625,571.2216796875|-0.09361468255519867,-1.296090061941868e-07,-0.9956085085868835|-1.2092156609355698e-08,1,-1.2904369839361607e-07|Running
-343.4541320800781,389.79449462890625,570.7275390625|-0.10358107089996338,-1.3355614214560774e-07,-0.9946210384368896|-1.380213365820282e-08,1,-1.3284105193633877e-07|Running
-343.5244140625,389.79449462890625,570.3338012695312|-0.11308072507381439,-1.2950698646818637e-07,-0.9935858249664307|-1.4498630740433782e-08,1,-1.2869293186668074e-07|Running
-343.60028076171875,389.79449462890625,569.9410400390625|-0.12339302897453308,-1.524988277878947e-07,-0.9923578500747681|-1.8554580094587436e-08,1,-1.5136608055854595e-07|Running
-343.703125,389.79449462890625,569.4517211914062|-0.13721807301044464,-1.8336115203965164e-07,-0.9905408620834351|-2.465522719319324e-08,1,-1.816967056811336e-07|Running
-343.7927551269531,389.79449462890625,569.0619506835938|-0.1490020900964737,-2.060638024659056e-07,-0.9888368844985962|-3.002281445674271e-08,1,-2.0386612220590905e-07|Running
-343.8894348144531,389.79449462890625,568.673828125|-0.16152535378932953,-2.3262707316007436e-07,-0.9868685603141785|-3.66906292015301e-08,1,-2.2971711644004245e-07|Running
-343.9924621582031,389.79449462890625,568.287353515625|-0.17457793653011322,-2.5779920065360784e-07,-0.9846433401107788|-4.38935074953406e-08,1,-2.54037530567075e-07|Running
-344.1003723144531,389.79449462890625,567.9022216796875|-0.18764904141426086,-2.68412350123981e-07,-0.9822361469268799|-4.913382412041756e-08,1,-2.638799685428239e-07|Running
-344.27130126953125,389.79449462890625,567.3270874023438|-0.20747652649879456,-2.739559761266719e-07,-0.9782400131225586|-5.5611177884884455e-08,1,-2.682551780708309e-07|Running
-344.39019775390625,389.79449462890625,566.9451293945312|-0.22008787095546722,-2.623562238568411e-07,-0.9754800796508789|-5.6615746757415764e-08,1,-2.56177258961543e-07|Running
-344.5136413574219,389.79449462890625,566.564697265625|-0.23232348263263702,-2.4281871446873993e-07,-0.9726385474205017|-5.549467019250187e-08,1,-2.363940865279801e-07|Running
-344.63604736328125,389.79449462890625,566.1838989257812|-0.24286137521266937,-2.0200303652018192e-07,-0.9700610041618347|-4.8487592607671104e-08,1,-1.960982558557589e-07|Running
-344.7529296875,389.79449462890625,565.8013305664062|-0.25033462047576904,-1.458935230402858e-07,-0.9681593775749207|-3.665731540536399e-08,1,-1.412132490941076e-07|Running
-344.8846435546875,389.79449462890625,565.319091796875|-0.2537178099155426,-1.3997242831464973e-07,-0.9672783017158508|-3.7609733993804184e-08,1,-1.3484243766015425e-07|Running
-344.939208984375,389.79449462890625,565.0243530273438|-0.24861955642700195,-1.320344438227039e-07,-0.9686012268066406|-3.5862225189475794e-08,1,-1.2710947316918464e-07|Running
-345.00506591796875,389.79449462890625,564.6298217773438|-0.23805300891399384,-1.6833467952892534e-07,-0.9712521433830261|-4.319943514019542e-08,1,-1.627290231454026e-07|Running
-345.0706481933594,389.79449462890625,564.2352294921875|-0.22788551449775696,-1.7626599913000973e-07,-0.9736879467964172|-4.2832002833392835e-08,1,-1.7100468596709106e-07|Running
-345.13623046875,389.79449462890625,563.8406372070312|-0.2189561426639557,-1.4445089391301735e-07,-0.9757347106933594|-3.3583120284674806e-08,1,-1.405071117233092e-07|Running
-345.20184326171875,389.79449462890625,563.4461059570312|-0.21124279499053955,-1.468770278734155e-07,-0.9774336218833923|-3.2643750813576844e-08,1,-1.432130716239044e-07|Running
-345.28387451171875,389.79449462890625,562.952880859375|-0.20301266014575958,-1.232570383535858e-07,-0.9791761040687561|-2.6274690867467143e-08,1,-1.2043078356782644e-07|Running
-345.3667907714844,389.79449462890625,562.4596557617188|-0.19639375805854797,-1.1801474641970344e-07,-0.9805251359939575|-2.4220440764111117e-08,1,-1.1550749690059092e-07|Running
-345.4165954589844,389.79449462890625,562.1637573242188|-0.19308900833129883,-1.1276107869662155e-07,-0.981181263923645|-2.273768551219746e-08,1,-1.1044920000813363e-07|Running
-345.50048828125,389.79449462890625,561.6708984375|-0.18862861394882202,-1.0974818565046007e-07,-0.982048511505127|-2.1550482287580053e-08,1,-1.0761500135458846e-07|Running
-345.60565185546875,389.79449462890625,561.0801391601562|-0.18552865087985992,-1.0469771893895086e-07,-0.9826388359069824|-1.9899973224823952e-08,1,-1.0279025985937551e-07|Running
-345.6936340332031,390.8677978515625,560.5878295898438|-0.1833409070968628,-1.2273012828245555e-07,-0.9830493927001953|-2.2795246579221384e-08,1,-1.205949899940606e-07|Jumping
-345.764892578125,391.6651306152344,560.1942749023438|-0.18235056102275848,-1.4685052462937165e-07,-0.9832335710525513|-2.6950154108362767e-08,1,-1.4435649120514427e-07|Freefall
-345.8362731933594,392.407958984375,559.8007202148438|-0.1817520558834076,-1.7323336010122148e-07,-0.9833443760871887|-3.1530568378457247e-08,1,-1.7033973165325733e-07|Freefall
-345.9076843261719,393.0962829589844,559.4071655273438|-0.1812794953584671,-1.2929316994814144e-07,-0.9834316372871399|-2.3409905125504338e-08,1,-1.2715621267034294e-07|Freefall
-345.9790954589844,393.7301330566406,559.0136108398438|-0.18088041245937347,-8.61162945398064e-08,-0.9835050702095032|-1.5435221101256502e-08,1,-8.472184731544985e-08|Freefall
-346.05047607421875,394.3094482421875,558.6200561523438|-0.18053874373435974,-4.3502115687488185e-08,-0.9835678935050964|-7.568295323778784e-09,1,-4.283969445850744e-08|Freefall
-346.13299560546875,394.95697021484375,558.126953125|-0.17831751704216003,1.587427633786831e-09,-0.9839730262756348|7.373872623617217e-10,1,1.4796529557159488e-09|Freefall
-346.1787414550781,395.3045959472656,557.8304443359375|-0.17595285177230835,1.1677039779556253e-08,-0.984398603439331|2.58844834455374e-09,1,1.1399442279014238e-08|Freefall
-346.2483215332031,395.81585693359375,557.335205078125|-0.17015357315540314,-5.101066946622268e-08,-0.9854175448417664|-8.68242810980746e-09,1,-5.026632976523615e-08|Freefall
-346.2856750488281,396.0817565917969,557.0375366210938|-0.16575828194618225,-1.2316191089212225e-07,-0.9861664175987244|-2.1516598280868493e-08,1,-1.212730040833776e-07|Freefall
-346.3272705078125,396.3885803222656,556.6397705078125|-0.15795661509037018,-1.6447145867459767e-07,-0.9874460697174072|-2.8305908728043505e-08,1,-1.6203452446461597e-07|Freefall
-346.36053466796875,396.6408996582031,556.2410888671875|-0.14830395579338074,-1.9660554073652747e-07,-0.9889418482780457|-3.2468197019852596e-08,1,-1.939349374424637e-07|Freefall
-346.3971862792969,396.9172058105469,555.6422729492188|-0.13122759759426117,-2.5809814019339683e-07,-0.9913522601127625|-3.8591487339090236e-08,1,-2.5524113311803376e-07|Freefall
-346.4045104980469,397.03326416015625,555.2423706054688|-0.11641385406255722,-3.604687037750409e-07,-0.9932007789611816|-4.912143936053326e-08,1,-3.571788340650528e-07|Freefall
-346.4009094238281,397.0845642089844,554.9423828125|-0.10375900566577911,-4.765365133607702e-07,-0.9946024417877197|-5.9827570453308e-08,1,-4.728812541543448e-07|Freefall
-346.3941955566406,397.1052551269531,554.54248046875|-0.08744339644908905,-5.638322591039469e-07,-0.9961695075035095|-6.293991106076646e-08,1,-5.604755415333784e-07|Freefall
-346.374755859375,397.05450439453125,554.0428466796875|-0.06642591208219528,-5.915026122238487e-07,-0.9977913498878479|-5.4368122448522627e-08,1,-5.891924956813455e-07|Freefall
-346.3419494628906,396.95257568359375,553.6442260742188|-0.04670862853527069,-6.959528491279343e-07,-0.9989085793495178|-5.071552067192897e-08,1,-6.943418497940002e-07|Freefall
-346.31121826171875,396.8403625488281,553.345703125|-0.03152769058942795,-7.954153034006595e-07,-0.9995028972625732|-4.677233889083254e-08,1,-7.943355626593984e-07|Freefall
-346.2691955566406,396.64306640625,552.94775390625|-0.01279759407043457,-8.038124406084535e-07,-0.9999181032180786|-3.3251041031689965e-08,1,-8.034526786104834e-07|Freefall
-346.2346496582031,396.4593200683594,552.6497192382812|0.0004431515699252486,-7.444160701197688e-07,-0.9999998807907104|-2.0890690066721618e-08,1,-7.44425392440462e-07|Freefall
-346.1835021972656,396.1666564941406,552.2529296875|0.017690517008304596,-6.667362413281808e-07,-0.9998435378074646|-6.367224081316181e-09,1,-6.669532695013913e-07|Freefall
-346.1274108886719,395.8194885253906,551.8568725585938|0.03439526632428169,-6.159805252536898e-07,-0.9994083046913147|5.26711385617773e-09,1,-6.161639021229348e-07|Freefall
-346.0677490234375,395.4178161621094,551.4613037109375|0.0501585379242897,-5.64770232358569e-07,-0.9987412691116333|1.42664893232336e-08,1,-5.647655711982225e-07|Freefall
-346.0050964355469,394.9616394042969,551.0662841796875|0.06482119113206863,-5.018554816160758e-07,-0.9978969097137451|2.04985948215608e-08,1,-5.015816100240045e-07|Freefall
-345.9420471191406,394.4509582519531,550.6712646484375|0.07778012752532959,-4.2077724060618493e-07,-0.996970534324646|2.3194413500959854e-08,1,-4.2024629465231556e-07|Freefall
-345.86199951171875,393.7359924316406,550.177734375|0.09198323637247086,-3.1549646450912405e-07,-0.9957605600357056|2.2537173904879637e-08,1,-3.147578127027373e-07|Freefall
-345.8118896484375,393.26611328125,549.8820190429688|0.09985614567995071,-2.7076021069660783e-07,-0.9950019121170044|2.1835667496361566e-08,1,-2.6992893253918737e-07|Freefall
-345.7242736816406,392.4148864746094,549.3897094726562|0.11258427053689957,-2.2920039555174299e-07,-0.9936421513557434|2.173812063688274e-08,1,-2.282039162082583e-07|Freefall
-345.6520080566406,391.672607421875,548.996337890625|0.12203076481819153,-2.0768216302258224e-07,-0.9925262928009033|2.177321789531561e-08,1,-2.0656899835103104e-07|Freefall
-345.5968017578125,391.0801086425781,548.7014770507812|0.1285553127527237,-1.498312798275947e-07,-0.9917023181915283|1.7463094081904273e-08,1,-1.4882117227443814e-07|Landed
-345.501708984375,390.0245056152344,548.2106323242188|0.13905668258666992,-1.362781461011764e-07,-0.9902844429016113|1.9171807252860162e-08,1,-1.3492302741724416e-07|Landed
-345.4240417480469,389.6366271972656,547.8182983398438|0.1467820405960083,-1.343218940519364e-07,-0.9891688823699951|1.885208789076387e-08,1,-1.3299523970999871e-07|Running
-345.3461608886719,389.667236328125,547.4259643554688|0.15353964269161224,-1.3144210697646486e-07,-0.9881424903869629|1.853581999000653e-08,1,-1.3013925581617514e-07|Running
-345.26824951171875,390.5326843261719,547.03369140625|0.16006742417812347,-2.5329029540444026e-07,-0.9871060848236084|3.691425831675588e-08,1,-2.506128851109679e-07|Jumping
-345.21002197265625,391.1460266113281,546.7394409179688|0.1640012115240097,-2.300622981010747e-07,-0.9864601492881775|3.3996826687143766e-08,1,-2.2756802309231716e-07|Freefall
-345.1131286621094,392.10009765625,546.2490234375|0.16924931108951569,-1.8077959396123333e-07,-0.9855732917785645|2.82460987932609e-08,1,-1.785752203886659e-07|Freefall
-345.03564453125,392.80206298828125,545.856689453125|0.1727394461631775,-1.6793332235920388e-07,-0.9849675297737122|2.7617915066002752e-08,1,-1.6565277860536298e-07|Freefall
-344.95819091796875,393.4494934082031,545.4644165039062|0.1756984144449234,-1.5686748611187795e-07,-0.9844440221786499|2.7088924881013554e-08,1,-1.5451158219548233e-07|Freefall
-344.90008544921875,393.8993225097656,545.170166015625|0.1776212900876999,-1.6797190482975566e-07,-0.9840989112854004|2.997119352698974e-08,1,-1.6527646096164972e-07|Freefall
-344.7839050292969,394.7070007324219,544.5816650390625|0.18094085156917572,-1.3470670978676935e-07,-0.983493983745575|2.4902474748955683e-08,1,-1.3238599194664857e-07|Freefall
-344.725830078125,395.0648498535156,544.2874145507812|0.18233780562877655,-1.231169051152392e-07,-0.9832359552383423|2.3130473536525642e-08,1,-1.209265718671304e-07|Freefall
-344.6484069824219,395.4942932128906,543.8950805664062|0.1839289367198944,-1.1747804506967441e-07,-0.9829395413398743|2.2494761608982117e-08,1,-1.1530781307556026e-07|Freefall
-344.5740966796875,395.8692321777344,543.5020751953125|0.18444743752479553,-1.1749147432738027e-07,-0.9828423857688904|2.2859989456947005e-08,1,-1.1525246890187191e-07|Freefall
-344.4835205078125,396.26129150390625,543.0104370117188|0.18406356871128082,-1.1814608313898134e-07,-0.9829143285751343|2.343015914618718e-08,1,-1.158121705202575e-07|Freefall
-344.4124755859375,396.51361083984375,542.6168823242188|0.18328604102134705,-1.2007240002276376e-07,-0.9830596446990967|2.4136188159218364e-08,1,-1.1764145568804452e-07|Freefall
-344.360595703125,396.6670837402344,542.3214111328125|0.1823292076587677,-1.2410983174504508e-07,-0.9832375645637512|2.512530450360373e-08,1,-1.2156650086581067e-07|Freefall
-344.2777404785156,396.8547668457031,541.8283081054688|0.17973867058753967,-1.458356564398855e-07,-0.9837144017219543|2.9405970991547292e-08,1,-1.428771128075823e-07|Freefall
-344.2298278808594,396.9264831542969,541.5321655273438|0.17779172956943512,-1.558558864189763e-07,-0.9840681552886963|3.1036574199561073e-08,1,-1.5277177567440958e-07|Freefall
-344.1679992675781,396.97442626953125,541.136962890625|0.17476239800453186,-1.4710079199176107e-07,-0.9846106171607971|2.8206855517964868e-08,1,-1.4439342521654908e-07|Freefall
-344.1094970703125,396.9678955078125,540.7412109375|0.1710789054632187,-1.6183369666578074e-07,-0.9852573275566101|2.9259323852670605e-08,1,-1.591747036400193e-07|Freefall
-344.0547180175781,396.9068298339844,540.3450317382812|0.1666533350944519,-1.6255826551514474e-07,-0.9860155582427979|2.7664283308581616e-08,1,-1.6018806547890563e-07|Freefall
-344.00140380859375,396.7912902832031,539.9485473632812|0.16215023398399353,-1.6564430893595272e-07,-0.9867660999298096|2.660917530761253e-08,1,-1.6349328291198617e-07|Freefall
-343.9374694824219,396.5702209472656,539.4525756835938|0.15643464028835297,-1.675602590012204e-07,-0.9876883029937744|2.551946387541193e-08,1,-1.6560703386403475e-07|Freefall
-343.88653564453125,396.33203125,539.0558471679688|0.15235565602779388,-1.6573474681536027e-07,-0.9883257150650024|2.4528320707872808e-08,1,-1.639112667817244e-07|Freefall
-343.83624267578125,396.03936767578125,538.6591186523438|0.14868921041488647,-1.6364462851470307e-07,-0.9888839721679688|2.365942819437805e-08,1,-1.6192670670989173e-07|Freefall
-343.798583984375,395.7840881347656,538.361572265625|0.14624540507793427,-1.5195109881460667e-07,-0.9892483353614807|2.1630761182223068e-08,1,-1.5040480150219082e-07|Freefall
-343.7496337890625,395.39605712890625,537.964599609375|0.14304377138614655,-1.7036754229593498e-07,-0.9897163510322571|2.3685087668923188e-08,1,-1.6871453567546268e-07|Freefall
-343.6902770996094,394.8343505859375,537.468017578125|0.13897022604942322,-1.552891291112246e-07,-0.9902965426445007|2.1100660774209246e-08,1,-1.5384964058284822e-07|Freefall
-343.6429748535156,394.32366943359375,537.07080078125|0.1360701471567154,-1.498092245810767e-07,-0.9906992316246033|1.997687348875843e-08,1,-1.4847186946553848e-07|Freefall
-343.5991516113281,393.7585144042969,536.6732177734375|0.13265153765678406,-1.4557713257090654e-07,-0.9911627173423767|1.8961204162337708e-08,1,-1.443374486598259e-07|Freefall
-343.5680236816406,393.2988586425781,536.3748168945312|0.1297871172428131,-1.5619399107436038e-07,-0.991541862487793|1.9969677467202018e-08,1,-1.5491245619614347e-07|Freefall
-343.5298767089844,392.6383056640625,535.9766235351562|0.12532643973827362,-1.5880048920280387e-07,-0.9921155571937561|1.98037461984768e-08,1,-1.5756083371343266e-07|Freefall
-343.4954528808594,391.92327880859375,535.578125|0.12018243223428726,-1.5791135865583783e-07,-0.9927518367767334|1.907649860299898e-08,1,-1.567548792991147e-07|Freefall
-343.4582214355469,390.95281982421875,535.0795288085938|0.11266553401947021,-1.197275878439541e-07,-0.993632972240448|1.3094109796440989e-08,1,-1.1901007468395619e-07|Landed
-343.389404296875,389.6758728027344,534.4835205078125|0.11160189658403397,-8.602575718441585e-08,-0.9937530159950256|7.657181555487114e-09,1,-8.570660980922185e-08|Landed
-343.29638671875,389.583984375,533.9924926757812|0.12209882587194443,-1.3634932827244484e-07,-0.9925179481506348|1.2985754693772833e-08,1,-1.3577970037204068e-07|Running
-343.12518310546875,389.680908203125,533.5239868164062|0.15730220079421997,-9.518361139271292e-07,-0.9875504970550537|1.2737152133013296e-07,1,-9.435469223717519e-07|Running
-342.8713073730469,389.74749755859375,532.98046875|0.21169179677963257,-0.000002062276735159685,-0.9773364663124084|3.609684142702463e-07,1,-0.0000020319130271673203|Running
-342.6897277832031,389.76885986328125,532.6241455078125|0.24661707878112793,-0.0000020899256014672574,-0.9691129922866821|4.369607893295324e-07,1,-0.0000020453380784601904|Running
-342.5387268066406,389.7782897949219,532.364990234375|0.2737339437007904,-0.0000020440884327399544,-0.9618054628372192|4.870350949204294e-07,1,-0.0000019866495222231606|Running
-342.3316955566406,389.7857360839844,532.0227661132812|0.3086036145687103,-0.0000020389504697959637,-0.951190710067749|5.610930884358822e-07,1,-0.000001961536327144131|Running
-342.22576904296875,389.7880554199219,531.8531494140625|0.32495996356010437,-0.000001966484660442802,-0.9457277655601501|5.745457087868999e-07,1,-0.0000018819159777194727|Running
-341.9632263183594,389.79150390625,531.427734375|0.36097100377082825,-0.0000015219789020193275,-0.9325770139694214|5.050708864473563e-07,1,-0.0000014365172091856948|Running
-341.74798583984375,389.79290771484375,531.090576171875|0.38672786951065063,-0.0000012265603572814143,-0.9221938848495483|4.436551535036415e-07,1,-0.000001143996428254468|Running
-341.52459716796875,389.793701171875,530.7587890625|0.4112701117992401,-0.000001082791072803957,-0.9115135073661804|4.201571641715418e-07,1,-9.983318705053534e-07|Running
-341.2928771972656,389.79412841796875,530.4328002929688|0.4352317750453949,-0.0000010478950116521446,-0.900318443775177|4.314868533583649e-07,1,-9.55326640905696e-07|Running
-340.9915466308594,389.79437255859375,530.0338134765625|0.46490761637687683,-0.0000010588483974061091,-0.8853591680526733|4.668480642067152e-07,1,-9.508087259746389e-07|Running
-340.67431640625,389.79449462890625,529.6474609375|0.4950897991657257,-0.0000011236580803597462,-0.868841826915741|5.2906466407876e-07,1,-9.918071555148344e-07|Running
-340.3433532714844,389.79449462890625,529.272705078125|0.5250903964042664,-0.0000011742013157345355,-0.8510464429855347|5.879501259187236e-07,1,-0.0000010169532060899655|Running
-340.1271057128906,389.79449462890625,529.0650634765625|0.5460261106491089,-0.0000013625235624203924,-0.8377681374549866|7.099687309164437e-07,1,-0.0000011636418548732763|Running
-339.6736145019531,389.79449462890625,528.6721801757812|0.5917089581489563,-0.0000020440484149730764,-0.8061516284942627|0.0000011498888170535793,1,-0.000001691553734417539|Running
-339.3614196777344,389.79449462890625,528.4222412109375|0.6206241846084595,-0.0000020894885892630555,-0.7841081619262695|0.0000012351605391813791,1,-0.0000016871625803105417|Running
-339.200439453125,389.79449462890625,528.3036499023438|0.634876549243927,-0.000002045783730864059,-0.7726135849952698|0.0000012403343134792522,1,-0.000001628659788366349|Running
-338.8677978515625,389.79449462890625,528.0816650390625|0.6645991802215576,-0.000002176135922127287,-0.747200071811676|0.0000013876160664949566,1,-0.0000016781681324573583|Running
-338.5254821777344,389.79449462890625,527.8748779296875|0.6943502426147461,-0.0000024152459445758723,-0.7196372151374817|0.0000016090810959212831,1,-0.0000018036587334790966|Running
-338.1719970703125,389.79449462890625,527.6879272460938|0.7243398427963257,-0.000002644520009198459,-0.6894431114196777|0.0000018399587133899331,1,-0.000001902643703033391|Running
-337.7161560058594,389.79449462890625,527.48291015625|0.7621673941612244,-0.000003019610858245869,-0.647379994392395|0.0000022159467789606424,1,-0.0000020554982711473713|Running
-337.3409729003906,389.79449462890625,527.3446655273438|0.7920390963554382,-0.0000033072431051550666,-0.6104703545570374|0.0000025274046038248343,1,-0.0000021384164483606583|Running
-336.95587158203125,389.79449462890625,527.2372436523438|0.8223288059234619,-0.000003755479838218889,-0.5690126419067383|0.0000029858617835998302,1,-0.000002284869879076723|Running
-336.661865234375,389.79449462890625,527.178466796875|0.8450349569320679,-0.000004211606665194267,-0.5347110629081726|0.0000034453339594620047,1,-0.000002431554321447038|Running
-336.3503112792969,389.79449462890625,527.1189575195312|0.854098379611969,-0.000002275201495649526,-0.5201115012168884|0.0000019024706716663786,1,-0.0000012503170410127495|Running
-336.168212890625,389.79449462890625,527.083984375|0.8551300764083862,-1.6955554826836305e-07,-0.5184134840965271|1.5060443558922998e-07,1,-7.864217366204684e-08|Running
-336.114013671875,389.7945251464844,527.0735473632812|0.8552443981170654,1.6614579578799749e-07,-0.5182248950004578|-1.3779659013835044e-07,1,9.319511917738055e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552455902099609,6.833802501660102e-08,-0.5182228684425354|-6.120690443367494e-08,1,3.085754585185896e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-2.93861610600743e-08,-0.5182228088378906|1.5317365154032814e-08,1,-3.1426733215766944e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-8.766961911987892e-08,-0.5182228088378906|6.282707687432776e-08,1,-6.548734177158622e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-1.065628794094664e-07,-0.5182228088378906|8.135938855957647e-08,1,-7.13604535462764e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-1.2543999616809742e-07,-0.5182228088378906|9.987586935267245e-08,1,-7.722854178382477e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-1.0758925839127187e-07,-0.5182228088378906|8.799718642649168e-08,1,-6.238637695332727e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-5.3057725324379135e-08,-0.5182228088378906|4.5762291733808524e-08,1,-2.6860499602321397e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,1.4272121262592918e-09,-0.5182228088378906|3.5634812878271305e-09,1,8.635018922120707e-09|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,5.5865594816850717e-08,-0.5182228088378906|-3.8599274887474166e-08,1,4.410020792988689e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,1.1025746715631612e-07,-0.5182228088378906|-8.072601076491992e-08,1,7.953509140179449e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,8.836334330908358e-08,-0.5182228088378906|-6.60380123918003e-08,1,6.1526847616733e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,6.648792094665623e-08,-0.5182228088378906|-5.136257286153523e-08,1,4.3533983529187026e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,4.463118941089306e-08,-0.5182228088378906|-3.669966730512897e-08,1,2.555649025737239e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,9.737335382453693e-10,-0.5182228088378906|-7.411431912629496e-09,1,-1.0352422918913362e-08|Running
-336.11358642578125,389.7945556640625,527.073486328125|0.8552456498146057,-7.524744205511524e-08,-0.5182228088378906|4.3722653941813405e-08,1,-7.304547011699469e-08|Running
-336.2606201171875,389.7945556640625,526.038330078125|0.44363561272621155,-0.00003681957969092764,-0.8962072730064392|0.00002077345925499685,1,-0.000030800612876191735|Running
-336.3848571777344,389.7945556640625,524.4439697265625|0.14439699053764343,-0.000007146865300455829,-0.9895198345184326|0.0000012695072655333206,1,-0.000007037304385448806|Running
-336.2450256347656,389.7945556640625,522.9954223632812|0.10160891711711884,8.536805751191423e-08,-0.9948244094848633|-1.2714385988488175e-08,1,8.451357302874385e-08|Running
-336.0731201171875,389.7945556640625,522.5647583007812|0.5884871482849121,-0.0001176528530777432,-0.8085065484046936|0.00004622103369911201,1,-0.00011187585914740339|Running
-335.81494140625,389.7945556640625,522.6103515625|0.889860212802887,-0.0001092733145924285,-0.45623332262039185|0.00008381510269828141,1,-0.00007603476115036756|Running
-335.6765441894531,389.7945556640625,522.7498168945312|0.9522915482521057,-0.00008869374869391322,-0.305189847946167|0.00007865510269766673,1,-0.00004518879359238781|Running
-335.5222473144531,389.7945556640625,522.9611206054688|0.9855206608772278,-0.00006556398147949949,-0.1695554554462433|0.00006281941023189574,1,-0.000021551370082306676|Running
-335.24951171875,389.7945556640625,523.3761596679688|0.9995046257972717,-0.00004054476448800415,0.03147202357649803|0.000040655835618963465,1,-0.0000028892034151795087|Running
-335.08544921875,389.7945556640625,523.626953125|0.9908394813537598,-0.00003283851401647553,0.13504494726657867|0.000032960804674075916,1,0.0000013302720844876603|Running
-334.8095397949219,389.7945556640625,524.0436401367188|0.9600362777709961,-0.00002225522621301934,0.27987560629844666|0.000021945812477497384,1,0.000004239204372424865|Running
-334.6427001953125,389.7945556640625,524.2927856445312|0.936113178730011,-0.000017869597286335193,0.3516989052295685|0.00001726310256344732,1,0.000004860346507484792|Running
-334.3085632324219,389.7945556640625,524.7908935546875|0.8831303715705872,-0.000011142106814077124,0.4691275954246521|0.000010188693522650283,1,0.000004570531473291339|Running
-334.0796203613281,389.7945556640625,525.1187744140625|0.8486699461936951,-0.000008282329872599803,0.5289227366447449|0.000007281810212589335,1,0.000003975015715695918|Running
-333.72869873046875,389.7945556640625,525.6052856445312|0.8025215268135071,-0.000004540348072623601,0.5966231822967529|0.000003759092123800656,1,0.000002553698777774116|Running
-333.4259338378906,389.7945556640625,526.003173828125|0.7709177732467651,-0.000002777131157927215,0.6369346380233765|0.0000021979453777021263,1,0.0000016998538967527566|Running
-333.24072265625,389.7945556640625,526.2391967773438|0.7554370164871216,-0.0000019562164652597858,0.6552212238311768|0.0000015121868273126893,1,0.0000012421065775924944|Running
-332.98919677734375,389.7945556640625,526.5502319335938|0.738567054271698,-0.000001133367845795874,0.6741800308227539|8.523592214260134e-07,1,7.47342483009561e-07|Running
-332.7326354980469,389.7945556640625,526.8570556640625|0.7252077460289001,-6.597659307772119e-07,0.6885300874710083|4.852610686612024e-07,1,4.47113109203201e-07|Running
-332.4082336425781,389.7945556640625,527.237548828125|0.7121058106422424,-3.5448439916763164e-07,0.7020721435546875|2.5569264039404516e-07,1,2.455647631904867e-07|Running
-332.08349609375,389.7945556640625,527.6177368164062|0.7013759613037109,-2.2677242839108658e-07,0.7127915024757385|1.6125412116707594e-07,1,1.5947533427151939e-07|Running
-331.7640686035156,389.7945556640625,528.0023193359375|0.6910465955734253,-1.9350542856955144e-07,0.7228102087974548|1.3572663704053411e-07,1,1.3795045106235193e-07|Running
-331.4710998535156,389.7945556640625,528.4072875976562|0.6752431392669678,-3.8314215089485515e-07,0.7375952005386353|2.6379314022051403e-07,1,2.779541432573751e-07|Running
