kayu|true|2268
-305.9627380371094,192.2217559814453,536.8394775390625|0.8292149901390076,-8.63209663748421e-07,0.5589298009872437|7.269196657944121e-07,1,4.6595647518188343e-07|Running
-305.1046447753906,191.31463623046875,537.6780395507812|0.7709916830062866,-0.0000010160252941204817,0.6368451714515686|7.99362112502422e-07,1,6.276623025769368e-07|Running
-304.58782958984375,190.58509826660156,538.4142456054688|0.6972084045410156,-0.00000232141383094131,0.71686851978302|0.0000016833506606417359,1,0.0000016010851595638087|Running
-304.1728515625,190.06005859375,539.126953125|0.6280880570411682,-0.0000017382544683641754,0.7781422734260559|0.0000011315451047266833,1,0.0000013205097957325052|Running
-303.8551330566406,189.38958740234375,539.80615234375|0.5619348883628845,-0.0000017309810118604219,0.8271814584732056|0.000001017111912915425,1,0.000001401663780598028|Running
-303.5740966796875,188.3838653564453,540.7393188476562|0.4484649896621704,-0.000002774490667434293,0.8938003778457642|0.0000013455793350658496,1,0.0000024290050077979686|Running
-303.44744873046875,187.78076171875,541.5541381835938|0.34167975187301636,-0.0000028753329388564453,0.939816415309906|0.0000010903114571192418,1,0.0000026630684715200914|Running
-303.372314453125,187.7935333251953,542.6013793945312|0.21444465219974518,-0.000002219068164777127,0.9767361283302307|5.457382030726876e-07,1,0.0000021521036615013145|Running
-303.415283203125,187.8042755126953,543.3499145507812|0.12325717508792877,-0.000002346457449675654,0.9923747777938843|3.718504331118311e-07,1,0.0000023183017674455186|Running
-303.50469970703125,187.8065948486328,544.094482421875|0.041460201144218445,-0.0000017938102701009484,0.9991401433944702|1.2651896952320385e-07,1,0.000001790103965504386|Running
-303.615234375,187.8070831298828,544.8361206054688|-0.022695645689964294,-0.000001062105297933158,0.9997424483299255|-1.1050854675787036e-09,1,0.0000010623538173604175|Running
-303.8301696777344,187.80718994140625,546.0167236328125|-0.10719875246286392,-7.55128269247507e-07,0.9942376017570496|-6.462142465579745e-08,1,7.525373462158313e-07|Running
-304.0396728515625,187.80718994140625,546.7366943359375|-0.16602696478366852,-9.84494477052067e-07,0.9861212372779846|-1.387897867743959e-07,1,9.749833225214388e-07|Running
-304.40985107421875,187.80718994140625,547.8780517578125|-0.24331699311733246,-6.554520837198652e-07,0.9699468016624451|-1.4796530933836038e-07,1,6.386428594851168e-07|Running
-304.7265930175781,187.84068298339844,548.7197265625|-0.28822022676467896,-3.919852531453216e-07,0.9575641751289368|-1.078699085610424e-07,1,3.768885505905928e-07|Running
-305.04522705078125,187.8975830078125,549.5593872070312|-0.31563445925712585,-1.9230040493312117e-07,0.9488808512687683|-5.9219871673121816e-08,1,1.82961400696513e-07|Running
-305.2576599121094,187.9364776611328,550.1190795898438|-0.3265160620212555,-1.5596958746755263e-07,0.9451916217803955|-4.9771514909480175e-08,1,1.4782017387915403e-07|Running
-305.5234069824219,187.9784698486328,550.8193969726562|-0.33614951372146606,-1.3818925026498619e-07,0.9418086409568787|-4.5731660236469907e-08,1,1.3040501301020413e-07|Running
-305.69097900390625,188.00140380859375,551.5499877929688|-0.2996498644351959,-4.586682678109355e-07,0.9540492296218872|-1.411399637163413e-07,1,4.364299854842102e-07|Running
-305.3762512207031,188.00672912597656,552.5252075195312|0.017344003543257713,-0.000015528014046140015,0.9998495578765869|-9.955540463124635e-07,1,0.000015547619113931432|Running
-304.778564453125,188.0071258544922,553.1920776367188|0.3084889054298401,-0.000016743697415222414,0.9512279629707336|0.000003937839210266247,1,0.00001632512612559367|Running
-304.0849609375,188.00718688964844,553.7648315429688|0.5175795555114746,-0.000009552853953209706,0.8556350469589233|0.0000045634496927959844,1,0.000008404173058806919|Running
-303.3601989746094,188.00718688964844,554.2979125976562|0.6473057270050049,-0.000004484601504373131,0.7622305154800415|0.000002808741555782035,1,0.000003498268597468268|Running
-302.3873291015625,188.00718688964844,555.0003662109375|0.741284966468811,-0.0000017456594605391729,0.6711904406547546|0.000001270874804504274,1,0.0000011972445008723298|Running
-301.9123229980469,188.00718688964844,555.3667602539062|0.7564846873283386,-1.333105359435649e-07,0.6540113687515259|1.0930227745120646e-07,1,7.740695906477413e-08|Running
-301.32421875,188.00718688964844,555.8322143554688|0.7660907506942749,4.921059115758908e-08,0.6427324414253235|-2.4148206989593746e-08,1,-4.778173945396702e-08|Running
-300.8602294921875,188.00718688964844,556.2127075195312|0.7681878805160522,-9.123490940510237e-08,0.6402244567871094|7.972021620616943e-08,1,4.685045240648833e-08|Running
-300.0657958984375,188.00718688964844,556.8994140625|0.7628886103630066,-1.0471433853354029e-07,0.6465299725532532|7.042001470836112e-08,1,7.886983155458438e-08|Running
-299.6372375488281,188.00718688964844,557.3193359375|0.7503727674484253,-1.8642656129941315e-07,0.6610149145126343|1.4069669873606472e-07,1,1.2231433288434346e-07|Running
-299.11798095703125,188.00718688964844,557.8604736328125|0.7315046787261963,-2.1928576643404085e-07,0.6818364262580872|1.6241385480952886e-07,1,1.47365653901943e-07|Running
-298.6072692871094,188.00718688964844,558.40966796875|0.714847207069397,-1.7142590991170437e-07,0.6992806792259216|1.2389149617320072e-07,1,1.1849665781937802e-07|Running
-297.9972839355469,188.00718688964844,559.0713500976562|0.7000024914741516,-1.5102953909718053e-07,0.7141404151916504|1.0670910910448583e-07,1,1.068878106025295e-07|Running
-297.5906677246094,188.00718688964844,559.5126342773438|0.6939025521278381,-1.19872495929485e-07,0.7200688719749451|8.362918890725268e-08,1,8.588342836901575e-08|Running
-296.7774353027344,188.00718688964844,560.3951416015625|0.6851873397827148,-1.0905007030714842e-07,0.7283669114112854|7.502838883510776e-08,1,7.91380969644706e-08|Running
-296.1651916503906,188.00718688964844,561.0548095703125|0.6830844283103943,-1.1821759215990824e-07,0.7303394079208374|8.111670268817761e-08,1,8.599842260537116e-08|Running
-295.3488464355469,188.00718688964844,561.9342651367188|0.6815725564956665,-1.7648494221589317e-08,0.7317505478858948|1.2035496155249348e-08,1,1.2907992008592828e-08|Running
-294.7365417480469,188.00718688964844,562.5938110351562|0.6810433268547058,8.40576674931981e-08,0.7322431206703186|-5.766690591713086e-08,1,-6.116002282396948e-08|Running
-294.0221862792969,188.00718688964844,563.36328125|0.6806890368461609,3.3455464176768146e-08,0.7325724959373474|-2.2863849480359022e-08,1,-2.4423920663707577e-08|Running
-293.5119323730469,188.00718688964844,563.9129028320312|0.6805542707443237,-2.9836291215445954e-09,0.7326977252960205|2.1954493778508777e-09,1,2.0329076200198415e-09|Running
-292.9906005859375,188.00718688964844,564.4520874023438|0.6853833198547363,-1.2047284769778344e-07,0.7281824946403503|8.286968977699871e-08,1,8.74442207532411e-08|Running
-292.6776428222656,188.00718688964844,564.775390625|0.6874933838844299,-1.2266905002888961e-07,0.7261906862258911|8.436971654646186e-08,1,8.904744674964604e-08|Running
-292.156005859375,188.00718688964844,565.3142700195312|0.6902209520339966,-4.0866442674314385e-08,0.7235986590385437|2.822343603270383e-08,1,2.955510502999914e-08|Running
-291.53155517578125,188.00718688964844,565.9624633789062|0.691713809967041,5.735002517326393e-08,0.7221717238426208|-3.902073331119027e-08,1,-4.2038262648702585e-08|Running
-291.01434326171875,188.00718688964844,566.505615234375|0.6910675764083862,1.3106762253300985e-07,0.7227901816368103|-8.942087958985212e-08,1,-9.583936133594761e-08|Running
-290.3974304199219,188.00718688964844,567.1610107421875|0.6888160109519958,-2.810490684623801e-08,0.7249361872673035|1.9302152765021674e-08,1,2.0428384317483506e-08|Running
-289.9913024902344,188.00718688964844,567.6026000976562|0.6856551170349121,-1.0411245909835998e-07,0.7279265522956848|7.141511559893843e-08,1,7.57580806975966e-08|Running
-289.5963134765625,188.00718688964844,568.0542602539062|0.6784673929214478,-1.4483676125109923e-07,0.7346305251121521|9.940855250079039e-08,1,1.0534724026456388e-07|Running
-289.11456298828125,188.00718688964844,568.629150390625|0.6665323972702026,-1.293361435728002e-07,0.7454760670661926|8.711214150025626e-08,1,9.560746860870495e-08|Running
-288.64788818359375,188.00718688964844,569.2162475585938|0.6519063711166382,-1.5365380079401803e-07,0.7582994699478149|1.0147744688993043e-07,1,1.1538977418013019e-07|Running
-288.1327819824219,188.00718688964844,569.9542236328125|0.6208047866821289,-3.242558932470274e-07,0.7839651703834534|2.0520860743999947e-07,1,2.511098955437774e-07|Running
-287.7174072265625,188.00718688964844,570.5787353515625|0.5985352396965027,-2.0573290271386213e-07,0.801096498966217|1.2495641499299381e-07,1,1.634535777839119e-07|Running
-287.2959899902344,188.00718688964844,571.1991577148438|0.5861099362373352,-1.2988058983864903e-07,0.8102315068244934|7.664787915473426e-08,1,1.0485459966957933e-07|Running
-286.7778015136719,188.00718688964844,571.93505859375|0.5817825198173523,-3.708309392891351e-08,0.813344419002533|2.08655634992283e-08,1,3.066827858333454e-08|Running
-286.07708740234375,188.00718688964844,572.9093017578125|0.5828204154968262,1.7677971086982325e-08,0.8126009702682495|-1.2977392493951356e-08,1,-1.2447046060515277e-08|Running
-285.66339111328125,188.00718688964844,573.534912109375|0.5726273655891418,-1.1410412525947322e-07,0.8198157548904419|6.47383586738215e-08,1,9.396399747174655e-08|Running
-285.1348571777344,188.00718688964844,574.2633666992188|0.5782555937767029,-1.0640678738127463e-07,0.8158556818962097|6.437689137328562e-08,1,8.479501190095107e-08|Running
-284.7781677246094,188.00718688964844,574.745849609375|0.5826723575592041,-1.0904216907192676e-07,0.8127071261405945|6.537243280035909e-08,1,8.730261669143147e-08|Running
-284.30877685546875,188.00718688964844,575.330810546875|0.5972052216529846,-1.604898898222018e-07,0.8020884990692139|9.534433331737091e-08,1,1.2910015811939957e-07|Running
-283.8180847167969,188.00917053222656,575.8980102539062|0.6167120933532715,-2.0268076639240462e-07,0.7871888279914856|1.2479195277137478e-07,1,1.597076391135488e-07|Running
-283.27484130859375,188.01068115234375,576.4149169921875|0.6541892886161804,-6.940941261746048e-07,0.7563308477401733|4.4797548071073834e-07,1,5.302352974467794e-07|Running
-282.6855773925781,188.0118865966797,576.878662109375|0.7012007236480713,-0.0000011624554190348135,0.7129639387130737|7.99967722286965e-07,1,8.436857115157181e-07|Running
-281.9185791015625,188.00244140625,577.3492431640625|0.7674745917320251,-0.000001874152530945139,0.6410793662071228|0.0000014096356153459055,1,0.0000012358734693407314|Running
-281.3580017089844,188.00579833984375,577.561767578125|0.8220935463905334,-0.0000035736670724872965,0.569352388381958|0.0000028654442303377436,1,0.0000021392793314589653|Running
-280.6285095214844,188.0069122314453,577.7348022460938|0.8866869211196899,-0.000004342206011642702,0.46237027645111084|0.0000037744478049717145,1,0.0000021529331206693314|Running
-279.8934020996094,188.0001220703125,577.8831787109375|0.9267150163650513,-0.0000023206337118608644,0.3757649064064026|0.0000021348676000343403,1,9.107282039622078e-07|Running
-279.0021667480469,187.97015380859375,578.006103515625|0.9596965909004211,-0.0000018744801764114527,0.28103816509246826|0.000001787704718481109,1,5.651406240758661e-07|Running
-278.2563781738281,187.9386749267578,578.0798950195312|0.9755622148513794,-0.0000010242927146464353,0.21972346305847168|9.96833705357858e-07,1,2.3583953634442878e-07|Running
-277.51031494140625,187.90599060058594,578.14990234375|0.984194815158844,-4.6978826162558107e-07,0.17708919942378998|4.62148079805047e-07,1,8.438982490588387e-08|Running
-276.766357421875,187.8661346435547,578.2385864257812|0.9876196980476379,-1.728020748714698e-07,0.15686741471290588|1.712517985197337e-07,1,2.3398341042479842e-08|Running
-276.0272521972656,187.79635620117188,578.3438720703125|0.9885039329528809,-1.3481202643106371e-07,0.15119504928588867|1.3361452033677779e-07,1,1.807964089550751e-08|Running
-274.85906982421875,187.60128784179688,578.5567016601562|0.9861378073692322,-1.162783576091897e-07,0.16592830419540405|1.1473822070229289e-07,1,1.8867536866196133e-08|Running
-273.7402648925781,187.1608428955078,578.82373046875|0.9795220494270325,-1.7851679956493172e-07,0.20133690536022186|1.7529468721022567e-07,1,3.383278723845251e-08|Running
-272.7792053222656,186.85398864746094,579.0865478515625|0.9729514122009277,-1.703713934375628e-07,0.23100993037223816|1.6617921971828764e-07,1,3.760483480164112e-08|Running
-272.1103210449219,186.52777099609375,579.2735595703125|0.9697283506393433,-1.381791747689931e-07,0.2441861480474472|1.3420581979062263e-07,1,3.290923800136625e-08|Running
-271.3303527832031,186.183349609375,579.4951171875|0.9666675925254822,-1.1084873108302418e-07,0.256034791469574|1.0735575983744639e-07,1,2.7618909825832816e-08|Running
-270.52423095703125,185.83982849121094,579.7243041992188|0.9647510051727295,-1.0013053497459623e-07,0.26316431164741516|9.675163425981737e-08,1,2.5798712499636167e-08|Running
-269.8264465332031,185.62901306152344,579.922607421875|0.9637826681137085,-7.256149814338642e-08,0.26668888330459595|6.991245271592561e-08,1,1.9427474740041362e-08|Running
-269.1466979980469,185.42930603027344,580.1688842773438|0.9566143751144409,-1.9845712984079e-07,0.29135701060295105|1.9063475065195234e-07,1,5.523527946138529e-08|Running
-268.4925537109375,185.16122436523438,580.4595947265625|0.943882405757904,-4.859246587329835e-07,0.33028173446655273|4.6158291411302343e-07,1,1.521265886594847e-07|Running
-267.86431884765625,184.9351806640625,580.8026123046875|0.9244325757026672,-8.503425306116696e-07,0.3813454806804657|7.940977866383037e-07,1,3.048486689749552e-07|Running
-267.1361083984375,184.67355346679688,581.2772827148438|0.8932355642318726,-0.0000010882672540901694,0.44958898425102234|9.848500894804602e-07,1,4.6389956764869567e-07|Running
-266.6571044921875,184.53768920898438,581.6104125976562|0.8752056360244751,-6.116613349149702e-07,0.4837510883808136|5.396905748966674e-07,1,2.880015870232455e-07|Running
-265.95068359375,184.31570434570312,582.1148681640625|0.851745069026947,-3.9613587432540953e-07,0.5239564180374146|3.4042969332404027e-07,1,2.0264388922441867e-07|Running
-265.371337890625,184.0675506591797,582.5350341796875|0.8378845453262329,-2.1523420912217262e-07,0.545847475528717|1.8131709111912642e-07,1,1.1598738325346858e-07|Running
-264.7994079589844,183.83612060546875,582.949951171875|0.8284285068511963,-1.2660331094593857e-07,0.5600948929786682|1.0541590000912038e-07,1,7.011985303506663e-08|Running
-264.3393249511719,183.6286163330078,583.2837524414062|0.8233121037483215,-1.352610894400641e-07,0.5675889253616333|1.1190714843678506e-07,1,7.59820579787629e-08|Running
-263.4247131347656,183.27072143554688,583.9592895507812|0.8132458329200745,-1.1814819345090655e-07,0.581920325756073|9.661889777135002e-08,1,6.800463836498238e-08|Running
-262.490234375,182.99612426757812,584.649658203125|0.8083255887031555,-1.19307500767718e-07,0.5887356996536255|9.627814279156155e-08,1,7.046186567549739e-08|Running
-261.65460205078125,182.8954315185547,585.2671508789062|0.8063533306121826,-7.861268969122648e-09,0.591434121131897|6.166072097357755e-09,1,4.885135851395717e-09|Running
-260.93780517578125,182.8338165283203,585.8046264648438|0.803871750831604,3.5875611814617514e-08,0.5948026776313782|-2.9171715709708224e-08,1,-2.0889775242949327e-08|Running
-259.9840393066406,182.91497802734375,586.5306396484375|0.7995312213897705,-5.493393828714943e-08,0.6006245613098145|4.388468255456246e-08,1,3.304354478927962e-08|Running
-259.27813720703125,183.0582733154297,587.0706176757812|0.797370195388794,-7.767464893504439e-08,0.6034905314445496|6.23929423682057e-08,1,4.627144534197214e-08|Running
-258.81536865234375,183.1737060546875,587.4323120117188|0.7948435544967651,-9.26420469227196e-08,0.6068143844604492|7.447332706078669e-08,1,5.5119663500136085e-08|Running
-258.24072265625,183.3256072998047,587.8887939453125|0.7909281253814697,-1.0897895919015355e-07,0.6119090914726257|8.709562138164983e-08,1,6.552048859020942e-08|Running
-257.66900634765625,183.4796600341797,588.3489379882812|0.7869493961334229,-9.205632522935048e-08,0.6170175671577454|7.27282980506061e-08,1,5.6437350792748475e-08|Running
-256.9866027832031,183.66456604003906,588.9055786132812|0.7821385264396667,-9.179827742400448e-08,0.6231045722961426|7.179079375418951e-08,1,5.72101974682937e-08|Running
-256.41119384765625,183.7660675048828,589.3768920898438|0.7792643904685974,-1.066118144876782e-07,0.6266953349113464|8.331836198749443e-08,1,6.651523420941885e-08|Running
-255.83436584472656,183.80760192871094,589.8549194335938|0.7761527299880981,-6.089815940413246e-08,0.6305449604988098|4.760811123105668e-08,1,3.79782498782788e-08|Running
-255.37498474121094,183.80189514160156,590.2409057617188|0.7733488082885742,-1.0131109462463428e-07,0.6339807510375977|7.902388432512453e-08,1,6.340581393260436e-08|Running
-254.91734313964844,183.80555725097656,590.6288452148438|0.7705155611038208,-9.854971949607716e-08,0.637421190738678|7.661228096367267e-08,1,6.199788060712308e-08|Running
-254.35044860839844,183.80685424804688,591.1199340820312|0.7656581401824951,-1.176567749894275e-07,0.6432477235794067|9.076333640223311e-08,1,7.487486897161943e-08|Running
-253.67410278320312,183.80714416503906,591.713623046875|0.7599859237670898,-1.116777355036902e-07,0.6499395370483398|8.523892347511719e-08,1,7.215648878400316e-08|Running
-253.2278594970703,183.80718994140625,592.1146850585938|0.7556425333023071,-1.209513271760443e-07,0.6549842953681946|9.185095706243374e-08,1,7.86963099130844e-08|Running
-252.56703186035156,183.80718994140625,592.7255859375|0.7471582889556885,-1.3124318343216146e-07,0.6646461486816406|9.894721131331607e-08,1,8.623227643056453e-08|Running
-252.13720703125,183.80718994140625,593.1441650390625|0.7390466928482056,-1.3129587728144543e-07,0.6736541986465454|9.795294886316697e-08,1,8.743963775259544e-08|Running
-251.50218200683594,183.80718994140625,593.7819213867188|0.7257959246635437,-1.350174869685361e-07,0.6879100799560547|9.886715446327798e-08,1,9.195986194754369e-08|Running
-250.68040466308594,183.80718994140625,594.656494140625|0.704119861125946,-1.4858251518035104e-07,0.710081160068512|2.2686273837280169e-07,1,-1.5710932999013494e-08|Running
-249.87518310546875,183.80718994140625,595.5459594726562|0.6863342523574829,-8.519526772943209e-08,0.7272862792015076|1.293707185823223e-07,1,-4.94480589807722e-09|Running
-249.3257598876953,183.80718994140625,596.1613159179688|0.6782243251800537,-8.603966250575468e-08,0.7348549365997314|1.3031940682139975e-07,1,-3.1926337129561944e-09|Running
-248.77914428710938,183.80718994140625,596.7791748046875|0.6722148060798645,-7.961700276837291e-08,0.7403561472892761|1.205375923518659e-07,1,-1.9046983990023136e-09|Running
-248.1829833984375,183.80718994140625,597.4533081054688|0.6680035591125488,-8.013072516632747e-08,0.7441580891609192|1.20915913726094e-07,1,-8.621027225430566e-10|Running
-247.38809204101562,183.80718994140625,598.3519287109375|0.6647983193397522,-3.91004313371468e-08,0.7470228672027588|5.865686958372862e-08,1,1.4115106306000769e-10|Running
-246.68206787109375,183.80718994140625,599.12890625|0.6679303050041199,-6.612128089500402e-08,0.7442238330841064|9.876372786266074e-08,1,2.0691422186747133e-10|Running
-246.21104431152344,183.80718994140625,599.6122436523438|0.6764413714408875,-8.984692811964123e-08,0.7364965081214905|1.350798299881717e-07,1,-2.072855664891904e-09|Running
-245.67318725585938,183.80718994140625,600.1349487304688|0.6901214718818665,-1.3980856294892874e-07,0.7236935496330261|2.0969200420495326e-07,1,-6.7768874956186664e-09|Running
-244.99282836914062,183.80718994140625,600.7238159179688|0.7167670726776123,-4.1092621927418804e-07,0.6973126530647278|6.119872182352992e-07,1,-3.9761292924822556e-08|Running
-244.0382843017578,183.80718994140625,601.4507446289062|0.7601855397224426,-6.366424827319861e-07,0.6497060656547546|9.403563581145136e-07,1,-1.20366436817676e-07|Running
-243.14630126953125,183.80718994140625,602.0043334960938|0.8044913411140442,-0.0000010325843504688237,0.5939643383026123|0.0000015019818420114461,1,-2.9588835559479776e-07|Running
-242.2864227294922,183.80718994140625,602.4638061523438|0.8411397933959961,-9.156034366242238e-07,0.5408177971839905|0.0000013142699799573165,1,-3.511002830691723e-07|Running
-242.3393096923828,183.8035430908203,602.32861328125|0.6351118683815002,0.0020786779932677746,-0.7724173665046692|-0.004728137981146574,0.9999880790710449,-0.0011965592857450247|Running
-243.1118927001953,183.8068084716797,601.6192016601562|-0.09243933856487274,0.0007761691231280565,-0.9957180023193359|-0.0008436134667135775,0.9999992847442627,0.0008578248671256006|Running
-243.606201171875,183.80718994140625,601.5901489257812|-0.6544278860092163,0.0012979400344192982,-0.7561233043670654|-0.0007553346222266555,0.9999969005584717,0.002370311878621578|Running
-243.84471130371094,183.80471801757812,602.3455200195312|-0.9979525208473206,0.0015121084870770574,0.0639415755867958|0.0016720487037673593,0.9999955892562866,0.002447910374030471|Running
-243.51121520996094,183.8069610595703,603.1451416015625|-0.6342746615409851,0.0012237358605489135,0.7731068134307861|0.0022028330713510513,0.9999975562095642,0.00022437830921262503|Running
-242.46006774902344,183.80380249023438,603.4558715820312|0.44265779852867126,0.001353320199996233,0.8966895937919617|0.0013579900842159986,0.9999967217445374,-0.0021796179935336113|Running
-241.72218322753906,183.8068389892578,602.9559326171875|0.9653085470199585,0.0011368249543011189,0.2611093819141388|-0.0006548847886733711,0.9999979138374329,-0.0019327405607327819|Running
-241.6508026123047,183.80723571777344,602.5067138671875|0.9366617202758789,0.0015414213994517922,-0.35023200511932373|-0.0023624941240996122,0.9999953508377075,-0.0019171393942087889|Running
-242.33973693847656,183.80516052246094,602.2815551757812|0.12844572961330414,0.001922519295476377,-0.9917146563529968|-0.0038934191688895226,0.9999914169311523,0.001434293226338923|Running
-243.15292358398438,183.80711364746094,602.7307739257812|-0.7811154127120972,0.0015445223543792963,-0.6243847608566284|-0.00034991613938473165,0.9999957084655762,0.0029114107601344585|Running
-243.31607055664062,183.80284118652344,603.3395385742188|-0.9930877089500427,0.0015749061712995172,0.11736401170492172|0.0018794084899127483,0.9999951720237732,0.0024838868994265795|Running
-242.91212463378906,183.80616760253906,603.7630004882812|-0.6408426761627197,0.0017312816344201565,0.7676702737808228|0.003475649980828166,0.9999937415122986,0.0006462071905843914|Running
-242.293212890625,183.8071746826172,603.7186889648438|0.06705354899168015,0.001741272397339344,0.9977478384971619|0.002961401827633381,0.9999937415122986,-0.0019442125922068954|Running
-241.85601806640625,183.80335998535156,603.2673950195312|0.7278786897659302,0.0016932081198319793,0.6857038140296936|0.0007860880577936769,0.9999942183494568,-0.0033037224784493446|Running
-241.81695556640625,183.80633544921875,602.6400756835938|0.9998019337654114,0.001651620608754456,0.0198323056101799|-0.001594907371327281,0.9999945759773254,-0.0028751168865710497|Running
-242.23106384277344,183.8072052001953,602.06103515625|0.7200993895530701,0.0015535311540588737,-0.6938691735267639|-0.0029199214186519384,0.9999954104423523,-0.0007913735462352633|Running
-242.9023895263672,183.80380249023438,601.78076171875|0.10045743733644485,0.0012891348451375961,-0.9949405193328857|-0.0021078495774418116,0.9999971985816956,0.001082860748283565|Running
-243.71974182128906,183.80677795410156,602.0147705078125|-0.6730957627296448,0.0012937876163050532,-0.7395541667938232|-0.0006455922848545015,0.999997079372406,0.002336987992748618|Running
-244.3548583984375,183.8071746826172,602.990966796875|-0.9802871942520142,-0.00009629932173993438,0.19757772982120514|-0.00010438670142320916,1,-0.00003051775274798274|Running
-244.86676025390625,183.8071746826172,604.074462890625|-0.7380102872848511,-0.000024620190743007697,0.6747894287109375|-0.000019522816728567705,1,0.000015133833585423417|Running
-245.09886169433594,183.8071746826172,604.627197265625|-0.6498197317123413,-0.0000056557837524451315,0.7600883841514587|-0.0000037238100958347786,1,0.0000042573710743454285|Running
-245.41058349609375,183.8071746826172,605.4713745117188|-0.5348904132843018,-0.000003782698513532523,0.8449214696884155|-0.0000021392600046965526,1,0.0000031226911687554093|Running
-245.62998962402344,183.8071746826172,606.1884765625|-0.4559497535228729,-0.00000211925453186268,0.8900055289268494|-9.995188747780048e-07,1,0.0000018691165450945846|Running
-245.80555725097656,183.8071746826172,606.9176025390625|-0.3832795023918152,-0.0000017151352267319453,0.9236323833465576|-6.888703296681342e-07,1,0.000001571085363138991|Running
-245.9632568359375,183.8071746826172,607.6507568359375|-0.32577231526374817,-9.705031516205054e-07,0.9454482793807983|-3.260185224007728e-07,1,9.141646728494379e-07|Running
-246.14633178710938,183.8071746826172,608.5318603515625|-0.27656683325767517,-4.683127201587922e-07,0.9609946608543396|-1.3126656028816797e-07,1,4.495433074680477e-07|Running
-246.29931640625,183.8071746826172,609.2659301757812|-0.25182610750198364,-2.011695556802806e-07,0.9677724838256836|-5.0173230903283184e-08,1,1.9481295510104246e-07|Running
-246.5448455810547,183.8071746826172,610.4404296875|-0.2263665497303009,-1.2553331885101215e-07,0.9740421772003174|-2.832049617040866e-08,1,1.222970666958645e-07|Running
-246.79043579101562,183.8071746826172,611.6148071289062|-0.2144262194633484,-1.2086628942142852e-07,0.9767401814460754|-2.506902596621785e-08,1,1.1824109691360718e-07|Running
-246.93978881835938,183.8071746826172,612.5023803710938|-0.19506098330020905,-1.465378005605089e-07,0.9807910919189453|-2.882110194946108e-08,1,1.4367577705343137e-07|Running
-246.9054718017578,183.8071746826172,613.700927734375|-0.07664413005113602,-0.0000016052114233389148,0.9970585107803345|0.000002321766260138247,1,0.000001788421855053457|Running
-246.4691619873047,183.8071746826172,614.8145751953125|0.167791947722435,-0.00000691235209160368,0.9858224391937256|0.000010982422281813342,1,0.0000051424981393211056|Running
-246.05348205566406,183.8071746826172,615.613037109375|0.29202011227607727,-0.0000028155495783721562,0.9564121961593628|0.0000049530585783941206,1,0.0000014315552334664972|Running
-245.738525390625,183.8071746826172,616.2940673828125|0.33718445897102356,-4.048677340051654e-07,0.941438615322113|7.884457318141358e-07,1,1.4766355604933779e-07|Running
-245.4213104248047,183.8071746826172,617.136474609375|0.34412306547164917,5.4563869866797177e-08,0.9389245510101318|-1.0684619411449603e-07,1,-1.8953207003846728e-08|Running
-245.2160186767578,183.8071746826172,618.3189697265625|0.253569632768631,-9.559162208461203e-07,0.9673171639442444|0.000001809075342862343,1,5.139883114679833e-07|Running
-245.46669006347656,184.6781463623047,619.16357421875|-0.039750903844833374,-0.000009039596989168786,0.9992096424102783|0.00001686404357315041,1,0.000009717638022266328|Running
-245.98947143554688,185.69061279296875,619.3450927734375|-0.5085732936859131,-0.00004704720777226612,0.861018717288971|0.00008222746691899374,1,0.00010321018635295331|Running
-246.62841796875,186.38970947265625,619.0606689453125|-0.861943244934082,-0.00004466540849534795,0.5070047974586487|0.000016401585526182316,1,0.00011598044511629269|Running
-247.24722290039062,186.48109436035156,618.5777587890625|-0.9999898672103882,-0.00003105845098616555,-0.004507303237915039|-0.00003136107625323348,1,0.0000670706358505413|Running
-247.63522338867188,186.13656616210938,618.1173095703125|-0.9602085947990417,-0.00001864314435806591,-0.2792837619781494|-0.000028259773898753338,1,0.00003040682895516511|Running
-248.1116943359375,186.15267944335938,617.24267578125|-0.7909499406814575,-0.000014725487744726706,-0.611880898475647|-0.000029475020710378885,1,0.000014035047570359893|Running
-248.4640655517578,185.83843994140625,616.25830078125|-0.5633853077888489,-0.000008579979294154327,-0.8261942863464355|-0.00001799772508093156,1,0.000001887781422738044|Running
-248.60406494140625,185.2270050048828,615.511962890625|-0.41645142436027527,-0.000004581955181492958,-0.9091579914093018|-0.00000919525064091431,1,-8.277770575659815e-07|Running
-248.72901916503906,184.57273864746094,614.7702026367188|-0.283227801322937,-0.0000019010392406926258,-0.9590526819229126|-0.0000036699384509120136,1,-8.983976158560836e-07|Running
-249.0269317626953,183.83837890625,613.6800537109375|-0.27097272872924805,2.5923776902914142e-08,-0.9625869989395142|4.3786066328266315e-08,1,1.4605376463805442e-08|Running
-249.42709350585938,183.80142211914062,612.7109985351562|-0.3225400447845459,-4.385126430861419e-07,-0.9465557932853699|-7.930302103886788e-07,1,-1.9304582110635238e-07|Running
-249.7026824951172,183.80551147460938,612.1782836914062|-0.36030295491218567,-6.95112134962983e-07,-0.9328353404998779|-0.0000012578664154716535,1,-2.5931603886419907e-07|Running
-250.4390411376953,183.80694580078125,611.9713134765625|-0.7594028115272522,-0.000057845929404720664,-0.6506207585334778|-0.00008729314868105575,1,0.000012979506209376268|Running
