kayu|true|2268
-309.81597900390625,95.80632781982422,1592.654541015625|0.9390968084335327,-0.000015132719454413746,0.34365275502204895|0.00003027183083759155,1,-0.00003868864951073192|Running
-309.8159484863281,95.80712890625,1592.654541015625|0.9390974640846252,-2.892070654070267e-07,0.34365084767341614|5.758270162914414e-07,1,-7.319948167605617e-07|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.487703637006234e-08,0.34365084767341614|-7.012404523720761e-08,1,9.013879775920941e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.3118314767801564e-10,0.34365084767341614|-2.5365926026310603e-10,1,1.074910604970114e-09|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.3164160367628028e-08,0.34365084767341614|4.637683304054008e-08,1,-5.932826496746202e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-3.919045532541077e-09,0.34365084767341614|8.482097690887258e-09,1,-1.1774946351295057e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.5276745202186248e-08,0.34365084767341614|-2.931552067764187e-08,1,3.565650175119117e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.4423329964283766e-08,0.34365084767341614|-6.701626631411273e-08,1,8.296640885419038e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,8.579995380841865e-09,0.34365084767341614|-1.6872769847964264e-08,1,2.114116703921809e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.973098212066816e-08,0.34365084767341614|5.776524147904638e-08,1,-7.134045887369211e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,9.815268597890281e-09,0.34365084767341614|-1.8848933081017094e-08,1,2.2946887057173626e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.5982622275932954e-08,0.34365084767341614|-5.0251355077080007e-08,1,6.171466537807646e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.4159700079119375e-08,0.34365084767341614|2.7275280700678195e-08,1,-3.333164499963459e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.670676752496547e-08,0.34365084767341614|3.226366374065037e-08,1,-3.955165084335022e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.148402427655128e-08,0.34365084767341614|-6.066882463073853e-08,1,7.417388303565531e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,9.474788065233497e-09,0.34365084767341614|-1.8281269831277314e-08,1,2.2386400289065023e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.8486838726516908e-08,0.34365084767341614|3.558518457680293e-08,1,-4.344851589621612e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.7479147846065644e-08,0.34365084767341614|5.292227100994751e-08,1,-6.46587210439975e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.245440905961459e-08,0.34365084767341614|-2.3965728956909516e-08,1,2.9249880739712353e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.7791919876563043e-08,0.34365084767341614|-5.350334220111108e-08,1,6.533647223250227e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-5.83445247670511e-09,0.34365084767341614|1.1220493867369896e-08,1,-1.3684486432907761e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.6746853620807087e-08,0.34365084767341614|5.1477236695518513e-08,1,-6.284078324370057e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.3656392400539517e-08,0.34365084767341614|-4.552000021362801e-08,1,5.5554430389292975e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,9.188106275814789e-09,0.34365084767341614|-1.768287560821591e-08,1,2.1585391252187947e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-3.21400825953333e-08,0.34365084767341614|6.184335177294997e-08,1,-7.547441782662645e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.1287992762731847e-08,0.34365084767341614|-2.1558056673143255e-08,1,2.6064604696784954e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.0479294704500717e-08,0.34365084767341614|-3.9245257710263104e-08,1,4.765251659932801e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.3487627842655456e-08,0.34365084767341614|4.491382910032371e-08,1,-5.438903016852237e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.579908648352557e-08,0.34365084767341614|3.0240485671129136e-08,1,-3.666418280090511e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.3852908981325527e-08,0.34365084767341614|-4.559388600000602e-08,1,5.518447565577844e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,6.121818163506987e-09,0.34365084767341614|-1.1719303749657684e-08,1,1.4211373411399109e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.9858178152153414e-08,0.34365084767341614|5.7050364432598144e-08,1,-6.901677807036322e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.984329145443553e-08,0.34365084767341614|3.792206726416225e-08,1,-4.58873472553023e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.3890827155194074e-08,0.34365084767341614|-2.6532571695270235e-08,1,3.2084436440982245e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.482586663494658e-08,0.34365084767341614|-6.653443307413909e-08,1,8.047834398894338e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.0850079057433959e-08,0.34365084767341614|-2.0732633387865462e-08,1,2.5083261689928804e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.50367744314417e-08,0.34365084767341614|4.7823313309436344e-08,1,-5.7831886834947e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.9028793591123758e-08,0.34365084767341614|5.5452005653933156e-08,1,-6.706238053766356e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.958671091983888e-08,0.34365084767341614|-3.74108921619154e-08,1,4.523709051795777e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.8827860987235e-08,0.34365084767341614|-5.506418077061426e-08,1,6.658727613739757e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-2.8020203345080485e-12,0.34365084767341614|3.4907708234416246e-12,1,-1.3855745977647826e-12|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-3.451830465905914e-08,0.34365084767341614|6.592943435634879e-08,1,-7.97200527813402e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,4.744366677300604e-09,0.34365084767341614|-9.060609151845256e-09,1,1.0954225082571156e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,2.1180948550636458e-08,0.34365084767341614|-4.0454686711655086e-08,1,4.891576566024014e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.0016186102745905e-08,0.34365084767341614|1.912943403681311e-08,1,-2.312875935217562e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-3.595269859602013e-08,0.34365084767341614|6.866618917911183e-08,1,-8.302480125621514e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-1.3239825236155411e-08,0.34365084767341614|2.528701870119221e-08,1,-3.057507669268489e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.5459144953620125e-08,0.34365084767341614|-6.772312843850159e-08,1,8.188391120711458e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.1139764666268093e-08,0.34365084767341614|-2.127590015277292e-08,1,2.5724887109390693e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-3.8744531138945604e-08,0.34365084767341614|7.399758317205851e-08,1,-8.946990703861957e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,-4.0549288371494185e-09,0.34365084767341614|7.744572094736668e-09,1,-9.36409616514311e-09|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,3.0545763252121105e-08,0.34365084767341614|-5.833863170323639e-08,1,7.05364229247607e-08|Running
-309.8159484863281,95.80719757080078,1592.654541015625|0.9390974640846252,1.4606043485798637e-08,0.34365084767341614|-2.7895804777244848e-08,1,3.372852575012075e-08|Running
-309.8138122558594,95.80719757080078,1592.196044921875|0.9255268573760986,-0.00010594194463919848,-0.3786819875240326|0.000107913940155413,1,-0.000016015263099689037|Running
-309.83099365234375,95.77284240722656,1591.14697265625|0.8232680559158325,0.0019949788693338633,-0.5676493048667908|-0.0017376168398186564,0.9999979734420776,0.0009943647310137749|Running
-309.9168701171875,95.53294372558594,1590.115478515625|0.9442600011825562,0.0037884239573031664,-0.3291788101196289|-0.0037936295848339796,0.9999926090240479,0.0006264779949560761|Running
-309.8514709472656,95.35283660888672,1588.931884765625|0.627163827419281,-0.00006263354589464143,-0.7788873314857483|0.0000597495018155314,1,-0.00003230353831895627|Running
-309.776123046875,95.16226959228516,1587.6739501953125|0.29827994108200073,-0.000011562925465113949,-0.9544784426689148|0.000004504498519963818,1,-0.00001070670987246558|Running
-309.7097473144531,94.86343383789062,1586.654541015625|0.1855347901582718,-0.0000014565010815204005,-0.9826377034187317|2.5818573590186134e-07,1,-0.000001433487341273576|Running
-309.6355285644531,94.4984130859375,1585.507080078125|0.1196519136428833,-4.389232799439924e-07,-0.9928159117698669|5.399980196330034e-08,1,-4.3559143136917555e-07|Running
-309.58819580078125,94.35665893554688,1584.77587890625|0.10038996487855911,-1.5177074885741604e-07,-0.994948148727417|1.2081798672625155e-08,1,-1.5132231112602312e-07|Running
-309.5312194824219,94.20774841308594,1583.893310546875|0.08575122058391571,-1.2026730189518275e-07,-0.9963165521621704|1.0706830977369464e-08,1,-1.1979041403265e-07|Running
-309.48431396484375,94.0093765258789,1583.166748046875|0.07844144850969315,-1.0569339536914413e-07,-0.9969187378883362|8.534564166495784e-09,1,-1.0534854055777032e-07|Running
-309.4331359863281,93.74305725097656,1582.307861328125|0.07075241208076477,-1.028760650001459e-07,-0.9974939227104187|6.359501369956888e-09,1,-1.026834439699087e-07|Running
-309.38214111328125,93.47665405273438,1581.449462890625|0.0660625472664833,-5.001013647643049e-08,-0.9978154897689819|2.443300672894111e-09,1,-4.995785829464694e-08|Running
-309.34320068359375,93.26453399658203,1580.7335205078125|0.062105804681777954,-4.256808239233578e-08,-0.9980695843696594|1.5778139905719968e-09,1,-4.255223728932833e-08|Running
-309.3042297363281,93.04058074951172,1580.0140380859375|0.059408675879240036,-8.074968604887545e-08,-0.9982337355613708|3.3434235380269683e-09,1,-8.069358869988719e-08|Running
-309.2647705078125,92.85687255859375,1579.2908935546875|0.0577099584043026,-1.0287055829394376e-07,-0.9983333945274353|4.574950640545694e-09,1,-1.0277782536149971e-07|Running
-309.2249755859375,92.6884765625,1578.5611572265625|0.05659382790327072,9.974515435828835e-09,-0.9983972907066345|-1.65911756555559e-10,1,9.981122595092984e-09|Running
-309.1610412597656,92.46241760253906,1577.3885498046875|0.05542419105768204,6.968068078094802e-08,-0.9984629154205322|-2.821872735481179e-09,1,6.963131227166741e-08|Running
-309.1128845214844,92.29412841796875,1576.5059814453125|0.05501014366745949,-3.007152926670642e-08,-0.998485803604126|9.792250343920728e-10,1,-3.006318394227492e-08|Running
-309.08056640625,92.24563598632812,1575.9119873046875|0.054849326610565186,-9.669698641801006e-08,-0.9984946250915527|3.5182246005405204e-09,1,-9.664950795240657e-08|Running
-309.048095703125,92.17423248291016,1575.3167724609375|0.0547347292304039,-8.623148772812783e-08,-0.9985009431838989|3.2004519034956047e-09,1,-8.618551561312415e-08|Running
-308.9990234375,92.08873748779297,1574.4232177734375|0.054759494960308075,4.482509297076831e-08,-0.9984995722770691|-1.5490594362788102e-09,1,4.480749993263089e-08|Running
-308.96630859375,92.01526641845703,1573.8280029296875|0.054774168878793716,9.61371782182141e-08,-0.998498797416687|-3.4270954962778433e-09,1,9.609372142449502e-08|Running
-308.921630859375,91.93518829345703,1573.083984375|0.05647401884198189,2.039605462300642e-08,-0.9984040856361389|-6.918736139560622e-10,1,2.0389521182551107e-08|Running
-308.8677673339844,91.81472778320312,1572.1917724609375|0.05800030380487442,-8.218616898147957e-08,-0.9983165860176086|3.2213149925297557e-09,1,-8.213760338549037e-08|Running
-308.8227233886719,91.77676391601562,1571.44482421875|0.05876683443784714,-6.38815293996231e-08,-0.9982717633247375|2.5035979955845278e-09,1,-6.384473749676545e-08|Running
-308.7956237792969,91.78763580322266,1570.99560546875|0.05907149240374565,-1.039202768282621e-08,-0.9982537627220154|4.1953213125722755e-10,1,-1.0385380555533175e-08|Running
-308.7412109375,91.80397033691406,1570.096923828125|0.05961395427584648,9.544573487119123e-08,-0.9982215166091919|-3.6950842385863325e-09,1,9.539511580669569e-08|Running
-308.69573974609375,91.80652618408203,1569.3480224609375|0.0599624440073967,4.382630081067873e-08,-0.9982006549835205|-1.6972312444352156e-09,1,4.380335028031368e-08|Running
-308.6501159667969,91.80706024169922,1568.59912109375|0.06026585027575493,-4.2783636189369645e-08,-0.9981823563575745|1.6670713698374584e-09,1,-4.2760891716397964e-08|Running
-308.6040344238281,91.80717468261719,1567.850830078125|0.0606628842651844,-1.2969273655016877e-07,-0.99815833568573|5.054945795279764e-09,1,-1.2962482287548482e-07|Running
-308.5576171875,91.80719757080078,1567.1025390625|0.06108742952346802,-2.3324910003452715e-08,-0.9981324076652527|9.17457498861296e-10,1,-2.3312402674946497e-08|Running
-308.51092529296875,91.80719757080078,1566.354248046875|0.06150975078344345,8.210699320443382e-08,-0.9981064796447754|-3.176528817760982e-09,1,8.206699675383788e-08|Running
-308.4640808105469,91.80719757080078,1565.60595703125|0.06186218559741974,7.01469886621453e-08,-0.9980847239494324|-2.716183056250543e-09,1,7.011324498762406e-08|Running
-308.42657470703125,91.80719757080078,1565.00732421875|0.06205255538225174,-1.7849760558519279e-09,-0.9980728626251221|7.530390894183725e-11,1,-1.7837407106924275e-09|Running
-308.3794250488281,91.80719757080078,1564.259033203125|0.06232064217329025,-9.175281689977055e-08,-0.998056173324585|3.57361185088223e-09,1,-9.170837245164876e-08|Running
-308.332275390625,91.80719757080078,1563.5107421875|0.06250446289777756,-6.613090164364621e-08,-0.9980446696281433|2.5759825383886437e-09,1,-6.609913327793038e-08|Running
-308.2851257324219,91.80719757080078,1562.762451171875|0.06262591481208801,3.633085299270533e-08,-0.9980370998382568|-1.4145812299304339e-09,1,3.6313544171662215e-08|Running
-308.2474060058594,91.80719757080078,1562.163818359375|0.0626903548836708,1.1811144418061303e-07,-0.9980330467224121|-4.600075431682171e-09,1,1.180552757773512e-07|Running
-308.1953430175781,91.80719757080078,1561.26513671875|0.06076560541987419,1.0488369284189503e-08,-0.9981520771980286|-3.033651663209014e-10,1,1.0489318746920162e-08|Running
-308.1557312011719,91.80719757080078,1560.5162353515625|0.058118849992752075,-9.890541718959867e-08,-0.9983096718788147|4.347094240131355e-09,1,-9.881980389536693e-08|Running
-308.1123352050781,91.80719757080078,1559.6175537109375|0.05412401258945465,-7.200013385499915e-08,-0.9985342025756836|3.362936595863175e-09,1,-7.192353734808421e-08|Running
-308.07977294921875,91.80719757080078,1558.8680419921875|0.050527364015579224,-6.709430522278126e-08,-0.9987226724624634|3.6043579232369893e-09,1,-6.699776378127353e-08|Running
-308.0538330078125,91.80719757080078,1558.2684326171875|0.0485524944961071,-9.151781199534526e-08,-0.9988206028938293|5.108115264107482e-09,1,-9.137756507016093e-08|Running
-308.00189208984375,91.80719757080078,1557.0692138671875|0.04572438448667526,-3.066096354586989e-08,-0.9989541172981262|1.6320762519228538e-09,1,-3.0618362956147394e-08|Running
-307.96923828125,91.80719757080078,1556.1697998046875|0.041956577450037,8.111845772873494e-08,-0.9991194605827332|-5.2226249991349505e-09,1,8.097063641798741e-08|Running
-307.94732666015625,91.80719757080078,1555.4202880859375|0.037692125886678696,1.1506435271257942e-07,-0.9992893934249878|-8.73390693101328e-09,1,1.1481674278002174e-07|Running
-307.92559814453125,91.80719757080078,1554.6707763671875|0.0347466804087162,9.516019616739868e-08,-0.9993961453437805|-1.0437045894207131e-08,1,9.48548191104237e-08|Running
-307.90380859375,91.80719757080078,1553.9212646484375|0.032799892127513885,5.106804934484899e-08,-0.9994619488716125|-1.1415497880307157e-08,1,5.072091369129339e-08|Running
-307.8863830566406,91.80719757080078,1553.3216552734375|0.031766749918460846,7.914390032226493e-09,-0.9994953274726868|-1.1982716152658668e-08,1,7.537543034175087e-09|Running
-307.86871337890625,91.80719757080078,1552.7220458984375|0.031156085431575775,-3.7957892828899276e-08,-0.9995145201683044|-1.2480402489245535e-08,1,-3.8365357113434584e-08|Running
-307.846435546875,91.80719757080078,1551.9725341796875|0.03067420795559883,-9.653267341036553e-08,-0.9995294213294983|-1.3071825399890713e-08,1,-9.697927794150019e-08|Running
-307.8281555175781,91.80719757080078,1551.3729248046875|0.030598461627960205,-1.0670143524293962e-07,-0.9995317459106445|-1.0227049429545332e-08,1,-1.0706450126463096e-07|Running
-307.8006896972656,91.80719757080078,1550.4735107421875|0.030537797138094902,4.419242571884752e-08,-0.9995335936546326|8.910979509835215e-09,1,4.4485297223673115e-08|Running
-307.7778015136719,91.80719757080078,1549.7239990234375|0.030507497489452362,9.06595687411027e-08,-0.999534547328949|1.3198646620082854e-08,1,9.110463139450076e-08|Running
-307.7549133300781,91.80719757080078,1548.9744873046875|0.030487695708870888,1.868689913919752e-08,-0.9995351433753967|5.946362846565023e-11,1,1.8697404513545735e-08|Running
-307.7411804199219,91.80719757080078,1548.5247802734375|0.030479753389954567,-2.4423750133450994e-08,-0.9995353817939758|-7.810665003660233e-09,1,-2.4673280307752066e-08|Running
-307.7228698730469,91.80719757080078,1547.9251708984375|0.030471526086330414,-8.181913813132269e-08,-0.9995356202125549|-1.8288561776103052e-08,1,-8.241468663072737e-08|Running
-307.6999816894531,91.80719757080078,1547.1756591796875|0.03046400099992752,-8.083954128323967e-08,-0.999535858631134|-1.6480651510164535e-08,1,-8.13793761267334e-08|Running
-307.6816711425781,91.80719757080078,1546.5760498046875|0.030459973961114883,6.971888844020668e-09,-0.9995359778404236|2.8038906751959303e-09,1,7.0605712387816766e-09|Running
-307.6587829589844,91.80719757080078,1545.8265380859375|0.03045635297894478,1.1652538489670405e-07,-0.9995360970497131|2.6863295587986613e-08,1,1.1739800953591839e-07|Running
-307.6313171386719,91.80719757080078,1544.9271240234375|0.030453473329544067,2.325795200874836e-08,-0.9995361566543579|4.526395702697528e-09,1,2.3406652616131396e-08|Running
-307.6038513183594,91.80719757080078,1544.0277099609375|0.030451757833361626,-6.977071365099619e-08,-0.9995362162590027|-1.7753317038682326e-08,1,-7.0343951108498e-08|Running
-307.5854187011719,91.80719757080078,1543.4281005859375|0.03053942695260048,-9.697784975060131e-08,-0.9995335340499878|-2.4013480981466273e-08,1,-9.775680354096039e-08|Running
-307.5532531738281,91.80719757080078,1542.5286865234375|0.03262440487742424,1.0006681705476694e-08,-0.999467670917511|5.304546579765201e-09,1,1.0185161158915434e-08|Running
-307.51336669921875,91.80719757080078,1541.6292724609375|0.03731206804513931,6.553920428586935e-08,-0.9993036389350891|3.6009694781569124e-08,1,6.692940957009341e-08|Running
-307.4820556640625,91.80719757080078,1541.0301513671875|0.0413079559803009,4.174595247263824e-08,-0.9991464614868164|5.840435335358052e-08,1,4.419624133333855e-08|Running
