runia|false|23720
636.1749877929688,286.7109375,-276.051025390625|0.9767864942550659,1.7032236598879535e-07,-0.2142152637243271|-1.6486160347994883e-07,1,4.335723957638038e-08|Freefall
636.297119140625,286.86767578125,-276.0777893066406|0.9768180847167969,1.7444845923364483e-07,-0.21407105028629303|-1.6938724911597092e-07,1,4.198572511882048e-08|Freefall
636.5413818359375,287.17095947265625,-276.1313171386719|0.9768183827400208,1.8271069279762742e-07,-0.21406976878643036|-1.7843458977040427e-07,1,3.929795866497443e-08|Freefall
636.9077758789062,287.600341796875,-276.21160888671875|0.9768203496932983,1.4236788103971776e-07,-0.21406082808971405|-1.3989138381020894e-07,1,2.6717325241065737e-08|Freefall
637.0299072265625,287.7366638183594,-276.2383728027344|0.9768216013908386,1.2892617462512135e-07,-0.2140551060438156|-1.270492475669016e-07,1,2.252560982185514e-08|Freefall
637.3963012695312,288.12518310546875,-276.31866455078125|0.9768215417861938,8.861830025352901e-08,-0.21405524015426636|-8.853882604853425e-08,1,9.958491808959025e-09|Freefall
637.6405639648438,288.3671569824219,-276.3721923828125|0.9777490496635437,6.208157543596826e-08,-0.20977796614170074|-6.322672874148338e-08,1,1.2475063204675507e-09|Freefall
637.8849487304688,288.5954895019531,-276.42486572265625|0.9786711931228638,3.692316496994863e-08,-0.2054329514503479|-3.921314117860675e-08,1,-7.075817709534249e-09|Freefall
638.129638671875,288.8102111816406,-276.4764709472656|0.9795874953269958,1.3895264494578896e-08,-0.20101819932460785|-1.7233929838766926e-08,1,-1.4858745345236457e-08|Freefall
638.37451171875,289.0113220214844,-276.5269775390625|0.9796180725097656,-7.605795104836943e-09,-0.20086918771266937|3.221817257426096e-09,1,-2.215195138433046e-08|Freefall
638.619384765625,289.19879150390625,-276.57720947265625|0.9796358346939087,-2.885205141467395e-08,-0.20078249275684357|2.3428457396335034e-08,1,-2.9388491640247594e-08|Freefall
638.8642578125,289.3726501464844,-276.62738037109375|0.9796419143676758,-5.006031145171619e-08,-0.20075297355651855|4.35971507783961e-08,1,-3.661571668089891e-08|Freefall
639.109130859375,289.5328674316406,-276.67755126953125|0.9796439409255981,-7.125596823698288e-08,-0.20074297487735748|6.37532266978269e-08,1,-4.383968388310677e-08|Freefall
639.35400390625,289.6794738769531,-276.72772216796875|0.9796446561813354,-9.2442085986022e-08,-0.20073948800563812|8.389997674385086e-08,1,-5.106083733608102e-08|Freefall
639.598876953125,289.81243896484375,-276.77789306640625|0.9796448945999146,-1.1361907326090659e-07,-0.2007383406162262|1.0403792316537874e-07,1,-5.827908822197969e-08|Freefall
639.84375,289.9317932128906,-276.82806396484375|0.9796449542045593,-1.3478698690505553e-07,-0.20073796808719635|1.2416721517638507e-07,1,-6.549434772296081e-08|Freefall
639.9661865234375,289.9863586425781,-276.8531494140625|0.9796450138092041,-1.4536755088556674e-07,-0.20073778927326202|1.3422862821244053e-07,1,-6.910082106514892e-08|Freefall
640.2110595703125,290.08526611328125,-276.9033203125|0.9796450138092041,-1.3247097285784548e-07,-0.2007378488779068|1.2266028193153033e-07,1,-6.131102736617322e-08|Freefall
640.578369140625,290.2080993652344,-276.97857666015625|0.9796450138092041,-1.1313643710764154e-07,-0.20073777437210083|1.0531703509286672e-07,1,-4.963255761936125e-08|Freefall
640.7008056640625,290.2422180175781,-277.003662109375|0.9805331230163574,-1.0665186067626564e-07,-0.19635380804538727|9.970747782972467e-08,1,-4.525185559600686e-08|Freefall
641.0684204101562,290.32415771484375,-277.07757568359375|0.9813583493232727,-8.549682917191603e-08,-0.19218698143959045|8.070712453900342e-08,1,-3.275050275419744e-08|Freefall
641.1910400390625,290.34466552734375,-277.1017761230469|0.9814114570617676,-7.768561260945717e-08,-0.19191543757915497|7.35717193833807e-08,1,-2.8561993659081963e-08|Freefall
641.55908203125,290.3857421875,-277.17376708984375|0.9830071926116943,-4.889132654284367e-08,-0.1835668832063675|4.7046746942669415e-08,1,-1.4403670256513124e-08|Freefall
641.8047485351562,290.3960876464844,-277.22003173828125|0.9846485257148743,-2.0490858787525212e-08,-0.1745489239692688|2.0226270436296545e-08,1,-3.294728490033094e-09|Freefall
641.927734375,290.3961486816406,-277.24224853515625|0.9869669675827026,-2.2473292116131915e-09,-0.1609230786561966|2.7676929637010517e-09,1,3.0094655656398572e-09|Freefall
642.2976684570312,290.37591552734375,-277.3036193847656|0.9889333248138428,7.903833676436989e-08,-0.148360475897789|-7.61514513669681e-08,1,2.5138978898553432e-08|Freefall
642.4212036132812,290.36236572265625,-277.3226623535156|0.9909701347351074,9.519700938653841e-08,-0.1340826451778412|-9.23764247318104e-08,1,2.7257302193106625e-08|Freefall
642.7926635742188,290.3012390136719,-277.3740234375|0.9920685291290283,1.2967380769168813e-07,-0.12569795548915863|-1.2682043859513215e-07,1,3.0702469899779317e-08|Freefall
643.0407104492188,290.24346923828125,-277.40576171875|0.9946591258049011,1.4613672760788177e-07,-0.10321442037820816|-1.440643870864733e-07,1,2.753271211020092e-08|Freefall
643.2892456054688,290.17205810546875,-277.4327392578125|0.9963604807853699,1.6180709394575388e-07,-0.08523978292942047|-1.6042307038333092e-07,1,2.3086538902816756e-08|Freefall
643.5382080078125,290.0870361328125,-277.455078125|0.9977437853813171,1.7493326254225394e-07,-0.06713703274726868|-1.7413688624401402e-07,1,1.7714077316099974e-08|Freefall
643.7875366210938,289.9884033203125,-277.47283935546875|0.9987980723381042,1.7188385470490175e-07,-0.04901420325040817|-1.7152797227026895e-07,1,1.1466991800546111e-08|Freefall
643.912353515625,289.9339599609375,-277.479736328125|0.9997725486755371,1.696870128853334e-07,-0.021326277405023575|-1.696055136335417e-07,1,5.630304666937036e-09|Freefall
644.1621704101562,289.81488037109375,-277.4874267578125|0.9999998211860657,1.870605075282583e-07,0.0006016920087859035|-1.8706072069107904e-07,1,2.944062216236887e-10|Freefall
644.5371704101562,289.6106872558594,-277.4885559082031|0.9998331069946289,1.8123392919733305e-07,0.018269596621394157|-1.811960288478076e-07,1,-3.729671682606295e-09|Freefall
644.751953125,289.5738525390625,-277.48675537109375|0.9991035461425781,1.3675476395746955e-07,0.04233390465378761|-1.3662348408161051e-07,1,-5.99444893722989e-09|Landed
644.9354248046875,289.5686950683594,-277.4804992675781|0.9981470704078674,7.763907206026488e-08,0.06084718927741051|-7.743341967625383e-08,1,-5.737783137504948e-09|Landed
645.1129760742188,289.5679626464844,-277.470703125|0.9972163438796997,1.910102653823742e-08,0.0745621845126152|-1.8853025807175072e-08,1,-4.02992705872407e-09|Landed
645.2896728515625,289.56787109375,-277.458251953125|0.9964947700500488,-3.9333041712552586e-08,0.08365501463413239|3.959164729394615e-08,1,-1.4324059716130932e-09|Landed
645.4661865234375,289.56787109375,-277.4439697265625|0.9952622056007385,-9.770056408342498e-08,0.09722711145877838|9.79824719138378e-08,1,1.875132271678126e-09|Landed
645.642578125,289.56787109375,-277.42742919921875|0.9933333396911621,-1.1839544811209635e-07,0.1152772530913353|1.1862231730219719e-07,1,4.892070748496735e-09|Landed
645.730712890625,289.56787109375,-277.4178771972656|0.9916718602180481,-1.1003509570173264e-07,0.12879042327404022|1.1016994960755255e-07,1,6.076964709222921e-09|Running
645.9951171875,290.2220764160156,-277.38922119140625|0.989826500415802,-8.49936441227328e-08,0.14227963984012604|8.496337500218942e-08,1,6.287923515202465e-09|Jumping
646.085693359375,290.4333190917969,-277.37908935546875|0.9878268837928772,-7.61549046046639e-08,0.15555717051029205|7.600085893955111e-08,1,6.9377446010321364e-09|Freefall
646.2739868164062,290.8456115722656,-277.3568420410156|0.9864258766174316,-5.412817571937012e-08,0.1642071157693863|5.388685409002392e-08,1,5.924149171221416e-09|Freefall
646.4716796875,291.2442932128906,-277.3315734863281|0.9849064946174622,-2.3875339039136634e-08,0.17308726906776428|2.365540296977997e-08,1,3.3334535132212295e-09|Freefall
646.6787109375,291.62933349609375,-277.30291748046875|0.984086275100708,1.384721048935944e-08,0.1776912659406662|-1.3898817208257697e-08,1,-9.543236201281502e-10|Freefall
646.89501953125,292.000732421875,-277.27056884765625|0.9832545518875122,5.571630623535384e-08,0.18223734200000763|-5.552150739163153e-08,1,-6.170683963802048e-09|Freefall
647.2365112304688,292.5323181152344,-277.2144470214844|0.9832257032394409,1.0390501614665482e-07,0.18239296972751617|-1.0339266509618028e-07,1,-1.2317860509369893e-08|Freefall
647.3548583984375,292.70269775390625,-277.1936950683594|0.9815217852592468,1.0847058007357191e-07,0.1913503110408783|-1.077942428651113e-07,1,-1.3943986409969966e-08|Freefall
647.5970458984375,293.0332336425781,-277.1481628417969|0.9798077344894409,1.209563009751946e-07,0.19994206726551056|-1.1999235027815303e-07,1,-1.6939287306172446e-08|Freefall
647.8416137695312,293.3501281738281,-277.0989074707031|0.9761087894439697,1.4669330994365737e-07,0.2172824740409851|-1.4494317213120667e-07,1,-2.3991878705942327e-08|Freefall
648.2078247070312,293.7999572753906,-277.0184326171875|0.9731788039207458,1.5146891030326515e-07,0.23005002737045288|-1.4888664168211108e-07,1,-2.858327441401798e-08|Freefall
648.4512329101562,294.0827941894531,-276.9613952636719|0.9654258489608765,1.615024700640788e-07,0.26067793369293213|-1.5705725786574476e-07,1,-3.788330715792654e-08|Freefall
648.6930541992188,294.3520202636719,-276.8980712890625|0.9580295085906982,1.7299521459790412e-07,0.2866695821285248|-1.6650101031245867e-07,1,-4.7030905392375644e-08|Freefall
648.9329833984375,294.6076354980469,-276.8280029296875|0.9498801827430725,1.857696219076388e-07,0.3126141130924225|-1.7696466159122792e-07,1,-5.6537405868084534e-08|Freefall
649.1708984375,294.849609375,-276.7513122558594|0.9424924850463867,1.9098176551324286e-07,0.3342273533344269|-1.8033642845693976e-07,1,-6.287946519023535e-08|Freefall
649.406982421875,295.07794189453125,-276.6689453125|0.9361819624900818,1.8016788772001746e-07,0.3515157401561737|-1.6887071296878275e-07,1,-6.279712039258811e-08|Freefall
649.641357421875,295.29266357421875,-276.5820617675781|0.932793140411377,1.7335793245365494e-07,0.3604121506214142|-1.617768390360652e-07,1,-6.22997973209749e-08|Freefall
649.874755859375,295.4937744140625,-276.4924621582031|0.9310052990913391,1.6456080231819215e-07,0.3650056719779968|-1.5314782331188326e-07,1,-6.021652865229044e-08|Freefall
650.1076049804688,295.6812438964844,-276.40142822265625|0.9292766451835632,1.6198262642319605e-07,0.3693844974040985|-1.5033947420306504e-07,1,-6.030482069263599e-08|Freefall
650.3399658203125,295.8551025390625,-276.30926513671875|0.9275696277618408,1.6302760741382372e-07,0.37365028262138367|-1.5090476779278106e-07,1,-6.169649680032308e-08|Freefall
650.5719604492188,296.01531982421875,-276.216064453125|0.9241958260536194,1.6857832463301747e-07,0.38191893696784973|-1.5534999420196982e-07,1,-6.54707363878515e-08|Freefall
650.8031616210938,296.16192626953125,-276.1210632324219|0.9224237203598022,1.624754872864287e-07,0.3861793875694275|-1.4937155867755791e-07,1,-6.393820939365469e-08|Freefall
651.0338745117188,296.2948913574219,-276.02471923828125|0.9136630892753601,1.5309502998661628e-07,0.40647226572036743|-1.391378106063712e-07,1,-6.3891064883137e-08|Freefall
651.2628173828125,296.41424560546875,-275.9242248535156|0.904354453086853,1.6361410359877482e-07,0.4267822206020355|-1.4710282414398534e-07,1,-7.165485982341124e-08|Freefall
651.4910278320312,296.51995849609375,-275.8290710449219|0.9030085802078247,0.00000887956684891833,0.4296225607395172|-0.000007975104381330311,1,-0.000003905707671947312|Freefall
651.6051025390625,296.5677185058594,-275.78485107421875|0.889345645904541,0.00002153164859919343,0.45723554491996765|-0.00001910285027406644,1,-0.000009934950867318548|Freefall
651.9482421875,296.6905517578125,-275.66644287109375|0.897335410118103,0.00008216582500608638,0.4413492679595947|-0.00007252364594023675,1,-0.00003871715671266429|Freefall
652.0630493164062,296.72467041015625,-275.6318359375|0.8586759567260742,0.00010365630441810936,0.5125188827514648|-0.00008744018123252317,1,-0.00005575115937972441|Freefall
652.4090576171875,296.8066101074219,-275.5426025390625|0.8679430484771729,0.00015473800885956734,0.4966636598110199|-0.00013024811050854623,1,-0.00008394020551349968|Freefall
652.641357421875,296.8442077636719,-275.49530029296875|0.8373408913612366,0.00017503210983704776,0.5466810464859009|-0.00014024681877344847,1,-0.00010535888577578589|Freefall
652.8753051757812,296.8681945800781,-275.45770263671875|0.8195534348487854,0.0001860127376858145,0.5730026960372925|-0.00014395856123883277,1,-0.00011872717732330784|Freefall
653.1111450195312,296.8785400390625,-275.4298095703125|0.8035508990287781,0.00019062301726080477,0.5952360033988953|-0.00014274087152443826,1,-0.00012755185889545828|Freefall
653.2299194335938,296.87860107421875,-275.4194641113281|0.772838830947876,0.00019135171896778047,0.6346023082733154|-0.0001361793401883915,1,-0.000135686612338759|Freefall
653.5902709960938,296.8583679199219,-275.4027099609375|0.7948294878005981,0.000189778336789459,0.6068328022956848|-0.00013821438187733293,1,-0.00013170261809136719|Freefall
653.7119140625,296.8448181152344,-275.40179443359375|0.7461674213409424,0.00018875725800171494,0.6657583117485046|-0.0001268933992832899,1,-0.0001413028221577406|Freefall
654.082275390625,296.78369140625,-275.40740966796875|0.7692621946334839,0.0001859566691564396,0.6389332413673401|-0.00012930369121022522,1,-0.00013536348706111312|Freefall
654.3301391601562,296.7259216308594,-275.4092102050781|0.7338206171989441,0.0001849609543569386,0.6793432831764221|-0.00012127224181313068,1,-0.00014126714086160064|Freefall
654.4539794921875,296.6919250488281,-275.4075927734375|0.6960132718086243,0.00018486443150322884,0.7180289030075073|-0.0001135868951678276,1,-0.00014735681179445237|Freefall
654.8255004882812,296.5694885253906,-275.3918151855469|0.7210056185722351,0.00018476870900485665,0.6929291486740112|-0.00011861991515615955,1,-0.0001432225399184972|Freefall
654.94921875,296.5218811035156,-275.3841552734375|0.6660052537918091,0.00018465517496224493,0.7459470629692078|-0.00010747386113507673,1,-0.0001515885378466919|Freefall
655.3197021484375,296.35858154296875,-275.35198974609375|0.6919865012168884,0.00018422918219584972,0.7219104170799255|-0.00011239149171160534,1,-0.0001474639866501093|Freefall
655.566162109375,296.232666015625,-275.32586669921875|0.6521983742713928,0.0001842154742917046,0.7580482959747314|-0.00010444382496643811,1,-0.00015315301425289363|Freefall
655.8118896484375,296.0931396484375,-275.29376220703125|0.6348394155502319,0.00018460076535120606,0.7726441025733948|-0.0001012440407066606,1,-0.00015573413111269474|Freefall
656.0568237304688,295.94000244140625,-275.255859375|0.6136723160743713,0.00018512204405851662,0.7895607948303223|-0.00009732090984471142,1,-0.00015882107254583389|Freefall
656.3006591796875,295.7732238769531,-275.2115783691406|0.592018187046051,0.00018576292495708913,0.8059245944023132|-0.0000933330156840384,1,-0.0001619358517928049|Freefall
656.5432739257812,295.59283447265625,-275.16070556640625|0.5734677314758301,0.00018618174362927675,0.8192281126976013|-0.00008980177517514676,1,-0.00016440270701423287|Freefall
656.6640014648438,295.4975280761719,-275.1327819824219|0.5320534110069275,0.0001862290082499385,0.846710741519928|-0.0000816468455013819,1,-0.00016863907512743026|Freefall
657.0239868164062,295.191162109375,-275.03936767578125|0.5616986155509949,0.00018560842727310956,0.8273419141769409|-0.0000868825227371417,1,-0.0001653568324400112|Freefall
657.1433715820312,295.08221435546875,-275.0061950683594|0.5008304119110107,0.00018523262406233698,0.8655454516410828|-0.000074761024734471,1,-0.00017074786592274904|Freefall
657.3790893554688,294.8541259765625,-274.9346923828125|0.48381176590919495,0.00016247617895714939,0.8751720786094666|-0.00006489872612291947,1,-0.00014977328828535974|Freefall
657.6875610351562,294.4864501953125,-274.77020263671875|0.462846964597702,0.00004354035627329722,0.8864381909370422|-0.000019689749024109915,1,-0.00003883746830979362|Landed
657.7756958007812,294.3570861816406,-274.69720458984375|0.45030301809310913,0.0000026327718387619825,0.8928757905960083|-0.000004075893684785115,1,-8.930521744332509e-07|Landed
657.9951782226562,293.94854736328125,-274.42388916015625|0.4504223167896271,-0.00006262666283873841,0.8928156495094299|0.000021796953660668805,1,0.00005914863868383691|Landed
658.054931640625,293.8055419921875,-274.3165588378906|0.4453737139701843,-0.00006286342977546155,0.8953447341918945|0.000022380645532393828,1,0.0000590785602980759|Landed
658.1683349609375,293.5804748535156,-274.0950927734375|0.4412998557090759,-0.000041386261727893725,0.8973596692085266|0.00001566146602272056,1,0.00003841810394078493|Landed
658.3344116210938,293.542724609375,-273.75909423828125|0.4289814531803131,-0.000008967666872194968,0.9033132791519165|0.000003856807779811788,1,0.000008095937118923757|Running
658.3886108398438,293.55023193359375,-273.6464538574219|0.4083380401134491,-0.00000289542663267639,0.9128307700157166|0.0000014261584055930143,1,0.0000025339545572933275|Running
658.5435791015625,293.58331298828125,-273.30499267578125|0.3833358883857727,0.000004020922460767906,0.9236090183258057|-0.000001339026653113251,1,-0.0000037977386000420665|Running
658.64111328125,293.6038513183594,-273.0747985839844|0.3538033664226532,0.0000035586888316174736,0.9353198409080505|-0.0000011738288776541594,1,-0.0000033607586829020875|Running
658.731689453125,293.6204833984375,-272.8418273925781|0.31961968541145325,0.0000020831967049161904,0.9475458860397339|-6.385319011315005e-07,1,-0.00000198313273358508|Running
658.8140869140625,293.63336181640625,-272.6058654785156|0.2937050461769104,8.102769584183989e-07,0.9558960795402527|-2.2398705823434284e-07,1,-7.788407287989685e-07|Running
658.852294921875,293.6385803222656,-272.48687744140625|0.26320400834083557,3.764261009564507e-07,0.9647402167320251|-8.025628517316363e-08,1,-3.682881128952431e-07|Running
658.9540405273438,293.650390625,-272.1260070800781|0.2456466555595398,-2.0000943834475038e-07,0.9693594574928284|7.0002748486786e-08,1,1.8859205397347978e-07|Running
658.9856567382812,293.6532897949219,-272.0050964355469|0.24124696850776672,-2.3063975618242694e-07,0.970463752746582|7.253970579768065e-08,1,2.196267274712227e-07|Running
659.076904296875,293.6598205566406,-271.64141845703125|0.23683607578277588,-1.5505416683936346e-07,0.9715496301651001|4.123989327808886e-08,1,1.495415915542253e-07|Running
659.1364135742188,293.66278076171875,-271.3985900878906|0.23683607578277588,-8.9653809709489e-08,0.9715496301651001|1.766421320326117e-08,1,8.797315587116827e-08|Running
659.1956787109375,293.66497802734375,-271.1557312011719|0.23683607578277588,-2.4281394672698298e-08,0.9715496301651001|-5.901395816465538e-09,1,2.64310298092596e-08|Running
659.2548828125,294.1045227050781,-270.9128723144531|0.23683607578277588,4.106308537643599e-08,0.9715496301651001|-2.9456936445626525e-08,1,-3.5084795513284917e-08|Jumping
659.2844848632812,294.3191833496094,-270.79144287109375|0.23684139549732208,5.654838375335203e-08,0.971548318862915|-3.3767200591228175e-08,1,-4.997272284867904e-08|Freefall
659.3436889648438,294.73828125,-270.548583984375|0.2368413358926773,8.750905777787921e-08,0.971548318862915|-4.2384584730825736e-08,1,-7.97393582274708e-08|Freefall
659.4028930664062,295.1437683105469,-270.30572509765625|0.2325907051563263,1.1876267080879188e-07,0.9725747108459473|-5.070922171057646e-08,1,-1.0998454058608331e-07|Freefall
659.4612426757812,295.5356140136719,-270.0626525878906|0.2240007072687149,1.3394921438703022e-07,0.9745889902114868|-5.235734690245408e-08,1,-1.2540787963644107e-07|Freefall
659.545654296875,296.09783935546875,-269.697265625|0.20306850969791412,1.4861011266020796e-07,0.9791645407676697|-4.662713593006629e-08,1,-1.4210237964107364e-07|Freefall
659.5718994140625,296.2784423828125,-269.5750732421875|0.1754264086484909,1.6480289843912033e-07,0.9844925403594971|-4.2960778046108317e-08,1,-1.5974366363025183e-07|Freefall
659.6182250976562,296.6294250488281,-269.3294372558594|0.1581164449453354,1.7064255075638357e-07,0.9874204993247986|-3.613002164115642e-08,1,-1.67030961506498e-07|Freefall
659.6588745117188,296.9667663574219,-269.082763671875|0.14440737664699554,1.7717474065648275e-07,0.9895183444023132|-3.033679973896142e-08,1,-1.7462423329561716e-07|Freefall
659.7136840820312,297.4472351074219,-268.7118225097656|0.143903911113739,1.69244486869502e-07,0.989591658115387|-2.396162379625366e-08,1,-1.6754012222008896e-07|Freefall
659.7316284179688,297.6005859375,-268.5881042480469|0.1433836966753006,1.5610474690674891e-07,0.9896671772003174|-2.0780987597390777e-08,1,-1.5472382131065388e-07|Freefall
659.767578125,297.8970642089844,-268.3406677246094|0.1563517302274704,1.3200981641148246e-07,0.987701416015625|-1.7056912327007012e-08,1,-1.3095346673708264e-07|Freefall
659.8059692382812,298.1799011230469,-268.0936279296875|0.17809134721755981,1.2617778111234657e-07,0.9840139746665955|-1.7459024448385208e-08,1,-1.2506781388310628e-07|Freefall
659.87158203125,298.5786437988281,-267.72442626953125|0.20354944467544556,1.5672662811994087e-07,0.9790646433830261|-2.670703658225193e-08,1,-1.5452546620053909e-07|Freefall
659.9213256835938,298.8274230957031,-267.47943115234375|0.22219564020633698,1.6136992542215012e-07,0.975002110004425|-3.210162802247396e-08,1,-1.5819153986740275e-07|Freefall
659.9758911132812,299.0625915527344,-267.2354736328125|0.2314956933259964,1.6807278768737888e-07,0.9728359580039978|-3.6565715788583475e-08,1,-1.6406464453666558e-07|Freefall
660.00439453125,299.175048828125,-267.11376953125|0.23218336701393127,1.6778398048700183e-07,0.9726720452308655|-3.728180786310986e-08,1,-1.6359858534542582e-07|Freefall
660.09130859375,299.4920349121094,-266.7489929199219|0.23215359449386597,1.714991384460518e-07,0.9726791381835938|-4.006365728059791e-08,1,-1.667540914240817e-07|Freefall
660.1494140625,299.6863098144531,-266.5058288574219|0.23238390684127808,1.7454553358220437e-07,0.9726241230964661|-4.206955139807178e-08,1,-1.6940690272804204e-07|Freefall
660.178466796875,299.7783508300781,-266.3842468261719|0.22806674242019653,1.7611745306567173e-07,0.9736455082893372|-4.229998751270614e-08,1,-1.7097622162509651e-07|Freefall
660.2642211914062,300.0340270996094,-266.0191345214844|0.2197788655757904,1.8559012460173108e-07,0.9755496978759766|-4.4763563522565164e-08,1,-1.8015693115103204e-07|Freefall
660.3195190429688,300.18743896484375,-265.77532958984375|0.2022833377122879,1.6982095019102417e-07,0.9793270230293274|-3.837744344536986e-08,1,-1.6547876668937533e-07|Freefall
660.3710327148438,300.32720947265625,-265.5306701660156|0.18899193406105042,1.787974071021381e-07,0.9819786548614502|-3.7812707631701414e-08,1,-1.7480127212365915e-07|Freefall
660.4190673828125,300.453369140625,-265.28533935546875|0.1755823940038681,1.7208144242886192e-07,0.9844647645950317|-3.3653172692993394e-08,1,-1.6879481279374886e-07|Freefall
660.4636840820312,300.56591796875,-265.03936767578125|0.16647380590438843,1.673108585009686e-07,0.9860458970069885|-3.059212616562945e-08,1,-1.6451370754566597e-07|Freefall
660.5057983398438,300.6648254394531,-264.7929382324219|0.1617484986782074,1.5561627719762328e-07,0.9868320226669312|-2.6983036249816905e-08,1,-1.5327006508414343e-07|Freefall
660.5465087890625,300.7501220703125,-264.5462646484375|0.15714359283447266,1.4901021927471447e-07,0.9875757694244385|-2.428772383211708e-08,1,-1.4702017381296173e-07|Freefall
660.5860595703125,300.82177734375,-264.2994079589844|0.15694096684455872,1.4470991516191134e-07,0.987608015537262|-2.2673074084877953e-08,1,-1.4292267280779924e-07|Freefall
660.605712890625,300.8525085449219,-264.17596435546875|0.15681599080562592,1.427255824637541e-07,0.9876278638839722|-2.1896028101764387e-08,1,-1.410368639653825e-07|Freefall
660.6644897460938,300.9242248535156,-263.8056335449219|0.1526166945695877,1.3808089249778277e-07,0.988285481929779|-1.9188565403283064e-08,1,-1.3675440868610167e-07|Freefall
660.6837158203125,300.9413146972656,-263.68212890625|0.13908584415912628,1.3811892074500065e-07,0.9902803301811218|-1.682216321796659e-08,1,-1.3711188273646258e-07|Freefall
660.7194213867188,300.9653015136719,-263.4346923828125|0.13040336966514587,1.4467583753230429e-07,0.9914610385894775|-1.5492162219743477e-08,1,-1.4388423608124867e-07|Freefall
660.768798828125,300.9757080078125,-263.06298828125|0.11326593160629272,1.5330570590776915e-07,0.9935647249221802|-1.3683020050336836e-08,1,-1.5273880649147031e-07|Freefall
660.7978515625,300.96563720703125,-262.814697265625|0.09491066634654999,1.6663551605233806e-07,0.995485782623291|-1.2713727848279177e-08,1,-1.661790065554669e-07|Freefall
660.8297729492188,301.13525390625,-262.5081481933594|0.0627535879611969,1.2423657835824997e-07,0.9980290532112122|-7.3656520882536825e-09,1,-1.240187970097395e-07|Landed
660.853759765625,301.4949951171875,-262.1522216796875|0.012360957451164722,7.388082678971841e-08,0.999923586845398|-1.6122536639073815e-09,1,-7.386654488072963e-08|Landed
660.8587036132812,301.6834411621094,-261.94793701171875|-0.024070927873253822,4.88102109841293e-08,0.9997102618217468|8.168504206373939e-10,1,-4.880469006707244e-08|Landed
660.8580932617188,301.7716064453125,-261.8535461425781|-0.024082578718662262,3.627988576226926e-08,0.999709963798523|6.858487666683288e-10,1,-3.6273888781579444e-08|Landed
660.8565063476562,301.8568420410156,-261.7629089355469|-0.028613699600100517,2.3753269573489888e-08,0.9995905160903931|7.186500283751229e-10,1,-2.3742428467699028e-08|Landed
660.8480224609375,302.0950012207031,-261.4418640136719|-0.0331454761326313,-1.3806877419142438e-08,0.9994505643844604|4.3154507745057913e-10,1,1.3828779898972243e-08|Running
660.8450317382812,302.1676940917969,-261.3431701660156|-0.03315196931362152,-2.6321563595388398e-08,0.9994503259658813|2.9991970018627967e-10,1,2.634598850193015e-08|Running
660.8360595703125,302.8218994140625,-261.0470886230469|-0.03315858170390129,-6.384956918736862e-08,0.9994500875473022|-9.468918704680362e-11,1,6.388155782133254e-08|Jumping
660.8329467773438,303.03314208984375,-260.9459228515625|-0.03762545809149742,-7.629593312685756e-08,0.9992918968200684|-5.134396241501804e-10,1,7.633066445578152e-08|Freefall
660.8225708007812,303.646484375,-260.6275634765625|-0.03762183338403702,-1.133316303025822e-07,0.9992920756340027|-8.933055406501467e-10,1,1.1337829164403956e-07|Freefall
660.8148193359375,304.038330078125,-260.4029235839844|-0.03768099471926689,-1.379726626282718e-07,0.9992898106575012|-1.1491129159324487e-09,1,1.3802737441892532e-07|Freefall
660.8107299804688,304.2291564941406,-260.2868957519531|-0.03768181428313255,-1.502883151260903e-07,0.9992898106575012|-1.2733260001951408e-09,1,1.5034711964290182e-07|Freefall
660.802001953125,304.6005554199219,-260.04742431640625|-0.03768201544880867,-1.38560650952968e-07,0.9992897510528564|-1.1968726010280761e-09,1,1.3861399850156886e-07|Freefall
660.7879638671875,305.13214111328125,-259.6749267578125|-0.041942235082387924,-1.2006258032215555e-07,0.9991200566291809|-1.6742662811708442e-09,1,1.2009803640466998e-07|Freefall
660.7828979492188,305.3025207519531,-259.55010986328125|-0.04661562293767929,-1.1313873216067805e-07,0.9989129304885864|-2.1693202789663246e-09,1,1.1316062398236681e-07|Freefall
660.7716064453125,305.633056640625,-259.3004150390625|-0.04662609472870827,-9.850248261500383e-08,0.9989123940467834|-1.9846921883726054e-09,1,9.851709137365106e-08|Freefall
660.7540283203125,306.1033020019531,-258.92584228515625|-0.050957828760147095,-7.49336805938583e-08,0.9987007975578308|-2.0677395351498262e-09,1,7.492565856637157e-08|Freefall
660.747802734375,306.25323486328125,-258.8009948730469|-0.05121641233563423,-6.637311145141211e-08,0.9986875653266907|-1.932890958400435e-09,1,6.636120275516078e-08|Freefall
660.7350463867188,306.54290771484375,-258.5513000488281|-0.05121520534157753,-4.900109473737757e-08,0.9986876249313354|-1.6058585572409356e-09,1,4.8983135769731234e-08|Freefall
660.7158203125,306.95184326171875,-258.1767578125|-0.05125647410750389,-2.285345601649169e-08,0.9986855387687683|-1.1079288597670711e-09,1,2.2826673884424054e-08|Freefall
660.7094116210938,307.08135986328125,-258.0519104003906|-0.051282383501529694,-1.413845129860647e-08,0.9986841678619385|-9.415133117585128e-10,1,1.4108732848683303e-08|Freefall
660.6965942382812,307.33013916015625,-257.8022155761719|-0.05128265544772148,3.286338756680607e-09,0.9986841678619385|-6.075259184612491e-10,1,-3.321865227334797e-09|Freefall
