Mount Anora|true|17490
-609.623779296875,782.8396606445312,1476.623291015625|0.8104377388954163,0,0.5858247876167297|-4.74594266108852e-08,1,6.565599619534623e-08|Freefall
-609.4891357421875,781.7542114257812,1476.72216796875|0.8174243569374084,0,0.5760360956192017|-2.1708599362568748e-08,1.0000001192092896,3.080559807244754e-08|Landed
-609.2391357421875,781.591552734375,1476.900390625|0.8218470811843872,0,0.5697081685066223|3.0753173341224738e-09,1,-4.4363774875932904e-09|Landed
-608.8764038085938,781.387939453125,1477.1533203125|0.8258010149002075,0,0.5639616847038269|1.8506014498598233e-08,1,-2.70980926586617e-08|Running
-608.4612426757812,781.1044921875,1477.4373779296875|0.8297709822654724,0,0.5581041574478149|2.512246055630385e-08,1.0000001192092896,-3.7351249204675696e-08|Running
-608.1098022460938,781.0597534179688,1477.67529296875|0.8355454206466675,0,0.5494214296340942|3.1651122611719984e-08,1,-4.8134182861758745e-08|Running
-607.7930908203125,781.37744140625,1477.888427734375|0.8421981930732727,0,0.5391680002212524|3.8091474863222174e-08,1,-5.950013814981503e-08|Running
-607.4771728515625,781.75,1478.100830078125|0.8496571183204651,0,0.527335524559021|4.440272860506411e-08,1,-7.154286407740074e-08|Running
-607.1612548828125,782.6129150390625,1478.313232421875|0.8569539189338684,0,0.515393078327179|5.064550023803349e-08,1,-8.420924046959044e-08|Running
-606.8226928710938,783.4212646484375,1478.5357666015625|0.8610323071479797,0,0.5085504651069641|5.168462990923217e-08,1,-8.750780722266427e-08|Running
-606.4474487304688,784.1751708984375,1478.7733154296875|0.8628365993499756,0,0.5054829716682434|3.6479640641573496e-08,1,-6.226910187479007e-08|Running
-606.0350341796875,784.8745727539062,1479.0250244140625|0.8631118535995483,0,0.5050128698348999|2.1633086433325843e-08,1.0000001192092896,-3.697286743431505e-08|Running
-605.5867309570312,785.5194702148438,1479.2899169921875|0.8631805777549744,0,0.5048953294754028|6.834273591493911e-09,1,-1.1684029743719293e-08|Running
-605.1267700195312,786.10986328125,1479.5589599609375|0.8631805777549744,0,0.5048953294754028|-7.946320934593132e-09,1,1.3585212066402619e-08|Running
-604.6663208007812,786.645751953125,1479.8280029296875|0.8631805777549744,0,0.5048953294754028|-2.2713862790624262e-08,1,3.8832137505551145e-08|Running
-604.2058715820312,787.127197265625,1480.0970458984375|0.8631805777549744,0,0.5048953294754028|-3.746876231502938e-08,1,6.405745267556995e-08|Running
-603.7454223632812,787.5540771484375,1480.3660888671875|0.8631805777549744,0,0.5048953294754028|-5.2211053258588436e-08,1,8.926121353169947e-08|Running
-603.2849731445312,787.9264526367188,1480.6351318359375|0.8639670610427856,0,0.5035484433174133|-6.677515784758725e-08,1.0000001192092896,1.1456998549874697e-07|Running
-602.82421875,788.2443237304688,1480.9036865234375|0.8640356063842773,0,0.5034307241439819|-5.852060525057823e-08,1,1.0043861919939445e-07|Running
-602.36328125,788.5077514648438,1481.1722412109375|0.8648351430892944,0,0.5020560622215271|-4.2513846665315214e-08,1.0000001192092896,7.323378525825319e-08|Freefall
-601.902099609375,788.7166748046875,1481.43994140625|0.8649035096168518,0,0.5019382238388062|-2.6677254183482546e-08,1,4.596830649461481e-08|Freefall
-601.44091796875,788.87109375,1481.70751953125|0.8649564981460571,0,0.5018469095230103|-1.0863066002286814e-08,1,1.8723000039244653e-08|Freefall
-600.979736328125,788.970947265625,1481.97509765625|0.8649564981460571,0,0.5018469095230103|4.933723207756202e-09,1,-8.503501902623611e-09|Freefall
-600.5185546875,789.016357421875,1482.24267578125|0.8649564981460571,0,0.5018469095230103|2.0716907300766252e-08,1,-3.5706552381498113e-08|Freefall
-600.057373046875,789.0072631835938,1482.51025390625|0.8649564981460571,0,0.5018469095230103|3.648658974952923e-08,1,-6.288633613849015e-08|Freefall
-599.59619140625,788.9436645507812,1482.77783203125|0.8649564981460571,0,0.5018469095230103|5.224278964988116e-08,1,-9.00428744898818e-08|Freefall
-599.135009765625,788.8255615234375,1483.04541015625|0.8649564981460571,0,0.5018469095230103|6.798551765996308e-08,1,-1.1717619941009616e-07|Freefall
-598.6738891601562,788.6529541015625,1483.31298828125|0.8657381534576416,0,0.5004972219467163|7.49548973999481e-08,1,-1.2965369933226611e-07|Freefall
-598.2122192382812,788.4258422851562,1483.580078125|0.8658064007759094,0,0.5003793239593506|5.647548206866304e-08,1,-9.771952846904242e-08|Freefall
-597.7505493164062,788.1442260742188,1483.84716796875|0.8665857315063477,0,0.49902838468551636|3.791777558603826e-08,1.0000001192092896,-6.58459597957517e-08|Freefall
-597.2883911132812,787.80810546875,1484.11328125|0.8674306869506836,0,0.497558057308197|1.9469650780479242e-08,1,-3.394291780978165e-08|Freefall
-596.8258056640625,787.41748046875,1484.3785400390625|0.8690982460975647,0,0.49463951587677|1.1379637232522555e-09,1,-1.999440391031726e-09|Freefall
-596.3623046875,786.972412109375,1484.642333984375|0.8707708120346069,0,0.49168920516967773|-1.6955961967823896e-08,1.0000001192092896,3.002863735446226e-08|Freefall
-595.9202880859375,786.4728393554688,1484.893798828125|0.8709717988967896,0,0.4913330674171448|-3.498855605243989e-08,1.0000001192092896,6.202319013937085e-08|Freefall
-595.5128173828125,785.918701171875,1485.125732421875|0.8718703985214233,0,0.4897366464138031|-5.285306770019815e-08,1,9.409347967448412e-08|Freefall
-595.1398315429688,785.31005859375,1485.337646484375|0.8718703985214233,0,0.4897366464138031|-7.08159717532908e-08,1,1.260725497331805e-07|Freefall
-594.8013916015625,784.64697265625,1485.530029296875|0.8718703985214233,0,0.4897366464138031|-6.354810011544032e-08,1,1.1313368020182679e-07|Freefall
-594.4974975585938,783.9293823242188,1485.702880859375|0.8701521754264832,0,0.4927830994129181|-4.8190727852670534e-08,1,8.509476856488618e-08|Freefall
-594.2826538085938,783.1572875976562,1485.8250732421875|0.8666688203811646,0,0.4988838732242584|-3.286994854079239e-08,1,5.710218431431713e-08|Landed
-594.1895751953125,782.3306884765625,1485.8780517578125|0.8596503734588623,0,0.5108828544616699|-1.7412091324331413e-08,1,2.92989081884798e-08|Landed
-594.1826171875,781.4495849609375,1485.882080078125|0.8487449884414673,0,0.5288023948669434|-1.281818429177406e-09,1,2.0573602821372106e-09|Running
-594.1824951171875,780.6272583007812,1485.882080078125|0.8326320648193359,0,0.5538266897201538|1.6068103292354863e-08,1,-2.415704969394028e-08|Running
-594.1824951171875,780.5737915039062,1485.882080078125|0.8087466955184937,0,0.5881571769714355|3.5349881244428616e-08,1.0000001192092896,-4.860792301997208e-08|Running
-594.1824951171875,780.6256713867188,1485.882080078125|0.7789717316627502,0,0.6270591020584106|5.68874796158525e-08,1.0000001192092896,-7.066915941322804e-08|Running
-594.1143188476562,780.8128662109375,1485.93701171875|0.7439372539520264,0,0.6682495474815369|6.939959718010869e-08,1.0000001192092896,-7.72599761944548e-08|Running
-593.9412231445312,780.9821166992188,1486.084716796875|0.709118127822876,0,0.7050897479057312|4.707804635017965e-08,1,-4.7347015197374276e-08|Running
-593.7297973632812,781.855224609375,1486.268310546875|0.6789795160293579,0,0.7341572642326355|2.2138159749829356e-08,1,-2.0474301365425163e-08|Running
-593.5037231445312,782.67724609375,1486.471923828125|0.6600760221481323,0,0.7511988282203674|-4.169237399764825e-09,1,3.6634955069558828e-09|Running
-593.2557373046875,783.4447631835938,1486.7086181640625|0.6493476033210754,0,0.7604917287826538|-2.982445579391424e-08,1,2.546567934302857e-08|Running
-592.9876708984375,784.1577758789062,1486.9794921875|0.6432650685310364,0,0.7656435370445251|-5.496762511825182e-08,1,4.6181742874296106e-08|Running
-592.700439453125,784.8162841796875,1487.28515625|0.6412763595581055,0,0.7673100233078003|-5.036472217057053e-08,1,4.209211823535952e-08|Running
-592.3946533203125,785.4202880859375,1487.6259765625|0.6409765481948853,0,0.7675605416297913|-4.5619675148600436e-08,1.0000001192092896,3.809619997241498e-08|Running
-592.0703125,785.9698486328125,1488.001953125|0.6409405469894409,0,0.7675905823707581|-4.086002647341047e-08,1.0000001192092896,3.411824778254413e-08|Running
-591.7308349609375,786.4649047851562,1488.4068603515625|0.6409405469894409,0,0.7675905823707581|-3.609953225236495e-08,1.0000001192092896,3.0143223028744615e-08|Running
-591.3890380859375,786.9053955078125,1488.8160400390625|0.6409405469894409,0,0.7675905823707581|-3.13423953457459e-08,1.0000001192092896,2.6170997813323993e-08|Running
-591.0472412109375,787.2913818359375,1489.2252197265625|0.6409405469894409,0,0.7675905823707581|-2.6589241031160782e-08,1.0000001192092896,2.2202099714263568e-08|Running
-590.7054443359375,787.6229248046875,1489.6343994140625|0.6409405469894409,0,0.7675905823707581|-2.1840135033812658e-08,1.0000001192092896,1.823658202226852e-08|Running
-590.3636474609375,787.8999633789062,1490.0435791015625|0.6433367133140564,0,0.7655834555625916|-1.7012011355177492e-08,1,1.4295569172873002e-08|Freefall
-590.0206298828125,788.1224975585938,1490.451904296875|0.6447238922119141,0,0.7644156217575073|-1.2208354327469806e-08,1.0000001192092896,1.029677765274073e-08|Freefall
-589.6767578125,788.29052734375,1490.859619140625|0.6460489630699158,0,0.7632960081100464|-7.406011359734066e-09,1,6.268401353537456e-09|Freefall
-589.3321533203125,788.404052734375,1491.266845703125|0.647432267665863,0,0.7621230483055115|-2.61346011498631e-09,1,2.220164496691268e-09|Freefall
-588.98681640625,788.4630737304688,1491.6732177734375|0.6499415040016174,0,0.7599841952323914|2.192786174859407e-09,1,-1.8752794872511913e-09|Freefall
-588.6402587890625,788.4675903320312,1492.07861328125|0.6549886465072632,0,0.7556387186050415|7.032729065770127e-09,1,-6.095979276921071e-09|Freefall
-588.2910766601562,788.4176025390625,1492.4818115234375|0.661308765411377,0,0.7501139044761658|1.1961958534811856e-08,1,-1.0545796236272054e-08|Freefall
-587.9384765625,788.3131103515625,1492.882080078125|0.6713016033172607,0,0.7411843538284302|1.7035256760777884e-08,1.0000001192092896,-1.5429083788376374e-08|Freefall
-587.5806274414062,788.1541748046875,1493.277587890625|0.6803106665611267,0,0.7329239845275879|2.2380945097211224e-08,1,-2.077431737745883e-08|Freefall
-587.2179565429688,787.940673828125,1493.668701171875|0.6904032230377197,0,0.7234249114990234|2.7862574469850188e-08,1.0000001192092896,-2.6590750934474272e-08|Freefall
-586.8497924804688,787.6726684570312,1494.0545654296875|0.7037726640701294,0,0.7104252576828003|3.339013687764236e-08,1,-3.307746254677113e-08|Freefall
-586.4747314453125,787.3501586914062,1494.43359375|0.7215434312820435,0,0.6923692226409912|2.82614998070585e-08,1.0000001192092896,-2.9452348115910354e-08|Freefall
-586.0902709960938,786.9732055664062,1494.8033447265625|0.7435308694839478,0,0.668701708316803|2.1699669616737083e-08,1.0000001192092896,-2.412791033634676e-08|Freefall
-585.6944580078125,786.541748046875,1495.160888671875|0.7661159038543701,0,0.6427024006843567|1.212061473410131e-08,1.0000001192092896,-1.444804897943186e-08|Freefall
-585.28662109375,786.0557861328125,1495.5045166015625|0.7986429929733276,0,0.6018051505088806|5.815904646766512e-09,1,-7.718164773962144e-09|Freefall
-584.8638916015625,785.5152587890625,1495.829345703125|0.828787088394165,0,0.5595640540122986|5.067007702308501e-09,1,-7.50489714818059e-09|Freefall
-584.4246826171875,784.9202880859375,1496.1317138671875|0.8569539189338684,0,0.515393078327179|5.214996434688146e-09,1,-8.671074525068434e-09|Freefall
-583.9702758789062,784.2708129882812,1496.4107666015625|0.8842447996139526,0,0.4670238196849823|5.487299503670329e-09,1.0000001192092896,-1.0389439530911204e-08|Freefall
-583.58447265625,784.1723022460938,1496.6343994140625|0.9088575839996338,0,0.4171065092086792|1.9963968256320186e-09,1.0000001192092896,-4.350064752856042e-09|Landed
-583.1585693359375,784.1703491210938,1496.8443603515625|0.9333849549293518,0,0.3588768243789673|1.3938462606333246e-09,1,-3.6251857071789573e-09|Landed
-582.66748046875,783.9725952148438,1497.0384521484375|0.9520577788352966,0,0.30591830611228943|1.5998711244691322e-09,1,-4.979007872663033e-09|Running
-582.1913452148438,783.9362182617188,1497.196044921875|0.9667798280715942,0,0.25561073422431946|1.6471430885900418e-09,1.0000001192092896,-6.229881943653481e-09|Running
-581.7022094726562,783.9354858398438,1497.3294677734375|0.9755073189735413,0,0.21996673941612244|9.072939066712138e-10,1,-4.023662292240715e-09|Running
-581.2107543945312,784.7984008789062,1497.4598388671875|0.9816045761108398,0,0.1909252107143402|1.84237014533295e-10,1.0000001192092896,-9.472185258374566e-10|Running
-580.7011108398438,785.6067504882812,1497.5740966796875|0.9836564064025879,0,0.18005624413490295|-4.398177655406954e-10,1.0000001192092896,2.402746668295208e-09|Running
-580.1771240234375,786.3606567382812,1497.6710205078125|0.9843410849571228,0,0.1762743890285492|-9.993861294077533e-10,1,5.580713668962289e-09|Running
-579.652099609375,787.06005859375,1497.764892578125|0.9847331047058105,0,0.1740708351135254|-1.5474613812571647e-09,1,8.754117430953556e-09|Running
-579.126953125,787.7049560546875,1497.8577880859375|0.9847750067710876,0,0.17383408546447754|-2.1042494413592294e-09,1.0000001192092896,1.192063159294321e-08|Running
-578.601806640625,788.2953491210938,1497.9505615234375|0.9847767949104309,0,0.17382362484931946|-2.6623057092223235e-09,1,1.5082971316360272e-08|Running
-578.07666015625,788.8312377929688,1498.0433349609375|0.9847767949104309,0,0.17382362484931946|-3.2209401812366423e-09,1,1.8247847677343998e-08|Running
-577.551513671875,789.3126831054688,1498.1361083984375|0.9847767949104309,0,0.17382362484931946|-2.7297724081165597e-09,1,1.546519712292138e-08|Running
-577.0263671875,789.7395629882812,1498.2288818359375|0.9847767949104309,0,0.17382362484931946|-1.8894306119676685e-09,1,1.0704341413259044e-08|Running
-576.501220703125,790.1119384765625,1498.3216552734375|0.9842330813407898,0,0.17687632143497467|-1.0943229655779874e-09,1,6.0893898812253155e-09|Running
-575.976318359375,790.4298095703125,1498.4158935546875|0.9836347103118896,0,0.1801743358373642|-2.860303383034335e-10,1,1.5615396753432265e-09|Running
-575.45166015625,790.6932373046875,1498.511962890625|0.983001172542572,0,0.1835993528366089|5.399136138173333e-10,1,-2.8907276572454066e-09|Freefall
-574.9274291992188,790.9021606445312,1498.6099853515625|0.9823354482650757,0,0.187128946185112|1.3840039114754177e-09,1.0000001192092896,-7.2653434379787996e-09|Freefall
-574.4035034179688,791.0565795898438,1498.709716796875|0.9819841980934143,0,0.18896283209323883|2.234817664259481e-09,1,-1.1613688677414302e-08|Freefall
-573.8798217773438,791.1564331054688,1498.810546875|0.981343150138855,0,0.1922646313905716|3.1107125764151533e-09,1.0000001192092896,-1.5877473558134625e-08|Freefall
-573.3563842773438,791.2018432617188,1498.9129638671875|0.9800537824630737,0,0.19873295724391937|4.060415115247906e-09,1.0000001192092896,-2.0023982472139323e-08|Freefall
-572.8573608398438,791.1927490234375,1499.010986328125|0.9781778454780579,0,0.2077697217464447|4.0926595445966996e-09,1.0000001192092896,-1.9268203033107056e-08|Freefall
-572.3973999023438,791.129150390625,1499.101318359375|0.9751184582710266,0,0.22168441116809845|3.273720405871927e-09,1,-1.4400043824025488e-08|Freefall
-571.9763793945312,791.0110473632812,1499.183837890625|0.9710759520530701,0,0.23877115547657013|2.511961305629029e-09,1,-1.0216079537883616e-08|Freefall
-571.5942993164062,790.8384399414062,1499.2589111328125|0.9676445722579956,0,0.25231754779815674|1.7234573768121209e-09,1,-6.6095053874448695e-09|Freefall
-571.2512817382812,790.611328125,1499.3262939453125|0.9640432596206665,0,0.2657451331615448|9.803702294419736e-10,1,-3.5564875489058068e-09|Freefall
-570.9471435546875,790.3297119140625,1499.3858642578125|0.9597399234771729,0,0.280890554189682|3.271029003215631e-10,1.0000001192092896,-1.1176370939836033e-09|Freefall
-570.6820068359375,789.9935913085938,1499.43798828125|0.9531147480010986,0,0.30260905623435974|-1.4219805888338044e-10,1.0000001192092896,4.4787512587518563e-10|Freefall
-570.4559326171875,789.6029663085938,1499.482421875|0.9471463561058044,0,0.3208017349243164|-4.3589382103803587e-10,1.0000001192092896,1.2869482146626865e-09|Freefall
-570.2687377929688,789.1578979492188,1499.51904296875|0.9419695734977722,0,0.33569836616516113|-4.887547033760598e-10,1.0000001192092896,1.3714455127100678e-09|Freefall
-570.1205444335938,788.6583251953125,1499.5482177734375|0.938392162322998,0,0.34557244181632996|-4.828339950080363e-10,1.0000001192092896,1.3111220997785722e-09|Freefall
-570.0114135742188,788.1041870117188,1499.5697021484375|0.936577320098877,0,0.3504611849784851|-5.281010628799265e-10,1.0000001192092896,1.4113046287178577e-09|Freefall
-569.9411010742188,787.4955444335938,1499.5833740234375|0.9353398084640503,0,0.35375070571899414|-6.088697879214067e-10,1.0000001192092896,1.6098911093109791e-09|Freefall
-569.8369750976562,786.6581420898438,1499.61083984375|0.9347852468490601,0,0.3552135229110718|-7.311498073647726e-10,1.0000001192092896,1.9241048754281564e-09|Freefall
-569.7468872070312,786.1148681640625,1499.638427734375|0.9341722130775452,0,0.356822669506073|-8.17777012773746e-10,1.0000001192092896,2.1409640726943735e-09|Freefall
-569.5946044921875,785.3427734375,1499.6883544921875|0.9341315031051636,0,0.3569291830062866|-9.266721279210799e-10,1.0000001192092896,2.4252251318301887e-09|Freefall
-569.405517578125,784.5161743164062,1499.753173828125|0.9340830445289612,0,0.35705605149269104|-1.0380559745115647e-09,1,2.7156252802029712e-09|Freefall
-569.1795654296875,783.6350708007812,1499.8330078125|0.9340830445289612,0,0.35705605149269104|-1.1479172057349274e-09,1,3.003030046855315e-09|Freefall
-568.8587646484375,783.5025024414062,1499.951416015625|0.9340830445289612,0,0.35705605149269104|-1.0919209980642108e-09,1,2.8565401155589143e-09|Landed
-568.46630859375,783.5791625976562,1500.0989990234375|0.9340830445289612,0,0.35705605149269104|-5.384255263862769e-10,1,1.408557936954935e-09|Landed
-567.9953002929688,783.4059448242188,1500.278564453125|0.9340830445289612,0,0.35705605149269104|1.4592712455074874e-11,1,-3.81755321798849e-11|Landed
-567.49853515625,783.1315307617188,1500.4683837890625|0.9340830445289612,0,0.35705605149269104|5.671433322973485e-10,1,-1.4836857298305972e-09|Running
-567.0004272460938,782.8026123046875,1500.6588134765625|0.9340830445289612,0,0.35705605149269104|1.1192261561987493e-09,1,-2.9279723090525067e-09|Running
-566.5406494140625,782.7512817382812,1500.8345947265625|0.9340830445289612,0,0.35705605149269104|1.6708409100729682e-09,1,-4.371034201255952e-09|Running
-566.0865478515625,783.6243896484375,1501.0079345703125|0.9340830445289612,0,0.35705605149269104|2.2219877049423076e-09,1,-5.812871517463236e-09|Running
-565.6092529296875,784.4464111328125,1501.1903076171875|0.9340830445289612,0,0.35705605149269104|2.4865776104832094e-09,1,-6.505057381644974e-09|Running
-565.112060546875,785.2139282226562,1501.38037109375|0.9352437257766724,0,0.3540046513080597|1.9278003637879237e-09,1.0000001192092896,-5.093049093574109e-09|Running
-564.6133422851562,785.9269409179688,1501.5694580078125|0.9375277161598206,0,0.34791067242622375|1.481938904923652e-09,1,-3.9934353601722705e-09|Running
-564.1133422851562,786.58544921875,1501.755126953125|0.9382514357566833,0,0.3459542691707611|1.100786684027355e-09,1.0000001192092896,-2.9854081429192547e-09|Running
-563.6129150390625,787.189453125,1501.9395751953125|0.938345193862915,0,0.3456996977329254|7.269440605028876e-10,1.0000001192092896,-1.9731705158676505e-09|Running
-563.1124267578125,787.739013671875,1502.1236572265625|0.9389315843582153,0,0.34410402178764343|3.6852793039443554e-10,1.0000001192092896,-1.0055754007254336e-09|Running
-562.6116943359375,788.2340698242188,1502.3072509765625|0.9389709830284119,0,0.34399640560150146|1.52908692652165e-11,1,-4.1737883982317925e-11|Running
-562.1109619140625,788.674560546875,1502.4908447265625|0.9390103816986084,0,0.3438887596130371|-3.3581798453141687e-10,1,9.16972608955291e-10|Running
-561.6102294921875,789.060546875,1502.6744384765625|0.9390175938606262,0,0.34386903047561646|-6.865599200267525e-10,1.0000001192092896,1.874817856517552e-09|Freefall
-561.1094970703125,789.39208984375,1502.8580322265625|0.9390175938606262,0,0.34386903047561646|-1.0372954717396965e-09,1.0000001192092896,2.832586165624207e-09|Freefall
-560.6087646484375,789.6691284179688,1503.0416259765625|0.9390175938606262,0,0.34386903047561646|-1.387711390243851e-09,1.0000001192092896,3.789481617388901e-09|Freefall
-560.1080322265625,789.8916625976562,1503.2252197265625|0.9390175938606262,0,0.34386903047561646|-1.7377914662830563e-09,1.0000001192092896,4.745460024935255e-09|Freefall
-559.6072998046875,790.0596923828125,1503.4088134765625|0.9390175938606262,0,0.34386903047561646|-1.5030491296030846e-09,1.0000001192092896,4.104439454977182e-09|Freefall
-559.1065673828125,790.1732177734375,1503.5924072265625|0.9384389519691467,0,0.3454451560974121|-1.0492691160379763e-09,1,2.8504525406702896e-09|Freefall
-558.6060791015625,790.2322387695312,1503.7764892578125|0.9384317398071289,0,0.34546494483947754|-5.855432805290661e-10,1,1.590587994648729e-09|Freefall
-558.1055908203125,790.2367553710938,1503.9605712890625|0.9378503561019897,0,0.3470400273799896|-9.863640459961687e-11,1,2.66557692585323e-10|Freefall
-557.6053466796875,790.186767578125,1504.1456298828125|0.9378032684326172,0,0.3471672534942627|3.924809643951477e-10,1.0000001192092896,-1.0602092537226326e-09|Freefall
-557.1051025390625,790.082275390625,1504.3306884765625|0.9372589588165283,0,0.3486339747905731|9.086611463260397e-10,1,-2.4428221667704975e-09|Freefall
-556.6052856445312,789.92333984375,1504.5166015625|0.9372116923332214,0,0.3487611711025238|1.4294371242229431e-09,1.0000001192092896,-3.8412681924171466e-09|Freefall
-556.1287231445312,789.7098388671875,1504.694091796875|0.9371716976165771,0,0.34886834025382996|1.7420924702804541e-09,1,-4.6798160902028485e-09|Freefall
-555.6893920898438,789.4418334960938,1504.8575439453125|0.9371716976165771,0,0.34886834025382996|1.413378414305555e-09,1,-3.796785552623305e-09|Freefall
-555.2872924804688,789.1193237304688,1505.0072021484375|0.936577320098877,0,0.3504611849784851|1.0717439158369757e-09,1.0000001192092896,-2.8641433669207572e-09|Freefall
-554.92236328125,788.7423706054688,1505.14306640625|0.936577320098877,0,0.3504611849784851|7.258403877941078e-10,1.0000001192092896,-1.9397459194436806e-09|Freefall
-554.5947265625,788.3109130859375,1505.264892578125|0.9359801411628723,0,0.35205304622650146|3.6427533212091134e-10,1.0000001192092896,-9.684747448446274e-10|Freefall
-554.3042602539062,787.824951171875,1505.373046875|0.9353398084640503,0,0.35375070571899414|-1.637640544005503e-11,1.0000001192092896,4.3300280028191196e-11|Freefall
-554.0510864257812,787.284423828125,1505.46728515625|0.9353398084640503,0,0.35375070571899414|-3.9927677830675634e-10,1.0000001192092896,1.0557137386513205e-09|Freefall
-553.8350830078125,786.689453125,1505.547607421875|0.9340830445289612,0,0.35705605149269104|-8.246088811780794e-10,1,2.1572332808972305e-09|Freefall
-553.6563720703125,786.0399780273438,1505.6142578125|0.9322004914283752,0,0.3619425892829895|-1.3152225974977227e-09,1,3.3874187899129993e-09|Freefall
-553.5148315429688,785.3359985351562,1505.6668701171875|0.9277171492576599,0,0.37328407168388367|-1.975943630938559e-09,1.0000001192092896,4.9107824473537676e-09|Freefall
-553.4105834960938,784.5775146484375,1505.7056884765625|0.9224056005477905,0,0.38622263073921204|-2.8362239223866936e-09,1,6.773680727434339e-09|Freefall
-553.3434448242188,783.7645263671875,1505.730712890625|0.9141384363174438,0,0.40540212392807007|-4.036930345563405e-09,1.0000001192092896,9.102845588415676e-09|Freefall
-553.2676391601562,782.8970947265625,1505.7607421875|0.9055725932121277,0,0.42419150471687317|-4.201915260182432e-09,1,8.970333809088515e-09|Freefall
-553.156005859375,781.97509765625,1505.807861328125|0.8932400345802307,0,0.44958019256591797|-1.6446290995730806e-09,1.0000001192092896,3.2676006345155884e-09|Freefall
-552.953857421875,780.9985961914062,1505.902587890625|0.8766704201698303,0,0.4810914397239685|3.4471252519097106e-09,1,-6.281535291918772e-09|Landed
-552.6312255859375,780.0969848632812,1506.06884765625|0.8597199320793152,0,0.510765790939331|1.086304912689684e-08,1,-1.828466089648373e-08|Landed
-552.2037963867188,780.0692138671875,1506.3148193359375|0.8412479758262634,0,0.5406496524810791|1.1413398226522986e-08,1,-1.7759186121679704e-08|Running
-551.7694091796875,780.163818359375,1506.590576171875|0.8218668699264526,0,0.5696796178817749|1.1922163700717192e-08,1,-1.7199898394437696e-08|Running
-551.3377685546875,781.0267333984375,1506.867431640625|0.8035529255867004,0,0.5952334403991699|1.2344433031330482e-08,1.0000001192092896,-1.6664731816717904e-08|Running
-550.9078979492188,781.8350830078125,1507.168212890625|0.7911105155944824,0,0.6116733551025391|1.2649479685933329e-08,1.0000001192092896,-1.636026247808786e-08|Running
-550.4854736328125,782.5889892578125,1507.4930419921875|0.7795451879501343,0,0.6263461112976074|1.3865489201236869e-08,1.0000001192092896,-1.725687326370462e-08|Running
-550.0696411132812,783.2883911132812,1507.826904296875|0.770388126373291,0,0.6375752091407776|1.3066998150179643e-08,1,-1.5788977236752544e-08|Running
-549.6587524414062,783.9332885742188,1508.1669921875|0.7653921842575073,0,0.6435642242431641|9.390285882204807e-09,1.0000001192092896,-1.1167885283214218e-08|Running
-549.2506103515625,784.523681640625,1508.5103759765625|0.761698305606842,0,0.6479318141937256|5.748799214444489e-09,1.0000001192092896,-6.758196668954497e-09|Running
-548.8443603515625,785.0595703125,1508.85595703125|0.7613381743431091,0,0.6483551263809204|2.132245713326597e-09,1,-2.5038131568067e-09|Running
-548.4383544921875,785.541015625,1509.20166015625|0.7611662745475769,0,0.6485568881034851|-1.4689264249412304e-09,1.0000001192092896,1.7239771832322504e-09|Running
-548.0323486328125,785.9678955078125,1509.54736328125|0.7611662745475769,0,0.6485568881034851|-5.070484920821627e-09,1.0000001192092896,5.950876680316242e-09|Running
-547.6263427734375,786.3402709960938,1509.89306640625|0.7611662745475769,0,0.6485568881034851|-8.668060935690391e-09,1.0000001192092896,1.0173102360511166e-08|Running
-547.2203369140625,786.6581420898438,1510.23876953125|0.7611662745475769,0,0.6485568881034851|-1.2262504789362083e-08,1.0000001192092896,1.4391652314316161e-08|Running
-546.8143310546875,786.9215698242188,1510.58447265625|0.7622042894363403,0,0.6473365426063538|-1.5801802533133014e-08,1,1.860578180412631e-08|Running
-546.4078979492188,787.1304931640625,1510.9296875|0.7642745971679688,0,0.6448910236358643|-1.9240697923805783e-08,1.0000001192092896,2.280257582754075e-08|Running
-546.0003051757812,787.284912109375,1511.2735595703125|0.7665326595306396,0,0.6422053575515747|-2.257391962245947e-08,1,2.694410028425409e-08|Freefall
-545.3870849609375,787.414306640625,1511.7872314453125|0.7695603966712952,0,0.6385740041732788|-2.7385084422348882e-08,1,3.300240081216543e-08|Freefall
-545.1819458007812,787.43017578125,1511.95751953125|0.7764910459518433,0,0.6301283836364746|-2.8561345288835582e-08,1.0000001192092896,3.519541280638805e-08|Freefall
-544.7681884765625,787.4210815429688,1512.2939453125|0.7795451879501343,0,0.6263461112976074|-3.129935421952723e-08,1.0000001192092896,3.895491573757681e-08|Freefall
-544.3524780273438,787.3574829101562,1512.6279296875|0.7907370924949646,0,0.6121559739112854|-3.308646157051953e-08,1,4.273860554349085e-08|Freefall
-543.9310302734375,787.2393798828125,1512.9547119140625|0.8011265397071838,0,0.5984951257705688|-3.412455740203768e-08,1.0000001192092896,4.567804623434313e-08|Freefall
-543.5038452148438,787.0667724609375,1513.2742919921875|0.8142116069793701,0,0.580568253993988|-3.419567562445991e-08,1,4.795735364382381e-08|Freefall
-543.0697631835938,786.8396606445312,1513.584228515625|0.827116072177887,0,0.5620312094688416|-3.3516272424094495e-08,1.0000001192092896,4.9324391682148416e-08|Freefall
-542.6550903320312,786.5580444335938,1513.87841796875|0.8435835838317871,0,0.53699791431427|-3.2642770264601495e-08,1,5.1279354096323004e-08|Freefall
