Mount Anora|true|17490
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.313747054534133e-10,1.0000001192092896,6.31307344178822e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|4.878178416767298e-10,1.0000001192092896,9.293497527096406e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|5.543148717812585e-10,1.0000001192092896,1.0560343355336954e-07|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|3.514329660614379e-10,1.0000001192092896,6.69520687779368e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|1.4872451881142723e-10,1.0000001192092896,2.8333749568787425e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-5.3810692013378514e-11,1.0000001192092896,-1.0251563153929055e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-2.5617277743528177e-10,1.0000001192092896,-4.880389781192207e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-4.5836190398773624e-10,1.0000001192092896,-8.732327927418737e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-4.823427768307909e-10,1.0000001192092896,-9.189191274572295e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-3.283437133294598e-10,1.0000001192092896,-6.255329765281203e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-1.7447632227884924e-10,1.0000001192092896,-3.323977182390081e-08|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|-2.0740371226013465e-11,1.0000001192092896,-3.951281968284093e-09|Running
-1665.3519287109375,739.9983520507812,1390.6185302734375|0.9999862909317017,0,-0.005248951260000467|1.3286423350411525e-10,1.0000001192092896,2.5312182572179154e-08|Running
