1|true|1376
277.5,22.899232864379883,156|-1.132226230089392e-13,-1.1538138267042086e-07,-1|1.989796594159543e-08,1,-1.1538138267042086e-07|Running
277.5,22.899232864379883,156|-1.1266799261134067e-13,-7.859639339358182e-08,-1|1.3554249278513453e-08,1,-7.859639339358182e-08|Running
277.5,22.899232864379883,156|-1.1234968440602608e-13,-4.1842842080086484e-08,-1|7.215953612416115e-09,1,-4.1842842080086484e-08|Running
277.5,22.899232864379883,156|-1.1226372750253871e-13,-5.1206963114225346e-09,-1|8.830743358778648e-10,1,-5.1206963114225346e-09|Running
277.5,22.899232864379883,156|-1.1240770277478121e-13,3.157007100185183e-08,-1|-5.444393380571455e-09,1,3.157007100185183e-08|Running
277.5,22.899232864379883,156|-1.1278440204334772e-13,6.822948250828631e-08,-1|-1.1766453589245884e-08,1,6.822948250828631e-08|Running
277.5,22.899232864379883,156|-1.1339331708846989e-13,1.0485756263278745e-07,-1|-1.8083111896771698e-08,1,1.0485756263278745e-07|Running
277.5,22.899232864379883,156|-1.1343836568873666e-13,1.0389369720087416e-07,-1|-1.791688575281114e-08,1,1.0389369720087416e-07|Running
277.5,22.899232864379883,156|-1.1294051360365848e-13,6.538606101003097e-08,-1|-1.1276084954658927e-08,1,6.538606101003097e-08|Running
277.5,22.899232864379883,156|-1.1270093202859349e-13,2.6911333605994514e-08,-1|-4.640959172519388e-09,1,2.6911333605994514e-08|Running
277.5,22.899232864379883,156|-1.1271652421108655e-13,-1.1530515209301484e-08,-1|1.988496700633391e-09,1,-1.1530515209301484e-08|Running
277.5,22.899232864379883,156|-1.1298837435331013e-13,-4.993951563392329e-08,-1|8.612287771825322e-09,1,-4.993951563392329e-08|Running
277.5750427246094,22.899232864379883,156.0462188720703|0.1942480504512787,0.00001228787368745543,-0.9809524416923523|-0.000001414606686012121,1,0.000012246352525835391|Running
277.76263427734375,22.899232864379883,156.17645263671875|0.44357413053512573,0.00003382099748705514,-0.8962376713752747|-0.000009535709978081286,1,0.00003301713877590373|Running
278.0539245605469,22.899232864379883,156.401611328125|0.6501270532608032,0.000037694440834457055,-0.7598255276679993|-0.00001786724715202581,1,0.00003432164157857187|Running
278.4205322265625,22.899232864379883,156.6996612548828|0.7987651824951172,0.00003032292443094775,-0.601642906665802|-0.000020225568732712418,1,0.000023547927412437275|Running
278.7947998046875,22.899232864379883,157.00511169433594|0.8969211578369141,0.00002217089058831334,-0.4421905279159546|-0.000018221955542685464,1,0.000013178103472455405|Running
279.16925048828125,22.899232864379883,157.31069946289062|0.9562592506408691,0.000016150836017914116,-0.2925204038619995|-0.000014838697097729892,1,0.0000067044684328720905|Running
279.5436706542969,22.899232864379883,157.6163330078125|0.9874802231788635,0.00001188578698929632,-0.15774282813072205|-0.000011535658813954797,1,0.000003135176257273997|Running
279.9169616699219,22.899232864379883,157.92337036132812|0.9992372393608093,0.0000088082460933947,-0.03905120864510536|-0.000008768613952270243,1,0.000001186144231724029|Running
280.2900085449219,22.899232864379883,158.2306671142578|0.9979762434959412,0.000006542377832374768,0.0635877251625061|-0.0000065642821027722675,1,1.3556324063301872e-07|Running
280.66302490234375,22.899232864379883,158.53794860839844|0.9884907007217407,0.000004840598649025196,0.15128152072429657|-0.000004838273980567465,1,-3.834553581327782e-07|Running
281.03607177734375,22.899232864379883,158.8452606201172|0.9741983413696289,0.0000035712830595002742,0.2256934940814972|-0.0000035293385280965595,1,-5.893269303669513e-07|Running
281.40789794921875,22.899232864379883,159.15402221679688|0.95733243227005,0.000002650899659784045,0.2889889180660248|-0.000002578801513664075,1,-6.302290671555966e-07|Running
281.77716064453125,22.899232864379883,159.4658966064453|0.9392134547233582,0.000002007402827075566,0.3433338403701782|-0.000001917655026772991,1,-6.009178719068586e-07|Running
282.142333984375,22.899232864379883,159.78248596191406|0.9205422401428223,0.0000015658922620787052,0.39064300060272217|-0.0000014670964674223796,1,-5.51316531982593e-07|Running
282.5056457519531,22.899232864379883,160.10122680664062|0.902153491973877,0.0000012291944813114242,0.4314151406288147|-0.000001128952476392442,1,-4.884068403043784e-07|Running
282.8688049316406,22.899232864379883,160.42022705078125|0.8847829103469849,9.364302968606353e-07,0.4660034477710724|-8.428492037637625e-07,1,-4.0920673427535803e-07|Running
283.23193359375,22.899232864379883,160.73922729492188|0.8687803149223328,6.934416205695015e-07,0.49519774317741394|-6.119835234130733e-07,1,-3.26662245697662e-07|Running
283.5950927734375,22.899232864379883,161.0582275390625|0.8542618155479431,5.093391450827767e-07,0.5198429822921753|-4.413327587826643e-07,1,-2.5454880869801855e-07|Running
283.9582214355469,22.899232864379883,161.37721252441406|0.8412324786186218,3.7494552884709265e-07,0.5406736135482788|-3.195142710410437e-07,1,-1.9634720160865982e-07|Running
284.3213806152344,22.899232864379883,161.69619750976562|0.8296355605125427,2.7666862933983793e-07,0.5583053827285767|-2.3225157974593458e-07,1,-1.5042743939375214e-07|Running
284.68450927734375,22.899232864379883,162.0151824951172|0.8193795680999756,2.0422021407284774e-07,0.5732513666152954|-1.691295921091296e-07,1,-1.145027965776535e-07|Running
285.04766845703125,22.899232864379883,162.33416748046875|0.8103554844856262,1.5068282266383903e-07,0.5859385132789612|-1.232855453281445e-07,1,-8.666047790484299e-08|Running
285.33184814453125,22.899232864379883,162.6920623779297|0.757247805595398,0.0000024213691176555585,0.6531276702880859|-0.0000018935598973257584,1,-0.0000015119172758204513|Running
285.48974609375,22.899232864379883,163.11204528808594|0.6840746402740479,0.0000058020500546263065,0.7294120192527771|-0.000004290047854738077,1,-0.000003931025275960565|Running
