Mt Sangkala|true|40121
-377.29644775390625,274.80743408203125,-796.9093627929688|-0.000091552734375,0,1|1.2682841443734105e-08,1,1.1611488680285387e-12|Freefall
-377.2850341796875,274.79638671875,-796.6464233398438|0.005950822960585356,0,0.9999823570251465|1.2020186623828977e-08,1.0000001192092896,-7.153126702075241e-11|Freefall
-377.2698669433594,274.791748046875,-796.2947387695312|0.011169418692588806,0,0.9999376535415649|9.118555688303331e-09,1.0000001192092896,-1.0185531584827601e-10|Freefall
-377.2502136230469,274.7916564941406,-795.8367919921875|0.015655510127544403,0,0.9998774528503418|8.629958081485256e-09,1,-1.3512295449213951e-10|Freefall
-377.2289123535156,274.61187744140625,-795.3406372070312|0.019500594586133957,0,0.9998098611831665|9.185177951565038e-09,1,-1.7915049999039923e-10|Freefall
-377.2022705078125,274.29156494140625,-794.7207641601562|0.023590723052620888,0,0.9997217655181885|8.677901952580669e-09,1.0000001192092896,-2.0477494699910892e-10|Freefall
-377.18621826171875,274.0885009765625,-794.3466796875|0.025664662942290306,0,0.9996706247329712|8.001245888067388e-09,1,-2.0541693346309842e-10|Landed
-377.1648254394531,274.0528869628906,-793.84716796875|0.028105879202485085,0,0.9996049404144287|8.374238191777295e-09,1,-2.3545834726412807e-10|Landed
-377.14349365234375,274.0157470703125,-793.35009765625|0.030181031674146652,0,0.9995445013046265|9.809272505378885e-09,1.0000001192092896,-2.961888789787537e-10|Running
-377.12353515625,274.0295104980469,-792.8685302734375|0.03179876133799553,0,0.9994943141937256|7.567752646764347e-09,1,-2.4076690641194887e-10|Running
-377.1031188964844,274.0445556640625,-792.37255859375|0.03314208984375,0,0.99945068359375|4.4324766079739675e-09,1.0000001192092896,-1.469822874522464e-10|Running
-377.08331298828125,274.0292053222656,-791.8735961914062|0.034119613468647,0,0.999417781829834|1.6848950012970931e-09,1.0000001192092896,-5.752145634807526e-11|Running
-377.065185546875,274.0426940917969,-791.3762817382812|0.03454636409878731,0,0.9994031190872192|-8.862028888501072e-10,1,3.0633374309418926e-11|Running
-377.04876708984375,274.0359191894531,-790.877685546875|0.03445491939783096,0,0.9994063377380371|-3.431524620012283e-09,1.0000001192092896,1.1830313118021962e-10|Running
-377.0362854003906,274.033447265625,-790.3779907226562|0.03338595852255821,0,0.9994425773620605|-5.939619462935752e-09,1.0000001192092896,1.9841049636593056e-10|Running
-377.03045654296875,274.0533752441406,-789.8826293945312|0.03082316182553768,0,0.9995249509811401|-7.850517569352178e-09,1.0000001192092896,2.4209279025910746e-10|Running
-377.0338134765625,274.0535888671875,-789.3836059570312|0.026184692978858948,0,0.999657154083252|-7.0636634319498626e-09,1.0000001192092896,1.8502328835712234e-10|Running
-377.0495910644531,274.0101318359375,-788.8875732421875|0.018920976668596268,0,0.9998210668563843|1.9939272455360424e-09,1.0000001192092896,-3.773380219396216e-11|Running
-377.0804443359375,274.0224304199219,-788.3943481445312|0.008575648069381714,0,0.9999632835388184|1.0294715302450186e-08,1.0000001192092896,-8.828709985309047e-11|Running
-377.1308898925781,274.0281677246094,-787.8984985351562|-0.005523597355931997,0,0.9999847412109375|1.6867888419369592e-08,1,9.317284443977059e-11|Running
-377.2050476074219,274.029541015625,-787.4044799804688|-0.024017734453082085,0,0.9997115135192871|2.9117092736896666e-08,1,6.995283796662477e-10|Running
-377.3019714355469,274.052001953125,-786.9208374023438|-0.046692267060279846,0,0.9989093542098999|4.7644775236221903e-08,1.0000001192092896,2.227071416172066e-09|Running
-377.40179443359375,274.9174499511719,-786.4386596679688|-0.07024941593408585,0,0.9975294470787048|1.6165647309662745e-07,1.0000001192092896,1.1384399201119777e-08|Running
-377.5262451171875,275.7284240722656,-785.9608154296875|-0.10333436727523804,0,0.9946466684341431|2.309157594027056e-07,1,2.3989960240555774e-08|Running
-377.689208984375,276.48486328125,-785.4930419921875|-0.1454746574163437,0,0.9893619418144226|2.8709615662592114e-07,1.0000001192092896,4.221429605877347e-08|Running
-377.8893737792969,277.18682861328125,-785.0396118164062|-0.19460764527320862,0,0.9808811545372009|3.981246550210926e-07,1,7.898826481778087e-08|Running
-378.1251525878906,277.8342590332031,-784.6039428710938|-0.2499675452709198,0,0.9682542085647583|5.554230142479355e-07,1,1.433897551805785e-07|Running
-378.3946228027344,278.4272155761719,-784.1893920898438|-0.3115181624889374,0,0.9502402544021606|7.499670005017833e-07,1.0000001192092896,2.458623953316419e-07|Running
-378.6958923339844,278.9656677246094,-783.7989501953125|-0.3760741651058197,0,0.9265896081924438|9.379546668242256e-07,1.0000001192092896,3.8068688468229084e-07|Running
-379.0269470214844,279.4496154785156,-783.4347534179688|-0.4420059621334076,0,0.8970121145248413|0.0000010770601193144103,1,5.307252308739407e-07|Running
-379.3856506347656,279.8790588378906,-783.0992431640625|-0.5073241591453552,0,0.8617552518844604|0.0000011544093467819039,1,6.796126399422064e-07|Running
-379.695068359375,279.541748046875,-782.8568725585938|-0.591358482837677,0.04297015815973282,0.8052632212638855|0.021360494196414948,0.9990636706352234,-0.037625230848789215|Running
-380.0549621582031,279.2737731933594,-782.6015014648438|-0.6488927602767944,0.01998893730342388,0.760617196559906|0.010029845871031284,0.999792754650116,-0.01771784946322441|Running
-380.4484558105469,278.95123291015625,-782.3668212890625|-0.6977615356445312,0.00442509725689888,0.7163164615631104|0.0022037369199097157,0.9999895095825195,-0.004030855372548103|Running
-380.8722229003906,278.5743103027344,-782.1586303710938|-0.7404452562332153,-0.00021362226107157767,0.6721166372299194|-0.00015348903252743185,1,0.0001487421104684472|Running
-381.3244934082031,278.1429748535156,-781.9783935546875|-0.7774330973625183,-0.0005798323545604944,0.6289654970169067|-0.0003205304383300245,0.9999999403953552,0.0005256907898001373|Freefall
-381.79864501953125,277.6571350097656,-781.826171875|-0.8093848824501038,-0.00024413992650806904,0.5872786045074463|-0.00013332832895684987,1,0.00023196144320536405|Freefall
-382.2809143066406,277.1167907714844,-781.69384765625|-0.8374564051628113,-0.00006103464693296701,0.5465041995048523|-0.000036101442674407735,1,0.000056360531743848696|Freefall
-382.767822265625,276.52197265625,-781.5794067382812|-0.8625455498695374,0,0.5059795379638672|-4.199503962354356e-07,1.0000001192092896,-7.158913035709702e-07|Freefall
-383.2588195800781,275.87261962890625,-781.4841918945312|-0.8851035237312317,0,0.4653942286968231|-0.0000017994450445257826,1,-0.0000034222493923152797|Freefall
-383.8757629394531,275.7728576660156,-781.3903198242188|-0.9100275635719299,0,0.41454777121543884|4.27088139076659e-07,1,9.375565355185245e-07|Landed
-384.247802734375,275.77215576171875,-781.3460693359375|-0.922986626625061,0,0.38483208417892456|7.76985245920514e-07,1,0.0000018635322476256988|Landed
-384.745849609375,275.57281494140625,-781.3037109375|-0.938388466835022,0,0.34558233618736267|3.0069818990341446e-07,1.0000001192092896,8.165108056346071e-07|Running
-385.24468994140625,275.2892150878906,-781.2704467773438|-0.9513317346572876,0,0.30816885828971863|4.6203957992929645e-08,1.0000001192092896,1.4263379455314862e-07|Running
-385.743896484375,274.9511413574219,-781.241943359375|-0.9617332220077515,0,0.27398747205734253|1.8999886108872488e-08,1.0000001192092896,6.669218066690519e-08|Running
-386.24261474609375,274.5585632324219,-781.2141723632812|-0.9698167443275452,0,0.24383510649204254|2.5300410655404448e-08,1.0000001192092896,1.0062850464009898e-07|Running
-386.74041748046875,274.1114807128906,-781.1864013671875|-0.9760129451751709,0,0.21771235764026642|2.0353105867343402e-08,1,9.124376276758994e-08|Running
-387.2380676269531,273.89501953125,-781.159423828125|-0.9808135628700256,0,0.19494810700416565|1.2822708228554802e-08,1,6.451299583432046e-08|Running
-387.7354736328125,273.9364013671875,-781.1340942382812|-0.9845922589302063,0,0.17486636340618134|8.031583398349085e-09,1.0000001192092896,4.522216201507945e-08|Running
-388.2336120605469,273.9892883300781,-781.1141357421875|-0.9876983761787415,0,0.1563715785741806|5.685838466717996e-09,1.0000001192092896,3.591377151224151e-08|Running
-388.7332763671875,274.014404296875,-781.10107421875|-0.990347146987915,0,0.13860952854156494|4.543394993561378e-09,1,3.246196911277366e-08|Running
-389.232421875,274.0287170410156,-781.0949096679688|-0.9926039576530457,0,0.12139760702848434|3.758846123247395e-09,1,3.0734096156948e-08|Running
-389.7313537597656,274.0439147949219,-781.0986938476562|-0.9945768713951111,0,0.10400484502315521|3.188716624080712e-09,1.0000001192092896,3.049303742841403e-08|Running
-390.2273864746094,274.0202331542969,-781.1091918945312|-0.9962158203125,0,0.0869140625|2.642078333892073e-09,1,3.02837115384591e-08|Running
-390.723876953125,274.0213317871094,-781.1295166015625|-0.9975720047950745,0,0.06964205205440521|2.1004011863112737e-09,1,3.008672777582433e-08|Running
-391.22137451171875,274.0440673828125,-781.1602783203125|-0.9986534118652344,0,0.05187968537211418|1.63143587528225e-09,1.0000001192092896,3.140418058933392e-08|Running
-391.7177429199219,274.0874328613281,-781.20068359375|-0.9994261264801025,0,0.03387471288442612|1.1179428494045851e-09,1.0000001192092896,3.298334405599235e-08|Running
-392.21539306640625,274.0953674316406,-781.24560546875|-0.9998592138290405,0,0.01678486540913582|5.291098670312522e-10,1.0000001192092896,3.151859573335969e-08|Running
-392.7033996582031,274.0448913574219,-781.2901000976562|-0.9999986886978149,0,0.0016479470068588853|4.237800388384727e-11,1.0000001192092896,2.5715602092191148e-08|Running
-393.1988525390625,274.0080261230469,-781.3353271484375|-0.9999349117279053,0,-0.01141352765262127|-2.1361405699860114e-10,1.0000001192092896,1.8714647609385793e-08|Running
-393.69622802734375,274.0123596191406,-781.3800659179688|-0.9997463226318359,0,-0.02252175845205784|-2.9383398492122126e-10,1,1.3043361946074583e-08|Running
-394.19171142578125,274.0290222167969,-781.4222412109375|-0.9995039701461792,0,-0.0314938947558403|-3.6899994171335493e-10,1,1.1710743486048614e-08|Running
-394.68902587890625,274.0367126464844,-781.4627075195312|-0.9992533922195435,0,-0.038634706288576126|-3.977811691147082e-10,1.0000001192092896,1.0288267127123163e-08|Running
-395.06353759765625,274.02069091796875,-781.4939575195312|-0.9780076742172241,0.012512345798313618,0.20819322764873505|0.013277990743517876,0.9999092221260071,0.002280414802953601|Running
-395.4196472167969,274.0346374511719,-781.5489501953125|-0.9189382791519165,0.018249372020363808,0.39397892355918884|0.01816651225090027,0.9998271465301514,-0.003940096125006676|Running
-395.5400695800781,274.0406799316406,-781.5671997070312|-0.9304415583610535,0.02297951653599739,0.36571916937828064|0.023079458624124527,0.9997252821922302,-0.004099092911928892|Climbing
-395.5226135253906,274.33978271484375,-781.5552368164062|-0.9199015498161316,0.013672026805579662,0.3919110894203186|0.013678906485438347,0.999902606010437,-0.0027747286949306726|Climbing
-395.521240234375,274.6888122558594,-781.55517578125|-0.9186989665031433,0.0009155251318588853,0.3949575424194336|0.0008927522576414049,0.9999996423721313,-0.0002414289047010243|Climbing
-395.5197448730469,275.03887939453125,-781.555419921875|-0.9185639023780823,-0.0013427957892417908,0.3952702581882477|-0.0013503961963579059,0.9999990463256836,0.00025898541207425296|Climbing
-395.5194396972656,275.38885498046875,-781.5554809570312|-0.9185424447059631,-0.00045776061597280204,0.3953220546245575|-0.00045698662870563567,0.9999998807907104,0.00009612154099158943|Climbing
-395.5195617675781,275.73883056640625,-781.5555419921875|-0.9185425639152527,0.00003051737803616561,0.39532211422920227|0.000032033087336458266,1,-0.0000027664109438774176|Climbing
-395.51959228515625,276.08880615234375,-781.5555419921875|-0.9185425639152527,0.00006103475607233122,0.39532211422920227|0.00006132861017249525,1,-0.000011893641385540832|Climbing
-395.5196228027344,276.43878173828125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|9.109474490287539e-07,1,0.000002116613131875056|Climbing
-395.5196228027344,276.78875732421875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-3.711699889663578e-07,1,-8.624243719168589e-07|Climbing
-395.5196228027344,277.13873291015625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-2.0214854146161088e-07,1,-4.696980795415584e-07|Climbing
-395.5196228027344,277.48870849609375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-9.819016710821415e-09,1,-2.281477584631375e-08|Climbing
-395.5196228027344,277.83868408203125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|2.0810844603147416e-08,1,4.835461098195992e-08|Climbing
-395.5196228027344,278.18865966796875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|9.266389433548738e-09,1,2.1530727423169083e-08|Climbing
-395.5196228027344,278.53863525390625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-2.2681991840300952e-09,1,-5.2702273656279885e-09|Climbing
-395.5196228027344,278.88861083984375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-9.43997857660861e-09,1,-2.1934067007123303e-08|Climbing
-395.5196228027344,279.23858642578125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.2254538717115793e-08,1,-2.8473781554794186e-08|Climbing
-395.5196228027344,279.58856201171875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-7.939552126856597e-09,1,-1.8447781968689014e-08|Climbing
-395.5196228027344,279.93853759765625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-3.6282528093067867e-09,1,-8.430352416155529e-09|Climbing
-395.5196228027344,280.28851318359375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|6.793631768253761e-10,1,1.5785203144602633e-09|Climbing
-395.5196228027344,280.63848876953125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|4.983297774430184e-09,1,1.1578839220760528e-08|Climbing
-395.5196228027344,280.98846435546875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|9.283555257866283e-09,1,2.1570613739640976e-08|Climbing
-395.5196228027344,281.33843994140625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.3580138791269292e-08,1,3.1553852863908105e-08|Climbing
-395.5196228027344,281.68841552734375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.787305059508526e-08,1,4.1528558369918755e-08|Climbing
-395.5196228027344,282.03839111328125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|2.2162293333849448e-08,1,5.1494737363100285e-08|Climbing
-395.5196228027344,282.38836669921875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.3891947148181316e-08,1,3.2278347106284855e-08|Climbing
-395.5196228027344,282.73834228515625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|5.62866508957427e-09,1,1.3078368610308644e-08|Climbing
-395.5196228027344,283.08831787109375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-2.627556172640766e-09,1,-6.105204342077286e-09|Climbing
-395.5196228027344,283.43829345703125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.0876724410024963e-08,1,-2.527239040261975e-08|Climbing
-395.5196228027344,283.8757629394531,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-2.117827513359316e-08,1,-4.920834584254408e-08|Climbing
-395.5196228027344,284.13824462890625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.999093690585596e-08,1,-4.644953222054937e-08|Climbing
-395.5196228027344,284.48822021484375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.3502446272184443e-08,1,-3.1373332376460894e-08|Climbing
-395.5196228027344,284.83819580078125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-7.0194969836734344e-09,1,-1.631000756674439e-08|Climbing
-395.5196228027344,285.18817138671875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-5.420864868099784e-10,1,-1.2595539056192706e-09|Climbing
-395.5196228027344,285.53814697265625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|5.929789992364931e-09,1,1.3778041818568454e-08|Climbing
-395.5196228027344,285.88812255859375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.2396136561676485e-08,1,2.8802789486803704e-08|Climbing
-395.5196228027344,286.23809814453125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.8856960437574344e-08,1,4.381470120051745e-08|Climbing
-395.5196228027344,286.58807373046875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|2.5312262508236927e-08,1,5.881378939420756e-08|Climbing
-395.5196228027344,286.93804931640625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|2.3482803257479645e-08,1,5.4562981688377477e-08|Climbing
-395.5196228027344,287.28802490234375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.3379195529239496e-08,1,3.108695523224014e-08|Climbing
-395.5196228027344,287.63800048828125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|3.2842186747927826e-09,1,7.63097851574912e-09|Climbing
-395.5196228027344,287.98797607421875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-6.802134411287852e-09,1,-1.5804959119236628e-08|Climbing
-395.5196228027344,288.33795166015625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.6879871722608186e-08,1,-3.9220878988999175e-08|Climbing
-395.5196228027344,288.68792724609375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-2.6948997700060318e-08,1,-6.261679175167956e-08|Climbing
-395.5196228027344,289.03790283203125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.972073171430111e-08,1,-4.5821700211945426e-08|Climbing
-395.5196228027344,289.38787841796875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-1.2498637680380398e-08,1,-2.9040952753689453e-08|Climbing
-395.5196228027344,289.73785400390625,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|-5.282713821941343e-09,1,-1.227454138330586e-08|Climbing
-395.5196228027344,290.08782958984375,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.9270454121311786e-09,1,4.4775467777924405e-09|Climbing
-395.5196228027344,290.43780517578125,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|9.13064557295229e-09,1,2.1215322831835692e-08|Climbing
-395.5196228027344,290.78778076171875,-781.5555419921875|-0.9185425639152527,0,0.39532211422920227|1.6328092655726323e-08,1,3.79388005455894e-08|Climbing
-395.5447082519531,291.1037292480469,-781.5574951171875|-0.9342933297157288,0,0.35650545358657837|4.849527357464467e-08,1.0000001192092896,1.270914964379699e-07|Running
-395.6094970703125,291.36517333984375,-781.561767578125|-0.9525877237319946,0,0.304264098405838|1.278327914633337e-07,1,4.002179423423513e-07|Freefall
-395.7138366699219,291.5721130371094,-781.5686645507812|-0.9671646952629089,0,0.2541508078575134|1.5068948755470046e-07,1.0000001192092896,5.734451633543358e-07|Freefall
-395.8577575683594,291.72454833984375,-781.5785522460938|-0.9778796434402466,0,0.20916852355003357|1.1663036048048525e-07,1,5.452562845675857e-07|Freefall
-396.0411682128906,291.8224792480469,-781.5913696289062|-0.9854366779327393,0,0.17004282772541046|7.182269712302514e-08,1,4.1622877233749023e-07|Freefall
-396.2641906738281,291.86590576171875,-781.6068115234375|-0.9906185865402222,0,0.1366559863090515|3.9222097569791003e-08,1.0000001192092896,2.843208051217516e-07|Freefall
-396.5268249511719,291.8548583984375,-781.6245727539062|-0.9940875172615051,0,0.10858240723609924|2.030839141298202e-08,1.0000001192092896,1.8592623973745503e-07|Freefall
-396.87823486328125,291.6480407714844,-781.6465454101562|-0.9963844418525696,0,0.08495970070362091|2.856070047130288e-09,1.0000001192092896,3.3495219042833924e-08|Freefall
-397.34088134765625,291.6115417480469,-781.6719360351562|-0.9978691339492798,0,0.06524693220853806|-2.973121526750333e-09,1.0000001192092896,-4.547012366629133e-08|Freefall
-397.83856201171875,291.4779052734375,-781.6966552734375|-0.9988042116165161,0,0.048888884484767914|-3.6838626593649337e-10,1,-7.526163692261889e-09|Freefall
-398.3381042480469,291.2808837890625,-781.7167358398438|-0.9993513822555542,0,0.036010462790727615|7.257501266622057e-10,1,2.0140795697898284e-08|Freefall
-398.83795166015625,291.09326171875,-781.7286987304688|-0.9996360540390015,0,0.026977600529789925|4.779839857249613e-10,1,1.771136126649253e-08|Landed
-399.3363952636719,291.06793212890625,-781.7318115234375|-0.9997652769088745,0,0.021667685359716415|3.014255789413056e-10,1.0000001192092896,1.3908031171183666e-08|Landed
-399.83599853515625,291.0669860839844,-781.7269897460938|-0.9998128414154053,0,0.019348066300153732|1.4646492352277107e-10,1.0000001192092896,7.568586646300446e-09|Running
-400.3350524902344,291.09063720703125,-781.7128295898438|-0.9998019933700562,0,0.019897164776921272|2.7580396300130872e-11,1.0000001192092896,1.3858726388704667e-09|Running
-400.7526550292969,291.081298828125,-781.7000122070312|-0.9997959136962891,0,0.02020282857120037|-9.344003348843444e-11,1,-4.624152616372612e-09|Running
-401.04449462890625,291.0140686035156,-781.6910400390625|-0.9997959136962891,0,0.02020282857120037|-2.1428672725143372e-10,1,-1.0604604305797238e-08|Running
-401.2031555175781,291.00994873046875,-781.6861572265625|-0.9997959136962891,0,0.02020282857120037|-3.350307531402308e-10,1,-1.657997472648276e-08|Running
-401.2345886230469,291.0169372558594,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-4.556716393100402e-10,1,-2.2550240785790265e-08|Running
-401.2352294921875,291.02447509765625,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-5.762094690275887e-10,1,-2.8515406924611852e-08|Running
-401.2352294921875,291.0296630859375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-6.966442422928765e-10,1,-3.447547314294752e-08|Running
-401.2352294921875,291.0326232910156,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-4.282422194634705e-10,1,-2.119281639068049e-08|Running
-401.2352294921875,291.0342102050781,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-1.6006949932201309e-10,1,-7.92150611772513e-09|Running
-401.2352294921875,291.03509521484375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|1.0787404997048e-10,1,5.3384621168106605e-09|Running
-401.2352294921875,291.0355529785156,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|3.755886712752954e-10,1,1.8587101635603176e-08|Running
-401.2352294921875,291.0357971191406,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|6.430745380647807e-10,1,3.1824416879544515e-08|Running
-401.2352294921875,291.03594970703125,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|6.658523177272002e-10,1,3.295164674455009e-08|Running
-401.2352294921875,291.0360107421875,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|4.442356482670107e-10,1,2.1984297049471024e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|2.2280834122145876e-10,1,1.1026321189433475e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|1.5703017228543836e-12,1,7.771096266484534e-11|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-2.1947869910388107e-10,1,-1.0861543664475448e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-4.403388487173032e-10,1,-2.1791452198272054e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-6.610101910276001e-10,1,-3.2712016206914996e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-8.814931007350424e-10,1,-4.3623259671221604e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-8.148536845276055e-10,1,-4.032541056631089e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-4.6145984256007466e-10,1,-2.2836687207927753e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-1.0836788411072718e-10,1,-5.362900790117919e-09|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|2.444223712316784e-10,1,1.2095953572099916e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|5.969111871451105e-10,1,2.9539890533669677e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|9.490986885296593e-10,1,4.696891764410793e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|6.930343521283078e-10,1,3.429682493560904e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|4.3718878517395865e-10,1,2.1635562674759967e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|1.8156184888873383e-10,1,8.985117538884424e-09|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-7.384664407750208e-11,1,-3.6545166892665293e-09|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-3.290369088304601e-10,1,-1.628335155601235e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-5.840091188424879e-10,1,-2.8901395054958812e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-8.387634475859329e-10,1,-4.1508656067890115e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-1.0933000060830977e-09,1,-5.410513992387678e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-7.102557986193858e-10,1,-3.514907831458913e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|-3.2753882939218215e-10,1,-1.620921352696314e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|5.485116874592855e-11,1,2.7144702041681512e-09|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|4.3691442130899816e-10,1,2.1621984203079592e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|8.186512023833359e-10,1,4.051334201449208e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|8.752445990189983e-10,1,4.331403147261881e-08|Running
-401.2352294921875,291.03607177734375,-781.6851806640625|-0.9997959136962891,0,0.02020282857120037|6.071113611838541e-10,1,3.0044677856722046e-08|Running
-401.1483154296875,291.03045654296875,-781.6946411132812|-0.964878499507904,-0.00006103542546043172,-0.2626964747905731|-0.00006187618419062346,1.0000001192092896,-0.000005072121894045267|Running
-400.9210205078125,291.0331726074219,-781.7115478515625|-0.8032402992248535,-0.00012207299005240202,-0.5956551432609558|-0.0001274058158742264,1,-0.000033132440876215696|Running
-400.5543518066406,291.0418395996094,-781.7356567382812|-0.5587640404701233,-0.00012206751853227615,-0.8293267488479614|-0.00011698040179908276,1.0000001192092896,-0.00006837243563495576|Running
-400.07659912109375,291.0241394042969,-781.7682495117188|-0.2937083840370178,-0.00009155498264590278,-0.9558950662612915|-0.00006548925011884421,1,-0.00007565708801848814|Running
-399.5785827636719,291.0203552246094,-781.8028564453125|-0.04440264776349068,-0.00009155184670817107,-0.9990137815475464|-0.000026895371775026433,1.0000001192092896,-0.0000904468324733898|Running
-399.0962829589844,291.0833435058594,-781.8366088867188|0.17266754806041718,-0.000061034836107864976,-0.9849801659584045|-0.0000028863587431260385,1,-0.00006247152487048879|Running
-398.616455078125,291.9692077636719,-781.8696899414062|0.3744509518146515,-0.00012207039981149137,-0.9272467494010925|0.00002686394509510137,1,-0.00012079974840162322|Running
-398.1369323730469,292.8550720214844,-781.9020385742188|0.5595850348472595,-0.0003051671665161848,-0.8287729620933533|0.00010165313869947568,1.0000001192092896,-0.0002995797840412706|Running
