bisu|false|19868
2268.39404296875,228.23069763183594,49.98042297363281|0.2876923084259033,-8.000576201538934e-08,0.9577229022979736|1.8572258397853147e-08,1,7.795853207426262e-08|Freefall
2268.684814453125,227.5701446533203,50.45183181762695|0.2876991331577301,-1.2091669532310334e-07,0.9577208161354065|2.7663784152309745e-08,1,1.1794443111057262e-07|Freefall
2268.9033203125,227.4700164794922,50.97748565673828|0.2876957952976227,-9.031776215806531e-08,0.9577218294143677|2.045044134035834e-08,1,8.816156338298242e-08|Landed
2269.076171875,227.46803283691406,51.54425811767578|0.2876971662044525,-5.974499117655796e-08,0.9577214121818542|1.3243784735550435e-08,1,5.8404033609349426e-08|Landed
2269.248779296875,227.27569580078125,52.11802673339844|0.2876919209957123,-2.9198341522373994e-08,0.9577230215072632|6.0428417825164615e-09,1,2.867203185985545e-08|Running
2269.421630859375,228.15135192871094,52.6925048828125|0.28769397735595703,1.3222010153413066e-09,0.9577223658561707|-1.1515638442816112e-09,1,-1.0346453693799162e-09|Jumping
2269.594482421875,228.97592163085938,53.267120361328125|0.28769925236701965,3.181663643658794e-08,0.9577208161354065|-8.339883450503294e-09,1,-3.071589915748518e-08|Freefall
2269.767333984375,229.74600219726562,53.84175109863281|0.28769367933273315,6.228501803207109e-08,0.9577224850654602|-1.5521873564239286e-08,1,-6.037184618890024e-08|Freefall
2269.940185546875,230.46157836914062,54.4163818359375|0.2876952588558197,9.272736889442967e-08,0.957722008228302|-2.2698007029475775e-08,1,-9.000238065937083e-08|Freefall
2270.113037109375,231.12265014648438,54.99101257324219|0.28769558668136597,1.231437209980868e-07,0.9577218890190125|-2.9867951667483794e-08,1,-1.1960761980844836e-07|Freefall
2270.285888671875,231.72923278808594,55.565635681152344|0.2797948122024536,1.525082637954256e-07,0.9600598216056824|-3.5652167440503035e-08,1,-1.4846258977740945e-07|Freefall
2270.4541015625,232.28131103515625,56.141571044921875|0.26742294430732727,1.758760674874793e-07,0.9635792374610901|-3.872171205898667e-08,1,-1.717772448728283e-07|Freefall
2270.614990234375,232.7788848876953,56.719627380371094|0.25447723269462585,1.8828609427146148e-07,0.9670787453651428|-3.841415718852659e-08,1,-1.8458740669302642e-07|Freefall
2270.767822265625,233.2219696044922,57.299808502197266|0.2292928397655487,1.791041199794563e-07,0.9733574986457825|-3.0148822105502404e-08,1,-1.7690439335638075e-07|Freefall
2270.906005859375,233.6105499267578,57.883602142333984|0.19512231647968292,1.1668735311332057e-07,0.9807789325714111|-8.981825949661015e-09,1,-1.171872696659193e-07|Freefall
2271.025390625,233.9446258544922,58.471553802490234|0.14756828546524048,-2.7227859078493566e-08,0.989051878452301|2.3346469646412515e-08,1,2.404591903371056e-08|Freefall
2271.11962890625,234.2241973876953,59.06394958496094|0.09447048604488373,-1.2086063350125187e-07,0.9955276846885681|2.3419948647074307e-08,1,1.1918115916387251e-07|Freefall
2271.18359375,234.44927978515625,59.66029357910156|0.028021475300192833,-1.5012996357199881e-07,0.9996073246002197|9.153393598637649e-09,1,1.4993234742632922e-07|Freefall
2271.214111328125,234.61985778808594,60.259132385253906|-0.03127216920256615,-1.7794199891341123e-07,0.9995108842849731|-4.183847490679682e-09,1,1.7789815842661483e-07|Freefall
2271.207275390625,234.73593139648438,60.85871124267578|-0.10271746665239334,-1.801398923362285e-07,0.9947105646133423|-1.79865491389819e-08,1,1.7924044470873923e-07|Freefall
2271.1630859375,234.79750061035156,61.456539154052734|-0.15382620692253113,-1.8002270962824696e-07,0.9880979061126709|-2.7109535949421115e-08,1,1.779707758942095e-07|Freefall
2271.129638671875,234.80458068847656,62.04716491699219|-0.11609380692243576,-0.000005445852821139852,0.9932382702827454|-8.161322284649941e-07,1,0.000005387533747125417|Freefall
2271.135009765625,234.7571563720703,62.62785720825195|-0.09947700798511505,-0.000015921830708975904,0.9950398802757263|-0.0000025440408535359893,1,0.00001574686393723823|Freefall
2271.1796875,234.6552276611328,63.19886016845703|-0.10202362388372421,-0.000021773696062155068,0.9947819709777832|-0.000004051551059092162,1,0.000021472385924425907|Freefall
2271.212158203125,234.49880981445312,63.76863098144531|-0.17391566932201385,-0.000014632645616075024,0.9847605228424072|-0.000003429855041758856,1,0.000014253353583626449|Freefall
2271.204345703125,234.2878875732422,64.34272766113281|-0.20620876550674438,-0.000004603261459124042,0.9785079956054688|-0.0000011982860996795353,1,0.000004451843324204674|Freefall
2271.156982421875,234.0224609375,64.92106628417969|-0.20971015095710754,-4.79054278912372e-07,0.9777635931968689|-1.1727853177490033e-07,1,4.647951357128477e-07|Freefall
2271.070068359375,233.70254516601562,65.50353240966797|-0.21022935211658478,3.066730300815834e-07,0.9776520729064941|8.53194634942156e-08,1,-2.9533651968449703e-07|Freefall
2270.94970703125,233.328125,66.08950805664062|-0.21029751002788544,2.323898513623135e-07,0.9776374101638794|6.184682632692784e-08,1,-2.2440181624006073e-07|Freefall
2270.82373046875,232.89920043945312,66.67607879638672|-0.21030421555042267,1.304416343828052e-07,0.9776359796524048|3.122762848306593e-08,1,-1.267080307343349e-07|Freefall
2270.69775390625,232.415771484375,67.26266479492188|-0.21030493080615997,2.858054948262634e-08,0.9776358604431152|6.329237134394816e-10,1,-2.9098199405552805e-08|Freefall
2270.57177734375,231.8778533935547,67.8492431640625|-0.21030503511428833,-7.319349037970824e-08,0.9776358008384705|-2.993578718246681e-08,1,6.842818578434162e-08|Freefall
2270.44580078125,231.28543090820312,68.43582153320312|-0.21030491590499878,-1.1742226035948988e-07,0.9776358604431152|-4.115005225457935e-08,1,1.1125635523967503e-07|Freefall
2270.31982421875,230.6385040283203,69.02239990234375|-0.21030502021312714,-1.4246865021050326e-07,0.9776358008384705|-4.591474223047953e-08,1,1.3585074043476197e-07|Freefall
2270.19384765625,229.93707275390625,69.60897827148438|-0.21030490100383759,-1.6749365272517025e-07,0.9776358604431152|-5.0675346585649095e-08,1,1.6042412198657985e-07|Freefall
2270.06787109375,229.18115234375,70.195556640625|-0.21030500531196594,-1.3944595878001564e-07,0.9776358008384705|-4.044175838657793e-08,1,1.3393622566582053e-07|Freefall
2269.94189453125,228.3707275390625,70.78213500976562|-0.2103048861026764,-9.37460455929795e-08,0.9776358604431152|-2.5222291810678144e-08,1,9.046484450436765e-08|Freefall
2269.81591796875,227.50579833984375,71.36871337890625|-0.21030499041080475,-4.8085190940128086e-08,0.9776358008384705|-1.0015832607734865e-08,1,4.703061406985398e-08|Freefall
2269.68994140625,226.5863800048828,71.95529174804688|-0.2103048712015152,-2.463381720829716e-09,0.9776358604431152|5.177664075262101e-09,1,3.63353058752125e-09|Freefall
2269.56396484375,225.61245727539062,72.5418701171875|-0.21030539274215698,4.311944223900355e-08,0.9776357412338257|2.0358193353331444e-08,1,-3.9726458567201917e-08|Landed
2269.43798828125,224.5840301513672,73.1284408569336|-0.2103056162595749,8.866332734669413e-08,0.9776356816291809|3.552576544052499e-08,1,-8.304940024572716e-08|Landed
2269.31201171875,224.46389770507812,73.71501922607422|-0.2103056162595749,9.760956487525618e-08,0.9776356816291809|3.704744599986043e-08,1,-9.187295546553287e-08|Running
2269.18603515625,225.329345703125,74.30159759521484|-0.2103056162595749,7.000506485610458e-08,0.9776356816291809|2.494071971170797e-08,1,-6.624133419563805e-08|Jumping
2269.06005859375,226.14028930664062,74.88819122314453|-0.21030521392822266,4.242415130306654e-08,0.9776358008384705|1.284433803760976e-08,1,-4.063161540557303e-08|Freefall
2268.93408203125,226.89674377441406,75.47476959228516|-0.2103051245212555,1.4866809117108915e-08,0.9776358008384705|7.583131900190665e-10,1,-1.5043774226342066e-08|Freefall
2268.80810546875,227.59869384765625,76.06134796142578|-0.21030499041080475,-1.266698124169352e-08,0.9776358008384705|-1.131739235660234e-08,1,1.0522197335660621e-08|Freefall
2268.713623046875,228.08938598632812,76.50128173828125|-0.21030110120773315,-3.330185549543785e-08,0.9776366353034973|-2.036736113097959e-08,1,2.968237389211481e-08|Freefall
2268.55615234375,228.83909606933594,77.23450469970703|-0.20251567661762238,-6.948366149117646e-08,0.9792790412902832|-3.553574501324874e-08,1,6.360507143199357e-08|Freefall
2268.434326171875,229.37754821777344,77.8220443725586|-0.20175783336162567,-1.0128356819905093e-07,0.9794354438781738|-4.837326983420098e-08,1,9.344554285917184e-08|Freefall
2268.313232421875,229.8614959716797,78.40975189208984|-0.20146380364894867,-1.3319800018507522e-07,0.9794959425926208|-6.126943929984918e-08,1,1.2338429655756045e-07|Freefall
2268.192138671875,230.29095458984375,78.9974594116211|-0.20142114162445068,-1.4812599147262517e-07,0.9795047640800476|-6.667634977475245e-08,1,1.3751436256370653e-07|Freefall
2268.071044921875,230.66590881347656,79.58516693115234|-0.19738642871379852,-1.1249977660554578e-07,0.9803257584571838|-4.9005226543386016e-08,1,1.0489044655059843e-07|Freefall
2267.95263671875,230.98635864257812,80.17333221435547|-0.1971348524093628,-7.742836061197522e-08,0.9803763628005981|-3.202956477821317e-08,1,7.253766654002902e-08|Freefall
2267.83447265625,231.2523193359375,80.76158142089844|-0.19698846340179443,-4.241803353011164e-08,0.9804058074951172|-1.5106566664258025e-08,1,4.023049626766806e-08|Freefall
2267.71630859375,231.46377563476562,81.34983825683594|-0.19697363674640656,-7.4379471470820135e-09,0.980408787727356|1.7903947213682159e-09,1,7.946284519277924e-09|Freefall
2267.59814453125,231.6207275390625,81.93809509277344|-0.19697518646717072,2.7512266242979422e-08,0.9804084897041321|1.867220866813568e-08,1,-2.4310585544640162e-08|Freefall
2267.47998046875,231.72317504882812,82.52635192871094|-0.1969713419675827,6.243256933657904e-08,0.9804092645645142|3.553951444246195e-08,1,-5.653996382193327e-08|Freefall
2267.36181640625,231.7711181640625,83.11460876464844|-0.1969713270664215,9.732302430620621e-08,0.9804092645645142|5.2392493898878456e-08,1,-8.874172152673054e-08|Freefall
2267.24365234375,231.7645721435547,83.70286560058594|-0.1969713270664215,1.3218365779721353e-07,0.9804092645645142|6.923106354861375e-08,1,-1.2091595635865815e-07|Freefall
2267.12548828125,231.70352172851562,84.29112243652344|-0.1969713270664215,1.337881343488334e-07,0.9804092645645142|6.907161775870918e-08,1,-1.225845380758983e-07|Freefall
2267.00732421875,231.5879669189453,84.87937927246094|-0.1969713270664215,1.0217910073606618e-07,0.9804092645645142|5.1935934664015804e-08,1,-9.378656073977254e-08|Freefall
2266.88916015625,231.4179229736328,85.46763610839844|-0.1969713270664215,7.059708195811254e-08,0.9804092645645142|3.481489940782012e-08,1,-6.50131966040135e-08|Freefall
2266.77099609375,231.19337463378906,86.05589294433594|-0.1969713270664215,3.9042046040549394e-08,0.9804092645645142|1.7708497779267418e-08,1,-3.62644279050528e-08|Freefall
2266.65283203125,230.91432189941406,86.64414978027344|-0.1969713270664215,7.513984989770961e-09,0.9804092645645142|6.167145683022568e-10,1,-7.54022888571626e-09|Freefall
2266.53466796875,230.58078002929688,87.23240661621094|-0.1969713270664215,-2.398712872775377e-08,0.9804092645645142|-1.646046143832791e-08,1,2.1159419105742927e-08|Freefall
2266.41650390625,230.19273376464844,87.82066345214844|-0.1969713270664215,-5.546132086919897e-08,0.9804092645645142|-3.352304034365261e-08,1,4.9834540050142095e-08|Freefall
2266.29833984375,229.75018310546875,88.40892028808594|-0.1969713270664215,-8.690861363902513e-08,0.9804092645645142|-5.057103891203951e-08,1,7.848515082287122e-08|Freefall
2266.18017578125,229.25314331054688,88.99717712402344|-0.1969713270664215,-1.1832902657715749e-07,0.9804092645645142|-6.760446780162965e-08,1,1.0711127629292605e-07|Freefall
2266.06201171875,228.70159912109375,89.58543395996094|-0.1969713270664215,-1.4972258099987812e-07,0.9804092645645142|-8.462333056513671e-08,1,1.3571292356573394e-07|Freefall
2265.94384765625,228.09555053710938,90.17369079589844|-0.1969713270664215,-1.3026190970322205e-07,0.9804092645645142|-7.317343886370509e-08,1,1.1816376144224705e-07|Freefall
2265.82568359375,227.43499755859375,90.76194763183594|-0.1969713270664215,-9.388265453935674e-08,0.9804092645645142|-5.225264843033983e-08,1,8.526070160996824e-08|Freefall
2265.70751953125,226.71994018554688,91.35020446777344|-0.1969713270664215,-5.753449627832197e-08,0.9804092645645142|-3.134974235763366e-08,1,5.2385772164598166e-08|Freefall
2265.58935546875,225.9503936767578,91.93846130371094|-0.19697117805480957,-2.121740472205147e-08,0.9804092645645142|-1.0464700217482914e-08,1,1.9538942908070567e-08|Landed
2265.47119140625,225.1263427734375,92.52671813964844|-0.19697117805480957,1.5068630787595794e-08,0.9804092645645142|1.0402476213755563e-08,1,-1.3279803923182953e-08|Landed
2265.35302734375,224.5310821533203,93.11497497558594|-0.19697117805480957,5.132363867232925e-08,0.9804092645645142|3.125181891050488e-08,1,-4.607048609273079e-08|Running
2265.264404296875,225.19207763671875,93.55616760253906|-0.19697117805480957,7.849454419783797e-08,0.9804092645645142|4.687712973350244e-08,1,-7.064509333076785e-08|Jumping
2265.146240234375,226.0302734375,94.14442443847656|-0.1969713568687439,1.1469532523733506e-07,0.9804092645645142|6.769529647954187e-08,1,-1.0338671785348197e-07|Freefall
2264.99853515625,227.0013885498047,94.87974548339844|-0.19697140157222748,1.4304036710655055e-07,0.9804092049598694|8.384503757952189e-08,1,-1.2905356072678842e-07|Freefall
2264.88037109375,227.7169647216797,95.46800231933594|-0.19697140157222748,1.1175792735684809e-07,0.9804092049598694|6.525250029199015e-08,1,-1.0088139390518336e-07|Freefall
2264.76220703125,228.37803649902344,96.05625915527344|-0.19697140157222748,8.050222533029228e-08,0.9804092049598694|4.667586139817104e-08,1,-7.273331448232057e-08|Freefall
2264.64404296875,228.984619140625,96.64451599121094|-0.19697140157222748,4.927322905246001e-08,0.9804092049598694|2.811509602906881e-08,1,-4.460929048377693e-08|Freefall
2264.52587890625,229.5366973876953,97.23277282714844|-0.19697140157222748,1.807092786521025e-08,0.9804092049598694|9.570197967434524e-09,1,-1.650930236962722e-08|Freefall
2264.40771484375,230.03427124023438,97.82102966308594|-0.19697140157222748,-1.3104707541344851e-08,0.9804092049598694|-8.958848773943373e-09,1,1.1566670288232217e-08|Freefall
2264.28955078125,230.47735595703125,98.40928649902344|-0.19697140157222748,-4.425369937166579e-08,0.9804092049598694|-2.7472058405919597e-08,1,3.9618647917905037e-08|Freefall
2264.17138671875,230.86593627929688,98.99754333496094|-0.19697140157222748,-7.53760716065699e-08,0.9804092049598694|-4.5969439810278345e-08,1,6.764665272385173e-08|Freefall
2264.05322265625,231.20001220703125,99.58580017089844|-0.19697140157222748,-1.0647184467416082e-07,0.9804092049598694|-6.445101519148011e-08,1,9.565071223960331e-08|Freefall
2263.93505859375,231.47958374023438,100.17405700683594|-0.19697140157222748,-1.3754105054886168e-07,0.9804092049598694|-8.291679165495225e-08,1,1.2363082646515977e-07|Freefall
2263.81689453125,231.7046661376953,100.76231384277344|-0.19697140157222748,-1.3554540601035114e-07,0.9804092049598694|-8.152755981427617e-08,1,1.2187442166577966e-07|Freefall
2263.69873046875,231.875244140625,101.35057067871094|-0.19697140157222748,-1.0052730914367203e-07,0.9804092049598694|-6.030876420481945e-08,1,9.041959714295444e-08|Freefall
2263.58056640625,231.99131774902344,101.93882751464844|-0.19697269797325134,-6.553912612616841e-08,0.9804089665412903|-3.9108240201812805e-08,1,5.8991577844835774e-08|Freefall
2263.46240234375,232.05288696289062,102.52708435058594|-0.19697251915931702,-3.058084629969926e-08,0.9804090261459351|-1.7925701811805084e-08,1,2.7590500550900288e-08|Freefall
2263.34423828125,232.05996704101562,103.11534118652344|-0.1969725787639618,4.3475698596751045e-09,0.9804090261459351|3.2387255100019274e-09,1,-3.783757307473934e-09|Freefall
2263.22607421875,232.01254272460938,103.70359802246094|-0.19697263836860657,3.924614944139648e-08,0.9804089665412903|2.4385073515986733e-08,1,-3.5131211717498445e-08|Freefall
2263.10791015625,231.91061401367188,104.29185485839844|-0.19697269797325134,7.411488667230515e-08,0.9804089665412903|4.5513349533621295e-08,1,-6.64518609028164e-08|Freefall
2262.98974609375,231.7541961669922,104.88011169433594|-0.19697251915931702,1.0895382018816235e-07,0.9804090261459351|6.662355644948548e-08,1,-9.77457403905646e-08|Freefall
2262.87158203125,231.54327392578125,105.46836853027344|-0.1969725787639618,1.4376297485796385e-07,0.9804090261459351|8.77157404488571e-08,1,-1.290128750497388e-07|Freefall
2262.75341796875,231.27784729003906,106.05662536621094|-0.19697263836860657,1.141461751785755e-07,0.9804089665412903|6.956003062441596e-08,1,-1.0245189230317919e-07|Freefall
2262.63525390625,230.9579315185547,106.64488220214844|-0.19697269797325134,8.455469924228964e-08,0.9804089665412903|5.141983905332381e-08,1,-7.591361850245448e-08|Freefall
2262.51708984375,230.58351135253906,107.23313903808594|-0.19697251915931702,5.4988507969255807e-08,0.9804090261459351|3.329511955030284e-08,1,-4.939804298942363e-08|Freefall
2262.39892578125,230.1545867919922,107.82139587402344|-0.1969725787639618,2.544757826683508e-08,0.9804090261459351|1.518590408977616e-08,1,-2.2905105367954093e-08|Freefall
2262.28076171875,229.67115783691406,108.40965270996094|-0.19697263836860657,-4.068114289879077e-09,0.9804089665412903|-2.907840412902374e-09,1,3.565195028087942e-09|Freefall
2262.16259765625,229.13323974609375,108.99790954589844|-0.19697269797325134,-3.355857458586797e-08,0.9804089665412903|-2.0986124837918396e-08,1,3.001286330572839e-08|Freefall
2262.04443359375,228.5408172607422,109.58616638183594|-0.19697251915931702,-6.302381905243237e-08,0.9804090261459351|-3.904895606865466e-08,1,5.643792633236444e-08|Freefall
2261.92626953125,227.89389038085938,110.17442321777344|-0.1969725787639618,-9.246389254258247e-08,0.9804090261459351|-5.7096361416597574e-08,1,8.284040120543068e-08|Freefall
2261.80810546875,227.1924591064453,110.76268005371094|-0.19697263836860657,-1.2187882703074138e-07,0.9804089665412903|-7.512834798717449e-08,1,1.0922033055749125e-07|Freefall
2261.68994140625,226.43653869628906,111.35093688964844|-0.19697269797325134,-1.5126860830605438e-07,0.9804089665412903|-9.314493354395381e-08,1,1.355777072831188e-07|Freefall
2261.601318359375,225.83383178710938,111.79212951660156|-0.18806594610214233,-1.0956019025343267e-07,0.9821563959121704|-6.67043948965329e-08,1,9.877791740109387e-08|Landed
2261.459228515625,224.7611846923828,112.5285873413086|-0.15678143501281738,-4.1075395529333036e-08,0.9876333475112915|-2.1559596774523015e-08,1,3.816725069327731e-08|Landed
2261.3623046875,224.56858825683594,113.12068176269531|-0.11631947755813599,1.2581882202766792e-08,0.9932118654251099|1.3564189771386737e-08,1,-1.1079310802131204e-08|Running
2261.267578125,225.4340362548828,113.71321105957031|-0.11631970852613449,6.61933299284101e-08,0.9932118058204651|4.7082735932235664e-08,1,-6.113165795795794e-08|Jumping
2261.19189453125,226.24497985839844,114.3083267211914|-0.10813906788825989,1.1853080650325865e-07,0.9941357970237732|7.991375383653576e-08,1,-1.1053722204223959e-07|Freefall
2261.126708984375,227.00143432617188,114.90475463867188|-0.115819551050663,1.0654248683295009e-07,0.9932702779769897|7.207713537127347e-08,1,-9.885985008395437e-08|Freefall
2261.0751953125,227.5330047607422,115.3517837524414|-0.1202831119298935,9.607693840507636e-08,0.9927396178245544|6.58610090908951e-08,1,-8.879968760311385e-08|Freefall
2260.985107421875,228.350830078125,116.0963363647461|-0.12061059474945068,7.761396858541048e-08,0.992699921131134|5.460780982957658e-08,1,-7.155001213732248e-08|Freefall
2260.912841796875,228.94378662109375,116.69194793701172|-0.12081614136695862,6.282199649376707e-08,0.9926748871803284|4.5586034502775874e-08,1,-5.773739886194562e-08|Freefall
2260.840576171875,229.48223876953125,117.28755187988281|-0.1167341098189354,4.783276352782195e-08,0.9931632280349731|3.626546529744701e-08,1,-4.3899479607034664e-08|Freefall
2260.77001953125,229.9661865234375,117.88343048095703|-0.12058225274085999,3.2268687277792196e-08,0.9927033185958862|2.7335696373143037e-08,1,-2.9185445171719948e-08|Freefall
2260.697998046875,230.39564514160156,118.47908020019531|-0.12068448960781097,1.635964075319407e-08,0.992690920829773|1.8199083129388782e-08,1,-1.4267576453619313e-08|Freefall
2260.625732421875,230.77059936523438,119.07469177246094|-0.12081299722194672,4.3999312526743495e-10,0.9926753044128418|9.062234518353307e-09,1,6.596744817066735e-10|Freefall
2260.553466796875,231.09104919433594,119.67030334472656|-0.12083085626363754,-1.546629491144813e-08,0.9926730990409851|-6.892751647225026e-11,1,1.557206097402286e-08|Freefall
2260.481201171875,231.3570098876953,120.26592254638672|-0.12491460144519806,-3.164806017252886e-08,0.9921674728393555|-9.293386504793943e-09,1,3.0727857591728025e-08|Freefall
2260.40625,231.56846618652344,120.8612289428711|-0.11699037998914719,-4.881746207274773e-08,0.9931330680847168|-1.829271312203673e-08,1,4.700013889191723e-08|Freefall
2260.33544921875,231.7254180908203,121.4570541381836|-0.12072285264730453,-6.752647152552527e-08,0.9926862716674805|-2.790296349530763e-08,1,6.463064039508026e-08|Freefall
2260.263427734375,231.82786560058594,122.05269622802734|-0.09612632542848587,-9.44587839057931e-08,0.9953691363334656|-3.631302902817879e-08,1,9.139136381008939e-08|Freefall
2260.204345703125,231.8758087158203,122.64978790283203|-0.03718234598636627,-1.4622199273617298e-07,0.9993085265159607|-3.196920772552403e-08,1,1.4513365442780923e-07|Freefall
2260.1708984375,231.8692626953125,123.24858093261719|0.024883437901735306,-1.7731046852986765e-07,0.9996903538703918|-5.222667187609886e-09,1,1.7749539438227657e-07|Freefall
2260.173583984375,231.80821228027344,123.84819793701172|0.06759551912546158,-1.8155466818825516e-07,0.9977127909660339|1.3177034574596291e-08,1,1.8107812138623558e-07|Freefall
2260.209716796875,231.69265747070312,124.44692993164062|0.08036287128925323,-1.5499635708238202e-07,0.996765673160553|1.802596649724819e-08,1,1.5404596354073874e-07|Freefall
2260.25830078125,231.52261352539062,125.04492950439453|0.08654996752738953,-1.4008497828399413e-07,0.9962475299835205|2.2219159845349168e-08,1,1.3868231008018483e-07|Freefall
2260.282470703125,231.29806518554688,125.63546752929688|0.019211674109101295,-0.000004813234227185603,0.9998154640197754|3.109599049366807e-07,1,0.000004808147878065938|Freefall
2260.26806640625,231.01901245117188,126.21390533447266|-0.0007257953402586281,-0.000015055777112138458,0.9999997615814209|0.0000010688646625567344,1,0.000015056556549097877|Freefall
2260.215576171875,230.6854705810547,126.78031921386719|0.013124145567417145,-0.000021566231225733645,0.9999138712882996|0.0000023036670881992904,1,0.000021537853172048926|Freefall
2260.125244140625,230.29742431640625,127.33512115478516|0.03053557127714157,-0.0000238447555602761,0.9995336532592773|0.0000033786723179218825,1,0.000023752661945763975|Freefall
2259.996337890625,229.85487365722656,127.87886047363281|0.06093616783618927,-0.00002443869198032189,0.9981416463851929|0.000004414329850987997,1,0.000024214697987190448|Freefall
2259.82861328125,229.3578338623047,128.41256713867188|0.1002994254231453,-0.000024860837584128603,0.9949573278427124|0.000005513813903235132,1,0.000024431004931102507|Freefall
2259.6220703125,228.80628967285156,128.93820190429688|0.1282023936510086,-0.000024957122150226496,0.991748034954071|0.0000062359345065488014,1,0.0000243586691794917|Freefall
2259.376220703125,228.2002410888672,129.4583282470703|0.15560026466846466,-0.00002473459971952252,0.9878200888633728|0.0000068607960201916285,1,0.00002395887531747576|Freefall
2259.09130859375,227.53968811035156,129.978271484375|0.18654072284698486,-0.000024661956558702514,0.9824472069740295|0.000007581346835650038,1,0.00002366308035561815|Freefall
2258.804931640625,226.8246307373047,130.5071563720703|0.2094396948814392,-0.000024574903363827616,0.9778215885162354|0.000008095858902379405,1,0.000023398246412398294|Freefall
2258.53369140625,226.05508422851562,131.04188537597656|0.3137681782245636,-0.000007509202532673953,0.9494996070861816|0.0000018211514998256462,1,0.000007306778115889756|Landed
2258.276611328125,225.2310333251953,131.5838623046875|0.3593504726886749,0.000008305802111863159,0.9332026839256287|-0.000003963484232372139,1,-0.000007374091637757374|Landed
2258.0322265625,224.65335083007812,132.13172912597656|0.38156601786613464,0.000004346178684500046,0.9243415594100952|-0.000001841675612013205,1,-0.000003941678642149782|Running
2257.7890625,225.518798828125,132.68031311035156|0.40253064036369324,-0.00000197013082470221,0.9154065251350403|0.0000010863647048608982,1,0.0000016744864979045815|Jumping
2257.563232421875,226.32974243164062,133.23739624023438|0.35472986102104187,-0.000007361627467616927,0.9349688291549683|0.0000032147083857125835,1,0.000006653991022176342|Freefall
2257.354248046875,227.08619689941406,133.80152893066406|0.3329200744628906,-0.0000162211581482552,0.9429550766944885|0.000006703512099193176,1,0.000014835728507023305|Freefall
2257.1494140625,227.78814697265625,134.36721801757812|0.3307289183139801,-0.000021464473320520483,0.9437258243560791|0.000009137871529674158,1,0.000019542027075658552|Freefall
2256.945068359375,228.4355926513672,134.9330291748047|0.33058276772499084,-0.00002301328095200006,0.9437770247459412|0.000010091458534589037,1,0.000020849436623393558|Freefall
2256.74072265625,229.02854919433594,135.4988555908203|0.3305697739124298,-0.000023134482034947723,0.9437815546989441|0.000010282761650159955,1,0.00002091088936140295|Freefall
2256.536376953125,229.56700134277344,136.06468200683594|0.3305628001689911,-0.000023011600205791183,0.9437839984893799|0.00001025285655487096,1,0.000020791183487745002|Freefall
2256.33203125,230.0509490966797,136.63050842285156|0.3305642008781433,-0.00002294121077284217,0.9437835216522217|0.000010209801075689029,1,0.000020731677068397403|Freefall
2256.127685546875,230.48040771484375,137.1963348388672|0.330565869808197,-0.00002292354838573374,0.9437829256057739|0.000010191015462623909,1,0.000020719537133118138|Freefall
2255.923095703125,230.85536193847656,137.76219177246094|0.338328093290329,-0.00002307747672603,0.9410282373428345|0.000010422879313409794,1,0.00002077634235320147|Freefall
2255.72265625,231.17581176757812,138.32960510253906|0.34268298745155334,-0.00002323545777471736,0.9394510984420776|0.000010591204045340419,1,0.0000208696692425292|Freefall
2255.525390625,231.4417724609375,138.89804077148438|0.34706026315689087,-0.00002323679655091837,0.937842845916748|0.000010698361620598007,1,0.00002081779712170828|Freefall
2255.33056640625,231.65322875976562,139.46739196777344|0.351325124502182,-0.000023208795028040186,0.936253547668457|0.000010783787729451433,1,0.000020742436390719377|Freefall
2255.138427734375,231.8101806640625,140.03759765625|0.35557201504707336,-0.000023194334062281996,0.934648871421814|0.000010870410733332392,1,0.000020680621673818678|Freefall
2254.948974609375,231.91262817382812,140.60865783691406|0.3559616208076477,-0.000023113927454687655,0.9345005750656128|0.000010842192750715185,1,0.000020604078599717468|Freefall
2254.76025390625,231.9605712890625,141.1798553466797|0.3599618673324585,-0.000023074495402397588,0.9329670071601868|0.000010909865522990003,1,0.000020523082639556378|Freefall
2254.572998046875,231.9540252685547,141.75180053710938|0.36406004428863525,-0.000023132875867304392,0.9313755035400391|0.00001102288115362171,1,0.000020528656023088843|Freefall
2254.388671875,231.89297485351562,142.32456970214844|0.3644258379936218,-0.000023099401005310938,0.9312323927879333|0.000011017395991075318,1,0.000020493676856858656|Freefall
2254.250732421875,231.81141662597656,142.75425720214844|0.39664679765701294,-0.00002311478237970732,0.9179713129997253|0.000011702345545927528,1,0.000020123814465478063|Freefall
2254.0263671875,231.6073760986328,143.47216796875|0.3483371138572693,-0.00002310870695509948,0.9373693466186523|0.000010705772183428053,1,0.000020674337065429427|Freefall
2253.84716796875,231.38282775878906,144.04672241210938|0.37683430314064026,-0.000023075566787156276,0.926280677318573|0.000011276091754552908,1,0.000020324669094407|Freefall
2253.670654296875,231.10377502441406,144.62193298339844|0.3770916163921356,-0.00002305769521626644,0.9261759519577026|0.0000112689058369142,1,0.00002030746327363886|Freefall
2253.494384765625,230.77023315429688,145.197265625|0.3772280216217041,-0.000022984295355854556,0.926120400428772|0.000011240827006986365,1,0.000020239203877281398|Freefall
2253.318115234375,230.38218688964844,145.77259826660156|0.3772431015968323,-0.00002294022669957485,0.9261142611503601|0.000011219764928682707,1,0.000020200150174787268|Freefall
