bisu|false|19868
-30.740482330322266,7.7945876121521,221.36492919921875|0.07964839786291122,-1.0108167458611206e-07,-0.9968230128288269|9.92793847132134e-09,1,-1.0061056343602104e-07|Running
-30.691526412963867,7.7945876121521,220.76690673828125|0.07992243766784668,-1.1223666263049381e-07,-0.9968010783195496|1.098709034863532e-08,1,-1.1171592007030995e-07|Running
-30.64257049560547,7.7945876121521,220.16888427734375|0.0801578089594841,-1.236243178937002e-07,-0.9967821836471558|1.2063304133391739e-08,1,-1.2305331154038868e-07|Running
-30.59361457824707,7.7945876121521,219.57086181640625|0.08035996556282043,-1.3518091179776093e-07,-0.9967659115791321|1.3151876032679866e-08,1,-1.3455920111482556e-07|Running
-30.544660568237305,7.7945876121521,218.97283935546875|0.08053360134363174,-7.632468168594642e-08,-0.9967519044876099|7.401828483466488e-09,1,-7.597536466619204e-08|Running
-30.49570655822754,7.7945876121521,218.37481689453125|0.08068273961544037,-1.7615622738276215e-08,-0.9967398047447205|1.6627077492614717e-09,1,-1.7538649643711324e-08|Running
-30.446754455566406,7.7945876121521,217.77679443359375|0.08081083744764328,4.097181616202761e-08,-0.9967294335365295|-4.067355785508653e-09,1,4.0776491516680835e-08|Running
-30.39780044555664,7.7945876121521,217.17877197265625|0.08092085272073746,9.945647860831741e-08,-0.996720552444458|-9.789497212864262e-09,1,9.898893438275991e-08|Running
-30.348848342895508,7.7945876121521,216.58074951171875|0.08101534098386765,8.517688598885798e-08,-0.996712863445282|-8.364668069305026e-09,1,8.477790203187396e-08|Running
-30.299896240234375,7.7945876121521,215.98272705078125|0.08109650015830994,7.088062403681761e-08,-0.9967062473297119|-6.9386683065886245e-09,1,7.05502998243901e-08|Running
-30.250944137573242,7.7945876121521,215.38470458984375|0.08116621524095535,5.657526003233215e-08,-0.9967005848884583|-5.512141409980131e-09,1,5.6313663066021036e-08|Running
-30.20199203491211,7.7945876121521,214.78668212890625|0.08122608810663223,4.22663930521594e-08,-0.9966956973075867|-4.085581206680899e-09,1,4.207355885910147e-08|Running
-30.15304183959961,7.7945876121521,214.18865966796875|0.0812775120139122,2.79581460205236e-08,-0.9966915249824524|-2.6592823498816642e-09,1,2.7834095917000923e-08|Running
-30.104089736938477,7.7945876121521,213.59063720703125|0.08132167905569077,1.3653556507620124e-08,-0.9966878890991211|-1.2334243626455077e-09,1,1.3598291381811123e-08|Running
-30.055139541625977,7.7945876121521,212.99261474609375|0.0813596174120903,-6.451396639128859e-10,-0.9966847896575928|1.917864062006558e-10,1,-6.316299705488859e-10|Running
-30.006187438964844,7.7945876121521,212.39459228515625|0.08139220625162125,-1.4936285097633117e-08,-0.9966821670532227|1.6162169380606883e-09,1,-1.4854021124222072e-08|Running
-29.957237243652344,7.7945876121521,211.79656982421875|0.0814201831817627,-2.9218661268259893e-08,-0.9966798424720764|3.039717810793263e-09,1,-2.906767448962455e-08|Running
-29.908287048339844,7.7945876121521,211.19854736328125|0.08144423365592957,-4.349137583403717e-08,-0.9966778755187988|4.462250124959155e-09,1,-4.327170444184958e-08|Running
-29.85933494567871,7.7945876121521,210.60052490234375|0.08146488666534424,-5.7753769766577534e-08,-0.9966762065887451|5.883755704871874e-09,1,-5.746545284068816e-08|Running
-29.81038475036621,7.7945876121521,210.00250244140625|0.08148261159658432,-7.200536344953434e-08,-0.9966747760772705|7.304185700718335e-09,1,-7.164845072793469e-08|Running
-29.76143455505371,7.7945876121521,209.40447998046875|0.08149784058332443,-8.624581226968075e-08,-0.9966735243797302|8.723501032648073e-09,1,-8.582034638493496e-08|Running
-29.712478637695312,7.7945876121521,208.80645751953125|0.08151093125343323,-1.0047484977349086e-07,-0.9966724514961243|1.0141680384379015e-08,1,-9.998088046359044e-08|Running
-29.66352081298828,7.7945876121521,208.20843505859375|0.08152217417955399,-1.1469227700899864e-07,-0.9966715574264526|1.1558702439629087e-08,1,-1.1412986822278981e-07|Running
-29.614561080932617,7.7945876121521,207.61041259765625|0.081531822681427,-1.288979802893664e-07,-0.9966707229614258|1.2974563645684611e-08,1,-1.2826717465941329e-07|Running
-29.56328773498535,7.7945876121521,207.0126190185547|0.08195643872022629,-9.06257682231626e-08,-0.996635913848877|9.106610576736784e-09,1,-9.018280877626239e-08|Running
