mount feels|false|16760
999.1077880859375,17.90629768371582,-158.34837341308594|-0.9999755024909973,0.004037270322442055,0.005717030726373196|0.0040198033675551414,0.9999872446060181,-0.0030634498689323664|Jumping
999.000244140625,19.479154586791992,-158.3463134765625|-0.9999911785125732,-0.000164576165843755,-0.004195820074528456|-0.00016509539273101836,1,0.00012340278772171587|Freefall
998.89599609375,20.194719314575195,-158.34674072265625|-0.9999911785125732,-0.0002003043337026611,-0.0041977353394031525|-0.0002009360323427245,0.9999999403953552,0.00015006370085757226|Freefall
998.7520751953125,20.855838775634766,-158.34742736816406|-0.9999911785125732,-0.0000752477499190718,-0.004197473172098398|-0.00007548499706899747,1,0.00005636199057335034|Freefall
998.5684204101562,21.462432861328125,-158.34823608398438|-0.9999911785125732,-0.00001225731466547586,-0.004197549074888229|-0.000012295945452933665,1,0.000009177354513667524|Freefall
998.344970703125,22.014514923095703,-158.34918212890625|-0.9999911785125732,0.000002931027665908914,-0.004197502508759499|0.0000029402756354102166,1,-0.000002197073172283126|Freefall
998.081787109375,22.5120906829834,-158.35028076171875|-0.9999911785125732,0.00000279671189673536,-0.004197455942630768|0.000002805530812111101,1,-0.000002095162017212715|Freefall
997.7788696289062,22.955167770385742,-158.35154724121094|-0.9999911785125732,9.580600135450368e-07,-0.004197528585791588|9.610802180759492e-07,1,-7.175056566666171e-07|Freefall
997.436279296875,23.3437442779541,-158.35299682617188|-0.9999911785125732,1.252507644267098e-07,-0.004197482019662857|1.2564524354274909e-07,1,-9.371605358410307e-08|Freefall
997.0538330078125,23.677820205688477,-158.35459899902344|-0.999999463558197,-5.213726339547975e-08,-0.001025268342345953|-5.217623666453619e-08,1,3.798831826884452e-08|Freefall
996.6314697265625,23.9573974609375,-158.35606384277344|-0.9999848008155823,-1.0801591088238638e-07,0.005512698087841272|-1.0762319391233177e-07,1,7.153514758329038e-08|Freefall
996.1692504882812,24.182472229003906,-158.35647583007812|-0.9999027848243713,-1.0404239247918667e-07,0.013943230733275414|-1.0338799683040634e-07,1,4.765402294992782e-08|Freefall
995.6674194335938,24.353050231933594,-158.3540496826172|-0.999744713306427,-1.0124549731926891e-07,0.02259485423564911|-1.0146629847440636e-07,1,-8.625754333024815e-09|Freefall
995.12646484375,24.469125747680664,-158.34555053710938|-0.9995579123497009,-9.089384889193752e-08,0.02973106876015663|-9.329968975180236e-08,1,-7.953283187589477e-08|Freefall
994.5611572265625,24.530702590942383,-158.32901000976562|-0.9992639422416687,-5.610700171132521e-08,0.03836152330040932|-6.111929451435572e-08,1,-1.2948667915679835e-07|Freefall
993.99462890625,24.537778854370117,-158.307373046875|-0.9990375638008118,-1.705102725679808e-08,0.043862294405698776|-2.2912921338047454e-08,1,-1.331403893800598e-07|Freefall
993.42822265625,24.490354537963867,-158.28248596191406|-0.9988648891448975,2.1467332800284566e-08,0.04763314500451088|1.4365468814503402e-08,1,-1.4943732651317987e-07|Freefall
992.8621215820312,24.3884334564209,-158.2554473876953|-0.9987683892250061,4.4735656956618186e-08,0.049616023898124695|3.790306379869435e-08,1,-1.386503072353662e-07|Freefall
992.296142578125,24.232009887695312,-158.227294921875|-0.9986764192581177,5.28025161372625e-08,0.05143323913216591|4.78492125921548e-08,1,-9.753687635338792e-08|Freefall
991.730224609375,24.021087646484375,-158.1981658935547|-0.9986677169799805,6.084305681497426e-08,0.05160224810242653|5.796558255610762e-08,1,-5.7259114782937104e-08|Freefall
991.164306640625,23.755664825439453,-158.1688690185547|-0.998664379119873,6.887884040907011e-08,0.051666755229234695|6.808867425434073e-08,1,-1.7053650935849873e-08|Freefall
990.7398681640625,23.520832061767578,-158.1468963623047|-0.9986639618873596,7.490125852882557e-08,0.05167429894208908|7.567826543208866e-08,1,1.3080044602986618e-08|Freefall
990.032470703125,23.06131935119629,-158.1102752685547|-0.9986639618873596,8.493003633702756e-08,0.05167500674724579|8.831703723899409e-08,1,6.326080637109044e-08|Freefall
989.466552734375,22.632394790649414,-158.0809783935547|-0.9986639618873596,9.29453420894788e-08,0.05167519673705101|9.841834014423512e-08,1,1.0336686528944483e-07|Freefall
988.900634765625,22.14897346496582,-158.0516815185547|-0.9986639618873596,8.245550020546943e-08,0.051675163209438324|8.844747867442493e-08,1,1.1366782359800709e-07|Freefall
988.3346557617188,21.61104965209961,-158.0223846435547|-0.9985806941986084,5.352617904463841e-08,0.05325915664434433|5.860414376002154e-08,1,9.378273801985415e-08|Freefall
987.7686767578125,21.018627166748047,-157.99224853515625|-0.9984896779060364,2.461349879467889e-08,0.05493912100791931|2.8661242268412934e-08,1,7.288898729029825e-08|Freefall
987.20263671875,20.3717041015625,-157.96112060546875|-0.9983015060424805,-4.299886224856664e-09,0.05825921148061752|-1.412834960135001e-09,1,4.959646204838464e-08|Freefall
