mount feels|false|16760
206.9976043701172,229.12484741210938,502.641357421875|-0.4353639483451843,2.7358413312583707e-09,-0.9002545475959778|-6.653893080965645e-08,1,3.5217251337371636e-08|Jumping
206.7973175048828,229.935791015625,502.22723388671875|-0.4353639483451843,2.5724491425904716e-09,-0.9002545475959778|-5.083298759700483e-08,1,2.7440348659979463e-08|Freefall
206.5797576904297,230.69224548339844,501.77734375|-0.4353639483451843,2.40919839633591e-09,-0.9002545475959778|-3.514046653663172e-08,1,1.9670093109880327e-08|Freefall
206.3448944091797,231.39419555664062,501.29168701171875|-0.4353639483451843,2.2460877602270557e-09,-0.9002545475959778|-1.946135874675292e-08,1,1.1906479358003708e-08|Freefall
206.09910583496094,232.04164123535156,500.783447265625|-0.42964428663253784,1.762905599278497e-09,-0.9029982089996338|-1.4353172816949922e-10,1,2.0205723760824412e-09|Freefall
205.91635131835938,232.49147033691406,500.40008544921875|-0.4248294234275818,8.683468388781534e-10,-0.9052734375|2.2692887569064624e-08,1,-9.690176661081296e-09|Freefall
205.67550659179688,233.04354858398438,499.88720703125|-0.4259619414806366,-5.383331558306281e-10,-0.904741108417511|5.8273599279345945e-08,1,-2.803085585867393e-08|Freefall
205.37391662597656,233.65699768066406,499.2461853027344|-0.4272543787956238,-2.28528929113736e-09,-0.9041314721107483|1.0355537227724199e-07,1,-5.146350900986363e-08|Freefall
205.13172912597656,234.08645629882812,498.733642578125|-0.4302874505519867,-3.251670266379847e-09,-0.9026919007301331|1.262572766336234e-07,1,-6.378542849461155e-08|Freefall
204.88783264160156,234.46141052246094,498.2218322753906|-0.4348074495792389,-3.3880929173335517e-09,-0.9005234837532043|1.0810155259832754e-07,1,-5.595795826707217e-08|Freefall
204.641357421875,234.7818603515625,497.7111511230469|-0.4408809244632721,-4.28274748998092e-09,-0.8975656032562256|1.0220427526519416e-07,1,-5.4973877894326506e-08|Freefall
204.39141845703125,235.04782104492188,497.2020568847656|-0.4484947621822357,-6.266623664430426e-09,-0.8937854766845703|1.1731541604831364e-07,1,-6.587931267176828e-08|Freefall
204.1371612548828,235.25927734375,496.6950988769531|-0.45622020959854126,-7.494745268843417e-09,-0.8898668885231018|1.2813409000500542e-07,1,-7.411458113892877e-08|Freefall
203.87843322753906,235.41622924804688,496.1903076171875|-0.4653710722923279,-8.645220539449383e-09,-0.8851156830787659|1.3971620660413464e-07,1,-8.322652433889743e-08|Freefall
203.614501953125,235.5186767578125,495.6880798339844|-0.4759601950645447,-8.119192429489885e-09,-0.8794668316841125|1.3488890715507296e-07,1,-8.223270953067185e-08|Freefall
203.3445281982422,235.56661987304688,495.18890380859375|-0.48938339948654175,-8.223857150824188e-09,-0.8720687627792358|1.4623624622345233e-07,1,-9.149444935019346e-08|Freefall
203.06695556640625,235.56007385253906,494.69384765625|-0.5029152631759644,-7.698781168130608e-09,-0.8643357157707214|1.4602903775084997e-07,1,-9.387441934904928e-08|Freefall
202.8180694580078,235.59738159179688,494.2655029296875|-0.5146729946136475,-3.6782816792424455e-09,-0.857386589050293|7.507838262199584e-08,1,-4.9358245490793706e-08|Landed
202.627197265625,235.6947784423828,493.9462890625|-0.5241228938102722,-1.375363267719365e-09,-0.8516426682472229|2.4577966328820366e-08,1,-1.6740868247211438e-08|Landed
202.29466247558594,235.92808532714844,493.4044494628906|-0.5301043391227722,1.7622714398868311e-09,-0.8479324579238892|-5.865079799605155e-08,1,3.87452026018309e-08|Running
202.0273895263672,236.7935333251953,492.9700927734375|-0.5301148295402527,4.2694603408222065e-09,-0.8479258418083191|-1.2507295821251319e-07,1,8.322955125095177e-08|Jumping
201.7456512451172,237.60447692871094,492.515625|-0.5301167964935303,4.248378981941414e-09,-0.8479246497154236|-1.2036609575716284e-07,1,8.026239584069117e-08|Freefall
201.4468994140625,238.36093139648438,492.0374450683594|-0.5301175117492676,4.22718482440132e-09,-0.8479241728782654|-1.1566343971480819e-07,1,7.729747864004821e-08|Freefall
201.1465301513672,239.06288146972656,491.5570068359375|-0.5301176309585571,4.2059973281993734e-09,-0.8479241132736206|-1.1096486929318417e-07,1,7.433499149556155e-08|Freefall
200.8461151123047,239.7103271484375,491.0765380859375|-0.5301175713539124,4.184828483744241e-09,-0.8479241728782654|-1.062703276488719e-07,1,7.137501256693213e-08|Freefall
200.5457000732422,240.30328369140625,490.5960693359375|-0.5301176309585571,4.163679623303551e-09,-0.8479241132736206|-1.0157979346558932e-07,1,6.841758448672408e-08|Freefall
200.2452850341797,240.84173583984375,490.1156005859375|-0.5301175713539124,4.142552967323354e-09,-0.8479241728782654|-9.689327384876378e-08,1,6.546267172780063e-08|Freefall
199.9448699951172,241.32568359375,489.6351318359375|-0.5301176309585571,4.12144807171444e-09,-0.8479241132736206|-9.221074037668586e-08,1,6.251029560644383e-08|Freefall
199.6444549560547,241.75514221191406,489.1546630859375|-0.5301175713539124,4.100355610603401e-09,-0.8479241728782654|-8.753222857649234e-08,1,5.956043125365795e-08|Freefall
199.4191436767578,242.04147338867188,488.7943115234375|-0.5301176309585571,4.084548255178788e-09,-0.8479241132736206|-8.402596307632848e-08,1,5.734970187631916e-08|Freefall
199.0436248779297,242.45054626464844,488.1937255859375|-0.5301175713539124,4.058231972692283e-09,-0.8479241728782654|-7.818718472663022e-08,1,5.3668280486363074e-08|Freefall
198.7432098388672,242.7165069580078,487.7132568359375|-0.5301176309585571,4.037195466821686e-09,-0.8479241132736206|-7.352065267696162e-08,1,5.0725990519140396e-08|Freefall
198.4427947998047,242.92796325683594,487.2327880859375|-0.5301175713539124,4.016181609500791e-09,-0.8479241728782654|-6.885811387746799e-08,1,4.7786201662347594e-08|Freefall
198.1425323486328,243.0849151611328,486.7525634765625|-0.5247284173965454,3.710856955052577e-09,-0.8512697219848633|-6.103629601739158e-08,1,4.198238912067609e-08|Freefall
197.84506225585938,243.18736267089844,486.2703857421875|-0.524397075176239,3.0289037944442043e-09,-0.851473867893219|-4.57082833804634e-08,1,3.1707603653785554e-08|Freefall
197.5478515625,243.2353057861328,485.78759765625|-0.5295973420143127,2.3183455155617594e-09,-0.8482491970062256|-2.6607233749587067e-08,1,1.9345099744327854e-08|Freefall
197.24752807617188,243.228759765625,485.3061218261719|-0.5419552326202393,2.5464225172910915e-10,-0.8404073715209961|2.4449832380923908e-08,1,-1.546401584562318e-08|Freefall
196.9932403564453,243.22479248046875,484.9100036621094|-0.561804473400116,-1.524981696476857e-09,-0.8272700309753418|1.0003401484937058e-07,1,-6.977714406275481e-08|Landed
196.7415008544922,243.2247314453125,484.5370788574219|-0.5865500569343567,-7.873148799575347e-10,-0.8099129796028137|6.836425114897793e-08,1,-5.048242002203551e-08|Landed
196.4773712158203,243.25491333007812,484.1690368652344|-0.6076149940490723,-1.0138077044530291e-09,-0.7942317128181458|3.756179722813613e-08,1,-3.0012547114210975e-08|Running
196.21156311035156,244.120361328125,483.80157470703125|-0.6309322118759155,-2.334613613541592e-09,-0.7758379578590393|7.226684139993722e-09,1,-8.88608386873102e-09|Jumping
195.9254913330078,244.93130493164062,483.41796875|-0.6504149436950684,-7.824914938225902e-09,-0.7595791220664978|2.6944713127363684e-08,1,-3.3373954266835426e-08|Freefall
195.68873596191406,245.50375366210938,483.1163024902344|-0.6700990796089172,-9.189429661660142e-09,-0.7422716617584229|7.830496429050982e-08,1,-8.307134891083479e-08|Freefall
195.34024047851562,246.21932983398438,482.70379638671875|-0.6851931810379028,-7.554588066227552e-09,-0.7283613681793213|1.0077313561396295e-07,1,-1.0517260307096876e-07|Freefall
194.95736694335938,246.88040161132812,482.2905578613281|-0.6970334053039551,-7.143516889129842e-09,-0.717038631439209|1.1390373799713416e-07,1,-1.206883695203942e-07|Freefall
194.4627227783203,247.63011169433594,481.7820739746094|-0.7079982161521912,-7.228440068729469e-09,-0.7062142491340637|1.1356948448337789e-07,1,-1.2409185501383035e-07|Freefall
194.060791015625,248.16856384277344,481.3814392089844|-0.7182927131652832,-7.858887762779432e-09,-0.6957409977912903|1.1396745236424977e-07,1,-1.2895729639694764e-07|Freefall
193.65313720703125,248.6525115966797,480.9864807128906|-0.7301598191261292,-7.886137076695832e-09,-0.6832764148712158|1.0760591351299809e-07,1,-1.2653100611714763e-07|Freefall
193.2389373779297,249.08197021484375,480.5985412597656|-0.7387039661407471,-7.950673008849662e-09,-0.6740300059318542|1.0281154061431153e-07,1,-1.2447213748600916e-07|Freefall
192.8199005126953,249.45692443847656,480.2161560058594|-0.7448951601982117,-8.210013113796322e-09,-0.6671815514564514|1.0438866127060464e-07,1,-1.2885341504897951e-07|Freefall
192.39767456054688,249.77737426757812,479.8379821777344|-0.7455296516418457,-6.762794324544075e-09,-0.6664724349975586|8.725071865001155e-08,1,-1.0774757441822658e-07|Freefall
191.9750518798828,250.0433349609375,479.4604187011719|-0.7457531690597534,-5.325451635229683e-09,-0.666222333908081|7.103160015731191e-08,1,-8.750455293693449e-08|Freefall
191.5524444580078,250.25479125976562,479.0828552246094|-0.7457789778709412,-3.8855327844089516e-09,-0.666193425655365|5.4873801502708375e-08,1,-6.726163803705276e-08|Freefall
191.23548889160156,250.3776092529297,478.7996826171875|-0.7457819581031799,-2.80611289760202e-09,-0.6661900877952576|4.2767172914182083e-08,1,-5.208888609331552e-08|Freefall
190.7072296142578,250.51419067382812,478.3277282714844|-0.7457823157310486,-1.0085571267026694e-09,-0.6661897301673889|2.26072387476961e-08,1,-2.6822142729088227e-08|Freefall
190.2846221923828,250.5621337890625,477.9501647949219|-0.7457823753356934,4.281079379886421e-10,-0.6661896705627441|6.494818904911881e-09,1,-6.6281629074183e-09|Freefall
189.8620147705078,250.5555877685547,477.5726013183594|-0.7457823157310486,1.8635495369068167e-09,-0.6661897301673889|-9.60382706693963e-09,1,1.3548564048448952e-08|Freefall
189.4554443359375,250.55162048339844,477.20941162109375|-0.7457823753356934,3.2977631736486046e-09,-0.6661896705627441|-2.5688715155069985e-08,1,3.3708051461189825e-08|Landed
189.05160522460938,250.5515594482422,476.8486633300781|-0.7457823157310486,4.730757563464749e-09,-0.6661897301673889|-4.175986489940442e-08,1,5.3850314429837454e-08|Landed
188.64785766601562,250.5515594482422,476.4879455566406|-0.7457823753356934,6.1625264891063125e-09,-0.6661896705627441|-5.7817263865445057e-08,1,7.39753645007113e-08|Running
188.2425537109375,250.5515594482422,476.1258850097656|-0.7457823157310486,7.593083495294195e-09,-0.6661897301673889|-7.38609529093992e-08,1,9.408321943737974e-08|Running
187.8359375,250.5515594482422,475.7626647949219|-0.7457823753356934,5.677678327487001e-09,-0.6661896705627441|-5.649707901511647e-08,1,7.176965510780065e-08|Running
187.4279327392578,250.5515594482422,475.398193359375|-0.7457823157310486,2.6494724192360763e-09,-0.6661897301673889|-2.8021535314337598e-08,1,3.534644221758754e-08|Running
187.01724243164062,250.5515594482422,475.0313720703125|-0.7457823753356934,-3.7614869552449193e-10,-0.6661896705627441|4.2967901459078917e-10,1,-1.045641795371921e-09|Running
186.6063995361328,250.5515594482422,474.66436767578125|-0.7457823157310486,-3.399190262598495e-09,-0.6661897301673889|2.8856574019187065e-08,1,-3.740663245821452e-08|Running
186.19557189941406,250.5515594482422,474.29742431640625|-0.755018413066864,-5.77637138121645e-09,-0.655703604221344|5.6733654218987795e-08,1,-7.413612479467702e-08|Running
185.77984619140625,250.5515594482422,473.9348449707031|-0.766356348991394,-4.6076955584339885e-09,-0.6424157619476318|5.214781140239211e-08,1,-6.938108043641478e-08|Running
185.3574676513672,250.5515594482422,473.578857421875|-0.7752584218978882,-2.862828862859601e-09,-0.6316441893577576|3.7344737080502455e-08,1,-5.0367994219868706e-08|Running
183.6429901123047,250.733154296875,472.1805114746094|-0.7850919961929321,2.5927917590706784e-09,-0.6193791627883911|-1.8647464017362836e-08,1,2.782264374445731e-08|Running
182.226806640625,250.91497802734375,471.0616760253906|-0.7872505187988281,6.740025426665852e-09,-0.6166333556175232|-6.325802104356626e-08,1,9.169133363684523e-08|Running
181.89939880371094,250.97422790527344,470.80401611328125|-0.9326772093772888,-2.2360385543152006e-08,-0.36071208119392395|1.528178898979604e-07,1,-4.571240594941628e-07|Running
181.39556884765625,251.05491638183594,470.560791015625|-0.9311423897743225,-3.784506930060161e-08,-0.3646557331085205|2.678818589174625e-07,1,-7.878149403950374e-07|Running
180.8715057373047,251.12918090820312,470.3517761230469|-0.9296080470085144,-8.526683359377785e-09,-0.36854976415634155|6.713158029469923e-08,1,-1.924644834616629e-07|Running
180.34701538085938,251.19483947753906,470.14349365234375|-0.9294295907020569,2.2645620934014232e-09,-0.36899957060813904|-1.3921609642864041e-08,1,4.120253649375627e-08|Running
179.95401000976562,251.24063110351562,469.9874572753906|-0.9294086694717407,3.589698094330629e-09,-0.3690522015094757|-2.6059483460016963e-08,1,7.535413004688962e-08|Running
179.4305419921875,251.30075073242188,469.7795715332031|-0.9294067621231079,4.2893164575730225e-09,-0.3690570294857025|-3.418516314468434e-08,1,9.771183329121413e-08|Running
178.9075927734375,251.36276245117188,469.5718994140625|-0.9294062852859497,4.988460311494691e-09,-0.36905819177627563|-4.230353667367126e-08,1,1.2005052951735706e-07|Running
178.3841552734375,251.42625427246094,469.3640441894531|-0.9294062256813049,2.971726642542194e-09,-0.36905837059020996|-2.647678165601519e-08,1,7.472913665651504e-08|Running
177.86016845703125,251.4881591796875,469.15594482421875|-0.9294062256813049,9.567237002627849e-10,-0.36905837059020996|-1.0663523397624886e-08,1,2.9446477256556136e-08|Running
177.3356475830078,251.54605102539062,468.94769287109375|-0.9294062256813049,-1.0565534003248445e-09,-0.36905837059020996|5.136226999269411e-09,1,-1.579748598601327e-08|Running
176.81068420410156,251.5984649658203,468.7392272949219|-0.9294062256813049,-3.068107101711348e-09,-0.36905837059020996|2.0922481525076364e-08,1,-6.100279392740049e-08|Running
176.28565979003906,251.647216796875,468.5307312011719|-0.9294062256813049,-5.0779367377629114e-09,-0.36905837059020996|3.669524772931254e-08,1,-1.0616946610753075e-07|Running
175.7609100341797,251.6956787109375,468.3223571777344|-0.9294062256813049,-3.781507107447624e-09,-0.36905837059020996|2.8054511602704224e-08,1,-8.089654102150234e-08|Running
175.236083984375,251.7436981201172,468.1139831542969|-0.9294062256813049,-2.4861890324245906e-09,-0.36905837059020996|1.9421154462406776e-08,1,-5.5645209329213685e-08|Running
174.710693359375,251.7884063720703,467.9053649902344|-0.9294062256813049,-1.1919791820247383e-09,-0.36905837059020996|1.0795170091171258e-08,1,-3.041545326709638e-08|Running
174.1847381591797,251.82748413085938,467.6965026855469|-0.929406464099884,1.011103006876013e-10,-0.3690578043460846|2.176537616804808e-09,1,-5.20725418340362e-09|Running
173.65850830078125,251.8603515625,467.4875183105469|-0.9325937032699585,1.1608841665733394e-09,-0.3609279692173004|-6.480267433772724e-09,1,1.99606056128232e-08|Running
173.13070678710938,251.88845825195312,467.282470703125|-0.9369370341300964,1.894748136166413e-09,-0.3494981527328491|-1.4839617534789795e-08,1,4.5203485399269994e-08|Running
172.600341796875,251.9119110107422,467.0835266113281|-0.9417296648025513,2.2567097079928544e-09,-0.3363706171512604|-2.2803002153182206e-08,1,7.055007955614201e-08|Running
172.06723022460938,251.93080139160156,466.8918762207031|-0.9496726393699646,1.9691517305631123e-09,-0.31324413418769836|-2.9660371936302e-08,1,9.620865171200421e-08|Running
171.52978515625,251.94537353515625,466.7124328613281|-0.9585540294647217,8.65031768437774e-10,-0.28491073846817017|-3.044078411562623e-08,1,1.054511571396688e-07|Running
170.8516387939453,251.95957946777344,466.50823974609375|-0.9665907621383667,9.76780767381058e-10,-0.25632455945014954|-1.3369346518743441e-08,1,5.4226049428507395e-08|Running
170.30465698242188,251.96994018554688,466.360595703125|-0.9779661297798157,3.17247694781031e-09,-0.2087637186050415|4.28549584707838e-10,1,1.3188929948171335e-08|Running
169.88998413085938,251.97731018066406,466.26800537109375|-0.9864354729652405,6.2804605960309345e-09,-0.16414934396743774|9.368826603406433e-09,1,-1.8040172022892875e-08|Running
169.33180236816406,251.98593139648438,466.1710510253906|-0.9928708076477051,1.2361303092234266e-08,-0.11919555068016052|1.9654409655345262e-08,1,-6.001052099691151e-08|Running
168.7697296142578,251.9924774169922,466.09967041015625|-0.9981950521469116,2.0952041879240824e-08,-0.060055650770664215|2.7162739613117992e-08,1,-1.0259935123713149e-07|Running
168.2045440673828,251.9966583251953,466.0606689453125|-0.9999823570251465,1.7097594451342957e-08,-0.005943819880485535|1.7559258935762045e-08,1,-7.761934739392018e-08|Running
167.63803100585938,251.99916076660156,466.05267333984375|-0.9992210865020752,1.205637012446914e-08,0.039461299777030945|1.0009840067937148e-08,1,-5.205927067208904e-08|Running
167.07174682617188,252.0008087158203,466.0711669921875|-0.9976089596748352,6.247463879560655e-09,0.06911096721887589|4.455789515134256e-09,1,-2.6078758708081295e-08|Running
166.5063018798828,252.00210571289062,466.1077880859375|-0.9965459108352661,8.228636522167321e-11,0.08304382860660553|9.039074350125631e-11,1,9.38319075216576e-11|Running
165.80032348632812,252.00352478027344,466.1653747558594|-0.9954560995101929,-8.01027422170364e-09,0.09522190690040588|-4.904369355074323e-09,1,3.2851581011072994e-08|Running
165.3771514892578,252.00421142578125,466.2048645019531|-0.9951173067092896,-1.2928936143907777e-08,0.09869910031557083|-7.784548117228951e-09,1,5.250704049331034e-08|Running
164.813232421875,252.00489807128906,466.26043701171875|-0.9949434399604797,-1.9527020000964512e-08,0.10043683648109436|-1.1683158440689567e-08,1,7.8685651772048e-08|Running
164.24942016601562,252.00534057617188,466.31719970703125|-0.9947664737701416,-2.616419436662909e-08,0.10217474400997162|-1.5532599206835584e-08,1,1.0484866663773573e-07|Running
163.68569946289062,252.00559997558594,466.37493896484375|-0.9942173361778259,-2.842859991858404e-08,0.10738644748926163|-1.6367565081054636e-08,1,1.131956679500945e-07|Running
163.1222686767578,252.00575256347656,466.4353332519531|-0.9934428930282593,-1.688430373292249e-08,0.11432964354753494|-9.166554626460766e-09,1,6.803008290034995e-08|Running
162.5592498779297,252.00582885742188,466.49951171875|-0.9924063086509705,-4.9641464272554e-09,0.12300284206867218|-2.1676467287790047e-09,1,2.286906664039634e-08|Running
161.99681091308594,252.00587463378906,466.5684814453125|-0.9910627007484436,7.4070318767383014e-09,0.13339683413505554|4.470999570571621e-09,1,-2.230930817859189e-08|Running
161.43508911132812,252.00587463378906,466.6431884765625|-0.9896103739738464,2.022705380966272e-08,0.14377523958683014|1.0630349045470666e-08,1,-6.751614023414731e-08|Running
160.87417602539062,252.00587463378906,466.7237854003906|-0.9875046014785767,3.3646028185785326e-08,0.1575901061296463|1.6073752107104156e-08,1,-1.1278070388698325e-07|Running
160.3144073486328,252.00587463378906,466.8118896484375|-0.9857988953590393,2.5380954227216534e-08,0.167930006980896|1.137716498789132e-08,1,-8.435274168050455e-08|Running
159.75563049316406,252.00587463378906,466.90618896484375|-0.9839847087860107,1.6834443172797364e-08,0.17825275659561157|6.9816445957826545e-09,1,-5.5901587359130644e-08|Running
159.19789123535156,252.00587463378906,467.00634765625|-0.9830371737480164,8.151474162332306e-09,0.18340632319450378|3.1808187195281334e-09,1,-2.7396062307616376e-08|Running
158.64027404785156,252.87132263183594,467.1072998046875|-0.9823905229568481,-6.196984037032394e-10,0.18683913350105286|-4.197105440972848e-10,1,1.1099319241480998e-09|Jumping
158.08338928222656,253.68226623535156,467.2124938964844|-0.9820928573608398,-9.439055759230541e-09,0.18839749693870544|-3.981782015216595e-09,1,2.9345274654701825e-08|Freefall
157.5266876220703,254.438720703125,467.3192138671875|-0.9814717769622803,-1.8422639413984143e-08,0.19160673022270203|-7.93515830821434e-09,1,5.550173298729533e-08|Freefall
156.97036743164062,255.1406707763672,467.427734375|-0.9811182618141174,-2.7590326467930026e-08,0.1934087723493576|-1.2689959305589582e-08,1,7.827967607454411e-08|Freefall
156.41429138183594,255.78811645507812,467.5373840332031|-0.9807683229446411,-3.686374228095701e-08,0.1951756477355957|-1.7813359676210894e-08,1,9.936159273138401e-08|Freefall
155.85850524902344,256.381103515625,467.6479797363281|-0.980735719203949,-4.618288684810068e-08,0.19533944129943848|-2.3274887794855204e-08,1,1.1956814205404953e-07|Freefall
155.30276489257812,256.91961669921875,467.7586975097656|-0.9807230830192566,-5.5502951568087155e-08,0.1954026073217392|-2.8757407122270706e-08,1,1.397110196421636e-07|Freefall
154.74703979492188,257.403564453125,467.8694152832031|-0.9807215929031372,-6.481600678398536e-08,0.19541016221046448|-3.4242837898545986e-08,1,1.5983464152213855e-07|Freefall
154.19131469726562,257.8330078125,467.9801330566406|-0.9807214736938477,-6.69197746105965e-08,0.19541093707084656|-3.5824282207386204e-08,1,1.626630137252505e-07|Freefall
153.63558959960938,258.20794677734375,468.0908508300781|-0.9807214140892029,-4.742662085277516e-08,0.1954111009836197|-2.5708384754352664e-08,1,1.13677558033487e-07|Freefall
152.94093322753906,258.6000061035156,468.229248046875|-0.9807214140892029,-2.3083606137674906e-08,0.1954111009836197|-1.3075701410514284e-08,1,5.250461398986772e-08|Freefall
152.52413940429688,258.7943420410156,468.3122863769531|-0.9807214736938477,-8.490284031381634e-09,0.1954108327627182|-5.50257928111364e-09,1,1.5832213762223546e-08|Freefall
151.96841430664062,259.00579833984375,468.4230041503906|-0.9807214140892029,1.0952947882003627e-08,0.19541116058826447|4.587396240651742e-09,1,-3.3027745871549996e-08|Freefall
151.41268920898438,259.1627502441406,468.5337219238281|-0.9807214140892029,3.037956730622682e-08,0.19541111588478088|1.4668750658586305e-08,1,-8.184594690874292e-08|Freefall
150.85696411132812,259.26519775390625,468.6444396972656|-0.9807214140892029,4.9789584011250554e-08,0.1954110860824585|2.4741494186741875e-08,1,-1.30622424876492e-07|Freefall
150.30123901367188,259.3131408691406,468.7551574707031|-0.9807214140892029,4.889592730705772e-08,0.1954110711812973|2.4563247436049096e-08,1,-1.269437888140601e-07|Freefall
149.74551391601562,259.3066101074219,468.8658752441406|-0.9807214140892029,4.124355257317802e-08,0.19541113078594208|2.0972466430180248e-08,1,-1.0580463793985473e-07|Freefall
149.18978881835938,259.24554443359375,468.9765930175781|-0.9807214140892029,3.3597718385181e-08,0.1954111009836197|1.7384769179784598e-08,1,-8.468354195656502e-08|Freefall
148.63406372070312,259.1300048828125,469.0873107910156|-0.9807214140892029,2.5958419413996126e-08,0.1954110860824585|1.3800129927687976e-08,1,-6.358050796961834e-08|Freefall
148.07833862304688,258.9599609375,469.1980285644531|-0.9807214140892029,1.832564855419605e-08,0.1954110711812973|1.021855311478248e-08,1,-4.24955146627326e-08|Freefall
147.52261352539062,258.73541259765625,469.3087463378906|-0.9807214140892029,1.0699396035818154e-08,0.19541113078594208|6.640030303373123e-09,1,-2.1428542495982583e-08|Freefall
146.9667510986328,258.45635986328125,469.41949462890625|-0.9800965189933777,2.961662692868572e-09,0.19852155447006226|2.732129855687049e-09,1,-1.4301299033903092e-09|Freefall
146.410888671875,258.122802734375,469.531982421875|-0.9781226515769958,-5.620066190203943e-09,0.2080291509628296|-4.8569899213646295e-09,1,4.17890655413089e-09|Freefall
145.85585021972656,257.7347717285156,469.6497802734375|-0.9752511382102966,-1.6406845659844294e-08,0.22109989821910858|-2.601779414135308e-08,1,-4.055650038026215e-08|Freefall
145.30235290527344,257.2922058105469,469.77508544921875|-0.9721037149429321,-1.8933134171561505e-08,0.2345515340566635|-4.3320113718436914e-08,1,-9.88205286489574e-08|Freefall
144.75086975097656,256.795166015625,469.90802001953125|-0.9699054956436157,-1.3249179531271693e-08,0.24348174035549164|-4.5067444887081365e-08,1,-1.2510993485648214e-07|Freefall
144.20095825195312,256.24365234375,470.0461120605469|-0.9688829779624939,-6.640844762983988e-09,0.2475191354751587|-4.416778054405768e-08,1,-1.4605969056447066e-07|Freefall
143.6517333984375,255.6376190185547,470.1865234375|-0.9679586887359619,-1.0424020535637624e-09,0.2511094808578491|-3.7725094159668515e-08,1,-1.412687851143346e-07|Freefall
143.10281372070312,254.97706604003906,470.3289489746094|-0.9658476710319519,2.8417219688492423e-09,0.25911059975624084|-2.7931294610539226e-08,1,-1.1508251418490545e-07|Freefall
142.55490112304688,254.2620086669922,470.4757385253906|-0.9631730914115906,4.985437396243242e-09,0.2688820958137512|-2.8685434472208726e-08,1,-1.212965656804954e-07|Freefall
142.00918579101562,253.49246215820312,470.6279296875|-0.9605435729026794,3.3626925688423626e-09,0.27812954783439636|-2.0979101122975408e-08,1,-8.454345845620992e-08|Landed
141.46478271484375,252.6684112548828,470.7850341796875|-0.9589678049087524,1.5184565826942276e-09,0.28351500630378723|-1.3028182088703488e-08,1,-4.942265263707668e-08|Landed
140.9212646484375,251.9159698486328,470.9452819824219|-0.9564422965049744,-6.36298291833981e-10,0.2919214963912964|-5.0465409628941416e-09,1,-1.43546348141399e-08|Running
140.3790740966797,251.8729248046875,471.1099853515625|-0.9533288478851318,-3.1647944265245087e-09,0.3019339442253113|3.211139798509066e-09,1,2.062062520735708e-08|Running
139.8385772705078,251.92022705078125,471.2802429199219|-0.9506556987762451,-6.0036597915313905e-09,0.31024783849716187|1.1791832399410396e-08,1,5.5483489802554686e-08|Running
139.2996368408203,251.9571533203125,471.455322265625|-0.9479096531867981,-9.15220521591209e-09,0.31853926181793213|2.0669537192929965e-08,1,9.024023484016652e-08|Running
138.76226806640625,251.97903442382812,471.6351318359375|-0.9462275505065918,-1.0721840304483976e-08,0.3235017657279968|2.5321160279645483e-08,1,1.0720627585669718e-07|Running
138.22593688964844,251.9912109375,471.8179931640625|-0.9456609487533569,-6.93826640585371e-09,0.32515445351600647|1.7067398161429992e-08,1,7.097623466734149e-08|Running
137.69000244140625,251.99790954589844,472.0020751953125|-0.9456609487533569,-3.1579263648495726e-09,0.32515445351600647|8.633586290329731e-09,1,3.4821518113403727e-08|Running
137.15411376953125,252.00157165527344,472.186279296875|-0.9456609487533569,6.191802071064956e-10,0.32515445351600647|2.0698080749337322e-10,1,-1.3022934952644505e-09|Running
136.61822509765625,252.00355529785156,472.3704833984375|-0.9456609487533569,4.393056141083207e-09,0.32515445351600647|-8.212424518205808e-09,1,-3.739522824730557e-08|Running
136.08233642578125,252.004638671875,472.5546875|-0.9456609487533569,8.163703490993157e-09,0.32515445351600647|-1.662463589013896e-08,1,-7.345731489749596e-08|Running
135.54644775390625,252.00521850585938,472.7388916015625|-0.9456609487533569,1.1931128085507225e-08,0.32515445351600647|-2.5029658345943062e-08,1,-1.0948858175652276e-07|Running
135.01055908203125,252.0055389404297,472.923095703125|-0.9456609487533569,8.328585821004708e-09,0.32515445351600647|-1.776435176736868e-08,1,-7.727908979404674e-08|Running
134.47467041015625,252.00572204589844,473.1072998046875|-0.9456609487533569,4.72912553561855e-09,0.32515445351600647|-1.0505250003234323e-08,1,-4.5097124257154064e-08|Running
133.93878173828125,252.0058135986328,473.29150390625|-0.9456610679626465,1.1327621063372817e-09,0.32515397667884827|-3.2523292947672644e-09,1,-1.2942678040417377e-08|Running
133.40289306640625,252.00587463378906,473.4757080078125|-0.9450918436050415,-2.5176911666591195e-09,0.32680490612983704|3.971770912158945e-09,1,1.9189979383327227e-08|Running
132.86729431152344,252.00587463378906,473.6607666015625|-0.9450916051864624,-6.16505158035352e-09,0.3268054723739624|1.1212285322415028e-08,1,5.128949709387598e-08|Running
132.33175659179688,252.00587463378906,473.845947265625|-0.9450917840003967,-9.809284051698342e-09,0.3268050253391266|1.8446570493324543e-08,1,8.336159140753807e-08|Running
131.79623413085938,252.00587463378906,474.0311279296875|-0.9450915455818176,-1.3450428326677866e-08,0.3268057107925415|2.5674756543025978e-08,1,1.1540625877159982e-07|Running
131.26071166992188,252.00587463378906,474.21630859375|-0.9450916647911072,-9.035979964266971e-09,0.32680538296699524|1.7410108910098643e-08,1,7.799788193096902e-08|Running
