Mt Newbie|true|53710
6207.6640625,832.650634765625,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|9.17755915708085e-09,1,6.653453343830051e-09|Running
6207.6640625,832.6510620117188,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|7.36088967556725e-09,1,5.336422859159029e-09|Running
6207.6640625,832.6513061523438,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|5.545869097289824e-09,1,4.020587862640923e-09|Running
6207.6640625,832.6514282226562,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|3.73249964269462e-09,1,2.705949686543363e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.9206805035310026e-09,1,1.392435389213631e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.1040746095147824e-10,1,8.004207713296907e-11|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.6983167094863916e-09,1,-1.2312283415027991e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-3.505493229027934e-09,1,-2.5413768867110775e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-5.311128425944389e-09,1,-3.850407548355861e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-7.115218636499776e-09,1,-5.158318661102612e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-8.917768745675403e-09,1,-6.4651133335758004e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.0718775200757591e-08,1,-7.770788457150957e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.25182406662816e-08,1,-9.07534669636334e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.4316173135853205e-08,1,-1.0378792936194259e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.611256550404505e-08,1,-1.1681124512108454e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.7907419547213976e-08,1,-1.2982339647749086e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.970074237078734e-08,1,-1.4282442784008254e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.149253042205146e-08,1,-1.5581434809064376e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.3282790806433695e-08,1,-1.6879321051987972e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.507151464214985e-08,1,-1.8176091742816425e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.685871791641148e-08,1,-1.947176109240445e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.8644395300148062e-08,1,-2.0766321995324688e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.5763445659899844e-08,1,-1.1428022084203349e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.8935089879666975e-09,1,-2.0977066750305084e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|9.965422265167945e-09,1,7.2246302273981655e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|2.281335476084223e-08,1,1.6538994174197796e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.9211833901522368e-08,1,1.3927999198415364e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.5613387915891508e-08,1,1.1319234438644799e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.2018022133020168e-08,1,8.712703447599779e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|8.425731223837829e-09,1,6.108400896209787e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|4.836515632433702e-09,1,3.506327894697847e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.2503684754250344e-09,1,9.064793915491975e-10|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.3327104692327794e-09,1,-1.6911447797696155e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-5.912723644030393e-09,1,-4.286546229081978e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-9.489673935547671e-09,1,-6.879727454389695e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.3063561787873823e-08,1,-9.470688233648161e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.6634396970971466e-08,1,-1.2059436116373945e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-2.02021794848406e-08,1,-1.4645970658477836e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.768053614625842e-08,1,-1.281785522166956e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-9.077283813496706e-09,1,-6.580757272445226e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-4.813910381429309e-10,1,-3.4899397260979015e-10|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|8.10715317101085e-09,1,5.8774412003970156e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.668834848089773e-08,1,1.2098549717620699e-08|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.3577579061063716e-08,1,9.843335035952805e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.0469471511953543e-08,1,7.590051254169339e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|7.364021836764323e-09,1,5.338693487288992e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|4.2612291473176356e-09,1,3.0892624014455805e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|1.1610905570336172e-09,1,8.417556096596002e-10|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-1.9367247805490706e-09,1,-1.4040670848203263e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5869515538215637,0,0.809622049331665|-5.031888239415139e-09,1,-3.6479670395550556e-09|Running
6207.6640625,832.6515502929688,1208.4049072265625|-0.5826116800308228,0,0.8127506375312805|-8.068647083803171e-09,1,-5.7839244504975795e-09|Running
6207.72412109375,832.6515502929688,1208.447998046875|-0.5771431922912598,0,0.8166429996490479|-1.104688962527689e-08,1,-7.807128277192987e-09|Running
6207.880859375,832.6515502929688,1208.5595703125|-0.5654714107513428,0,0.8247678875923157|-1.3867183845661657e-08,1,-9.507518328177866e-09|Running
6208.13525390625,832.6515502929688,1208.737548828125|-0.5468448400497437,0,0.8372340798377991|-1.6501864763540652e-08,1,-1.0778299142089054e-08|Running
6208.49169921875,832.6515502929688,1208.976318359375|-0.5185830593109131,0,0.8550272583961487|-1.6312448281041725e-08,1,-9.89367165971089e-09|Running
6208.9150390625,832.6515502929688,1209.2357177734375|-0.4809204041957855,0,0.8767642378807068|-1.0706687092465472e-08,1.0000001192092896,-5.872803576778551e-09|Running
6209.3515625,832.6515502929688,1209.4788818359375|-0.4233264625072479,0,0.9059772491455078|-7.798601764363866e-09,1,-3.643970680755615e-09|Running
6209.802734375,832.6515502929688,1209.69482421875|-0.36037755012512207,0,0.9328065514564514|-7.916584721101572e-09,1,-3.0584683674561575e-09|Running
6210.26708984375,832.6515502929688,1209.8797607421875|-0.277815043926239,0,0.9606345891952515|-1.2292275641812012e-08,1,-3.554919913995036e-09|Running
6210.74560546875,832.6515502929688,1210.02490234375|-0.19482484459877014,0,0.9808381199836731|-1.3011169031074132e-08,1.0000001192092896,-2.5844213435988195e-09|Running
6211.234375,832.6515502929688,1210.1285400390625|-0.11524035036563873,0,0.9933376312255859|-9.383178678490367e-09,1,-1.0885733425780586e-09|Running
6211.72998046875,832.6515502929688,1210.192138671875|-0.06298623234033585,0,0.9980143904685974|-4.57114213148202e-09,1,-2.8849184152690555e-10|Running
6212.22802734375,832.6515502929688,1210.2276611328125|-0.014160465449094772,0,0.9998997449874878|1.2388862158374536e-09,1,1.754496548045381e-11|Running
6212.72802734375,832.6515502929688,1210.238525390625|0.008300495333969593,0,0.9999655485153198|7.48931761052063e-09,1,-6.216718806406618e-11|Running
6213.22607421875,832.5338134765625,1210.236083984375|0.015625,0,0.9998779296875|1.3863573400385576e-08,1,-2.1664478544458632e-10|Running
6213.72265625,832.3320922851562,1210.2288818359375|0.015625,0,0.9998779296875|2.023594447564392e-08,1,-3.1622524043761757e-10|Running
6214.216796875,832.0748291015625,1210.2210693359375|0.015625,0,0.9998779296875|2.660263476172986e-08,1,-4.1571690534425443e-10|Running
6214.6748046875,831.7630615234375,1210.305419921875|0.015625,0,0.9998779296875|3.2964127427703716e-08,1,-5.151273851922156e-10|Running
6215.07421875,831.3968505859375,1210.53662109375|0.01708943396806717,0,0.9998539686203003|3.932801462269708e-08,1,-6.721916911978099e-10|Running
6215.431640625,831.1793823242188,1210.8702392578125|0.01708943396806717,0,0.9998539686203003|4.5706343598794774e-08,1,-7.812095970116673e-10|Running
6215.78515625,831.1475219726562,1211.2119140625|0.01708943396806717,0,0.9998539686203003|4.52799362449241e-08,1,-7.739214824553642e-10|Running
6216.14208984375,831.0921020507812,1211.5565185546875|0.01708943396806717,0,0.9998539686203003|2.4464743120233834e-08,1,-4.181496815469643e-10|Running
6216.50146484375,831.0995483398438,1211.9033203125|0.01708943396806717,0,0.9998539686203003|3.667326886613864e-09,1,-6.26816931692531e-11|Running
6216.86083984375,831.133056640625,1212.25|0.01708943396806717,0,0.9998539686203003|-1.7112416372810912e-08,1,2.924842312790332e-10|Running
6217.22021484375,831.1614379882812,1212.5966796875|0.013672266155481339,0,0.9999065399169922|-3.7718042023016096e-08,1,5.157392846122377e-10|Running
6217.57763671875,831.188232421875,1212.9447021484375|0.008300495333969593,0,0.9999655485153198|-3.608801435461828e-08,1,2.995587111698228e-10|Running
6217.93359375,831.2144775390625,1213.29443359375|0.0048827542923390865,0,0.9999880790710449|-2.721913716641211e-08,1,1.3290595013426554e-10|Running
6218.287109375,831.2611694335938,1213.64453125|0.0048827542923390865,0,0.9999880790710449|-1.8351544284200827e-08,1,8.960714809047587e-11|Running
6218.6357421875,831.2868041992188,1213.9901123046875|0.0048827542923390865,0,0.9999880790710449|-9.491523123017487e-09,1,4.6345326881747084e-11|Running
6218.97705078125,831.3411254882812,1214.32763671875|0.0048827542923390865,0,0.9999880790710449|-6.390688533919331e-10,1,3.1204533314926897e-12|Running
6219.31689453125,831.4337158203125,1214.6640625|0.0048827542923390865,0,0.9999880790710449|8.205825352547436e-09,1,-4.006750486951205e-11|Running
6219.66015625,831.5486450195312,1215.00439453125|0.0048827542923390865,0,0.9999880790710449|1.7043166877783733e-08,1,-8.321858480098143e-11|Running
6219.9150390625,831.638671875,1215.3868408203125|0.0048827542923390865,0,0.9999880790710449|2.587295888645258e-08,1,-1.2633280532803326e-10|Running
6220.02685546875,831.6971435546875,1215.8360595703125|0.0048827542923390865,0,0.9999880790710449|3.469521203669501e-08,1,-1.6941020808403096e-10|Running
6220.03759765625,831.7352905273438,1216.3321533203125|0.0048827542923390865,0,0.9999880790710449|4.350992810486787e-08,1,-2.1245082082455014e-10|Running
6220.03955078125,831.7579956054688,1216.8321533203125|0.0048827542923390865,0,0.9999880790710449|5.2317115972755346e-08,1,-2.554546851829542e-10|Running
6220.04150390625,831.7667846679688,1217.3321533203125|0.013672266155481339,0,0.9999065399169922|6.126916929360959e-08,1,-8.377666893544244e-10|Running
6220.04736328125,831.7435913085938,1217.8311767578125|0.034668292850255966,0,0.999398946762085|3.690303174153087e-08,1.0000001192092896,-1.280134553915957e-09|Running
6220.0634765625,831.702392578125,1218.3292236328125|0.052244897931814194,0,0.998634397983551|1.1814993428060916e-08,1.0000001192092896,-6.181172240715682e-10|Running
6220.08837890625,831.659912109375,1218.8267822265625|0.06787201017141342,0,0.9976940751075745|-1.3897292205911072e-08,1.0000001192092896,9.454171889800023e-10|Running
6220.12109375,831.6179809570312,1219.3238525390625|0.07812463492155075,0,0.9969435930252075|-3.998114195269409e-08,1,3.1330880112534487e-09|Running
6220.15966796875,831.5810546875,1219.8209228515625|0.08496486395597458,0,0.9963839650154114|-5.6301935558167315e-08,1,4.801047115421397e-09|Running
6220.19873046875,832.456787109375,1220.3179931640625|0.0869140625,0,0.9962158203125|-4.2614836104348797e-08,1,3.717897767430145e-09|Running
6220.2412109375,833.2813720703125,1220.81591796875|0.0869140625,0,0.9962158203125|-2.893083994592871e-08,1,2.524048303698123e-09|Running
6220.2841796875,834.0514526367188,1221.31396484375|0.0869140625,0,0.9962158203125|-1.5258530439155038e-08,1,1.331218468791917e-09|Running
6220.3271484375,834.7670288085938,1221.81201171875|0.0869140625,0,0.9962158203125|-1.597893373173065e-09,1,1.39406944321685e-10|Running
6220.3701171875,835.4281005859375,1222.31005859375|0.0869140625,0,0.9962158203125|1.2051080133801406e-08,1,-1.0513869774797513e-09|Running
6220.4130859375,836.03466796875,1222.80810546875|0.0869140625,0,0.9962158203125|2.568840073990941e-08,1,-2.241164143157448e-09|Running
6220.4560546875,836.5867309570312,1223.30615234375|0.08544961363077164,0,0.9963425397872925|3.9300459775404306e-08,1.0000001192092896,-3.370536738600549e-09|Running
6220.4990234375,837.0842895507812,1223.80419921875|0.08203515410423279,0,0.9966294169425964|5.2862276334053604e-08,1,-4.351231375210318e-09|Running
6220.5400390625,837.5274047851562,1224.3026123046875|0.08007512986660004,0,0.9967888593673706|6.639947258690881e-08,1,-5.334074515417342e-09|Running
6220.5810546875,837.916015625,1224.8011474609375|0.0786099061369896,0,0.9969054460525513|7.995252104819883e-08,1,-6.3045701992336944e-09|Running
6220.62060546875,838.2500610351562,1225.2996826171875|0.07812463492155075,0,0.9969435930252075|9.340448769989962e-08,1,-7.3195627336986036e-09|Running
6220.65966796875,838.5296020507812,1225.7982177734375|0.07665915787220001,0,0.9970573782920837|7.749311237148504e-08,1,-5.958088689084207e-09|Running
6220.69873046875,838.7546997070312,1226.2967529296875|0.07519354671239853,0,0.9971689581871033|5.186459972605917e-08,1,-3.910955559405238e-09|Freefall
6220.73583984375,838.92529296875,1226.7952880859375|0.0747080072760582,0,0.9972054362297058|2.6203750280728855e-08,1.0000001192092896,-1.963115892067435e-09|Freefall
6220.77294921875,839.0413818359375,1227.2938232421875|0.0732421725988388,0,0.9973142147064209|6.557976939269849e-10,1,-4.816139848040635e-11|Freefall
6220.81005859375,839.1029663085938,1227.7923583984375|0.0732421725988388,0,0.9973142147064209|-2.4880639770685775e-08,1,1.8272195978497052e-09|Freefall
6220.84716796875,839.1100463867188,1228.2908935546875|0.0732421725988388,0,0.9973142147064209|-5.039725081701363e-08,1,3.7011447240331563e-09|Freefall
6220.88427734375,839.0626220703125,1228.7894287109375|0.0732421725988388,0,0.9973142147064209|-7.589009953790082e-08,1,5.573324468599594e-09|Freefall
6220.92138671875,838.960693359375,1229.2879638671875|0.0732421725988388,0,0.9973142147064209|-7.198305240763148e-08,1,5.2863931010449505e-09|Freefall
6220.95849609375,838.8042602539062,1229.7864990234375|0.0732421725988388,0,0.9973142147064209|-5.8290890336820667e-08,1,4.2808485645196015e-09|Freefall
6220.99560546875,838.5933227539062,1230.2850341796875|0.07129043340682983,0,0.9974556565284729|-4.46365788775438e-08,1.0000001192092896,3.1902782637871496e-09|Freefall
6221.03076171875,838.3279418945312,1230.7835693359375|0.07129043340682983,0,0.9974556565284729|-3.101185797049766e-08,1.0000001192092896,2.2164881041675244e-09|Freefall
6221.06591796875,838.0079956054688,1231.2821044921875|0.06982427090406418,0,0.9975593090057373|-1.743442901158687e-08,1,1.220324730155653e-09|Freefall
6221.10107421875,837.633544921875,1231.781005859375|0.06982427090406418,0,0.9975593090057373|-3.848588558952315e-09,1,2.6938234976014996e-10|Freefall
6221.13623046875,837.20458984375,1232.280029296875|0.0693383440375328,0,0.9975932240486145|9.722259441957704e-09,1,-6.757517878597241e-10|Freefall
6221.17138671875,836.72119140625,1232.779052734375|0.0693383440375328,0,0.9975932240486145|2.327993620099278e-08,1,-1.618086553634157e-09|Freefall
6221.20654296875,836.1832885742188,1233.278076171875|0.0693383440375328,0,0.9975932240486145|3.6825916538418824e-08,1,-2.559608525132262e-09|Freefall
6221.24169921875,835.5908813476562,1233.777099609375|0.0693383440375328,0,0.9975932240486145|5.0359204806227353e-08,1,-3.500248091370395e-09|Freefall
6221.27685546875,834.9439086914062,1234.276123046875|0.0693383440375328,0,0.9975932240486145|6.388219020436736e-08,1,-4.440171785802249e-09|Freefall
6221.31201171875,834.2424926757812,1234.775146484375|0.0693383440375328,0,0.9975932240486145|7.739360086134184e-08,1,-5.3792907905858556e-09|Freefall
6221.34716796875,833.486572265625,1235.274169921875|0.06787201017141342,0,0.9976940751075745|4.778080153755582e-08,1.0000001192092896,-3.2504743341377207e-09|Landed
6221.380859375,832.6761474609375,1235.773193359375|0.06787201017141342,0,0.9976940751075745|1.815211092548452e-08,1.0000001192092896,-1.2348677635998229e-09|Landed
6221.4140625,832.0936279296875,1236.272216796875|0.06787201017141342,0,0.9976940751075745|-1.1451453119093458e-08,1.0000001192092896,7.790295075693621e-10|Running
6221.447265625,832.9693603515625,1236.771240234375|0.06787201017141342,0,0.9976940751075745|-4.102985684539817e-08,1.0000001192092896,2.79121503687918e-09|Running
6221.48046875,833.7939453125,1237.270263671875|0.06787201017141342,0,0.9976940751075745|-7.058328321818408e-08,1.0000001192092896,4.801701702916716e-09|Running
6221.513671875,834.5640258789062,1237.769287109375|0.06787201017141342,0,0.9976940751075745|-7.058307716079071e-08,1.0000001192092896,4.801687492062001e-09|Running
6221.546875,835.2796020507812,1238.268310546875|0.06787201017141342,0,0.9976940751075745|-6.074436242897718e-08,1.0000001192092896,4.132370889919912e-09|Running
6221.580078125,835.940673828125,1238.767333984375|0.06787201017141342,0,0.9976940751075745|-5.0914042759586664e-08,1.0000001192092896,3.4636253865016897e-09|Running
6221.61328125,836.5472412109375,1239.266357421875|0.06640558689832687,0,0.9977927207946777|-4.1137329986895566e-08,1,2.7377915490234273e-09|Running
6221.646484375,837.0993041992188,1239.765380859375|0.0659194365143776,0,0.9978249669075012|-3.1326646166007777e-08,1,2.0695363200928796e-09|Running
6221.6796875,837.5968627929688,1240.264404296875|0.0659194365143776,0,0.9978249669075012|-2.154699174639063e-08,1,1.4234615708375031e-09|Running
6221.712890625,838.0399780273438,1240.763427734375|0.0659194365143776,0,0.9978249669075012|-1.1772574914914458e-08,1,7.777331001435073e-10|Running
6221.74609375,838.4285888671875,1241.262451171875|0.0659194365143776,0,0.9978249669075012|-2.006293797762737e-09,1,1.3254203290458122e-10|Running
6221.779296875,838.7626342773438,1241.761474609375|0.06445286422967911,0,0.9979207515716553|7.731196127735984e-09,1,-4.993360169791572e-10|Running
6221.8115234375,839.0421752929688,1242.260498046875|0.06445286422967911,0,0.9979207515716553|1.7467675306193087e-08,1,-1.1281875433866162e-09|Running
6221.8427734375,839.2672729492188,1242.759521484375|0.06445286422967911,0,0.9979207515716553|2.7195847351890734e-08,1,-1.7565023879839714e-09|Running
6221.8740234375,839.4378662109375,1243.258544921875|0.06249988079071045,0,0.9980449676513672|3.688154492920148e-08,1,-2.3096073942241446e-09|Freefall
6221.9052734375,839.553955078125,1243.757568359375|0.06249988079071045,0,0.9980449676513672|4.657933416751803e-08,1,-2.9169053838984382e-09|Freefall
6221.9365234375,839.6155395507812,1244.256591796875|0.06103312596678734,0,0.9981357455253601|5.6268586234864415e-08,1,-3.440661977549553e-09|Freefall
6221.9677734375,839.6226196289062,1244.755615234375|0.06103312596678734,0,0.9981357455253601|6.594057566644551e-08,1,-4.032076006410534e-09|Freefall
6221.9990234375,839.5751953125,1245.254638671875|0.06103312596678734,0,0.9981357455253601|7.559629011666402e-08,1,-4.622495275441452e-09|Freefall
6222.0302734375,839.4732666015625,1245.753662109375|0.05907979980111122,0,0.9982532858848572|8.519695171571584e-08,1,-5.042226192131238e-09|Freefall
6222.0595703125,839.3168334960938,1246.252685546875|0.057619936764240265,0,0.9983386397361755|9.485943763820615e-08,1.0000001192092896,-5.474890762968698e-09|Freefall
6222.0888671875,839.1058959960938,1246.751708984375|0.057619936764240265,0,0.9983386397361755|7.615689412432403e-08,1.0000001192092896,-4.395457775530076e-09|Freefall
6222.1181640625,838.8405151367188,1247.250732421875|0.05566609278321266,0,0.9984495043754578|4.8075179392981227e-08,1.0000001192092896,-2.6803133046371386e-09|Freefall
6222.1455078125,838.5205688476562,1247.749755859375|0.05419894680380821,0,0.9985301494598389|2.0138402945235612e-08,1,-1.0930868432623697e-09|Freefall
6222.1728515625,838.1461181640625,1248.2491455078125|0.050783921033144,0,0.9987097382545471|-7.63071383858005e-09,1.0000001192092896,3.8801822865863755e-10|Freefall
6222.1982421875,837.7171630859375,1248.7486572265625|0.04882948845624924,0,0.9988071322441101|-3.527534886416106e-08,1,1.7245342931460073e-09|Freefall
6222.22265625,837.2337646484375,1249.2481689453125|0.04687497019767761,0,0.9989007711410522|-6.279827147182004e-08,1,2.946906496603674e-09|Freefall
6222.24609375,836.6958618164062,1249.7476806640625|0.04394577443599701,0,0.9990339279174805|-7.124387479962024e-08,1,3.1338949213477463e-09|Freefall
6222.267578125,836.1034545898438,1250.2471923828125|0.04199103266000748,0,0.9991179704666138|-6.064102109348823e-08,1.0000001192092896,2.5486268651064847e-09|Freefall
6222.2890625,835.4564819335938,1250.7467041015625|0.03857376426458359,0,0.9992557764053345|-5.010013737205554e-08,1,1.933990301239419e-09|Freefall
6222.30859375,834.7550659179688,1251.2462158203125|0.03662335127592087,0,0.999329149723053|-3.954468752453977e-08,1,1.4492311795066826e-09|Freefall
6222.326171875,833.9991455078125,1251.7457275390625|0.034668292850255966,0,0.999398946762085|-2.9005276402926938e-08,1.0000001192092896,1.006168148798281e-09|Freefall
6222.34375,833.188720703125,1252.2452392578125|0.033201031386852264,0,0.9994487166404724|-1.851126363305866e-08,1,6.149320497250699e-10|Landed
6222.35986328125,832.3237915039062,1252.7447509765625|0.032713308930397034,0,0.999464750289917|-7.991033612597676e-09,1.0000001192092896,2.615531402572202e-10|Landed
6222.37548828125,832.1369018554688,1253.2442626953125|0.0312499962747097,0,0.9995115995407104|2.477118288268798e-09,1,-7.744776348017623e-11|Running
6222.39111328125,833.0023803710938,1253.7437744140625|0.0312499962747097,0,0.9995115995407104|1.2941793414711356e-08,1,-4.046286083969619e-10|Running
6222.40673828125,833.8133544921875,1254.243408203125|0.0312499962747097,0,0.9995115995407104|2.3397536352831594e-08,1,-7.315301697730092e-10|Running
6222.42236328125,834.56982421875,1254.743408203125|0.0312499962747097,0,0.9995115995407104|3.38443193470539e-08,1,-1.0581516773910948e-09|Running
6222.43798828125,835.271728515625,1255.243408203125|0.0312499962747097,0,0.9995115995407104|4.4282142397378266e-08,1,-1.3844930757400675e-09|Running
6222.45361328125,835.919189453125,1255.743408203125|0.0312499962747097,0,0.9995115995407104|5.471103037280045e-08,1,-1.7105549199314396e-09|Running
6222.46923828125,836.5121459960938,1256.243408203125|0.0312499962747097,0,0.9995115995407104|6.513099037874781e-08,1,-2.0363377650767234e-09|Running
6222.48486328125,837.0505981445312,1256.743408203125|0.0297864843159914,0,0.999556303024292|7.5552655687261e-08,1,-2.2514470288115263e-09|Running
6222.50048828125,837.5345458984375,1257.243408203125|0.027831444516777992,0,0.9996126890182495|8.590987476964074e-08,1.0000001192092896,-2.3919224378943227e-09|Running
6222.51416015625,837.9639892578125,1257.743408203125|0.024412747472524643,0,0.999701976776123|9.627034813775026e-08,1,-2.35092434408557e-09|Running
6222.5263671875,838.3389892578125,1258.243408203125|0.024412747472524643,0,0.999701976776123|7.76756365894471e-08,1,-1.8968409065678316e-09|Running
6222.5380859375,838.659423828125,1258.743408203125|0.024412747472524643,0,0.999701976776123|4.9401908341906164e-08,1,-1.2063957610664033e-09|Running
6222.5498046875,838.9253540039062,1259.243408203125|0.024412747472524643,0,0.999701976776123|2.113779373758007e-08,1,-5.161854277346833e-10|Running
6222.5615234375,839.1367797851562,1259.743408203125|0.024412747472524643,0,0.999701976776123|-7.103256205454045e-09,1,1.734616894566443e-10|Running
6222.5732421875,839.2937622070312,1260.243408203125|0.024412747472524643,0,0.999701976776123|-3.53202551650611e-08,1,8.625215541790965e-10|Freefall
6222.5849609375,839.396240234375,1260.743408203125|0.024412747472524643,0,0.999701976776123|-6.3513162729123e-08,1,1.5509931117207998e-09|Freefall
6222.5966796875,839.4442138671875,1261.243408203125|0.024412747472524643,0,0.999701976776123|-8.140062845995999e-08,1,1.9878052537336544e-09|Freefall
6222.6083984375,839.4376220703125,1261.743408203125|0.024412747472524643,0,0.999701976776123|-6.844203426226159e-08,1,1.6713562756009992e-09|Freefall
6222.6201171875,839.3765869140625,1262.243408203125|0.024412747472524643,0,0.999701976776123|-5.549442860797171e-08,1,1.355175416328791e-09|Freefall
6222.6318359375,839.2610473632812,1262.743408203125|0.024412747472524643,0,0.999701976776123|-4.255795005292384e-08,1,1.0392662286307086e-09|Freefall
6222.6435546875,839.0910034179688,1263.243408203125|0.024412747472524643,0,0.999701976776123|-2.9632461817641342e-08,1,7.236254928599806e-10|Freefall
6222.6552734375,838.866455078125,1263.743408203125|0.024412747472524643,0,0.999701976776123|-1.6718038509111466e-08,1,4.0825492986229506e-10|Freefall
6222.6669921875,838.58740234375,1264.243408203125|0.024412747472524643,0,0.999701976776123|-3.8146357184132285e-09,1,9.31535057424604e-11|Freefall
6222.6787109375,838.2538452148438,1264.743408203125|0.024412747472524643,0,0.999701976776123|9.07774477809653e-09,1,-2.216787586828417e-10|Freefall
6222.6904296875,837.8657836914062,1265.243408203125|0.024412747472524643,0,0.999701976776123|2.1959115414915686e-08,1,-5.362421617860491e-10|Freefall
6222.7021484375,837.4232177734375,1265.743408203125|0.024412747472524643,0,0.999701976776123|3.482947974475792e-08,1,-8.505368076505704e-10|Freefall
6222.7138671875,836.9261474609375,1266.243408203125|0.024412747472524643,0,0.999701976776123|4.768885730754846e-08,1,-1.1645631126100398e-09|Freefall
6222.7255859375,836.3746337890625,1266.743408203125|0.024412747472524643,0,0.999701976776123|6.05372747486399e-08,1,-1.4783217983094232e-09|Freefall
6222.7373046875,835.7686157226562,1267.243408203125|0.024412747472524643,0,0.999701976776123|7.337473562074592e-08,1,-1.7918128092375696e-09|Freefall
6222.7490234375,835.1080322265625,1267.743408203125|0.024412747472524643,0,0.999701976776123|8.620118308044766e-08,1,-2.105035035171454e-09|Freefall
