Mt Freestyle|true|13238
388.7878723144531,152.00587463378906,-910.817626953125|0.9787943363189697,-1.0187855004062385e-08,0.2048453390598297|9.728433170153039e-09,1,3.2498626012511522e-09|Running
389.3233947753906,152.00587463378906,-910.646484375|0.9787943363189697,-4.727130331616536e-08,0.2048453390598297|4.528913066792484e-08,1,1.4364776035336035e-08|Running
389.89306640625,152.00587463378906,-910.525146484375|0.9787943363189697,-8.432304099414978e-08,0.2048453390598297|8.081941871296294e-08,1,2.5470193065757485e-08|Running
390.4639892578125,152.00587463378906,-910.4056396484375|0.9787943363189697,-1.0386507653947774e-07,0.2048453390598297|9.956399082966527e-08,1,3.130362458136915e-08|Running
391.034912109375,152.00587463378906,-910.2862548828125|0.9787943363189697,-7.097876419948079e-08,0.2048453390598297|6.804804542070997e-08,1,2.135134025138541e-08|Running
391.6053161621094,152.0113525390625,-910.1668701171875|0.9787943363189697,-3.8120585799106266e-08,0.2048453390598297|3.65590580031494e-08,1,1.1407559341591877e-08|Running
392.1739501953125,152.03439331054688,-910.0479125976562|0.9787943363189697,-5.290508031663421e-09,0.2048453390598297|5.0970045961662436e-09,1,1.4722759678065245e-09|Running
392.7378234863281,152.08506774902344,-909.929931640625|0.9787943363189697,2.7511488198683764e-08,0.2048453390598297|-2.633813878105684e-08,1,-8.45451619824189e-09|Running
393.4422912597656,152.1763916015625,-909.7825317382812|0.9787943363189697,6.847453448699525e-08,0.2048453390598297|-6.559425713703604e-08,1,-2.0851077309202992e-08|Running
393.9875183105469,152.2926483154297,-909.6683959960938|0.9818933606147766,1.0115800819221477e-07,0.1894344687461853|-9.728860561608599e-08,1,-2.972514856480757e-08|Running
394.3795471191406,152.41952514648438,-909.591552734375|0.986803412437439,1.0790279958428073e-07,0.16192278265953064|-1.0450410314888359e-07,1,-2.9506606935569835e-08|Running
394.9928894042969,152.7052459716797,-909.4885864257812|0.9894812107086182,6.038361277660442e-08,0.14466150104999542|-5.876097830537219e-08,1,-1.548945860463391e-08|Running
395.3349609375,152.9303741455078,-909.4373168945312|0.9925108551979065,3.197688513978392e-08,0.12215622514486313|-3.1375694931057296e-08,1,-6.845077837880353e-09|Running
395.81573486328125,153.26304626464844,-909.3765258789062|0.9948530197143555,-5.7541873488276e-09,0.10132874548435211|5.422564175461275e-09,1,3.54818441294924e-09|Running
396.3295593261719,153.58937072753906,-909.3226928710938|0.9963231086730957,-4.335504399932688e-08,0.08567563444375992|4.2380953857446e-08,1,1.318838105390796e-08|Running
396.8721618652344,153.8818359375,-909.2747802734375|0.9971662163734436,-8.085335423402285e-08,0.07523008435964584|7.93885703842534e-08,1,2.2461115634087037e-08|Running
397.4456481933594,154.1056365966797,-909.2306518554688|0.9974228143692017,-1.0115650894704231e-07,0.0717472955584526|9.945406276301583e-08,1,2.7300753657755195e-08|Running
398.1684875488281,154.2937774658203,-909.1782836914062|0.9974228143692017,-6.227509175005252e-08,0.0717472955584526|6.12506170227789e-08,1,1.6479056341722753e-08|Running
398.60235595703125,154.37669372558594,-909.1471557617188|0.9975466728210449,-3.8974658167489906e-08,0.07000444084405899|3.8376846589471825e-08,1,9.884543850091632e-09|Running
399.18096923828125,154.46746826171875,-909.1063842773438|0.9977851510047913,-7.953477876299075e-09,0.06651868671178818|7.89733878292509e-09,1,1.1069036798261322e-09|Running
399.75970458984375,154.5450897216797,-909.0675659179688|0.9981200098991394,2.3006247573675864e-08,0.06128956004977226|-2.258470743754515e-08,1,-7.570606364026844e-09|Running
400.33843994140625,155.41053771972656,-909.0289916992188|0.9985238909721375,5.389163959534926e-08,0.05431403964757919|-5.3098748509228244e-08,1,-1.6041356687424013e-08|Jumping
400.92034912109375,156.2214813232422,-908.996337890625|0.9988484382629395,8.426118824900186e-08,0.047977447509765625|-8.319086219898963e-08,1,-2.4305835566451606e-08|Freefall
401.5029602050781,156.97793579101562,-908.9680786132812|0.999082088470459,1.1305014879781083e-07,0.04283647611737251|-1.1176071978979962e-07,1,-3.249593660825667e-08|Freefall
402.0857238769531,157.6798858642578,-908.943115234375|0.9992332458496094,1.4062598552300187e-07,0.03915220499038696|-1.3913764007611462e-07,1,-4.0739049467219957e-08|Freefall
402.6686096191406,158.32733154296875,-908.9203491210938|0.9993086457252502,1.6763053167778708e-07,0.0371786467730999|-1.6591785367836565e-07,1,-4.915140294770026e-08|Freefall
403.397216796875,159.0600128173828,-908.893310546875|0.9993725419044495,1.1435246705104873e-07,0.0354197695851326|-1.1321919402007552e-07,1,-3.400123560481916e-08|Freefall
403.83447265625,159.458740234375,-908.8778076171875|0.9994906783103943,8.2268279300024e-08,0.031911950558423996|-8.1521555728159e-08,1,-2.4700646861219866e-08|Freefall
404.563232421875,160.05516052246094,-908.8543701171875|0.9995428919792175,2.845516711147411e-08,0.030233250930905342|-2.8172397747994182e-08,1,-9.77892877784825e-09|Freefall
405.14630126953125,160.4709930419922,-908.8367309570312|0.999597430229187,-1.4735028308621168e-08,0.028371471911668777|1.4682318472125644e-08,1,2.0661892197182397e-09|Freefall
405.5836486816406,160.74710083007812,-908.8242797851562|0.9996470808982849,-4.7189917751211397e-08,0.026565084233880043|4.6917818963265745e-08,1,1.0865991662001306e-08|Freefall
406.1667785644531,161.0675506591797,-908.8087158203125|0.9996905326843262,-9.054468819158501e-08,0.024876398965716362|9.00119871971583e-08,1,2.2533777510602704e-08|Freefall
406.7499084472656,161.33351135253906,-908.7942504882812|0.999732494354248,-1.339946322787e-07,0.023128921166062355|1.332416417199056e-07,1,3.4097002554744904e-08|Freefall
407.3330383300781,161.5449676513672,-908.78076171875|0.9998341202735901,-1.2646952995964966e-07,0.018213121220469475|1.2590832909609162e-07,1,3.195993514282236e-08|Freefall
407.9162902832031,161.70191955566406,-908.77001953125|0.9998921155929565,-1.0275816464400123e-07,0.014686910435557365|1.0239295278324789e-07,1,2.5618346555233984e-08|Freefall
408.4995422363281,161.8043670654297,-908.761474609375|0.9999682307243347,-8.023533837331343e-08,0.007973212748765945|8.008683494153956e-08,1,1.894414047853843e-08|Freefall
409.0828552246094,161.85231018066406,-908.7566528320312|0.9999998807907104,-6.025344845284053e-08,-0.00047996771172620356|6.025926069241905e-08,1,1.2093171797289415e-08|Freefall
409.6662292480469,161.84576416015625,-908.7567749023438|0.9999035000801086,-4.541988118944573e-08,-0.013890476897358894|4.548899212863944e-08,1,4.659426178221793e-09|Freefall
410.2494812011719,161.7847137451172,-908.7644653320312|0.9996599555015564,-3.858267305645313e-08,-0.026077037677168846|3.85104996780683e-08,1,-3.2698690421995025e-09|Freefall
410.8326110839844,161.66915893554688,-908.7796020507812|0.9992648363113403,-3.9277686880723195e-08,-0.03833711892366409|3.88493397451839e-08,1,-1.1918088738127608e-08|Freefall
411.41552734375,161.49911499023438,-908.8018188476562|0.9988763928413391,-4.620592264359402e-08,-0.047391410917043686|4.5253688796265124e-08,1,-2.116592590084565e-08|Freefall
411.9981994628906,161.27456665039062,-908.8294067382812|0.9986735582351685,-5.619027021452894e-08,-0.05148877948522568|5.468716679501995e-08,1,-3.0601679412711746e-08|Freefall
412.5807189941406,160.99551391601562,-908.8594360351562|0.9985625147819519,-6.692096121696522e-08,-0.053600013256073|6.486805403937979e-08,1,-4.004021647574518e-08|Freefall
413.1632385253906,160.66197204589844,-908.8907470703125|0.9984624981880188,-7.786931632836058e-08,-0.055431898683309555|7.524116796275848e-08,1,-4.949912835172654e-08|Freefall
413.7456359863281,160.27392578125,-908.9230346679688|0.9982717037200928,-8.91004603431611e-08,-0.0587676502764225|8.577362820005874e-08,1,-5.913245715305493e-08|Freefall
414.4735107421875,159.71221923828125,-908.9658203125|0.9980713129043579,-1.0389760518592084e-07,-0.06207779422402382|9.966699110464106e-08,1,-7.1246731181418e-08|Freefall
415.0556945800781,159.20155334472656,-909.0021362304688|0.9977359771728516,-1.1661819598884904e-07,-0.06725306063890457|1.1139852773567327e-07,1,-8.136249363133174e-08|Freefall
415.4922180175781,158.7827911376953,-909.0313720703125|0.9972415566444397,-1.2712324348740367e-07,-0.07422483712434769|1.2081375189154642e-07,1,-8.949513130573905e-08|Freefall
416.0739440917969,158.17674255371094,-909.0742797851562|0.9968492388725281,-1.427367948281244e-07,-0.07931966334581375|1.3521882635814109e-07,1,-1.0015182994038696e-07|Freefall
416.6554260253906,157.5161895751953,-909.1205444335938|0.996548593044281,-1.2983151975731744e-07,-0.08301117271184921|1.2275255301119614e-07,1,-9.038109993753096e-08|Freefall
417.3820495605469,156.61386108398438,-909.1810913085938|0.9963878393173218,-7.722370298779424e-08,-0.0849192887544632|7.304780780259534e-08,1,-5.2282079110455015e-08|Freefall
417.8179626464844,156.03158569335938,-909.21826171875|0.9963617920875549,-4.58039401962651e-08,-0.0852244645357132|4.3463312948688326e-08,1,-2.9319688010787104e-08|Freefall
418.54443359375,154.99301147460938,-909.280517578125|0.9962254762649536,6.502223204307711e-09,-0.08680348098278046|-5.753747700509848e-09,1,8.872836687601193e-09|Freefall
419.1256103515625,154.100830078125,-909.3311157226562|0.9962111711502075,4.822171106866335e-08,-0.08696737140417099|-4.496144612176067e-08,1,3.9447158428629336e-08|Freefall
419.5614929199219,153.39593505859375,-909.3692016601562|0.9962059855461121,7.948613500730062e-08,-0.08702682703733444|-7.434100979253344e-08,1,6.236212612975578e-08|Freefall
420.1426696777344,152.40838623046875,-909.4199829101562|0.9962053894996643,1.2114122682760353e-07,-0.08703313767910004|-1.1348743811367967e-07,1,9.288913105365282e-08|Freefall
420.7238464355469,151.3663330078125,-909.4707641601562|0.9962053894996643,1.0336615474670907e-07,-0.08703376352787018|-9.690734259493183e-08,1,7.843549099106895e-08|Freefall
421.3050231933594,150.26979064941406,-909.5215454101562|0.9962054491043091,8.560630249121459e-08,-0.08703257888555527|-8.034160003944635e-08,1,6.39939798929845e-08|Freefall
421.8861999511719,149.11874389648438,-909.5723266601562|0.9962052702903748,6.78615847959918e-08,-0.0870349183678627|-6.378975569987233e-08,1,4.956512000831026e-08|Freefall
422.4652099609375,147.91319274902344,-909.6228637695312|0.9962052702903748,5.0132026530036455e-08,-0.08703488856554031|-4.725219682200077e-08,1,3.51483961935628e-08|Landed
423.0416259765625,147.73294067382812,-909.6731567382812|0.9963558912277222,3.2440212294204684e-08,-0.08529318869113922|-3.0790143767944755e-08,1,2.0661335753402454e-08|Landed
423.61383056640625,147.52711486816406,-909.7223510742188|0.996647834777832,1.4808806625410398e-08,-0.08181138336658478|-1.4352836252840007e-08,1,6.161531729276248e-09|Running
424.1936950683594,147.24147033691406,-909.770263671875|0.9973241686820984,-2.6935089714186233e-09,-0.07310591638088226|2.089115547221354e-09,1,-8.34383229175728e-09|Running
424.7747497558594,148.11712646484375,-909.818115234375|0.9983502626419067,-1.9972389964095782e-08,-0.05741780251264572|1.870115085012003e-08,1,-2.2677488331623863e-08|Jumping
425.35693359375,148.9416961669922,-909.8536987304688|0.9991352558135986,-3.988742847127469e-08,-0.04157872498035431|3.838056983340721e-08,1,-3.703940976151898e-08|Freefall
425.9397277832031,149.71177673339844,-909.878662109375|0.9999603629112244,-8.215248215037718e-08,-0.008901654742658138|8.168942855490968e-08,1,-5.2382659987415536e-08|Freefall
426.5229797363281,150.42735290527344,-909.8858642578125|0.9994471073150635,-1.3274616605940537e-07,0.03324843570590019|1.3444365265513625e-07,1,-4.8818929343497075e-08|Freefall
427.1059875488281,151.0884246826172,-909.8698120117188|0.9961636066436768,-1.5506864770031825e-07,0.0875101312994957|1.5751511739381385e-07,1,-2.1051045351327957e-08|Freefall
427.6874694824219,151.69500732421875,-909.825927734375|0.9866400957107544,-1.7899360216233617e-07,0.1629149317741394|1.797538118353259e-07,1,1.0074381329161497e-08|Freefall
428.40887451171875,152.3765869140625,-909.7240600585938|0.9694206118583679,-1.9302642328966613e-07,0.24540522694587708|1.9042197152430163e-07,1,3.434094608678606e-08|Freefall
428.8370361328125,152.74465942382812,-909.6365356445312|0.9419465065002441,-2.0633727615404496e-07,0.33576300740242004|1.993480793771596e-07,1,5.5283216227053344e-08|Freefall
429.3990478515625,153.187744140625,-909.4862060546875|0.9115555882453918,-2.0943566880760045e-07,0.4111768305301666|1.9732136991024163e-07,1,7.190645590071654e-08|Freefall
429.94866943359375,153.57632446289062,-909.2982177734375|0.8753684163093567,-1.9710547860540828e-07,0.48345640301704407|1.794781354647057e-07,1,8.272924389984837e-08|Freefall
430.4833984375,153.910400390625,-909.0733032226562|0.8431655764579773,-1.8532965384565614e-07,0.5376539826393127|1.6344868924988987e-07,1,8.837533016503585e-08|Freefall
431.0010681152344,154.18997192382812,-908.8125|0.8175531029701233,-1.7783406747184927e-07,0.575853168964386|1.5284796006653778e-07,1,9.181635363120222e-08|Freefall
431.4999694824219,154.41505432128906,-908.5166625976562|0.796978771686554,-1.6756411014284822e-07,0.604007363319397|1.4046207752471673e-07,1,9.208301321450563e-08|Freefall
432.0949401855469,154.61976623535156,-908.0992431640625|0.7826570868492126,-1.5467914238342928e-07,0.6224530935287476|1.2690082940025604e-07,1,8.893730552017587e-08|Freefall
432.4381408691406,154.7017059326172,-907.8280639648438|0.7638769745826721,-1.7001627838908462e-07,0.6453618407249451|1.3639139240240183e-07,1,1.0200483302469365e-07|Freefall
432.9958801269531,154.77015686035156,-907.3583984375|0.7448307275772095,-1.5448067358647677e-07,0.6672534346580505|1.2191470943889726e-07,1,9.542829104702832e-08|Freefall
433.32244873046875,154.77035522460938,-907.0672607421875|0.7187547087669373,-1.6324356977293064e-07,0.6952637434005737|1.256804154081692e-07,1,1.0486694179689948e-07|Freefall
433.7437744140625,154.72293090820312,-906.6639404296875|0.6971904635429382,-1.7251288397801545e-07,0.7168859243392944|1.296707807796338e-07,1,1.1453378334636e-07|Freefall
434.25244140625,154.58700561523438,-906.1415405273438|0.6817245483398438,-1.4663946501514147e-07,0.7316089272499084|1.088011600813843e-07,1,9.90516113574813e-08|Freefall
434.5507507324219,154.46458435058594,-905.8214721679688|0.6745924949645996,-1.4556248117969517e-07,0.7381903529167175|1.0760368951423516e-07,1,9.885504681506063e-08|Freefall
434.9442443847656,154.253662109375,-905.3908081054688|0.6727970838546753,-1.4713791074427718e-07,0.739827036857605|1.0937782946029984e-07,1,9.941353340536807e-08|Freefall
435.3365783691406,153.9882354736328,-904.9591674804688|0.6724603176116943,-1.4906024148331198e-07,0.7401332259178162|1.1164976143618333e-07,1,9.995526539796629e-08|Freefall
435.7287902832031,153.66831970214844,-904.5272827148438|0.6723861694335938,-1.509906297769703e-07,0.7402005195617676|1.1397290222703305e-07,1,1.0045498299859901e-07|Freefall
436.1210021972656,153.2938995361328,-904.0953979492188|0.6723778247833252,-1.5291934118977224e-07,0.740208089351654|1.163041645213525e-07,1,1.0094323243947656e-07|Freefall
436.5132141113281,152.86497497558594,-903.6635131835938|0.6723777651786804,-1.5484637572171778e-07,0.7402081489562988|1.1863470206208149e-07,1,1.0142962736381378e-07|Freefall
436.9054260253906,152.3815460205078,-903.2316284179688|0.6723770499229431,-1.5677176179451635e-07,0.7402088046073914|1.2096317902887677e-07,1,1.0191569543849255e-07|Freefall
437.2976379394531,151.8436279296875,-902.7997436523438|0.6723770499229431,-1.5869551361902268e-07,0.7402088046073914|1.2328976595199492e-07,1,1.0240124481697421e-07|Freefall
437.6898498535156,151.25120544433594,-902.3678588867188|0.6723775863647461,-1.6061761698438204e-07,0.7402083277702332|1.2561443440972653e-07,1,1.0288628260468613e-07|Freefall
438.0820617675781,150.60427856445312,-901.9359741210938|0.6723770499229431,-1.6253808610144915e-07,0.7402088046073914|1.2793697123925085e-07,1,1.0337108591329525e-07|Freefall
438.4742736816406,149.90284729003906,-901.5040893554688|0.6723763942718506,-1.644569067593693e-07,0.7402094006538391|1.3025749012740562e-07,1,1.0385553395053648e-07|Freefall
438.8664855957031,149.1469268798828,-901.0722045898438|0.672378659248352,-1.663740789581425e-07,0.740207314491272|1.3257646003239643e-07,1,1.0433900143880237e-07|Freefall
439.24200439453125,148.3365020751953,-900.6588745117188|0.6723768711090088,-1.6828961690862343e-07,0.7402089834213257|1.348928719835385e-07,1,1.0482278156587199e-07|Freefall
439.5908203125,147.47157287597656,-900.2748413085938|0.6723772287368774,-1.702035063999574e-07,0.7402086853981018|1.3720759284296946e-07,1,1.0530576588507756e-07|Freefall
439.9129333496094,146.55215454101562,-899.9202270507812|0.6697884202003479,-1.7211091574154125e-07,0.7425519824028015|1.3915175145484682e-07,1,1.062668744111761e-07|Freefall
440.2083435058594,145.57823181152344,-899.5950317382812|0.6645843982696533,-1.7400689955593407e-07,0.7472132444381714|1.4071666498693958e-07,1,1.0771865532888114e-07|Freefall
440.5400085449219,144.2841796875,-899.2298583984375|0.6593450307846069,-1.7636229188155994e-07,0.7518404722213745|1.42845891559773e-07,1,1.0930185112556501e-07|Freefall
440.718994140625,143.46688842773438,-899.0328369140625|0.6487757563591003,-1.7775933258690202e-07,0.7609796524047852|1.4303465434295504e-07,1,1.1164807744989957e-07|Freefall
440.98394775390625,142.03659057617188,-898.7411499023438|0.6367335915565491,-1.800571425292219e-07,0.7710838317871094|1.4414267468509934e-07,1,1.1448386061374549e-07|Freefall
441.16583251953125,140.83103942871094,-898.5409545898438|0.6135591268539429,-1.81849173941373e-07,0.7896487712860107|1.4298240103016724e-07,1,1.1919351550204738e-07|Freefall
441.3210144042969,139.5709991455078,-898.3700561523438|0.5856053829193115,-1.8358539932705753e-07,0.8105962872505188|1.410325580764038e-07,1,1.2459467768621835e-07|Freefall
441.4198913574219,138.59019470214844,-898.2612915039062|0.5467367768287659,-1.848292185968603e-07,0.8373045325279236|1.3672543275333737e-07,1,1.3146518540452234e-07|Freefall
441.4952697753906,137.23477172851562,-898.1782836914062|0.5021311640739441,-8.983595023437374e-08,0.8647915124893188|6.39648192191089e-08,1,6.674120101024528e-08|Landed
441.5053405761719,135.82484436035156,-898.167236328125|0.4452308416366577,3.535794990128238e-09,0.8954158425331116|-6.1102918280653284e-09,1,-9.105318166113818e-10|Landed
441.50555419921875,135.64366149902344,-898.1670532226562|0.37840256094932556,7.639177113105688e-08,0.9256411194801331|-5.806216307746581e-08,1,-5.8792657853246055e-08|Running
441.50555419921875,135.76535034179688,-898.1670532226562|0.29455384612083435,9.405096790260359e-08,0.9556348919868469|-6.398947505203978e-08,1,-7.869388696235546e-08|Running
441.5055236816406,135.87681579589844,-898.1670532226562|0.1918175369501114,8.693048414443183e-08,0.9814305901527405|-6.064527724447544e-08,1,-7.672234403344191e-08|Running
441.5055236816406,135.973876953125,-898.1670532226562|0.07172238081693649,-5.300089611637304e-08,0.9974246621131897|-2.6971248345830645e-08,1,5.507718370267867e-08|Running
441.5055236816406,136.01754760742188,-898.1670532226562|-0.04542629420757294,-9.675751755366946e-08,0.998967707157135|-5.293971039321832e-09,1,9.66167732485701e-08|Running
441.5055847167969,136.0680389404297,-898.1670532226562|-0.14644955098628998,-1.1491060547541565e-07,0.9892181158065796|1.2940902571756396e-08,1,1.1807890132331522e-07|Running
441.5055236816406,136.0552978515625,-898.1670532226562|-0.26936933398246765,-1.0743232081722454e-07,0.9630369544029236|8.151125996391784e-09,1,1.1383569642475777e-07|Running
441.50555419921875,135.9779052734375,-898.1670532226562|-0.3636873960494995,-9.772294617960142e-08,0.9315210580825806|-6.5334808674322176e-09,1,1.023560329826978e-07|Running
441.5055236816406,135.96910095214844,-898.1670532226562|-0.43394508957862854,-9.31417005745061e-08,0.9009393453598022|-1.92256042197414e-08,1,9.412270429720593e-08|Running
441.5055236816406,135.99330139160156,-898.1670532226562|-0.48340046405792236,-8.906251025564416e-08,0.8753993511199951|-2.93475999058046e-08,1,8.553338659567089e-08|Running
441.5055236816406,136.01416015625,-898.1670532226562|-0.5061467885971069,-8.519542404883396e-08,0.8624473810195923|-3.6489687715857144e-08,1,7.736853291362422e-08|Running
441.5055236816406,136.02757263183594,-898.1670532226562|-0.5106552839279175,-8.137342888403509e-08,0.8597855567932129|-4.180378709861543e-08,1,6.981520783710948e-08|Running
441.5055236816406,136.03659057617188,-898.1670532226562|-0.510654866695404,-7.660053569225056e-08,0.859785795211792|-4.79348152282455e-08,1,6.062253277150376e-08|Running
441.5055236816406,136.04026794433594,-898.1670532226562|-0.510654866695404,-7.278588753933946e-08,0.859785795211792|-5.283494886043627e-08,1,5.327543917132971e-08|Running
441.5055236816406,136.04188537597656,-898.1670532226562|-0.510654866695404,-6.992704015829077e-08,0.859785795211792|-5.650730372508406e-08,1,4.776923745453132e-08|Running
441.5055236816406,136.04315185546875,-898.1670532226562|-0.510654866695404,-6.611809055812046e-08,0.859785795211792|-6.140011521438282e-08,1,4.0433125292338445e-08|Running
441.5055236816406,136.04385375976562,-898.1670532226562|-0.510654866695404,-6.231239524367993e-08,0.859785795211792|-6.628874160696796e-08,1,3.3103273011647616e-08|Running
441.5055236816406,136.04425048828125,-898.1670532226562|-0.510654866695404,-5.8509950662255505e-08,0.859785795211792|-7.117319711369419e-08,1,2.577968594152935e-08|Running
441.5055236816406,136.04446411132812,-898.1670532226562|-0.510654866695404,-5.4710753261133505e-08,0.859785795211792|-7.605348883998886e-08,1,1.8462355200199454e-08|Running
441.5055236816406,136.04457092285156,-898.1670532226562|-0.510654866695404,-5.091480304031393e-08,0.859785795211792|-8.092960257499726e-08,1,1.1151273682230567e-08|Running
441.46771240234375,136.01058959960938,-898.1034545898438|-0.5091506838798523,-4.710825152187681e-08,0.8606774210929871|-8.578193444463977e-08,1,3.98792909805934e-09|Running
441.40728759765625,136.88624572753906,-898.0016479492188|-0.4955604076385498,-4.318115998103167e-08,0.8685734868049622|-9.057645655730084e-08,1,-1.962923379394965e-09|Jumping
441.3346862792969,137.7108154296875,-897.8782348632812|-0.511999785900116,-4.3331130683554875e-08,0.8589856028556824|-9.719823168552466e-08,1,-7.490626785511267e-09|Freefall
441.2419738769531,138.48089599609375,-897.7206420898438|-0.5452944040298462,-7.626174891584014e-08,0.838244616985321|-1.1901706642447607e-07,1,1.3555004230170198e-08|Freefall
441.1274108886719,139.19647216796875,-897.5297241210938|-0.5959318280220032,-1.3729302850151726e-07,0.8030350208282471|-1.3071573334855202e-07,1,7.39635979130071e-08|Freefall
440.9881286621094,139.8575439453125,-897.3078002929688|-0.647052526473999,-1.6082910292425368e-07,0.7624454498291016|-1.1237217734105798e-07,1,1.1557339263390531e-07|Freefall
440.82061767578125,140.46412658691406,-897.0580444335938|-0.6915084719657898,-1.740694699492451e-07,0.7223683595657349|-1.0908088654559833e-07,1,1.365496160588009e-07|Freefall
440.6216125488281,141.01620483398438,-896.7841796875|-0.7289968132972717,-1.7504814309177164e-07,0.6845170855522156|-1.1212983963559964e-07,1,1.3630902628847252e-07|Freefall
440.388427734375,141.51377868652344,-896.4902954101562|-0.7578559517860413,-1.6723207352242753e-07,0.6524218916893005|-1.1330630655947971e-07,1,1.2470798083086265e-07|Freefall
440.1188659667969,141.9568634033203,-896.1805419921875|-0.7788586616516113,-1.6455960860639607e-07,0.6271994709968567|-1.1801021315704929e-07,1,1.1582651637809249e-07|Freefall
439.8115234375,142.34544372558594,-895.8585815429688|-0.7946118712425232,-1.543139234172486e-07,0.6071177124977112|-1.1624460682924109e-07,1,1.0203059019886496e-07|Freefall
439.4654541015625,142.6795196533203,-895.528076171875|-0.8065971732139587,-1.724011156056804e-07,0.5911015272140503|-1.3477439608777786e-07,1,1.0775215741887223e-07|Freefall
439.0800476074219,142.95909118652344,-895.1925659179688|-0.8161053657531738,-1.3650226549088984e-07,0.577903151512146|-1.0901874247792875e-07,1,8.224819225688407e-08|Freefall
438.6549072265625,143.18417358398438,-894.85595703125|-0.8251761794090271,-1.1355387385947324e-07,0.5648754239082336|-9.279059298705761e-08,1,6.547512043653114e-08|Freefall
438.1908874511719,143.35475158691406,-894.5240478515625|-0.8322088718414307,-1.0128682959020807e-07,0.5544622540473938|-8.44054213189338e-08,1,5.598917951488147e-08|Freefall
437.7061767578125,143.4708251953125,-894.200439453125|-0.8381321430206299,-9.628504926695314e-08,0.5454672574996948|-8.15206178117478e-08,1,5.125880520040482e-08|Freefall
437.0950012207031,143.53927612304688,-893.8029174804688|-0.8420088887214661,-9.634522513124466e-08,0.5394636392593384|-8.252779082340567e-08,1,4.9782943989384876e-08|Freefall
436.6037292480469,143.53273010253906,-893.4883422851562|-0.8442678451538086,-9.877319229190107e-08,0.5359215140342712|-8.513080729244393e-08,1,5.019391124960748e-08|Freefall
436.2343444824219,143.49205017089844,-893.2538452148438|-0.8445214033126831,-1.009825254527641e-07,0.5355218052864075|-8.724552458261314e-08,1,5.09817077443131e-08|Freefall
435.7416687011719,143.39012145996094,-892.9415893554688|-0.8445826172828674,-1.0395717708888697e-07,0.5354252457618713|-9.00535326309182e-08,1,5.210723230675285e-08|Freefall
435.2489929199219,143.23370361328125,-892.6293334960938|-0.8445978760719299,-1.069303436906921e-07,0.5354011654853821|-9.285411550763456e-08,1,5.324223550928764e-08|Freefall
434.7563171386719,143.0227813720703,-892.3170776367188|-0.8445995450019836,-1.0990100207664e-07,0.5353984832763672|-9.565082592644103e-08,1,5.4378844538405247e-08|Freefall
434.2636413574219,142.75735473632812,-892.0048217773438|-0.8445998430252075,-1.1286912382502123e-07,0.5353981256484985|-9.844499260225348e-08,1,5.5514767893782846e-08|Freefall
433.7709655761719,142.43743896484375,-891.6925659179688|-0.8445998430252075,-1.158347089358358e-07,0.5353981256484985|-1.0123673632733698e-07,1,5.664976399089028e-08|Freefall
433.2782897949219,142.06301879882812,-891.3803100585938|-0.8445998430252075,-1.1879775740908372e-07,0.5353981256484985|-1.040260997342557e-07,1,5.778378664444972e-08|Freefall
432.7856140136719,141.63409423828125,-891.0680541992188|-0.8428968787193298,-1.218719205553498e-07,0.5380751490592957|-1.0670134997781133e-07,1,5.934801450280247e-08|Freefall
432.29388427734375,141.15066528320312,-890.7543334960938|-0.8393603563308716,-1.2585307729295891e-07,0.5435754060745239|-1.098662281151519e-07,1,6.187865864148989e-08|Freefall
431.8041687011719,140.6127471923828,-890.4374389648438|-0.837358832359314,-1.31306876482995e-07,0.5466536283493042|-1.143781460655191e-07,1,6.499789151348523e-08|Freefall
431.3157653808594,140.02032470703125,-890.1185302734375|-0.8345093727111816,-1.3770824125458603e-07,0.5509937405586243|-1.1952647582802456e-07,1,6.889784032182433e-08|Freefall
430.8289489746094,139.37339782714844,-889.7971801757812|-0.8298745155334473,-1.4598799680243246e-07,0.5579500794410706|-1.2588500908350397e-07,1,7.441389726636771e-08|Freefall
430.34478759765625,138.67196655273438,-889.4718017578125|-0.8214443325996399,-1.5977745704276458e-07,0.5702886581420898|-1.359247079335546e-07,1,8.438334475613374e-08|Freefall
429.86541748046875,137.91604614257812,-889.1394653320312|-0.8116084337234497,-1.5014485654774035e-07,0.5842018127441406|-1.2538579596821364e-07,1,8.281503482976404e-08|Freefall
429.391845703125,137.10562133789062,-888.7990112304688|-0.8032304644584656,-1.1836291236022589e-07,0.5956684350967407|-9.578115367503415e-08,1,6.954972775474744e-08|Freefall
428.92327880859375,136.24069213867188,-888.4515380859375|-0.7976371049880981,-9.484213592259039e-08,0.6031376719474792|-7.29866300730464e-08,1,6.07246022354957e-08|Freefall
428.341796875,135.08290100097656,-888.0115966796875|-0.7951875329017639,-6.974829602768295e-08,0.6063635945320129|-4.83504081216779e-08,1,5.162027605365438e-08|Freefall
428.00506591796875,134.34735107421875,-887.7562866210938|-0.7937058806419373,-5.522506185684506e-08,0.6083016991615295|-3.400640835593549e-08,1,4.6414427856689144e-08|Freefall
427.583740234375,133.3189239501953,-887.4368286132812|-0.7915065288543701,-3.592822039877319e-08,0.6111607551574707|-1.492647427880911e-08,1,3.945577375930043e-08|Freefall
