Mt Freestyle|true|13238
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-3.5359097871889844e-09,0.3960198760032654|8.456957800717646e-09,1,-1.068033217421771e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,6.5495191492459526e-09,0.3960198760032654|-1.5282182630471652e-08,1,1.8896075815177937e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,1.6626337639991107e-08,0.3960198760032654|-3.900104061926868e-08,1,4.844719825314314e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,2.6694550570027786e-08,0.3960198760032654|-6.269963392924183e-08,1,7.797305556778156e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,2.694819478676891e-08,0.3960198760032654|-6.33292387419715e-08,1,7.879242502895067e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,1.7399832685782712e-08,0.3960198760032654|-4.09194136352653e-08,1,5.094210919764919e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,7.859624950867783e-09,0.3960198760032654|-1.8528735878931002e-08,1,2.3115598324352504e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-1.672438076916194e-09,0.3960198760032654|3.842812290599795e-09,1,-4.687121357704882e-09|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-1.1196362059706644e-08,0.3960198760032654|2.6195245084181806e-08,1,-3.246607249707267e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-2.0712153769864017e-08,0.3960198760032654|4.8528576712669746e-08,1,-6.022126797233796e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-3.0219819535659553e-08,0.3960198760032654|7.084282316327517e-08,1,-8.795274197836989e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-2.1074885836469548e-08,0.3960198760032654|4.9419913494830325e-08,1,-6.137204167089294e-08|Running
-903.9716186523438,18.36591911315918,-830.7742919921875|0.9182419180870056,-1.1937767219194484e-08,0.3960198760032654|2.80153091836155e-08,1,-3.481407162553296e-08|Running
