MT Varsha|true|8344
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.2415250694175484e-07,0.4816772937774658|-1.1651890474695392e-07,1,-4.57595135117117e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.339385004774158e-08,0.4816772937774658|-7.826632497653918e-08,1,-3.0736888589899536e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.2670020405921605e-08,0.4816772937774658|-4.0046426619255726e-08,1,-1.5727099622608876e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.980987596184036e-09,0.4816772937774658|-1.859188580866089e-09,1,-7.301365068101973e-10|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.867327791340358e-08,0.4816772937774658|3.6295421779186654e-08,1,1.4254011304615233e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.929281053975501e-08,0.4816772937774658|7.44174357691918e-08,1,2.9225354580830754e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.198776260480372e-07,0.4816772937774658|1.1250687492747602e-07,1,4.418390631144575e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.52632382475349e-08,0.4816772937774658|8.002077578339595e-08,1,3.1425898328052426e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.0678423235694936e-08,0.4816772937774658|4.7562430438574665e-08,1,1.8678795399296177e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.6123159696235234e-08,0.4816772937774658|1.513182112944378e-08,1,5.942584202500711e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.8402580792553636e-08,0.4816772937774658|-1.7271078789349303e-08,1,-6.782744144118169e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.2898819546953746e-08,0.4816772937774658|-4.964629241044349e-08,1,-1.949719852234466e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.736558498867453e-08,0.4816772937774658|-8.199384637919138e-08,1,-3.220078426124928e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.2180289843399805e-07,0.4816772937774658|-1.1431375668280452e-07,1,-4.489351468350833e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.267092965752454e-08,0.4816772937774658|-7.758784903444393e-08,1,-3.0470442169416856e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.357239191676854e-08,0.4816772937774658|-4.089331895329451e-08,1,-1.6059692242720303e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.5072687804292855e-09,0.4816772937774658|-4.230141570360502e-09,1,-1.6612566877682866e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.4524479275432896e-08,0.4816772937774658|3.2401707983353845e-08,1,1.2724875375624833e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.352287667572455e-08,0.4816772937774658|6.900226168227164e-08,1,2.709871438355549e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.1248794606899537e-07,0.4816772937774658|1.0557153728996127e-07,1,4.146026810758485e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.052124655932857e-08,0.4816772937774658|7.55703339905267e-08,1,2.9678131951982323e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.858185675971072e-08,0.4816772937774658|4.5594767072998366e-08,1,1.7906065963302353e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.6669760682930246e-08,0.4816772937774658|1.564480811566682e-08,1,6.1440594834039075e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.5215066540008593e-08,0.4816772937774658|-1.4279557092322648e-08,1,-5.607895481318792e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.707264977810155e-08,0.4816772937774658|-4.417835341996579e-08,1,-1.7349806924471523e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,7.890301390034438e-08,0.4816772937774658|-7.405160573625835e-08,1,-2.90816846160169e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1070618199937599e-07,0.4816772937774658|-1.0389933180476874e-07,1,-4.0803534773203864e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.0509049985785168e-07,0.4816772937774658|-9.862893790568705e-08,1,-3.873373444207573e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.210392911043527e-08,0.4816772937774658|-5.828542981589635e-08,1,-2.2889958373184527e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.9154091646100824e-08,0.4816772937774658|-1.797638837786053e-08,1,-7.0597216961232334e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-2.3759049838645296e-08,0.4816772937774658|2.2298211277416158e-08,1,8.756987135427607e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.663552909458303e-08,0.4816772937774658|6.25384046770705e-08,1,2.456018144414429e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.0947537276706498e-07,0.4816772937774658|1.027442095846709e-07,1,4.0349870999989434e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.12304605801728e-08,0.4816772937774658|7.623595621453205e-08,1,2.9939506873688515e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.3009685530014394e-08,0.4816772937774658|4.975035139409556e-08,1,1.953804051879615e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-2.4813024523950844e-08,0.4816772937774658|2.3287379136149866e-08,1,9.145461277171307e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.359542866121501e-09,0.4816772937774658|-3.1529825417209167e-09,1,-1.2382372904795602e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.150804062101997e-08,0.4816772937774658|-2.9570752957397417e-08,1,-1.1613062511628414e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,7.368569043819662e-08,0.4816772937774658|-6.915509231930628e-08,1,-2.7158678861383123e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.773289295049835e-08,0.4816772937774658|-8.233859460915482e-08,1,-3.233612133612951e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1580929282217767e-07,0.4816772937774658|-1.086887095880229e-07,1,-4.268436981647028e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.0645823067534366e-07,0.4816772937774658|-9.991259730668389e-08,1,-3.92378005642513e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.972766103923277e-08,0.4816772937774658|-5.605528130558923e-08,1,-2.2014095435451964e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.029333862589965e-08,0.4816772937774658|9.660443112124995e-09,1,3.793872327406689e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-5.692415072644508e-08,0.4816772937774658|5.34241380023559e-08,1,2.098080820189807e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.022460917800345e-08,0.4816772937774658|7.529195755751061e-08,1,2.9568768766807807e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-9.193135497298499e-08,0.4816772937774658|8.627890935031246e-08,1,3.388357683320464e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.877868941046472e-08,0.4816772937774658|6.454979484260548e-08,1,2.5350084698061437e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.5645798252280656e-08,0.4816772937774658|4.283924326387023e-08,1,1.682388628410081e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-2.2532674393005436e-08,0.4816772937774658|2.1147243955965678e-08,1,8.304971821360141e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.606994313289704e-10,0.4816772937774658|-5.262226765445632e-10,1,-2.0666295064142304e-10|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.3634340706735202e-08,0.4816772937774658|-2.2181168901624915e-08,1,-8.711024790386546e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,4.668826392162373e-08,0.4816772937774658|-4.3817610873020385e-08,1,-1.720811937389044e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.972248911552015e-08,0.4816772937774658|-6.543556452243138e-08,1,-2.5697953986991706e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.273703227563601e-08,0.4816772937774658|-8.703504761342629e-08,1,-3.418053395876086e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1573191471825339e-07,0.4816772937774658|-1.086160779095735e-07,1,-4.2655866394625264e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,7.87835716664631e-08,0.4816772937774658|-7.39395176196922e-08,1,-2.9037634519113453e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.0386537730464624e-08,0.4816772937774658|-2.8518206462990747e-08,1,-1.1199708715992074e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.203531466297818e-09,0.4816772937774658|-5.822105908492858e-09,1,-2.286462130740574e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.213148585563431e-08,0.4816772937774658|3.954100691316853e-08,1,1.5528605956660613e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-9.042520332513959e-08,0.4816772937774658|8.486535563179132e-08,1,3.332845111003735e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.0077928891405463e-07,0.4816772937774658|9.458281624574738e-08,1,3.714470508953127e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.324235440364646e-08,0.4816772937774658|6.873900559867252e-08,1,2.699528423022457e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.572894951593298e-08,0.4816772937774658|4.291728217253876e-08,1,1.685453554500782e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-1.8239052934632127e-08,0.4816772937774658|1.7117617545636676e-08,1,6.722451484364456e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.227353992002918e-09,0.4816772937774658|-8.660002492888452e-09,1,-3.4009746130436724e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.667028991571897e-08,0.4816772937774658|-3.441559570660502e-08,1,-1.3515748520376292e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,6.408977526461967e-08,0.4816772937774658|-6.014918341179509e-08,1,-2.362187956350681e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,9.148583757223605e-08,0.4816772937774658|-8.586078337202707e-08,1,-3.371937395968416e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.1885848749670913e-07,0.4816772937774658|-1.1155041335086935e-07,1,-4.380823881433571e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,7.70412427186784e-08,0.4816772937774658|-7.23043243056054e-08,1,-2.839545665267451e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,3.5259727582115374e-08,0.4816772937774658|-3.30917622193283e-08,1,-1.2995845288799046e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.486089887403068e-09,0.4816772937774658|6.087290671530354e-09,1,2.390605935431722e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-4.8196234558872675e-08,0.4816772937774658|4.5232866341393674e-08,1,1.776390945451567e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-8.987073840671655e-08,0.4816772937774658|8.434499676468477e-08,1,3.312407770295067e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-9.592805838565255e-08,0.4816772937774658|9.002987155781739e-08,1,3.535664916398673e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-6.641381844474381e-08,0.4816772937774658|6.233033644775787e-08,1,2.4478451265963486e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-3.6924806323668236e-08,0.4816772937774658|3.465446596351285e-08,1,1.3609549043280822e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,-7.460987383467454e-09,0.4816772937774658|7.00224322969234e-09,1,2.7499351684667772e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,2.1977653474891667e-08,0.4816772937774658|-2.0626352181807306e-08,1,-8.100397685950611e-09|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,5.139114378494014e-08,0.4816772937774658|-4.823134247544658e-08,1,-1.8941458179710935e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,8.077950042206794e-08,0.4816772937774658|-7.581274275025862e-08,1,-2.9773255860732206e-08|Running
-894.7199096679688,132.2769012451172,-904.3870239257812|0.8763486742973328,1.101427429262003e-07,0.4816772937774658|-1.0337058142795286e-07,1,-4.059579694626336e-08|Running
