bayiii|true|1391
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.118722915649414,20.057891845703125,3.3791189193725586|-0,-0,-1|0,1,0|Running
-6.413956642150879,20.055540084838867,3.425337314605713|-0.7751909494400024,0.00039114660467021167,-0.631726861000061|0.0002566580951679498,0.9999999403953552,0.0003042257158085704|Running
-7.370047569274902,20.14549446105957,3.5928258895874023|-0.9827921390533447,0.00009208620758727193,-0.1847148835659027|0.00008953198266681284,1,0.00002216864777437877|Running
-8.416696548461914,20.05508041381836,3.7977683544158936|-0.999232292175293,0.000017652131646173075,0.03917624056339264|0.000017646740161580965,1,-4.833992193198355e-07|Running
-9.461666107177734,20.05706214904785,4.01171875|-0.9907246232032776,0.0000032261107207887108,0.13588494062423706|0.0000031942734040057985,1,-4.5233474565975484e-07|Running
-10.510315895080566,20.05782127380371,4.206903457641602|-0.9861177206039429,2.3271519467016333e-07,0.1660478115081787|2.283928353108422e-07,1,-4.512541451617835e-08|Running
-11.562475204467773,20.05788803100586,4.382180690765381|-0.9859486222267151,-8.92503493332697e-08,0.16704896092414856|-8.744422785866846e-08,1,1.816736627802129e-08|Running
-12.617345809936523,20.05788803100586,4.54033088684082|-0.9875153303146362,1.2307160091040714e-07,0.1575227528810501|1.2119527070808545e-07,1,-2.1517006842941555e-08|Running
-13.474505424499512,20.05788803100586,4.668327331542969|-0.9882544279098511,1.0137397055132169e-07,0.15281733870506287|1.0006932882333786e-07,1,-1.6228620225433588e-08|Running
-14.199797630310059,20.05788803100586,4.776629447937012|-0.988577127456665,6.345161551735146e-08,0.1507156938314438|6.264816221346337e-08,1,-1.0079067358503835e-08|Running
-15.122895240783691,20.05788803100586,4.914464473724365|-0.9888068437576294,-7.902918319757646e-09,0.14920125901699066|-7.842356986031973e-09,1,9.942359158188196e-10|Running
-16.177860260009766,20.05788803100586,5.07199239730835|-0.9889394640922546,-5.852217910273794e-08,0.14831951260566711|-5.7882754589400065e-08,1,8.627567105179423e-09|Running
-17.165637969970703,20.049131393432617,5.227593898773193|-0.9884266257286072,-4.795102981347554e-09,0.15169967710971832|-4.9704693694252455e-09,1,-7.768058418733403e-10|Running
-18.216928482055664,20.033199310302734,5.4073405265808105|-0.9870384931564331,1.1951925671382924e-07,0.16048352420330048|1.1782967135332001e-07,1,-2.0044680582032015e-08|Running
-19.071062088012695,19.0080623626709,5.559333801269531|-0.9856847524642944,1.1612639383429268e-07,0.1685987263917923|1.141777161706159e-07,1,-2.1252569482044237e-08|Running
-19.599349975585938,17.906057357788086,5.653502464294434|-0.9849821925163269,1.0187056886934442e-07,0.1726558357477188|1.0001967609696294e-07,1,-1.941993055254443e-08|Running
-20.097265243530273,16.921894073486328,5.742260932922363|-0.9846818447113037,2.3979913610361336e-09,0.17436076700687408|2.341383975590361e-09,1,-5.303550376645205e-10|Running
-20.422195434570312,16.184017181396484,5.797578811645508|-0.9850510358810425,-5.1846932080934494e-08,0.17226272821426392|-5.088866927849267e-08,1,9.978917248076868e-09|Running
-20.73447036743164,15.35672664642334,5.85009765625|-0.9853935241699219,-1.4064569953120554e-08,0.17029276490211487|-1.369577606880057e-08,1,3.3403686483524098e-09|Running
-21.05019187927246,14.825024604797363,5.901658535003662|-0.9858550429344177,8.811851159862272e-08,0.1676000952720642|8.677604057538701e-08,1,-1.533361171368597e-08|Running
-21.573673248291016,14.308531761169434,5.9852614402771|-0.9865782856941223,1.0823764995393503e-07,0.16328883171081543|1.0642384040693287e-07,1,-1.9855596278262055e-08|Running
-22.254289627075195,13.48311710357666,6.093870639801025|-0.9870791435241699,1.1198183358374081e-07,0.16023358702659607|1.1024459922737151e-07,1,-1.9731801970124252e-08|Running
-23.059602737426758,12.89723014831543,6.2210469245910645|-0.9874361157417297,-9.109170084897755e-10,0.15801863372325897|-7.607768859330122e-10,1,1.0106301351342495e-09|Running
-23.869991302490234,12.327713012695312,6.348978519439697|-0.9876188039779663,-5.502992905803694e-08,0.15687298774719238|-5.386655388406325e-08,1,1.1667442123552973e-08|Running
-24.54178810119629,12.017908096313477,6.455030918121338|-0.9876819252967834,-8.490234648661499e-08,0.15647508203983307|-8.313831756368018e-08,1,1.7818397424207433e-08|Running
-25.38957977294922,11.971786499023438,6.588867664337158|-0.9877220392227173,-1.1796632293226139e-07,0.1562214195728302|-1.1552410228432564e-07,1,2.4712475621413432e-08|Running
-25.916112899780273,11.999580383300781,6.671988010406494|-0.9877361059188843,-1.203632535862198e-07,0.1561327576637268|-1.1787231812832033e-07,1,2.5212626653114967e-08|Running
-26.377071380615234,12.017000198364258,6.74475622177124|-0.987744152545929,-1.53681121162208e-08,0.15608187019824982|-1.5049616663986853e-08,1,3.222303091021672e-09|Running
-27.03558349609375,12.024524688720703,6.848710536956787|-0.987752377986908,9.65450794865319e-08,0.15602967143058777|9.454905125494406e-08,1,-2.021429068577163e-08|Running
-27.89164924621582,12.026350021362305,6.983851909637451|-0.9877594113349915,4.5097596768073345e-08,0.15598516166210175|4.4165297197196196e-08,1,-9.442624460120896e-09|Running
-28.6822566986084,12.026596069335938,7.10609245300293|-0.987946093082428,9.371241560529597e-09,0.1547984778881073|9.255528787832645e-09,1,-1.468219656963754e-09|Running
-29.341115951538086,12.026633262634277,7.207853317260742|-0.988067090511322,-1.0624314761287224e-09,0.15402401983737946|-7.723343076193601e-10,1,1.943289973382889e-09|Running
-29.868202209472656,12.026640892028809,7.289261341094971|-0.9881302118301392,-3.5720228996893866e-09,0.15361882746219635|-3.0398554784483167e-09,1,3.6990908114375998e-09|Running
-30.59294319152832,12.026640892028809,7.401195049285889|-0.9881889820098877,-3.6529115288175262e-09,0.1532401740550995|-2.834673828999712e-09,1,5.558060234278628e-09|Running
-31.38357162475586,12.026640892028809,7.523305416107178|-0.988228976726532,-1.678688965611741e-09,0.15298186242580414|-5.761379706648029e-10,1,7.251400369057137e-09|Running
-32.04242706298828,12.026640892028809,7.625065803527832|-0.9882485866546631,6.072821689961927e-10,0.15285536646842957|1.9380999027873713e-09,1,8.557385910989979e-09|Running
-32.635379791259766,12.026640892028809,7.716650009155273|-0.9882595539093018,2.8325246592686426e-09,0.1527843475341797|4.3664427629153124e-09,1,9.704226755502532e-09|Running
-33.22833251953125,12.026640892028809,7.808235168457031|-0.9882668256759644,5.118943491311256e-09,0.15273718535900116|6.8548722254035965e-09,1,1.0838876463026281e-08|Running
-33.887168884277344,12.026640892028809,7.909992694854736|-0.9882722496986389,7.688047531928532e-09,0.15270200371742249|9.647726173511728e-09,1,1.2092390200280079e-08|Running
-34.48012161254883,12.026640892028809,8.00157356262207|-0.9882754683494568,1.0009543416344968e-08,0.15268121659755707|1.217019374166739e-08,1,1.3216824967798857e-08|Running
-35.53425979614258,12.026640892028809,8.164384841918945|-0.9882791638374329,1.4137789605683793e-08,0.15265734493732452|1.6654814416483532e-08,1,1.520932890741733e-08|Running
-36.45663070678711,12.026640892028809,8.306844711303711|-0.988280713558197,1.7743850833085162e-08,0.15264730155467987|2.05718126977672e-08,1,1.6946755110325284e-08|Running
-37.51076889038086,12.026640892028809,8.469655990600586|-0.9882815480232239,2.1852994080973076e-08,0.15264195203781128|2.5035284068053443e-08,1,1.8926094469406962e-08|Running
-38.30137252807617,12.026640892028809,8.591764450073242|-0.9882818460464478,2.4925807196041205e-08,0.1526401937007904|2.83731029782075e-08,1,2.0406256240335097e-08|Running
-39.091976165771484,12.026640892028809,8.713872909545898|-0.9882819652557373,2.799075637938131e-08,0.15263929963111877|3.170239892824611e-08,1,2.188265568747738e-08|Running
-39.81669616699219,12.026640892028809,8.8258056640625|-0.9882820248603821,3.07933873955335e-08,0.15263880789279938|3.4746761912174406e-08,1,2.3232715307131002e-08|Running
-40.211997985839844,12.026640892028809,8.886859893798828|-0.9882820844650269,3.231931700042878e-08,0.15263865888118744|3.640430890072821e-08,1,2.3967777096345344e-08|Running
-40.67318344116211,12.026640892028809,8.958089828491211|-0.9882820844650269,3.4097087819873195e-08,0.15263855457305908|3.833542550069069e-08,1,2.4824162281333884e-08|Running
-41.134368896484375,12.026640892028809,9.029319763183594|-0.9882820844650269,3.5872204762199544e-08,0.15263845026493073|4.0263653744432304e-08,1,2.5679273818468573e-08|Running
-41.52967071533203,12.026640892028809,9.090373992919922|-0.9882820844650269,3.739161158478055e-08,0.15263843536376953|4.191412372733794e-08,1,2.641120921964557e-08|Running
-42.188507080078125,12.026640892028809,9.192131042480469|-0.9882820844650269,3.9919633820773015e-08,0.15263843536376953|4.46602079762215e-08,1,2.7629017296249003e-08|Running
-42.84734344482422,12.026640892028809,9.293888092041016|-0.9882820844650269,4.244224527383267e-08,0.15263843536376953|4.7400416036680326e-08,1,2.8844224786439554e-08|Running
-43.90202331542969,12.026640892028809,9.453307151794434|-0.9885289669036865,6.834925869725339e-08,0.15103153884410858|7.32968956640434e-08,1,2.7191937590487214e-08|Running
-44.961769104003906,12.026640892028809,9.574421882629395|-0.9912494421005249,2.0592857197243575e-07,0.13200195133686066|2.0350086060716421e-07,1,-3.1881789652743464e-08|Running
-46.025421142578125,12.026640892028809,9.65433120727539|-0.9948090314865112,4.6363501837731746e-07,0.10175973176956177|4.602671310749429e-07,1,-5.657576451767454e-08|Running
-46.758384704589844,12.026640892028809,9.676229476928711|-0.9971633553504944,7.396472483378602e-07,0.0752677395939827|7.363209419963823e-07,1,-7.194262963139408e-08|Running
-47.158348083496094,12.026640892028809,9.68017292022705|-0.9981068968772888,6.482219419012836e-07,0.06150288134813309|6.46139028503967e-07,1,-5.3755147888523425e-08|Running
-47.75834274291992,12.026640892028809,9.678166389465332|-0.9991286396980286,5.685009227818227e-07,0.04173726961016655|5.675184411302325e-07,1,-3.538831805371956e-08|Running
-48.42498779296875,12.026640892028809,9.672921180725098|-0.9997023344039917,3.2919962222877075e-07,0.024396618828177452|3.2895169965740934e-07,1,-1.4175847162789523e-08|Running
-49.15826416015625,12.026640892028809,9.664082527160645|-0.9999465942382812,1.7464161317093385e-07,0.010336124338209629|1.7460133960867097e-07,1,-4.799506125863218e-09|Running
-49.824893951416016,12.026640892028809,9.65589714050293|-0.9999976754188538,1.3168656209927576e-07,0.002143094316124916|1.316820146257669e-07,1,-2.265916343446861e-09|Running
-50.22486877441406,12.026640892028809,9.650985717773438|-0.9999994039535522,1.2031412666146934e-07,-0.0011123025324195623|1.2031601670514647e-07,1,-1.6388350676521668e-09|Running
-50.7581672668457,12.026640892028809,9.645018577575684|-0.9999920129776001,1.0225141267028448e-07,-0.003995872568339109|1.0225591040580184e-07,1,-9.209690787770342e-10|Running
-51.42478561401367,12.026640892028809,9.637614250183105|-0.9999788403511047,7.888866093708202e-08,-0.006502574775367975|7.889298103691544e-08,1,-4.0809705614819336e-10|Running
-52.091407775878906,12.026640892028809,9.630209922790527|-0.9999667406082153,8.19264585061319e-08,-0.008154303766787052|8.193038070203329e-08,1,-1.4728697428356696e-10|Running
-52.69139862060547,12.026640892028809,9.625535011291504|-0.9999662637710571,1.0649470283397022e-07,-0.008217624388635159|1.0649856818645276e-07,1,-3.288458047534526e-11|Running
-53.29138946533203,12.026640892028809,9.622984886169434|-0.9999746084213257,1.0509201331387885e-07,-0.007127298507839441|1.0509466363828324e-07,1,3.5709213364043535e-12|Running
-53.69137954711914,12.026640892028809,9.62137508392334|-0.9999791383743286,3.421764205313593e-08,-0.0064584119245409966|3.42188037905089e-08,1,-6.94193452721592e-11|Running
-54.42470169067383,12.026640892028809,9.618429183959961|-0.9999846816062927,-8.019132025083309e-08,-0.0055313752964138985|-8.019080155463598e-08,1,-3.156395977921278e-10|Running
-55.22468948364258,12.026640892028809,9.615211486816406|-0.9999880790710449,-4.58093367683432e-08,-0.0048835063353180885|-4.5809059656676254e-08,1,-1.6846893324817813e-10|Running
-56.15800476074219,12.026640892028809,9.615638732910156|-0.9999969005584717,9.436258352479854e-08,-0.0024892392102628946|9.436340064894466e-08,1,-2.103629909155913e-10|Running
-56.55799865722656,12.026640892028809,9.614924430847168|-0.999997615814209,8.619865354830836e-08,-0.0021730116568505764|8.619959146471956e-08,1,-3.3588168357745474e-10|Running
-57.09132385253906,12.026640892028809,9.6138334274292|-0.9999977350234985,7.610999830376386e-08,-0.0021158112213015556|7.61112488589788e-08,1,-5.131343128184085e-10|Running
-57.49131774902344,12.026640892028809,9.613016128540039|-0.9999977946281433,6.857244017055564e-08,-0.0020992860663682222|6.85739536265828e-08,1,-6.464149771012728e-10|Running
-57.89131164550781,12.026640892028809,9.612197875976562|-0.9999977946281433,6.104793470740333e-08,-0.0020880894735455513|6.104969685338801e-08,1,-7.797333889669744e-10|Running
-58.42463684082031,12.026640892028809,9.611106872558594|-0.9999978542327881,5.103295208641612e-08,-0.002076710807159543|5.103504818748661e-08,1,-9.573442039112479e-10|Running
-59.22462463378906,12.026640892028809,9.60947036743164|-0.9999978542327881,3.60457121928448e-08,-0.0020644948817789555|3.6048312779257685e-08,1,-1.2233802859640264e-09|Running
-59.824615478515625,12.026640892028809,9.608242988586426|-0.9999978542327881,2.4831800615743305e-08,-0.0020588203333318233|2.4834781342519818e-08,1,-1.4225621791652543e-09|Running
-60.224609375,12.026640892028809,9.60742473602295|-0.9999979138374329,1.736808563634895e-08,-0.0020562964491546154|1.73713203821535e-08,1,-1.5551319121343e-09|Running
-60.624603271484375,12.026640892028809,9.606606483459473|-0.9999979138374329,9.914028709090417e-09,-0.002054410520941019|9.917516585744579e-09,1,-1.687565642782829e-09|Running
-61.157928466796875,12.026640892028809,9.605515480041504|-0.9999979138374329,-9.771464887231573e-12,-0.002052474534139037|-5.945812852486965e-12,1,-1.863927900913609e-09|Running
-62.224578857421875,12.026640892028809,9.603333473205566|-0.9999979138374329,-1.9806371653885435e-08,-0.002049714792519808|-1.9801872142011234e-08,1,-2.215873262656487e-09|Running
-62.95790100097656,12.026640892028809,9.604484558105469|-0.9999996423721313,-2.144448174590252e-08,-0.0008258412126451731|-2.144232702505633e-08,1,-2.6174253875410614e-09|Running
-63.424560546875,12.026640892028809,9.60531234741211|-1,-7.569278537289392e-09,-0.0001642277929931879|-7.568773163768583e-09,1,-3.0780247239903247e-09|Running
-63.89121627807617,12.026640892028809,9.606141090393066|-0.9999999403953552,1.2254615100459887e-08,0.00031921284971758723|1.2253457803979018e-08,1,-3.6260980884605942e-09|Running
-64.35787963867188,12.026640892028809,9.606966972351074|-0.9999997615814209,3.533148174028611e-08,0.0006812571664340794|3.532861114763364e-08,1,-4.224737448765836e-09|Running
-64.82453918457031,12.026640892028809,9.607791900634766|-0.9999995231628418,6.022104770408987e-08,0.0009531446266919374|6.02164504925895e-08,1,-4.855969404360394e-09|Running
