ducky|true|2775
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0433349609375,-13.96729564666748,-1780.135009765625|-0,-0,-1|0,1,0|Running
1439.0975341796875,-13.96729564666748,-1780.0467529296875|0.32044291496276855,-0.00008078842802206054,-0.9472678303718567|0.000013176996617403347,1,-0.00008082819840637967|Running
1439.196044921875,-13.970699310302734,-1779.8685302734375|0.5988735556602478,-0.0001500701910117641,-0.8008435964584351|0.000056029683037195355,1,-0.00014549095067195594|Running
1439.383544921875,-13.972345352172852,-1779.51220703125|0.8374108672142029,-0.00013402132026385516,-0.5465738773345947|0.00009082261385628954,1,-0.00010605241550365463|Running
1439.584228515625,-13.970405578613281,-1779.1214599609375|0.9428337216377258,-0.00010220192052656785,-0.3332635164260864|0.00008877913933247328,1,-0.000055505479394923896|Running
1439.81396484375,-13.969045639038086,-1778.6654052734375|0.9907663464546204,-0.00007394054409814999,-0.13558025658130646|0.00007166554860305041,1,-0.000021660422135028057|Running
1440.101318359375,-13.968121528625488,-1778.0875244140625|0.9966793060302734,-0.000050349404773442075,0.08142676204442978|0.00005068483005743474,1,-0.0000020523732473520795|Running
1440.2724609375,-13.967819213867188,-1777.740234375|0.9813815355300903,-0.000040895283746067435,0.19206829369068146|0.00004103092214791104,1,0.0000032712023312342353|Running
1440.498779296875,-13.96757984161377,-1777.2760009765625|0.9483515620231628,-0.000029609864213853143,0.3172212243080139|0.000029048886062810197,1,0.000006498007678601425|Running
1440.7239990234375,-13.967450141906738,-1776.811279296875|0.9068703651428223,-0.000021822383132530376,0.4214097559452057|0.000020598767150659114,1,0.0000074558579399308655|Running
1440.9471435546875,-13.967378616333008,-1776.3455810546875|0.8617639541625977,-0.000016351536032743752,0.5073094964027405|0.000014722051673743408,1,0.000007223603006423218|Running
1441.1123046875,-13.967348098754883,-1775.9951171875|0.8276438117027283,-0.000013200115972722415,0.5612536668777466|0.00001143673580372706,1,0.000006653981017734623|Running
1441.6051025390625,-13.967308044433594,-1774.9422607421875|0.7241973280906677,-0.00000809553330327617,0.6895927786827087|0.000006181066964927595,1,0.000005248346042208141|Running
1441.7694091796875,-13.967303276062012,-1774.59130859375|0.6935751438140869,-0.000006934495104360394,0.7203842997550964|0.000005083051746623823,1,0.000004732219622383127|Running
1442.041015625,-13.96729850769043,-1774.00537109375|0.6501827239990234,-0.000003899867806467228,0.7597779035568237|0.0000026582993086776696,1,0.0000028580559501278913|Running
1442.2578125,-13.967297554016113,-1773.5364990234375|0.6198815703392029,-0.0000026361115033068927,0.7846953868865967|0.0000016909136775211664,1,0.000002023645492954529|Running
1442.528564453125,-13.967297554016113,-1772.9505615234375|0.5869647860527039,-0.0000017936677068064455,0.8096124529838562|0.0000010881905154747074,1,0.000001426532207915443|Running
1442.7452392578125,-13.967297554016113,-1772.4813232421875|0.5642818212509155,-0.0000013583934332928038,0.8255822658538818|7.942067554722598e-07,1,0.0000011025394996977411|Running
1443.0162353515625,-13.967297554016113,-1771.89501953125|0.5399406552314758,-9.169410191134375e-07,0.8417031168937683|5.119715638102207e-07,1,7.609651788698102e-07|Running
1443.395751953125,-13.967297554016113,-1771.07421875|0.5114491581916809,-5.675253760273336e-07,0.8593135476112366|2.9882752983212413e-07,1,4.825831751986698e-07|Running
1443.6669921875,-13.967297554016113,-1770.488037109375|0.495194673538208,-3.9677883023614413e-07,0.8687820434570312|2.0197303740587813e-07,1,3.415849505472579e-07|Running
1443.883544921875,-13.967297554016113,-1770.0191650390625|0.4845387637615204,-2.712707782848156e-07,0.8747698068618774|1.3468465454025136e-07,1,2.355029380396445e-07|Running
1444.10009765625,-13.967297554016113,-1769.5501708984375|0.47547832131385803,-1.8640916721324174e-07,0.8797274231910706|9.051483829125573e-08,1,1.629724266649646e-07|Running
1444.3167724609375,-13.967297554016113,-1769.0814208984375|0.4676804542541504,-1.513080860604532e-07,0.883897602558136|7.203679075473701e-08,1,1.3306731716511422e-07|Running
1444.6417236328125,-13.967297554016113,-1768.37744140625|0.45765814185142517,-1.4007613913236128e-07,0.8891282677650452|6.530407148375161e-08,1,1.2392948178785446e-07|Running
1444.9666748046875,-13.967297554016113,-1767.673583984375|0.44951483607292175,-1.258526793890269e-07,0.893272876739502|5.761588184327593e-08,1,1.1189580817472233e-07|Running
1445.4593505859375,-13.967297554016113,-1766.620849609375|0.4412998557090759,-1.0895226409957104e-07,0.8973597288131714|4.861807312295241e-08,1,9.750505824968059e-08|Running
1445.73779296875,-13.967297554016113,-1766.0379638671875|0.4390234649181366,-1.025519225095195e-07,0.8984755873680115|4.525641728037044e-08,1,9.202619821735425e-08|Running
1445.9649658203125,-13.967297554016113,-1765.573974609375|0.4387879967689514,-6.351623227374148e-08,0.898590624332428|2.7692195203599113e-08,1,5.7161994249099735e-08|Running
1446.254638671875,-13.967297554016113,-1764.9969482421875|0.4401530921459198,-1.863140219882098e-08,0.8979227542877197|7.469912688407021e-09,1,1.7087769421664234e-08|Running
1446.49267578125,-13.967297554016113,-1764.5384521484375|0.44265663623809814,-9.83000458809613e-10,0.8966912031173706|-5.837105798711661e-10,1,1.3844050350542147e-09|Running
1446.736328125,-13.967297554016113,-1764.082763671875|0.44634711742401123,-3.199983922286265e-08,0.8948599100112915|1.3150956768015476e-08,1,2.920004504858298e-08|Running
1446.9853515625,-13.967297554016113,-1763.630126953125|0.45103082060813904,-1.0697799268655217e-07,0.8925083875656128|4.7156813565152333e-08,1,9.603138551028678e-08|Running
1447.2423095703125,-13.967297554016113,-1763.181884765625|0.4570592939853668,-1.1863810556178578e-07,0.8894362449645996|5.3726417093002965e-08,1,1.0577706177627988e-07|Running
1447.507080078125,-13.967297554016113,-1762.73828125|0.4644337296485901,-1.353063368014773e-07,0.885607898235321|6.259817553200264e-08,1,1.1995561521871423e-07|Running
1447.7783203125,-13.967297554016113,-1762.2984619140625|0.4726347327232361,-1.330459866721867e-07,0.8812584280967712|6.262025209480271e-08,1,1.1738836036556677e-07|Running
1448.055908203125,-13.967297554016113,-1761.862548828125|0.4814535081386566,-1.5087336180386046e-07,0.8764716386795044|7.228263854131001e-08,1,1.3243170826626738e-07|Running
1448.2689208984375,-13.967297554016113,-1761.538818359375|0.4884752035140991,-1.6980020234313997e-07,0.8725777864456177|8.24483663564024e-08,1,1.4844088980225933e-07|Running
1448.6334228515625,-13.967297554016113,-1761.0057373046875|0.501347541809082,-2.1550935969116836e-07,0.8652459979057312|1.0720783905071585e-07,1,1.8695372716592829e-07|Running
1449.0048828125,-13.967297554016113,-1760.477294921875|0.5141794085502625,-2.3132912474466139e-07,0.8576826453208923|1.1793317611363818e-07,1,1.9901335690519772e-07|Running
1449.3055419921875,-13.967297554016113,-1760.0572509765625|0.5237944722175598,-2.1409690020846028e-07,0.8518446683883667|1.1130363475331251e-07,1,1.8289328806986305e-07|Running
1449.6097412109375,-13.967297554016113,-1759.6395263671875|0.5329135656356812,-1.9064644618538296e-07,0.8461697101593018|1.0100249170363895e-07,1,1.6169434502444346e-07|Running
1449.84033203125,-13.967297554016113,-1759.328125|0.5395036339759827,-1.7824979181568779e-07,0.8419832587242126|9.569002656917291e-08,1,1.5038858691696078e-07|Running
1450.150390625,-13.967297554016113,-1758.9149169921875|0.5479689836502075,-1.6564993643441994e-07,0.8364986181259155|9.036734383016665e-08,1,1.3883038718631724e-07|Running
1450.463134765625,-13.967297554016113,-1758.5035400390625|0.555990993976593,-1.5281459297966649e-07,0.8311883211135864|8.461711331619881e-08,1,1.2724943587727466e-07|Running
1450.77783203125,-13.967297554016113,-1758.0938720703125|0.5634762048721313,-1.3657388819865446e-07,0.8261322975158691|7.669140700272692e-08,1,1.130086602074698e-07|Running
1451.01416015625,-13.967297554016113,-1757.7867431640625|0.5685080885887146,-1.3617911065466615e-07,0.8226776719093323|7.730129425453924e-08,1,1.1211280082079611e-07|Running
1451.329345703125,-13.967297554016113,-1757.377197265625|0.5744138360023499,-1.345249245332525e-07,0.8185650706291199|7.722321271330657e-08,1,1.101523281477057e-07|Running
1451.64599609375,-13.967297554016113,-1756.968994140625|0.5798203945159912,-1.2592678899636667e-07,0.8147442936897278|7.302940474573916e-08,1,1.0258782623395746e-07|Running
1452.0439453125,-13.967297554016113,-1756.46044921875|0.5861347317695618,-1.2049615349951637e-07,0.8102136254310608|7.065320062338287e-08,1,9.760865538055441e-08|Running
1452.3642578125,-13.967297554016113,-1756.054931640625|0.5908617973327637,-1.3032760648457042e-07,0.806772768497467|7.708080573820553e-08,1,1.0508970404998763e-07|Running
1452.9306640625,-13.967297554016113,-1755.350341796875|0.599330484867096,-1.18174092733625e-07,0.8005017042160034|7.078526209625124e-08,1,9.462856098707562e-08|Running
1453.173583984375,-13.967297554016113,-1755.048583984375|0.6024489998817444,-1.223199745936654e-07,0.7981573939323425|7.37366221414959e-08,1,9.759655483776442e-08|Running
1453.4991455078125,-13.967297554016113,-1754.6475830078125|0.6063240170478821,-1.193493801565637e-07,0.7952176928520203|7.248017652727867e-08,1,9.48204643691497e-08|Running
1453.8260498046875,-13.967297554016113,-1754.2474365234375|0.6099921464920044,-1.1317099790630891e-07,0.7924074530601501|6.920731010495729e-08,1,8.954368269087354e-08|Running
1454.154541015625,-13.967297554016113,-1753.8485107421875|0.6135414838790894,-1.1485342099604168e-07,0.7896624803543091|7.067863805332308e-08,1,9.05312660393065e-08|Running
1454.5665283203125,-13.967297554016113,-1753.3511962890625|0.617769718170166,-1.2322895770466857e-07,0.7863590121269226|7.633281029484351e-08,1,9.674061374198573e-08|Running
1454.9798583984375,-13.967297554016113,-1752.8548583984375|0.6216608285903931,-1.2379773295378982e-07,0.7832865118980408|7.715451744161328e-08,1,9.681487256330001e-08|Running
1455.3104248046875,-13.967297554016113,-1752.4580078125|0.6243350505828857,-1.0982072495835382e-07,0.7811566591262817|6.875650626625429e-08,1,8.563407760675545e-08|Running
1455.7269287109375,-13.967297554016113,-1751.9642333984375|0.6277799010276794,-1.0397640437531663e-07,0.7783908843994141|6.547747943841387e-08,1,8.077041968590493e-08|Running
1456.0604248046875,-13.967297554016113,-1751.56982421875|0.6302738785743713,-1.2288472817090224e-07,0.7763728499412537|7.776993982133718e-08,1,9.514547372191373e-08|Running
1456.3948974609375,-13.967297554016113,-1751.17578125|0.6325995326042175,-1.0338246170249477e-07,0.77447909116745|6.565576171624343e-08,1,7.985839545199269e-08|Running
1456.7293701171875,-13.967297554016113,-1750.7818603515625|0.6346757411956787,-1.1594153193072998e-07,0.7727785706520081|7.393995815618837e-08,1,8.93058356155052e-08|Running
1456.98095703125,-13.967297554016113,-1750.487060546875|0.6361623406410217,-1.0613547374305199e-07,0.7715552449226379|6.782667583138391e-08,1,8.16360170574626e-08|Running
1457.2325439453125,-13.967297554016113,-1750.1922607421875|0.637543797492981,-9.160378766637223e-08,0.7704141139984131|5.868764674232807e-08,1,7.033599302985749e-08|Running
1457.5679931640625,-13.967297554016113,-1749.7991943359375|0.6391913294792175,-8.971147025249593e-08,0.769047737121582|5.7713371859335894e-08,1,6.868440038942936e-08|Running
1457.9874267578125,-13.967297554016113,-1749.3079833984375|0.6409662365913391,-1.0913422698877184e-07,0.7675690650939941|7.050673644926064e-08,1,8.330427903047166e-08|Running
1458.3228759765625,-13.967297554016113,-1748.9149169921875|0.642162024974823,-1.0202897726685478e-07,0.7665689587593079|6.603605839927695e-08,1,7.77792195094662e-08|Running
1458.574462890625,-13.967297554016113,-1748.6201171875|0.6429327726364136,-7.542909941093967e-08,0.7659226059913635|4.889305316169157e-08,1,5.743941855484991e-08|Running
1459.0789794921875,-13.967297554016113,-1748.0318603515625|0.6445692777633667,-3.489634536890662e-08,0.7645459175109863|2.2797172150035294e-08,1,2.6423512267115257e-08|Running
1459.4168701171875,-13.967297554016113,-1747.64111328125|0.645808756351471,-1.9043520538275516e-08,0.7634992003440857|1.2636848012448354e-08,1,1.4253496161131807e-08|Running
1459.755615234375,-13.967297554016113,-1747.2509765625|0.647164523601532,-1.4608891873990615e-08,0.76235032081604|9.893232899571558e-09,1,1.0764528823870023e-08|Running
1460.094482421875,-13.967297554016113,-1746.86083984375|0.648426353931427,-2.2000246957532e-08,0.7612773776054382|1.484647427218988e-08,1,1.6253475010330476e-08|Running
1460.5181884765625,-13.967297554016113,-1746.37353515625|0.6497881412506104,-4.429918121218179e-08,0.760115385055542|2.9557929437373787e-08,1,3.3011819056127933e-08|Running
1460.7723388671875,-13.967297554016113,-1746.0814208984375|0.6504860520362854,-6.302791888401771e-08,0.7595182061195374|4.188150271033919e-08,1,4.711484535846466e-08|Running
1461.1112060546875,-13.967297554016113,-1745.6917724609375|0.6512911319732666,-9.238902975994279e-08,0.7588279247283936|6.118793294263014e-08,1,6.923554707327639e-08|Running
1461.3653564453125,-13.967297554016113,-1745.3995361328125|0.6518179178237915,-1.1697211022010379e-07,0.7583754658699036|7.734767848432966e-08,1,8.776062543347507e-08|Running
1461.7042236328125,-13.967297554016113,-1745.0098876953125|0.6524332165718079,-8.127802431090458e-08,0.7578462362289429|5.3658649079579845e-08,1,6.105373273612713e-08|Running
1462.0430908203125,-13.967297554016113,-1744.6202392578125|0.6529657244682312,-4.787098717429217e-08,0.7573874592781067|3.146910287910032e-08,1,3.607498655355812e-08|Running
1462.3819580078125,-13.967297554016113,-1744.2305908203125|0.653423547744751,-1.6171604499959358e-08,0.756992518901825|1.0399497263335888e-08,1,1.238628843935885e-08|Running
1462.8011474609375,-13.967297554016113,-1743.7391357421875|0.6528856754302979,2.1776493497327465e-08,0.7574564814567566|-1.483661371537437e-08,1,-1.596115595248193e-08|Running
1463.203369140625,-13.967297554016113,-1743.2340087890625|0.6486208438873291,6.394675455823062e-09,0.7611116766929626|-5.153544702096724e-09,1,-4.009895970824573e-09|Running
1463.5177001953125,-13.967297554016113,-1742.823974609375|0.6435365676879883,-8.579491606042211e-08,0.765415370464325|5.503564182163245e-08,1,6.58171686040987e-08|Running
1463.823486328125,-13.967297554016113,-1742.407470703125|0.6369892358779907,-1.133831446509248e-07,0.7708727121353149|7.316138095347924e-08,1,8.662926376246105e-08|Running
1464.12158203125,-13.967297554016113,-1741.985595703125|0.6292815804481506,-1.4506863976748718e-07,0.7771773934364319|9.278571155846294e-08,1,1.1153219503512446e-07|Running
1464.4141845703125,-13.967297554016113,-1741.5596923828125|0.6210477352142334,-1.72833651390647e-07,0.7837727665901184|1.0917312209812735e-07,1,1.3400814680153417e-07|Running
1464.7008056640625,-13.967297554016113,-1741.1298828125|0.6123466491699219,-1.9066521872446174e-07,0.7905893921852112|1.1882218586833915e-07,1,1.4913537427219126e-07|Running
1464.9820556640625,-13.967297554016113,-1740.6964111328125|0.6033840775489807,-2.021002387664339e-07,0.7974507212638855|1.2418372818956414e-07,1,1.5947036047236907e-07|Running
