Mt Seru|true|32212
52.23595428466797,46.855987548828125,-816.74169921875|0.967866837978363,0,0.2514633536338806|3.118822178294067e-08,1,-1.2004153404632234e-07|Freefall
52.7198600769043,45.71855926513672,-816.6159057617188|0.9704572558403015,0,0.241273432970047|3.573559581582231e-08,1.0000001192092896,-1.4373678425272374e-07|Freefall
53.20506286621094,45.548309326171875,-816.4952392578125|0.9727463126182556,0,0.23187220096588135|1.1083561624047888e-08,1.0000001192092896,-4.6497568462200434e-08|Landed
53.69133377075195,45.54494094848633,-816.3788452148438|0.9740389585494995,0,0.22638069093227386|-1.1856471360260912e-08,1.0000001192092896,5.1014357183021275e-08|Landed
54.17826461791992,45.34553909301758,-816.2652587890625|0.9748274683952332,0,0.2229607105255127|-2.0724026938978568e-08,1.0000001192092896,9.06094612673769e-08|Running
54.54352569580078,46.006553649902344,-816.1802978515625|0.9748274683952332,0,0.2229607105255127|-2.4189439784549904e-08,1.0000001192092896,1.0576092535075077e-07|Running
55.0308837890625,46.844757080078125,-816.0685424804688|0.9748274683952332,0,0.2229607105255127|-2.8806541152448517e-08,1.0000001192092896,1.2594777842878102e-07|Running
55.6401481628418,47.81586456298828,-815.9290771484375|0.9748274683952332,0,0.2229607105255127|-3.457235919768209e-08,1.0000001192092896,1.5115705309654004e-07|Running
56.127559661865234,48.53144073486328,-815.8175048828125|0.9748274683952332,0,0.2229607105255127|-3.918058411045422e-08,1.0000001192092896,1.7130510343577043e-07|Jumping
56.61497116088867,49.19252014160156,-815.7059326171875|0.9748274683952332,0,0.2229607105255127|-2.826599754257586e-08,1.0000001192092896,1.2358442802451464e-07|Freefall
57.10238265991211,49.799095153808594,-815.5943603515625|0.9748274683952332,0,0.2229607105255127|-1.736073862446119e-08,1.0000001192092896,7.59045164500094e-08|Freefall
57.46794128417969,50.218257904052734,-815.5106811523438|0.9748274683952332,0,0.2229607105255127|-9.187906435670357e-09,1.0000001192092896,4.017131161049292e-08|Freefall
58.077205657958984,50.84874725341797,-815.3712158203125|0.9748274683952332,0,0.2229607105255127|4.4218344541491206e-09,1.0000001192092896,-1.93331182174461e-08|Freefall
58.56461715698242,51.29182434082031,-815.2596435546875|0.9748274683952332,0,0.2229607105255127|1.5299166378213158e-08,1.0000001192092896,-6.689091947009729e-08|Freefall
59.05202865600586,51.680397033691406,-815.1480712890625|0.9748274683952332,0,0.2229607105255127|2.6167199962401355e-08,1.0000001192092896,-1.1440807412554932e-07|Freefall
59.5394401550293,52.01447677612305,-815.0364990234375|0.9748274683952332,0,0.2229607105255127|2.9278574231739185e-08,1.0000001192092896,-1.280116066482151e-07|Freefall
59.904998779296875,52.229270935058594,-814.9528198242188|0.9748274683952332,0,0.2229607105255127|2.580170033184004e-08,1.0000001192092896,-1.1281004219654278e-07|Freefall
60.51426315307617,52.51913070678711,-814.8133544921875|0.9748274683952332,0,0.2229607105255127|2.0011855283996738e-08,1.0000001192092896,-8.749571378530163e-08|Freefall
60.87982177734375,52.65216827392578,-814.7296752929688|0.9748274683952332,0,0.2229607105255127|1.654091263958435e-08,1.0000001192092896,-7.232007703805721e-08|Freefall
61.48908615112305,52.8057861328125,-814.5902099609375|0.9748274683952332,0,0.2229607105255127|1.0760950353017051e-08,1.0000001192092896,-4.704896028329131e-08|Freefall
61.976497650146484,52.86736297607422,-814.4786376953125|0.9748274683952332,0,0.2229607105255127|6.141421593497398e-09,1.0000001192092896,-2.685148636771828e-08|Freefall
62.46390914916992,52.87443542480469,-814.3670654296875|0.9748274683952332,0,0.2229607105255127|1.5258408980756144e-09,1.0000001192092896,-6.671272423375285e-09|Freefall
62.95132064819336,52.8270149230957,-814.2554931640625|0.9748274683952332,0,0.2229607105255127|-3.0857945088058614e-09,1.0000001192092896,1.3491692207878714e-08|Freefall
63.4387321472168,52.725093841552734,-814.1439208984375|0.9748272895812988,0,0.22296153008937836|-7.693517822815465e-09,1.0000001192092896,3.363742351325527e-08|Freefall
63.926143646240234,52.568668365478516,-814.0323486328125|0.9748272895812988,0,0.22296153008937836|-1.2297291185348058e-08,1.0000001192092896,5.376593747996594e-08|Freefall
64.41357421875,52.35774230957031,-813.9207763671875|0.9748274683952332,0,0.2229607105255127|-1.68970721858841e-08,1.0000001192092896,7.387727407603961e-08|Freefall
64.9010009765625,52.092323303222656,-813.8092041015625|0.9748274683952332,0,0.2229607105255127|-2.1492965629477112e-08,1.0000001192092896,9.397141553790789e-08|Freefall
65.388427734375,51.77239990234375,-813.6976318359375|0.9748274683952332,0,0.2229607105255127|-2.608493332445505e-08,1.0000001192092896,1.1404838318185284e-07|Freefall
65.8758544921875,51.397972106933594,-813.5860595703125|0.9748274683952332,0,0.2229607105255127|-3.0672975270817915e-08,1.0000001192092896,1.341082054295839e-07|Freefall
66.36328125,50.969051361083984,-813.4744873046875|0.9748274683952332,0,0.2229607105255127|-3.525710212670674e-08,1.0000001192092896,1.5415088228110108e-07|Freefall
66.8507080078125,50.48563003540039,-813.3629150390625|0.9748274683952332,0,0.2229607105255127|-3.983731389212153e-08,1.0000001192092896,1.7417646347439586e-07|Freefall
67.21627807617188,50.08729553222656,-813.2792358398438|0.9748274683952332,0,0.2229607105255127|-3.146726612612838e-08,1.0000001192092896,1.375809972614661e-07|Freefall
67.82555389404297,49.35527801513672,-813.1397705078125|0.9751750230789185,0,0.2214357852935791|-1.7408208208280485e-08,1.0000001192092896,7.666353241120305e-08|Freefall
68.55693817138672,48.36445999145508,-812.9737548828125|0.975849449634552,0,0.21844404935836792|-7.94697641026687e-10,1,3.5501321882236425e-09|Freefall
69.28886413574219,47.251007080078125,-812.8101196289062|0.9784629940986633,0,0.20642267167568207|1.4814531823503785e-08,1.0000001192092896,-7.02222848758538e-08|Freefall
69.77811431884766,46.44058609008789,-812.7069702148438|0.9794678688049316,0,0.20160038769245148|2.469805515659118e-08,1,-1.199945671714886e-07|Freefall
70.27835845947266,45.57566452026367,-812.607421875|0.985729992389679,0,0.16833443939685822|1.658406034721338e-08,1.0000001192092896,-9.711266102385707e-08|Landed
70.65499114990234,44.891204833984375,-812.5429077148438|0.9900801777839661,0,0.14050377905368805|1.1311809267056105e-08,1.0000001192092896,-7.971029702957821e-08|Landed
71.28409576416016,44.232669830322266,-812.453857421875|0.9949283599853516,0,0.10058613121509552|5.0793347305955194e-09,1,-5.0241261817518534e-08|Landed
71.78933715820312,44.320552825927734,-812.4006958007812|0.9977190494537354,0,0.0675048977136612|1.7905926741335065e-09,1.0000001192092896,-2.6464871183407013e-08|Running
72.29510498046875,44.41587448120117,-812.364013671875|0.9989150762557983,0,0.04656975343823433|1.2096264268013357e-10,1.0000001192092896,-2.5946329529347167e-09|Running
72.80032348632812,44.472354888916016,-812.33837890625|0.9995760917663574,0,0.02911386638879776|-6.195964297184275e-10,1,2.1272811068229203e-08|Running
73.30460357666016,44.500885009765625,-812.3216552734375|0.9998854398727417,0,0.01513671688735485|-6.828594911745256e-10,1,4.510761897336124e-08|Running
73.8077621459961,44.51308059692383,-812.31201171875|0.9999794960021973,0,0.006408706773072481|-4.4157530409982826e-10,1.0000001192092896,6.890098802614375e-08|Running
74.30966186523438,44.51492691040039,-812.3070068359375|0.9999973773956299,0,-0.002319329883903265|2.1488384682744055e-10,1.0000001192092896,9.26488681329829e-08|Running
74.81024169921875,44.50739669799805,-812.3062744140625|0.9999713897705078,0,-0.0075683738104999065|8.80658379553978e-10,1.0000001192092896,1.1635698626832891e-07|Running
75.3094482421875,44.49919128417969,-812.3084106445312|0.999956488609314,0,-0.009338400326669216|9.707511461343188e-10,1.0000001192092896,1.039480892472966e-07|Running
75.80725860595703,44.49081039428711,-812.3117065429688|0.9999383687973022,0,-0.011108391918241978|6.161404164650719e-10,1.0000001192092896,5.5462795245375673e-08|Running
76.30366516113281,44.48220443725586,-812.31591796875|0.9999383687973022,0,-0.011108391918241978|7.796054080078108e-11,1.0000001192092896,7.01773394951033e-09|Running
76.79866790771484,44.47331619262695,-812.3203125|0.9999178647994995,0,-0.012817406095564365|-5.306511896563393e-10,1,-4.139742415532055e-08|Running
77.292236328125,44.46405792236328,-812.3253784179688|0.9999178647994995,0,-0.012817406095564365|-1.1507668151722328e-09,1,-8.977418985978147e-08|Running
77.66138458251953,44.45681381225586,-812.3294067382812|0.9998944997787476,0,-0.014526385813951492|-1.3250300856526565e-09,1,-9.120577715293621e-08|Running
78.27510070800781,44.44422149658203,-812.3369750976562|0.9998936653137207,0,-0.014587408863008022|-9.422541635828452e-10,1.0000001192092896,-6.458679280285651e-08|Running
78.64213562011719,44.43620300292969,-812.3417358398438|0.9998944997787476,0,-0.014526385813951492|-7.064983598148444e-10,1,-4.863039038127681e-08|Running
79.25225830078125,44.42217254638672,-812.3496704101562|0.9998936653137207,0,-0.014587408863008022|-3.2184649390032405e-10,1.0000001192092896,-2.206096105794586e-08|Running
79.73866271972656,44.41014099121094,-812.3560180664062|0.9998672008514404,0,-0.01629633642733097|-1.3337064959373368e-11,1,-8.183000943517982e-10|Running
80.22358703613281,44.39732360839844,-812.36328125|0.9998672008514404,0,-0.01629633642733097|3.325544561949556e-10,1,2.0403989609008022e-08|Running
80.70708465576172,44.3836784362793,-812.37060546875|0.9998672008514404,0,-0.01629633642733097|6.781247230414067e-10,1,4.1606572409591536e-08|Running
81.18915557861328,44.369144439697266,-812.3779907226562|0.9998672008514404,0,-0.01629633642733097|1.0233752734123414e-09,1,6.27895317961702e-08|Running
81.66981506347656,44.35366439819336,-812.3855590820312|0.9998672008514404,0,-0.01629633642733097|1.3683060240410327e-09,1,8.39528766505282e-08|Running
82.14907836914062,44.33717727661133,-812.3931274414062|0.9998672008514404,0,-0.01629633642733097|1.7129188067954715e-09,1,1.0509671000136223e-07|Running
82.62696075439453,44.31962203979492,-812.4006958007812|0.9998944997787476,0,-0.014526385813951492|1.5881577164478244e-09,1,1.093176393851536e-07|Running
83.1034927368164,44.30095672607422,-812.40771484375|0.99993896484375,0,-0.01104736328125|6.95195956357253e-10,1,6.292483334391363e-08|Running
83.57868957519531,44.28114318847656,-812.4132080078125|0.9999831914901733,0,-0.005798330996185541|9.654539667725004e-11,1,1.6650268719331507e-08|Running
84.05372619628906,45.14659881591797,-812.4185791015625|0.9999994039535522,0,0.001159667270258069|3.41805368730963e-11,1.0000001192092896,-2.9474417573283063e-08|Running
84.5477294921875,45.957550048828125,-812.4193725585938|0.9999581575393677,0,0.00915530975908041|6.911863859038192e-10,1.0000001192092896,-7.549252245553362e-08|Running
85.04759979248047,46.71399688720703,-812.4151611328125|0.9997847080230713,0,0.020751917734742165|2.5240558532146906e-09,1.0000001192092896,-1.216038185702928e-07|Running
85.5474853515625,47.41595458984375,-812.405029296875|0.9995115995407104,0,0.0312499962747097|4.165210398809904e-09,1,-1.332216470473213e-07|Running
86.04723358154297,48.06340789794922,-812.389404296875|0.998990535736084,0,0.044921766966581345|4.980420520439566e-09,1,-1.1075684369643568e-07|Running
86.54673767089844,48.65635681152344,-812.3671264648438|0.9978772401809692,0,0.06512439250946045|5.8526832269478746e-09,1.0000001192092896,-8.967852238583873e-08|Running
87.04569244384766,49.19480514526367,-812.3348999023438|0.9964516162872314,0,0.08416742086410522|5.977501604803592e-09,1.0000001192092896,-7.076718588905351e-08|Running
87.54393005371094,49.67876052856445,-812.29296875|0.9946469068527222,0,0.10333201289176941|5.2897015656583335e-09,1,-5.091728283446173e-08|Running
88.04126739501953,50.108211517333984,-812.241455078125|0.9922869205474854,0,0.12396243214607239|2.800909504330207e-09,1,-2.2420550749302492e-08|Freefall
88.4134292602539,50.39453125,-812.195556640625|0.9903042912483215,0,0.13891512155532837|3.371915247019075e-10,1,-2.403786059090862e-09|Freefall
88.90862274169922,50.72861099243164,-812.1265258789062|0.9887932538986206,0,0.14929211139678955|-1.9929109473793005e-09,1.0000001192092896,1.3199471737834756e-08|Freefall
89.40301513671875,51.0081901550293,-812.0518188476562|0.9881386756896973,0,0.15356482565402985|-4.411936593839982e-09,1.0000001192092896,2.8389345985146974e-08|Freefall
89.89706420898438,51.2332649230957,-811.9749145507812|0.987794816493988,0,0.15576080977916718|-6.856043288649971e-09,1,4.3479253974965104e-08|Freefall
90.39095306396484,51.403839111328125,-811.8970336914062|0.9877561330795288,0,0.1560060679912567|-9.244826237875259e-09,1.0000001192092896,5.853383555631808e-08|Freefall
90.88481903076172,51.519920349121094,-811.8189086914062|0.9877464771270752,0,0.15606679022312164|-1.1624427642686896e-08,1.0000001192092896,7.357098752436286e-08|Freefall
91.50215148925781,51.588375091552734,-811.7212524414062|0.9877464771270752,0,0.15606679022312164|-1.4591388541873584e-08,1.0000001192092896,9.234887698994498e-08|Freefall
91.99601745605469,51.58182144165039,-811.6431274414062|0.9879958033561707,0,0.1544806808233261|-1.67840443765499e-08,1,1.0734393640632334e-07|Freefall
92.36650085449219,51.5411491394043,-811.5851440429688|0.988005518913269,0,0.15441878139972687|-1.853064190981968e-08,1.0000001192092896,1.1856314330316309e-07|Freefall
92.98402404785156,51.40523147583008,-811.4887084960938|0.9882521629333496,0,0.1528322547674179|-2.122288655925786e-08,1,1.3723257552555879e-07|Freefall
93.47814178466797,51.23517990112305,-811.4122314453125|0.9885150790214539,0,0.15112262964248657|-2.3257463510617526e-08,1.0000001192092896,1.5213045401196723e-07|Freefall
93.97239685058594,51.0106315612793,-811.336669921875|0.9890131950378418,0,0.14782707393169403|-1.61413318267023e-08,1,1.0799097793778856e-07|Freefall
94.34326171875,50.80645751953125,-811.2811279296875|0.989294171333313,0,0.1459347903728485|-1.1044083869649057e-08,1,7.486801223421935e-08|Freefall
94.83789825439453,50.486534118652344,-811.2081298828125|0.9897746443748474,0,0.14263997972011566|-4.429924871374169e-09,1,3.073911969408982e-08|Freefall
95.45649719238281,50.00998306274414,-811.1190185546875|0.9900282621383667,0,0.1408691257238388|3.4770162304909036e-09,1,-2.443647062477794e-08|Freefall
95.95150756835938,49.567440032958984,-811.0486450195312|0.9905085563659668,0,0.13745111227035522|9.51224787826277e-09,1,-6.854773459963326e-08|Freefall
96.32292938232422,49.199764251708984,-810.9970092773438|0.9909852147102356,0,0.13397155702114105|1.3739937188006479e-08,1,-1.0163407182517403e-07|Freefall
96.94229125976562,48.51884078979492,-810.9132080078125|0.9914170503616333,0,0.1307373195886612|1.8395768464074536e-08,1,-1.3950015897989942e-07|Freefall
97.4380111694336,47.91279220581055,-810.8477783203125|0.9918853044509888,0,0.12713660299777985|1.4701650563608837e-08,1.0000001192092896,-1.1469828820054317e-07|Freefall
97.93394470214844,47.25224685668945,-810.7841186523438|0.9923250675201416,0,0.12365725636482239|1.1206891414872189e-08,1.0000001192092896,-8.99330885317795e-08|Freefall
98.43009948730469,46.53719711303711,-810.7222900390625|0.9927524328231812,0,0.12017826735973358|7.893612874454448e-09,1.0000001192092896,-6.520649975527704e-08|Freefall
98.92646789550781,45.767642974853516,-810.6621704101562|0.9929794669151306,0,0.1182868629693985|4.824118882140738e-09,1,-4.0496896502872914e-08|Freefall
99.4229507446289,44.943599700927734,-810.60302734375|0.993556022644043,0,0.11334261298179626|1.8066882434553122e-09,1.0000001192092896,-1.5837343880775734e-08|Freefall
99.91971588134766,44.0650520324707,-810.5462036132812|0.9939467906951904,0,0.10986293852329254|-9.692255886761814e-10,1.0000001192092896,8.768731518671302e-09|Freefall
100.41668701171875,43.13199996948242,-810.4912719726562|0.9945000410079956,0,0.10473641753196716|-3.5100728990045127e-09,1.0000001192092896,3.332907283493114e-08|Freefall
100.91392517089844,42.14445114135742,-810.4388427734375|0.995026707649231,0,0.09960947930812836|-5.787944346025142e-09,1.0000001192092896,5.781737755228278e-08|Freefall
101.41142272949219,41.1024055480957,-810.3889770507812|0.9953864812850952,0,0.09594748169183731|-7.927572376331682e-09,1.0000001192092896,8.22428916080753e-08|Freefall
101.73846435546875,40.28510284423828,-810.3572998046875|0.995911717414856,0,0.09033212810754776|-9.124798694415404e-09,1,1.0060090716024206e-07|Landed
102.15191650390625,39.147674560546875,-810.3194580078125|0.9960761070251465,0,0.08850076794624329|-7.067411544880997e-09,1,7.954371739060662e-08|Landed
102.56450653076172,38.325138092041016,-810.28271484375|0.9960761070251465,0,0.08850076794624329|-3.8498577659140665e-09,1,4.333014658186585e-08|Running
103.08021545410156,38.224273681640625,-810.2369384765625|0.9962317943572998,0,0.08673101663589478|1.7001668128902026e-10,1,-1.952888739609193e-09|Running
103.49278259277344,39.08972930908203,-810.2003173828125|0.9963791370391846,0,0.08502158522605896|3.2598423960195078e-09,1,-3.820252203468044e-08|Running
103.81707763671875,39.70305252075195,-810.1718139648438|0.9965183734893799,0,0.08337380737066269|5.472497566216816e-09,1,-6.540956576372992e-08|Running
104.40713500976562,40.657127380371094,-810.1214599609375|0.9965234994888306,0,0.08331319689750671|9.256455157924393e-09,1.0000001192092896,-1.1071805516849054e-07|Running
104.90446472167969,41.35908508300781,-810.0799560546875|0.9965285062789917,0,0.0832519456744194|7.803642176895664e-09,1,-9.340985229755461e-08|Jumping
105.40271759033203,42.00653839111328,-810.0382690429688|0.9965285062789917,0,0.0832519456744194|6.358857884691815e-09,1,-7.61157394890688e-08|Freefall
105.9009780883789,42.5994873046875,-809.9965209960938|0.9965285062789917,0,0.0832519456744194|4.915330364951842e-09,1,-5.883666531758536e-08|Freefall
106.27467346191406,43.00843048095703,-809.9652099609375|0.9965285062789917,0,0.0832519456744194|3.833495743066351e-09,1,-4.5887070143635356e-08|Freefall
106.89749908447266,43.621891021728516,-809.9130249023438|0.9965285062789917,0,0.0832519456744194|2.0319781413036253e-09,1,-2.4322845959545702e-08|Freefall
107.39575958251953,44.05134201049805,-809.8712768554688|0.9965285062789917,0,0.0832519456744194|5.92148663436376e-10,1,-7.088039044589323e-09|Freefall
107.8940200805664,44.42628860473633,-809.8295288085938|0.9963947534561157,0,0.08483915776014328|-8.599452816504538e-10,1.0000001192092896,1.0099640235239349e-08|Freefall
108.39222717285156,44.74674606323242,-809.787109375|0.9963843822479248,0,0.08496099710464478|-2.324717751633898e-09,1.0000001192092896,2.726324410673442e-08|Freefall
108.89042663574219,45.012699127197266,-809.74462890625|0.9963843822479248,0,0.08496099710464478|-3.7871528135724475e-09,1.0000001192092896,4.44140262345627e-08|Freefall
109.38862609863281,45.22414779663086,-809.7021484375|0.9963791370391846,0,0.08502158522605896|-5.25135623874462e-09,1,6.154133558311514e-08|Freefall
109.88682556152344,45.381099700927734,-809.65966796875|0.9963791370391846,0,0.08502158522605896|-6.711948774551502e-09,1,7.865821061159295e-08|Freefall
110.38502502441406,45.48355484008789,-809.6171875|0.9963791370391846,0,0.08502158522605896|-8.171287646518977e-09,1,9.576039161629524e-08|Freefall
110.88322448730469,45.5315055847168,-809.57470703125|0.9963791370391846,0,0.08502158522605896|-6.951253794795775e-09,1,8.146265173536449e-08|Freefall
111.38142395019531,45.52495193481445,-809.5322265625|0.9962477684020996,0,0.08654797822237015|-4.93346208330081e-09,1.0000001192092896,5.6788739044577596e-08|Freefall
111.75502014160156,45.48427963256836,-809.4998779296875|0.9962371587753296,0,0.08666978776454926|-3.331154019292626e-09,1.0000001192092896,3.829038419667086e-08|Freefall
112.37765502929688,45.34836196899414,-809.445556640625|0.9962317943572998,0,0.08673101663589478|-6.516135964140801e-10,1,7.484729280804459e-09|Freefall
112.87576293945312,45.17831039428711,-809.402099609375|0.9962317943572998,0,0.08673101663589478|1.4918247748241242e-09,1,-1.7135775465249026e-08|Freefall
113.37387084960938,44.95376205444336,-809.358642578125|0.9962317943572998,0,0.08673101663589478|3.6334371067425764e-09,1,-4.173530854245655e-08|Freefall
113.87197875976562,44.67471694946289,-809.315185546875|0.9962317943572998,0,0.08673101663589478|5.773219236004934e-09,1,-6.631381666011293e-08|Freefall
114.37008666992188,44.34116744995117,-809.271728515625|0.9962317943572998,0,0.08673101663589478|7.048141625887183e-09,1,-8.09581521821201e-08|Freefall
114.86819458007812,43.9531135559082,-809.228271484375|0.9962317943572998,0,0.08673101663589478|5.733983954314681e-09,1,-6.586314071910238e-08|Freefall
115.24177551269531,43.62631607055664,-809.1956787109375|0.9962317943572998,0,0.08673101663589478|4.749103332812865e-09,1,-5.455035534396302e-08|Freefall
115.86441040039062,43.01352310180664,-809.141357421875|0.9962317943572998,0,0.08673101663589478|3.1090361396479693e-09,1,-3.57117997396017e-08|Freefall
116.36251831054688,42.461971282958984,-809.097900390625|0.9962317943572998,0,0.08673101663589478|1.798243109973896e-09,1,-2.0655436472338806e-08|Freefall
116.86062622070312,41.85592269897461,-809.054443359375|0.9962317943572998,0,0.08673101663589478|4.8856896306404e-10,1,-5.611924258630552e-09|Freefall
117.35873413085938,41.195377349853516,-809.010986328125|0.9962317943572998,0,0.08673101663589478|-8.199863010815989e-10,1,9.418735125166222e-09|Freefall
117.85684204101562,40.48032760620117,-808.967529296875|0.9962317943572998,0,0.08673101663589478|-2.127424236775255e-09,1,2.443655944261991e-08|Freefall
118.35494995117188,39.71077346801758,-808.924072265625|0.9962317943572998,0,0.08673101663589478|-3.433745510150743e-09,1,3.944155935187155e-08|Freefall
118.72853088378906,39.09785079956055,-808.8914794921875|0.9962317943572998,0,0.08673101663589478|-4.412753273896897e-09,1,5.068688224696416e-08|Freefall
119.35116577148438,38.008182525634766,-808.837158203125|0.9960978031158447,0,0.08825719356536865|-6.146518849448057e-09,1.0000001192092896,6.937150232033673e-08|Freefall
119.7247085571289,37.31350326538086,-808.8040771484375|0.9959393739700317,0,0.09002669155597687|-7.279732816556361e-09,1.0000001192092896,8.053358868664873e-08|Freefall
120.34716796875,36.087581634521484,-808.747802734375|0.9957890510559082,0,0.09167484939098358|-5.858970197891722e-09,1.0000001192092896,6.364120963553432e-08|Freefall
120.8450698852539,35.045536041259766,-808.7019653320312|0.9956244230270386,0,0.09344516694545746|-4.046640356136777e-09,1,4.311548806867904e-08|Freefall
121.34288024902344,33.9489860534668,-808.6552124023438|0.9954568147659302,0,0.09521449357271194|-2.1669310790173313e-09,1,2.265501919396229e-08|Freefall
121.84060668945312,32.79793167114258,-808.607666015625|0.9952918291091919,0,0.09692374616861343|-2.2071025562730995e-10,1,2.2664323751087068e-09|Freefall
122.33827209472656,31.592382431030273,-808.5592651367188|0.9949592351913452,0,0.10028022527694702|1.8142399804688125e-09,1,-1.8000505974669068e-08|Freefall
122.83576202392578,30.332334518432617,-808.5092163085938|0.9947729110717773,0,0.10211171954870224|3.9226506487466395e-09,1,-3.821448402163696e-08|Freefall
123.33314514160156,29.017786026000977,-808.4581909179688|0.9945896863937378,0,0.10388172417879105|6.095705273878593e-09,1,-5.836180960727688e-08|Freefall
123.8304443359375,27.64873695373535,-808.40625|0.9942399263381958,0,0.1071777492761612|7.539714630411254e-09,1.0000001192092896,-6.994255130621241e-08|Freefall
124.32756805419922,26.225191116333008,-808.3527221679688|0.9940341711044312,0,0.10906986147165298|6.169653232745986e-09,1.0000001192092896,-5.6228603995123194e-08|Freefall
124.8245849609375,24.747142791748047,-808.2981567382812|0.9938383102416992,0,0.11084016412496567|4.749957316363407e-09,1.0000001192092896,-4.259005947915284e-08|Freefall
125.25464630126953,23.214595794677734,-808.2503051757812|0.993429958820343,0,0.11444167047739029|3.3460860748846244e-09,1.0000001192092896,-2.9046256955211902e-08|Landed
125.56358337402344,22.51688575744629,-808.2149047851562|0.9932174682617188,0,0.11627197265625|2.2165553836828167e-09,1.0000001192092896,-1.8934240841872452e-08|Landed
126.07776641845703,22.49007797241211,-808.1548461914062|0.9930158257484436,0,0.11798147857189178|2.5712465490101977e-10,1,-2.1641433090024975e-09|Running
126.48902893066406,22.463573455810547,-808.1060791015625|0.9928040504455566,0,0.11975080519914627|-1.3494695361160325e-09,1.0000001192092896,1.1187890613939544e-08|Running
126.79740905761719,22.36565589904785,-808.0689697265625|0.9925963282585144,0,0.12146051228046417|-2.588895542388059e-09,1.0000001192092896,2.1156902008101497e-08|Running
127.3112564086914,22.1123046875,-808.0061645507812|0.9923781156539917,0,0.1232299655675888|-4.6804915498910304e-09,1,3.769227063799008e-08|Running
127.72224426269531,21.848155975341797,-807.9552001953125|0.992378294467926,0,0.12322904169559479|-6.322132595215635e-09,1.0000001192092896,5.091289523306841e-08|Running
128.13320922851562,21.52950668334961,-807.9041748046875|0.9921643137931824,0,0.12493988871574402|-4.261834884999871e-09,1,3.3843797098143114e-08|Running
128.5441131591797,21.15635871887207,-807.8524780273438|0.9919477105140686,0,0.12664850056171417|-2.152525713228215e-09,1.0000001192092896,1.6859203810781764e-08|Running
128.95494079589844,20.728708267211914,-807.8001098632812|0.9919477105140686,0,0.12664850056171417|1.3413069266388078e-11,1.0000001192092896,-1.0505503411639694e-10|Running
129.3657684326172,20.24656105041504,-807.7476196289062|0.9917200207710266,0,0.1284186840057373|2.1993631360572863e-09,1.0000001192092896,-1.6984698092414874e-08|Running
129.7764892578125,19.93709373474121,-807.6945190429688|0.9917200207710266,0,0.1284186840057373|4.383281293485197e-09,1.0000001192092896,-3.385012092849138e-08|Running
130.18719482421875,19.801212310791016,-807.6412963867188|0.9914973974227905,0,0.13012650609016418|5.674510639153141e-09,1,-4.323686653151526e-08|Running
130.49517822265625,19.66353416442871,-807.6009521484375|0.9914973974227905,0,0.13012650609016418|4.416522703110104e-09,1,-3.365164502611151e-08|Running
131.00848388671875,19.365947723388672,-807.5335083007812|0.9914973974227905,0,0.13012650609016418|2.3216062405850835e-09,1,-1.768945168123537e-08|Running
131.41912841796875,19.066564559936523,-807.4795532226562|0.9912635684013367,0,0.13189585506916046|6.629365945087784e-10,1,-4.982301238243281e-09|Running
131.9322967529297,18.61569595336914,-807.4113159179688|0.9912635684013367,0,0.13189585506916046|-1.4475850518280708e-09,1,1.0879328549151523e-08|Running
132.44544982910156,18.15630340576172,-807.3429565429688|0.9910344481468201,0,0.13360685110092163|-3.5934519804214915e-09,1.0000001192092896,2.665458076478444e-08|Running
132.8559112548828,17.916156768798828,-807.2877197265625|0.9908025860786438,0,0.1353154480457306|-5.354377830002477e-09,1,3.920566271631287e-08|Running
132.95851135253906,17.847604751586914,-807.2738037109375|0.9903214573860168,0,0.13879331946372986|-5.927594859400642e-09,1.0000001192092896,4.229471883832048e-08|Running
133.47122192382812,17.45374870300293,-807.2022705078125|0.9903214573860168,0,0.13879331946372986|-4.28704227672938e-09,1.0000001192092896,3.0589006883019465e-08|Running
133.88137817382812,17.142013549804688,-807.1448974609375|0.9895803928375244,0,0.14398224651813507|-2.3226049972180363e-09,1.0000001192092896,1.596310994500527e-08|Running
134.39373779296875,16.860214233398438,-807.0706787109375|0.9895803928375244,0,0.14398224651813507|3.307162321775081e-10,1.0000001192092896,-2.2729906845597725e-09|Running
134.9060516357422,16.49325942993164,-806.9962158203125|0.9895803928375244,0,0.14398224651813507|2.9812090573955174e-09,1.0000001192092896,-2.048965086487442e-08|Running
135.21343994140625,16.232208251953125,-806.9515380859375|0.9895803928375244,0,0.14398224651813507|4.570146039384326e-09,1.0000001192092896,-3.141030902042985e-08|Running
135.5208282470703,16.010530471801758,-806.9068603515625|0.9895803928375244,0,0.14398224651813507|6.158063392547319e-09,1.0000001192092896,-4.2323961224610684e-08|Running
135.93067932128906,15.762862205505371,-806.8472900390625|0.9895803928375244,0,0.14398224651813507|4.399453690240307e-09,1.0000001192092896,-3.023715322569842e-08|Running
136.3405303955078,15.580917358398438,-806.7877197265625|0.9895803928375244,0,0.14398224651813507|2.6423485621762666e-09,1.0000001192092896,-1.8160685399948306e-08|Running
136.75038146972656,15.344472885131836,-806.7281494140625|0.9895803928375244,0,0.14398224651813507|8.867431233738898e-10,1.0000001192092896,-6.094526217026441e-09|Running
137.1602325439453,15.05352783203125,-806.6685791015625|0.9895803928375244,0,0.14398224651813507|-8.673620710553109e-10,1.0000001192092896,5.961322102621125e-09|Running
