Mt Seru|true|32212
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9903208017349243,0,0.13879750669002533|-7.8000947714707e-12,1,5.56537108065136e-11|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9908023476600647,0,0.13531748950481415|-7.148457936700936e-10,1.0000001192092896,5.234141564613992e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9910344481468201,0,0.13360685110092163|-1.395065285514363e-09,1.0000001192092896,1.034795626964069e-08|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9912635684013367,0,0.13189585506916046|-2.048715863622874e-09,1,1.5397128905192403e-08|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9928038716316223,0,0.1197517067193985|-1.5127880059750964e-09,1,1.2541798710685725e-08|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.995093822479248,0,0.09893566370010376|-7.873654506163064e-10,1,7.91931320520689e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9972191452980042,0,0.07452592253684998|-3.0844388154704916e-10,1.0000001192092896,4.127236774564835e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9988280534744263,0,0.048400282859802246|-6.006728447971454e-11,1.0000001192092896,1.2395979798185408e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999712347984314,0,0.023987237364053726|1.9181089008779573e-11,1.0000001192092896,-7.994072626082982e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9999791383743286,0,0.006469591520726681|1.437434719864239e-11,1.0000001192092896,-2.2217858663964307e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999983549118042,0,-0.0057372101582586765|-1.847218211725732e-11,1,-3.219662092490694e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9999194145202637,0,-0.012695064768195152|-2.6600820504651956e-11,1,-2.0951982371286704e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-1.783574156422052e-11,1.0000001192092896,-1.0984403386871122e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-1.7313887953548934e-12,1.0000001192092896,-1.0663011446032655e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|1.435921260367623e-11,1.0000001192092896,8.843331067431848e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|3.043607380015523e-11,1.0000001192092896,1.8744501506517963e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|4.649920379296013e-11,1.0000001192092896,2.8637217042160046e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|3.9120422179461656e-11,1.0000001192092896,2.4092885464455094e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|2.3941881463485082e-11,1.0000001192092896,1.4744958587442625e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|8.77630520340622e-12,1.0000001192092896,5.405015879311748e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-6.37632308064795e-12,1.0000001192092896,-3.926952096833247e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-2.1516014664380023e-11,1.0000001192092896,-1.3250953667665044e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-3.664276868042826e-11,1.0000001192092896,-2.256698605762608e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-5.175660941492133e-11,1.0000001192092896,-3.1875067030284754e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-3.541273524421129e-11,1.0000001192092896,-2.1809452022125697e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-1.9082825597482866e-11,1.0000001192092896,-1.1752436801515387e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-2.7668516349582672e-12,1.0000001192092896,-1.7040061028872344e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|1.3535185992841203e-11,1.0000001192092896,8.335842571760566e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|2.982330007950118e-11,1.0000001192092896,1.8367115606210405e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|4.6097497347075134e-11,1.0000001192092896,2.8389819384244674e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|4.579089191159014e-11,1.0000001192092896,2.8200992652216428e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|2.8924716788392146e-11,1.0000001192092896,1.7813710506686675e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|1.2072946808938667e-11,1.0000001192092896,7.435300708458215e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-4.7644349403241915e-12,1.0000001192092896,-2.934247012031932e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-2.1587440168779892e-11,1.0000001192092896,-1.3294940703900693e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-3.839607104483278e-11,1.0000001192092896,-2.364678231003836e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-4.7244045481287245e-11,1.0000001192092896,-2.909593899147467e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-3.225575362364452e-11,1.0000001192092896,-1.986517839114299e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-1.728026402525451e-11,1.0000001192092896,-1.0642303704955225e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|-2.3175619409676607e-12,1.0000001192092896,-1.4273045245705163e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|1.263235956810993e-11,1.0000001192092896,7.779824007236869e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|2.756951437976607e-11,1.0000001192092896,1.6979089245694468e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998682737350464,0,-0.016235195100307465|4.2495774260631336e-11,1.0000001192092896,2.6171644851302744e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|5.376614084506848e-11,1.0000001192092896,2.9957247793532815e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|3.429994829828864e-11,1.0000001192092896,1.9111137117278076e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|1.4846190249384605e-11,1.0000001192092896,8.271953677585486e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-4.590968230577808e-12,1.0000001192092896,-2.55798132675622e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-2.401154795828031e-11,1.0000001192092896,-1.337867816531002e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-4.3415555872616807e-11,1.0000001192092896,-2.4190141001412258e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-5.3740227545784336e-11,1.0000001192092896,-2.994281045332059e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-3.6879325981953315e-11,1.0000001192092896,-2.0548305279532997e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-2.003280527573814e-11,1.0000001192092896,-1.1161815915983198e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-3.2006574040427394e-12,1.0000001192092896,-1.7833322318860922e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|1.3617129993037658e-11,1.0000001192092896,7.587149797316783e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|3.042056190283304e-11,1.0000001192092896,1.6949633918628138e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|4.7209649384205576e-11,1.0000001192092896,2.6304123323939166e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|6.398441498856045e-11,1.0000001192092896,3.5650633556372213e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|4.2666259414403385e-11,1.0000001192092896,2.3772652735232214e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|2.136628894644499e-11,1.0000001192092896,1.1904801588968894e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|8.449009314447434e-14,1.0000001192092896,4.7075923888251214e-12|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-2.117915565147399e-11,1.0000001192092896,-1.1800534993611222e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9998390674591064,0,-0.017944734543561935|-4.242465406756324e-11,1.0000001192092896,-2.3638033752604315e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9997705221176147,0,-0.02142365463078022|-7.312613015120206e-11,1.0000001192092896,-3.4125524628336734e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9995955228805542,0,-0.028443031013011932|-6.270685359854866e-11,1.0000001192092896,-2.2037556224319133e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|-4.374836604092991e-11,1.0000001192092896,-1.2350616085399224e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|-9.405511092186458e-12,1.0000001192092896,-2.655272945961684e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|2.490799927423737e-11,1.0000001192092896,7.031785709266103e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|5.919215118055376e-11,1.0000001192092896,1.6710556272059307e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|9.344656992649192e-11,1.0000001192092896,2.6380930773228783e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|1.2767215062936543e-10,1.0000001192092896,3.6043166229404733e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999373197555542,0,-0.03539980947971344|8.557397845887493e-11,1.0000001192092896,2.415841748870662e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9993089437484741,0,-0.0371696799993515|4.8118117129680726e-11,1.0000001192092896,1.2936582916012185e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9993089437484741,0,-0.0371696799993515|6.4913885898520984e-12,1.0000001192092896,1.745213557002856e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9993089437484741,0,-0.0371696799993515|-3.5099752965228603e-11,1.0000001192092896,-9.43658817753601e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999243974685669,0,-0.03887847810983658|-7.770665361173101e-11,1.0000001192092896,-1.997195075986724e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.999243974685669,0,-0.03887847810983658|-1.1861626958431515e-10,1.0000001192092896,-3.04864267164362e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9990999698638916,0,-0.04242008924484253|-1.0529765254174706e-10,1.0000001192092896,-2.4800248521472668e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9989461898803711,0,-0.04589769244194031|-8.191355926889798e-11,1.0000001192092896,-1.782818115358964e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9987802505493164,0,-0.04937748983502388|-3.8402562380079885e-11,1.0000001192092896,-7.767855803031409e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9986912608146667,0,-0.05114607512950897|-1.7971454402757048e-12,1.0000001192092896,-3.5091516498164665e-11|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9986021518707275,0,-0.05285676196217537|3.41282349602956e-11,1.0000001192092896,6.447714029356177e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9986021518707275,0,-0.05285676196217537|7.005594021558537e-11,1.0000001192092896,1.3235395002197947e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|9.058228472857976e-11,1,1.6557835103014895e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.280733572117114e-11,1,1.1480759676274488e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|3.505618711985292e-11,1,6.408035768679099e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|7.32874091274871e-12,1,1.3396447839930659e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-2.0374967338310235e-11,1,-3.724407449112732e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.805496972570822e-11,1,-8.784126204197662e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-7.571124283067832e-11,1,-1.3839508428148406e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-7.582851013765435e-11,1,-1.3860943504084844e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.8442132249970626e-11,1,-8.85489681579088e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-2.107919915006473e-11,1,-3.853136143483482e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.260328193341547e-12,1,1.1443460068427669e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|3.357644023926909e-11,1,6.137548247409086e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|6.086921938708301e-11,1,1.1126485288670551e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|7.541531982235838e-11,1,1.3785415031719594e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|5.1795338851245987e-11,1,9.467840955679208e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|2.8195539653053103e-11,1,5.153955595638138e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|4.615929600354507e-12,1,8.437610332645562e-11|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-1.8943482199551553e-11,1,-3.4627414824406344e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-4.24827430178798e-11,1,-7.765560416927997e-10|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-6.600179430771291e-11,1,-1.2064685916968187e-09|Running
-689.1250610351562,50.005916595458984,-874.9994506835938|0.9985069632530212,0,-0.05462492257356644|-6.570866073474235e-11,1,-1.2011102112907679e-09|Running
