tali|true|1067
607.7635498046875,689.143310546875,-835.4974975585938|0.8524582386016846,1.0255166671413463e-07,0.5227952599525452|-5.843622119527936e-08,1,-1.0087548218962183e-07|Running
608.1826171875,689.146484375,-835.2404174804688|0.8524582386016846,7.91587950743633e-08,0.5227952599525452|-4.5587448482820037e-08,1,-7.708064941880366e-08|Running
608.6016845703125,689.148681640625,-834.9833374023438|0.8524582386016846,5.577593142902515e-08,0.5227952599525452|-3.274416826570814e-08,1,-5.329599517267525e-08|Running
609.020751953125,689.14990234375,-834.7262573242188|0.8524582386016846,3.2403068672692825e-08,0.5227952599525452|-1.990637699122999e-08,1,-2.952152300395028e-08|Running
609.6493530273438,689.150146484375,-834.3406372070312|0.8524582386016846,-2.6374862294176182e-09,0.5227952599525452|-6.599775725923962e-10,1,6.121113838020165e-09|Running
609.85888671875,689.149658203125,-834.2120971679688|0.8524582386016846,-1.4312675489236426e-08,0.5227952599525452|5.752746723430846e-09,1,1.7996908852069282e-08|Running
610.2779541015625,689.14794921875,-833.9550170898438|0.8524582386016846,-3.765556755297439e-08,0.5227952599525452|1.857408271632721e-08,1,4.174088275021859e-08|Running
610.697021484375,689.145263671875,-833.6979370117188|0.8524582386016846,-6.098847649127492e-08,0.5227952599525452|3.138993776019561e-08,1,6.547470121631704e-08|Running
611.1160888671875,689.1415405273438,-833.4408569335938|0.8524582386016846,-8.431140940956539e-08,0.5227952599525452|4.4200312743214454e-08,1,8.919836602672149e-08|Running
611.7446899414062,689.13427734375,-833.0552368164062|0.8524582386016846,-7.397299128797385e-08,0.5227952599525452|3.929043757011641e-08,1,7.742902852214684e-08|Running
612.1637573242188,689.1279907226562,-832.7981567382812|0.8548206686973572,-6.710703104317872e-08,0.5189234614372253|3.636972323306509e-08,1,6.940798868981801e-08|Running
612.5836791992188,689.12109375,-832.5425415039062|0.8618065714836121,-6.031276456042178e-08,0.5072370171546936|3.404123916084245e-08,1,6.106770911173953e-08|Running
613.0064697265625,689.1152954101562,-832.2916259765625|0.8708717226982117,-5.3614996886608424e-08,0.49151039123535156|3.187539476812162e-08,1,5.2604416822532585e-08|Running
613.433349609375,689.1122436523438,-832.0477294921875|0.8817983269691467,-4.7040117578944773e-08,0.4716266989707947|2.9793303824021677e-08,1,4.4035747492898736e-08|Running
613.8653564453125,689.1135864257812,-831.8130493164062|0.8922713994979858,-4.059141289758372e-08,0.45149940252304077|2.75187890252937e-08,1,3.5519835961395074e-08|Running
614.0835571289062,689.1163330078125,-831.6998901367188|0.9099618792533875,-3.748324672869785e-08,0.41469189524650574|2.7313667771977634e-08,1,3.045357388486991e-08|Running
614.5279541015625,689.1299438476562,-831.4903564453125|0.9226722717285156,-3.145514071434263e-08,0.38558506965637207|2.500318885267916e-08,1,2.174718893854788e-08|Running
614.979248046875,689.1494750976562,-831.2964477539062|0.9452909827232361,-2.5820005689070058e-08,0.32622841000556946|2.3071015320397237e-08,1,1.229562762716796e-08|Running
615.6719360351562,689.1886596679688,-831.0472412109375|0.9603910446166992,-1.7855711575975874e-08,0.2786558270454407|1.8764762188538953e-08,1,-5.949943870930952e-10|Running
615.9063110351562,689.1988525390625,-830.97412109375|0.9780749082565308,-1.5448280876739773e-08,0.20825348794460297|1.704252028389419e-08,1,-5.861032548182266e-09|Running
616.382568359375,689.2054443359375,-830.8556518554688|0.98724764585495,-1.0988260967792485e-08,0.1591918170452118|1.3470607740373453e-08,1,-1.4514348833927215e-08|Running
616.86083984375,689.64501953125,-830.7445678710938|0.9957888722419739,-7.029420601156744e-09,0.0916762575507164|9.195385786142651e-09,1,-2.3203851284847588e-08|Jumping
617.3403930664062,690.0709228515625,-830.6408081054688|0.9995332360267639,3.719679853020352e-08,0.0305495485663414|-3.622255206892078e-08,1,-3.244410606839665e-08|Freefall
617.8213500976562,690.4832153320312,-830.5468139648438|0.9996270537376404,1.581830701979925e-07,-0.027309512719511986|-1.5892730687028234e-07,1,-2.5081359211753806e-08|Freefall
618.3032836914062,690.8818969726562,-830.4627075195312|0.9966738820075989,3.030579307505832e-07,-0.08149309456348419|-3.03994625028281e-07,1,9.132591349825248e-10|Freefall
618.7859497070312,691.2669067382812,-830.3885498046875|0.9924589991569519,3.9972999843485013e-07,-0.12257720530033112|-3.9887476077637984e-07,1,3.151620120434018e-08|Freefall
619.26904296875,691.6383666992188,-830.32421875|0.9865828156471252,4.260711818915297e-07,-0.16326142847537994|-4.222301015488483e-07,1,5.8226888199897076e-08|Freefall
619.7523803710938,691.9961547851562,-830.2698364257812|0.9816625714302063,3.950192422053078e-07,-0.19062697887420654|-3.8890343034836405e-07,1,6.94933746103743e-08|Freefall
620.4772338867188,692.5072631835938,-830.2069091796875|0.9771593809127808,2.9954398428344575e-07,-0.2125077247619629|-2.9262710654620605e-07,1,6.400081531410251e-08|Freefall
620.7188110351562,692.6708374023438,-830.19091796875|0.971653938293457,2.687965547920612e-07,-0.23640777170658112|-2.6073774961332674e-07,1,6.535186258815884e-08|Freefall
621.20166015625,692.9877319335938,-830.1663818359375|0.9705958366394043,2.2843458680199547e-07,-0.24071499705314636|-2.2050521408800705e-07,1,5.987639184468208e-08|Freefall
621.68408203125,693.291015625,-830.1517333984375|0.9704623222351074,1.9607102785812458e-07,-0.24125277996063232|-1.8831637760285957e-07,1,5.5199716797460496e-08|Freefall
622.1661376953125,693.5806884765625,-830.1470336914062|0.970408022403717,1.6478283271226246e-07,-0.24147114157676697|-1.5720260648777185e-07,1,5.0656808525673114e-08|Freefall
622.6477661132812,693.856689453125,-830.1522216796875|0.9703894853591919,1.3363158757329074e-07,-0.24154546856880188|-1.262339992535999e-07,1,4.6100829820261424e-08|Freefall
623.1290283203125,694.119140625,-830.1673583984375|0.9703832268714905,1.0250823834212497e-07,-0.24157069623470306|-9.529642852612596e-08,1,4.153726251843182e-08|Freefall
623.60986328125,694.367919921875,-830.1924438476562|0.9703810811042786,7.139998103866674e-08,-0.24157929420471191|-6.437493027533492e-08,1,3.697241623967784e-08|Freefall
624.09033203125,694.6030883789062,-830.2274169921875|0.9693140983581543,4.052779800645112e-08,-0.24582548439502716|-3.350397648205217e-08,1,3.275462390206485e-08|Freefall
624.5703125,694.8246459960938,-830.2723388671875|0.9648449420928955,1.4570598949603664e-08,-0.262819766998291|-6.884139924778765e-09,1,3.0166955156119e-08|Freefall
625.0497436523438,695.0325317382812,-830.3271484375|0.9612182974815369,2.377014363119656e-09,-0.27578863501548767|6.387399498208879e-09,1,3.088125666295127e-08|Freefall
625.7672729492188,695.3189086914062,-830.4279174804688|0.9587271809577942,7.087865849797481e-09,-0.2843276560306549|3.982533414159661e-09,1,3.835725692624692e-08|Freefall
626.2444458007812,695.4927368164062,-830.5074462890625|0.9546854496002197,2.2793935627873907e-08,-0.2976166605949402|-9.207898443719387e-09,1,4.7051429419298074e-08|Freefall
626.482666015625,695.5745239257812,-830.5509033203125|0.953176736831665,3.463657805014009e-08,-0.30241379141807556|-1.961952555973312e-08,1,5.269502523219671e-08|Freefall
626.9581298828125,695.7279663085938,-830.645263671875|0.9531696438789368,6.106206029699024e-08,-0.30243608355522156|-4.352261839812854e-08,1,6.473309355214951e-08|Freefall
627.4323120117188,695.8677368164062,-830.7494506835938|0.9531137943267822,8.819862529207967e-08,-0.3026120960712433|-6.809213459746388e-08,1,7.699318871345895e-08|Freefall
627.9053344726562,695.993896484375,-830.8634643554688|0.9517619609832764,1.1572253555414136e-07,-0.30683737993240356|-9.267862566275653e-08,1,8.967144538019056e-08|Freefall
628.3770751953125,696.1064453125,-830.9873657226562|0.9517337083816528,1.266777474029368e-07,-0.3069249093532562|-1.0366516534077164e-07,1,9.12800359742505e-08|Freefall
629.0819702148438,696.2496948242188,-831.191650390625|0.9504005908966064,1.1835864910381133e-07,-0.31102848052978516|-9.899261499413115e-08,1,7.805076762679164e-08|Freefall
629.5499877929688,696.3281860351562,-831.33984375|0.9489651918411255,1.143276193715792e-07,-0.31538084149360657|-9.724784888476279e-08,1,6.98926285735979e-08|Freefall
630.0167846679688,696.3930053710938,-831.4938354492188|0.9475289583206177,1.1185360193621818e-07,-0.3196699619293213|-9.704914560870748e-08,1,6.224147597322371e-08|Freefall
630.4828491210938,696.4442749023438,-831.650390625|0.9446434378623962,1.1202227057083292e-07,-0.3280986547470093|-9.915904541912823e-08,1,5.593539853521179e-08|Freefall
630.9476318359375,696.4818725585938,-831.8107299804688|0.941657543182373,1.1720418058303039e-07,-0.3365726172924042|-1.0609485201484858e-07,1,5.13980218386223e-08|Freefall
631.1793823242188,696.4955444335938,-831.8927001953125|0.9369186162948608,1.224427137458406e-07,-0.34954750537872314|-1.1162175894696702e-07,1,5.1100943920801e-08|Freefall
631.8712158203125,696.5162353515625,-832.1481323242188|0.9339268207550049,1.507564491021185e-07,-0.3574642539024353|-1.4175846274611104e-07,1,5.1374158260841796e-08|Freefall
632.10107421875,696.5162963867188,-832.2353515625|0.928753674030304,1.461261831536831e-07,-0.3706974685192108|-1.3747855120982422e-07,1,4.975075995616862e-08|Freefall
632.5585327148438,696.5061645507812,-832.4154663085938|0.9254636168479919,1.4380088941834401e-07,-0.37883657217025757|-1.3640935492276185e-07,1,4.6349800442158084e-08|Freefall
633.0139770507812,696.4824829101562,-832.6006469726562|0.9202678203582764,1.512477751930419e-07,-0.3912891149520874|-1.4417297222735215e-07,1,4.745857040688861e-08|Freefall
633.4671020507812,696.4451293945312,-832.7915649414062|0.9131118655204773,1.5575891154639976e-07,-0.40770912170410156|-1.481858475926856e-07,1,5.015499837668358e-08|Freefall
633.9171752929688,696.3941650390625,-832.9893188476562|0.9056112766265869,1.6452985107662244e-07,-0.42410868406295776|-1.5496966909722687e-07,1,5.703153860281418e-08|Freefall
634.3638305664062,696.32958984375,-833.1947021484375|0.8938943147659302,1.6918451706260385e-07,-0.4482778012752533|-1.563050631148144e-07,1,6.572781074964951e-08|Freefall
635.0265502929688,696.2071533203125,-833.5180053710938|0.8858497738838196,1.7036339272635814e-07,-0.46397221088409424|-1.5364923910965445e-07,1,7.382606526107338e-08|Freefall
635.2454833984375,696.1595458984375,-833.6298217773438|0.8722673654556274,1.7525587736599846e-07,-0.48902928829193115|-1.548048942368041e-07,1,8.22540187073173e-08|Freefall
635.6798095703125,696.0540771484375,-833.8599853515625|0.8591011166572571,1.828145457238861e-07,-0.5118058919906616|-1.5755261983940727e-07,1,9.273225032302435e-08|Freefall
636.109375,695.9349975585938,-834.0988159179688|0.8472312688827515,1.7733881918502448e-07,-0.531224250793457|-1.4995330843703414e-07,1,9.467505890370376e-08|Freefall
636.533935546875,695.8023071289062,-834.3463134765625|0.8397125005722046,1.7318313894065795e-07,-0.5430312156677246|-1.4454644770012237e-07,1,9.540091383541949e-08|Freefall
637.1613159179688,695.57763671875,-834.7333984375|0.8276471495628357,1.7594432222267642e-07,-0.5612487196922302|-1.4392252012385143e-07,1,1.0125146587824929e-07|Freefall
637.5729370117188,695.410888671875,-835.001953125|0.8143645524978638,1.7838212329479575e-07,-0.5803536772727966|-1.433495526725892e-07,1,1.0621684509715124e-07|Freefall
637.7766723632812,695.3223876953125,-835.1393432617188|0.8005528450012207,1.8504246668271662e-07,-0.5992621779441833|-1.4612749055231689e-07,1,1.1357246876286808e-07|Freefall
638.179931640625,695.1351318359375,-835.4202880859375|0.7899073958396912,1.844395001171506e-07,-0.6132261753082275|-1.439570809225188e-07,1,1.1533549582054547e-07|Freefall
638.7739868164062,694.8287963867188,-835.8568115234375|0.7709138989448547,1.9198800771391689e-07,-0.6369394063949585|-1.4672426118522708e-07,1,1.2383634384605102e-07|Freefall
639.1624755859375,694.6074829101562,-836.15771484375|0.7469443082809448,1.957658213314062e-07,-0.6648865938186646|-1.4517107160827436e-07,1,1.3134737741893332e-07|Freefall
639.544677734375,694.3726196289062,-836.4663696289062|0.7314307689666748,1.922532248954667e-07,-0.6819157004356384|-1.3975659385323524e-07,1,1.3202651416577282e-07|Freefall
639.9205322265625,694.1240844726562,-836.7825927734375|0.7156115174293518,1.884656910533522e-07,-0.6984984874725342|-1.3404010701378866e-07,1,1.3249140806692594e-07|Freefall
640.2898559570312,693.8619384765625,-837.1062622070312|0.7026442289352417,1.8691240200041648e-07,-0.7115413546562195|-1.3061040249340294e-07,1,1.3370937779200176e-07|Freefall
640.6524658203125,693.586181640625,-837.4373168945312|0.6863546371459961,1.8309923177639575e-07,-0.7272670269012451|-1.2506149005275802e-07,1,1.3373725948895299e-07|Freefall
640.8312377929688,693.4431762695312,-837.6055297851562|0.6757851839065552,1.754264218334356e-07,-0.7370986342430115|-1.1800214849699842e-07,1,1.2980939345652587e-07|Freefall
641.1835327148438,693.14697265625,-837.9473266601562|0.666018009185791,1.7816481090449088e-07,-0.7459356784820557|-1.1808566569015966e-07,1,1.334131667363181e-07|Freefall
641.5288696289062,692.837158203125,-838.296142578125|0.659025251865387,1.6115383516535076e-07,-0.7521207928657532|-1.0568403752131417e-07,1,1.2166313467787404e-07|Freefall
641.8671264648438,692.513671875,-838.6519775390625|0.6586861610412598,1.5127828589811543e-07,-0.752417802810669|-9.920086085912772e-08,1,1.1421320067483975e-07|Freefall
642.1982421875,692.1765747070312,-839.0147705078125|0.6552169322967529,1.4303500961432292e-07,-0.7554407715797424|-9.331803596523969e-08,1,1.0840221165153707e-07|Freefall
642.5228881835938,691.8258666992188,-839.3837890625|0.6517928838729858,1.3637026086144033e-07,-0.7583969831466675|-8.84918591737005e-08,1,1.037608114984323e-07|Freefall
642.8440551757812,691.4614868164062,-839.7560424804688|0.6483486890792847,1.3138790677658108e-07,-0.7613435387611389|-8.476949631130992e-08,1,1.0038532849421244e-07|Freefall
643.159912109375,691.3666381835938,-840.1260375976562|0.6412889957427979,1.2750572864206333e-07,-0.767299473285675|-8.130892581448279e-08,1,9.821877000604218e-08|Landed
643.473388671875,691.353271484375,-840.4993286132812|0.6377299427986145,1.2380053249216871e-07,-0.7702600359916687|-7.844533200795922e-08,1,9.577751569622706e-08|Landed
643.785888671875,691.3514404296875,-840.8756103515625|0.6306883692741394,1.2011790317956184e-07,-0.7760362029075623|-7.517872546713988e-08,1,9.368577025270497e-08|Landed
644.0960693359375,691.3511962890625,-841.2552490234375|0.6271512508392334,1.164396081776431e-07,-0.7788974642753601|-7.236414489852905e-08,1,9.122682342876942e-08|Landed
644.4044799804688,691.3511962890625,-841.6370849609375|0.6236090064048767,1.1276366507217972e-07,-0.781736433506012|-6.95632067504448e-08,1,8.875552737208636e-08|Landed
644.7113037109375,691.3511962890625,-842.0206298828125|0.62005215883255,1.0908990333291513e-07,-0.7845606207847595|-6.677446151570621e-08,1,8.627281289363964e-08|Landed
645.0165405273438,691.2717895507812,-842.40576171875|0.6200518012046814,1.0541771189309657e-07,-0.7845608592033386|-6.439056221552164e-08,1,8.347628721594447e-08|Running
645.4738159179688,691.0865478515625,-842.984130859375|0.6164869070053101,9.991335758741116e-08,-0.7873651385307312|-6.043741507255618e-08,1,7.957486758414234e-08|Running
645.6256713867188,691.0174560546875,-843.1774291992188|0.6164868474006653,9.807935441585869e-08,-0.787365198135376|-5.924663426526422e-08,1,7.817793346021062e-08|Running
646.0805053710938,690.789794921875,-843.7579956054688|0.612907886505127,9.258079813889708e-08,-0.7901543378829956|-5.5320494851685e-08,1,7.425692416518359e-08|Running
646.2315063476562,690.7070922851562,-843.9519653320312|0.6093156337738037,9.074913265294526e-08,-0.7929278016090393|-5.379316547760027e-08,1,7.311147243171945e-08|Running
646.5316772460938,690.5314331054688,-844.34130859375|0.6057114005088806,8.708785514954798e-08,-0.7956844568252563|-5.108210388016232e-08,1,7.056421225115628e-08|Running
646.8300170898438,690.3422241210938,-844.7319946289062|0.602094292640686,8.342910717829e-08,-0.7984249591827393|-4.838361888914733e-08,1,6.800589602562468e-08|Running
647.2745361328125,690.0327758789062,-845.3201904296875|0.602094292640686,7.794391621018804e-08,-0.7984249591827393|-4.4818921907108233e-08,1,6.382402517601804e-08|Running
647.5704345703125,689.8095092773438,-845.7125244140625|0.602094292640686,7.428907622397674e-08,-0.7984249591827393|-4.244372675543673e-08,1,6.103760341602538e-08|Running
647.7183227539062,689.6927490234375,-845.9086303710938|0.602094292640686,7.246224242862809e-08,-0.7984249591827393|-4.125650931996461e-08,1,5.964484017795257e-08|Running
648.1619873046875,689.322021484375,-846.4968872070312|0.602094292640686,6.698408583361015e-08,-0.7984249591827393|-3.769638468043013e-08,1,5.54683374787146e-08|Running
648.3097534179688,689.191650390625,-846.69287109375|0.602094292640686,6.515881523228018e-08,-0.7984249591827393|-3.6510183321070144e-08,1,5.40767643997242e-08|Running
648.6051635742188,689.08935546875,-847.0846557617188|0.602094292640686,6.150944642513423e-08,-0.7984249591827393|-3.413854443579112e-08,1,5.1294513525590446e-08|Running
648.900390625,689.0751953125,-847.4761352539062|0.602093517780304,5.786163015386592e-08,-0.798425555229187|-3.176786478320537e-08,1,4.85134847849622e-08|Running
649.1952514648438,689.0816650390625,-847.8671264648438|0.602093517780304,5.421537707661628e-08,-0.798425555229187|-2.939825094472326e-08,1,4.573360712356589e-08|Running
649.489501953125,689.0831298828125,-848.2573852539062|0.602093517780304,5.057068364067163e-08,-0.798425555229187|-2.7029647853282768e-08,1,4.2954919621251975e-08|Running
649.7825927734375,689.071044921875,-848.6460571289062|0.602093517780304,4.69275462933183e-08,-0.798425555229187|-2.4662059061597574e-08,1,4.017742227802046e-08|Running
650.0742797851562,689.0452880859375,-849.0328979492188|0.602093517780304,4.328596858726996e-08,-0.798425555229187|-2.2295481016954e-08,1,3.740111154115766e-08|Running
650.3635864257812,689.005859375,-849.41650390625|0.602093517780304,3.964594696981294e-08,-0.798425555229187|-1.9929915495708883e-08,1,3.4625987410663583e-08|Running
650.6463012695312,688.952880859375,-849.7913208007812|0.602093517780304,3.600747788823355e-08,-0.798425555229187|-1.7565358945148546e-08,1,3.1852046333824546e-08|Running
650.9384765625,688.9383544921875,-850.1787719726562|0.602093517780304,3.237056489524548e-08,-0.798425555229187|-1.5201813141629827e-08,1,2.9079293639711068e-08|Running
651.2339477539062,688.9886474609375,-850.570556640625|0.602093517780304,2.8735206214491882e-08,-0.798425555229187|-1.2839278085152728e-08,1,2.630772577560947e-08|Running
651.5299072265625,689.054443359375,-850.9630126953125|0.602093517780304,2.510140184597276e-08,-0.798425555229187|-1.0477751999360407e-08,1,2.353734274151975e-08|Running
651.825927734375,689.106689453125,-851.3555908203125|0.5984649658203125,2.1470174971227607e-08,-0.8011490106582642|-8.010341723263537e-09,1,2.0815438261934105e-08|Running
652.12060546875,689.1387329101562,-851.7490844726562|0.5984649658203125,1.784049885600325e-08,-0.8011490106582642|-5.650834022929985e-09,1,1.8047419558797628e-08|Running
652.4148559570312,689.15185546875,-852.1428833007812|0.5875025391578674,1.4215888022306444e-08,-0.8092223405838013|-3.0461109190582647e-09,1,1.5355841043174223e-08|Running
652.8495483398438,689.199462890625,-852.7384033203125|0.5764344334602356,8.788156868888564e-09,-0.8171433806419373|6.990263368145122e-10,1,1.1247842657269302e-08|Running
652.9923095703125,689.2041625976562,-852.9384765625|0.5652550458908081,6.982114886255886e-09,-0.8249161839485168|2.0302246550585323e-09,1,9.85519488239106e-09|Running
653.2721557617188,689.2066040039062,-853.3425903320312|0.5501902103424072,3.378699542366803e-09,-0.8350393772125244|4.5642334356443826e-09,1,7.053435169268596e-09|Running
653.6803588867188,689.20703125,-853.956787109375|0.538770854473114,-2.0139216960757267e-09,-0.842452347278595|8.191165967730285e-09,1,2.8479232305755886e-09|Running
653.81396484375,689.20703125,-854.1631469726562|0.5233912467956543,-3.805904480458366e-09,-0.8520925045013428|9.418114288450852e-09,1,1.3184646707742331e-09|Running
654.2026977539062,689.20703125,-854.789794921875|0.5156366229057312,-9.171706949473446e-09,-0.8568073511123657|1.2958003559049303e-08,1,-2.90623791698863e-09|Running
654.4573364257812,689.20703125,-855.2103881835938|0.5117448568344116,-1.2744274968667924e-08,-0.8591374754905701|1.529563853353011e-08,1,-5.7229612160369925e-09|Running
654.7095947265625,689.20703125,-855.63232421875|0.5117419362068176,-1.6315313544623677e-08,-0.8591392040252686|1.7645565009161146e-08,1,-8.47981063145653e-09|Running
654.83544921875,689.20703125,-855.8434448242188|0.5078411102294922,-1.80988646292235e-08,-0.8614507913589478|1.878153099710289e-08,1,-9.937690670369648e-09|Running
655.0855712890625,689.20703125,-856.2666015625|0.5078411102294922,-2.1664822824618568e-08,-0.8614507913589478|2.112997066205935e-08,1,-1.2692722428653269e-08|Running
655.3352661132812,689.20703125,-856.6900634765625|0.5078411102294922,-2.522925868220227e-08,-0.8614507913589478|2.3477406685401547e-08,1,-1.5446577350530788e-08|Running
655.709716796875,689.20703125,-857.3252563476562|0.5078411102294922,-3.057305875131533e-08,-0.8614507913589478|2.6996682223057178e-08,1,-1.957515571859858e-08|Running
655.9593505859375,689.20703125,-857.7487182617188|0.5078411102294922,-3.413369142890588e-08,-0.8614507913589478|2.934161358325582e-08,1,-2.232607343444215e-08|Running
656.208984375,689.20703125,-858.1721801757812|0.5078411102294922,-3.76928035450419e-08,-0.8614507913589478|3.16855413018402e-08,1,-2.5075816978414878e-08|Running
656.3338012695312,689.20703125,-858.3839111328125|0.5078411102294922,-3.947178939256446e-08,-0.8614507913589478|3.285713034983928e-08,1,-2.645024821390507e-08|Running
656.708251953125,689.20703125,-859.0191040039062|0.5078411102294922,-4.480646609295036e-08,-0.8614507913589478|3.637039824866406e-08,1,-3.057177977439096e-08|Running
656.9578857421875,689.20703125,-859.4425659179688|0.5078411102294922,-4.836102007743648e-08,-0.8614507913589478|3.8711323924189855e-08,1,-3.3318002579108e-08|Running
657.20751953125,689.20703125,-859.8660278320312|0.5078411102294922,-5.191405705318175e-08,-0.8614507913589478|4.105124773445823e-08,1,-3.606305298831103e-08|Running
657.4571533203125,689.270263671875,-860.2894897460938|0.5078411102294922,-5.5465573467472495e-08,-0.8614507913589478|4.339017323218286e-08,1,-3.8806931002000056e-08|Running
657.706787109375,689.3199462890625,-860.7129516601562|0.5078411102294922,-5.901557287302239e-08,-0.8614507913589478|4.572810041736375e-08,1,-4.154963662017508e-08|Running
657.9564208984375,689.35595703125,-861.1364135742188|0.5078411102294922,-6.25640623752588e-08,-0.8614507913589478|4.8065025737287215e-08,1,-4.42911698428361e-08|Running
658.0812377929688,689.3688354492188,-861.34814453125|0.5078411102294922,-6.433773336311788e-08,-0.8614507913589478|4.9233115362312674e-08,1,-4.5661501246740954e-08|Running
658.3308715820312,689.37548828125,-861.7716064453125|0.49999985098838806,-6.787816886344444e-08,-0.8660255074501038|5.1151996416365364e-08,1,-4.884633852952902e-08|Running
658.5776977539062,689.3764038085938,-862.19677734375|0.49606552720069885,-7.141409241739893e-08,-0.8682851195335388|5.3264287203091953e-08,1,-5.181652440455764e-08|Running
658.8222045898438,689.3765869140625,-862.6232299804688|0.48816293478012085,-7.494229947724307e-08,-0.8727525472640991|5.512514889005615e-08,1,-5.503535405182447e-08|Running
659.0632934570312,689.3765869140625,-863.0516357421875|0.4842008352279663,-7.846578853332176e-08,-0.8749569058418274|5.720749385318413e-08,1,-5.802099778406955e-08|Running
659.302001953125,689.3765869140625,-863.4813842773438|0.480224609375,-8.198448853136142e-08,-0.8771455883979797|5.927500623670312e-08,1,-6.101515026557536e-08|Running
659.5386962890625,689.4227294921875,-863.9122924804688|0.47224247455596924,-8.549490360110212e-08,-0.8814687132835388|6.104914263005412e-08,1,-6.428464871532924e-08|Running
659.77197265625,689.4552612304688,-864.3450317382812|0.4682389795780182,-8.900032355541043e-08,-0.8836018443107605|6.308635391860662e-08,1,-6.72936906198629e-08|Running
660.0028686523438,689.4741821289062,-864.779052734375|0.4601996839046478,-9.249703936120568e-08,-0.8878154158592224|6.480142644704756e-08,1,-7.05951279655892e-08|Running
660.230224609375,689.4813232421875,-865.2149658203125|0.4561671018600464,-9.598855399417516e-08,-0.8898941278457642|6.680794939484258e-08,1,-7.361882836676159e-08|Running
660.4550170898438,689.416259765625,-865.65185546875|0.456167072057724,-9.947856938197219e-08,-0.8898941278457642|6.913441552569566e-08,1,-7.634809406908971e-08|Running
660.671875,689.3959350585938,-866.0746459960938|0.456167072057724,-1.0296709263002413e-07,-0.8898941278457642|7.145989400214603e-08,1,-7.907618737590383e-08|Running
660.9992065429688,689.3927612304688,-866.7132568359375|0.456167072057724,-1.0819707085829577e-07,-0.8898941278457642|7.494624298942654e-08,1,-8.316614241721254e-08|Running
661.1091918945312,689.3759765625,-866.927734375|0.456167072057724,-1.0993965560146535e-07,-0.8898941278457642|7.610785957012922e-08,1,-8.452887811927212e-08|Running
661.3303833007812,689.3276977539062,-867.3592529296875|0.456167072057724,-1.1342370243028199e-07,-0.8898941278457642|7.843036087251676e-08,1,-8.72534755558263e-08|Running
661.6639404296875,689.2513427734375,-868.0100708007812|0.456167072057724,-1.1864698024055542e-07,-0.8898941278457642|8.191224054598933e-08,1,-9.13381867917451e-08|Running
661.8870239257812,689.2448120117188,-868.4453125|0.456167072057724,-1.2212730382543668e-07,-0.8898941278457642|8.423225494880171e-08,1,-9.40598638976553e-08|Running
661.9987182617188,689.247802734375,-868.6632690429688|0.456167072057724,-1.2386691139454342e-07,-0.8898941278457642|8.539188911527162e-08,1,-9.542026901954159e-08|Running
662.2222900390625,689.2617797851562,-869.0994873046875|0.456167072057724,-1.2734498966437968e-07,-0.8898941278457642|8.771041848376626e-08,1,-9.814020529574918e-08|Running
662.5579223632812,689.2938842773438,-869.7542724609375|0.456167072057724,-1.325593359524646e-07,-0.8898941278457642|9.118634380911317e-08,1,-1.0221791768572075e-07|Running
662.6698608398438,689.3062133789062,-869.97265625|0.456167072057724,-1.1746300998538572e-07,-0.8898941278457642|8.078015412138484e-08,1,-9.058803129846638e-08|Running
663.005859375,689.3447875976562,-870.6281127929688|0.456167072057724,-7.219339437369854e-08,-0.8898941278457642|4.9574932603491106e-08,1,-5.5713304192295254e-08|Running
663.117919921875,689.3576049804688,-870.8466796875|0.456167072057724,-5.7109978968128416e-08,-0.8898941278457642|3.9177638910814494e-08,1,-4.40933689560552e-08|Running
663.342041015625,689.3826293945312,-871.2838745117188|0.456167072057724,-2.6952825749049225e-08,-0.8898941278457642|1.838971463996586e-08,1,-2.0860957405943736e-08|Running
663.566162109375,689.4061279296875,-871.7211303710938|0.456167072057724,3.191425790305402e-09,-0.8898941278457642|-2.3893227396598604e-09,1,2.3615116528930002e-09|Running
663.9025268554688,689.4379272460938,-872.377197265625|0.4601996839046478,4.843687406719255e-08,-0.8878154158592224|-3.3551902589579186e-08,1,3.71657158382277e-08|Running
664.1282348632812,689.4564208984375,-872.8138427734375|0.4682372212409973,7.86534926078275e-08,-0.8836027979850769|-5.4644615943288954e-08,1,6.005735997405282e-08|Running
664.3573608398438,689.4727172851562,-873.248779296875|0.4762364625930786,9.121868060901761e-08,-0.8793172836303711|-6.364471971664898e-08,1,6.9268224933694e-08|Running
664.4735717773438,689.47998046875,-873.4653930664062|0.4841972887516022,8.864060419000452e-08,-0.874958872795105|-6.235342198124272e-08,1,6.680227926381122e-08|Running
664.710205078125,689.4927368164062,-873.8963012695312|0.4881637990474701,8.347920754658844e-08,-0.8727520108222961|-5.882256104428052e-08,1,6.27488248028385e-08|Running
664.9495239257812,689.5033569335938,-874.3258056640625|0.492119699716568,7.831324921880878e-08,-0.8705275654792786|-5.527493485146806e-08,1,5.871309483040932e-08|Running
665.311767578125,689.5157470703125,-874.9682006835938|0.492119699716568,7.056844708586141e-08,-0.8705275654792786|-4.9530299861544336e-08,1,5.306392480974864e-08|Running
665.5537109375,689.52197265625,-875.3961791992188|0.4960649609565735,6.540133767884981e-08,-0.8682854175567627|-4.5942876170101954e-08,1,4.907451511826366e-08|Running
