tali|true|1067
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.607248804688879e-09,-0.9935092329978943|-3.4683949934333214e-08,1,8.608482815475327e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.423848285588065e-09,-0.9935092329978943|-6.341571889834086e-08,1,1.5739656689106596e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.2237187263508531e-08,-0.9935092329978943|-9.212294571625534e-08,1,2.286473943513556e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.6047268402985537e-08,-0.9935092329978943|-1.2080565170435875e-07,1,2.99837346062759e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.046814546157293e-08,-0.9935092329978943|-7.88053924338783e-08,1,1.9559347919084757e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.8937875973820155e-09,-0.9935092329978943|-3.6841015571553726e-08,1,9.143866108729526e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.75809852523912e-10,-0.9935092329978943|5.087512633394908e-09,1,-1.2627190404401745e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.240648886546296e-09,-0.9935092329978943|4.69802188263202e-08,1,-1.1660413967717886e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4578995788383509e-08,-0.9935092329978943|1.097521860060624e-07,1,-2.7240304234510404e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.265495441771236e-08,-0.9935092329978943|9.526780786472955e-08,1,-2.364530438114798e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.809338147841572e-09,-0.9935092329978943|6.631760385289454e-08,1,-1.6459916096778215e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-4.967008582212884e-09,-0.9935092329978943|3.739213383369133e-08,1,-9.280666013466998e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1279623901572222e-09,-0.9935092329978943|8.491370273588927e-09,1,-2.10754969032223e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.7078030928606722e-09,-0.9935092329978943|-2.0384705479159493e-08,1,5.059437757637397e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,6.540291419554478e-09,-0.9935092329978943|-4.923611385265758e-08,1,1.2220302103571612e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0369505254459455e-08,-0.9935092329978943|-7.806288238043635e-08,1,1.9375049120640142e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.4195447484155466e-08,-0.9935092329978943|-1.0686501639156631e-07,1,2.6523684582002716e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.330661714149528e-08,-0.9935092329978943|-1.001737928163493e-07,1,2.4862934822067473e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.70905383973286e-09,-0.9935092329978943|-5.8034668626305574e-08,1,1.4404090364905642e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.1162722685375e-09,-0.9935092329978943|-1.5931551189396487e-08,1,3.9541792062891545e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.263942253781352e-09,-0.9935092329978943|4.7155687354916154e-08,1,-1.1703949809316327e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-9.054960337095963e-09,-0.9935092329978943|6.816679842813755e-08,1,-1.69188663079467e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4633418921050634e-08,-0.9935092329978943|1.1016209100489505e-07,1,-2.7342014874420784e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.077179678787843e-08,-0.9935092329978943|8.109135762879305e-08,1,-2.0126714517232358e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.9134751257138305e-09,-0.9935092329978943|5.204545061587851e-08,1,-1.2917579006455071e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.0584508259323684e-09,-0.9935092329978943|2.302435753165355e-08,1,-5.714602568929195e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.932796641796358e-10,-0.9935092329978943|-5.9719473810559975e-09,1,1.4822195693042772e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.641718565068231e-09,-0.9935092329978943|-3.494348277399695e-08,1,8.67289262629356e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.486868985357887e-09,-0.9935092329978943|-6.389027618070031e-08,1,1.5857423818488314e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.2328734477762282e-08,-0.9935092329978943|-9.281233559477187e-08,1,2.303581503326768e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.6167316374549046e-08,-0.9935092329978943|-1.2170968943792104e-07,1,3.020807426423744e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.054645792919473e-08,-0.9935092329978943|-7.939513579913182e-08,1,1.9705694853655586e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.9304018645557335e-09,-0.9935092329978943|-3.711672746931072e-08,1,9.212286933291125e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.4846880936356683e-09,-0.9935092329978943|2.6233157868205126e-08,1,-6.5110157265735324e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.287321330233908e-09,-0.9935092329978943|4.733174563398279e-08,1,-1.1747638417602957e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.188899556581191e-08,-0.9935092329978943|8.950188146172877e-08,1,-2.221417361170097e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.2749606703721383e-08,-0.9935092329978943|9.598068118066294e-08,1,-2.3822195771572297e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.875229440263865e-09,-0.9935092329978943|6.681385400497675e-08,1,-1.658305492924228e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-5.004163750044199e-09,-0.9935092329978943|3.767194556303366e-08,1,-9.350101137783895e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1364066354602187e-09,-0.9935092329978943|8.554928321302668e-09,1,-2.1233261815467586e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.7280457892686627e-09,-0.9935092329978943|-2.053721814831988e-08,1,5.0972741583166226e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,6.5891958556107966e-09,-0.9935092329978943|-4.960451605029448e-08,1,1.2311705432921372e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0447046783212954e-08,-0.9935092329978943|-7.864697693094058e-08,1,1.951997496973945e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.4301603457056444e-08,-0.9935092329978943|-1.076646327646813e-07,1,2.672208410103849e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3406126875281643e-08,-0.9935092329978943|-1.0092335145372999e-07,1,2.5048915830439e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.766708165490854e-09,-0.9935092329978943|-5.8468934582833754e-08,1,1.4511841506248402e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.1321058252254943e-09,-0.9935092329978943|-1.605078558952755e-08,1,3.983767538073835e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.497682588005091e-09,-0.9935092329978943|2.633112750061173e-08,1,-6.535312291333639e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-9.122660848959185e-09,-0.9935092329978943|6.867683310929351e-08,1,-1.7045405087401377e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4742832732395073e-08,-0.9935092329978943|1.1098636321094091e-07,1,-2.7546517955556737e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.0852342136047355e-08,-0.9935092329978943|8.169810428171331e-08,1,-2.027725543030101e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.965177323792204e-09,-0.9935092329978943|5.243486000949815e-08,1,-1.3014203936734248e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.0813342988267323e-09,-0.9935092329978943|2.3196610854370192e-08,1,-5.757357701696719e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.991903250292864e-10,-0.9935092329978943|-6.016660947238961e-09,1,1.4932882708151851e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.676399267822262e-09,-0.9935092329978943|-3.520497671161138e-08,1,8.737739420894286e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.550294694487093e-09,-0.9935092329978943|-6.436835775502914e-08,1,1.59760009665888e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.2420880324270911e-08,-0.9935092329978943|-9.35068342755585e-08,1,2.320807901412536e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.6288158377619766e-08,-0.9935092329978943|-1.226204204840542e-07,1,3.0433980668931326e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0625292645727313e-08,-0.9935092329978943|-7.998922058050084e-08,1,1.985306319340907e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.967263489419338e-09,-0.9935092329978943|-3.7394435992155195e-08,1,9.281185597842523e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.859323664620831e-10,-0.9935092329978943|5.163960370424547e-09,1,-1.2816605554633043e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.334297086851848e-09,-0.9935092329978943|4.7685997373037026e-08,1,-1.1835481927846558e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1977835612242416e-08,-0.9935092329978943|9.017171009872982e-08,1,-2.2380286068823807e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.2844880714624196e-08,-0.9935092329978943|9.669897593767018e-08,1,-2.4000334164497872e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-8.941553275576553e-09,-0.9935092329978943|6.731386292813113e-08,1,-1.6707060623843972e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-5.041561834673303e-09,-0.9935092329978943|3.795384628801912e-08,1,-9.420019431161109e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.1449036163568849e-09,-0.9935092329978943|8.618914471014705e-09,1,-2.1392048132895525e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.748425043108682e-09,-0.9935092329978943|-2.0690961832769972e-08,1,5.135389447019634e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,6.638426697236355e-09,-0.9935092329978943|-4.997579949872488e-08,1,1.2403768678836968e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.052510523180672e-08,-0.9935092329978943|-7.923561895495368e-08,1,1.966593821123297e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.634889557067254e-08,-0.9935092329978943|-1.2307849317494401e-07,1,3.054756092524258e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.3506295637455423e-08,-0.9935092329978943|-1.0167868680355241e-07,1,2.523622200101272e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,7.824739967077221e-09,-0.9935092329978943|-5.890650456308322e-08,1,1.4620352040140006e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,2.1480368594950505e-09,-0.9935092329978943|-1.6170863759157328e-08,1,4.013550825021639e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.5238156836925327e-09,-0.9935092329978943|2.6528269359005208e-08,1,-6.5841878615913174e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-9.190820549065393e-09,-0.9935092329978943|6.919092498947066e-08,1,-1.717287112512622e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.4852983731827862e-08,-0.9935092329978943|1.1181712977759162e-07,1,-2.775250607101043e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.093342305580336e-08,-0.9935092329978943|8.230961867639053e-08,1,-2.0428881697398538e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-7.0172134769563854e-09,-0.9935092329978943|5.282731763145421e-08,1,-1.3111514540753433e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-3.1043501103056315e-09,-0.9935092329978943|2.3370199997430063e-08,1,-5.800398827915387e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.051699862399175e-10,-0.9935092329978943|-6.061753765607136e-09,1,1.5044699930299998e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,4.711349088637462e-09,-0.9935092329978943|-3.5468566750296304e-08,1,8.803097806264759e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,8.61419113817874e-09,-0.9935092329978943|-6.485026204927635e-08,1,1.6095489385747896e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.2513697633664833e-08,-0.9935092329978943|-9.4206853873402e-08,1,2.3381652169973677e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.640987257189863e-08,-0.9935092329978943|-1.2353838485523738e-07,1,3.066158882347736e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,1.0704686914664308e-08,-0.9935092329978943|-8.058802336563531e-08,1,2.0001536427116662e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,5.004376912864927e-09,-0.9935092329978943|-3.7674357855621565e-08,1,9.35059141227157e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.910629291034809e-10,-0.9935092329978943|5.202645425583796e-09,1,-1.2912538815967878e-09|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-6.381636552532655e-09,-0.9935092329978943|4.8043020228760724e-08,1,-1.192400755911649e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.2067348897915053e-08,-0.9935092329978943|9.084678964654813e-08,1,-2.254767750287101e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-1.2940873261868546e-08,-0.9935092329978943|9.742291950942672e-08,1,-2.4179842128546625e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-9.008375378982691e-09,-0.9935092329978943|6.781781536346898e-08,1,-1.6832018445711583e-08|Running
-586.4225463867188,239.99537658691406,645.2662963867188|-0.11375169456005096,-5.0792370309693524e-09,-0.9935092329978943|3.8237995880763265e-08,1,-9.490474184303821e-09|Running
