paralel|true|1828
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-3.372808476953537e-09,-0.26968708634376526|3.842584472835142e-09,1,1.21400278718653e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-6.800140539553468e-08,-0.26968708634376526|7.747286900894323e-08,1,2.4476285886976257e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,4.3002605920605674e-09,-0.26968708634376526|-4.899215699794013e-09,1,-1.5478287540560132e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,8.807513296460456e-08,-0.26968708634376526|-1.0034253250523761e-07,1,-3.170159956766838e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-1.4899882216923288e-08,-0.26968708634376526|1.6975191030610404e-08,1,5.36304778364638e-09|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,-5.715653372817542e-08,-0.26968708634376526|6.511749006676837e-08,1,2.057282166845198e-08|Running
-788.4934692382812,-217.06712341308594,-80.99016571044922|0.9629480242729187,5.818360193643457e-08,-0.26968708634376526|-6.628763316030017e-08,1,-2.094257567364366e-08|Running
-788.2262573242188,-217.06712341308594,-81.03182983398438|0.9758386015892029,0.00000188300339232228,-0.2184925228357315|-0.0000018256353087053867,1,4.6444577606052917e-07|Running
-787.71923828125,-217.06712341308594,-81.131103515625|0.9780383706092834,1.635919204545644e-07,-0.208424910902977|-1.6024053195451415e-07,1,3.296412032227636e-08|Running
-786.2976684570312,-217.06712341308594,-81.48941802978516|0.9741721153259277,2.0989241988900176e-07,-0.2258068174123764|-2.0400644018536696e-07,1,4.940079989523838e-08|Running
-784.8834838867188,-217.06712341308594,-81.87875366210938|0.9689462780952454,2.3059189402374614e-07,-0.2472713142633438|-2.2287798628894961e-07,1,5.918636247770337e-08|Running
-783.4629516601562,-217.06712341308594,-82.24478149414062|0.9682574272155762,-8.922347660700325e-08,-0.24995501339435577|8.685012886644472e-08,1,-2.0524462129856147e-08|Running
-782.0402221679688,-217.06712341308594,-82.60233306884766|0.9690309166908264,-3.2086362011796155e-08,-0.2469394952058792|3.0848607224243096e-08,1,-8.881161583929043e-09|Running
-780.6155395507812,-217.06712341308594,-82.95214080810547|0.9701673984527588,9.441539106092023e-08,-0.24243591725826263|-9.132717337934082e-08,1,2.3976427954153223e-08|Running
-779.723876953125,-217.06712341308594,-83.16446685791016|0.9710649847984314,1.156098790033866e-07,-0.23881548643112183|-1.1159966817331224e-07,1,3.031359696592517e-08|Running
-778.2952270507812,-217.06712341308594,-83.49607849121094|0.9727146029472351,1.146377357486017e-07,-0.23200491070747375|-1.1119561804662226e-07,1,2.7913785061173257e-08|Running
-776.8635864257812,-217.06712341308594,-83.8148193359375|0.9745635986328125,1.1776908337424175e-07,-0.2241111397743225|-1.1434472213522895e-07,1,2.8257751694127364e-08|Running
-775.6092529296875,-217.06712341308594,-84.08458709716797|0.9760714173316956,1.2606734856035473e-07,-0.2174500972032547|-1.2264592896826798e-07,1,2.9230410092395687e-08|Running
-774.1755981445312,-217.06712341308594,-84.39241790771484|0.9770269989967346,9.143268187017384e-08,-0.2131156474351883|-8.911973736758227e-08,1,2.0459745897483117e-08|Running
-772.7420043945312,-217.06712341308594,-84.70025634765625|0.9774430394172668,4.194832570192375e-08,-0.21119911968708038|-4.097284289628078e-08,1,8.994852862542757e-09|Running
-771.4876098632812,-217.06712341308594,-84.96961975097656|0.9775931239128113,3.0763580127768364e-08,-0.21050351858139038|-3.0142597751137146e-08,1,6.158508369935589e-09|Running
-770.0521240234375,-217.06712341308594,-85.2700424194336|0.978214681148529,9.653842880652519e-08,-0.20759575068950653|-9.436580228339153e-08,1,2.0368497999356805e-08|Running
-768.7943725585938,-217.06712341308594,-85.52600860595703|0.9790099263191223,1.0145092943503187e-07,-0.20381255447864532|-9.893528130078266e-08,1,2.2532024246402216e-08|Running
-768.0755615234375,-217.06712341308594,-85.67210388183594|0.9792992472648621,7.519727773797058e-08,-0.2024177759885788|-7.331031071089456e-08,1,1.6819420523006556e-08|Running
-766.6371459960938,-217.06712341308594,-85.95925903320312|0.9800153970718384,9.224216057646117e-08,-0.19892171025276184|-9.005864143318831e-08,1,2.0024485181124874e-08|Running
-765.1976928710938,-217.06712341308594,-86.24080657958984|0.9807719588279724,1.0354717971949867e-07,-0.19515731930732727|-1.0140340833686423e-07,1,2.0975726044980547e-08|Running
-764.11669921875,-217.06712341308594,-86.44436645507812|0.9815648794174194,9.748355722649649e-08,-0.19112920761108398|-9.541879819607857e-08,1,2.0006442724707085e-08|Running
-762.6752319335938,-217.06712341308594,-86.71482849121094|0.982292652130127,6.804417296280008e-08,-0.18735314905643463|-6.663425722308602e-08,1,1.3823256317380128e-08|Running
-761.5025634765625,-217.06712341308594,-86.92601013183594|0.9831163287162781,1.2161491724782536e-07,-0.18298159539699554|-1.1923988552098308e-07,1,2.3981895580504897e-08|Running
-760.0592041015625,-217.06712341308594,-87.18489074707031|0.9837865829467773,1.2197995147289475e-07,-0.17934316396713257|-1.197205676817248e-07,1,2.3421355521691112e-08|Running
-758.6138916015625,-217.06712341308594,-87.43241882324219|0.9847902655601501,1.1770254815246517e-07,-0.1737474799156189|-1.1560668866650303e-07,1,2.2182826242556075e-08|Running
-757.1657104492188,-217.06712341308594,-87.66674041748047|0.9860783815383911,1.1773838082262955e-07,-0.1662811040878296|-1.1580257819332473e-07,1,2.1337113409458652e-08|Running
-755.7117309570312,-217.06712341308594,-87.85993194580078|0.9889416694641113,1.724030909144858e-07,-0.14830490946769714|-1.7004688857014116e-07,1,2.8567091803211042e-08|Running
-754.2546997070312,-217.06712341308594,-88.02496337890625|0.9916567802429199,1.7947310482213652e-07,-0.12890613079071045|-1.775682534344014e-07,1,2.6269800557088274e-08|Running
-753.0693359375,-217.06712341308594,-88.14836883544922|0.9931012988090515,1.3284741839925118e-07,-0.11725964397192001|-1.316837909826063e-07,1,1.7670828356131096e-08|Running
-751.609375,-217.06712341308594,-88.28999328613281|0.9943796396255493,1.2853999464823573e-07,-0.10587335377931595|-1.276019929719041e-07,1,1.5633426997396782e-08|Running
-750.4224243164062,-217.06712341308594,-88.39844512939453|0.9950820207595825,1.229897605981023e-07,-0.09905441850423813|-1.2220746725688514e-07,1,1.3965170353458234e-08|Running
-748.9614868164062,-217.06712341308594,-88.53155517578125|0.9955428242683411,8.800633821692827e-08,-0.09431087970733643|-8.751341340484942e-08,1,9.362516095734463e-09|Running
-747.8657836914062,-217.06712341308594,-88.63141632080078|0.9956971406936646,9.305949077997866e-08,-0.09266698360443115|-9.257761490744087e-08,1,9.498781317063276e-09|Running
-746.4048461914062,-217.06712341308594,-88.76449584960938|0.9957987666130066,1.0481866752343194e-07,-0.09156884253025055|-1.0430435537500671e-07,1,1.04022479519017e-08|Running
-745.2178344726562,-217.06712341308594,-88.87260437011719|0.9958359599113464,-7.539892266095194e-08,-0.09116354584693909|7.501764542894307e-08,1,-7.608890406629598e-09|Running
-743.7568359375,-217.06712341308594,-89.00565338134766|0.9958577752113342,-3.961483940884136e-08,-0.09092476963996887|3.942273707480126e-08,1,-3.908722678858112e-09|Running
-742.75244140625,-217.06712341308594,-89.09712982177734|0.9958645701408386,1.028999196961422e-08,-0.09085006266832352|-1.0225963187338039e-08,1,1.170247565518423e-09|Running
-742.2958984375,-217.06712341308594,-89.13871002197266|0.9958663582801819,3.295857453622375e-08,-0.09083032608032227|-3.277828852787934e-08,1,3.4765719192364486e-09|Running
-741.2009887695312,-217.06712341308594,-89.24242401123047|0.9957491159439087,1.004469396548302e-07,-0.0921068787574768|-9.991207150505943e-08,1,1.0418149010149591e-08|Running
-739.832275390625,-217.06712341308594,-89.3723373413086|0.9956342577934265,5.7218327853547635e-09,-0.0933406800031662|-5.686311865815696e-09,1,6.465132318389522e-10|Running
-738.372314453125,-217.06712341308594,-89.51089477539062|0.9955728054046631,-9.853458493580547e-08,-0.09399338811635971|9.802135281233859e-08,1,-1.0077238599137672e-08|Running
-737.27734375,-217.06712341308594,-89.61866760253906|0.9954275488853455,3.203367526793954e-08,-0.09551982581615448|-3.185239449976507e-08,1,3.4225846601287913e-09|Running
-736.8211059570312,-217.06712341308594,-89.66365051269531|0.9953787326812744,9.91505046954444e-08,-0.09602692723274231|-9.860125516070184e-08,1,1.046492137390942e-08|Running
-735.9086303710938,-217.06712341308594,-89.75360870361328|0.9953069686889648,6.477698377693741e-08,-0.09676814824342728|-6.441671018819761e-08,1,6.847104661034109e-09|Running
-734.6311645507812,-217.06712341308594,-89.87955474853516|0.9952399134635925,2.8261295526021968e-08,-0.09745515882968903|-2.8092783210809102e-08,1,3.101274570482815e-09|Running
-733.1721801757812,-217.06712341308594,-90.02880096435547|0.9950202703475952,3.327151532062089e-08,-0.09967305511236191|-3.3023130896481234e-08,1,4.141878839902802e-09|Running
-732.0779418945312,-217.06712341308594,-90.14087677001953|0.9949210286140442,8.509252324984118e-08,-0.10065855085849762|-8.447079125062373e-08,1,1.0438821362868111e-08|Running
-730.6189575195312,-217.06712341308594,-90.29029846191406|0.9948502779006958,2.917803598734281e-08,-0.10135567933320999|-2.8969100895892552e-08,1,3.5332881065386346e-09|Running
-729.5247192382812,-217.06712341308594,-90.40235900878906|0.994825541973114,-1.1393311183383048e-07,-0.10159769654273987|1.1309569458717306e-07,1,-1.4002475623442479e-08|Running
-728.0657348632812,-217.06712341308594,-90.5517807006836|0.9948090314865112,-3.0871303291490904e-09,-0.1017594113945961|3.0688940277912025e-09,1,-3.357601141562583e-10|Running
-727.06396484375,-217.06712341308594,-90.66806030273438|0.9943279027938843,1.0898600066866493e-07,-0.10635819286108017|-1.0821153750839585e-07,1,1.3052666503199362e-08|Running
-725.60888671875,-217.06712341308594,-90.84954071044922|0.9932923913002014,1.2727852549687668e-07,-0.11562947928905487|-1.2624373368907982e-07,1,1.6272519332005686e-08|Running
-724.4281005859375,-217.06712341308594,-91.00841522216797|0.9923474788665771,1.2712341401766025e-07,-0.1234765574336052|-1.2595903342571546e-07,1,1.723631726235908e-08|Running
-722.9778442382812,-217.06712341308594,-91.22605895996094|0.9906064867973328,1.2569897478442726e-07,-0.1367434561252594|-1.2432384721705603e-07,1,1.8596514550495158e-08|Running
-721.8921508789062,-217.06712341308594,-91.40190124511719|0.9892392158508301,1.2828992623781232e-07,-0.14630694687366486|-1.2668823501371662e-07,1,2.0265307654199205e-08|Running
-720.4468383789062,-217.06712341308594,-91.65011596679688|0.9873189926147461,1.2558565742892824e-07,-0.15874896943569183|-1.2375936364605877e-07,1,2.139034549486496e-08|Running
-719.2733154296875,-217.06712341308594,-91.85847473144531|0.9860995411872864,1.206988429203193e-07,-0.16615556180477142|-1.1875948047190832e-07,1,2.160729550837459e-08|Running
-717.8290405273438,-217.06712341308594,-92.11573791503906|0.9851944446563721,9.384270072132495e-08,-0.17144069075584412|-9.220819663369184e-08,1,1.7496976312258994e-08|Running
-716.3856811523438,-217.06712341308594,-92.3738021850586|0.9847309589385986,6.234837002239146e-08,-0.17408308386802673|-6.122586881929237e-08,1,1.1818257483753314e-08|Running
